"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"240","232","            Meals at schools","DMSLRC0",818,835,848,865,883,898,911,927,952,972,982,983,1073,1081,1093,1100,1154,1184,1215,1247,1264,1300,1339,1380,1397,1433,1466,1501,1509,1563,1613,1663,1666,1700,1716,1740,1771,1809,1843,1873,1928,1954,1982,2006,2035,2053,2064,2067,2083,2078,2080,2083,2111,2127,2150,2183,2261,2349,2432,2504,2560,2619,2682,2749,2783,2848,2916,2982,3009,3088,3179,3284,3383,3480,3567,3646,3626,3772,3897,4052,3992,4110,4206,4329,4283,4376,4613,4829,4757,4899,5096,5280,5113,5242,5366,5511,5537,5576,5604,5656,5789,5845,5929,6007,6080,6122,6165,6268,6397,6503,6631,6715,6734,6841,6907,6994,7109,7244,7431,7558,7750,7875,8008,8188,8415,8518,8632,8746,8820,8966,9070,9209,9352,9498,9650,9820,10014,10066,10163,10326,10576,10668,10855,11038,11256,11261,11380,11598,11783,11896,12128,12387,12575,12725,12902,13092,13178,13408,13580,13874,14148,14373,14585,14882,15074,15139,15293,15328,15415,15583,15682,15657,15664,15786,15991,16232,16433,16514,16663,16751,16855,16977,17014,17198,17310,17446,17437,17581,17665,17828,18079,18276,18506,18808,19064,19274,19559,19805,20073,20036,19797,19585,19385,19678,20311,21018,21289,21745,21453,21072,21230,20976,21115,21252,21463,21843,22141,22484,22649,22728,22801,23237
"241","233","              Elementary and secondary school lunches","DESLRC0",623,636,645,658,663,675,684,696,705,720,727,729,794,800,808,814,840,862,885,909,909,935,962,992,981,1007,1030,1054,1038,1075,1110,1145,1103,1125,1136,1152,1191,1217,1240,1260,1313,1332,1350,1367,1393,1405,1412,1413,1415,1413,1413,1416,1441,1452,1470,1493,1481,1530,1576,1617,1579,1615,1650,1685,1577,1608,1639,1669,1545,1579,1620,1666,1639,1685,1727,1766,1771,1832,1896,1967,1892,1951,2002,2060,1963,2014,2096,2188,2110,2176,2264,2353,2235,2292,2362,2431,2434,2441,2453,2475,2522,2555,2589,2630,2668,2709,2745,2797,2856,2913,2972,3036,3086,3146,3190,3223,3259,3294,3322,3343,3372,3395,3426,3460,3518,3563,3624,3668,3707,3731,3757,3784,3779,3792,3818,3870,3960,4023,4083,4143,4192,4242,4310,4377,4456,4511,4573,4655,4731,4805,4898,5003,5111,5199,5283,5356,5372,5441,5484,5572,5651,5714,5778,5882,5951,5973,6034,6052,6092,6160,6193,6170,6154,6179,6233,6298,6360,6386,6444,6484,6535,6594,6621,6707,6765,6832,6842,6911,6952,7007,7076,7101,7118,7152,7158,7136,7138,7143,7179,7130,7027,6920,6795,6822,6743,6652,6508,6509,6474,6448,6541,6459,6451,6420,6391,6394,6358,6357,6337,6326,6281,6310
"242","234","              Higher education school lunches","DHSLRC0",195,199,202,206,220,224,227,231,247,252,255,255,280,282,285,287,313,322,330,338,356,366,377,388,416,426,437,447,471,487,503,518,563,574,579,588,580,592,603,613,615,622,632,639,642,648,652,654,668,666,667,667,670,675,681,690,780,818,856,886,981,1004,1032,1064,1206,1241,1278,1313,1464,1509,1559,1617,1745,1795,1840,1881,1855,1941,2002,2085,2099,2159,2205,2269,2320,2363,2516,2641,2647,2723,2832,2927,2878,2950,3005,3080,3102,3135,3151,3182,3267,3290,3340,3378,3413,3414,3420,3471,3541,3590,3659,3679,3648,3695,3718,3771,3851,3950,4109,4215,4378,4480,4582,4728,4897,4955,5008,5078,5113,5235,5313,5425,5573,5706,5833,5950,6055,6043,6079,6183,6385,6426,6545,6661,6801,6750,6807,6943,7052,7091,7230,7384,7464,7526,7619,7736,7807,7967,8097,8302,8497,8659,8807,9000,9123,9166,9259,9276,9323,9423,9489,9486,9510,9607,9758,9934,10073,10128,10219,10268,10320,10383,10392,10491,10545,10613,10595,10670,10713,10820,11003,11175,11387,11656,11906,12137,12421,12661,12894,12906,12770,12666,12590,12856,13567,14367,14780,15235,14979,14624,14689,14517,14664,14833,15071,15450,15783,16127,16312,16402,16519,16927
"243","235","            Other purchased meals","DOPMRC0",11816,12108,12569,12811,12778,12998,12877,12873,13108,13029,13072,13451,13618,13894,14110,14309,14380,14608,14590,14907,15414,15703,15852,16078,16711,17115,17554,18151,18599,18858,19207,19225,19317,19517,20048,20645,21845,22428,23160,23599,23931,24843,25117,25819,27070,28189,28525,28439,28952,29534,30368,31209,32413,33144,33989,34652,36314,36856,38388,40012,39928,41358,42454,43925,45691,47541,47957,50909,52885,53975,55572,55965,58668,60324,60700,61402,63605,67212,70635,72694,75489,76428,78680,82556,83790,84097,86042,89060,92898,93802,94153,94895,96409,99566,102281,104494,107378,108587,110960,111838,115200,116499,119472,119573,121525,124279,125073,126211,129339,133087,134984,139179,142990,146342,148807,154124,155183,161248,167859,172346,173023,174034,177751,180267,186522,190358,193805,191300,192483,197780,198588,198303,203959,199265,201183,210712,210753,214472,217607,217784,217162,222156,225107,226715,225908,228435,229706,229834,231001,233899,235160,239368,243101,243638,247599,246973,251547,256259,258681,264066,263414,266813,269047,277298,283457,286589,289372,290259,296164,296161,297733,299815,304776,307398,309833,311404,314765,322740,329226,335788,341368,344753,350713,356509,360984,367762,370641,377163,385967,386088,391303,400257,400517,405566,411699,418343,415327,421237,422516,422078,418552,415298,413230,414941,421606,427977,432627,437708,443734,448821,454632,459183,468176,473102,478764,485867,491644,493470,495261,505348,505377,517382
"244","236","              Meals at limited service eating places","DMLSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71101,73765,76525,81130,80491,84632,87523,89864,89873,91022,94247,95054,98368,99369,100846,99772,100997,103345,102970,102905,106936,105653,106938,111450,113308,114550,115518,115261,113397,116517,118514,120038,120093,120163,120709,121526,122091,122692,121783,122403,122401,123909,124279,123744,127283,130287,132179,134149,133306,134097,135170,139768,142338,144478,145602,146062,150090,149102,149779,151898,154051,155720,158074,157236,159133,163102,165730,171264,172866,175455,177540,180330,182551,186629,187602,190494,195775,194329,196105,197807,197215,201093,206071,208828,208244,211964,214253,215260,213413,213987,212404,213077,218107,220518,225022,228049,230175,231403,233112,236205,240778,243363,246982,251964,257376,260317,262232,265186,263145,273570
"245","237","              Meals at other eating places","DMOERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70496,71170,70831,71528,73212,75197,78928,81089,81775,81611,82102,83851,86748,89514,91470,89954,89938,92918,94130,93839,95420,92052,92666,97688,95935,98398,100570,101092,102340,104231,105231,105323,104456,106884,107566,106868,107500,109816,111989,115571,119351,118367,121922,121843,122813,124464,124926,128302,128456,131020,132189,135736,139211,140161,141819,142272,144099,145070,145828,145675,148472,149371,149445,151853,153259,157182,160991,161978,165939,166762,170636,173624,175872,178508,180352,183924,187369,188872,192294,199490,200315,201449,202552,206480,204140,206244,205142,203763,202087,198240,197845,198868,200452,204456,204551,206532,210444,214317,218437,219882,224246,226488,228465,230694,230979,229951,229896,236873,238940,240491
"246","238","              Meals at drinking places","DMDPRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,1407,1450,1467,1479,1419,1408,1393,1375,1401,1402,1361,1407,1475,1489,1574,1547,1517,1488,1559,1603,1561,1580,1574,1509,1523,1519,1431,1426,1407,1361,1355,1359,1387,1430,1440,1410,1392,1389,1393,1349,1362,1398,1386,1451,1508,1576,1615,1652,1697,1688,1793,1908,1951,1951,1925,1975,1989,2127,2242,2253,2306,2314,2316,2373,2457,2505,2546,2564,2536,2537,2556,2561,2625,2687,2745,2823,2887,2904,2960,2987,3024,3075,3034,2942,3029,3120,3055,3051,3071,2980,2997,3047,3003,3054,3127,3115,3101,3083,3096,3151,3250,3316,3210,3289,3202,3133,3290,3291,3320
"247","239","          Alcohol in purchased meals","DAPMRC0",4104,4272,4361,4411,4279,4381,4276,4322,4302,4304,4299,4379,4434,4470,4492,4592,4581,4638,4642,4713,4786,4837,4819,4837,4914,5074,5104,5165,5331,5380,5390,5329,5319,5187,5184,5251,5493,5569,5655,5575,5537,5806,5865,5943,6090,6366,6626,6571,6511,6640,6638,6784,6948,7233,7483,7584,7953,7933,8149,8197,8302,8473,8714,8968,9116,9356,9572,9780,9878,10115,10472,10600,12108,11286,10758,10816,11543,12222,13133,13476,14037,13927,14307,14898,15175,15609,15596,16247,16708,17084,17007,16827,16964,17122,17433,17617,17792,17868,17988,18306,18731,18355,19001,19168,19305,19660,19485,19737,20041,20952,21137,20924,21433,21591,21669,21993,23162,23502,24475,25153,25349,25828,26248,26532,27751,29039,29815,30482,30573,31230,31568,32440,33587,32860,33457,34872,32933,33330,33546,32600,32597,32610,32135,31889,31540,31986,32326,32000,31646,31605,31731,32093,31946,31791,32579,32366,33452,34558,35532,36650,36985,37897,38095,39746,41465,42154,42644,42803,43798,44254,45981,47493,48649,49297,49449,49878,50621,51632,52732,53589,54652,55202,56224,57264,57924,59141,59656,60847,62488,62613,63514,65256,65537,66372,67332,68457,67801,68757,69016,68441,67758,67164,66830,67040,65921,65119,65373,66920,68022,68660,69464,70262,71923,72803,73416,74227,74716,74547,74566,76606,76695,78184
"248","240","        Food furnished to employees (including military) (103)","DFOORC0",1204,1196,1212,1212,1188,1204,1216,1228,1260,1264,1288,1312,1332,1331,1344,1349,1344,1352,1344,1360,1368,1372,1372,1384,1408,1460,1504,1568,1644,1720,1816,1896,1948,1956,1936,1936,1957,1955,1984,1996,2009,2070,2057,2076,2068,2079,2057,2056,2012,1988,1984,1968,2001,2003,2011,2025,2068,2081,2193,2347,2517,2662,2798,2911,3023,3119,3174,3356,3459,3555,3672,3751,3922,3754,3657,3662,4044,4204,4358,4478,4695,4868,5000,5150,5319,5471,5598,5759,5974,6119,6239,6351,6391,6513,6613,6671,6476,6436,6406,6385,6417,6400,6375,6340,6304,6278,6206,6123,6066,6015,5951,5879,5771,5715,5716,5767,5930,6022,6125,6216,6334,6413,6501,6574,6668,6745,6815,6851,6865,6908,6954,6991,7008,7057,7107,7172,7204,7288,7345,7401,7442,7498,7537,7600,7698,7753,7816,7849,7894,7954,8008,8088,8144,8181,8224,8293,8307,8401,8449,8536,8612,8671,8714,8825,8892,8899,8960,8959,9012,9115,9206,9208,9251,9362,9527,9737,9992,10163,10311,10438,10586,10771,10920,11228,11550,11937,12278,12774,13279,13755,14208,14446,14598,14739,14816,14757,14733,14818,15125,15374,15606,15700,15578,15512,15260,15187,15156,15618,16128,16605,17212,17166,17171,17114,17071,17190,17234,17375,17429,17448,17459,17775
"249","241","          Food supplied to civilians","DCFDRC0",736,740,760,768,764,784,788,792,808,804,816,836,840,839,860,873,876,888,884,896,912,916,916,928,952,980,1000,1032,1068,1104,1120,1128,1136,1140,1144,1164,1200,1204,1240,1256,1280,1344,1356,1392,1408,1444,1480,1524,1520,1536,1556,1564,1616,1627,1635,1657,1699,1691,1779,1908,2068,2208,2340,2448,2546,2623,2661,2826,2923,3023,3140,3211,3377,3206,3102,3098,3468,3624,3770,3890,4071,4244,4376,4522,4683,4823,4950,5111,5326,5471,5587,5691,5791,5901,6001,6071,5905,5885,5864,5841,5852,5829,5803,5772,5753,5736,5671,5595,5541,5493,5431,5359,5246,5191,5193,5246,5415,5510,5610,5694,5794,5866,5952,6028,6136,6219,6292,6329,6335,6378,6426,6467,6495,6546,6595,6656,6676,6749,6798,6848,6887,6941,6978,7039,7136,7192,7257,7295,7348,7414,7473,7558,7617,7657,7703,7775,7791,7886,7933,8019,8091,8144,8180,8281,8336,8331,8381,8367,8417,8511,8584,8558,8573,8649,8774,8947,9131,9243,9397,9545,9695,9858,9941,10120,10279,10464,10548,10704,10882,11100,11327,11519,11726,11936,12078,12173,12298,12446,12688,12811,12873,12888,12846,12982,13060,13199,13198,13433,13572,13764,14192,14234,14448,14605,14760,15064,15294,15561,15709,15790,15855,16208
"250","242","          Food supplied to military","DMFDRC0",468,456,452,444,424,420,428,436,452,460,472,476,492,492,484,476,468,464,460,464,456,456,456,456,456,480,504,536,576,616,696,768,812,816,792,772,757,751,744,740,729,726,701,684,660,635,577,532,492,452,428,404,385,375,376,368,369,390,414,439,449,454,458,463,477,496,513,530,536,532,532,540,545,548,555,564,576,580,588,588,624,624,624,628,636,648,648,648,648,648,652,660,600,612,612,600,571,551,542,543,565,571,572,568,551,542,534,529,525,522,521,520,524,524,523,521,514,513,515,522,541,547,549,547,532,526,523,523,530,530,528,524,513,511,512,516,529,539,547,553,555,557,559,561,562,561,559,554,546,540,535,531,528,524,521,519,516,515,516,518,521,526,534,543,556,568,580,592,595,604,622,650,678,714,754,791,861,919,915,893,891,913,979,1109,1271,1472,1730,2070,2396,2655,2882,2927,2872,2803,2738,2584,2436,2372,2437,2564,2733,2812,2732,2531,2200,1988,1959,2185,2556,2841,3019,2932,2723,2508,2311,2125,1939,1814,1720,1658,1603,1567
"251","243","      Accommodations (104)","DACCRC0",1007,1054,1104,1147,1168,1177,1176,1178,1189,1212,1233,1262,1233,1272,1413,1486,1552,1423,1481,1507,1527,1601,1658,1618,1614,1784,1869,1928,1930,1889,1979,1998,2085,2143,2263,2270,2401,2439,2459,2566,2625,2672,2705,2898,3021,2975,2990,3154,2971,2997,3105,3203,3552,3739,3966,4230,4134,4285,4368,4506,4543,4611,4756,4925,4926,5164,5338,5733,5863,6021,6401,6461,6719,6754,6984,7070,7414,7777,7969,8304,8855,9195,9238,9725,9893,9922,10254,10952,11299,11958,12095,12220,12253,12574,12872,13030,12915,13504,14121,14864,15480,15586,16232,17263,17332,18230,18437,18376,19512,18701,19108,19626,21166,21693,22021,23245,23511,24422,24438,24452,25040,25644,26295,26730,27645,27404,27607,27821,27701,29207,29622,30304,31169,31944,32855,32722,32481,32428,32850,33032,34039,34620,35204,35744,35784,36197,36673,37545,37979,39446,40621,41543,43199,44622,45279,46481,46524,47036,46875,48432,48753,48871,50297,51296,52724,54877,56113,56124,55314,53648,50887,48529,51624,53289,53666,54427,54590,55849,58965,59828,61783,63356,65397,66923,69109,71485,73601,75942,78392,79625,80112,81859,84510,85640,86015,87986,89587,90116,89408,86061,82485,81482,82534,83178,83996,85420,86156,86439,88442,90045,92176,92733,94453,96397,97210,99310,101352,102577,103721,105409,108484,110905
"252","244","        Hotels and motels","DHOTRC0",776,815,855,890,906,910,904,900,903,914,923,940,902,935,1068,1131,1184,1036,1076,1084,1089,1152,1196,1143,1120,1265,1326,1361,1346,1294,1372,1380,1448,1483,1580,1565,1685,1717,1727,1820,1865,1895,1910,2086,2197,2139,2140,2288,2089,2101,2195,2283,2619,2798,3016,3274,3153,3277,3347,3460,3475,3521,3631,3748,3704,3898,4014,4349,4431,4531,4869,4887,5132,5141,5344,5378,5673,5990,6144,6441,6969,7282,7274,7692,7807,7777,8028,8637,8918,9506,9554,9578,9497,9739,9923,9970,9773,10323,10846,11418,12034,12116,12675,13508,13576,14472,14580,14335,15471,14657,14988,15339,16886,17413,17637,18693,18937,19827,19702,19574,20130,20677,21243,21615,22477,22151,22244,22366,22113,23505,23836,24408,25160,25842,26618,26386,25908,25748,26075,26183,27138,27649,28202,28683,28632,28949,29328,30078,30340,31684,32753,33599,35152,36474,37042,38183,38190,38648,38421,39882,40101,40116,41444,42354,43683,45695,46805,46672,45666,43815,40885,38384,41358,42859,42998,43476,43494,44659,47638,48340,50130,51531,53369,54645,56666,58903,60876,63059,65338,66413,66805,68499,71096,72100,72280,73991,75255,75439,74362,70629,66645,65273,65880,66086,66459,67492,67872,67871,69613,70972,72859,73193,74682,76356,76826,78566,80241,81129,82033,83465,86244,88366
"253","245","        Housing at schools","DSCHRC0",231,239,249,257,262,267,272,278,286,298,310,322,331,337,345,355,368,387,405,423,438,449,462,475,494,519,543,567,584,595,607,618,637,660,683,705,716,722,732,746,760,777,795,812,824,836,850,866,882,896,910,920,933,941,950,956,981,1008,1021,1046,1068,1090,1125,1177,1222,1266,1324,1384,1432,1490,1532,1574,1587,1613,1640,1692,1741,1787,1825,1863,1886,1913,1964,2033,2086,2145,2226,2315,2381,2452,2541,2642,2756,2835,2949,3060,3142,3181,3275,3446,3446,3470,3557,3755,3756,3758,3857,4041,4041,4044,4120,4287,4280,4280,4384,4552,4574,4596,4736,4878,4910,4967,5052,5115,5167,5253,5363,5455,5588,5702,5785,5896,6009,6102,6237,6336,6573,6680,6774,6849,6901,6972,7002,7061,7152,7248,7346,7467,7639,7762,7868,7944,8047,8148,8236,8298,8334,8388,8454,8549,8652,8755,8854,8943,9042,9183,9308,9452,9648,9833,10002,10145,10267,10430,10668,10950,11097,11190,11327,11489,11654,11825,12028,12278,12443,12582,12725,12883,13054,13212,13307,13360,13414,13540,13735,13996,14333,14678,15046,15432,15840,16209,16655,17092,17537,17929,18283,18568,18830,19073,19318,19540,19771,20040,20384,20745,21111,21448,21688,21944,22240,22539
"254","246","    Financial services and insurance","DIFSRC0",11985,12326,12620,13004,13183,13503,13714,13803,14447,14850,14686,15078,15125,15533,15353,15389,15203,15494,16107,16826,16980,17476,18145,18364,18630,18989,19499,20460,21068,21324,21420,21275,22039,22400,23321,23608,23699,25701,26545,27246,27296,28164,28763,29788,29989,30603,31378,32323,33273,33828,34463,34993,36980,37664,39008,39704,40112,41035,41869,42981,42996,44503,46903,49224,52080,53561,54239,56193,57504,57748,59902,61891,63092,65743,69469,72862,76480,80993,81595,83467,80113,89248,90939,90226,91923,91620,95911,102979,104146,102859,100229,100787,104711,109740,119035,131855,141459,139436,152576,150084,147348,154224,161789,162920,181330,185181,194414,191453,200073,199710,198149,201284,204046,204476,205408,207273,212741,216392,223595,226503,234002,238593,239560,241350,243832,245870,248520,251335,258535,263946,270193,274479,287353,291349,296022,305640,318025,328974,338347,344999,346711,346432,345001,349356,355378,363867,370204,376065,384393,389545,393829,401629,412731,422498,436850,444908,452611,463154,473569,479776,490561,500541,512050,533345,567342,561594,565945,570258,562857,556568,539002,552857,549886,558161,567808,574487,572530,584482,594304,602576,618007,625871,640228,657283,668717,685357,698306,706150,716513,720700,722063,737560,754272,762414,775366,781915,782870,781482,772883,748697,719556,714946,715878,725442,740544,764684,768137,779587,786672,793083,804634,798804,794686,788502,781062,789518,801902,819905,833044,852036,860984,872637
"255","247","      Financial services","DFNLRC0",5463,5608,5678,5862,5851,6043,6149,6176,6790,6859,6677,6913,6810,7126,6909,6893,6658,6876,7211,7578,7807,7931,8265,8190,8283,8420,8808,9621,9949,10036,9960,9746,10498,10792,11551,11513,10941,12405,12853,13256,13248,13937,14349,14977,14916,15142,15401,15914,16799,17033,17164,17277,18538,18806,18956,19460,19402,19705,20449,21725,21871,22742,24327,25709,28526,30264,30670,31061,32037,31734,32071,33013,34100,34922,36204,37824,39855,43305,44771,44630,45363,47042,48019,48370,51189,49592,52645,53570,53334,53993,54464,54789,54211,57295,63238,73528,81332,87967,89154,90242,87735,87744,90457,94212,107712,113444,117343,121691,126539,127217,125782,128492,132803,133312,133098,133643,133670,133419,135780,134787,138919,140050,138122,137389,136426,135655,135374,135156,137650,140835,145069,148246,158187,158866,162020,168243,174842,181592,188567,193629,195350,196866,197532,201209,204162,210542,216273,220549,227448,232230,235057,240485,247380,254858,266524,270534,275266,282983,292531,296410,305634,313137,320907,338855,365507,356647,358379,359575,350218,341763,334954,337704,338907,345354,350832,354091,349290,355658,360272,364475,376993,381183,389869,401495,406185,415171,422597,425839,436403,443591,445675,459013,469739,474946,485855,490825,491846,491996,488643,473879,453220,452533,450218,452990,459364,476446,475034,482265,484114,484959,493146,487808,488771,488052,483308,491817,499058,512079,520864,536429,542112,549645
"256","248","        Financial services furnished without payment (107)","DIMPRC0",3322,3442,3557,3666,3775,3865,3944,4011,4050,4107,4156,4206,4300,4319,4309,4278,4135,4150,4230,4372,4676,4851,4995,5103,5100,5187,5288,5412,5586,5732,5880,6023,6201,6326,6438,6547,6541,6787,7140,7603,8290,8853,9396,9912,10402,10798,11122,11375,11461,11668,11916,12208,12628,12979,13348,13749,14179,14757,15416,16169,16816,17883,19164,20590,22708,23856,24640,25093,24552,24775,25148,25741,26444,27386,28661,30188,32271,33698,34897,35819,36357,36883,37185,37512,38009,38337,38389,38297,38433,38386,38747,39103,38226,40318,43769,48446,57812,62218,64972,65980,62245,62672,64453,67730,78620,82901,86892,88798,89364,88446,87351,88937,89158,90355,90980,91756,92635,92685,95300,93438,94891,94070,91217,89209,88175,86962,86718,86824,86402,86742,89866,90753,94771,98681,100948,103792,107187,110721,114396,116545,120307,124176,124299,126986,129156,130218,131125,133453,135990,137535,141217,144335,147518,151978,153109,157281,160066,161702,163331,162185,166263,167065,171793,177682,183294,186928,186731,184660,180969,178342,177237,175797,175082,178477,180098,182905,182747,182695,183445,184957,191730,197360,204486,209960,213401,215051,217351,218427,220422,220497,220463,225956,231149,233124,241596,240416,241749,243422,241126,238334,229524,229985,227217,230790,235950,248223,252957,258483,258546,256826,259523,258025,256566,255956,256646,259399,261955,268439,272446,281905,285105,291298
"257","249","          Commercial banks","DIMCRC0",2101,2197,2290,2372,2448,2499,2529,2540,2518,2505,2488,2472,2453,2452,2464,2490,2530,2588,2659,2742,2862,2940,3003,3051,3051,3095,3150,3220,3329,3411,3490,3569,3633,3734,3858,4009,4177,4396,4653,4947,5268,5623,5996,6377,6846,7148,7370,7513,7477,7555,7653,7779,8006,8173,8348,8541,8712,9003,9376,9841,10231,10979,11890,12920,14598,15340,15704,15698,14686,14496,14509,14761,15558,16107,16678,17241,17818,18250,18572,18772,18769,18773,18710,18584,18714,18311,17733,17058,15680,15545,16032,17191,18943,21378,24411,27820,33155,35530,36598,36377,32687,32323,33129,35182,43830,46249,48293,48328,47491,44859,41559,40467,38127,38054,37717,37534,37374,37438,40312,38972,40989,40915,38820,37497,37054,36129,35931,35982,34822,34859,37823,38361,41518,44047,45151,46828,48249,49366,50647,50078,51350,53305,52237,53705,54350,53628,52950,53020,53175,52286,53421,53570,53381,54802,53178,54951,55647,55300,54920,51721,53791,51528,52245,53133,52510,52248,50211,48507,46843,46454,47317,47546,48310,52668,54974,58196,58170,57078,55821,54156,56046,57690,61388,64072,64338,64387,65586,65809,67860,66258,63180,63339,61210,58087,63385,60610,62766,66290,66586,68714,65266,68895,67271,71112,71874,75753,75479,76919,75329,73235,77072,78324,78506,78200,78680,79419,76237,77523,79741,83423,82919,86712
"258","250","          Other depository institutions and regulated investment companies","DIMNRC0",1175,1200,1221,1247,1278,1315,1362,1417,1479,1547,1614,1680,1792,1811,1788,1730,1547,1504,1510,1566,1752,1845,1922,1979,1975,2016,2063,2116,2179,2243,2312,2376,2491,2514,2502,2457,2269,2273,2347,2494,2837,3023,3170,3275,3266,3329,3397,3478,3580,3691,3815,3956,4117,4284,4462,4648,4851,5047,5242,5442,5612,5838,6089,6363,6694,6976,7243,7493,7791,7968,8102,8217,8039,8376,8937,9706,11037,11898,12629,13206,13455,13806,14109,14379,14427,14777,15210,15693,17050,16993,16403,15368,12376,11846,12225,13522,17321,19137,20522,21407,20861,21351,22007,22877,24318,25479,26710,28012,29385,31004,32870,34981,37339,39133,40362,41026,41125,41096,40937,40650,40234,39927,39730,39642,39663,39791,40026,40367,40815,41497,42413,43562,44946,46204,47337,48345,49229,50370,51769,53425,55340,56756,57673,58092,58012,58334,59058,60185,61714,63316,64993,66744,68570,70517,72587,74779,77093,79325,81474,83540,85523,88168,91473,95440,100068,103126,104613,104530,102876,101441,100222,99221,98437,97822,97374,97095,96983,97818,99599,102327,106002,109334,112323,114970,117274,118697,119240,118902,117683,118258,120628,124791,130748,135153,138007,139309,139059,137863,135722,132636,128603,125579,123563,122555,126498,133921,139052,141890,143006,143265,142655,141163,138781,137631,137723,139072,144337,148809,150603,155158,157783,159619
