"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"28","20","    Current expenditures","W022RC1",271.2,280.2,287.4,295.3,301.8,315.9,322.2,330.1,339.8,352,355.3,362.5,377.6,381.8,385.2,398.9,405.3,414.9,418.4,427.8,441.3,460.5,475.8,495.7,517.8,544.6,549.5,562.1,569.8,573.9,588.3,597.7,609.4,621,636,655.5,669.3,681.4,699.6,717.8,734.7,750,774.2,801.7,833.9,859.7,899.5,927.7,960.2,982,1014.9,1044.3,1066.6,1086.8,1122.1,1165.6,1178.9,1202.4,1219.6,1220.8,1244.5,1273,1297.6,1328.4,1355.1,1377.9,1406.1,1428.3,1446.7,1476.5,1502.7,1512.2,1526.1,1547.7,1560.2,1594.6,1618.2,1629.4,1648.8,1691.2,1730.4,1768.7,1795.4,1828.1,1872.2,1904.7,1931.4,1972.6,1943.4,2019.2,2063.6,2112.3,2166.5,2206.2,2238,2262.8,2271.4,2286,2315,2333.1,2330.5,2355,2390.3,2432.9,2469,2496.4,2511.7,2503.5,2550.8,2575.4,2578.9,2608.3,2622,2644.8,2658.5,2692.6,2682.8,2709.8,2721.8,2763.9,2781.6,2806.7,2844.5,2896,2901.8,2964.1,2988,3033.1,3104,3163.3,3196.6,3232.2,3296,3342.4,3377.4,3437.3,3502.3,3572.6,3591.1,3622.9,3716,3748.4,3798.1,3848.9,3953.3,4003,4070.1,4134.8,4195.6,4256.6,4320.9,4324,4467.7,4526.5,4567.5,4626.9,4713,5094.1,4968,4891.3,4985.9,5262.9,5316,5316.4,5443.5,5491.1,5525.8,5549.7,5558.9,5642.1,5587.1,5580.7,5589.9,5616.7,5602.7,5683.1,5630.4,5645.5,5671.8,5675.1,5723.1,5777.3,5847.8,5830.3,5842.7,5944.7,6015.5,6002.7
"29","21","Consumption expenditures","A955RC1",173.5,178.5,184.1,187.3,190.4,191.9,196,199.3,205.6,209.6,212.5,215.5,224.2,228,227.1,230.9,235.1,239.3,241,247.4,255.2,261.1,270.2,281.3,288.6,296.5,301.5,307.4,310,314.2,316.2,324.4,331.3,338.8,345.5,354.8,361.2,368.3,374.3,383.5,393.1,400.3,406.5,421.9,435.5,452.2,457.5,474.4,489.5,503.6,509.5,526.9,537.2,544.4,557,573.7,584.2,593.7,606.2,594.2,610.3,629.4,638.6,649.6,666.7,679.8,697.8,709.9,715.6,731.2,746.7,752.1,760.6,771.3,777,795.6,803.5,812.3,819.7,843.6,853.4,878.6,889.6,904.4,927.4,940.1,949.7,974.7,996.4,1001.4,1006.8,1011.6,1026.6,1040.9,1061.1,1068.3,1063.1,1067.5,1079.2,1086.9,1090.7,1102.1,1122.1,1123.5,1134.5,1145.6,1150.6,1147.3,1158.2,1174.6,1178.8,1194.4,1201.9,1222.2,1228.5,1246,1242.1,1267.6,1276.8,1302,1319.7,1339.4,1369.7,1401.5,1407.4,1442.9,1453.4,1472.9,1510.2,1536.9,1558.8,1574.7,1613.9,1641.2,1659.8,1690.6,1722.6,1755.8,1759,1784.9,1827.8,1856,1887.4,1904.6,1944,1960.1,2002.2,2013.9,2057.9,2076.9,2099.6,2124.9,2160.1,2191.8,2227.1,2260,2312.5,2350.6,2410.1,2401.1,2392.6,2434.6,2461.1,2479.9,2500.3,2526.1,2534.2,2528.2,2516.2,2544.7,2539.4,2523.1,2548,2536.8,2546.7,2545.1,2528.5,2521.1,2516,2522.4,2538.7,2549,2578.7,2558.6,2556.2,2565.6,2580.2,2585.9
"30","22","Current transfer payments","A084RC1",61.4,64.1,64.2,66.8,67.9,78.8,79.3,83.1,85.8,93.6,93.3,96.3,100.1,99.5,101.7,110.5,111.5,115.3,116.2,117.7,123.1,135.2,139.1,146.1,158.7,175.7,173.3,177.4,180.5,179.5,189.9,188.8,191.8,193.6,198.9,200.9,205.2,206.7,214.9,217.8,223,227.8,243.5,250.6,262.3,265.4,298.1,303.7,306.3,309.4,328.7,330.5,336.5,344.4,361.3,379.1,378.1,384.9,381,388.2,388.3,391.4,395.7,407.7,413.5,417.3,424.5,428.3,435,445.3,453.5,455,457,463.3,465.2,474.2,486.6,488.5,495.7,507.7,525.4,531.2,544,558.4,575.5,591.3,600,610.7,554.3,619.9,656.4,694.1,732.5,754.4,764.5,782.6,788.8,796.5,813.8,828.3,826.2,833,840.4,870.3,880.3,887.1,893,887.2,923.9,935.6,932.2,945.4,951.8,952.8,959.4,976.8,974.2,977.7,981.9,1002.6,1006.7,1010.5,1021,1039.6,1042.3,1069.1,1084.2,1108,1132.8,1164.4,1172.8,1224.1,1262.2,1275.4,1287.9,1308.4,1334.1,1352.9,1374.9,1377.2,1429.8,1438.4,1447,1468.6,1522.1,1529.3,1550.1,1571,1609.7,1633.4,1659.9,1659.1,1744.1,1723.8,1751.5,1793.1,1832.9,2171.7,1963.7,1953.6,2061.9,2212.4,2217.8,2218,2334.4,2331.6,2362.4,2378.6,2386.7,2392.3,2374.9,2385.8,2372.3,2394.4,2401.6,2419.1,2436.4,2447.5,2473.6,2475.3,2506.7,2541.4,2586,2601.7,2661.6,2675.7,2708.8,2722.8
"31","23","  Government social benefits","W063RC1",57.7,58.8,60.1,61.6,63.6,73.8,74.3,78.1,80.1,87.8,87.7,89.3,92.3,92.8,93.8,104.2,106.6,108.7,110.4,113.5,118.5,126.7,133.7,140.6,151.6,166.6,169.8,172.6,177.1,175.5,182.6,185.3,188,188.9,194.4,197,200.4,201.6,209.9,212.8,217.7,222.2,237.7,243.9,254.5,259.6,291.5,294.5,300.2,303.2,321.4,323.6,328.3,337.5,353.8,369.2,371.7,377.4,372.1,375.4,379.8,382.7,384.1,391.7,402.1,404.4,409.7,412.4,424.2,429.9,437.2,440.7,446.1,451.7,453.8,457.2,474.8,478,483.5,489.5,513,520.6,530,541.2,562.2,573.7,584.4,603,628.6,649.5,659.7,689.4,716.2,736.1,747.6,752,772.2,778,792.7,797.7,812,816.8,820.4,840.9,864.1,872.6,877.7,871.7,900.9,920.4,916.1,918.2,938.3,939.2,945,950.6,960,964.3,965.5,974.7,991.8,993.5,1004.7,1012.9,1025.4,1050.9,1063.4,1074.4,1117.1,1148.4,1154.7,1200.8,1230.4,1256.1,1269,1285,1304,1322.5,1346.3,1351.8,1391.7,1411.4,1419.4,1438.3,1476.8,1497.8,1511.6,1522.8,1579.5,1596.4,1620.9,1625.5,1693.4,1692.1,1714.1,1743.7,1782.6,2131.2,1920.3,1907.6,2017.3,2156.1,2155.2,2170.8,2276.8,2283.2,2309.6,2323.4,2331.6,2327.8,2319.8,2330,2315.4,2339.2,2345.1,2366.5,2383.7,2393.7,2416,2423.8,2453.5,2490.6,2534,2548.5,2603.2,2628.6,2652.8,2674.7
"32","24","    To persons","A063RC1",57.2,58.2,59.5,61,63,73.1,73.5,77.4,79.3,86.9,86.9,88.5,91.4,91.9,92.9,103.1,105.4,107.6,109.2,112.3,117.5,125.4,132.2,139.1,149.8,164.6,167.7,170.4,174.7,173.1,180.1,182.7,185.5,186.4,191.7,194.3,197.7,199,207.1,209.9,214.9,219.2,234.6,240.7,251.2,256.2,287.9,290.7,296.1,299,317,319.2,324.3,333.2,349.7,365.2,368,373.7,368.5,371.8,376.3,379,380.4,387.9,398.1,400.5,405.6,408.3,419.9,425.6,433.1,435.8,441.9,447.5,449.4,452.8,470.3,473.4,478.8,484.9,508.2,515.7,524.7,535.8,556.2,567.5,578.1,596.8,622.5,643.5,653.8,682.3,710.5,729.1,741.3,746,766.5,771.7,786.3,791.3,805.3,810.1,813.6,833.8,857.9,865.6,870.7,864.6,893.2,912.9,908.5,910.7,930.5,931.3,937.2,942.7,951.8,956,957.4,966.4,983.4,985,996.1,1004.3,1016.9,1042.3,1054.7,1065.6,1107.8,1139.1,1145.2,1191.2,1220.8,1246.5,1259.3,1275.3,1294.1,1312.4,1336.2,1341.6,1381.2,1400.9,1408.8,1427.3,1465.8,1486.6,1500.3,1511.5,1567.2,1584,1608.5,1612.8,1680.2,1678.7,1700.7,1730.3,1768.8,2111.7,1906.2,1893,2002,2139.3,2139.4,2154.7,2260.5,2266.8,2292.9,2306.7,2314.6,2310.7,2302.7,2312.9,2297.7,2321.3,2327.1,2348.4,2365.2,2374.9,2397,2404.8,2434.2,2471.1,2514.4,2528.9,2583.4,2608.4,2632.2,2654
"33","25","    To the rest of the world \5\","W016RC1",0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1,1.3,1.5,1.6,1.8,1.9,2,2.2,2.4,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.8,3,3.1,3.2,3.3,3.4,3.7,3.8,4.1,4.2,4.4,4.5,4,4.2,4.1,4,3.7,3.6,3.6,3.6,3.5,3.7,3.7,3.8,4,4,4.1,4.1,4.3,4.3,4.1,4.8,4.2,4.2,4.3,4.3,4.5,4.5,4.6,4.7,4.9,4.9,5.3,5.5,6,6.2,6.3,6.2,6.1,6,5.9,7.1,5.7,7,6.3,5.9,5.7,6.3,6.4,6.4,6.6,6.7,6.8,7.1,6.1,7,7,7.1,7.6,7.5,7.6,7.6,7.8,8,7.8,7.9,8.2,8.3,8.1,8.2,8.4,8.5,8.6,8.6,8.5,8.7,8.7,8.7,9.4,9.3,9.5,9.5,9.6,9.7,9.7,9.7,10,10.1,10.1,10.2,10.5,10.6,10.6,10.9,11.1,11.2,11.3,11.4,12.3,12.4,12.4,12.7,13.2,13.3,13.4,13.3,13.7,19.5,14.1,14.6,15.3,16.8,15.9,16,16.3,16.5,16.6,16.7,17,17.1,17.1,17.1,17.7,17.9,18.1,18.2,18.6,18.8,19,19,19.3,19.4,19.5,19.6,19.8,20.1,20.6,20.6
"34","26","  Other current transfer payments to the rest of the world \3,5\","W017RC1",3.6,5.3,4.1,5.1,4.2,4.9,5.1,5,5.7,5.9,5.6,6.9,7.8,6.6,8,6.3,5,6.6,5.8,4.2,4.7,8.5,5.4,5.4,7.1,9.1,3.6,4.8,3.4,3.9,7.3,3.5,3.8,4.7,4.5,4,4.9,5.1,5,5.1,5.3,5.6,5.7,6.7,7.9,5.7,6.5,9.2,6.2,6.3,7.3,6.9,8.2,6.9,7.5,10,6.5,7.5,8.9,12.8,8.5,8.7,11.6,16,11.4,12.9,14.9,15.9,10.7,15.4,16.2,14.4,10.9,11.5,11.4,17.1,11.8,10.6,12.2,18.1,12.3,10.6,14,17.2,13.3,17.6,15.5,7.7,-74.3,-29.6,-3.3,4.7,16.3,18.4,16.9,30.6,16.6,18.5,21.1,30.6,14.3,16.2,20,29.4,16.3,14.5,15.3,15.5,23,15.3,16.1,27.1,13.6,13.6,14.4,26.2,14.1,13.5,16.3,27.9,14.9,17,16.3,26.7,16.9,18.2,20.8,33.7,15.7,16,18,23.3,31.8,19.3,18.9,23.3,30.1,30.4,28.6,25.4,38.1,27,27.6,30.4,45.2,31.6,38.5,48.1,30.3,37,39.1,33.6,50.7,31.7,37.4,49.4,50.4,40.5,43.4,46,44.6,56.3,62.5,47.2,57.6,48.4,52.9,55.1,55.1,64.5,55.1,55.8,56.9,55.3,56.5,52.6,52.7,53.8,57.6,51.4,53.2,50.8,52.1,53.2,58.4,47.1,56,48.1
"35","27","Interest payments \2\","A180RC1",31.9,33.1,34.5,36.6,38.7,40.4,42.1,42.9,43.5,43.9,45,46.1,47.1,48.2,49.2,50.5,52.7,54.6,56.5,58.1,59.5,61.2,63.4,64.7,66.3,68.1,70.1,72.3,74.1,75.5,77,79.1,80.5,82.7,85.3,89.4,94.2,98,102.2,106.1,110.2,113.1,116.1,120.3,126.9,132.5,133.9,139.2,153.7,158.3,165.5,173.4,179,184.4,190.7,193.3,196.6,202.2,210.2,216.9,224.6,231.1,242.4,249.9,253.8,259.8,262.4,268.1,273,275.8,277.1,278.2,280.3,282.7,286.8,293.6,297.7,298.7,304.2,311.4,323.6,331.6,334.7,338,342.2,346.3,354.8,360.2,365.6,370.7,372.9,378.5,378.8,381.6,382,379.7,384.1,384.4,384.4,381.9,380,387.6,395.9,407,420.2,429.2,432.9,433.5,433.2,429.7,432.7,433.7,434,436.1,437.1,436.1,432.7,429.5,426.3,419.5,412.7,411.7,407.4,408,407,406.6,404.5,405.1,405.7,400,393.9,387,377.2,386,388.4,396.6,400.7,406.8,410.2,413.6,413.6,410.4,418.7,423.6,430.7,452.8,455.7,485.7,472.2,494.8,511.4,491.4,514,552.8,533,519.2,515.7,520.2,542.2,482,476.2,560.5,570.1,562.8,553.9,577.8,573,586,597.5,645.2,611.9,610.9,611.2,627.4,598.1,659.4,606.3,617.3,622.7,618.4,619.5,629,624.8,612.5,567.3,644.9,667.3,634.7
"36","28","  To persons and business \2\","A204RC1",31.2,32.3,33.7,35.8,38,39.5,41.1,41.7,42.3,42.5,43.1,43.7,44.7,45.8,46.6,47.6,49.5,51,52.6,54.2,55.8,57.2,59.2,60.4,61.8,63.9,65.7,68.1,70.1,71.4,72.6,74.6,76,77.9,80,83,86.8,90.1,94.1,96.5,99.7,102.8,105.7,109.4,115.4,121.4,122.6,125.7,138.5,141.8,148.9,156.6,161.3,167.2,172.2,174.7,178.7,184.3,192.2,198.4,205.8,211.7,221.8,228,231.7,237.8,240.1,245.8,249.6,252.7,253.6,254.9,256.2,258.5,263.3,268.9,271.5,270.5,274.3,280.6,290,297.3,299.5,302.9,306.7,310.6,318.6,323.3,328.5,334.5,336.7,343.7,344.4,347.2,347.7,345.7,350.1,350.5,349.7,347.7,346,352.8,359.6,366.6,379.6,383.2,383,381.7,379.8,374.7,376.2,371.6,367.9,367.2,366.1,363.3,360.4,356.7,354.5,348.1,342.9,344.1,342,343.9,343.1,341,340.3,341.4,343.9,340.7,339.3,334.5,327.1,336.9,339.8,347.1,352.1,360.5,362.9,366,364.4,355.9,362.1,364.6,367.4,386.5,387.1,411.9,393.6,409.6,423.8,399.2,417.3,451.7,434.4,419.4,414.5,418.8,444.3,382.2,378.3,469.4,482,474.3,463.4,485.4,476,486.4,497.9,545.1,510.8,511.5,514.2,531.9,498.6,556.5,504.9,516.5,524.9,521.7,523.4,533.5,527.4,515.2,470.7,547.1,570.2,535.9
"37","29","  To the rest of the world","Y712RC1",0.8,0.8,0.8,0.8,0.7,0.9,1,1.1,1.2,1.5,1.9,2.4,2.3,2.4,2.6,2.9,3.2,3.6,3.9,3.9,3.7,4,4.1,4.4,4.5,4.2,4.4,4.3,4,4.1,4.4,4.5,4.5,4.8,5.3,6.4,7.4,7.9,8.1,9.5,10.5,10.3,10.4,10.9,11.5,11,11.4,13.5,15.2,16.4,16.7,16.8,17.7,17.1,18.5,18.6,17.9,17.8,18,18.5,18.8,19.4,20.6,21.8,22,22,22.3,22.3,23.5,23.1,23.5,23.3,24.1,24.2,23.5,24.7,26.2,28.2,29.9,30.8,33.6,34.2,35.2,35.1,35.5,35.7,36.2,36.9,37.1,36.2,36.2,34.8,34.4,34.4,34.3,34,34,33.8,34.7,34.2,34.1,34.8,36.2,40.3,40.6,46,49.9,51.8,53.4,55,56.5,62.1,66,69,71,72.8,72.4,72.8,71.8,71.4,69.8,67.6,65.4,64.2,64,65.6,64.2,63.8,61.8,59.3,54.7,52.5,50.1,49.1,48.5,49.5,48.6,46.3,47.3,47.6,49.3,54.5,56.5,59,63.2,66.3,68.6,73.8,78.6,85.2,87.5,92.1,96.7,101.2,98.6,99.7,101.3,101.3,97.8,99.8,97.9,91.1,88.1,88.4,90.5,92.4,97,99.6,99.6,100.1,101,99.4,96.9,95.5,99.6,102.9,101.4,100.7,97.8,96.7,96.1,95.4,97.4,97.3,96.6,97.8,97,98.8
"38","30","Subsidies \4\","A107RC1",4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.9,21.6,22.2,21.5,21.2,21,20.9,21.2,21.1,21,21.3,22,23.1,24.2,25.5,26.8,28.3,30.4,31.3,31.1,30.4,29.8,29.2,28.6,28,27.4,27.1,27.3,27.1,26.9,26.9,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,45,57.1,47,47.2,44.7,43.7,45.1,52,56.5,60.7,62.1,64.3,55.7,51.5,49.9,48.7,49.5,58.2,55.9,54.7,51.9,51.6,52.1,54.7,55.2,55.4,67.1,55.7,54.9,55.5,56.2,56.9,58.6,59.9,61,60.8,58.4,58.1,56.3,59.4,59.2,59.7,59.5,59,58.1,57.9,58.2,57.5,57.6,58.5,59.2,59.3
"39","31","    Net government saving","A922RC1",5.9,2.4,-4.1,-8.3,-18,-28.9,-36.5,-43.8,-45.5,-51.9,-51.5,-52,-43.3,-40.2,-38.1,-40.3,-27.6,-31,-27.9,-25.7,-29.9,-34,-33.4,-56,-82.7,-138.4,-94.3,-94.9,-80.9,-74.4,-77.2,-75.8,-66.9,-59.1,-62.3,-65.6,-66.3,-40.8,-42.4,-36,-31,-31.5,-35.6,-47.3,-56.6,-85.4,-96.1,-85.3,-63.4,-71,-78.3,-114,-136.7,-143.5,-181.4,-217.4,-217.7,-201.6,-211.1,-184.5,-160.6,-165.3,-177.1,-182.6,-145.2,-195.3,-176.6,-184.3,-175.9,-204.7,-207.7,-180.6,-187.7,-122,-141.8,-152.8,-149.4,-142.4,-130,-139.6,-117.8,-144.6,-156.3,-178.2,-192.8,-205.1,-204.7,-227,-205,-269.1,-292.3,-318.8,-356.1,-367.4,-387,-370.1,-388.6,-346.5,-356.4,-304.6,-296,-266.4,-274.9,-285.3,-283.5,-286.1,-277.2,-242.8,-238.9,-196.8,-179.9,-148.2,-125.5,-105.1,-62.2,-65.1,-8.7,2.2,35.9,43,59.6,66.7,80.3,96.9,198.2,168.6,160.2,138.7,105.3,39.2,-206.7,-141.2,-345.3,-389.8,-393,-437.5,-488.3,-538.6,-579.5,-490.8,-556.2,-524.8,-482.3,-467.1,-379.5,-380.7,-377.7,-347.4,-269,-265.6,-283.7,-247.4,-279.8,-307.3,-361.8,-404.6,-526.3,-901.4,-846.9,-921.7,-1307.2,-1601.4,-1626.5,-1547.9,-1612.2,-1601.3,-1540.8,-1509.7,-1451.5,-1513.6,-1458.1,-1417,-1331.8,-1332.4,-1301.9,-1277.3,-971.1,-697.9,-905.7,-737.5,-808.5,-790.2,-816.1,-781.9,-729.7,-728.7,-766.3,-683.8
"40","32","Social insurance funds","A221RC1",5.3,5.6,6.1,6.4,6.7,-1.2,0.6,-1.6,1.5,-4.8,-3.8,-4,0.4,1.1,2.2,-5.2,6.5,6.1,6.1,6,9.5,4.5,2.2,-1.8,-8.7,-14.5,-20.8,-19.2,-14.7,-12.2,-17.1,-17.6,-13.9,-11.3,-13.9,-13.2,-4.4,-0.1,-4.9,-3.5,6.5,6,-2.6,-2.9,-1.1,-7.2,-26.5,-23,-6.3,-5.3,-19.1,-21.2,-18,-24.9,-38.3,-51.4,-41.1,-43.6,-32.8,-29.1,-12.2,-8.6,-4.5,-6.5,-1.4,1.5,2,6.7,7.7,7.1,5.9,9.4,12.6,13,17.2,23.8,33.1,40.3,44.1,48.8,43.8,44.6,44.7,46.8,45.3,44.8,47.1,40.2,30.9,26.3,28.5,22.4,10.4,6.4,8.6,8.6,2.2,6.7,7.7,11.4,15.1,19.5,21.6,23.8,20.8,18.4,19.5,19.9,10.3,13.7,18.2,20.8,20.5,25,32.5,42.6,46.5,55.7,63.4,74.3,84.9,89.3,95.7,107,120,108.9,118.8,117.3,110.3,99.2,82,71.4,65,48.4,46.9,44.2,42.6,38,39.6,44.1,48.8,58.2,66.3,60.7,53.4,51.7,58.9,58.8,21.2,16.1,11.7,16.6,12.7,1,-9,-10.3,-19.7,-33.6,-65.1,-94.5,-199.7,-242.3,-274.2,-287.7,-299,-285,-282.1,-284.9,-261.1,-265.3,-260.7,-279,-284.7,-286.7,-290.5,-277.8,-294.2,-277.1,-281.8,-284.4,-272.3,-278.6,-276.5,-272.9,-290.1,-289.8,-294.3,-301.2
"41","33","Other","A391RC1",0.7,-3.2,-10.2,-14.6,-24.7,-27.7,-37.2,-42.2,-47,-47,-47.7,-48.1,-43.7,-41.3,-40.3,-35.1,-34.1,-37.1,-34,-31.7,-39.4,-38.5,-35.5,-54.2,-73.9,-123.8,-73.5,-75.7,-66.2,-62.1,-60,-58.2,-53,-47.8,-48.4,-52.4,-61.9,-40.7,-37.6,-32.6,-37.4,-37.5,-32.9,-44.4,-55.5,-78.2,-69.6,-62.3,-57.1,-65.7,-59.2,-92.8,-118.6,-118.6,-143.2,-165.9,-176.6,-158,-178.3,-155.4,-148.5,-156.7,-172.6,-176.1,-143.8,-196.8,-178.6,-191,-183.6,-211.8,-213.6,-190,-200.3,-135,-159,-176.7,-182.5,-182.7,-174,-188.4,-161.6,-189.2,-201,-225,-238,-249.9,-251.8,-267.2,-235.9,-295.4,-320.8,-341.2,-366.5,-373.8,-395.7,-378.7,-390.8,-353.2,-364.2,-316.1,-311.1,-286,-296.5,-309.1,-304.3,-304.5,-296.7,-262.7,-249.2,-210.5,-198.1,-169,-146,-130,-94.7,-107.7,-55.2,-53.5,-27.5,-31.3,-25.3,-22.7,-15.4,-10.1,78.2,59.7,41.4,21.3,-5,-60,-288.7,-212.6,-410.3,-438.2,-439.8,-481.8,-530.9,-576.5,-619.1,-535,-605,-583,-548.5,-527.8,-432.9,-432.4,-436.6,-406.2,-290.3,-281.7,-295.4,-264,-292.6,-308.3,-352.8,-394.3,-506.6,-867.8,-781.8,-827.2,-1107.5,-1359.1,-1352.4,-1260.2,-1313.2,-1316.4,-1258.7,-1224.8,-1190.4,-1248.3,-1197.4,-1138,-1047,-1045.7,-1011.4,-999.4,-676.9,-420.8,-623.8,-453.1,-536.2,-511.6,-539.6,-509,-439.6,-438.9,-472,-382.7
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","34","  Total receipts","W066RC1",281.6,287.4,287.9,291.7,288.6,291.7,290.3,291.1,299.2,305.2,309.2,318.2,342,347.6,353.6,365.6,384.9,390.1,396.8,408.8,418.1,432.9,448.6,445.6,441.1,412.7,462,473.8,495.7,506.6,518.3,529.8,556.7,569.8,581.4,597.3,610.2,647.7,664.4,689,711.2,725.9,746.1,762.4,785.4,782.9,812.7,851.3,905.4,920.1,946.1,940,941.5,953.6,950.7,956.8,969.5,1009.2,1017.4,1043.8,1092.6,1115.8,1128.7,1154.1,1218.8,1191.2,1238.8,1252.8,1280.3,1281.7,1305.5,1341.7,1349.1,1436.3,1429.3,1451.8,1479.3,1497.4,1530.5,1563.4,1624.1,1636.7,1651.4,1663.2,1693,1718.4,1742.3,1760.8,1753.9,1765.1,1787.7,1808.9,1826.1,1853.7,1867,1909.2,1899.3,1956.8,1976.1,2047.6,2054.8,2109.9,2135,2167.2,2204.8,2229.3,2255.1,2281.9,2333.4,2401.6,2423.1,2483.8,2522.2,2566.1,2623.7,2655.9,2704.7,2744.1,2790.5,2841,2876.5,2910,2961.1,3031.5,3136,3168.6,3183.6,3207.1,3245.4,3240.4,3031,3125.7,2985.2,2985.2,3018.1,3029.5,3043,3060.7,3038.2,3161.8,3189,3253.5,3348.1,3411.4,3604.1,3651.8,3730.9,3818.4,3963.3,4022.8,4069.3,4107.7,4217.3,4250.8,4236.6,4256.4,4219.5,4228.7,4153.6,4003.9,3706.5,3687.3,3713.3,3790.6,3853,3910.2,4004.4,4057.4,4122.4,4142.9,4143,4177.8,4274.6,4302,4320.6,4438.4,4684.1,4973.1,4793.3,4964,4939.8,5011.2,5054.8,5071.1,5137.1,5241,5274,5344.3
