"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"80","69","Recreation and culture","G170681",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5
"81","70","Education","G170691",3.1,3.7,3.9,4.4,3.9,5,5.5,4.5,5.5,6.1,7.2,7.9,7.9,7.5,6.8,7.8,8.6,9,8.5,9.9,10.8,11.3,12.7,14.1,15,15.7,15.3,17.1,16.9,18.3,20.5,21.3,23.7,27.7,34.1,38.8,40.1,42,40.2,42.1,59.4,71.4,63.5
"82","71","Income security","G170701",6.1,7.3,9.5,11.2,10,9.1,12.8,14.7,15.6,17.5,17.9,21.7,22.8,22.9,24.7,26.5,27,28.7,29,30.8,32.4,35.8,39.1,42.4,45.7,50,51.5,51,52.6,53.8,57.1,60.2,66.1,71.7,72.7,71.7,73.5,74.4,78,83.7,91.8,96.3,94.1
"83","72","  Disability","G170711",0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.4,0.4,0.9,1,1.2,1.3,1.4,1.4,1.6,1.6,1.7,1.8,1.8,1.9,2,2,1.9,2,2.3,2.5,2.7
"84","73","  Welfare and social services","G170731",5.2,6.2,8.4,10,8.6,7.8,11.2,12.7,13.6,15.5,15.5,18.6,19.3,19.4,21,22.8,23.4,24.8,25.1,26.9,28.3,31.3,35.2,37.9,39.3,42.7,45.1,44.3,46,46.6,49.6,53.2,57.7,62.5,62.4,62.3,62.8,63.3,67.9,72.5,78.4,83.7,81.6
"85","74","  Unemployment","G170741",0.6,0.7,0.7,0.9,0.8,0.9,1.2,1.3,1.5,1.5,1.6,2,2.1,2.1,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.8,3,3.5,3.6,3.2,3.3,3.3,3.2,3.3,3.4,3.1,3.3,3.6,3.5,3.4,3.4,3.4,3.3,3.1,3.1,3.9,3.2
"86","75","  Other","G170751",0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.7,1,0.9,0.7,0.8,0.5,0.7,0.6,0.5,0.8,1,0.4,0.6,1.9,3.2,1.8,2.1,2,2.4,2.4,2.3,3.5,3.9,4.9,4,5.3,5.7,5,6.1,8,6.2,6.7
"87",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","76","      Government","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.6,52.9,59.7,57,61.6
"89","77","Economic affairs","G170791",4.1,4.2,3.7,5.2,3.6,1.2,2.2,2.5,4,5.3,3.9,4.3,4.7,6.3,11.8,11,10.1,13.8,18.8,16.8,13.2,11.5,10.4,11.7,16.1,10.9,10.4,10.2,10.3,14.7,24.1,26.1,38,17,22.5,17.8,29.2,20.7,17.1,19.6,24.6,22.2,26.2
"90","78","  Transportation","G170841",0.3,0.3,0.4,0.5,0.6,0.7,1.4,1.7,2.1,2.2,2.5,3,2.7,2.8,2.5,2.5,2.3,1.9,1.9,2.1,2.1,1.9,1.9,2.1,2.2,2.1,2.1,1.6,1.6,1.1,1.1,1.2,6.2,1.9,4.2,2.3,2.2,2.2,1.9,2.1,2.6,3.1,2.6
"91","79","  Other economic affairs","W696RC1",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,31.9,15.1,18.3,15.4,26.9,18.6,15.2,17.5,22,19.1,23.6
"92","80","    General economic and labor affairs","G170801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,3.3,5.3,9.8,6.7,13
"93","81","    Agriculture","G170811",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.2,12.2,12.4,10.6
"94","82","    Energy","G170821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0,0,0,0
"95","83","    Natural resources","G170831",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0
"96","84","Housing and community services","G170871",0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.7,30.6,37.5,33.3,35.1,34.8,35.5
"97","85","      Federal","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51,47.4,49.9,58.3,55.4,61.1
"98","86","Economic affairs","G170911",4.1,4.1,3.7,5.2,3.6,1.1,2,2.3,3.8,5,3.6,4,4.3,5.9,11.4,10.6,9.8,13.5,18.5,16.4,12.8,11.1,10,11.3,15.7,10.5,10.1,9.9,9.8,14.3,23.6,25.5,30.4,16.1,22.4,17.4,28.8,20.4,16.7,19.2,24.2,21.8,25.7
"99","87","  Transportation","G170961",0.2,0.2,0.4,0.4,0.5,0.5,1.2,1.5,1.9,1.9,2.2,2.7,2.3,2.3,2,2.1,2,1.6,1.7,1.8,1.7,1.5,1.5,1.7,1.8,1.8,1.8,1.3,1.2,0.7,0.7,0.7,5.6,1.3,3.8,2,1.9,1.8,1.5,1.7,2.2,2.7,2.1
"100","88","  Other economic affairs","W697RC1",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.4,8.5,7.8,11.9,16.8,14.6,11.2,9.6,8.5,9.5,13.9,8.7,8.3,8.5,8.7,13.6,22.9,24.8,24.8,14.7,18.6,15.4,26.9,18.6,15.2,17.5,22,19.1,23.6
"101","89","    General economic and labor affairs","G170921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.9,0.9,1,1.2,1.9,2.2,2.1,2.5,2.5,2.8,3.3,5.3,9.8,6.7,13
"102","90","    Agriculture","G170931",3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.2,12.2,12.4,10.6
"103","91","    Natural resources","G170951",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0
"104","92","Housing and community services","G170981",0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.7,24.4,25,23.5,21.6,21.1,19.8,20.7,24.4,26.6,28.6,31.7,30.6,30.7,30.7,34.1,33.7,35.4
"105","93","      State and local","B114RC1",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3,1.4,1.6,0.5
"106","94","Economic affairs","G171001",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"107","95","  Transportation","G171021",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"108","96","  Energy","G171011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0,0,0,0
"109","97","Housing and community services","G171041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2.6,1,1.1,0.1
"110",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","98","      Government","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,506.9,505.5,480.2
"112","99","General public service","G171061",1.8,1.5,1.7,1.9,2.4,3.3,4.1,4.1,3.9,4.5,5.1,5.7,5.8,6.1,6.2,6.6,7.5,8.6,9.5,9.3,10.4,12.6,13.6,13.7,13.2,14,16.3,16.8,17.9,19.8,22.1,24.2,25.2,28.1,27.6,30.5,31,30.7,33.7,36.5,36.8,36.4,34.3
"113","100","National defense","A788RC1",11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,86.9,104.5,111.5,115.3,108.7
"114","101","Public order and safety","G171081",0.6,0.6,0.7,0.9,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.5,2.6,2.9,3.3,3.8,4.6,5.4,6,6.9,8.2,9,9.5,9,9.9,10.3,10.8,11.7,13.1,13.9,14.6,14.9,14.6,15.8,14.8,14.9,15.4,16.4,18.5,20.2,20.2,19.3,19.5
"115","102","Economic affairs","G171091",16,16.8,17.5,17.8,18.2,21,22.5,23,24,28.8,33.2,36.7,38.9,38.1,40.7,45.1,50.2,52.5,54.6,56.9,58.7,65.4,66.3,69,72.1,73,74.1,77.3,81.1,84.7,94.3,101.7,108.1,112.1,115.7,117.7,122.5,130.5,141.1,148.2,151.7,156.1,148.1
"116","103","Housing and community services","G171101",4,4.2,4.5,4.5,5.1,6.4,7.4,7.8,7.6,9.4,10.6,12.8,12.5,12.2,11.6,13.1,14.4,16.3,18.3,19,19.4,21.3,21.9,22,21.2,20.3,21.7,23.5,24.6,24.7,26.3,25.6,29.2,32.5,34.5,36.5,38.7,47.1,48.4,51.9,51.1,53.9,48.1
"117","104","Health","G171111",1.3,1.4,1.7,1.8,1.9,2.3,2.6,2.8,2.7,2.9,3.2,4,4.3,4.5,5.2,5.9,6.3,7.1,7.8,8,8.9,9.6,10.5,10.9,11.9,11.7,11.9,12.7,12.7,13.6,14,14.1,14.3,15.2,16.2,16.1,17.8,17.4,19.5,22,22.8,22.7,25.2
"118","105","Recreation and culture","G171121",0.6,0.7,0.7,0.7,0.8,1.1,1.5,1.5,1.4,1.6,1.7,1.8,1.8,1.9,1.8,1.9,2.2,2.4,2.7,2.9,3.2,3.7,3.7,3.5,3.5,3.5,4.2,4.9,5.8,6,6.4,7.7,8.4,8.5,7.9,7.9,8.4,7.6,9,9.5,9.3,9.1,8.1
"119","106","Education","G171131",7.4,7.3,7.3,7.4,8.6,9.6,10,9.6,8.7,9.4,10.4,11.4,11.1,11.1,11.5,13.3,15.2,17.3,18,21.1,24.9,27,30.1,31.6,30.4,33.3,40,43.7,49.9,52.1,59.3,64.5,69,71.8,73.6,76.6,80.2,88.8,95.3,100.7,100,88.9,84.8
"120","107","Income security","G171141",0.2,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.9,0.9,0.8,1,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,1.2,1.2,1.3,1.8,1.7,1.8,1.9,1.9,1.9,2.3,2.3,2.4,2.3,2.5,2.6,2.7,3.8,5.6,4,3.6,3.5,4,3.4
"121","108","      Federal","A787RC1",15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.4,148.4,156.6,167.3,160.5
"122","109","General public service","G171161",0.1,0.2,0.3,0.4,0.5,0.8,0.9,0.9,0.9,1.1,1.4,1.7,1.6,1.8,1.7,1.7,2.1,2.2,2.7,2,2,2.7,3,3,1.9,1.6,2.9,1.7,1.9,1.7,2,1,2.3,2,2.4,4,3.7,4.3,4.7,5.5,5.8,6.5,6.3
"123","110","National defense","A788RC1",11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,86.9,104.5,111.5,115.3,108.7
"124","111","Public order and safety","G171181",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.5,2,2.3,3.3,3,2.7,3.5,4.4,4.9,5.1,5.2,4.9,6.2,5.9,5.6,5.7,6.5,7.2,8.4,8.5,8.7,9.2
"125","112","Economic affairs","G171191",2.8,2.8,3,3.1,3.2,3.4,3.8,4.4,5,6.4,6.6,7.3,8.2,7.9,8.9,9.3,10,9.8,10.7,10.6,11.5,13.1,13.3,15.3,15.3,12.7,13.3,15,13.6,14.6,16.4,15.3,13.9,14.9,14,14.2,15.4,16.6,17.1,17.2,16.9,21.6,19.7
"126","113","Housing and community services","G171201",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.7,0.4,0.5,0.4,0.3,0.5,0.5,0,0.3,0.3,0.4,0.3,0.4,0.2,0.4,0.6,0.4,0.4,0.4
"127","114","Health","G171211",0.3,0.4,0.3,0.4,0.5,0.5,0.7,0.6,0.6,0.7,0.7,1,1.3,1.2,1.9,2.4,2.6,3,3.4,3.3,3.6,3.7,4.4,4.3,4.9,5,5.1,5.9,5.2,5.8,6.1,5.9,5.7,5.8,6.5,5.7,6.5,6,6.5,7.8,9.1,9.6,11.6
"128","115","Recreation and culture","G171221",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.7,0.7,0.7,0.8,0.8,0.8,1,0.7,0.7,0.6,0.6,0.7,0.7,1.2,1
"129","116","Education","G171231",0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.9,1,1.1,1.1,1.1,1.3,1.4,1.5,1.7,1.8,1.8,1.8,1.4,1.3,1.4,1.5,1.5,1.5,1.6
"130","117","Income security","G171241",0.1,0,0,0.1,0.1,0.3,0.5,0.6,0.7,0.7,0.7,0.9,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.7,1.1,0.9,1,1,1,0.9,1.2,1.2,1.2,1.1,1.3,1.4,1.4,2.5,4.3,2.6,2.2,2.1,2.6,2
"131","118","      State and local","A799RC1",28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,329,348.8,350.3,338.2,319.7
"132","119","General public service","G171261",1.7,1.3,1.4,1.5,1.9,2.5,3.2,3.2,3,3.4,3.6,4,4.2,4.3,4.4,4.9,5.4,6.4,6.8,7.2,8.4,10,10.5,10.7,11.3,12.4,13.4,15.1,16,18.1,20.1,23.1,22.9,26.1,25.2,26.5,27.4,26.4,29.1,31,31,29.9,27.9
"133","120","Public order and safety","G171271",0.5,0.6,0.7,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.1,2.3,2.5,2.7,3.1,3.8,4.5,4.9,5.6,6.7,7.5,7.4,6.8,6.6,7.3,8,8.2,8.7,8.9,9.4,9.7,9.8,9.6,8.9,9.3,9.7,9.9,11.3,11.8,11.7,10.6,10.3
"134","121","Economic affairs","G171281",13.2,14,14.5,14.7,15,17.6,18.7,18.6,19,22.4,26.7,29.4,30.7,30.2,31.8,35.8,40.2,42.7,43.9,46.3,47.1,52.3,52.9,53.7,56.8,60.3,60.8,62.3,67.5,70,77.8,86.4,94.2,97.2,101.7,103.5,107.1,113.9,124,131.1,134.8,134.5,128.4
"135","122","Housing and community services","G171291",4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.2,10.5,12.7,12.3,12,11.3,12.9,14.2,16,18.1,18.7,19.2,21,21.6,21.8,20.5,20,21.2,23.2,24.3,24.2,25.8,25.6,28.9,32.2,34.1,36.3,38.3,46.9,47.9,51.3,50.7,53.5,47.7
"136","123","Health","G171301",1,1,1.4,1.4,1.4,1.8,1.9,2.2,2.1,2.2,2.5,2.9,3,3.3,3.2,3.5,3.8,4,4.4,4.7,5.3,5.8,6.1,6.6,7,6.7,6.8,6.9,7.5,7.9,7.9,8.2,8.6,9.3,9.7,10.3,11.3,11.4,13,14.2,13.7,13.1,13.6
"137","124","Recreation and culture","G171311",0.5,0.6,0.6,0.6,0.7,1,1.3,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.8,2,2.3,2.5,2.8,3.1,3.6,3.5,3.3,3.3,3.3,3.9,4.6,5.1,5.3,5.7,6.9,7.6,7.7,7,7.2,7.7,7,8.4,8.8,8.6,7.9,7.2
"138","125","Education","G171321",7.3,7.1,7.1,7.2,8.3,9.4,9.7,9.4,8.5,9.1,10.1,11.1,10.8,10.7,11,12.7,14.7,16.7,17.4,20.5,24.3,26.4,29.3,30.8,29.5,32.3,38.9,42.6,48.8,50.9,57.9,63.1,67.3,70,71.8,74.8,78.8,87.5,93.9,99.2,98.5,87.4,83.2
"139","126","Income security","G171331",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.3,1.3,1.4
"140",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","127","      Government \4\","W069RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,4.2,17.1,21.6,42.3,18.4,29.1,104.7,161.9,89.5,75.2
"142","128","General public service","W800RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,0.2,1.9,0.7,2.3,1.7,0.1,0.2,0.1,0.2,1.2
"143","129","Economic affairs","W801RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,61.4,35.3,2.4,2.1
"144","130","  Transportation","W802RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4
"145","131","    Highways","W803RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"146","132","    Air","W804RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
"147","133","    Water","W805RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0
"148","134","    Transit and railroad","W806RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"149","135","  Other economic affairs","W807RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,34.9,2,1.7
"150","136","Housing and community services","W808RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,23.8,0,0,9.7,95.1,51.9,38
"151","137","Health","W809RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.8,16.1,15.9,16.4,12.7,15.6,11,13.8,11.9
"152","138","Income security","W810RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17.7,20.3,21.2,22
"153","139","      Federal \5\","W020RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.3,36.6,42,49.2,62.6,63.5,84.8,70.5,82.8,161.8,223.9,160.2,142.8
"154","140","General public service","W698RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,0.2,1.9,0.7,2.3,1.7,0.1,0.2,0.1,0.2,1.2
"155","141","Economic affairs","G171361",4.3,4.9,5.3,5.4,5.2,5.9,7.2,7.6,7.7,8.7,10.5,12.4,12,11.3,12.8,15,16.6,17.1,16.4,17.3,17.7,18.6,18.9,20.3,21.5,23,24.9,25.8,26.4,26.3,29.3,33.1,37.6,41.2,41.1,42.1,44.7,47.6,49.3,115.1,93.3,63.1,61.7
"156","142","  Transportation","G171371",4.3,4.9,5.3,5.4,5.2,5.9,7.2,7.6,7.7,8.7,10.5,12.4,12,11.3,12.8,15,16.6,17.1,16.4,17.3,17.7,18.6,18.9,20.3,21.5,23,24.9,25.8,26.4,26.3,29.3,33.1,37.6,41.2,41.1,42.1,44.7,47.6,49.3,54,58.4,61.2,60.1
"157","143","    Highways","G171381",4,4.6,4.9,4.7,4.4,4.8,5.7,6.1,5.9,6.4,8,9.4,8.6,8.1,9.2,11.3,13.3,13.5,13,14,13.8,14.2,14.3,15.7,16.9,18.6,19.5,20.2,20.9,20.8,23.5,25.7,28.3,30.9,30.7,30.6,32.8,34.5,35.9,38.5,40.9,43.4,43.5
"158","144","    Air","G171391",0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.4,0.6,0.5,0.6,0.4,0.3,0.6,0.7,0.8,0.9,0.9,0.9,1.2,1.3,1.6,1.8,1.8,1.7,1.7,1.7,1.5,1.6,1.6,1.7,2.3,2.9,2.9,3.7,3.9,4.3,4.1,4.5,4.9,4.3,3.7
"159","145","    Water","W813RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.9,0.9,0.9,0.6
