"","Table 7#7# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"47","        Industrial","38","B307RG",6.26,5.62,4.86,4.4,4.46,5.21,5.33,5.62,6.32,6.23,6,6.43,7.1,8.21,8.9,8.56,9.02,10.94,12.95,14.41,14.03,13.94,15.81,16.22,16.31,15.87,16.13,17.53,18.23,17.7,17.56,17.53,17.48,17.7,18.03,18.41,19.01,19.71,20.32,21.36,22.96,24.4,26.44,28.64,31,34.44,37.73,39.01,41.67,45.63,50.65,56.39,61.51,65.38,67.41,70.02,72.27,74.8,77.55,80.42,83.27,85.89,87.12,87.64,90.6,94.03,97.8,100,103.22,107.01,111.54,116.47,121.1
"48","        Commercial","39","B308RG",6.94,6.85,5.95,4.87,4.49,5.04,5.01,5.3,5.95,6.03,5.98,6.07,6.53,7.43,8.02,8.21,8.43,9.88,13.11,14.55,14.13,14.09,15.97,16.49,16.48,16,16.28,17.68,18.4,17.87,17.72,17.68,17.6,17.81,18.15,18.52,19.1,19.78,20.41,21.42,23.04,24.43,26.57,28.68,30.98,34.38,37.75,39.08,41.72,45.68,50.7,56.43,61.53,65.39,67.4,69.99,72.23,74.74,77.47,80.34,83.2,85.82,87.06,87.59,90.55,94.01,97.8,100,103.21,106.98,111.49,116.4,121.01
"49","          Office buildings \1\","40","B346RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.65,30.95,34.35,37.71,39.05,41.67,45.63,50.65,56.39,61.51,65.39,67.41,70.02,72.27,74.8,77.55,80.42,83.27,85.89,87.12,87.64,90.6,94.03,97.8,100,103.22,107.01,111.54,116.48,121.1
"50","          Other \2\","41","B347RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.72,31.03,34.43,37.8,39.14,41.79,45.76,50.77,56.5,61.58,65.42,67.41,69.97,72.2,74.69,77.41,80.29,83.14,85.76,87.01,87.55,90.51,93.99,97.79,100,103.2,106.95,111.45,116.33,120.91
"51","        Religious, educational, hospital and institutional, and other \3\","42","B312RG",6.56,6.09,5.22,4.4,4.27,4.72,4.78,5.07,5.84,5.82,5.85,6.05,6.51,7.21,7.8,8.07,8.37,9.77,12.96,14.31,13.98,13.93,15.72,16.14,16.26,15.85,16.21,17.53,18.16,17.72,17.57,17.55,17.49,17.7,18.04,18.4,19.01,19.71,20.34,21.36,22.98,24.4,26.51,28.66,30.93,34.31,37.73,39.06,41.67,45.63,50.65,56.39,61.51,65.39,67.41,70.02,72.28,74.8,77.55,80.42,83.26,85.89,87.12,87.64,90.59,94.03,97.8,100,103.22,107.01,111.54,116.48,121.1
"52","      Utilities","43","B313RG",8.45,7.99,7.43,6.77,6.62,6.8,6.84,7.04,7.66,7.54,7.54,7.7,8.18,8.85,9.09,8.95,9.29,10.33,12.31,13.74,14.26,14.89,16.12,16.52,17.34,17.69,18.16,19.7,20.71,20.95,21.41,21.54,21.45,21.25,21.31,21.37,21.86,22.37,23.03,24.19,25.34,27.23,29.07,30.62,32.91,38.55,43.58,46.3,50.03,52.96,58.58,64.35,68.97,72.31,73.7,74.38,75.32,75.09,75.82,79.18,83.49,85.93,86.75,87.82,90.62,94.24,97.3,100,102.34,103.52,103.41,106.6,109.45
"53","        Railroads","44","B573RG",8.07,7.63,6.95,6.55,6.29,6.19,6.13,6.26,6.93,6.71,6.77,6.89,7.28,7.96,8.1,7.88,8.25,8.91,10.68,12.23,12.41,13.09,14.03,14.55,15.28,15.78,16.29,17.59,18.45,18.74,19.16,19.32,19.06,19.01,18.96,19.07,19.32,19.62,19.95,21,22.15,23.2,24.9,26.23,27.96,34.44,39.48,41.54,45.9,47.34,52.15,57.48,62.64,66.77,72.36,74.98,75.91,74.47,75.07,78.87,80.65,82.33,83.77,84.53,90.69,93.48,95.85,100,103.36,104.37,99.13,100.57,99.35
"54","        Telecommunications","45","B314RG",13.74,12.48,11.54,10.04,9.87,10.4,10.66,10.94,11.2,10.68,10.73,11.22,11.95,12.93,13.74,13.79,14.52,16.09,19.76,20.76,21.26,21.26,23.19,23.73,24.15,24.46,25.18,26.67,26.76,26.62,27.31,27.99,28.59,27.61,28.36,28.67,29.42,30.93,32.44,33.19,34.7,38.47,38.47,39.98,43,49.79,52.05,54.31,58.74,62.55,70.18,77.8,79.33,80.85,78.56,75.52,77.04,76.28,76.28,77.04,83.9,86.19,86.95,86.96,88.7,91.31,94.78,100,102.22,102.18,100.7,102.7,106.3
"55","        Electric light and power","46","B571RG",6.28,6.06,5.78,5.17,5.15,5.7,5.84,6.09,6.59,6.64,6.6,6.7,7.15,7.66,7.92,7.94,8.08,8.4,9.84,10.74,11.33,11.95,13.29,13.52,14.31,14.73,15.17,16.61,17.65,18.07,18.45,18.45,18.14,18.22,18.37,18.82,19.5,19.58,20.33,21.76,22.59,24.09,26.43,28.01,30.34,35.69,41.56,44.35,47.71,50.22,55.61,61,66.09,69.51,71.72,73.47,74.3,75.14,75.97,81.06,84.03,86.84,87.29,88.81,91.65,95.47,98.94,100,101.98,104.02,105.13,109.33,112.69
"56","        Gas","47","B572RG",6.32,6.1,5.81,5.18,5.18,5.73,5.87,6.12,6.63,6.69,6.61,6.73,7.2,7.69,7.96,7.98,8.12,10.72,12.68,15,15.7,16.4,17.32,17.77,18.69,18.71,18.92,20.79,22.38,22.43,22.89,22.89,22.88,22.58,22.05,21.15,21.15,21.9,21.9,22.66,24.17,25.68,27.94,29.45,30.97,35.49,40.78,43.8,46.91,51.45,55.24,59.77,66.59,71.89,73.4,75.66,75.67,73.4,75.67,80.2,83.99,86.26,87.77,89.29,91.96,97.33,99.11,100,102.43,104.18,106.85,111.5,113.6
"57","        Petroleum pipelines","48","B574RG",6.31,6.09,5.82,5.18,5.2,5.72,5.87,6.12,6.63,6.67,6.62,6.73,7.19,7.69,7.94,7.98,8.13,11,12.69,14.97,15.67,16.38,17.31,17.78,18.69,18.67,18.94,20.76,22.38,22.07,22.53,22.49,22.5,22.2,21.68,20.8,20.78,21.53,21.54,22.29,23.77,25.26,27.48,28.99,30.45,34.92,40.12,43.08,46.9,51.45,55.23,59.79,66.61,71.95,73.36,75.7,75.77,73.33,75.61,80.21,84.03,86.35,87.82,89.27,91.98,97.37,99.15,100,102.43,104.2,106.89,111.44,113.61
"58","      Farm","49","B316RG",5.71,5.3,4.56,3.95,3.66,4.51,4.59,4.59,4.72,4.72,4.43,4.08,4.65,5.76,6.83,7.69,8.11,9.34,11.29,12.57,12.24,12.16,13.78,14.14,14.21,13.84,14.06,15.28,15.89,17.71,17.55,17.54,17.48,17.69,18.02,18.39,18.99,19.71,20.33,21.34,22.97,24.39,26.45,28.65,31,34.42,37.73,39.04,41.67,45.63,50.65,56.39,61.5,65.39,67.4,70.02,72.29,74.79,77.55,80.4,83.28,85.89,87.12,87.65,90.6,94.03,97.79,100,103.22,107.02,111.53,116.48,121.11
"59","      Mining exploration, shafts, and wells","50","B318RG",8.51,8.29,9.86,7.85,9.5,6.7,8.27,6.94,8.92,8.34,8.18,7.89,8.1,9.1,11.35,12.56,13.17,12.51,13.44,14.96,14.57,14.49,16.49,16.84,16.94,16.48,16.75,18.21,18.93,18.43,19.1,18.88,18.42,18.78,18.12,18.15,18.52,19.69,20.4,21.37,22.39,23.72,24.48,26.33,27.98,34.9,42.61,46.19,54.41,64.18,74.39,76.15,101.58,115.84,93.78,86.03,86.18,82.61,70.35,77.22,80.97,84.23,89.17,82.47,86.39,88.24,94.58,100,114.72,120.12,105.77,107.97,125.45
"60","        Petroleum and natural gas","51","B319RG",8.28,8.07,9.6,7.65,9.25,6.52,8.05,6.76,8.69,8.12,7.97,7.68,7.89,8.86,11.06,12.23,12.83,12.29,13.09,14.56,14.19,14.11,15.98,16.39,16.49,16.04,16.31,17.73,18.43,17.94,18.64,18.41,17.94,18.29,17.59,17.59,17.94,19.11,19.81,20.74,21.67,22.95,23.53,25.28,26.8,34.02,42.17,46.02,54.98,65.41,76.09,77.42,104.66,119.81,95.8,87.27,87.27,83.21,69.9,77,80.8,84.1,89.3,82,86,87.7,94.3,100,115.6,121.1,105.74,107.83,125.8
"61","        Other","52","B320RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41,12.92,14.46,14.06,13.94,17.28,16.21,16.33,15.87,16.11,17.44,18.23,17.7,17.57,17.52,17.48,17.7,18.04,18.4,19,19.71,20.34,21.37,22.97,24.42,26.49,28.67,31.02,34.49,37.76,39.1,41.67,45.63,50.65,56.39,61.51,65.38,67.41,70.03,72.29,74.81,77.54,80.39,83.28,85.87,87.13,87.64,90.6,94.02,97.79,100,103.2,107.02,111.56,116.48,121.13
"62","      Other \4\","53","B317RG",8.37,8.27,7.66,6.44,6.43,7.33,7.34,7.86,8.13,8.37,8.14,8.42,8.93,9.57,10.06,10.12,10.86,12.23,14.13,15.91,15.76,14.53,16.67,17.4,17.31,16.74,16.28,17.98,19.04,19.3,18.7,18.27,18.41,18.87,19.31,19.56,20.02,20.75,21.6,22.65,24.15,26.23,28.09,29.87,32.05,38.51,43.48,44.62,47.31,48.89,53.02,60.43,68.58,74.17,74.23,73.25,74.14,76.44,79.23,80.85,82.67,85.82,87.89,88.61,89.81,92.42,96.59,100,103.43,105.3,107.8,112.41,115.58
"63","    Brokers' commissions on sale of structures","54","B321RG",6.1,5.78,5.02,4.25,4.09,4.65,4.63,4.92,5.63,5.58,5.48,5.74,6.27,7.14,7.86,7.73,8.12,9.66,11.99,13.35,13.04,12.96,14.65,15.03,15.14,14.7,14.97,16.24,16.94,16.47,16.28,16.27,16.22,16.39,16.69,17,17.45,18.2,18.73,19.54,21.39,22.77,24.73,26.65,28.86,32.11,35.14,36.5,39.36,42.9,47.74,52.81,57.34,61.56,64.51,67.64,71.02,74.74,78.76,83.31,86.51,89.72,91.03,91.55,93.04,95.58,98.27,100,101.87,104.07,104.87,106.94,111.9
"64","    Net purchases of used structures","55"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","  Residential","56","B012RG",7.4,7.24,6.56,5.34,5.25,5.86,5.78,6.07,6.68,6.89,6.95,7.16,7.83,8.4,9.11,10.01,10.67,11.66,13.99,15.18,15.4,15.78,16.92,17.39,17.52,17.6,17.98,18.46,18.51,18.47,18.51,18.65,18.68,18.72,18.58,18.73,19.28,20,20.71,21.83,23.36,24.12,25.55,27.13,29.59,32.68,35.71,38.02,41.92,47.12,52.47,58.21,62.97,66.33,67.85,69.84,71.7,74.78,77.89,80.63,83.27,85.25,86.39,87.46,91.09,94.36,97.87,100,102.75,105.73,109.88,114.81,119.61
"66","    New","57","B756RG",7.51,7.34,6.65,5.41,5.33,5.94,5.86,6.16,6.77,6.99,7.05,7.26,7.94,8.52,9.26,10.18,10.85,11.87,14.24,15.44,15.66,16.06,17.21,17.69,17.82,17.9,18.29,18.78,18.83,18.79,18.83,18.97,19.01,19.04,18.9,19.06,19.63,20.38,21.11,22.25,23.78,24.55,26.01,27.63,30.12,33.26,36.36,38.67,42.55,47.81,53.16,59.03,63.94,67.33,68.77,70.67,72.34,75.16,77.97,80.68,83.26,85.31,86.46,87.51,91.1,94.22,97.87,100,103.05,106.15,110.49,115.39,119.86
"67","      New housing units","58","B942RG",7.68,7.51,6.79,5.52,5.45,6.09,6,6.3,6.92,7.14,7.2,7.42,8.11,8.71,9.48,10.45,11.13,12.19,14.59,15.82,16.05,16.46,17.64,18.13,18.26,18.34,18.73,19.22,19.26,19.2,19.18,19.28,19.27,19.29,19.05,19.17,19.8,20.56,21.24,22.36,23.78,24.37,25.72,27.37,29.88,32.83,35.92,38.19,42.06,47.55,52.94,58.7,63.32,66.61,67.86,69.6,71.24,74.32,77.33,80.09,82.63,84.41,85.09,86.04,90.04,94.12,98.04,100,103.01,106.28,110.86,115.84,120.45
"68","        Permanent site","59","B943RG",7.35,7.19,6.5,5.29,5.21,5.83,5.75,6.04,6.63,6.84,6.89,7.1,7.77,8.34,9.07,10,10.65,11.53,13.83,15.02,15.25,15.63,16.76,17.23,17.36,17.45,17.84,18.32,18.39,18.38,18.38,18.5,18.51,18.6,18.42,18.56,19.2,20.02,20.74,21.9,23.27,23.82,25.26,27.05,29.63,32.56,35.57,37.83,41.72,47.27,52.68,58.49,63.23,66.6,67.9,69.75,71.45,74.66,77.76,80.5,83.01,84.77,85.39,86.33,90.35,94.3,98.1,100,103.1,106.52,111.22,116.38,121.11
"69","          Single-family structures","60","B944RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,18.66,18.66,18.76,18.58,18.71,19.35,20.18,20.91,22.07,23.46,24.04,25.48,27.29,29.88,32.87,35.92,38.17,42.15,47.73,53.48,59.57,64.29,66.87,67.38,69.19,70.56,73.48,76.57,79.4,82.32,84.55,84.98,85.84,90.04,94.25,98.2,100,102.92,105.6,110.4,115.5,120.5
"70","          Multifamily structures","61","B292RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,19.53,19.54,19.62,19.43,19.6,20.31,21.14,21.93,23.15,24.61,25.12,26.68,28.57,31.32,34.33,37.47,40.02,43.76,49.76,54.02,59.25,64.38,70.29,74.16,76.29,79.19,83.65,86.94,89.26,89.51,88.55,90.42,91.97,93.99,94.95,97.32,100,104.51,113.5,117.4,123,125.6
"71","        Manufactured homes","62","B945RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.24,54.18,54.84,54.1,56.9,58.93,58.82,57.8,55.42,53.2,52.75,50.75,47.44,45.6,43.88,42.66,37.22,32.86,32.21,31.83,30.19,29.59,29.77,31.86,33.1,33.09,32.45,34.02,37.37,41.68,44.11,47.7,51.66,56.46,61.38,64.17,66.25,66.87,66.83,67.38,68.07,69.11,72.39,75.59,78.11,80.13,81.31,84.96,91.32,97.18,100,101.67,102.98,105.79,107.55,109.38
"72","      Improvements","63","B946RG",6.9,6.75,6.13,4.99,4.92,5.46,5.39,5.66,6.26,6.48,6.53,6.76,7.37,7.89,8.53,9.29,9.93,10.82,13.08,14.19,14.38,14.73,15.79,16.26,16.37,16.45,16.83,17.32,17.4,17.41,17.63,17.86,18.02,18.11,18.27,18.58,18.93,19.62,20.5,21.7,23.62,25.08,26.89,28.36,30.7,34.62,37.77,40.22,44.1,48.53,53.72,59.87,65.45,69.08,70.98,73.4,75.15,77.2,79.46,82.05,84.7,87.42,89.77,91.11,93.71,94.49,97.45,100,103.16,105.82,109.53,114.23,118.32
"73","      Other \5\","64","B295RG",7.33,7.13,6.58,5.25,5.08,5.83,5.83,6.01,6.61,6.84,7.01,7.26,7.74,8.58,8.61,10.18,10.5,11.43,13.89,14.94,15.25,15.41,16.76,17.22,17.42,17.4,17.86,18.33,18.42,18.33,18.33,18.47,18.47,18.57,18.39,18.54,19.15,19.99,20.66,21.81,23.2,23.79,25.1,26.94,29.56,32.68,35.52,37.45,42.25,47.71,53.66,59.64,64.33,66.92,67.35,69.14,70.52,73.44,76.61,79.4,82.28,84.57,85.11,85.82,90.07,94.19,98.2,100,102.87,105.66,110.41,115.5,120.5
"74","    Brokers' commissions on sale of structures","65","B758RG",6.34,6.22,5.66,4.63,4.51,5.03,4.97,5.2,5.77,6,6,6.22,6.8,7.26,7.82,8.57,9.14,9.94,12,13.03,13.26,13.54,14.51,14.92,15.03,15.14,15.43,15.88,15.94,15.94,15.94,16.04,16.04,16.1,15.99,16.03,16.29,16.83,17.26,18.1,19.89,20.47,21.64,23,25.17,27.84,30.25,32.51,36.6,41.36,46.66,51.33,54.81,57.83,60.02,62.77,66.34,71.55,77.2,80.2,83.4,84.8,85.8,87,90.9,95.4,97.9,100,100.71,102.87,105.85,110.97,117.83
"75","    Net purchases of used structures","66"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77"," 1. Consists of office buildings, except those constructed at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," industrial sites and those constructed by utilities for their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79"," own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80"," 2. Consists of stores, restaurants, garages, service stations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," warehouses, mobile structures, and other buildings used for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82"," commercial purposes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83"," 3. ``Other'' consists of hotels and motels, buildings used primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84"," for social and recreational activities, and buildings not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," elsewhere classified, such as passenger terminals, greenhouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86"," and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," 4. Consists primarily of streets, dams and reservoirs, sewer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88"," and water facilities, parks, and airfields.  Also includes buildings of private local transit systems from 1929 to 1958;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," beginning with 1959, these buildings are included in other nonresidential buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90"," 5. Consists primarily of dormitories and of fraternity and sorority houses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
