"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"46","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","  Compensation of general government employees \3\","38","B194RA",17.95,18.79,19.02,18.6,19.71,22.56,24.1,28.63,26.91,29.12,29.51,30.84,37.85,56.39,90.57,103.89,99.31,44.03,33.41,34.02,35.66,37.55,47.55,51.51,51.42,50.53,50.36,51.33,52.48,52.9,53.39,55.25,57.3,59.54,61.2,63.36,65.64,70.28,74.24,77.26,79.33,79.55,79.83,79.92,80.46,82.39,83.81,84.44,85.25,86.94,87.72,88.8,88.94,89.53,89.6,90.12,92.18,93.81,95.22,97.26,99.16,101.28,101.69,101.3,101.01,100.53,100.25,100,100.52,101.32,101.81,103.53,105.41,107.58
"48","    Federal","39","B568RA",15.02,16.4,15.54,14.7,18.74,25.63,28.24,48.59,41.19,46.69,47.32,51.72,77.82,149.32,279.87,331.63,312.81,109.51,69.19,69.98,71.92,77.02,115.17,128.81,124.8,117.24,112.42,110.44,109.7,105.13,102.94,104.56,106.81,111.61,111.58,112.19,112.81,122.53,132.21,134.25,134.66,127.49,121.15,115.16,110.88,111.2,110.66,110.75,110.86,112.3,111.63,113.07,114.31,115.43,117.17,118.34,120,119.92,121.3,121.08,121.25,122.48,122.08,117.8,114.15,109.18,103.81,100,97.49,96,94.49,95.43,95.56,97.47
"49","    State and local \5\","40","B251RA",15.89,16.45,16.94,16.71,16.77,17.91,18.87,17.62,18.13,18.88,19.12,19.26,19.39,19.07,18.55,18.11,18.63,19.84,21.37,21.94,23.52,24.3,24.88,25.67,26.8,27.96,29.22,31.08,32.76,34.76,36.12,38.02,39.96,41.33,43.46,46.05,48.83,51.71,53.74,56.96,59.51,62.12,64.65,66.9,69.21,71.73,73.89,74.72,75.79,77.58,78.9,79.84,79.58,79.97,79.41,79.69,81.91,84.18,85.61,88.47,90.99,93.44,94.13,95.16,96.12,97.3,98.9,100,101.69,103.36,104.63,106.66,109.21,111.47
"50","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","    Government consumption expenditures and gross investment \1\","41","B822RG",8.72,8.45,8.01,7.3,7.54,8.1,8.13,8.41,8.56,8.57,8.38,8.26,8.77,8.82,8.95,8.82,8.95,11.06,11.86,12.35,12.73,12.76,13.65,13.85,14.02,14.33,14.95,15.79,16.49,16.99,16.99,17.19,17.51,17.97,18.39,18.9,19.41,20.2,21.05,22.23,23.56,25.44,27.44,29.49,31.67,34.83,38.28,40.72,43.55,46.37,50.28,55.8,61.3,65.43,68.08,71.61,73.78,75.08,77.21,79.3,81.89,85.16,88.04,90.11,92.44,94.84,97.56,100,102.23,103.72,106.52,110.65,113.27,115.18
"52","Federal","42","B823RG",9.45,9.02,8.95,8.57,8.74,9.31,9.3,10.11,10.24,10.35,10.05,9.61,10.13,9.96,10.04,9.84,9.97,12.69,13.3,13.23,13.84,13.81,14.48,14.5,14.63,14.99,15.84,16.65,17.38,18.12,17.85,17.98,18.25,18.66,19.12,19.75,20.28,20.96,21.6,22.85,24.08,25.95,28.2,30.81,32.98,35.8,39.41,42.07,45.33,48.2,51.93,57.45,63.06,67.53,69.95,74.14,75.67,76.1,77.03,78.82,81.12,83.78,87.18,89.83,92.18,94.51,97.21,100,101.63,102.63,105.08,108.23,110.09,113.11
"53","  National defense","43","B824RG",9.2,8.9,8.76,8.6,8.39,8.78,9.1,9.3,9.6,9.67,9.66,9.29,9.93,9.72,9.79,9.61,9.71,12.43,13.29,13.3,13.79,13.82,14.46,14.37,14.47,14.88,15.76,16.65,17.4,18.06,17.76,17.86,18.07,18.44,18.9,19.45,20.01,20.66,21.31,22.5,23.72,25.43,27.69,30.61,32.91,35.82,39.24,42.02,45.15,48.29,52.19,57.93,63.71,68.44,70.86,75.95,77.24,77.27,78.01,79.65,81.91,84.57,87.7,90.75,92.45,94.48,96.88,100,101.41,102.22,104.45,107.53,109.27,111.86
"54","    Consumption expenditures","44","B997RG",7.94,7.72,7.62,7.55,7.35,7.63,7.92,8.07,8.17,8.2,8.15,7.65,8.02,7.86,7.93,8.08,8.49,11.15,11.87,11.83,12.27,12.27,12.7,12.58,12.76,13.2,14.08,14.77,15.4,16.08,15.72,15.84,16.06,16.38,16.82,17.42,18.03,18.68,19.26,20.38,21.51,23.11,25.25,28.03,30.25,33.08,36.37,38.93,41.82,44.71,48.54,54.27,59.84,64.35,66.72,72.18,73.96,74.8,76.31,78.32,80.69,83.55,86.9,90.41,91.99,93.95,96.36,100,101.91,103.13,105.65,109.28,111.5,114.71
"55","      Durable goods \2\","45","B998RG",15.51,14.71,13.92,13.95,12.27,13.78,14.94,14.55,16.02,16.18,16.25,16,18.38,15.22,14.87,13.87,12.88,14.06,17.3,18.73,18.94,19.87,21.11,21.51,21.88,22.62,23.5,25.18,26.58,27.05,27.57,27.67,27.82,28.34,28.99,28.87,29.44,29.33,29.93,31.28,32.29,34.03,35.96,35.05,36.55,39.03,42.79,45.09,47.66,51.05,57.38,62.84,69.39,75.31,81.79,86.46,86.84,88.98,89.02,88.39,89.81,92.32,94.72,97,98.54,99.26,99.67,100,99.7,98.83,98.75,99.36,99.37,99.68
"56","      Nondurable goods","46","B725RG",9.45,8.87,7.67,7.2,7.45,8.26,8.39,8.43,8.94,8.48,8.27,8.34,9.31,10.82,11.14,11.34,11.4,11.23,13.59,16.43,15.11,15.55,15.6,14.23,13.63,15.85,17.91,18.8,19.49,18.47,18.61,18.79,18.61,18.51,18.08,18,18.36,18.87,18.98,19.14,19.49,19.71,20.04,21.55,26.24,36.99,43.55,47.04,50.97,54.19,67.53,98.21,109.12,106.62,101.3,98.65,95.69,77.47,79.12,84.48,89.54,102.83,98.5,93.6,91.01,89.37,91.38,100,97.7,87,91.22,110.73,106.08,100.68
"57","      Services","47","B489RG",6.53,6.36,6.37,6.35,6.15,6.34,6.58,6.73,6.76,6.8,6.77,6.31,6.51,6.47,6.6,6.97,7.72,10.61,11.28,11.13,11.64,11.57,11.96,11.86,12.11,12.33,13.15,13.73,14.29,15.09,14.6,14.72,14.97,15.3,15.79,16.47,17.1,17.8,18.44,19.67,20.91,22.65,24.97,28.08,30.14,32.48,35.56,38.09,40.94,43.77,47.01,51.72,56.98,61.66,63.93,69.81,71.93,73.35,75.03,77.23,79.61,82.15,85.86,89.77,91.48,93.66,96.24,100,102.2,103.94,106.63,109.95,112.61,116.41
"58","        Compensation of general government employees, except own-account investment \3\","48","B395RG",3.18,3.11,3.21,3.23,3.13,3.22,3.29,3.51,3.48,3.5,3.48,3.14,3.05,3.48,3.64,4.01,4.66,7.28,7.38,6.75,7.21,6.98,6.81,7.06,7.17,7.36,7.93,8.33,8.64,9.46,9.89,10.11,10.26,10.44,11,11.82,12.36,13.08,13.39,14.61,15.64,17.78,20.08,23.08,24.86,26.88,29.64,31.71,34.15,36.37,39.33,43.46,48.46,52.58,54.74,62.82,66.16,67.8,69.88,72.66,75.43,77.53,82,87.86,89.12,91.32,93.83,100,103.34,105.6,110.04,114.75,118.58,125.09
"59","        Consumption of general government fixed capital \4\","49","B432RG",14.01,13.3,12.4,11.89,12.01,13.15,13.5,14.02,14.99,14.98,15.05,14.85,16.28,15.2,15.04,14.13,13.45,15.15,17.23,18.18,18.49,18.56,19.94,20.33,20.49,20.96,21.68,23.09,24.4,24.65,25.05,25.17,25.26,25.76,26.35,26.31,26.64,27.18,27.92,28.94,30.16,31.74,33.72,37.88,40.8,43.16,46.17,49.99,53.45,57.35,60.2,65.01,71.1,79,81.66,84.88,83.37,82.9,82.01,82.76,84.78,86.83,89.53,90.71,93.79,96.7,99.44,100,100.14,99.76,100.13,101.74,101.84,102.63
"60","        Other services","50","B726RG",219.85,217.08,200.95,201.49,182.16,172.87,203.32,159.61,158.49,160.78,158.39,162.83,209.64,118.24,93.6,34.63,35.39,23.49,18.1,18.97,20.29,22.38,26.65,22.79,23.91,23.44,25.49,25.53,26.29,27.15,20.74,20.38,21.11,21.84,21.83,22.55,23.65,24.31,25.98,27.11,28.89,28.76,30.95,33,34.98,38.09,41.85,44.5,47.84,51.52,55.55,61.42,66.22,69.94,72.07,73.9,75.3,77.31,79.68,81.61,83.48,87.16,90.06,92.21,93.74,95.26,97.85,100,101.96,104.55,106.35,108.92,111.79,114.2
"61","    Gross investment","51","B788RG",17.85,16.33,15.23,13.48,13.55,15.05,15.44,15.9,17.57,17.92,18.2,18.59,20.47,20.05,20.12,18.71,17.39,19.77,22.61,24.06,24.77,25.24,27.72,27.87,27.43,27.79,28.64,31.12,32.81,33.25,33.45,33.42,33.58,34.33,34.9,34.99,35,35.61,36.66,38.35,40.19,42.49,44.99,48.13,50.36,53.13,56.68,60.9,65.58,70.33,74.03,78.76,85.25,91.07,93.71,95.93,94.31,90.11,87.01,86.77,88.46,90.08,92.1,92.73,95.08,97.53,99.8,100,98.51,96.91,97.49,97.62,96.77,96.01
"62","      Structures","52","B808RG",4.76,4.36,3.97,3.34,3.57,4,4.02,4.23,4.65,4.76,4.85,5.08,5.52,6.48,7,6.84,7.01,8.2,9.65,10,10.18,9.7,11.42,11.77,11.72,11.38,11.51,12.39,13.01,13.37,13.44,13.41,13.3,13.58,13.7,13.91,13.92,14.58,15,16.04,17.94,19.39,21.3,23.03,27.5,30.91,34.04,35.46,38.87,40.45,48.09,52.4,55.66,58.18,58.95,63.1,65.03,65.16,68.28,71.06,76.43,78.77,81.16,82.86,88.73,93.1,97.22,100,103.34,106.16,110.17,114.8,118.8,121.72
"63","      Equipment and software","53","B873RG",24.75,22.57,21.84,21.04,19.51,21.33,22.63,22.44,25.12,25.43,25.59,24.93,28.22,23.85,23.26,21.5,19.83,22.49,25.56,27.34,28.22,29.11,31.41,31.34,30.73,31.53,32.67,35.58,37.56,37.9,38.15,38.12,38.41,39.28,39.98,40.01,40.02,40.57,41.78,43.6,45.34,47.81,50.3,53.69,54.64,56.85,60.25,65.11,69.91,75.35,77.91,82.61,89.65,96.02,99.01,100.81,98.56,93.65,89.51,88.76,89.88,91.41,93.41,93.92,95.9,98.13,100.15,100,97.86,95.75,95.96,95.67,94.4,93.34
"64","  Nondefense","54","B825RG",9.54,8.95,8.98,8.38,8.84,9.5,9.36,10.41,10.47,10.59,10.18,9.73,10,10.38,10.44,10.02,10.98,13.18,12.73,12.35,13.26,13.05,13.81,14.55,14.92,14.91,15.56,15.86,16.46,17.61,17.64,17.9,18.48,19.05,19.51,20.45,20.85,21.62,22.22,23.67,24.88,27.36,29.56,31.17,32.94,35.5,39.57,41.88,45.44,47.68,51.01,56.01,61.22,65.05,67.48,69.25,71.45,73.06,74.58,76.84,79.26,81.96,86.06,87.72,91.58,94.55,97.9,100,102.06,103.42,106.29,109.55,111.64,115.46
"65","    Consumption expenditures","55","B542RG",7.84,7.3,7.56,7.38,7.66,8.09,7.71,8.86,8.86,9,8.59,8.1,8.2,8.36,8.81,8.13,9.6,12.04,11.46,10.89,11.83,11.67,12.28,12.94,13.33,13.38,14.06,14.26,14.74,16.03,15.99,16.24,16.89,17.45,17.88,18.78,19.37,20.16,20.64,22.07,23.2,25.52,27.62,29.18,30.87,33.13,36.86,39.1,42.66,44.82,47.92,52.73,57.69,61.38,64.04,65.99,68.39,70.08,71.68,73.97,76.43,79.24,83.76,85.86,90.3,93.65,97.31,100,102.75,104.69,108.12,111.85,114.18,119.12
"66","      Durable goods \2\","56"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","      Nondurable goods","57"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","        Commodity Credit Corporation inventory change","58"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","        Other nondurables","59","B828RG",15.75,15.75,16.19,16.85,15.84,15.89,15.98,16.3,16.27,16.5,16.88,17.35,19.73,18.4,19.83,18.85,19.8,19.16,21.76,21.09,21.08,23.55,22.6,25.73,25.74,27.56,27.85,27.36,27.75,29.63,28.75,30.01,31.1,32.05,32.52,33.31,34.74,36.07,37.2,38.86,39.76,41.42,43.62,44.91,48.53,52.81,55.96,58.51,61.32,63,65.21,70.41,72.52,74.91,79.6,78.05,79.22,80.4,81.68,82.62,86.01,86.78,90.28,91.92,94,97.31,99.93,100,99.59,99,102.04,107.67,108.99,110.76
"70","      Services","60","B544RG",6.22,5.74,5.94,5.78,6.04,6.43,6.02,7.01,7.03,7.15,6.86,6.56,6.3,6.28,6.43,6.95,7.23,8.88,9.06,8.73,9.57,9.42,10.12,10.6,11.03,11.05,11.76,12.29,12.8,13.99,14.1,14.51,15.11,15.59,16.09,16.82,17.42,18.08,18.58,19.86,21.01,23.19,25.3,26.89,28.66,30.97,34.46,36.63,40.17,42.33,45.36,49.94,54.93,58.64,60.79,63.22,65.41,67.26,69.19,72.51,75.62,78.49,82.93,85.24,89.89,93.3,97,100,102.99,105.15,108.59,112.33,114.75,119.92
"71","        Compensation of general government employees, except own-account investment \3\","61","B545RG",3.24,2.98,3.3,3.38,3.66,3.89,3.57,4.25,4.25,4.35,4.16,3.92,3.64,3.37,3.65,3.78,4.66,6.26,6.14,5.67,6.47,6.32,6.81,7.17,7.51,7.57,8.18,8.72,9.12,10.24,10.48,10.8,11.42,11.72,12.2,12.98,13.53,14.06,14.34,15.55,16.42,18.74,20.84,22.4,24.11,25.74,28.82,30.94,34.52,36.15,38.62,42.39,46.64,49.61,51.5,53.98,56.15,57.93,60.05,63.97,67.27,70.42,76.2,79.11,86,90.8,95.55,100,104.24,107.37,112.8,117.84,120.51,129.23
"72","        Consumption of general government fixed capital \4\","62","B546RG",18.12,17.52,16.33,14.25,14.22,15.87,16.54,16.69,16.43,16.32,15.74,16.37,17.74,19.19,17.52,20.15,17.56,19.73,22.79,23.07,23.47,22.81,23.98,23.7,24.6,23.84,24.35,24.57,25.09,25.85,26.25,26.85,27.44,27.91,29.32,29.88,30.65,31.73,32.65,34.48,36.64,39.2,42.24,44,46.29,50.84,56.86,59.55,62.13,65.04,69.58,75.62,82.09,86.69,87.49,88.05,88.75,89.37,90.23,92.3,94.03,95.8,97.56,96.94,97.97,98.84,100.6,100,99.15,98.16,99.11,100.98,102.45,102.48
"73","        Other services","63","B730RG",9.78,8.97,8.07,7.13,6.72,7.08,7.04,7.21,7.62,7.45,7.36,7.47,7.91,8.72,9.24,9.87,10.39,11.96,12.86,14.09,14.31,14.65,15.86,17.07,17.47,17.51,18.41,18.57,19.3,20.06,19.34,19.86,20.18,21.06,21.35,21.88,22.52,23.33,24.22,25.38,26.88,28.22,29.83,31.26,32.89,36.11,39.72,41.6,44.69,47.76,51.48,57.17,63.1,68.05,70.98,73.59,76.13,78.42,80.18,82.4,85.45,88.05,90.5,92.63,94.1,95.68,98.16,100,102.44,104.4,105.4,107.77,110.27,112.56
"74","    Gross investment","64","B798RG",19.78,18.97,17.42,14.77,16.05,17.81,18.49,19.26,19.69,19.65,19.51,19.79,21.05,22.48,20.62,22.51,20.13,20.26,20.83,22.17,22.57,21.96,23.59,24.83,25.09,24.43,24.27,25.58,27.09,27.03,27.68,27.95,28.08,28.7,29.31,30.56,29.99,30.7,31.98,33.58,35.26,38.7,41.32,43.09,45.29,50.09,56.41,58.99,61.95,64.63,69.35,75.33,81.83,86.37,86.84,87.29,88.11,89.05,90.07,92.18,94.24,96.24,97.87,97.07,97.96,98.94,100.67,100,98.95,97.86,98.66,100.21,101.39,101.15
"75","      Structures","65","B830RG",8.94,8.55,7.79,6.53,7.13,8.06,7.89,8.58,9.03,9.19,9.11,9.02,9.27,9.01,9.21,8.99,9.82,0.94,13.27,14.48,14.72,14.07,15.3,16.18,16.52,16.28,16.13,17.37,18.48,18.29,18.36,18.3,18.49,18.81,19.05,19.42,19.9,20.57,21.35,22.35,23.85,25.78,27.88,29.76,31.73,35.65,41.09,43.34,45.74,48.56,53,59.21,65.56,70.33,71.67,72.62,74.13,75.83,77.58,80,82.85,85.88,87.96,88.78,90.66,93.52,97.2,100,103.22,105.93,109.07,113.37,116.73,118.72
"76","      Equipment and software","66","B880RG",28.78,28.4,28.38,28.09,27.79,28.36,34.21,31.15,28.29,26.39,26.32,28.41,31.69,36.54,30.55,36.22,29.56,29.24,30,31.05,31.72,32.58,33.83,35.19,34.56,32.4,32.43,32.12,33.46,34.74,40.88,44.66,43.91,45.48,47.41,51.43,47.25,47.73,49.98,52.65,54.28,60.61,63.64,64.15,65.83,70.88,76.69,79.02,82.28,83.36,86.97,90.59,95.74,98.96,98.18,98.04,98.1,98.18,98.34,100.1,101.62,102.96,104.29,102.36,102.53,102.19,102.67,100,96.97,94.38,94.34,95,95.58,94.74
"77","State and local","67","B829RG",6.57,6.39,6,5.4,5.59,6.04,6.07,6.1,6.24,6.2,6.09,6.13,6.53,7.19,7.69,7.98,8.24,9.01,10.1,11.3,11.4,11.49,12.68,13.24,13.51,13.74,14,14.91,15.56,15.76,16.11,16.41,16.79,17.32,17.7,18.06,18.56,19.48,20.56,21.66,23.11,25.01,26.79,28.38,30.56,33.94,37.26,39.53,42.05,44.83,48.84,54.32,59.71,63.57,66.39,69.36,72.07,74.1,77.26,79.6,82.41,86.16,88.64,90.28,92.59,95.04,97.77,100,102.58,104.35,107.33,111.98,115.01,116.33
"78","  Consumption expenditures","68","B991RG",5.73,5.67,5.45,5.12,5.15,5.43,5.54,5.4,5.52,5.48,5.41,5.47,5.74,6.21,6.64,6.94,7.19,7.86,8.73,9.78,9.94,10.19,11.06,11.63,12,12.44,12.76,13.42,14.04,14.42,14.89,15.37,15.86,16.44,16.86,17.27,17.76,18.71,19.94,21.07,22.48,24.31,25.98,27.56,29.68,32.4,35.48,37.99,40.65,43.42,47.26,52.48,57.55,61.26,64.39,67.82,70.82,72.79,76.05,78.42,81.4,85.43,88.17,90.09,92.52,95,97.66,100,102.79,104.71,107.92,112.85,115.99,117.4
"79","    Durable goods \2\","69","B989RG",11.61,11.33,10.58,10.36,10.15,10.47,10.3,10.23,11.3,11.23,11.07,11.38,12.08,13.03,12.8,12.94,13.28,14.74,17.65,19.18,19.27,19.86,21.94,22.06,22.09,22.52,24.66,25.81,24.96,24.7,24.14,24.67,25.74,25.68,26.3,27.04,27.53,28.82,29.66,30.97,32.27,34.45,36.01,37.69,39.4,44.04,49.01,51.73,55,58.66,63.67,70.3,77.38,81.65,83.12,84.97,86.43,87.58,89.34,91.99,95.1,96.85,98.03,98.14,98.26,98.53,100.4,100,99.45,99.21,98.97,99.4,100.11,100.58
"80","    Nondurable goods","70","B337RG",14.01,13.3,11.72,10.26,10.37,11.62,12.71,12.49,13.1,12.12,11.7,11.86,12.98,14.52,14.95,15,15.21,17.8,19.99,22.09,20.48,21.15,23.39,23,23.05,22.91,22.91,23.57,24.45,23.98,23.55,23.83,23.94,23.98,24.11,24.36,24.78,25.49,26.23,26.93,27.59,28.42,29.43,30.27,33.3,41.4,46.25,48.49,51.75,54.51,63.43,75.9,84.58,84.89,83.48,84.36,84.04,75.32,79.19,80.58,86.48,92.76,90.99,90.7,91.13,91.57,96.49,100,99.24,94.31,97.78,110.67,109.2,107.15
"81","    Services","71","B988RG",5.2,5.17,5.03,4.77,4.8,5.02,5.06,4.93,5.01,5.04,4.99,5.04,5.25,5.65,6.08,6.39,6.64,7.2,7.98,8.95,9.21,9.43,10.2,10.82,11.19,11.65,11.96,12.6,13.21,13.62,14.14,14.63,15.13,15.74,16.17,16.57,17.06,18.01,19.25,20.38,21.82,23.69,25.39,27.01,29.04,31.33,34.22,36.74,39.33,42.08,45.44,50.01,54.72,58.68,62.22,65.89,69.21,72.22,75.45,77.91,80.6,84.44,87.68,89.88,92.58,95.34,97.75,100,103.3,106.17,109.41,113.32,117.18,119.12
"82","      Compensation of general government employees, except own-account investment \3\","72","B987RG",3.96,4.02,4.02,3.89,3.84,3.95,4.03,3.82,3.91,3.98,3.99,4.06,4.13,4.28,4.58,4.97,5.25,5.69,6.26,7.08,7.32,7.61,8.18,8.7,9.07,9.58,9.88,10.33,10.88,11.31,11.68,12.22,12.75,13.35,13.79,14.22,14.68,15.57,16.82,17.91,19.19,20.87,22.37,23.92,25.83,27.39,29.93,32.49,34.93,37.39,40.34,44.14,48.22,51.95,55.92,59.89,63.53,66.75,70.23,73.11,76.47,81.09,85.1,88.35,91.8,95.03,97.51,100,103.42,106.63,110.38,114.4,118.8,121.95
"83","      Consumption of general government fixed capital \4\","73","B986RG",10.4,9.76,8.71,7.26,8.09,9.16,8.87,9.47,9.53,9.4,9.23,9.22,10.25,12.24,13.37,12.77,12.66,14,16.67,18.66,18.21,17.31,20.25,20.75,20.44,19.75,19.97,21.92,22.49,21.99,22.15,21.86,21.9,22.28,22.61,22.84,23.4,24.32,25.08,26.22,27.85,30.23,32.38,33.84,36.37,43.61,47.86,48.48,49.97,52.54,57.26,64.48,72.19,77.39,78.07,78.22,79.58,82.16,85.22,87.14,88.86,91.2,92.68,92.74,94.08,95.98,98.64,100,101.08,101.44,103,105.84,107.64,107.98
"84","      Other services","74","B575RG",64.83,59.95,53.07,49.92,51.3,54.2,52.87,53.58,53.61,51.75,49.33,48.4,52.77,59.89,64.72,64.27,63.88,67.97,72.02,76.1,81.12,81.55,84.47,91.44,95.54,96.85,97.59,103.62,107.82,110.38,127.52,124.93,123.19,122.32,118.57,116.16,115.44,117.14,115.07,114.61,121.86,129.53,139.91,142.86,145.39,165.04,178.24,183.52,197.72,215.74,232.45,267.25,286.26,282.83,255.95,251.22,240.87,232.15,222.97,208.39,185.29,164.02,146.32,122.93,107.86,101.05,100.73,100,106.91,109.6,108.87,113.15,114.44,105.86
"85","  Gross investment","75","B799RG",9.55,8.99,8.05,6.55,7.47,8.7,8.37,9.06,9.25,9.19,8.97,8.96,9.91,11.57,12.34,12.09,12.04,13.17,15.42,17.21,16.93,16.38,18.82,19.32,19.2,18.68,18.78,20.59,21.35,21,20.99,20.72,20.77,21.14,21.45,21.69,22.24,23.12,23.84,24.94,26.61,28.87,31.09,32.78,35.31,41.78,46.38,47.43,49.22,51.99,56.85,63.67,70.69,75.26,76.2,76.61,77.83,80.13,82.84,85.02,87.02,89.47,90.77,91.11,92.93,95.25,98.25,100,101.72,102.8,104.91,108.41,111,111.95
"86","    Structures","76","B842RG",8.5,7.97,7.12,5.68,6.61,7.8,7.49,8.15,8.28,8.23,8.02,7.99,8.87,10.43,11.23,10.96,10.84,11.85,13.83,15.49,15.2,14.62,16.85,17.33,17.22,16.69,16.66,18.33,19.13,18.8,18.86,18.59,18.63,19.01,19.3,19.53,20.07,20.91,21.57,22.6,24.19,26.36,28.51,30.18,32.71,39.09,43.27,44.01,45.56,48.03,52.69,59.43,66.32,70.82,71.68,72.07,73.37,75.91,78.91,81.26,83.29,86.04,87.24,87.78,90.01,92.98,97.02,100,103.42,106.29,110.13,115.26,119.49,121.51
"87","    Equipment and software","77","B881RG",18.18,17.83,16.63,16.3,15.88,16.4,16.19,16.05,17.79,17.61,17.36,17.81,18.96,20.51,20.05,20.23,21.06,23.04,27.69,30.08,30.21,31.19,34.52,34.67,34.7,35.34,38.73,40.51,39.19,38.78,37.35,37.43,37.47,37.37,37.42,37.59,37.84,38.45,39.4,40.73,42.02,43.79,45.51,46.38,47.83,52.67,59.69,63.32,66.76,71.27,76.47,81.92,88.23,92.33,93.72,94.24,94.9,95.83,96.87,98.09,99.86,101.04,102.76,102.25,102.43,102.46,102,100,96.72,92.89,90.63,90.2,88.96,87.43
"88","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","  Compensation of general government employees \3\","78","B194RG",3.2,3.21,3.25,3.17,3.16,3.28,3.27,3.36,3.4,3.47,3.41,3.34,3.29,3.54,3.72,4.09,4.69,6.69,6.95,7,7.43,7.45,7.68,8.06,8.3,8.61,9.1,9.55,9.98,10.68,11.07,11.46,11.86,12.26,12.77,13.39,13.9,14.69,15.5,16.67,17.84,19.76,21.59,23.58,25.44,27.13,29.79,32.19,34.76,37.08,39.98,43.86,48.19,51.93,55.23,60.06,63.46,66.14,69.13,72.11,75.33,79.22,83.54,87.32,90.71,93.91,96.65,100,103.49,106.54,110.57,114.8,118.94,123.15
"90","    Federal","79","B568RG",2.86,2.73,2.9,2.94,3.02,3.2,3.03,3.52,3.52,3.61,3.47,3.25,3.09,3.39,3.55,3.9,4.54,7.01,7.06,6.47,7.04,6.83,6.82,7.09,7.24,7.42,7.99,8.41,8.74,9.61,10,10.25,10.5,10.71,11.25,12.05,12.6,13.27,13.58,14.79,15.79,17.97,20.21,22.79,24.55,26.44,29.29,31.37,34.17,36.19,38.98,42.98,47.72,51.45,53.52,59.82,62.78,64.45,66.54,69.66,72.59,75.02,79.92,84.77,87.99,91.13,94.46,100,103.67,106.27,111.09,115.93,119.3,126.69
