"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"206","199","            Intercity buses","DIBURX0",1148,1207,1372,1423,1495,1617,1624,1576,1500,1402,1306,1215,1116,1133
"207","200","            Taxicabs","DTAXRX0",4213,4021,3986,4377,4143,3837,4084,4099,3555,3950,4086,4303,4154,4179
"208","201","            Intracity mass transit","DIMTRX0",12032,11057,10735,11778,12723,13590,13755,13410,13242,13358,13415,14149,13800,14775
"209","202","            Other road transportation service","DORTRX0",4978,5522,6185,6501,6770,6700,6860,6968,6519,6794,6866,6737,6969,6855
"210","203","        Air transportation (64)","DAITRX0",30291,34019,35884,38269,40853,44556,42185,43229,46316,49316,47654,45995,47671,43667
"211","204","        Water transportation (65)","DWATRX0",804,1107,1304,1376,1480,1760,2019,2100,2396,2618,2723,2818,3031,3115
"212","205","    Recreation services","DRCARX0",245253,256339,264477,273288,286622,295224,294893,296740,305475,320710,326786,337452,349969,349809
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",96916,100435,103080,106085,106231,106873,105612,106294,107081,109373,110554,113738,117001,116857
"214","207","        Membership clubs and participant sports centers","DMDFRX0",23529,24857,28640,28610,28742,28453,27991,28563,28455,29612,30532,30750,31643,31618
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",39140,39475,37138,37443,36604,36373,35230,32986,32972,33860,34920,36133,37679,38115
"216","209","        Admissions to specified spectator amusements","DADMRX0",30441,32409,33241,35852,36515,37427,37686,39406,40170,40203,39214,40632,41149,40632
"217","210","          Motion picture theaters","DMOVRX0",8368,8669,9139,9784,10132,10321,10397,10756,10526,10187,9083,9094,8941,8676
"218","211","          Live entertainment, excluding sports","DLIGRX0",10503,10651,10852,11835,12123,12424,12838,13302,13525,13583,13786,14405,14262,14114
"219","212","          Spectator sports","DSPERX0",11540,13090,13244,14224,14239,14665,14422,15322,16103,16427,16345,17133,17942,17835
"220","213","        Museums and libraries","DMUSRX0",3728,3621,3653,3986,4218,4556,4682,5361,5538,5718,5889,6224,6535,6506
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",68062,69100,69369,72447,77362,80551,81325,78934,81113,86235,87233,88986,94522,96277
"222","215","        Cable and satellite television and radio services","DCTVRX0",40532,42813,43763,45282,48837,51678,53101,51548,52732,56953,59711,61923,66625,69312
"223","216","        Photo processing","DFDVRX0",6431,6553,6533,6580,6607,6339,6034,5894,5696,5207,4204,3229,3205,2913
"224","217","        Photo studios","DPICRX0",7757,7494,6862,7145,7106,7132,7035,6671,6741,6918,7307,7402,7700,7699
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4975,4770,4798,5397,6006,6832,7013,7317,7405,8108,7992,8432,8977,9305
"226","219","        Video media rental","DVIDRX0",7298,6997,7105,7591,8371,8328,8082,7472,8462,9020,8020,7982,7982,7021
"227","220","      Gambling (91)","DGAMRX0",57914,62441,66271,66939,73058,76612,77201,80394,85892,92812,95637,100621,103215,103118
"228","221","        Casino gambling","DCASRX0",36375,40293,44067,44491,50732,54863,55285,57465,62316,68216,70716,73787,75911,75502
"229","222","        Lotteries","DLOTRX0",16819,17360,17321,17314,17022,16432,16732,17640,18173,18829,19003,20674,20919,21373
"230","223","        Pari-mutuel net receipts","DPARRX0",4722,4790,4884,5136,5304,5317,5184,5288,5402,5767,5918,6160,6385,6243
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",22647,24557,25894,28063,30049,31216,30750,31114,31377,32281,33362,34108,35253,33647
"232","225","        Veterinary and other services for pets","DVETRX0",13568,15166,16549,17435,17938,18139,17939,18130,18379,18897,19502,20360,20978,20317
"233","226","        Package tours","DHOLRX0",7144,7629,7476,8141,8917,9102,8363,8062,7918,8225,8450,8011,8244,7888
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2266,2268,2450,2944,3485,4103,4498,4923,5079,5160,5410,5738,6037,5413
"235","228","    Food services and accommodations","DFSARX0",416034,418778,428042,439192,450032,470546,469889,477229,493562,508751,525308,541601,547651,545402
"236","229","      Food services","DFSERX0",365187,365755,370940,381391,390883,408032,411282,417283,431005,443097,455317,469623,474717,470261
"237","230","        Purchased meals and beverages (102)","DPMBRX0",355379,355915,361094,371494,380876,397897,401015,406907,420328,432158,443529,456632,461641,457962
"238","231","          Meals and nonalcoholic beverages","DMABRX0",311416,313500,319473,327469,334328,347935,349435,352722,364696,375994,386530,397765,402425,398113
"239","232","            Meals at schools","DMSLRX0",15046,15848,16710,17138,17888,18468,18790,18841,19054,19067,19298,19518,20104,20479
"240","233","              Elementary and secondary school lunches","DESLRX0",5725,5975,6270,6419,6614,6815,6917,6813,6777,6802,6853,6823,6804,6758
"241","234","              Higher education school lunches","DHSLRX0",9321,9873,10439,10719,11273,11652,11873,12028,12277,12265,12445,12695,13300,13721
"242","235","            Other purchased meals","DOPMRX0",296414,297676,302770,310337,316437,329466,330644,333878,345639,356927,367232,378248,382321,377633
"243","236","              Meals at limited service eating places","DMLSRX0",156776,155234,152795,158337,160296,166514,167830,169763,177181,184602,190250,195941,197488,192416
"244","237","              Meals at other eating places","DMOERX0",137828,140674,148261,150143,154122,160717,160491,161618,165847,169726,174334,179489,181966,182230
"245","238","              Meals at drinking places","DMDPRX0",1818,1766,1692,1844,1996,2206,2302,2479,2601,2599,2647,2818,2866,2993
"246","239","          Alcohol in purchased meals","DAPMRX0",43933,42293,41428,43879,46452,49907,51557,54194,55638,56165,56999,58866,59219,59833
"247","240","        Food furnished to employees (including military) (103)","DFOORX0",9790,9821,9832,9890,10003,10137,10268,10377,10678,10940,11789,12990,13075,12296
"248","241","          Food supplied to civilians","DCFDRX0",9088,9159,9205,9284,9393,9485,9573,9574,9731,9941,10153,10361,10597,10713
"249","242","          Food supplied to military","DMFDRX0",703,662,626,606,610,652,695,803,947,999,1636,2630,2478,1581
"250","243","      Accommodations (104)","DACCRX0",50601,52873,57046,57729,59075,62432,58559,59902,62527,65646,69991,71979,72932,75114
"251","244","        Hotels and motels","DHOTRX0",38847,40760,44744,45417,46603,49635,45512,46542,48575,51183,55005,56534,57155,58884
"252","245","        Housing at schools","DSCHRX0",11900,12225,12247,12224,12355,12590,13056,13370,13964,14468,14985,15445,15776,16230
"253","246","    Financial services and insurance","DIFSRX0",489422,507760,525226,558634,605623,665381,660732,658334,657795,691776,712619,735436,772277,759761
"254","247","      Financial services","DFNLRX0",251829,277953,293928,319608,360511,404977,399494,399293,393167,414573,427208,448056,485068,473843
"255","248","        Financial services furnished without payment (107)","DIMPRX0",179897,195034,199817,201733,210012,216850,218366,214077,202309,217942,220041,222260,241468,246314
"256","249","          Commercial banks","DIMCRX0",75389,81115,79397,76424,76603,69896,73054,77714,68718,72949,69457,68827,70827,82433
"257","250","          Other depository institutions and regulated investment companies","DIMNRX0",75605,81253,83563,89392,97580,108585,110092,104569,102273,112737,118528,118967,134569,124642
"258","251","          Pension funds","DPENRX0",30426,34569,39143,37471,36761,38656,35276,31779,31410,32264,32056,34427,36124,38458
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",79822,90598,100483,121348,151664,187869,180958,185069,190930,196612,207168,225707,243520,227512
"260","253","          Financial service charges and fees","DFEERX0",42844,43768,43834,48426,54176,60301,65110,71345,79070,81142,87119,92330,96055,89402
"261","254","          Securities commissions","DEQTRX0",13724,17470,20585,26698,38052,54375,47240,45443,40489,40507,38549,40557,44844,42771
"262","255","            Direct commissions","DDCTRX0",6322,8183,9645,13892,22905,35324,31089,30529,25564,23978,20576,19666,19112,19506
"263","256","              Exchange-listed equities","DDCERX0",NA,NA,5225,7377,11340,16409,16851,16237,11698,9457,7092,6430,6397,5964
"264","257","              Other direct commissions","DDCORX0",NA,NA,4476,6568,11562,18828,14184,14256,13913,14536,13485,13243,12719,13542
"265","258","            Indirect commissions","DICTRX0",3588,4368,5039,5214,5922,7615,6318,5242,5095,5885,7086,9262,11477,9550
"266","259","              Over-the-counter equity securities","DICVRX0",NA,NA,148,227,430,801,733,586,596,591,509,599,640,716
"267","260","              Other imputed commissions","DICORX0",NA,NA,9891,8439,7237,7082,5521,4636,4464,5278,6577,8663,10844,8822
"268","261","            Mutual fund sales charges","DMUTRX0",4501,5738,6979,8402,9085,10920,9487,9526,9763,10638,10887,11695,14505,14072
"269","262","          Portfolio management and investment advice services","DPMIRX0",25076,29433,35306,44373,54080,64722,60815,60326,63423,67452,73416,85209,93717,87582
"270","263","          Trust, fiduciary, and custody activities","DTRURX0",7371,6958,6960,7185,7660,7596,7693,7735,7788,7483,8084,7541,8657,7619
"271","264","      Insurance","DINSRX0",250750,237668,237439,243423,246110,259560,260837,258472,264679,277203,285411,287393,287339,286023
"272","265","        Life insurance (110)","DLIFRX0",88765,79966,80460,77344,74969,79739,75751,66780,65165,73412,76502,78693,79044,77484
"273","266","        Net household insurance (111)","DFINRX0",6231,6323,5726,6530,6571,6546,6517,5960,5529,6051,6167,5993,6912,7320
"274","267","          Household insurance premiums and premium supplements","DFIPRX0",9841,10087,10250,10653,11046,11523,12160,13284,14132,15339,16194,17440,18412,18720
"275","268","          Less: Household insurance normal losses","DFIBRX0",4576,4714,5085,5024,5304,5688,6220,7517,8605,9295,10028,11457,11468,11324
"276","269","        Net health insurance (112)","DHINRX0",102544,97888,96495,103510,107764,116119,120701,128627,137158,139749,145128,145263,144154,145300
"277","270","          Medical care and hospitalization","DMINRX0",78634,77089,76269,83897,88334,95693,98479,104934,111853,113877,117839,117541,118736,121238
"278","271","          Income loss","DIINRX0",1107,1182,1423,1647,1805,1927,2039,2170,2300,2432,2572,2735,2848,2886
"279","272","          Workers' compensation","DPWCRX0",22256,18966,18189,17824,17702,18688,20184,21523,23003,23432,24716,24984,22668,21379
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",52470,52713,53786,55155,55957,56215,57177,57047,57080,58035,57614,57435,57239,55886
"281","274","    Other services","DOTSRX0",524266,541943,574050,621661,656729,704151,732613,737029,755690,773452,781599,808301,831044,825682
"282","275","      Communication","DCOMRX0",89355,97492,107523,117713,132862,152991,163218,167474,171454,179410,185216,199474,215215,221281
"283","276","        Telecommunication services (71)","DTCSRX0",77172,83913,92856,101226,111927,125348,134657,136144,137072,142122,146067,156796,158148,161293
"284","277","          Land-line telephone services, local charges","DLOCRX0",49388,52655,55660,59294,63424,66664,68291,66309,60200,56657,53068,56536,51925,50443
"285","278","          Land-line telephone services, long-distance charges","DLDTRX0",25024,25847,29257,30042,30735,30693,27811,23671,24116,25210,23609,21603,19874,19026
"286","279","          Cellular telephone services","DCELRX0",6193,8353,9880,13302,18590,27988,38900,47190,53155,60330,69390,78696,86713,92538
"287","280","        Postal and delivery services (68)","DPSSRX0",11614,11990,12160,12255,11957,11877,11099,10308,9378,9326,9261,8968,8899,8225
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",9285,9616,9802,9768,9484,9332,8731,8140,7289,7353,7273,6985,6974,6508
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",2287,2319,2282,2448,2448,2541,2362,2158,2101,1972,1988,1982,1925,1724
"290","283","        Internet access (72)","DINTRX0",1719,2774,3568,5175,9675,16329,17792,21207,25055,27971,29888,33776,50443,54982
"291","284","      Education services","DTEDRX0",152985,157383,161756,166497,170363,176329,179587,175541,174224,170732,170422,171561,174757,177059
"292","285","        Higher education (97)","DHEDRX0",93123,95668,98956,102329,105513,109913,112957,110929,111022,108795,108837,109272,110217,112054
"293","286","          Proprietary and public higher education","DGEDRX0",54808,55191,56735,58843,61191,64069,65747,66913,67726,66355,66501,67025,67930,68727
"294","287","          Nonprofit private higher education services to households","DPEDRX0",38316,40478,42222,43488,44323,45845,47210,44017,43296,42441,42337,42247,42287,43326
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34235,34188,33521,32691,32678,32494,32606,32016,31849,31856,31782,31989,32946,32803
"296","289","          Elementary and secondary schools","DESCRX0",27139,27198,26223,25441,25222,24964,24868,24317,24095,23935,24007,24070,24104,24055
"297","290","          Day care and nursery schools","DNSCRX0",7235,7143,7386,7319,7501,7563,7755,7709,7758,7919,7775,7919,8849,8753
"298","291","        Commercial and vocational schools (99)","DVEDRX0",25502,27390,29140,31369,32085,33884,34033,32610,31375,30082,29803,30301,31615,32218
"299","292","      Professional and other services (121)","DPRSRX0",127752,129977,132060,136098,139295,140120,142977,142809,148387,149188,149435,149974,152738,148786
"300","293","        Legal services","DGALRX0",74356,76666,78406,80286,81969,81744,83410,83660,87812,88990,89706,91178,93918,91038
"301","294","        Accounting and other business services","DPRORX0",15888,16366,17008,18663,20029,21140,21918,22569,23246,24335,24291,24132,25327,24857
"302","295","          Tax preparation and other related services","DTAPRX0",11864,11806,11727,12898,13983,14865,16020,16917,17543,18542,18358,18100,19258,19302
"303","296","          Employment agency services","DGENRX0",1025,855,901,911,904,892,764,668,655,718,944,1100,1265,1060
"304","297","          Other personal business services","DTHERX0",2960,3670,4293,4773,5074,5324,5110,4979,5047,5077,4989,4937,4804,4468
"305","298","        Labor organization dues","DUNSRX0",13973,13930,14086,13370,12879,12371,11585,11074,11187,11009,10690,10717,10748,11151
"306","299","        Professional association dues","DAXSRX0",4900,4824,4942,5115,5376,5598,5886,6101,6046,5946,5756,5919,6020,5671
"307","300","        Funeral and burial services","DFUNRX0",18394,18016,17499,18567,18977,19206,20143,19392,20087,18908,18992,18032,16736,16104
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",74813,76969,80727,85274,89193,93456,92836,94627,97653,103898,105925,108479,111692,111399
"309","302","        Personal care services","DPCSRX0",58103,60200,62686,66637,70090,74206,74373,76796,80835,87514,89661,91960,95051,95436
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",29815,30237,32442,34071,35204,36910,37269,38580,39897,42940,44704,46026,46646,47004
"311","304","          Miscellaneous personal care services","DMPCRX0",28267,29932,30211,32536,34870,37290,37090,38199,40939,44579,44958,45935,48390,48424
"312","305","        Clothing and footwear services","DCFSRX0",16689,16758,18021,18622,19091,19240,18453,17821,16812,16383,16264,16519,16641,15964
"313","306","          Laundry and drycleaning services","DDRYRX0",7944,8109,8830,9175,9434,9554,9206,8865,8240,8332,8427,8761,8806,8453
"314","307","          Clothing repair, rental, and alterations","DLGRRX0",8090,8039,8625,8876,9074,9136,8731,8446,8086,7566,7357,7285,7350,7035
"315","308","          Repair and hire of footwear","DSCLRX0",675,625,578,581,592,559,523,516,495,487,479,474,485,477
"316","309","      Social services and religious activities (120)","DSOCRX0",79327,81029,83429,88026,93180,98743,106189,110591,114233,117735,118702,121826,127389,131425
"317","310","        Child care","DCHCRX0",22500,21743,21977,21870,22629,22957,23716,23836,24032,24255,24050,24469,27264,27730
"318","311","        Social assistance","DSCWRX0",36700,38541,40671,44704,49588,55404,62721,67676,70434,73391,74516,76257,78243,81414
"319","312","          Homes for the elderly","DELDRX0",7330,7544,7590,8408,9299,10281,11625,12371,12519,12815,13276,13565,13566,14126
"320","313","          Residential mental health and substance abuse","DMENRX0",2448,2553,2650,4069,5604,7410,9523,11529,12074,12526,12720,12729,13102,14037
"321","314","          Individual and family services","DFAMRX0",17549,18547,19857,20719,22107,23743,26095,27184,28451,29910,29287,31133,33110,34412
"322","315","          Vocational rehabilitation services","DVOCRX0",4513,4757,5062,5423,5753,6276,6627,6753,7271,7697,8152,7853,7571,7799
"323","316","          Community food and housing/emergency/other relief services","DCFORX0",1671,1767,1895,2258,2700,3181,3735,4189,4352,4643,5250,5154,5006,5246
"324","317","          Other social assistance, not elsewere classified","DSIARX0",3091,3267,3501,3734,4051,4461,5085,5650,5764,5796,5830,5822,5890,5795
"325","318","        Social advocacy and civic and social organizations","DSADRX0",14181,14329,14162,14741,14387,13999,13593,13170,13867,14077,14200,15106,15624,15880
"326","319","        Religious organizations' services to households","DRELRX0",5621,5987,5986,6013,5926,5743,5617,5455,5426,5493,5418,5410,5568,5772
"327","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1183,1106,1254,1134,995,848,639,486,484,520,519,586,637,596
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",47582,47911,50756,55310,54877,56292,53401,51353,52707,55638,57012,58179,60759,60026
"329","322","        Domestic services","DDMSRX0",20744,20574,21473,24134,22593,23568,22327,21647,23149,23935,23920,24622,26021,26154
"330","323","        Moving, storage, and freight services","DMSERX0",12038,12554,14077,14910,15569,16107,14759,13379,13501,15423,16622,17135,17890,17120
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2658,2468,2354,2445,2318,2118,1787,1572,1507,1398,1400,1361,1268,1153
"332","325","        Repair of household appliances","DERERX0",3876,4295,4816,4924,4853,4703,4390,4184,4247,4257,4218,4464,4550,4463
"333","326","        Other household services","DMHSRX0",8429,8196,8198,9020,9662,9852,10171,10596,10311,10622,10852,10600,11039,11111
"334","327","      Net foreign travel","DFORRX0",-28723,-31950,-27849,-14740,-14046,-8188,-2347,-3896,-2226,-3012,-5112,-997,-10505,-22326
"335","328","        Foreign travel by U.S. residents (129)","DFTRRX0",72848,75850,82811,93161,96284,106794,101026,94636,91767,98568,99762,104107,102688,98982
"336","329","          Passenger fares for foreign travel","DAFTRX0",28186,29493,32579,36288,38291,42174,38725,35369,36572,41181,43072,46343,46179,43177
"337","330","          U.S. travel outside the United States","DUSTRX0",43279,44881,48628,54936,55878,62195,59515,56138,51558,53607,52698,53425,52233,51402
"338","331","          U.S. student expenditures","DUSSRX0",1422,1537,1720,2036,2264,2581,2987,3405,3702,3779,3992,4325,4260,4398
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",101571,107800,110660,107901,110330,114982,103373,98532,93993,101581,104874,105103,113192,121309
"340","333","          Foreign travel in the United States","DFTURX0",86161,91956,94520,91420,93388,97414,85725,80781,76701,85190,88890,89345,97128,104567
"341","334","          Medical expenditures of foreigners","DMEFRX0",1461,1640,1760,1844,1985,2081,1924,1747,1750,1748,1964,2037,2035,2034
"342","335","          Expenditures of foreign students in the United States","DEFSRX0",13364,13369,13475,14004,14336,14812,15627,16101,15674,14657,14021,13723,14064,14770
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (130)","DNPIRX0",142294,150929,140557,153925,164993,177843,191406,209049,219345,218314,214076,235398,244865,266639
"344","337","    Gross output of nonprofit institutions (133)","DNPERX0",636438,653417,663797,696725,720967,748991,785303,831110,844015,860604,874632,901014,924563,956696
"345","338","      Health, gross output","DHLGRX0",362138,367873,378324,393666,404198,412388,425377,449071,459808,471259,484086,497527,511237,524740
"346","339","        Outpatient services, gross output","DOUGRX0",43040,44607,44995,46061,47157,48489,51207,56617,59597,64194,65039,67237,69087,65132
"347","340","        Nonprofit hospitals, gross output","DHSORX0",288043,290507,297107,310093,318498,324779,333196,350597,358056,365817,376692,387733,399696,416282
"348","341","        Nonprofit nursing homes, gross output","DNXORX0",31084,32723,36172,37508,38544,39111,40922,41806,42116,41251,42355,42555,42446,43302
"349","342","      Recreation services, gross output","DRCGRX0",22492,22326,22713,23403,24743,26122,27874,29160,29502,28928,29671,30579,31122,32099
"350","343","      Education services, gross output","DEDGRX0",92909,96280,97181,101798,105421,109725,116877,122848,124113,125749,129406,134351,142266,147400
"351","344","      Social services, gross output","DSSGRX0",50412,52239,55953,61099,67303,74677,84275,89791,92348,91265,92018,92537,92852,93857
"352","345","      Religious organizations, gross output","DREORX0",54727,58489,57933,60939,61742,62673,65677,68269,67844,69683,69634,69543,71565,74198
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13304,12444,11181,12355,14409,16234,19276,20255,20142,20549,20484,21853,22555,25106
"354","347","      Social advocacy establishments, gross output","DSAORX0",6358,6557,6804,6962,7443,7984,8697,10475,11229,10795,10749,11449,12133,13100
"355","348","      Civic and social organizations, gross output","DCIORX0",7444,7337,7218,7790,8209,8728,9319,10012,10474,10309,10291,10943,11116,11351
"356","349","      Professional advocacy, gross output","DSNGRX0",27489,30770,27207,29379,28027,30738,27942,31232,28535,32078,28292,32224,29653,34741
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",497148,505355,526771,545972,558609,573046,595154,622508,624537,642289,660557,665769,679956,691015
"358","351","      Health services to households","DHLRRX0",350027,354342,371263,385707,394659,404033,419779,447503,448557,465435,484815,488471,501293,510941
"359","352","        Outpatient services to households","DOUSRX0",33646,35093,36556,37871,38554,40530,42525,47700,50195,55526,59831,59060,61526,63429
"360","353","        Nonprofit hospitals' services to households","DNPHRX0",283104,285258,298622,310236,318397,325611,338696,360495,358372,370355,384721,389859,400062,408224
"361","354","        Nonprofit nursing homes' services to households","DNPNRX0",33632,34343,36517,38067,38172,38260,38914,39552,40089,39570,40263,39532,39702,39310
"362","355","      Recreation services to households","DRCRRX0",12345,12284,12432,12581,12970,13070,13356,13109,13016,13316,13788,14033,13397,13122
"363","356","      Education services to households","DEDRRX0",69495,71783,72771,73821,74536,76184,77979,74463,73297,72170,72102,72186,72588,73595
"364","357","      Social services to households","DSSRRX0",25338,26951,29503,32729,35802,39986,45334,49170,50488,51844,50728,50766,51535,51774
"365","358","      Religious organizations' services to households","DRELRX0",5621,5987,5986,6013,5926,5743,5617,5455,5426,5493,5418,5410,5568,5772
"366","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1183,1106,1254,1134,995,848,639,486,484,520,519,586,637,596
"367","360","      Services of social advocacy establishments to households","DSASRX0",1641,1699,1651,1763,1884,1881,1846,1843,2003,1911,1907,2065,2198,2268
"368","361","      Civic and social organizations' services to households","DCISRX0",6011,6100,6017,6402,6483,6568,6545,6618,7045,7215,7135,7537,7658,7782
"369","362","      Professional advocacy services to households","DSNRRX0",27632,27507,27895,27451,26730,25949,25042,24213,24418,24427,24145,24725,25117,25194
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRX0",1721582,1790367,1863333,1974637,2126525,2256830,2316807,2404898,2523594,2651378,2785731,2919335,3018607,3010678
"372","364","  PCE food and energy","DPFERX0",975534,990161,997900,1016063,1048962,1065562,1072017,1081748,1106784,1130356,1160205,1168217,1188596,1169788
"373","365","  PCE energy goods and services \1\","DNRGRX0",428266,438397,441147,454168,463606,465598,464111,473793,485694,491747,495190,482710,488908,471595
"374","366","  PCE excluding food","DPXFRX0",5530739,5737239,5964558,6299837,6653442,7007328,7206111,7412828,7625129,7893527,8153984,8387268,8613258,8590116
"375","367","  PCE excluding energy","DPXERX0",5672902,5874308,6100814,6427629,6789219,7148922,7353157,7550914,7764389,8041787,8323809,8591970,8826961,8824318
"376","368","  PCE excluding food and energy \2\","DPCCRX0",5126369,5321934,5543288,5862902,6202451,6548585,6745697,6941924,7141990,7402565,7658794,7905725,8126287,8123584
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRX0",5320139,5507862,5722912,6015054,6344959,6650461,6827962,7020181,7224208,7466477,7735911,7939484,8143679,8116707
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRX0",220600,231445,248318,276881,304384,314087,330091,353316,363101,368337,366383,353469,358747,306069
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",264677,289179,315575,357850,413902,466499,492804,538162,582289,640188,695846,754117,798289,801205
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",547954,553507,558402,565082,586936,600212,607273,608657,622081,638918,664672,685818,700308,700366
"384","373","  Market-based PCE clothing and footwear","DCLMRX0",200755,210506,217414,230694,245876,257759,260179,268116,282899,296907,315162,331061,345467,344583
"385","374","  Market-based PCE gasoline and other energy goods","DGOERX0",264326,268506,273925,283768,292456,287126,289198,293983,302154,306527,304824,298378,300687,287444
"386","375","  Market-based PCE other nondurable goods","DNDXRX0",440943,460306,483802,509679,541657,568983,587367,606533,634322,657224,678021,703513,724626,724717
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRX0",3487340,3588410,3709109,3857014,4003808,4183716,4283230,4363449,4443779,4560338,4711004,4814718,4919996,4955704
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRX0",1005835,1025575,1054144,1088348,1126064,1159404,1199080,1204732,1218098,1246962,1310068,1348286,1358823,1378587
"391","378","    Market-based PCE household utilities","DUTLRX0",218671,225811,225436,230111,233752,240120,237770,242952,247621,248804,253945,249841,254368,250540
"392","379","    Market-based PCE health care","DHLCRX0",947494,967086,997112,1029504,1045587,1081525,1135446,1202320,1229418,1268646,1315952,1340006,1375484,1416431
"393","380","    Market-based PCE transportation services","DTRSRX0",213840,231365,248818,259174,273489,286224,283587,275842,276735,283227,285900,284986,288340,273792
"394","381","    Market-based PCE recreation services","DRCMRX0",187670,194091,198279,206506,213616,218625,217690,216315,219560,227894,231150,236833,246754,246691
"395","382","    Market-based PCE food services and accommodations","DFSMRX0",406220,408935,418196,429294,440025,460410,459622,466853,482885,497812,513520,528610,534576,533103
"396","383","    Market-based PCE financial services and insurance","DFIMRX0",46826,52719,56599,68102,87446,111173,109069,113013,115258,117042,120948,127181,133326,125538
"397","384","    Market-based PCE other services","DOTMRX0",481681,500427,526191,556766,587258,624418,640021,641556,654613,670124,679522,699250,728843,731855
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRX0",89355,97492,107523,117713,132862,152991,163218,167474,171454,179410,185216,199474,215215,221281
"400","386","      Market-based PCE education","DTEDRX0",152985,157383,161756,166497,170363,176329,179587,175541,174224,170732,170422,171561,174757,177059
"401","387","      Market-based PCE professional services","DPRMRX0",113571,115859,117789,122612,126338,127692,131371,131731,137199,138178,138744,139257,141987,137658
"402","388","      Market-based PCE personal care and clothing services","DPERRX0",74813,76969,80727,85274,89193,93456,92836,94627,97653,103898,105925,108479,111692,111399
"403","389","      Market-based PCE child care","DCHCRX0",22500,21743,21977,21870,22629,22957,23716,23836,24032,24255,24050,24469,27264,27730
"404","390","      Market-based PCE household maintenance","DHMMRX0",46003,46317,49169,53599,53247,54660,51776,49686,50891,53774,55166,56231,58705,58000
"405","391","Market-based PCE food and energy","DPMFRX0",974936,989614,997430,1015575,1048496,1065160,1071678,1081373,1106458,1130046,1159862,1167792,1188225,1169422
"406","392","Market-based PCE excluding food","DMXFRX0",4773516,4955311,5165121,5450235,5758185,6050242,6220629,6411491,6602110,6827572,7071239,7253690,7443378,7416307
"407","393","Market-based PCE excluding energy","DPMERX0",4914786,5091677,5300616,5577582,5893477,6191673,6367578,6549349,6741086,6975628,7240721,7457902,7656612,7650027
"408","394","Market-based PCE excluding food and energy","DPCXRX0",4370290,4541013,4744393,5013864,5307587,5592019,5760652,5940776,6119029,6336711,6576049,6772088,6956317,6949653
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
