"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206"
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,164,194,248,318,366,422,500,553,635,746,814,867,922,1036,1151,1244,1314,1438,1522,1577,1691,1762,1846,2100,2309,2509,2681,2847,2987,3212,3493,3740,3925,4098,4434,4488,4805,5155,5429,5703,5789,6054,6098,5989,6038,5970,6061,5959,6002,5921,5835,5798,5690,5527,5360,5267,5288,5200,4957,5028,4928,4935,4980,5163,5301,5365,5447,5540,5711,5816,5961,5960,5969,6106,6116,6091,6186,6166,6170,6140,6136,6227,6264,7039,8460,9833,10541,10861,11463,12146,12741,13642,14414,14904,15035,15874,16152,17033,18503,19070,19404,19119,19074,18146,18063,18529,19179,19385,19815,20327,20291,20462,20303,20184,20518,21220,21164,21181,21480,21451,21065,21515,22063,21941,22288,21714,20595,21007,19278,19055
"53","45","        Photographic equipment","DCAMRC0",338,336,332,326,319,323,307,303,291,281,278,277,271,277,288,298,330,361,377,376,399,410,426,433,442,472,482,512,517,511,519,536,552,566,597,596,594,596,615,656,641,612,567,525,519,506,500,508,486,501,544,606,689,798,870,928,1039,1112,1143,1087,1146,1196,1169,1126,1172,1224,1241,1240,1352,1391,1470,1512,1475,1572,1642,1681,1712,1740,1748,1849,1847,1882,1945,1914,1979,2018,2045,2098,2103,2098,2103,2096,2076,2183,2258,2275,2370,2406,2423,2549,2632,2667,2777,2812,2788,2784,2830,2848,2919,2959,3056,3053,3149,3244,3236,3316,3174,3156,3149,3139,3101,3075,3028,3001,2947,2859,2770,2727,2684,2630,2560,2452,2392,2350,2382,2409,2462,2511,2558,2606,2604,2670,2724,2786,2795,2844,2879,2907,2929,2999,3068,3077,3168,3159,3231,3211,3250,3290,3340,3438,3494,3482,3522,3704,3599,3642,3721,3941,3771,3629,3592,3559,3646,3639,3665,3614,3670,3729,3850,3861,3844,3889,3901,3910,3942,4060,4049,4084,4215,4116,4168,4268,4311,4297,4413,4538,4614,4627,4472,4305,4120,4064,4036
"54","46","        Information processing equipment","DIPERC0",101,103,106,106,107,114,110,112,117,116,126,128,129,130,135,142,143,144,145,148,155,163,167,171,170,175,183,191,200,202,211,218,214,220,224,230,240,251,263,273,285,297,310,315,329,336,346,362,367,381,391,403,419,433,442,444,458,462,464,469,477,489,493,479,494,509,511,510,521,520,522,532,517,560,604,648,602,610,597,586,595,588,589,604,618,627,641,677,710,748,799,877,1270,1556,1843,2148,2642,3184,3569,3723,3669,3491,3360,3331,3211,3075,3240,3796,4366,5348,6236,6791,6728,6488,6726,6950,8036,8661,9008,9392,8948,9018,8888,8909,9182,9351,9619,10146,11440,12481,13243,12873,12485,12492,12826,13149,14682,15370,16377,17728,18838,19939,21023,22337,23090,24275,25526,27219,27860,29296,30277,30989,32016,33974,35043,35866,36604,36668,38148,38780,39350,40375,41289,41729,43735,44001,44429,44180,42349,41910,41646,42670,43828,44434,44615,45082,44576,45675,47512,48739,49953,51087,52179,52833,54075,55374,56505,57820,59749,59320,59975,62366,63796,64111,65864,67524,66037,67541,66563,64891,65283,63982,64580
"55","47","          Personal computers and peripheral equipment","DCPPRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,15,24,34,34,38,42,46,61,72,86,102,121,144,171,203,238,282,339,421,741,975,1200,1444,1839,2274,2581,2702,2644,2482,2369,2333,2232,2118,2245,2693,3148,3940,4647,5084,5039,4822,5002,5163,6004,6472,6718,6990,6611,6632,6497,6487,6666,6786,6973,7358,8320,9090,9642,9328,8975,8943,9157,9374,10602,11179,11973,12968,13858,14725,15615,16681,17306,18221,19171,20505,21017,22156,22918,23432,24242,25748,26605,27255,27618,27402,28387,28713,28986,29622,30205,30362,31611,31610,31853,31534,30154,29773,29578,30239,30809,31196,31250,31595,31326,32244,33619,34537,35380,36167,36914,37371,38292,39202,40002,40893,42239,41784,42217,43958,45011,45312,46614,47855,46708,47785,47038,45823,46084,45154,45626
"56","48","          Computer software and accessories","DCPSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,8,8,10,11,11,15,18,21,25,30,36,43,51,59,70,85,105,186,245,302,363,451,543,600,617,618,583,559,552,526,500,530,636,743,930,1095,1196,1163,1123,1181,1239,1467,1613,1709,1812,1737,1773,1767,1795,1871,1935,2021,2166,2488,2760,2973,2920,2868,2899,3000,3089,3395,3501,3710,4057,4271,4497,4682,4930,5069,5329,5623,5982,6128,6407,6625,6814,7029,7479,7677,7844,8138,8327,8723,8961,9217,9558,9849,10079,10750,10958,11115,11185,10769,10723,10627,10975,11539,11727,11840,11942,11761,11932,12362,12666,13012,13344,13668,13857,14151,14514,14858,15252,15798,15845,16060,16670,17036,17053,17486,17888,17603,18005,17802,17430,17549,17226,17343
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRC0",101,103,106,106,107,114,110,112,117,116,126,128,129,130,135,142,143,144,145,148,155,163,167,171,170,175,183,191,200,202,211,218,214,220,224,230,240,251,263,273,285,297,310,315,329,336,346,362,367,381,391,403,419,433,442,444,458,462,464,469,477,489,493,479,494,509,511,510,521,520,522,532,508,542,575,605,559,562,544,528,519,498,482,477,466,447,427,423,413,395,375,351,343,336,340,341,353,366,387,404,407,427,432,446,453,456,464,467,474,478,494,511,526,543,544,547,565,576,582,590,599,613,624,628,645,630,625,622,632,631,629,626,642,651,669,686,684,690,694,702,709,717,725,725,715,725,733,732,716,734,734,743,745,747,761,767,848,939,1038,1107,1148,1195,1235,1288,1374,1433,1461,1462,1426,1414,1442,1455,1480,1511,1524,1545,1489,1499,1531,1536,1561,1577,1598,1605,1632,1658,1645,1675,1711,1691,1697,1738,1750,1746,1764,1781,1726,1751,1723,1638,1650,1602,1612
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC0",1214,1209,1219,1233,1236,1290,1286,1323,1349,1363,1390,1402,1384,1409,1404,1371,1392,1410,1398,1364,1451,1495,1559,1594,1596,1669,1731,1898,2019,2110,2225,2323,2334,2353,2457,2507,2529,2627,2754,2952,2978,2927,2815,2753,2814,2867,2895,2927,2858,2892,2987,3108,3334,3633,3719,3731,3860,3860,3845,3755,4002,4288,4409,4431,4699,4983,5214,5376,5827,6040,6331,6495,6177,6612,7036,7326,6914,7270,7687,8438,8019,8125,8062,8274,8496,8748,9032,9297,9158,9540,9665,9478,9580,9602,9506,9347,9549,9697,10125,10496,11011,11364,11433,11947,11944,12077,12061,12542,12484,12846,13499,13761,14546,15069,15792,16118,16498,17158,17197,17742,18059,18418,18961,19675,20234,19788,19809,19943,19850,20298,20927,20732,21385,21415,21792,22378,22782,23359,23778,24495,24777,25595,26040,27282,26558,26933,27700,27477,27778,28807,28727,28804,28888,29156,29760,30285,30827,32106,32416,32975,33779,34752,35648,36924,38139,38681,39561,39989,40242,41267,41160,42394,42918,42652,42967,43764,43785,44472,46310,47211,48036,48219,49314,49763,51151,52090,51917,53755,56302,56192,56683,58143,58733,60028,61145,62260,62047,63600,63098,60358,61217,60373,61816
"59","51","      Sports and recreational vehicles (79)","DWHLRC0",849,841,839,837,798,771,740,753,688,673,692,734,719,753,803,857,879,892,898,957,1071,1128,1186,1214,1283,1343,1389,1471,1595,1683,1776,1830,1791,1866,2006,2119,2281,2604,2765,2875,3072,3248,3228,3482,3482,3367,3510,3531,3907,4097,4129,4580,4871,5157,5620,6270,6862,6351,6387,6035,5727,6201,6634,6234,6419,7258,7796,8330,8356,8274,8324,9359,10351,10413,9821,9347,10577,11154,10751,10898,12178,12575,11266,10805,9928,8918,9661,10797,9600,10329,11256,10510,10397,10432,10095,10459,10439,10338,10224,11991,13327,13724,13775,14210,15290,15100,14346,13753,15233,14027,15432,18162,16279,17510,16550,15397,15921,16444,17195,18536,15879,17149,18171,18042,17239,16588,16590,16051,16945,15884,15118,15904,15824,15467,15799,16368,17307,18036,18326,18246,18453,20323,20166,22574,21764,22324,23317,22558,22970,23633,24500,25202,25718,25383,26393,26640,27519,28094,29079,29929,30383,31698,32271,32942,36850,34275,34081,34459,34331,35471,35100,36605,37458,36269,36327,36135,37297,39654,42284,43320,44392,44595,44948,46112,46937,48768,48106,47151,49877,48897,48579,51287,50213,50584,51561,52058,51240,50638,49195,44841,44434,44378,47288
"60","52","        Motorcycles","DMCYRC0",77,76,75,72,68,66,63,63,62,62,64,68,71,76,80,81,83,85,91,97,112,125,142,153,157,170,181,204,221,233,249,264,261,262,287,310,333,366,422,496,504,503,516,541,596,652,713,775,782,825,872,913,945,1001,1043,1107,1263,1392,1492,1486,1617,1748,1794,1813,2024,2218,2204,2043,1978,1784,1692,1640,1604,1735,1836,1895,1871,2157,2113,2335,2660,2959,3168,2957,3061,2581,2559,2819,2988,3043,3283,2874,2855,2901,2897,2915,2564,2509,2461,2667,2973,2925,2847,2862,3100,3095,3044,2879,2812,2721,2877,2654,2017,1990,1782,1969,2116,2041,2088,2185,2102,2073,2031,1989,1878,1959,1996,1874,2003,1901,2374,2287,2291,2291,2463,2426,2852,2970,2915,2992,3036,3377,3340,4117,3820,3721,3895,3962,4037,4416,4458,4381,4446,4485,4708,4944,5237,5266,5774,5883,5866,6118,6142,7188,7867,7545,7743,8090,8618,9630,9101,9369,10125,9217,9359,9465,10116,10689,12080,13079,12932,13708,13558,13264,14049,14788,13843,14234,14856,15036,14821,15209,15187,15359,15981,17106,17520,17854,17016,14447,14374,13436,14734
"61","53","        Bicycles and accessories","DBCYRC0",200,200,196,188,178,177,167,166,162,161,168,177,184,198,208,212,224,234,238,237,258,272,285,289,288,299,303,323,339,347,353,357,343,332,350,367,391,426,481,556,557,548,551,568,621,674,728,780,781,817,853,883,914,964,983,1016,1147,1244,1285,1220,1316,1378,1274,1108,1002,880,768,705,769,814,888,941,938,1021,1085,1122,1058,1117,1185,1303,1238,1252,1243,1276,1311,1352,1397,1439,1418,1478,1498,1470,1488,1492,1478,1454,1492,1518,1588,1650,1735,1795,1810,1896,1899,1923,1925,2005,2000,2063,2172,2220,2352,2440,2559,2613,2586,2642,2599,2634,2648,2657,2690,2743,2772,2662,2618,2588,2531,2539,2566,2490,2507,2464,2467,2498,2577,2631,2666,2734,2753,2831,2867,2990,2896,2923,2992,2954,2973,3067,3042,3033,3021,3037,3091,3142,3095,3097,3004,2988,3028,3060,3078,3069,3063,3087,3082,3025,3037,3036,3010,3037,2986,2937,2914,2992,2987,3011,3109,3144,3178,3177,3258,3278,3351,3385,3400,3520,3661,3681,3731,3790,3864,3923,3975,4002,4018,4112,4097,3984,4069,4007,4044
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRC0",573,565,569,577,551,528,511,524,464,450,460,489,464,479,514,564,573,573,569,624,702,731,759,772,838,874,905,943,1035,1103,1173,1208,1186,1273,1369,1441,1557,1812,1862,1822,2011,2197,2161,2373,2265,2041,2070,1976,2345,2455,2404,2784,3013,3192,3594,4147,4452,3715,3609,3329,2794,3075,3566,3314,3393,4159,4823,5583,5609,5676,5744,6777,7809,7657,6900,6330,7647,7879,7453,7260,8280,8364,6855,6572,5555,4985,5705,6539,5194,5808,6475,6166,6054,6039,5719,6090,6383,6311,6175,7675,8620,9004,9118,9452,10292,10082,9377,8869,10421,9243,10383,13289,11911,13079,12209,10815,11218,11761,12508,13717,11129,12420,13450,13310,12589,11967,11977,11589,12411,11444,10179,11127,11025,10712,10869,11443,11878,12436,12745,12520,12664,14114,13959,15467,15047,15680,16430,15642,15960,16151,17000,17789,18251,17862,18593,18554,19187,19731,20301,21059,21489,22519,23051,22685,25920,23643,23256,23344,22676,22805,22989,24199,24348,24114,24054,23678,24194,25954,27095,27097,28282,27710,28132,29571,29538,30595,30863,29398,31360,30180,30027,32288,31162,31302,31605,30950,29702,28672,28081,26410,25992,26935,28510
"63","55","          Pleasure boats","DBOARC0",434,425,419,425,421,399,370,377,338,318,314,333,334,342,357,380,389,392,411,443,465,487,523,552,545,540,565,607,646,690,757,791,820,846,890,925,933,1046,1029,939,969,1211,1223,1284,1201,1010,957,868,1103,1103,1014,1147,1338,1458,1797,1936,1937,1743,1771,1719,1672,1513,1594,1534,1599,1892,2264,2224,2340,2406,2324,2705,3157,3124,2844,2625,3020,2968,3156,3211,3873,4388,3186,3113,2692,2464,2623,3032,2420,2583,3054,2818,3126,2754,2499,2492,2628,2633,2775,3425,3816,4222,3997,4198,4337,4218,4023,3752,4471,3821,4492,6527,5783,6333,6014,5014,5585,5510,5764,6607,4845,5890,6163,6152,5550,5110,4780,5301,5047,4444,3995,4228,3799,3697,3851,3814,4371,4280,4274,4360,4093,4918,5027,5440,5927,5922,6599,6657,6713,6777,7027,7869,8147,7964,8373,8102,8412,8777,8559,8868,9388,9924,10620,9145,11458,10478,10493,10850,10392,10217,10501,11638,11582,11163,10627,10264,10255,11583,12200,12429,12808,12891,12408,12628,13167,14292,13822,13226,14609,13802,15022,15743,14908,15065,15089,14897,14325,14322,14267,14394,13713,14096,15022
"64","56","          Pleasure aircraft","DAIRRC0",65,64,62,62,60,55,51,54,50,49,49,52,52,53,53,54,54,52,51,51,50,49,49,48,46,45,45,47,50,54,56,56,52,49,53,61,72,91,98,91,88,102,103,114,118,109,109,100,127,124,108,113,116,110,131,150,175,184,217,236,246,235,257,254,267,318,383,379,402,416,402,467,548,543,496,459,508,495,518,519,622,701,499,478,412,374,393,442,351,371,428,386,418,358,319,318,331,333,353,435,478,524,491,510,528,504,476,444,519,445,524,755,661,715,675,562,667,681,738,877,660,827,894,922,859,816,787,900,881,802,746,815,761,749,785,777,837,795,770,763,696,812,806,846,894,866,935,914,895,876,880,953,947,907,940,904,923,1013,1043,1039,1038,1011,979,1073,1131,1054,1073,1165,1067,1084,963,923,889,932,1046,964,917,979,1043,1038,1145,1031,1118,1186,1237,1271,1196,1172,1281,1233,1219,1438,1274,1391,1415,1527,1403,1461,1477,1294,1361,1364,1502
"65","57","          Other recreational vehicles","DREVRC0",74,76,88,90,70,74,90,94,76,83,97,104,78,84,104,130,130,129,107,130,187,194,187,172,247,289,295,289,339,360,360,361,314,377,426,455,553,675,736,792,954,884,835,975,946,922,1004,1008,1114,1228,1282,1524,1559,1623,1666,2060,2340,1788,1621,1375,877,1327,1714,1526,1527,1949,2176,2980,2867,2854,3018,3605,4104,3990,3560,3246,4119,4415,3779,3530,3785,3274,3171,2981,2451,2147,2689,3065,2423,2853,2994,2962,2510,2928,2902,3281,3424,3345,3047,3815,4326,4258,4629,4744,5427,5361,4878,4673,5431,4977,5367,6007,5467,6031,5519,5239,4966,5570,6006,6233,5624,5703,6393,6236,6180,6040,6410,5388,6483,6197,5439,6084,6466,6266,6232,6852,6670,7362,7701,7398,7874,8383,8126,9181,8227,8892,8897,8072,8352,8498,9094,8967,9156,8991,9281,9548,9853,9941,10699,11152,11062,11584,11452,12467,13331,12111,11689,11329,11218,11504,11524,11638,11877,12018,12381,12449,13022,13391,13852,13631,14329,13788,14606,15757,15134,15033,15846,15000,15470,15145,13786,15107,14979,14846,15101,14527,13974,12889,12337,10721,10918,11475,11986
"66","58","      Recreational books (part of 90)","DRBKRC0",795,812,810,846,843,870,847,852,880,904,926,918,921,948,978,1005,1018,1042,1054,1111,1153,1221,1280,1172,1187,1215,1223,1315,1395,1375,1390,1360,1380,1384,1373,1410,1475,1513,1477,1564,1646,1718,1768,1774,2069,2014,2189,2467,2155,2308,2388,2049,2199,2257,2128,2220,2150,2172,2312,2467,2422,2425,2386,2228,2556,2661,2656,2646,2583,2696,2655,2542,2407,2615,3188,3686,3503,3595,3653,3800,3898,4171,4224,4397,4489,4552,4704,5073,4996,5201,5461,5725,5620,5861,5979,5940,6205,6289,6762,6728,6884,7180,7066,7114,7260,7130,7374,7629,7401,7503,7978,8203,8670,8740,8705,8914,9409,9596,9480,9777,9758,10141,10115,10435,10657,10868,10917,10968,11014,10965,11148,11035,11107,11332,11790,11800,12247,12597,12900,13437,13780,14325,15044,15378,15906,16087,16869,16778,17167,18003,18172,19122,19591,19374,19567,20234,20428,20582,21048,21477,22136,22570,22553,23503,23718,24568,24616,24791,24584,24625,24749,25037,25601,25886,25955,26167,26405,26925,27768,27506,28344,28377,28735,28939,29288,29473,29909,30710,31479,31534,31035,31691,32247,32630,33694,34265,33761,34282,34162,33277,33550,33674,34202
"67","59","      Musical instruments (part of 80)","DMSCRC0",216,221,224,223,224,230,223,224,227,240,248,254,254,258,268,276,279,295,302,303,315,334,334,353,358,375,388,418,430,446,475,493,494,491,492,531,540,521,557,538,547,554,560,567,594,586,581,579,581,597,599,623,645,650,680,705,736,735,749,752,769,785,812,785,805,874,880,913,937,940,950,949,918,954,984,1019,1022,1036,1033,1069,1046,1099,1177,1155,1135,1103,1130,1180,1206,1171,1155,1116,1080,1100,1116,1124,1168,1231,1277,1294,1326,1334,1345,1394,1450,1461,1479,1546,1522,1580,1645,1677,1679,1700,1759,1773,1811,1902,1939,1911,1901,1873,1991,2000,2062,2033,2038,2068,2063,2222,2273,2140,2171,2088,2180,2304,2443,2465,2227,2404,2475,2674,2774,2878,2834,2812,2967,3094,3056,3125,2987,3194,3116,3190,3187,3354,3451,3491,3478,3503,3726,3746,3999,4233,4482,4778,4889,4844,4772,4980,4918,5057,5123,5257,5228,5113,5004,4940,5228,5549,5505,5568,5685,5642,5670,5747,5760,6004,6636,6170,6169,6252,6216,6686,6594,6800,6647,6480,6165,5792,5563,5516,5420
"68","60","    Other durable goods","DODGRC0",4126,4208,4223,4292,4232,4310,4244,4236,4227,4263,4345,4491,4574,4670,4752,4852,4818,4883,4956,4969,5221,5382,5623,5641,5802,5781,6006,6403,6911,6848,6928,6900,6946,7144,7115,7288,7499,7933,8163,8370,8655,8731,8681,8789,9078,9134,9550,9737,9702,9948,10249,10393,10490,10791,11061,11522,12156,12660,13065,13568,13969,14599,14810,14761,15501,16024,17027,17636,18363,18864,19445,19759,18662,20632,21834,23200,22333,23162,24016,24371,23584,24652,25832,26237,27302,26614,27324,29270,29331,29661,29995,29342,29241,29907,29995,30540,31931,32968,34345,35399,36425,38135,38627,39965,40187,40804,42194,43237,44215,45429,47454,52705,51329,52206,52611,53865,55984,57094,58119,60037,59478,60753,61784,63043,65723,65197,65603,65325,65438,65873,64529,63898,66333,66841,69070,69756,70060,71155,73353,73339,74737,75349,77091,78730,78114,79013,80019,81114,82285,84359,84901,85837,86149,85797,87884,89468,91457,93929,94785,96428,99040,100781,103043,108063,108711,110937,110822,111049,110245,107359,106507,109298,111752,113331,113287,115150,113431,115797,119383,120864,122773,123031,123076,124676,126543,127968,128112,131781,136211,135359,135036,137232,139842,141682,144247,144951,144708,145241,144265,137054,139292,139437,141253
"69","61","      Jewelry and watches (part of 119)","DJRYRC0",1930,1933,1953,1988,1939,1954,1940,1899,1878,1888,1882,1963,1998,2030,2054,2094,2126,2147,2166,2197,2270,2350,2512,2564,2625,2566,2748,2858,3223,3152,3202,3223,3275,3480,3477,3620,3639,3778,3916,3974,4063,4065,3965,3971,4061,4026,4147,4150,4249,4362,4453,4583,4479,4599,4869,5189,5551,5929,6155,6414,6643,7009,7165,7167,7402,7695,8430,8864,9443,9623,10029,10281,8830,10773,11754,12584,11948,12201,12577,12537,11882,12613,13748,13886,15187,14203,14577,15945,15795,16270,16375,15723,15425,15904,15467,15744,16565,17291,17526,18199,18882,19620,20107,20429,20463,20559,21322,21881,22317,22864,23921,28230,25719,25981,26150,27098,27709,28150,28229,29065,28942,29047,29216,29495,30378,30284,30487,29967,30109,31045,30055,29557,31006,31196,32022,32357,32062,33410,35409,34537,35471,35286,36187,37110,36488,37623,38179,39079,39665,40025,39961,39915,39564,39191,40047,40831,41627,42314,42335,43950,44807,45791,46888,48668,48023,49067,49818,49444,48919,47307,46644,47439,48975,49124,48476,49868,49215,49990,51570,52670,53968,53857,53709,54913,55533,56160,55450,57633,59686,59129,59565,60217,61033,61833,61765,61910,61778,61333,61037,55728,57701,58268,59247
"70","62","        Jewelry","DJLYRC0",1544,1546,1563,1590,1551,1563,1552,1519,1503,1511,1506,1570,1598,1624,1643,1675,1701,1718,1733,1758,1816,1880,2009,2051,2100,2053,2198,2286,2578,2522,2562,2578,2620,2784,2782,2896,2920,3046,3171,3233,3320,3337,3269,3289,3378,3364,3480,3498,3597,3709,3803,3930,3852,3955,4188,4462,4767,5080,5263,5473,5656,5954,6074,6063,6248,6481,7085,7433,7901,8034,8355,8546,7329,8942,9756,10444,9932,10164,10501,10490,9964,10600,11579,11720,12847,12041,12384,13576,13477,13913,14033,13503,13266,13677,13302,13540,14259,14906,15130,15732,16346,17009,17456,17761,17815,17924,18615,19130,19538,20046,21002,24820,22633,22863,23012,23846,24384,24772,24842,25577,25469,25562,25710,25955,26733,26650,26829,26371,26495,27319,26448,26011,27287,27455,28179,28470,28230,29452,31252,30519,31384,31259,32097,32956,32444,33494,34032,34877,35444,35810,35796,35799,35511,35171,35936,36638,37276,37796,37785,39118,39893,40712,41614,43093,42577,43436,44068,43805,43279,41910,41305,41916,43148,43263,42713,43872,43361,44044,45427,46332,47455,47371,47309,48351,48911,49513,48980,50879,52642,52174,52553,53193,53962,54621,54650,54857,54707,54451,54143,49778,51364,51818,52680
"71","63","        Watches","DWTCRC0",386,387,391,398,388,391,388,380,376,378,376,393,400,406,411,419,425,429,433,439,454,470,502,513,525,513,550,572,645,630,640,645,655,696,695,724,719,733,745,741,743,728,696,682,683,662,667,652,652,653,651,653,627,644,682,726,784,848,892,941,987,1054,1091,1104,1154,1214,1346,1431,1542,1589,1674,1735,1501,1831,1998,2139,2016,2037,2076,2047,1918,2013,2169,2165,2340,2162,2192,2369,2318,2357,2343,2221,2160,2227,2165,2204,2306,2385,2396,2466,2536,2611,2651,2668,2648,2635,2706,2751,2778,2818,2919,3411,3086,3118,3138,3252,3325,3378,3388,3488,3473,3486,3506,3539,3645,3634,3658,3596,3614,3726,3607,3546,3718,3741,3843,3887,3832,3958,4157,4017,4087,4027,4090,4154,4044,4129,4148,4202,4221,4215,4164,4116,4053,4020,4111,4193,4352,4519,4550,4832,4914,5079,5274,5575,5446,5632,5750,5639,5640,5397,5339,5522,5827,5862,5763,5996,5854,5946,6143,6338,6513,6485,6400,6562,6621,6647,6469,6754,7044,6955,7012,7024,7071,7212,7115,7053,7071,6882,6894,5949,6337,6450,6567
"72","64","      Therapeutic appliances and equipment (42)","DTAERC0",792,849,849,862,849,865,852,876,853,861,898,942,994,1036,1076,1123,1051,1055,1048,1032,1128,1153,1188,1157,1204,1221,1226,1400,1431,1422,1415,1365,1338,1292,1227,1223,1347,1463,1489,1565,1612,1631,1684,1736,1782,1810,1993,2030,1902,1887,1966,2001,2138,2195,2165,2170,2284,2342,2436,2580,2621,2721,2711,2754,2953,2984,3069,3139,3115,3270,3323,3321,3599,3506,3433,3520,3453,3816,4159,4370,4306,4520,4549,4734,4673,4939,5207,5471,5723,5586,5608,5726,5932,6052,6395,6594,6763,6756,7468,7559,7752,8290,8308,9085,9144,9518,9793,10019,10356,10727,11204,11757,12325,12629,12676,12775,13930,14342,15105,15694,15017,15683,16105,16670,18608,18206,18349,18458,18161,17590,17237,17064,17510,17806,18419,18652,18844,18516,18785,19382,19871,20287,20583,20759,20882,20919,20963,21287,21773,22801,23382,24062,24565,24722,25735,26023,26454,27449,28340,29014,28782,28922,29756,31355,31962,32495,31818,32402,32005,31493,31179,32654,32496,34032,34726,34918,34045,34668,35508,35765,35891,36316,36571,36928,37237,37854,38426,39428,40568,40184,39787,40305,41606,42607,44368,44148,44346,44939,44661,44259,44306,43833,44296
"73","65","        Therapeutic medical equipment","DTMERC0",340,361,365,372,376,387,387,398,389,393,406,425,448,466,472,476,435,416,407,402,443,466,487,477,491,492,495,556,574,580,574,550,527,500,472,473,519,565,579,605,618,626,647,668,693,707,770,785,747,740,762,770,810,827,817,821,857,880,920,981,1015,1071,1083,1106,1169,1185,1211,1229,1220,1269,1288,1298,1389,1367,1355,1396,1402,1547,1689,1790,1803,1906,1956,2055,2077,2195,2328,2470,2589,2590,2650,2745,2863,2943,3078,3170,3232,3259,3514,3561,3655,3864,3881,4150,4190,4318,4427,4523,4648,4778,4955,5166,5354,5481,5504,5539,5839,5938,6136,6279,6052,6232,6357,6508,7073,6887,6876,6845,6707,6471,6268,6134,6238,6302,6479,6551,6567,6431,6483,6651,6741,6841,6920,6933,6957,6941,6908,6981,7091,7379,7513,7685,7819,7844,8169,8232,8674,9217,9751,10146,10317,10564,10821,11558,11723,12023,12442,12850,12769,13022,12895,13433,13404,13791,13895,14032,13852,14113,14658,14883,14959,15313,15577,15647,15907,15941,16153,16831,17300,17269,17516,17904,18263,18604,19140,19398,20045,20497,20514,20478,20536,20673,20387
