"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"67","59","      Musical instruments (part of 80)","DMSCRX0",2808,2686,2691,2697,2686,2749,2834,2940,2834,2871,3142,3002,2908,2927,2996,2987,2985,2992,2953,2846,2777,2729,2877,3492,2951,2987,3031,3075,3159,3034,2882,3118,3242,3378,3157,3247,3441,3349,3305,3351,3348,3387,3324,3352,3425,3679,3217,3382,3542,3715,3732,3659,3716,3739,3887,3827,4034,3993,4351,4178,4153,4307,4800,4765,4652,4715,4611,4934,4958,4910,4679,4678,4479,4814,4722,4901,4909,4783,4934,4817,4618,4762,4845,5204,5106,4978,4967,5003,5164,5145,5196,5080,5015,5041,5156,4901,5008,4844,4918,4804,4807,4850,4882,5249,5329,5336,5605,5687,5469,5527,5493,5526,5577,5643,5726,5672,5679,5471,5636,5694,5586,5796,5503,5701,5679,5825,5808,5873,5640,6263,5777,6092,6896,6483,6595,6352,6265,5928,5947,6092,6426,6251,6313,6218,6167,6310,6622,7141,6744,6733,6708,6878,6728,7453,6864,6746,7063,6574,6693,6580,6505,6660,6538,6134,6120,5805,5851,5884,5543,5700,5567,5559,5360,5748,5537,5402,5436,5392,5530
"68","60","    Other durable goods","DODGRX0",70188,68956,69025,69321,71219,69610,70368,69814,70759,70147,71630,71614,70779,72504,74317,73912,75693,74897,74496,75583,75928,76330,76152,78047,76445,77563,77543,77614,75589,78308,78594,78232,80319,80231,81583,81602,82445,82953,83303,85100,84998,87237,87623,87976,86720,87742,88931,91292,92127,93006,94060,92999,94198,95748,97279,96469,97692,100071,101090,105251,101175,103647,103152,104048,106772,107005,106318,105703,107618,105901,104974,106743,103573,105803,103916,103169,102446,100153,100946,102970,99782,101590,104474,107098,106526,107833,107415,108942,109465,109507,108926,111190,110150,111474,112088,114122,112969,110053,110523,112056,113479,115511,116335,117923,117464,118509,120459,120908,119793,121331,121653,120918,121199,119830,120406,121040,122464,123774,123670,124388,125741,127109,124820,129886,127881,129503,128176,130440,126315,130837,129896,132611,134300,136179,136099,133604,134093,133767,132215,130370,133258,131487,132441,132682,131303,131036,134529,133795,134826,132763,134411,136355,137593,136095,137718,133642,135941,130598,133414,128511,129250,129800,129006,129812,126093,124169,123408,116559,123341,123922,123301,121905,123002,123842,123174,126212,125307,124535,125289
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28297,28518,29122,28926,30858,29507,30176,29705,30469,30641,31460,30652,30705,31713,32993,32484,33012,32426,32604,33237,33183,33217,32753,33445,33060,33269,33097,33677,32939,33358,33603,33962,34978,34756,35691,35410,36346,35845,36111,36630,36978,38284,37683,38209,37620,38528,38949,40270,40370,40207,41458,40447,41036,41736,42256,42264,42415,43650,43848,46029,44111,44380,44046,44488,46122,46404,46600,46816,47672,46558,45501,46165,44748,45126,44586,44899,44818,42803,43485,44428,43397,44012,45014,44231,44952,46943,46972,46539,47001,46744,46067,47879,46354,47373,47769,49289,49044,48172,48270,48710,49467,50434,50732,50889,51056,51537,52944,53481,52743,53731,53699,52877,52529,51895,52590,52724,53911,54790,54487,53999,55090,56236,54971,57450,55065,57630,55848,56316,53548,57253,56718,58202,58178,60590,60888,58208,58130,57530,57336,57108,58100,57510,57631,57338,57553,55337,58206,58544,59048,56429,57363,57488,57815,57064,57392,54979,56905,52764,55692,52895,53625,53648,53226,53341,50676,49763,48705,44042,49695,49590,49328,49880,50097,49835,49853,51595,51059,50664,50372
"70","62","        Jewelry","DJLYRX0",25026,25233,25778,25614,27336,26150,26754,26347,27037,27200,27939,27233,27291,28199,29349,28908,29390,28881,29051,29627,29591,29633,29231,29861,29529,29714,29559,30075,29415,29788,30006,30326,31233,31033,31868,31617,32382,31949,32173,32602,32879,33969,33496,33890,33428,34158,34507,35620,35814,35685,36792,35787,36246,36854,37192,37230,37405,38506,38676,40502,38907,39219,38977,39379,40753,41020,41172,41439,42137,41113,40246,40832,39450,39731,39166,39617,39588,37749,38305,39154,38438,38773,39618,38892,39434,41263,41036,40706,41091,41026,40569,41964,40595,41434,41717,43014,42927,42212,42467,42791,43539,44229,44415,44430,44741,45084,46390,46962,46372,47205,47089,46261,45995,45439,46099,46400,47474,48310,47976,47344,48491,49410,48395,50559,48694,51023,49453,49650,47245,50515,50103,51312,51390,53344,53808,51425,51125,50661,50563,50293,51114,50689,50663,50467,50693,48657,51213,51421,51833,49382,50270,50580,50625,49923,50241,48231,49736,46151,48370,46195,46797,46756,46336,46441,44203,43474,42787,38968,43574,43522,43147,43490,43850,43599,43460,45013,44390,44016,43767
"71","63","        Watches","DWTCRX0",3264,3279,3337,3304,3513,3348,3412,3348,3422,3430,3509,3407,3401,3501,3629,3561,3606,3530,3537,3593,3575,3566,3504,3565,3512,3536,3519,3582,3505,3551,3578,3617,3726,3702,3803,3773,3947,3878,3921,4012,4083,4302,4172,4307,4177,4358,4431,4640,4543,4508,4652,4650,4783,4876,5064,5032,5006,5139,5168,5526,5199,5154,5060,5101,5361,5376,5419,5369,5526,5437,5246,5325,5292,5392,5420,5276,5222,5049,5175,5269,4950,5235,5393,5337,5520,5678,5945,5840,5920,5720,5495,5917,5764,5946,6064,6289,6124,5964,5801,5918,5926,6208,6323,6473,6319,6461,6559,6522,6373,6529,6613,6623,6540,6461,6494,6323,6435,6478,6510,6658,6598,6826,6575,6890,6371,6608,6396,6666,6302,6738,6615,6890,6788,7245,7081,6783,7006,6869,6772,6815,6987,6821,6971,6871,6858,6682,6993,7128,7221,7064,7104,6906,7208,7164,7172,6757,7197,6635,7397,6733,6868,6943,6950,6958,6514,6318,5909,5025,6124,6065,6200,6432,6262,6254,6439,6622,6739,6723,6679
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",24341,23733,23939,24137,23955,23992,23474,24200,24052,23972,23798,24559,23887,24531,25230,25407,25776,25844,26231,26293,26283,26592,27001,27496,26665,27506,28172,27744,26143,28543,28398,28472,28510,28533,28650,28936,28634,29206,29120,30227,29631,29852,30616,31407,30800,31187,31492,32027,31305,31755,31129,31129,31280,31677,32176,31891,32135,32774,33092,34908,33247,34307,34377,34655,34698,34488,33402,33469,34030,33287,33588,35065,33105,33807,33434,33043,32788,32193,32193,32669,32321,32544,33065,35449,33476,33913,33319,34600,35150,35715,35833,36256,36035,36408,36072,36451,35397,34911,35480,35756,35738,35971,36528,37117,36427,36682,37185,36590,36217,36784,36981,37239,37360,36402,36668,37109,37259,37254,37511,37466,37439,37933,37147,38135,37795,37943,38178,38910,38616,39073,38566,39099,39910,39926,39669,39214,39293,39353,38767,38602,39246,38710,39111,39791,38281,40695,41469,40666,41064,41396,41590,42977,43189,42322,42723,42034,42153,42467,41951,42446,42433,42974,42567,42581,43035,42514,42180,42144,41531,41818,42365,41180,41180,41553,41711,41782,41868,41885,42345
"73","65","        Therapeutic medical equipment","DTMERX0",7601,7394,7430,7465,7414,7460,7361,7569,7490,7414,7331,7542,7316,7501,7708,7734,7815,7811,7937,7900,7890,8000,8143,8300,8005,8274,8478,8244,7815,8578,8523,8494,8500,8459,8502,8608,8745,8940,9071,9316,9551,9714,10034,10136,10180,10292,10298,10636,10470,10607,10586,10719,10942,10929,10900,11019,11134,11290,11626,12406,11660,11836,12052,12075,12187,12422,12470,12500,12986,12947,12900,13134,12838,13029,13069,13173,13244,13032,13195,13323,12962,13040,13188,14382,13337,13679,13760,14044,13979,14044,14133,14157,14256,14398,14149,14312,13915,14231,14116,14244,14271,14588,14894,15011,14635,14799,15084,15108,14991,14984,15312,15343,15494,15486,15458,15698,15621,15564,15636,15793,16024,15921,15740,16114,15929,15834,16132,16141,16366,16819,16731,16743,17111,17122,17109,16800,17052,17046,16921,17187,17660,17485,17672,17794,17719,18019,18097,18108,18233,18378,18452,18576,18796,18616,18745,19020,19184,19669,19594,19882,19960,20280,20029,20112,19790,19743,19929,19808,19408,19808,19928,19680,19983,19786,19041,19736,19903,19740,19986
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16921,16518,16692,16860,16727,16714,16285,16811,16744,16744,16654,17214,16764,17229,17729,17884,18178,18253,18517,18624,18623,18823,19092,19433,18894,19471,19938,19752,18560,20214,20124,20234,20266,20336,20409,20590,20124,20502,20268,21147,20272,20323,20766,21474,20798,21076,21387,21570,21003,21322,20692,20545,20458,20885,21433,21007,21133,21625,21587,22617,21709,22613,22451,22712,22635,22164,20995,21032,21090,20369,20728,21995,20301,20818,20396,19889,19554,19171,19002,19354,19374,19520,19897,21079,20158,20248,19564,20569,21192,21697,21726,22129,21804,22035,21951,22168,21509,20690,21385,21532,21487,21397,21646,22120,21811,21899,22114,21486,21230,21810,21673,21902,21870,20912,21210,21410,21639,21693,21878,21672,21412,22013,21405,22020,21866,22109,22046,22768,22249,22255,21839,22356,22798,22803,22560,22413,22242,22307,21847,21421,21595,21236,21453,22009,20590,22681,23370,22569,22839,23027,23148,24398,24395,23711,23983,23030,22988,22828,22395,22605,22520,22743,22583,22515,23279,22810,22296,22380,22163,22057,22480,21551,21257,21817,22695,22091,22015,22189,22405
"75","67","      Educational books (96)","DEBKRX0",12081,11518,11190,11383,11480,11397,11973,11544,11517,10987,11366,11297,11274,10859,11069,11257,11385,11232,11227,11243,10774,11400,11157,11371,11644,11143,11208,11033,11034,11078,11115,10748,11102,11178,11474,11253,11088,11529,11322,11336,11171,11334,11104,11610,11757,11485,11493,11838,11601,12071,12096,12043,11898,11971,12382,10902,11393,12017,12563,12654,11031,12048,12044,12338,12392,12259,12326,11345,11688,11650,11554,11089,10266,11994,12073,11454,11466,11140,11150,11710,11165,11163,11357,11912,12415,11046,11232,11422,11309,10737,10845,10651,11450,11023,11131,10837,11459,10632,10399,10914,10963,11658,11234,11698,11369,10870,10983,10552,11132,11086,11068,10842,10803,10819,10738,10806,10744,10579,10457,10526,10376,10588,10626,10289,10238,10072,10407,10296,9856,10046,9904,10128,10026,9978,9933,9844,9860,10090,9469,9023,9413,9341,9279,9092,9171,8955,8921,8810,8987,8988,9511,8815,9204,9173,9116,9067,8821,8851,8716,8681,8558,8356,8242,8563,8036,7924,7898,7838,7896,7843,7945,7887,7728,7707,7474,7865,7600,7353,7436
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",7417,6909,6500,6639,6491,6429,6477,6232,6365,6071,6388,6600,6437,6616,6430,6344,6862,6781,6169,6424,6844,6662,6724,7169,6720,7014,6702,6670,6731,6913,6976,6588,7097,7167,7229,7387,7481,7635,7765,7995,8002,8361,8719,7710,7621,7520,7810,7952,9103,9273,9335,9308,9585,9832,9972,10210,10549,10555,10679,10730,11037,11402,11178,11060,11913,12044,12004,11666,11892,11956,11849,11790,12302,12363,11419,11129,10774,11083,10998,11066,9931,10623,11409,11960,12117,12075,12058,12467,12097,12318,12234,12442,12321,12499,12810,13011,12756,12012,11939,12220,12590,12631,12832,13056,13313,13869,13710,14288,13840,13879,13877,13827,14154,14128,13871,13780,13875,14411,14559,15534,15811,15190,14875,16739,17354,16286,16137,17240,16509,16499,16773,17300,17646,17367,17128,17766,18058,17813,17682,16558,17160,16667,17004,16901,16684,16524,16364,16195,16120,16230,16056,17032,17227,17193,17631,17014,17275,16127,16607,14273,14228,14495,14648,14991,14281,14098,14449,13427,13953,14124,14012,13411,14415,14950,14430,14965,14827,14949,15227
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1511,1501,1495,1532,1557,1561,1586,1587,1597,1590,1609,1620,1551,1597,1613,1638,1681,1674,1692,1664,1687,1708,1732,1727,1705,1748,1770,1742,1719,1742,1757,1747,1769,1762,1768,1767,1811,1853,1898,1900,1965,2022,2034,2140,2079,2107,2155,2214,2220,2287,2395,2422,2535,2600,2658,2745,2806,2864,2871,2984,3059,3117,3155,3233,3193,3241,3304,3448,3457,3488,3537,3644,3706,3594,3624,3689,3695,3818,3954,4037,4012,4116,4343,4451,4404,4427,4404,4525,4563,4568,4564,4545,4665,4750,4819,4956,4815,4803,4906,4951,5131,5282,5407,5572,5601,5738,5859,6083,6024,6033,6198,6289,6471,6666,6643,6744,6793,6807,6712,6897,7035,7195,7226,7258,7435,7568,7583,7666,7796,7956,7929,7870,8545,8324,8502,8601,8805,9043,9058,9203,9464,9402,9579,9774,9811,9822,9865,9888,9914,10075,10238,10456,10531,10770,11424,11118,11389,11096,10977,11222,11478,11360,11305,11193,11238,11020,11398,10373,11555,11946,10711,10593,10418,10652,10722,10862,10921,10592,10910
"78","70","  Nondurable goods","DNDGRX0",1435387,1420548,1428498,1425709,1436364,1443423,1440404,1433781,1446599,1434204,1449700,1459167,1448951,1456743,1465496,1472253,1471532,1483575,1483783,1488605,1486469,1497264,1496180,1501523,1496354,1508074,1517868,1504642,1502761,1517379,1529235,1532939,1535446,1536358,1549246,1544343,1550718,1553340,1560099,1570980,1569163,1581630,1585154,1581666,1589768,1595175,1608055,1618419,1627677,1638463,1644577,1646568,1656088,1654165,1648213,1661251,1670938,1672911,1681553,1727943,1662559,1675144,1700836,1708530,1715887,1714785,1713556,1723666,1736934,1737755,1734830,1752124,1742050,1731281,1720912,1739229,1748999,1730823,1750848,1755335,1738139,1758844,1762905,1767948,1769563,1771091,1770532,1765074,1767942,1784999,1781071,1775920,1776098,1791277,1802849,1806536,1816213,1815686,1826664,1820955,1818356,1844567,1850701,1872252,1868497,1862306,1879850,1871737,1890297,1872932,1903576,1889445,1901285,1891132,1897267,1907808,1918364,1926281,1924537,1931917,1947623,1959940,1941325,1960305,1957404,1966871,1965248,1980747,1969534,1997972,1986013,1988114,2000813,2009542,2000800,2013811,2012788,2008077,2022663,2020541,2030411,2049899,2044889,2069323,2070252,2065383,2075354,2063771,2067443,2067031,2078849,2069055,2082595,2080979,2087077,2089938,2071122,2053521,2085659,2083003,2081486,2079636,2059296,2061401,2033707,2037026,2040916,2000304,2027972,2042472,2035925,2026865,2025796,2024511,2019588,2035032,2045256,2046265,2058581
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,703418,699959,699001,695000,697098,696421,701204,696419,699926,702506,705806,711379,706613,706819,710655,709299,708547,708900,701940,702044,694791,690652,690478,678032,684498,688190,689618,691214,695892,693479,695732,698542,705936,707873,712997
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",488163,481204,482605,478167,482595,482079,480351,480567,480203,479254,481027,486110,483194,482978,483667,485401,485269,484969,484628,483402,484185,485414,485422,486954,488479,487479,489312,487538,484608,483977,488214,487005,487793,487421,488424,485351,484732,485739,487593,488335,489332,492843,492971,491623,494771,493542,495020,499729,499865,503098,504311,506170,508055,506865,508724,511081,514767,510125,513336,532991,506316,512245,518824,520432,517022,522733,519378,518714,520687,524176,522998,526178,525538,521585,519810,526121,527058,523606,523053,523525,526436,524670,523685,528646,522572,522372,523392,518838,524709,525827,527664,526094,523846,528492,532409,531333,537664,537765,537820,535441,530303,533495,539756,541117,540261,536822,538842,534610,546886,543357,548103,546296,546575,545670,545546,547472,554484,554465,555784,557531,562401,564688,565379,564137,563041,567310,567257,573476,578457,581550,574330,572398,573142,578770,576666,581342,584496,582047,583421,586008,582302,592590,589397,596951,597838,594000,592830,589630,590264,590164,594310,590967,593804,596868,599522,604213,599764,599863,602977,601581,600858,600250,593596,593517,587375,583975,584300,573959,579872,582913,583978,585647,590596,589576,592038,594331,600897,602704,608263
"81","73","        Food purchased for off-premises consumption","DFOFRX0",431030,425534,427009,422987,426254,426269,424621,425045,424837,423601,425400,429483,426709,425816,426198,427961,427981,427143,426473,425839,425408,426200,426100,427686,429244,427638,429427,428405,426733,425772,429945,428945,429640,429593,429923,427214,426726,427496,428960,429700,430257,433333,433270,431662,434829,433674,435008,439171,439232,442192,443613,445402,447285,446327,447990,450082,453180,449148,451744,469746,446605,452040,457951,459192,456096,461150,458396,457571,459256,461923,461664,463530,463677,459766,458032,463558,464302,461269,460578,461641,463916,462192,461761,465846,460147,459807,460835,457000,462030,462790,464439,463005,462156,466249,469255,468595,473809,473480,473113,471567,467229,469383,473863,475718,474681,471886,472595,469252,480540,477641,481411,479807,479723,478976,479051,480625,486865,486206,487020,488982,493288,495475,496448,495461,494090,497750,497798,502987,507571,510016,503682,501931,502535,507478,505810,509764,512534,510477,511208,513465,510155,519266,517124,523546,524409,520604,520493,516835,517769,517661,521327,518863,521299,523955,526064,529834,526777,527113,529669,528957,527378,526489,520408,520072,515281,512937,513445,504570,509689,512373,514297,515351,520113,519181,521483,523523,529503,530910,535566
"82","74","          Cereals and bakery products","DCBPRX0",76186,75302,75515,75135,75752,75580,75217,75204,75297,75218,75271,76068,75198,75391,75771,76198,76055,76616,76778,76895,77208,77792,77666,78084,78136,78646,78597,78604,77936,77621,78305,78051,78213,78011,77992,77078,77800,78152,78916,79482,80066,80721,81101,80947,81746,82039,82379,83370,83003,83934,84110,84257,84697,84583,84861,86179,86704,86103,86897,90187,86190,87638,88987,89146,88733,90464,89783,89918,90713,90709,90810,91337,91566,91326,91336,92414,92794,92413,92521,92579,93387,93761,93633,94460,93583,93670,94515,93651,94205,94269,94741,94408,94051,94531,95524,95661,95541,95325,95039,94745,93439,94240,94741,95324,95093,94936,95381,94761,96354,95913,96398,95921,96623,96360,96244,96484,97083,97489,97785,97789,98373,98583,98815,99727,99284,100060,100453,100998,102325,102610,101508,101289,101385,102596,101920,102878,103037,102724,102312,102838,102250,103879,102773,103232,103850,103202,103567,102633,102977,102819,103601,102816,103264,103667,103730,103988,103730,102650,102100,102080,100745,101032,99497,100011,98526,97635,97480,95204,96195,96881,96813,97450,97834,97791,97723,98264,98709,99007,99774
"83","75","            Cereals","DGRARX0",26762,26517,26622,26466,26585,26633,26529,26542,26520,26510,26665,26723,26603,26674,26781,27042,27190,27462,27676,27835,28083,28405,28229,28540,28460,28822,28752,28672,28355,28285,28394,28146,28276,28200,28067,27558,27757,27690,27972,27943,27993,28137,28127,27830,28133,28042,28109,28291,28081,28298,28070,28187,28203,27954,28092,28394,28360,28198,28418,29395,28037,28459,28655,28633,28237,28861,28699,28685,28618,28571,28652,28858,28913,28769,28697,28939,28877,28568,28501,28289,28438,28309,28093,28343,27871,27906,27922,27628,27755,27796,27829,27796,27653,27700,27882,27880,27890,27871,27593,27662,27294,27534,27653,27881,28040,28049,28029,27832,28085,27965,28471,28506,28549,28379,28510,28442,28413,28635,28823,28787,28961,29012,28987,29439,29402,29838,29827,29943,30326,30494,30277,30058,30241,30929,30508,30464,30608,30523,30484,30610,30618,31082,30556,30645,31161,30622,30826,30384,30522,30475,30638,30500,30459,30636,30642,30883,30714,30280,29890,30092,29681,29656,28993,29105,28601,28313,28140,27585,27888,28291,28288,28327,28446,28540,28110,28363,28545,28731,28918
"84","76","            Bakery products","DBAKRX0",49153,48505,48607,48388,48901,48662,48400,48371,48494,48422,48295,49068,48289,48409,48684,48830,48509,48786,48713,48656,48706,48953,49018,49108,49250,49378,49405,49501,49163,48915,49502,49513,49538,49414,49540,49159,49684,50120,50597,51211,51758,52274,52675,52841,53332,53733,54009,54829,54681,55401,55833,55856,56289,56445,56580,57605,58182,57740,58315,60631,58003,59029,60198,60385,60389,61489,60967,61120,62002,62048,62066,62384,62561,62469,62556,63396,63845,63783,63963,64243,64905,65421,65519,66095,65700,65750,66590,66021,66450,66470,66914,66611,66399,66834,67649,67790,67659,67459,67459,67091,66152,66713,67096,67449,67051,66886,67354,66931,68277,67956,67925,67413,68074,67982,67733,68042,68673,68856,68962,69003,69413,69572,69830,70287,69881,70222,70625,71055,71999,72116,71232,71231,71146,71677,71415,72413,72430,72201,71830,72229,71638,72803,72217,72586,72697,72579,72741,72246,72453,72342,72959,72315,72798,73026,73083,73105,73013,72364,72197,71981,71057,71364,70486,70887,69905,69301,69317,67599,68286,68574,68510,69104,69370,69236,69588,69877,70141,70255,70834
"85","77","          Meats and poultry","DMAPRX0",110761,109354,108840,108888,110068,110009,109587,109110,108417,107577,107486,108784,107866,107650,108501,109446,109045,108011,107642,106331,105910,106009,105713,105632,105285,105557,106439,105880,104986,104941,105653,105912,105665,106070,106216,106425,106865,106762,107249,107722,108063,108940,109055,108221,109168,108994,109464,110568,111230,111524,111464,111697,112328,112087,112518,112682,113068,112093,111875,116152,110027,111156,111686,111497,110695,111339,110258,110091,110606,111274,111914,111996,111312,109874,108830,109777,110063,108813,108344,108628,109148,107825,108062,108800,107947,107973,107580,107267,107668,108273,108668,108319,108200,109381,110044,109792,111868,110531,110716,109741,109750,110167,110752,111292,110935,108867,107534,106496,109240,108926,110340,109970,109505,109274,108821,109049,110426,111285,112296,112081,112260,112160,112195,112849,112487,113191,113815,115073,116097,117047,114829,114756,115297,115442,115010,115588,116682,116210,117305,117283,116780,118737,117714,118915,119297,119380,118369,117034,116724,116434,118328,118369,119532,120217,121188,122465,121545,122287,123490,124247,124267,124709,123599,123036,121564,120358,120731,118372,119646,119659,120408,120430,121937,122019,123715,123748,125813,126263,127472
"86","78","            Beef and veal","DBEERX0",36519,35744,35761,35667,36152,36114,35835,35953,35862,35538,35409,35871,35637,35547,35824,35936,36471,36171,35860,35233,35103,35050,34712,34400,33996,34047,34126,33866,33456,33523,33762,33561,33636,33584,33809,33802,33924,34027,33976,34059,34319,34513,34658,34291,34668,34755,34597,34868,35169,35150,35314,35342,35462,35079,35191,35361,35294,34641,34798,35916,34167,34376,34558,34327,34051,34082,34014,33846,34014,34526,34358,34374,33476,32640,32250,32369,32417,32176,32294,32630,32759,32798,32704,33120,32951,32818,32720,32399,32526,32926,33144,32935,32944,33122,33314,33043,33366,32454,32125,31894,31774,31840,31903,32003,31597,30439,28618,28154,29481,29524,30502,30306,30137,29825,29827,30163,30598,31108,31236,31303,31549,31191,31182,31505,30984,31242,31961,32426,32912,32994,32542,32011,31824,31923,31588,31832,32218,32279,32601,32379,32352,32802,32378,32939,33120,32812,32486,31804,31913,31992,32491,32369,32280,32736,32796,33168,33079,32997,32978,33674,33203,32836,32547,31960,31719,31315,31786,31257,31959,31777,32210,32309,32563,32638,33369,33143,33503,33807,33741
"87","79","            Pork","DPORRX0",23167,22889,22725,22775,23020,23085,22827,22559,22378,22099,21961,21978,21898,21730,21731,21812,21517,20850,20788,20557,20346,20373,20326,20199,20155,20216,20352,20010,19943,19794,20011,19962,20011,20036,20169,20067,20248,20308,20623,20886,20929,21158,21188,21287,21638,21704,21796,22095,22386,22209,22200,22238,22089,22148,22162,22276,22204,22078,21816,22531,21385,21251,21083,20961,20822,20990,20796,20615,20816,20886,20898,21031,20978,20791,20533,20747,20677,20506,20378,20277,20197,20111,20036,20168,19847,19877,19947,19839,20022,20143,20397,20177,20633,20843,20910,20764,21013,20906,21228,21141,20968,21057,21252,21518,21254,21099,21189,21121,21522,21477,21544,21602,21400,21223,21046,21014,21152,21300,21363,21427,21270,21117,21377,21141,21480,21584,21765,21999,22225,22315,21886,21811,21959,21891,21817,21712,22025,22019,22000,22021,21935,22286,22259,22363,22496,22553,22325,22407,22054,22005,22448,22572,23033,22975,23172,23362,23211,23498,23955,23473,23683,23671,23490,23377,23037,22932,22893,22475,22814,22956,23048,23277,23427,23690,23836,24211,24691,24966,25353
"88","80","            Other meats","DMEARX0",17988,18000,17983,17766,17820,17965,18039,17676,17986,17538,17599,17955,17698,17866,17917,18117,18062,18115,18124,18022,17955,18069,17888,18188,18148,17997,18149,18011,17851,17926,18151,17973,18037,18136,18229,18234,18150,18205,18278,18419,18640,18672,18719,18752,18762,18726,18697,19150,18945,19020,19041,19025,19042,19376,19388,19262,19675,19308,19455,20155,19368,19459,19632,19652,19572,19566,19415,19424,19360,19544,19282,19594,19852,19688,19543,19820,19857,19660,19646,19799,19696,19356,19194,19436,19218,19502,19034,19134,19153,18963,19092,19066,18922,19176,19527,19409,20151,19962,20091,19690,19745,19866,20008,19800,20124,19931,19948,19799,20197,19965,20283,20227,20445,20648,20549,20545,20756,20822,21092,20635,20776,20903,20828,20993,20817,21010,20782,21020,21289,21515,21261,21203,21317,21375,21369,21340,21412,21194,21394,21727,21349,21712,21497,21845,21501,22141,21809,21752,21652,21627,22100,21976,22537,22308,22538,22714,22573,22589,22678,22773,23110,23388,22946,22928,22399,21984,22263,21783,21652,21662,21819,21898,22438,22319,22280,22223,22584,22397,23160
"89","81","            Poultry","DPOURX0",33785,33370,33035,33334,33753,33517,33529,33600,32884,33081,33180,33653,33314,33181,33706,34228,33763,33658,33619,33225,33219,33216,33432,33446,33528,33828,34309,34484,34194,34180,34215,34848,34438,34740,34467,34770,34981,34680,34786,34761,34613,35017,34932,34320,34548,34291,34792,34877,35171,35554,35357,35530,36148,35849,36138,36167,36249,36355,36129,37846,35417,36353,36705,36827,36516,36943,36309,36468,36676,36624,37642,37252,37176,36881,36623,36948,37221,36587,36168,36096,36670,35774,36325,36296,36165,35994,36093,36085,36156,36459,36259,36353,35918,36436,36484,36741,37469,37288,37316,37066,37306,37444,37622,38008,37970,37374,37757,37413,38024,37952,38007,37831,37519,37576,37401,37332,37925,38063,38612,38717,38669,38953,38807,39212,39208,39356,39305,39626,39672,40219,39139,39727,40198,40255,40242,40714,41036,40726,41324,41160,41156,41950,41596,41773,42200,41874,41756,41086,41114,40815,41295,41462,41710,42214,42703,43242,42704,43230,43920,44340,44296,44846,44645,44816,44446,44171,43818,42884,43252,43304,43368,42999,43554,43433,44281,44244,45113,45192,45327
