"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627505.053,519251.656,436457.093,404730.973,324738.962,448578.999,415687.753,371842.554,314673.395,339896.281,245568.462,252962.962,225492.312,232760.907,195647.377,164051.305,143975.736,137422.146,130635.746,125192.419,122577.613,118692.479,106955.459,101171.891,102124.281,91037.12,96390.919,81787.515,75153.526,67685.58,60621.291,56822.531,54455.69,53128.974,53001.445,50893.513,48074.734,45898.805,43575.734,42916.529,42262.8,41354.674
"39","31","          Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.881,158.259,157.711,156.568,153.231,150.425,148.269,146.686,146.834,146.946,147.081,147.137,143.871,142.409,140.545,138.585,137.469,136.035,135.368,135.108,136.482,137.039,137.57,137.339,135.246,134.341,133.022,131.863,130.399,129.741,128.939,128.35,128.213,127.887,127.446,127.343,127.573,127.613,127.979,128.422,128.608,128.482
"40","32","          Other","B937RG3",44.144,45.697,46.558,46.871,46.315,46.596,47.071,47.291,47.296,47.027,46.943,47.341,48.024,47.531,48.101,49.016,50.752,51.079,51.397,50.962,51.32,50.854,49.562,48.83,49.462,49.921,50.126,50.363,49.599,50.189,50.291,51.756,51.536,50.807,50.722,51.105,52.543,50.526,53.734,53.166,54.679,54.472,54.336,56.653,55.385,55.735,55.826,55.742,55.719,55.97,56.411,56.73,56.506,56.303,56.14,56.165,56.267,56.3,56.353,56.323,56.203,56.038,56.042,56.213,56.374,56.5,56.488,56.424,56.522,56.645,56.856,57.294,56.901,56.89,56.856,56.895,56.969,57.365,57.721,58.14,58.776,59.138,59.461,59.8,60.021,60.49,61.085,61.784,62.225,62.536
"41","33","        Industrial equipment","B680RG3",9.508,9.936,10.132,10.432,10.335,10.533,11.066,11.419,11.489,11.455,11.347,11.145,11.304,11.499,11.973,12.524,13.314,13.361,13.278,13.39,13.244,13.531,13.425,13.481,13.58,13.803,13.918,13.904,14.155,14.128,13.948,13.992,14.216,14.34,14.577,15.145,15.399,15.979,16.253,16.737,17.061,17.058,17.37,17.696,17.602,17.701,17.744,17.775,17.857,18.024,18.209,18.339,18.445,18.479,18.499,18.454,18.409,18.32,18.28,18.255,18.231,18.282,18.354,18.392,18.379,18.359,18.36,18.394,18.446,18.495,18.565,18.642,18.708,18.775,18.847,18.923,19.024,19.174,19.397,19.654,19.884,20.066,20.238,20.42,20.591,20.872,21.132,21.397,21.499,21.584
"42","34","        Transportation equipment","B681RG3",16.964,17.207,17.461,17.814,17.874,18.102,18.894,19.539,19.464,19.526,19.395,19.469,19.541,19.761,19.831,20.102,20.497,20.817,21.22,21.728,22.198,22.437,22.429,22.234,21.894,21.503,21.426,21.125,21.935,22.923,22.374,22.508,21.501,21.73,22.312,22.436,23.364,23.921,24.463,24.835,25.394,25.386,25.273,24.871,25.393,25.637,25.631,25.725,26.09,26.152,26.138,26.147,25.897,26.086,26.222,26.16,26.181,26.038,26.039,25.88,25.855,25.719,25.792,25.651,25.718,25.654,25.64,25.525,25.437,25.421,25.437,25.341,25.311,25.398,25.391,25.265,25.179,25.267,25.324,25.489,25.482,25.588,25.765,26.068,26.123,26.327,26.51,26.793,26.787,27
"43","35","        Other equipment","B862RG3",11.784,12.684,13.153,12.827,12.724,13.568,14.145,14.082,13.97,14.235,14.285,13.838,13.71,14.176,14.567,15.131,15.329,15.618,15.567,15.747,15.704,15.577,15.68,15.783,15.759,15.919,16.065,16.289,16.261,16.369,16.303,16.056,16.154,16.169,16.462,16.848,16.669,16.804,17.12,17.317,17.492,17.597,17.858,18.371,18.278,18.258,18.192,18.282,18.42,18.53,18.605,18.585,18.631,18.785,18.847,18.921,18.828,18.755,18.807,18.823,18.93,19.016,19.043,19.013,19.082,19.071,19.156,19.228,19.297,19.327,19.335,19.268,19.389,19.437,19.515,19.594,19.683,19.847,19.971,20.212,20.414,20.517,20.646,20.822,20.99,21.208,21.521,21.753,21.887,22.075
"44","36","    Residential","B011RG3",9.231,9.743,9.957,10.204,10.387,10.499,10.74,10.797,10.882,10.869,10.615,10.62,10.605,10.878,11.292,11.272,11.641,11.776,11.839,11.948,12.009,12.113,12.228,12.153,12.161,12.175,12.281,12.232,12.166,12.2,12.342,12.337,12.394,12.498,12.583,12.59,12.693,12.887,12.908,12.851,12.813,12.845,12.932,12.883,12.823,12.837,12.837,12.848,12.868,12.877,12.873,12.882,12.921,12.97,12.972,12.987,12.946,12.997,13,12.988,13.011,13.009,13.005,12.987,12.99,12.94,12.794,12.879,12.759,12.965,13.002,13.287,13.273,13.29,13.277,13.648,13.455,13.945,13.861,14.169,14.194,14.243,14.324,14.596,14.847,14.984,14.988,15.58,15.879,16.112
"45","37","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","38","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","Government consumption expenditures and gross investment","B822RG3",8.905,8.923,8.784,8.887,9.037,9.117,9.325,9.394,9.571,9.501,9.383,9.474,9.417,9.37,9.515,9.65,10.11,10.029,10.103,10.23,10.121,10.269,10.39,10.504,10.428,10.447,10.397,10.446,10.512,10.609,10.696,10.782,10.849,11.038,11.176,11.311,11.506,11.688,11.807,11.865,12.091,12.202,12.284,12.358,12.443,12.569,12.67,12.725,12.707,12.669,12.605,12.63,12.68,12.727,12.862,12.969,12.978,13.048,13.074,13.162,13.301,13.35,13.41,13.531,13.612,13.654,13.639,13.857,13.946,14.007,14.148,14.178,14.272,14.336,14.48,14.688,14.791,14.916,15.181,15.285,15.387,15.559,15.743,15.993,16.189,16.388,16.617,16.886,17.025,17.32
"49","41","  Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971
"50","42","    National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518
"51","43","      Consumption expenditures","B977RG3",9.107,9.106,8.308,8.305,8.47,8.547,8.69,8.748,8.955,8.936,8.834,8.948,8.891,8.756,8.893,8.967,9.313,9.048,9.061,9.184,8.918,9.119,9.192,9.378,9.236,9.301,9.235,9.345,9.51,9.516,9.609,9.681,9.857,10.16,10.306,10.424,10.53,10.713,10.728,10.753,11.042,11.083,11.163,11.264,11.465,11.585,11.715,11.76,11.575,11.493,11.373,11.408,11.417,11.463,11.619,11.811,11.73,11.77,11.732,11.78,11.916,11.965,12.029,12.105,12.269,12.257,12.19,12.575,12.66,12.659,12.882,12.884,12.966,13.019,13.23,13.557,13.538,13.495,13.891,13.859,13.833,14.012,14.173,14.516,14.607,14.791,15.091,15.28,15.291,15.513
"52","44","      Gross investment","B788RG3",18.815,18.643,19.182,19.559,19.585,19.865,20.671,20.713,21.174,20.611,20.451,20.509,20.752,20.776,20.945,22.221,22.701,23.011,23.14,23.516,23.383,23.335,23.52,23.615,23.112,22.998,22.864,22.716,22.828,22.86,23.296,23.684,23.344,23.626,23.976,24.487,25.399,25.784,26.186,26.381,27.029,27.143,27.504,27.741,27.44,27.495,27.857,28.089,28.086,28.103,28.191,28.235,28.026,28.032,28.254,28.259,28.269,28.425,28.415,28.774,28.493,28.584,28.971,29.327,29.021,29.203,29.035,29.077,28.982,29.071,29.093,29.121,28.919,29.244,29.153,29.283,29.117,29.632,29.594,29.835,29.644,29.923,30.179,30.476,30.417,30.662,30.858,31.431,31.676,32.613
"53","45","    Nondefense","B825RG3",9.69,9.343,10.635,10.54,10.023,9.774,9.774,9.689,10.488,10.594,10.161,10.658,10.647,10.491,10.199,9.709,11.179,10.736,10.669,10.645,11.125,11.305,11.455,11.614,11.648,11.685,11.621,11.73,11.562,11.737,11.667,11.751,12.119,12.323,12.125,12.155,12.184,12.4,12.613,12.488,12.653,12.903,12.976,13.238,13.475,13.827,13.787,13.867,13.975,13.845,13.645,13.635,13.701,13.718,14.133,14.233,14.376,14.312,14.351,14.397,14.679,14.672,14.705,15.074,14.916,14.985,15.042,15.203,15.502,15.743,15.976,15.973,16.019,15.98,16.083,16.334,16.535,16.6,16.764,16.934,16.992,17.153,17.27,17.444,17.888,18.136,18.486,18.798,18.83,18.981
"54","46","      Consumption expenditures","B542RG3",8.552,8.095,9.103,9.123,8.624,8.344,8.269,8.205,8.954,9.025,8.874,9.209,9.276,9.155,8.813,8.085,9.683,9.171,9.004,9.099,9.557,9.641,9.744,9.934,9.948,10.06,9.958,10.106,9.936,10.154,10.055,10.165,10.54,10.729,10.518,10.542,10.55,10.721,10.908,10.771,10.929,11.12,11.141,11.399,11.761,12.094,12.039,12.114,12.194,12.048,11.843,11.839,11.891,11.893,12.32,12.426,12.61,12.53,12.554,12.583,12.869,12.841,12.87,13.252,13.063,13.114,13.201,13.279,13.574,13.735,14.048,14.076,14.163,14.18,14.295,14.565,14.767,14.78,14.967,15.084,15.102,15.232,15.327,15.514,15.92,16.14,16.497,16.799,16.821,16.931
"55","47","      Gross investment","B798RG3",19.022,19.349,23.532,21.784,21.44,21.718,22.945,22.663,23.476,24.093,20.431,22.403,21.944,21.773,21.768,22.627,23.395,23.518,24.295,23.449,24.087,24.959,25.466,25.332,25.663,24.81,25.337,24.891,24.825,24.34,24.614,24.203,24.035,24.226,24.606,24.663,24.971,25.626,26.076,26.168,26.363,27.2,27.719,27.858,26.841,27.247,27.326,27.444,27.856,28.003,28.056,27.933,28.076,28.221,28.396,28.415,28.201,28.3,28.473,28.655,28.883,29.048,29.107,29.33,29.456,29.677,29.489,30.309,30.633,31.502,31.108,30.877,30.645,30.21,30.24,30.393,30.622,31.04,31.076,31.624,31.985,32.403,32.693,32.741,33.491,33.967,34.175,34.504,34.62,35.161
"56","48","  State and local","B829RG3",7.233,7.357,7.515,7.759,8.039,8.206,8.503,8.635,8.541,8.404,8.39,8.336,8.261,8.322,8.569,8.823,9.13,9.289,9.46,9.582,9.589,9.703,9.898,9.884,9.987,9.956,9.954,9.936,9.909,10.137,10.194,10.251,10.173,10.212,10.384,10.511,10.75,10.898,11.083,11.194,11.308,11.475,11.525,11.514,11.487,11.588,11.656,11.702,11.832,11.85,11.851,11.872,11.985,12.042,12.096,12.141,12.203,12.318,12.402,12.504,12.669,12.726,12.75,12.828,12.934,13.006,13.035,13.139,13.198,13.264,13.325,13.383,13.517,13.596,13.711,13.821,14.009,14.247,14.447,14.633,14.874,15.029,15.235,15.412,15.657,15.847,15.987,16.286,16.537,16.869
"57","49","      Consumption expenditures","B991RG3",6.188,6.294,6.408,6.616,6.86,6.994,7.263,7.405,7.327,7.224,7.252,7.22,7.24,7.324,7.523,7.693,7.892,7.99,8.136,8.264,8.317,8.406,8.559,8.621,8.709,8.722,8.717,8.793,8.854,9.026,9.149,9.193,9.209,9.248,9.304,9.408,9.596,9.673,9.813,9.921,10.048,10.187,10.257,10.308,10.387,10.468,10.511,10.576,10.723,10.799,10.834,10.891,11.052,11.127,11.195,11.256,11.336,11.48,11.587,11.709,11.888,11.934,11.954,12.03,12.161,12.234,12.263,12.375,12.447,12.523,12.594,12.655,12.784,12.842,12.962,13.072,13.289,13.495,13.719,13.906,14.2,14.407,14.614,14.8,15.007,15.213,15.401,15.664,15.886,16.19
"58","50","      Gross investment","B799RG3",11.499,11.698,12.104,12.488,12.893,13.212,13.593,13.647,13.482,13.187,12.982,12.835,12.348,12.308,12.753,13.354,14.11,14.524,14.793,14.89,14.703,14.923,15.286,14.957,15.123,14.914,14.925,14.548,14.206,14.645,14.48,14.582,14.182,14.224,14.801,15.015,15.447,15.842,16.196,16.326,16.404,16.675,16.663,16.441,16.062,16.241,16.395,16.382,16.465,16.296,16.186,16.087,16.045,16.043,16.05,16.047,16.054,16.074,16.083,16.125,16.258,16.36,16.395,16.487,16.519,16.592,16.623,16.713,16.735,16.774,16.809,16.863,17.022,17.177,17.285,17.406,17.516,17.876,18.015,18.212,18.303,18.312,18.533,18.697,19.087,19.239,19.239,19.678,20.049,20.498
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","51","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","53","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","54","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","55","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","56","  Gross domestic product","B191RG3",13.4,13.595,13.823,14.106,14.264,14.422,14.679,14.676,14.634,14.541,14.419,14.416,14.362,14.421,14.714,14.964,15.48,15.568,15.619,15.821,15.838,15.905,16.025,16.081,16.096,16.133,16.187,16.241,16.309,16.334,16.324,16.343,16.407,16.497,16.617,16.727,16.891,17.05,17.244,17.348,17.55,17.671,17.809,17.904,18.056,18.134,18.179,18.199,18.267,18.309,18.369,18.446,18.483,18.561,18.646,18.726,18.75,18.786,18.835,18.884,18.992,19.04,19.091,19.159,19.213,19.232,19.266,19.382,19.452,19.518,19.614,19.704,19.788,19.876,19.963,20.086,20.209,20.401,20.591,20.772,20.874,21.002,21.194,21.426,21.658,21.9,22.111,22.418,22.644,22.946
"66","57","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","58","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","59","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","60","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","61","  Final sales of domestic product","B190RG3",13.253,13.444,13.654,13.951,14.1,14.256,14.515,14.524,14.488,14.398,14.277,14.275,14.225,14.285,14.576,14.812,15.313,15.396,15.455,15.659,15.679,15.749,15.87,15.934,15.954,15.993,16.049,16.103,16.168,16.194,16.185,16.205,16.27,16.361,16.479,16.587,16.748,16.906,17.097,17.2,17.401,17.522,17.661,17.758,17.909,17.985,18.03,18.048,18.12,18.16,18.219,18.295,18.333,18.412,18.498,18.577,18.6,18.636,18.684,18.733,18.842,18.89,18.941,19.009,19.063,19.084,19.118,19.233,19.303,19.37,19.466,19.556,19.641,19.729,19.816,19.938,20.062,20.254,20.444,20.625,20.726,20.856,21.05,21.282,21.515,21.757,21.97,22.277,22.503,22.804
"71","62","  Final sales to domestic purchasers","B713RG3",12.969,13.119,13.305,13.6,13.76,13.926,14.191,14.204,14.169,14.089,13.979,13.987,13.957,14.026,14.325,14.574,15.082,15.172,15.225,15.417,15.43,15.491,15.6,15.652,15.663,15.696,15.75,15.806,15.88,15.911,15.907,15.928,15.982,16.069,16.183,16.286,16.441,16.594,16.778,16.877,17.066,17.18,17.31,17.4,17.538,17.608,17.651,17.67,17.746,17.788,17.843,17.916,17.95,18.029,18.113,18.193,18.211,18.234,18.282,18.323,18.42,18.478,18.526,18.595,18.655,18.68,18.721,18.838,18.912,18.983,19.069,19.149,19.217,19.303,19.395,19.528,19.637,19.827,20,20.165,20.246,20.372,20.564,20.786,21.013,21.235,21.46,21.759,21.968,22.265
"72","63","  Implicit price deflator for gross domestic purchases","A712RD3",13.096,13.259,13.478,13.818,13.936,14.062,14.34,14.392,14.321,14.181,14.108,14.12,14.104,14.161,14.474,14.778,15.338,15.449,15.453,15.615,15.598,15.613,15.779,15.812,15.806,15.831,15.891,15.929,15.989,16.004,16.035,16.077,16.144,16.206,16.324,16.484,16.646,16.741,16.953,17.015,17.247,17.358,17.457,17.452,17.634,17.681,17.791,17.876,17.906,17.926,17.974,18.049,18.122,18.18,18.247,18.3,18.339,18.366,18.425,18.482,18.581,18.618,18.66,18.722,18.771,18.813,18.858,19.006,19.068,19.125,19.193,19.279,19.36,19.444,19.521,19.661,19.776,19.947,20.139,20.313,20.388,20.496,20.7,20.924,21.152,21.359,21.586,21.89,22.106,22.394
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
