"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"21","13","  Personal income receipts on assets","W210RC1",80.5,83,85.3,87.7,89.6,91.9,95.4,97.1,99.5,100.3,101.7,102.4,105.2,107.6,111.1,114.6,117.2,121.1,127.6,132.6,137.7,144,149.1,154.7,159,159.9,163.1,166.7,170.4,176.3,180.8,186.2,190.2,201,210.5,219.5,224.9,230.6,237.4,246.2,257.1,267,277.7,297.2,324,334.6,336,360.1,378.2,405.6,445.5,458.5,474.7,491.7,492.3,494.7,506.4,514.4,539.3,558.2,569.7,596,627.1,638.9,646,653.7,647.6,665.5,687.7,696.4,697.7,696.1,698.3,703.3,720.9,740.7,745.3,750.4,773,799.5,846.9,871.8,885,895.4,908.3,919.3,927.7,927.9,927.3,931.3,931.5,924.2,915.5,912.8,906.3,904.3,907.2,902.5,895.3,896.8,909.2,932.8,962,986.6,993,998.3,1007,1023.1,1041.7,1067.9,1093.6,1119.7,1134.3,1152.2,1173.8,1201.5,1245.4,1276.8,1286.2,1268.3,1229.5,1236.2,1245.4,1276,1334.3,1363.1,1375.9,1369.4,1357.8,1350.6,1340.6,1334.8,1319.1,1315.4,1303.8,1300,1299.2,1306.2,1312.4,1333.8,1350,1372.9,1395.5,1515.5,1459.7,1507.1,1560.4,1640.8,1711.1,1817.2,1881.3,1909,1959.2,2050.4,2098.7,2119.8,2123.6,2114.7,2129.8,2069.1,1972.7,1925.9,1891.1,1889.2,1911.1,1915.2
"22","14","    Personal interest income","A064RC1",56.6,58.9,61.1,63.1,65.1,67.7,71.1,72.8,74.4,75.4,76.5,77.4,79.1,81.1,84,86.9,88.9,91.9,97.2,101.2,105.2,110.7,115.6,121.3,126.1,127.2,130.3,133.3,134.3,138.3,140.9,144.4,147.6,157.1,164.9,172.7,176.7,181.2,185.7,192.6,201.7,210.1,219.8,237.6,262.3,270.4,271.4,294.6,309.6,333,369.7,380.9,397.2,415.3,415.3,415.3,425.6,432.5,455.1,472,481.2,505.3,536.2,546.3,550.8,556.9,549.4,566.1,584.6,590.1,590.3,588.6,589.7,593.6,607.7,623.7,623.8,624.2,640.3,660.9,699.1,716.3,724.2,728.5,738.4,749.6,757.9,761.9,752,751.2,748.5,741.2,731.5,726.3,717.5,713.3,713.8,704.7,690.8,683.1,684.7,699.5,722.7,744,748.9,750.3,751.6,756.9,762,775.9,791,808.6,816.1,826.7,840.5,859.7,895.5,923.3,934.6,923.9,895.7,906.7,911.6,929.5,969.1,985,992.9,989.7,987.4,985.1,973.6,959.8,931.3,917.9,901.3,897,898.2,898.1,885.7,877.2,855.6,850.3,858,877,927.8,970.6,1003.1,1046.5,1067.2,1128.7,1156.8,1157.2,1205.4,1248.5,1291.6,1315,1313.7,1315.3,1334,1295.9,1240.5,1229.5,1213.3,1205.8,1208.7,1206
"23","15","    Personal dividend income","B703RC1",24,24.1,24.3,24.6,24.5,24.3,24.2,24.2,25,25,25.2,24.9,26.1,26.4,27.1,27.7,28.4,29.3,30.4,31.5,32.5,33.3,33.5,33.4,32.9,32.6,32.8,33.3,36.1,38.1,39.9,41.8,42.6,43.9,45.6,46.8,48.2,49.4,51.7,53.6,55.3,56.9,58,59.6,61.7,64.2,64.6,65.4,68.6,72.6,75.8,77.6,77.5,76.4,77,79.3,80.9,81.9,84.2,86.2,88.4,90.7,90.9,92.6,95.3,96.8,98.2,99.3,103.1,106.2,107.3,107.5,108.7,109.7,113.2,117.1,121.5,126.2,132.6,138.6,147.9,155.5,160.9,166.9,169.9,169.7,169.8,166,175.2,180.2,183,183,184.1,186.5,188.8,190.9,193.3,197.8,204.6,213.7,224.5,233.3,239.4,242.6,244.1,248,255.4,266.2,279.7,292.1,302.6,311.1,318.2,325.5,333.3,341.7,349.9,353.4,351.6,344.4,333.8,329.6,333.8,346.5,365.2,378.2,383,379.7,370.5,365.5,367,375,387.8,397.5,402.6,402.9,401,408.1,426.7,456.7,494.4,522.6,537.5,638.5,531.9,536.5,557.3,594.3,643.9,688.5,724.5,751.9,753.8,801.8,807.1,804.8,809.9,799.4,795.7,773.2,732.2,696.4,677.8,683.4,702.4,709.3
"24","16","  Personal current transfer receipts","A577RC1",60.4,61.5,62.9,64.3,66.1,76.1,76.3,80.1,82,89.6,89.6,91.3,94.3,94.9,96,106.4,109.1,111.5,113.3,116.5,121.9,129.9,137.1,144.3,155.9,171.5,174.8,177.6,181.4,179.7,186.4,188.5,190.6,191.1,196.2,199,203.1,204.9,213.6,216.9,222.5,227.1,242.7,248.9,258.7,263.9,295.9,299.3,305.9,309.3,327.9,330.4,335.7,344.9,361.5,377.3,380.2,386.4,381.9,386.5,393.4,397.8,400.5,408.9,419.6,422.1,427.5,430.4,442.6,448.5,455.5,457.2,462.6,467.6,468.6,471.6,488.9,492.5,498.6,505.8,529.8,537.2,546.2,557.2,577.5,588.5,598,615.5,639.4,659.1,668.5,696.5,724.7,743.3,755.3,759.7,779.4,783.8,797.7,802.1,815.6,820.3,824.3,845.4,869.4,879,885.9,881.5,910.9,931.3,926.7,927.5,944.6,944.3,950.5,957.4,968.7,975.1,978.5,989.4,1010,1013.2,1026.3,1036.8,1052.4,1079.4,1093.7,1106.5,1150,1182.6,1188.2,1231.7,1257.7,1280.4,1288.6,1301.9,1318.1,1333.7,1355.6,1359.6,1392.5,1411,1418.5,1440.1,1481.3,1506.4,1516.7,1529.8,1569,1597.9,1620.7,1632.4,1701.6,1698.6,1719.8,1753.8,1793.2,1934.4,1875.2,1914.2,2023.7,2160.2,2159.3,2188.2,2245.5,2282.9
"25","17","    Government social benefits to persons","A063RC1",57.2,58.2,59.5,61,63,73.1,73.5,77.4,79.3,86.9,86.9,88.5,91.4,91.9,92.9,103.1,105.4,107.6,109.2,112.3,117.5,125.4,132.2,139.1,149.8,164.6,167.7,170.4,174.4,172.7,179.7,182.4,185.1,186.1,191.3,194,197.4,198.7,206.9,209.7,214.6,218.9,234.3,240.4,250.6,255.6,287.2,290,295.5,298.3,316.4,318.6,323.6,332.6,349,364.5,367.4,373.2,368,371.2,375.8,378.5,379.9,387.4,397.6,400,405.1,407.8,419.3,425,432.5,435.3,441.3,447,448.9,452.3,469.3,472.4,477.8,483.9,506.5,514,523,534.1,554.3,565.6,576.2,594.9,620.2,641.2,651.5,680,708.2,726.9,739.1,743.8,764.3,769.5,784.1,789.1,802.8,807.5,811.1,831.2,853.4,861.1,866.2,860.1,888.1,907.7,903.4,905.5,924.8,925.6,931.6,937,945.8,950,951.4,960.5,978.8,980.4,991.5,999.7,1012.6,1038,1050.4,1061.3,1103.3,1134.6,1140.7,1186.8,1216.9,1244.3,1256.9,1273.7,1289.3,1306.8,1330.9,1337.2,1374.9,1394.8,1402.4,1422.2,1457.5,1480,1489.4,1504,1547.3,1578,1600.1,1609.1,1674.9,1669,1687.8,1719.9,1757.5,1897.7,1838,1877.1,1987.2,2124.1,2123.4,2152.5,2208.9,2245.9
"26","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",32.4,32.9,33.3,33.7,34.1,41.3,39.3,39.8,40.6,46.7,45.4,46.1,46.8,47.4,48.2,56.7,58.6,60.3,61.7,63,64.2,69.3,72.9,75,76.5,78.1,85,86.5,88.5,89.8,96.2,98.6,100.1,102.1,108.8,110.4,111.9,113,120.3,122.5,124.5,127.1,138.2,140.3,143,145.3,164,166.9,171.4,173.7,190.7,192.8,195,197.6,209.5,216.5,217.3,220.9,222.6,228,233.4,236.8,238,242.9,249.4,251,255.6,256,264.1,266.6,271.9,273,278.6,282.7,283.7,285.3,296.9,298.5,301.2,304.2,319.7,323.6,327.5,331.3,345.3,350.3,353.5,358,374.2,379.3,384,389.3,405.8,412.7,417.3,421.7,438.9,441.8,446,452.1,465.7,473.9,480,486.7,500.5,507.1,511.8,516.3,528.7,534.3,539.2,545.3,558.3,563,565.8,567,573,573.5,575.7,576.7,583.6,586.9,590.2,593.8,605.5,620.8,624.6,631.2,654.7,663,674.2,678.7,696.7,702.8,709,715.9,726.8,736.6,744,754.1,773.2,785.7,795.1,806.7,829,841.3,848.9,859.4,917.5,941.6,950.7,963.4,989.1,998.5,1007.1,1018.1,1044.7,1060.8,1076.9,1090.9,1138.6,1158.2,1172.6,1188.8,1191.3,1208.1
"27","19","      Government unemployment insurance benefits","B223RC1",2.2,2.1,2.2,2.4,2.8,3.7,4.3,5.1,5.4,5.9,5.9,6,6.2,6.4,5.4,4.7,4.4,4.3,4.3,4.6,5.6,6.5,6.6,8.3,13.8,18.9,19.6,18.2,17,15.7,15.5,14.9,14.9,12.8,11.5,11.4,10.5,9.1,8.8,8.2,9.1,8.9,9.3,10.3,11.6,15.4,18.6,17.4,16,15.2,14.6,16.5,19,23.8,26,31.8,30.1,31.9,23.1,19.8,17.1,15.6,15,15.7,16.7,15.8,14.9,15.5,15.5,16.2,16.8,16.8,15.3,14.9,14.3,13.4,13.8,13,13.1,12.9,13.5,13.6,14.5,15.6,16.3,16.9,18,20.8,24.2,27.4,25.7,29.1,39.2,40.5,38.8,37.1,34.3,34.7,34.8,32.6,27.5,24,21.7,20.9,20.6,21.2,21.7,22.2,22.7,22.4,21.4,21.5,20.7,20.1,19.4,19.2,19.2,19.1,20.1,19.6,20.6,20.7,20.1,19.8,20.4,19.8,20.4,21.7,25.3,28.2,32.9,40.4,42.6,60.2,56.8,53.2,50.9,54.6,54.4,51.4,42.9,35.4,33.3,32.3,32.8,30.6,30.3,31.7,29.6,29.4,30.4,30.3,31.3,30.6,32.8,34.7,35.6,37.6,58.1,71.5,98.2,127.7,145,143.4,146.1,136.8
"28","20","      Veterans benefits","B224RC1",6.4,6.7,6.8,7,7,7.5,7.9,8.3,8.5,8.6,8.9,9,10.1,9,9.2,10.7,10.3,10.2,10.4,10.8,11,11,12.1,13.2,14.3,14,14.5,15.1,15.9,14.3,13.4,13.8,14.5,13.8,13.3,13.7,14.1,13.6,13.6,14.1,14.5,14.2,14.4,14.7,14.8,14.7,15,15.7,16,15.9,16,16.4,16.3,16.2,16.3,16.6,16.9,16.6,16.6,16.6,16.4,16.4,16.5,16.4,16.9,16.8,16.6,16.5,17,16.9,16.6,16.4,16.7,16.7,16.5,16.5,17,16.9,16.9,16.7,17.5,17.3,17.3,17.2,18,17.8,17.7,17.8,18.1,18.7,18.3,18.2,19.3,19.4,19.3,19.4,20.2,20.3,19.9,19.7,20.1,20,20.1,20.2,21,20.8,20.9,20.8,21.7,21.9,21.5,21.6,22.7,22.5,22.4,22.7,23.5,23.4,23.4,23.6,24.4,24.3,24.3,24.3,25.3,25.1,25.1,25.3,26.2,26.5,26.6,27.8,29,29.6,30.1,30.6,31.7,32.1,32.5,32.5,33.9,34.2,34.7,35.1,36.5,36.7,36.9,37.1,38.9,39.2,39.5,39.7,41,42.1,42.3,43,44.7,45.1,46,46.5,50.2,51,52.8,55.1,57.8,60.4
"29","21","      Family assistance \1\","B226RC1",3.3,3.4,3.6,3.9,4.2,4.6,5.1,5.5,5.9,6.1,6.3,6.5,6.8,6.9,7,7.1,7.1,7.2,7.2,7.4,7.6,7.7,8.1,8.5,8.9,9.1,9.4,9.8,9.9,10.1,10.2,10.2,10.5,10.6,10.7,10.7,10.8,10.9,10.7,10.7,10.8,10.9,11.2,11.5,11.8,12.2,12.9,13.1,12.9,13,13.2,13.4,12.8,12.7,12.9,13.2,13.6,13.8,14,14.1,14.6,14.6,14.2,14.5,14.9,15,15.3,15.5,15.7,16.2,16.3,16.4,16.3,16.4,16.5,16.4,16.6,16.8,17,17.1,17.1,17.3,17.6,18,18.4,18.9,19.5,19.9,20.5,21,21.4,21.7,21.9,22.2,22.3,22.6,22.7,22.8,22.9,23,23.1,23.2,23.2,23.2,22.9,22.8,22.5,22.3,21.4,20.8,20.2,19,18.4,18,17.7,17.5,17.4,17.4,17.4,17.5,17.7,17.8,18,18.2,18.4,18.5,18.5,18.5,18.3,18.2,18,17.8,17.7,17.6,17.6,17.8,18.1,18.4,18.5,18.5,18.5,18.4,18.3,18.3,18.3,18.2,18.2,18.2,18.2,18.2,18.2,18.3,18.2,18.2,18.4,18.5,18.8,19.1,19.4,19.7,19.9,20.1,20.2,20.1,19.9,19.4
"30","22","      Other","B227RC1",12.9,13.1,13.5,14.1,14.9,16,16.9,18.6,19,19.6,20.4,21,21.7,22.1,23.1,23.9,25,25.6,25.6,26.5,29.2,30.9,32.6,34,36.3,44.5,39.2,40.8,42.9,42.8,44.4,44.8,45.2,46.7,47,47.7,50.2,52.1,53.5,54.1,55.8,57.9,61.3,63.7,69.3,68.1,76.8,76.9,79.2,80.6,81.7,79.5,80.5,82.2,84.4,86.5,89.6,90.1,91.6,92.8,94.3,95.3,96.2,97.8,99.8,101.3,102.7,104.4,107,109.2,110.8,112.6,114.4,116.3,117.9,120.6,124.9,127.3,129.7,132.9,138.7,142.2,146.2,152,156.1,161.6,167.5,178.3,183.2,194.9,202.1,221.8,222.1,232,241.3,243.1,248.2,249.8,260.5,261.6,266.4,266.4,266,280.3,288.5,289.2,289.3,278.6,293.6,308.3,301.2,298.1,304.8,302.1,306.2,310.7,312.7,316.6,314.8,323.1,332.5,330.7,338.9,343.6,343.2,353.8,361.9,364.7,378.8,398.7,388.9,421.9,430.9,434.2,443.3,456.2,461.8,465.3,481.5,480.6,506.3,521,521,529.9,541.1,553.1,555.1,557.7,543.1,549.6,561.3,557.4,595.3,579.6,587.3,605.7,613.6,735.1,637.6,648.6,680.3,767,732.9,745,793.8,821.2
"31","23","    Other current transfer receipts, from business (net)","B931RC1",3.3,3.4,3.4,3.3,3.1,3,2.8,2.8,2.7,2.7,2.7,2.8,2.9,3,3.2,3.3,3.6,3.9,4.1,4.2,4.3,4.5,4.9,5.2,6.1,6.9,7.1,7.2,7,7,6.7,6.1,5.5,5,4.9,5,5.6,6.2,6.7,7.3,7.9,8.2,8.4,8.5,8.2,8.3,8.7,9.3,10.4,11,11.5,11.9,12,12.3,12.5,12.7,12.8,13.2,14,15.3,17.6,19.2,20.6,21.5,21.9,22.1,22.3,22.6,23.3,23.5,23,22,21.3,20.6,19.7,19.3,19.6,20.1,20.8,21.9,23.3,23.1,23.2,23.1,23.3,22.9,21.9,20.7,19.2,17.9,17,16.4,16.5,16.5,16.3,15.9,15.1,14.4,13.7,13.1,12.8,12.8,13.2,14.2,16,17.8,19.6,21.4,22.8,23.5,23.2,21.9,19.7,18.7,19,20.4,22.8,25.1,27.1,28.9,31.2,32.8,34.8,37.1,39.8,41.5,43.3,45.2,46.7,48,47.4,44.9,40.8,36.1,31.8,28.2,28.8,26.8,24.7,22.4,17.6,16.2,16.1,17.9,23.8,26.5,27.3,25.8,21.7,19.8,20.6,23.3,26.7,29.6,32,33.9,35.7,36.7,37.2,37.1,36.5,36.1,35.8,35.8,36.6,37
"32","24","  Less: Contributions for government social insurance, domestic","A061RC1",42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305.1,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.8,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,467.5,475.6,480.1,486.6,498.4,506.4,510.6,517.4,525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,746.6,752.3,752.7,754.2,766.7,774.9,781.8,792.3,812.3,821.6,833.1,842.2,861,865.8,879,885,915.4,917.4,920.8,933.8,953.4,954.2,958.7,971.6,988.3,987.7,989.5,983.4,964.2,971.6,970.6,974.8,989.4,997.3
"33","25","Less: Personal current taxes","W055RC1",102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.1,169,175.8,182.4,188.4,195.3,198.2,208.1,211.7,222.8,236,247,253.4,261.8,274.6,285,284.2,291.5,301.5,318.2,330.3,342.1,356.3,352,351.9,359.1,349.5,355.9,350.3,359,344.9,355.1,360.7,369.9,383.6,395.4,431.8,388.1,421.1,428.4,425.7,428.8,438.9,455.4,450.2,511.1,488.4,506.4,501.1,496.8,505.7,516.2,551.3,565,569.9,578.2,580.5,592.6,598.8,598.9,578.5,583.7,588,596.4,586.5,604.9,613.9,636.9,614.6,641.3,657,673.3,671.1,695.3,692.8,702.9,720,742.2,747.7,765.7,796.5,834.4,838.4,858.4,896.4,910.5,935.4,962.2,990.1,1016.4,1037.2,1062,1073.5,1090.8,1116.2,1149.6,1204.7,1226.1,1243.6,1254.6,1297.6,1304.5,1109.5,1227.7,1068.4,1045.3,1046.3,1041.7,1021.3,1018.1,945.2,1016.8,1009.3,1026.4,1064.7,1090.9,1164.2,1192.3,1224,1253.8,1321.5,1340.2,1354.3,1393.5,1458.7,1480.4,1497.5,1518,1535.8,1331.6,1442.4,1443,1213.4,1112.5,1117,1117.2,1136.8,1138.1
"34","26","Equals: Disposable personal income","A067RC1",648.4,663.4,685.2,698.2,709.8,730.3,747.4,754.6,776.8,797.4,808.8,822.5,836.4,849.1,874.1,916.4,938,965.6,988.2,1020.8,1035,1055.2,1087,1109.6,1125.9,1193,1198.8,1231.3,1263.3,1284.4,1315.7,1346.1,1371.4,1410.8,1453.6,1504.1,1538.6,1588.2,1629.3,1673.2,1723.3,1757.9,1811.8,1870.4,1931.8,1951.4,2017.5,2110,2157.4,2193.6,2279.1,2318.4,2350.4,2389.4,2437.6,2473.3,2514.3,2555.9,2628.5,2700.6,2789.5,2865.1,2932.4,2978.8,3003.1,3085.6,3086,3142.6,3202.9,3241.4,3282.4,3308.5,3373,3365.9,3461.5,3540.9,3616.1,3690,3764.3,3834.9,3925.3,3960.8,4008.3,4071.1,4164,4236.7,4293.9,4321.5,4362.5,4422.1,4465.1,4529.8,4634.1,4701.9,4756.8,4854.1,4805.9,4908.4,4936.2,5036,5035.7,5148.8,5229,5323.7,5387.2,5419.1,5482.7,5539,5630.8,5728.3,5803.6,5875.9,5959.1,6019.9,6106.1,6213.2,6357.6,6463.4,6553.2,6621.6,6687.4,6740.8,6819.9,6965.1,7174.9,7280.5,7400.6,7452.7,7561.4,7576.8,7771.1,7684.6,7909.9,8015.4,8028.3,8085.1,8173.2,8303,8473.5,8561.5,8670.5,8820.7,8934.4,9132.1,9074.3,9194.4,9353.5,9487.1,9705.2,9863.8,9982.5,10111.2,10255.5,10358.6,10456.9,10623.4,10764.6,11129.2,11004.7,10913.3,10879.8,11090.9,11047,11121.7,11225,11347.6
"35","27","Less: Personal outlays","A068RC1",603.8,615.9,626.6,639.1,650.5,660.8,673,680,699.4,713.9,726.9,743.7,761.5,780.6,799.5,824.6,849.5,865.6,884.5,901.2,918.3,947.3,976.9,987.5,1015,1044,1078.5,1107.7,1141.2,1161,1190.8,1225.2,1262,1291,1323.2,1362.5,1394.1,1453.4,1485.9,1526.4,1562.8,1604.5,1660.5,1705.8,1758.2,1760.1,1818.4,1888.7,1949,1983.1,2025.9,2043.4,2084.9,2114.8,2165.5,2229.9,2272.3,2339.3,2412.6,2467.5,2515.2,2576.8,2618.5,2670.3,2746.1,2795.2,2865.6,2896.1,2941.6,2974.5,3046.4,3086.9,3119.5,3186.1,3253.6,3288.3,3370.8,3431.8,3500.4,3575.8,3634.4,3700.3,3760.2,3810.8,3897.4,3952.1,4018.7,4041.1,4059.2,4114.3,4160.8,4192.4,4290.6,4344.2,4423.8,4496,4537.3,4604.9,4668.1,4734.6,4806.2,4870.1,4952.8,5025.4,5059.9,5138.1,5209.4,5275.6,5353.6,5451.3,5512,5597,5682.8,5725.2,5839.8,5928.9,5987.2,6108.1,6210.3,6324.3,6400.9,6540.9,6653.9,6786.4,6955.1,7054,7171.5,7275.7,7353.2,7414.9,7448.1,7557.9,7596.2,7694,7781.3,7838.5,7923.3,8008.5,8167.2,8253.2,8394.9,8505.4,8635.3,8807.1,8932.5,9077.4,9243.2,9345.2,9493.5,9618.2,9754.9,9856.4,10014.9,10153.8,10267.2,10399.7,10475.2,10591.6,10608,10345.3,10291.6,10297.4,10423.6,10505.7,10603.9,10640.5
"36","28","  Personal consumption expenditures","DPCERC1",588.4,599.8,610.1,622.1,633.2,643.1,655.1,661.8,680.8,694.9,707.3,723.5,740.9,759.4,777.9,802.7,827.3,842.9,861.4,876.5,894.7,923.2,952,961.8,988.1,1016.8,1050.6,1079.6,1113.4,1133,1162.4,1196.2,1231.7,1259.7,1290.9,1329.1,1359.1,1416.7,1447.7,1487,1522.6,1563.2,1617.7,1661.2,1708,1710,1768.7,1836.6,1892.4,1924,1963.4,1978.2,2016.2,2042.7,2090.7,2152.4,2192.2,2256.4,2326.5,2379.2,2425.5,2484.1,2522.8,2572,2643.4,2687.4,2755.9,2783.7,2827.2,2859.2,2930.6,2969.9,3004.8,3071.9,3138.3,3173,3253.5,3313,3380.4,3453.3,3507.7,3570,3626.8,3673.5,3758.7,3811.8,3875.2,3896,3909.7,3963.3,4008.7,4038.6,4140.1,4193.5,4267.7,4346.2,4384.9,4452.1,4516.3,4581.1,4650.4,4709.8,4786.3,4856.7,4888.7,4957.5,5022.9,5080.1,5156.5,5248.8,5304.4,5384.7,5467.1,5504,5613.3,5698.1,5757.5,5870.2,5968,6078.2,6157.4,6290,6398.9,6524.9,6683,6775.7,6881.7,6981.1,7058.1,7118.7,7151.2,7267.2,7309,7403.4,7491.2,7553.2,7646.9,7723.8,7882.5,7962.8,8105.3,8209.4,8330.7,8494.9,8609.6,8747.2,8908.8,9010.3,9148.2,9266.6,9391.8,9484.1,9632.8,9753.2,9850.8,9988.4,10065.7,10183,10202,9967.2,9913,9920.1,10040.7,10131.5,10230.8,10273.6
"37","29","  Personal interest payments \2\","B069RC1",13.3,13.8,14.2,14.6,14.9,15.1,15.3,15.6,15.9,16.3,16.7,17.2,17.6,18,18.3,18.6,19.2,19.6,20,20.4,20.3,20.8,21.5,22.1,23.3,23.5,23.9,24.1,23.5,23.7,24,24.4,25.6,26.5,27.4,28.5,30,31.3,32.7,33.7,34.5,35.5,36.7,38,43.7,43.4,42.7,44.8,45.8,47.9,50.7,52.9,55.6,58.5,60.8,63.1,65.9,68,70.5,72.5,73.3,75.7,78.6,80.5,84.4,89.4,90.6,93.1,94.1,94.8,94.5,94.6,92.6,91.4,91.4,91.4,92.4,93.3,94.4,95.8,99.6,102.6,105.3,107.9,109.4,110.6,112.3,113,114.8,115.1,114.9,115,113.9,112.3,110.5,108.4,108.1,107.8,105.8,106.3,107.2,110.7,116.2,117.9,120.5,129.3,133.5,139,141.6,145.2,149.4,153,153.4,158.1,162.3,165,163.7,169.8,171.9,172.4,169.8,174.6,177.9,183.7,190.1,195.6,206,209.5,206.1,205.6,204.7,198.4,192,194.8,192.4,185.9,177.7,184,185,184,181.5,185.7,193.1,200.8,203.8,211,214.9,213.6,223.9,223.7,233.5,239.2,244.4,260.6,273.4,265.2,259.2,252.6,248,225,220.1,218.4,220.9,207.8,203.8,195.9
"38","30","  Personal current transfer payments","W211RC1",2.1,2.3,2.3,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.9,3,3,3.2,3.2,3.3,3,3.1,3.1,4.4,3.3,3.4,3.5,3.6,3.7,3.6,4,4,4.3,4.3,4.4,4.6,4.7,4.8,4.9,4.9,5.1,5.4,5.5,5.8,5.7,5.8,6.1,6.6,6.5,6.7,7,7.4,10.8,11.2,11.7,12.3,13.1,13.7,14.1,14.4,14.2,14.9,15.6,15.9,16.4,17,17.1,17.8,18.3,18.4,19.1,19.2,20.2,20.6,21.2,22.4,22.1,22.9,23.9,24,24.9,25.5,25.6,26.6,27.1,27.7,28.1,29.3,29.3,29.7,31.2,32.1,34.7,35.9,37.2,38.9,36.5,38.4,45.7,41.4,44.3,45,46,47.2,48.6,49.6,50.3,50.9,50.8,51.3,53,56.5,55.5,57.3,58.2,59.3,62.3,63.1,64.2,65.8,65.9,68.1,70.4,73.7,73.7,76.3,77.2,77.8,82,82.8,83.8,85.1,88.9,90.6,92.2,92.3,95.2,95.8,97.7,99.4,98.6,100.6,99.7,106.4,108.1,110.3,111.5,111.4,119.1,119.2,119.5,121.2,121.4,127.8,129.6,133.2,137.7,140,143,146.1,150.3,155.9,158,153.1,158.5,158.9,161.9,166.4,169.2,171.1
"39","31","    To government","W062RC1",1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,5,5.3,5.6,5.9,6.1,6.3,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.3,9.5,9.9,10.2,10.6,11,11.3,11.7,12.1,12.7,12.7,12.9,13.5,13.7,14.2,14.8,15.1,15.4,15.9,16.3,16.7,17.1,17.3,17.9,18.7,19.6,20.9,22.1,23.1,24.2,25,25.8,26.4,26.8,28,28.3,28.7,29.2,30.1,30.7,31.2,31.6,31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.1,59.3,60.7,62.5,64.6,66.2,67.5,68.6,70.2,71,71.8,72.6,74.6,75.7,76.9,78.4,80.1,81.4,83,84.9,87.1,89,90.7,92,93.1,94.3,95.6,97,98.5,100.1
