"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"55","37","Social insurance funds","B243RC1","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,712.0","37,828.0","51,192.0","48,444.0","11,755.0","-4,051.0","-54,940.0","-253,117.0","-290,928.0","-270,983.0","-289,117.0","-288,444.0","-279,316.0"
"56","38","Other","B244RC1","-10,805.0","-35,722.0","-47,818.0","-48,245.0","-43,569.0","-43,856.0","-80,696.0","-63,829.0","-57,849.0","-55,129.0","-44,476.0","-70,478.0","-71,538.0","-130,253.0","-167,155.0","-182,977.0","-196,492.0","-218,312.0","-177,626.0","-196,394.0","-199,286.0","-243,300.0","-270,866.0","-338,020.0","-314,643.0","-269,035.0","-256,465.0","-191,420.0","-120,107.0","-55,563.0","-25,901.0","42,228.0","-73,689.0","-320,196.0","-440,707.0","-450,413.0","-353,180.0","-238,785.0","-261,599.0","-579,051.0","-995,728.0","-1,037,786.0","-973,160.0","-800,940.0","-352,496.0","-352,158.0"
"57",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","39","  Total receipts","W018RC1","195,398.0","188,813.0","195,296.0","224,370.0","254,338.0","283,295.0","281,719.0","328,171.0","371,027.0","429,037.0","492,517.0","540,209.0","627,954.0","626,177.0","650,539.0","717,137.0","782,100.0","824,880.0","906,699.0","970,074.0","1,051,373.0","1,099,227.0","1,118,827.0","1,165,634.0","1,243,879.0","1,344,402.0","1,432,334.0","1,553,772.0","1,687,877.0","1,814,911.0","1,934,199.0","2,096,290.0","2,059,788.0","1,895,918.0","1,917,036.0","2,052,005.0","2,328,502.0","2,565,572.0","2,693,635.0","2,607,728.0","2,258,967.0","2,458,362.0","2,583,754.0","2,713,149.0","3,162,173.0","3,284,045.0"
"59","40","    Current receipts","W005RC1","191,835.0","185,131.0","190,709.0","219,009.0","249,246.0","278,500.0","276,832.0","322,588.0","363,870.0","423,825.0","487,023.0","533,695.0","621,063.0","618,662.0","644,766.0","711,167.0","775,727.0","817,909.0","899,491.0","962,431.0","1,042,474.0","1,087,630.0","1,107,827.0","1,154,353.0","1,230,976.0","1,329,294.0","1,417,386.0","1,536,283.0","1,667,313.0","1,789,752.0","1,905,429.0","2,068,189.0","2,031,837.0","1,870,616.0","1,895,060.0","2,027,390.0","2,303,513.0","2,537,739.0","2,667,164.0","2,579,465.0","2,238,356.0","2,443,283.0","2,574,110.0","2,699,075.0","3,141,295.0","3,265,235.0"
"60","41","    Capital transfer receipts","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,976.0","24,615.0","24,989.0","27,833.0","26,471.0","28,263.0","20,611.0","15,079.0","9,644.0","14,074.0","20,878.0","18,810.0"
"61","42","  Total expenditures","W019RC1","207,854.0","227,762.0","245,842.0","272,501.0","289,644.0","322,384.0","385,148.0","414,792.0","451,019.0","502,279.0","553,205.0","644,978.0","732,241.0","811,555.0","883,784.0","946,518.0","1,028,881.0","1,089,197.0","1,126,224.0","1,171,052.0","1,245,648.0","1,343,029.0","1,399,583.0","1,524,779.0","1,572,643.0","1,606,148.0","1,673,983.0","1,735,813.0","1,769,568.0","1,804,021.0","1,872,201.0","1,943,962.0","2,059,016.0","2,205,775.0","2,386,142.0","2,522,115.0","2,725,097.0","2,858,745.0","3,047,519.0","3,388,371.0","3,734,665.0","3,967,058.0","3,980,843.0","3,906,558.0","3,860,452.0","3,965,448.0"
"62","43","    Current expenditures","W013RC1","196,943.0","219,892.0","241,532.0","267,895.0","286,935.0","319,146.0","373,808.0","402,442.0","435,777.0","483,650.0","531,542.0","619,946.0","706,879.0","783,289.0","849,775.0","903,505.0","971,342.0","1,030,570.0","1,062,658.0","1,119,774.0","1,199,117.0","1,288,549.0","1,354,034.0","1,487,009.0","1,542,786.0","1,582,977.0","1,658,228.0","1,714,788.0","1,758,478.0","1,787,034.0","1,838,791.0","1,911,679.0","2,017,384.0","2,141,100.0","2,297,939.0","2,426,610.0","2,608,249.0","2,764,769.0","2,932,815.0","3,213,455.0","3,487,201.0","3,771,996.0","3,818,252.0","3,789,132.0","3,782,236.0","3,896,708.0"
"63","44","    Gross government investment","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","284,692.0","269,362.0","264,577.0"
"64","45","    Capital transfer payments","W020RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,926.0","36,569.0","37,020.0","42,533.0","49,695.0","63,083.0","63,954.0","85,324.0","71,040.0","79,434.0","145,863.0","206,899.0","141,399.0","123,497.0","99,047.0","79,006.0","77,589.0"
"65","46","    Net purchases of nonproduced assets","AD08RC1","104.0","-269.0","-439.0","-714.0","-3,205.0","-5,673.0","-433.0","-2,387.0","-1,421.0","-639.0","-2,848.0","-4,068.0","-5,526.0","-3,692.0","-4,949.0","-3,957.0","-1,202.0","-3,024.0","-438.0","-156.0","-736.0","-781.0","149.0","189.0","154.0","74.0","-7,929.0","-4,785.0","-8,801.0","-6,025.0","-1,217.0","-625.0","-1,450.0","-266.0","-918.0","-832.0","-1,993.0","-14,408.0","-3,349.0","-20,385.0","-8,877.0","-972.0","-887.0","-1,977.0","-2,444.0","-2,702.0"
"66","47","    Less: Consumption of fixed capital","A918RC1","25,776.0","27,578.0","28,998.0","30,080.0","31,735.0","34,677.0","37,785.0","40,629.0","43,728.0","47,458.0","51,755.0","57,892.0","65,277.0","72,668.0","78,962.0","86,403.0","93,349.0","100,314.0","107,542.0","116,303.0","124,161.0","131,148.0","137,904.0","141,426.0","145,284.0","148,309.0","151,917.0","152,402.0","153,028.0","153,577.0","156,799.0","161,488.0","163,296.0","165,031.0","170,315.0","178,622.0","189,362.0","200,705.0","212,801.0","226,347.0","234,542.0","245,325.0","257,409.0","264,335.0","267,708.0","270,724.0"
"67","48","  Net lending or net borrowing (-)","AD02RC1","-12,456.0","-38,949.0","-50,546.0","-48,131.0","-35,306.0","-39,089.0","-103,429.0","-86,621.0","-79,992.0","-73,242.0","-60,688.0","-104,769.0","-104,287.0","-185,378.0","-233,245.0","-229,380.0","-246,780.0","-264,317.0","-219,525.0","-200,978.0","-194,275.0","-243,802.0","-280,757.0","-359,145.0","-328,764.0","-261,746.0","-241,649.0","-182,041.0","-81,691.0","10,890.0","61,999.0","152,328.0","772.0","-309,857.0","-469,106.0","-470,111.0","-396,595.0","-293,173.0","-353,884.0","-780,643.0","-1,475,698.0","-1,508,696.0","-1,397,090.0","-1,193,409.0","-698,279.0","-681,403.0"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Includes dividends tax for 1933-34 and automobile use tax for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Prior to 1960, interest payments to persons and business (line 33) and interest receipts (line 15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","are not shown separately, but are included in interest payments (line 32), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","receipts. Interest payments to persons and business includes interest accrued on the actuarial liabilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","of defined benefit pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5. Rents and royalties are receipts from the leasing of federally owned lands and mineral deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","These values do not include bonus payments made to secure such leases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","6. Prior to 1999, current transfer payments to the rest of the world are displayed net of current transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","receipts from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","7. Prior to 1959, subsidies (line 35) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","8. Prior to 1960, government social benefits to the rest of the world (line 28) are included in line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","31, 'Other current transfer payments to the rest of the world.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
