"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216"
"163","155","          Tenant landlord durables","DTLDRC0",537,532,525,518,525,541,558,572,574,566,556,548,553,567,583,597,599,594,586,581,587,600,616,629,633,630,626,623,629,643,657,671,676,675,673,673,684,693,699,708,713,718,722,727,734,744,746,752,758,765,773,776,778,782,796,812,828,847,865,880,893,919,961,1011,1051,1076,1099,1126,1148,1169,1189,1206,1245,1278,1317,1356,1392,1432,1485,1539,1588,1624,1666,1738,1784,1843,1906,1963,2016,2073,2148,2195,2260,2311,2346,2383,2416,2436,2466,2502,2524,2516,2523,2545,2600,2623,2657,2696,2724,2750,2807,2851,2918,2953,2996,3013,3070,3117,3192,3337,3438,3473,3580,3673,3744,3773,3803,3844,3912,3946,4041,4077,4146,4161,4249,4288,4315,4366,4385,4446,4466,4518,4594,4682,4765,4802,4845,4916,4978,5023,5100,5179,5247,5227,5272,5305,5381,5356,5421,5447,5464,5466,5538,5644,5687,5777,5806,5834,5956,6000,6084,6140,6168,6143,6151,6209,6186,6148,6190,6197,6231,6263,6248,6288,6550,6703,6790,6850,7034,7162,7265,7418,7491,7604,7573,7613,7622,7728,7813,7809,7884,7866,7625,7505,7531,7470,7416,7212,7171,7268,7404,7407,7729
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC0",28103,28697,29360,30028,30500,30927,31505,32160,32549,32990,33485,34116,34640,35395,36034,36787,37073,37489,37985,38601,39054,39613,40252,41046,41641,42284,43009,43738,44337,44904,45624,46486,47143,47800,48702,49671,50531,51264,52260,53477,54612,55932,57329,58635,59523,60522,61793,63362,64834,66447,68194,69901,71582,72891,74365,76026,78005,79873,81913,84128,86405,88401,90670,93232,95546,97469,99706,102391,104770,107119,109878,112912,116378,119652,122908,126406,131312,135778,140132,145270,149102,153501,159301,165580,170196,175187,180827,187330,192759,198272,203768,209292,212694,215112,219997,224954,229064,232933,238282,243707,248920,254897,261663,266925,271347,277377,284142,290274,295422,301503,307277,313785,319061,325164,331996,341533,347766,353105,360870,368713,374752,381230,387885,395605,401465,409201,418374,422111,427530,432831,439196,447190,454016,460051,465439,471769,477927,484396,491470,500053,512570,522006,530929,539330,547011,555747,563779,572718,580793,588381,596353,604343,613707,624071,634791,645265,656185,667728,679919,692369,703829,715095,725904,736242,749107,761195,774791,790452,807519,824497,837873,849148,856943,865126,874755,886576,899496,908254,918289,929255,938165,952500,969690,989747,1015316,1037520,1055346,1069806,1086628,1106099,1121103,1130283,1133272,1135312,1142074,1154359,1166567,1175380,1183530,1191054,1197194,1201365,1202888,1202546,1201392,1201661,1203373,1205787,1208857,1211103,1216968,1222663,1228087
"165","157","          Owner-occupied mobile homes","DOMHRC0",367,389,412,432,440,439,437,436,445,462,481,500,512,519,526,535,553,577,605,633,658,681,704,730,761,796,833,870,901,928,956,986,1023,1064,1110,1159,1213,1262,1319,1382,1459,1533,1597,1663,1725,1787,1850,1922,1988,2063,2164,2281,2406,2545,2703,2882,3056,3237,3431,3628,3822,4010,4175,4281,4349,4396,4415,4436,4428,4435,4502,4635,4867,5037,5206,5382,5657,5869,6046,6228,6359,6490,6631,6752,6751,6771,7005,7441,8023,8610,9072,9377,9454,9451,9572,9778,10116,10464,10782,11030,11251,11475,11735,11965,12273,12649,12977,13231,13457,13679,13821,14005,14224,14478,14702,15041,15294,15490,15738,15977,16177,16410,16661,17014,17177,17456,17791,17941,18536,19023,19415,19729,19978,20160,20274,20408,20430,20499,20545,20633,20948,21090,21236,21382,21502,21717,21933,22223,22571,22882,23195,23505,23833,24163,24458,24689,24908,25147,25395,25648,25871,26086,26286,26479,26825,27399,28395,29834,31615,33149,34157,34619,34488,34297,34175,34124,34102,33951,33863,33818,33713,33706,33683,33644,33673,33456,32967,32303,31506,30770,29963,29075,28239,27595,27263,27244,26706,26021,25626,25514,25621,25703,25669,25551,25394,25263,25176,25103,25092,25096,25176,25260,25340
"166","158","          Owner-occupied stationary homes","DOSTRC0",27736,28308,28948,29596,30060,30488,31068,31724,32104,32528,33004,33616,34128,34876,35508,36252,36520,36912,37380,37968,38396,38932,39548,40316,40880,41488,42176,42868,43436,43976,44668,45500,46120,46736,47592,48512,49318,50002,50941,52095,53153,54399,55732,56972,57798,58735,59943,61440,62846,64384,66030,67620,69176,70346,71662,73144,74949,76636,78482,80500,82583,84391,86495,88951,91197,93073,95291,97955,100342,102684,105376,108277,111511,114615,117702,121024,125655,129909,134086,139042,142743,147011,152670,158828,163445,168416,173822,179889,184736,189663,194696,199915,203240,205661,210426,215176,218948,222468,227500,232677,237669,243422,249928,254960,259073,264729,271166,277043,281965,287824,293456,299780,304837,310685,317293,326492,332473,337615,345131,352736,358575,364819,371224,378591,384287,391746,400584,404169,408994,413808,419781,427461,434039,439891,445166,451361,457498,463898,470925,479420,491622,500915,509693,517948,525509,534030,541846,550495,558221,565498,573158,580838,589874,599909,610333,620577,631276,642580,654524,666721,677958,689010,699617,709763,722282,733796,746396,760618,775904,791348,803716,814529,822455,830830,840580,852452,865394,874303,884425,895436,904453,918794,936007,956103,981642,1004064,1022378,1037503,1055122,1075329,1091139,1101208,1105033,1107717,1114810,1127115,1139861,1149359,1157904,1165540,1171573,1175662,1177219,1176995,1175997,1176398,1178197,1180684,1183765,1186006,1191792,1197403,1202747
"167","159","        Rental value of farm dwellings (22)","DFARRC0",1948,2006,2062,2108,2118,2105,2089,2081,2113,2172,2235,2288,2295,2271,2242,2224,2256,2323,2398,2463,2479,2459,2430,2404,2415,2454,2503,2552,2579,2592,2604,2621,2662,2720,2778,2828,2812,2815,2839,2886,2965,3046,3086,3087,3198,3243,3287,3344,3394,3447,3502,3557,3602,3657,3744,3849,3774,3769,3780,3813,3897,3955,3990,4003,4004,3992,3988,4008,4056,4101,4135,4167,4329,4348,4375,4422,4540,4647,4730,4818,4842,4877,4941,5037,5097,5160,5195,5228,5325,5376,5358,5320,5204,5138,5122,5129,5080,5173,5216,5216,5200,5216,5211,5177,5043,5130,5154,5128,5137,5098,4938,4761,4921,4998,5061,5185,5311,5413,5529,5644,5725,5860,5969,6077,6154,6279,6427,6503,6606,6726,6829,6935,6992,7119,7262,7454,7707,7948,8184,8427,8738,8949,9129,9267,9268,9356,9442,9550,9706,9765,9789,9777,9657,9585,9603,9698,9860,9999,10095,10140,10147,10307,10668,11243,12037,12671,13071,13206,13110,13071,13119,13268,13457,13608,13714,13781,13825,13974,14361,14984,15742,16519,17186,17725,18192,18621,19041,19461,19929,20538,21225,21976,20793,19326,18768,19097,19410,19442,19473,19497,19516,19580,19670,19810,19996,20168,20337,20478,20587,20679,20838,20996,21142
"168","160","        Group housing (23)","DGRHRC0",369,360,328,318,319,321,332,332,335,331,309,298,304,290,293,289,281,259,282,284,286,292,303,306,312,319,326,331,331,336,335,342,357,389,417,437,424,421,425,438,465,483,506,514,513,512,507,508,509,512,513,510,511,509,511,509,516,519,535,548,562,580,599,621,640,656,670,676,684,689,681,668,649,636,629,614,585,575,567,558,560,559,553,546,539,531,519,514,511,511,512,514,534,533,528,521,474,457,451,456,483,495,498,498,484,478,472,470,457,450,440,441,438,442,449,459,495,499,513,513,533,554,576,610,637,637,636,649,678,701,701,697,650,629,610,611,651,665,675,679,670,670,675,683,697,712,729,748,774,795,806,805,796,795,802,819,843,864,881,892,895,899,904,911,919,925,932,937,940,937,928,912,890,874,869,876,891,901,906,905,897,892,888,883,882,882,884,890,897,909,926,946,969,987,1002,1016,1026,1036,1048,1060,1070,1077,1082,1085,1089,1093,1098,1106,1114,1121,1132,1145,1154
"169","161","      Household utilities","DUTLRC0",8648,8676,9025,9229,9546,9713,9746,9971,9957,10451,10369,10607,10899,10944,11133,11404,11783,11451,11883,11838,12180,12273,12469,12614,12633,12999,13085,13249,13384,13725,13809,13944,13965,14514,14472,14960,15221,15094,15547,15867,16375,16296,16983,17445,17773,18015,18705,19034,19674,20145,20359,20846,21245,22094,22528,23952,23528,24179,25054,25222,25571,28070,29554,30938,32053,34272,35003,35101,36236,36937,38815,42527,43563,42246,45659,46346,48389,49590,49788,51369,54257,54457,54932,57863,61097,64206,67856,70451,67996,74031,75789,78674,83480,83488,83782,87200,88031,92904,96269,98791,96200,100744,100630,101738,108005,102528,105221,108191,105091,106349,107315,107071,106514,110905,111839,110976,114990,115058,118577,119805,121843,120739,123039,130903,120151,126530,128417,128575,129662,136692,135205,133450,131476,135923,136877,142343,143946,144817,152349,153105,154174,156996,153262,151101,151088,156786,162285,160272,168200,168347,163160,168343,168189,168692,168788,176836,168855,175115,175117,166134,170687,174025,179632,173872,173536,183493,190245,204997,213098,202244,199887,192707,192834,199223,200417,208514,213665,220283,217146,219986,223955,226846,227813,235343,237465,246362,258956,271937,261885,269758,278261,269712,278265,284689,287269,282957,293297,302872,301658,306681,302253,292140,292736,299583,303066,305317,316327,312864,306729,312213,325202,308471,295430
"170","162","        Water supply and sanitation (25)","DWRSRC0",1132,1181,1243,1300,1339,1366,1387,1408,1431,1461,1493,1527,1558,1591,1632,1679,1737,1795,1853,1899,1918,1925,1930,1943,1980,2033,2093,2142,2164,2167,2159,2154,2169,2199,2243,2289,2335,2368,2421,2540,2632,2711,2810,2879,2966,3060,3251,3371,3439,3495,3601,3701,3819,3945,4073,4207,4264,4413,4489,4586,4693,4878,5000,5109,5291,5420,5495,5634,5806,5933,6071,6210,6377,6516,6738,7045,7243,7388,7599,7894,8075,8293,8518,8750,9046,9315,9524,9707,9949,10257,10709,10989,11180,11514,11796,12138,12578,12860,13239,13751,14260,14694,15187,15611,16250,16654,17268,17740,18253,18794,19375,19890,20340,20887,21416,21653,22093,22552,23229,23651,24402,24991,25546,26100,26591,27011,27317,27677,28068,28580,29139,29491,29531,29935,30491,31220,32281,33038,33905,34768,35497,36313,37122,37999,38567,39128,39570,40085,41057,42265,42164,42790,43168,43617,44437,45011,45421,45916,46481,47040,47898,48534,49060,49468,49843,50175,50608,51132,51583,52054,52666,53215,53774,54264,54841,55556,56481,57182,57666,58169,58768,59941,61008,61615,62388,63024,63963,65520,67268,68705,69697,70520,71473,72535,73514,74152,75341,76631,78132,79557,80017,80797,81711,82755,83865,85160,86260,87318,88627,89626,90761,91520,92614
"171","163","          Water supply and sewage maintenance","DWSMRC0",979,1029,1086,1138,1172,1192,1208,1224,1245,1275,1303,1333,1360,1389,1422,1461,1512,1565,1617,1658,1675,1682,1681,1690,1724,1773,1826,1869,1889,1890,1881,1876,1890,1919,1955,1996,2037,2066,2111,2214,2296,2364,2450,2510,2586,2669,2834,2939,2998,3048,3140,3226,3329,3441,3551,3667,3717,3847,3914,3998,4092,4252,4360,4456,4614,4726,4791,4913,5063,5173,5294,5414,5561,5683,5876,6140,6310,6433,6613,6864,7021,7207,7399,7593,7841,8064,8243,8400,8616,8890,9281,9521,9672,9951,10198,10507,10973,11266,11625,12068,12518,12864,13263,13611,14206,14560,15097,15477,15888,16321,16795,17176,17527,17972,18408,18561,18979,19405,20020,20349,20876,21279,21634,22039,22340,22602,22827,23117,23482,23979,24453,24686,24669,24981,25382,25925,26684,27251,27883,28571,29157,29807,30374,31070,31528,31894,32186,32526,33305,34339,34023,34461,34749,35023,35610,35923,36087,36388,36762,37189,37656,38076,38420,38708,38954,39267,39605,40105,40530,41009,41586,42150,42800,43291,43782,44351,44785,45237,45751,46309,46660,47267,47940,48394,49190,49928,50663,51570,52659,53652,54564,55340,56193,57089,57890,58452,59259,60067,61306,62689,63421,64508,65768,66816,67789,68784,69639,70644,71727,72608,73219,74048,75078
"172","164","          Garbage and trash collection","DREFRC0",153,152,157,162,167,174,179,184,186,186,190,194,198,202,210,218,225,230,236,241,243,243,249,253,256,260,267,273,275,277,278,278,279,280,288,293,298,302,310,326,336,347,360,369,380,391,417,432,441,447,461,475,490,504,522,540,547,566,575,588,601,626,640,653,677,694,704,721,743,760,777,796,816,833,862,905,933,955,986,1030,1054,1086,1119,1157,1205,1251,1281,1307,1333,1367,1428,1468,1508,1563,1598,1631,1605,1594,1614,1683,1742,1830,1924,2000,2044,2094,2171,2263,2365,2473,2580,2714,2813,2915,3008,3092,3114,3147,3208,3302,3526,3712,3912,4061,4251,4410,4490,4560,4586,4601,4686,4805,4862,4954,5109,5295,5597,5787,6022,6196,6340,6505,6748,6929,7039,7234,7384,7559,7752,7926,8141,8329,8418,8594,8827,9088,9334,9528,9719,9851,10242,10458,10640,10760,10889,10908,11002,11027,11053,11045,11080,11064,10974,10973,11060,11205,11696,11945,11916,11859,12107,12674,13068,13221,13198,13096,13300,13950,14609,15053,15134,15180,15281,15446,15624,15701,16082,16564,16826,16869,16596,16289,15943,15939,16076,16376,16621,16675,16899,17018,17542,17472,17537
"173","165","        Electricity and gas","DELGRC0",7516,7495,7782,7929,8207,8347,8359,8563,8526,8990,8876,9080,9341,9353,9501,9725,10046,9656,10030,9939,10262,10348,10539,10671,10653,10966,10992,11107,11220,11558,11650,11790,11796,12315,12229,12671,12886,12726,13126,13327,13743,13585,14173,14566,14807,14955,15454,15663,16235,16650,16758,17145,17426,18149,18455,19745,19264,19766,20565,20636,20878,23192,24554,25829,26762,28852,29508,29467,30430,31004,32744,36317,37186,35730,38921,39301,41146,42202,42189,43475,46182,46164,46414,49113,52051,54891,58332,60744,58047,63774,65080,67685,72300,71974,71986,75062,75453,80044,83030,85040,81940,86050,85443,86127,91755,85874,87953,90451,86838,87555,87940,87181,86174,90018,90423,89323,92897,92506,95348,96154,97441,95748,97493,104803,93560,99519,101100,100898,101594,108112,106066,103959,101945,105988,106386,111123,111665,111779,118444,118337,118677,120683,116140,113102,112521,117658,122715,120187,127143,126082,120996,125553,125021,125075,124351,131825,123434,129199,128636,119094,122789,125491,130572,124404,123693,133318,139637,153865,161515,150190,147221,139492,139060,144959,145576,152958,157184,163101,159480,161817,165187,166905,166805,173728,175077,183338,194993,206417,194617,201053,208564,199192,206792,212154,213755,208805,217956,226241,223526,227124,222236,211343,211025,216828,219201,220157,230067,225546,218102,222587,234441,216951,202816
"174","166","          Electricity (27)","DELCRC0",4588,4660,4752,4856,5012,5064,5044,5124,5160,5336,5328,5484,5564,5688,5684,5776,5928,5884,5988,6000,6164,6252,6368,6392,6456,6608,6580,6784,6844,6996,7144,7188,7296,7600,7456,7756,7945,8052,8124,8251,8558,8594,8919,9018,9216,9427,9836,9937,10203,10482,10681,11122,11185,11793,11791,12443,12715,12933,13611,13953,14180,15866,16679,17677,18438,19286,19843,19985,20574,21126,21552,23279,24498,24392,26024,25782,27183,27951,28050,28984,30529,30140,30085,32210,34274,36063,39086,39325,38273,43995,43272,44350,46952,46555,46077,48487,48282,48895,55122,54003,52255,55591,55520,57916,59659,58304,58487,60566,60009,60516,60864,61093,61122,64685,64063,63142,65878,65642,68304,67513,68521,68199,68495,73509,68266,72312,73558,73100,74345,79958,76327,75914,75110,75845,76072,80070,80102,81816,85559,83517,83896,87593,83469,83062,82945,86591,91606,89183,91910,91558,88056,90443,89889,88395,89350,95181,91086,96376,96753,89416,91682,93274,96989,92368,92793,99010,98746,102887,105157,103188,102529,102599,103510,107252,108484,109178,110208,112337,110198,113386,115426,115732,113292,119035,120304,124429,135846,134301,132262,142020,146890,142588,143594,146204,152727,152166,155241,154052,153290,160733,161309,153816,153345,161161,165173,167025,172413,168928,169065,171743,174734,164554,160292
"175","167","          Natural gas (28)","DGHERC0",2928,2835,3030,3073,3195,3283,3315,3439,3366,3654,3548,3596,3777,3665,3817,3949,4118,3772,4042,3939,4098,4096,4171,4279,4197,4358,4412,4323,4376,4562,4506,4602,4500,4715,4773,4915,4941,4674,5002,5076,5185,4991,5254,5548,5591,5528,5618,5726,6032,6168,6077,6023,6241,6356,6664,7302,6549,6833,6954,6683,6698,7326,7875,8152,8324,9566,9665,9482,9856,9878,11192,13038,12688,11338,12897,13519,13963,14251,14139,14491,15653,16024,16329,16903,17777,18828,19246,21419,19774,19779,21808,23335,25348,25419,25909,26575,27171,31149,27908,31037,29685,30459,29923,28211,32096,27570,29466,29885,26829,27039,27076,26088,25052,25333,26360,26181,27019,26864,27044,28641,28920,27549,28998,31294,25294,27207,27542,27798,27249,28154,29739,28045,26835,30143,30314,31053,31563,29963,32885,34820,34781,33090,32671,30040,29576,31067,31109,31004,35233,34524,32940,35110,35132,36680,35001,36644,32348,32823,31883,29678,31107,32217,33583,32036,30900,34308,40891,50978,56358,47002,44692,36893,35550,37707,37092,43780,46976,50764,49282,48431,49761,51173,53513,54693,54773,58909,59147,72116,62355,59033,61674,56604,63198,65950,61028,56639,62715,72189,70236,66391,60927,57527,57680,55667,54028,53132,57654,56618,49037,50844,59707,52397,42524
"176","168","    Health care","DHLCRC0",14464,14728,14939,15195,15547,16089,15987,16497,16641,17051,17222,17567,18138,18817,19483,20105,20469,20759,21096,21583,22672,23735,24726,25464,26061,26194,25869,26027,26731,28059,29307,30616,31193,31664,32136,32722,34128,35947,37326,38902,40259,41601,42540,43831,45474,46654,48272,50256,51257,52882,54632,56129,57619,59037,60637,62079,64445,66479,68055,69722,71857,74612,77426,80434,84534,87718,89522,94225,97328,100338,103356,106376,109719,114804,117979,120260,125249,129524,132784,137249,141661,146077,151006,156614,162440,165681,174674,183848,191413,199026,206166,211047,215362,221097,228279,235991,243577,250173,256245,262505,269178,273638,278739,284352,290984,297707,306086,314004,320589,325844,332633,341572,350593,360978,371927,380547,392680,404418,416734,426373,437112,444815,454494,468414,483084,499376,515239,527102,536322,548092,561328,577295,593101,607776,620468,629794,638783,644977,652806,658668,667116,675466,684685,694578,707806,715580,723568,732589,736339,748009,754783,769130,776346,785383,796489,805572,820166,829312,836745,841958,848878,856132,867807,881542,893835,910022,926690,943151,966200,985031,1006119,1028907,1052407,1074898,1094207,1109978,1123030,1139082,1156031,1174464,1195045,1218006,1241558,1259348,1287796,1300878,1316295,1330594,1351218,1367409,1377619,1398368,1434292,1447476,1462153,1486851,1513026,1526494,1538997,1551956,1571777,1596228,1615412,1633534,1632938,1659075,1677107,1700358,1708118,1729544,1734424,1749333,1756251
"177","169","      Outpatient services","DOUTRC0",8449,8591,8723,8848,8975,9206,9105,9333,9318,9637,9664,9851,10153,10533,10914,11251,11390,11429,11503,11701,12300,13138,13982,14691,14849,14722,14181,14045,14308,14977,15776,16519,16671,16400,16104,15941,16762,17458,18207,18825,19330,19737,20136,20578,21217,21992,22694,23319,23532,23788,24235,24816,25496,25925,26387,27415,28539,29504,30545,30834,31992,32400,33483,34752,36654,38005,38869,40448,41487,43097,43726,45103,46362,48605,51007,52012,53393,54132,54796,56602,58636,60178,62741,64579,66573,68041,71707,76220,78932,82416,85838,87150,87463,89115,91757,94439,98035,101522,105260,108395,111730,113983,117080,120285,123811,127466,131395,135106,137679,140850,145105,149788,157025,161736,167364,171602,178020,183478,189085,194166,198594,201762,206045,212161,219311,228401,237127,243662,246461,250247,256177,262188,272814,280505,286285,290947,293002,295657,299014,302126,307776,312294,316243,321939,330910,335042,338708,341730,345232,349198,353167,357646,361145,366003,371801,377635,384094,389021,392582,396020,398989,403261,409535,416760,424578,432442,440326,449156,461199,470610,480182,491195,499600,510168,519932,529188,533861,544332,554833,565517,575879,585744,595616,602991,614369,622573,629666,637144,641015,649493,657566,663556,677926,684203,694305,704879,715509,725098,734012,739456,741787,747070,752613,759376,759707,765027,768902,774216,778620,786218,789426,792043,794784
"178","170","        Physician services (44)","DPHYRC0",5419,5505,5574,5633,5692,5856,5684,5840,5763,6020,5957,6039,6206,6425,6647,6839,6914,6919,6941,7043,7418,7959,8486,8908,8937,8805,8300,8193,8363,8815,9347,9855,10071,10082,10053,10062,10445,10743,11094,11509,11849,12234,12628,13012,13393,13832,14224,14601,14857,15150,15502,15866,16218,16510,16706,17196,17801,18268,18787,18953,19511,19947,20611,21524,22495,23430,23742,24616,25238,25999,25788,26547,27574,29255,30989,31094,31879,32281,32811,33883,35089,36191,38026,39376,40696,41553,43989,46846,48342,50103,52234,53291,53845,54839,56417,58188,60235,61834,63693,65671,67518,69003,70676,72514,74463,76352,78558,80583,81795,83547,86232,89905,93661,97499,101387,104000,107890,111163,114290,116520,118890,120208,122715,125767,129336,133304,136704,139751,141672,143262,145795,148846,154023,158098,160504,162018,161966,161860,161909,162468,165881,167330,168756,171068,175612,177285,178768,179730,181652,182910,183851,185206,186666,189301,192568,194957,198193,200962,203281,205646,207433,209643,213515,217818,222746,227302,231345,235585,242509,246563,250810,257318,260588,266287,272353,277995,280406,287865,294028,299494,304813,309709,314468,319377,324713,329131,332772,335579,337474,342441,346787,348146,356745,357105,361088,365932,371127,376048,380709,383827,384466,385977,388729,392156,389345,391198,392318,394823,394496,398412,400793,402069,404096
"179","171","        Dental services (45)","DDENRC0",1943,1947,1951,1959,1981,2011,2044,2076,2095,2103,2121,2141,2188,2248,2304,2348,2340,2307,2284,2297,2412,2597,2786,2945,2968,2894,2802,2732,2775,2909,3079,3245,3337,3373,3400,3438,3550,3637,3773,3916,4067,4259,4415,4563,4685,4840,4947,5016,5054,5065,5147,5290,5489,5509,5612,5966,6240,6515,6829,6784,7042,7120,7255,7595,7978,8084,8272,8538,8575,9066,9550,9809,9903,10026,10294,10873,11148,11360,11282,11550,12050,12119,12416,12539,12954,13210,13869,14887,15292,16084,16602,16506,16830,17242,17582,17826,18151,18578,19143,19600,19967,20352,20778,21307,21872,22361,22826,23217,23565,23960,24401,24942,25699,26589,27205,27575,27944,28232,28546,28933,29509,30058,30559,31187,31771,32241,32706,32965,33179,33607,34413,35129,36336,37203,38199,38806,38877,39426,39778,40213,40956,41855,42603,43483,44793,45247,45620,45896,46500,47357,48258,49085,49760,50475,51266,52221,53198,54130,55113,56067,57010,57875,58918,60162,61562,62901,64237,65593,67084,68418,70019,71773,73747,75335,76311,76881,76755,77448,78565,79978,81659,83277,85048,86308,87777,88874,89446,90455,91248,92670,93807,95351,96960,98204,100160,102037,103540,104370,104987,104847,104403,104047,104233,105012,106390,105985,105884,105587,107997,108513,108545,108307,108665
"180","172","        Paramedical services (46)","DPMSRC0",1087,1139,1198,1256,1302,1339,1377,1417,1460,1514,1586,1671,1759,1860,1963,2064,2136,2203,2278,2361,2470,2582,2710,2838,2944,3023,3079,3120,3170,3253,3350,3419,3263,2945,2651,2441,2767,3078,3340,3400,3414,3244,3093,3003,3139,3320,3523,3702,3621,3573,3586,3660,3789,3906,4069,4253,4498,4721,4929,5097,5439,5333,5617,5633,6181,6491,6855,7294,7674,8032,8388,8747,8885,9324,9724,10045,10366,10491,10703,11169,11497,11868,12299,12664,12923,13278,13849,14487,15298,16229,17002,17353,16788,17034,17758,18425,19649,21110,22424,23124,24245,24628,25626,26464,27476,28753,30011,31306,32319,33343,34472,34941,37665,37648,38772,40027,42186,44083,46249,48713,50195,51496,52771,55207,58204,62856,67717,70946,71610,73378,75969,78213,82455,85204,87582,90123,92159,94371,97327,99445,100939,103109,104884,107388,110505,112510,114320,116104,117080,118931,121058,123355,124719,126227,127967,130457,132703,133929,134188,134307,134546,135743,137102,138780,140270,142239,144744,147978,151606,155629,159353,162104,165265,168546,171268,174312,176700,179019,182240,186045,189407,192758,196100,197306,201879,204568,207448,211110,212293,214382,216972,220059,224221,228894,233057,236910,240842,244680,248316,250782,252918,257046,259651,262208,263972,267844,270700,273806,276127,279293,280088,281667,282023
"181","173","          Home health care","DHHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10743,10789,11088,11329,11438,11713,12123,12723,13479,14002,14531,15376,15959,17668,19387,20584,21097,21668,22458,23123,25207,26526,27555,28816,29818,31075,32639,33963,34654,36161,37376,38456,40118,41072,42213,43030,43472,44083,44849,45395,45349,45395,45578,46344,46615,45834,44853,43908,43198,43204,43194,43113,42781,42724,42686,43012,43976,45374,46140,46208,46449,46822,47248,47608,48273,49046,50140,51517,52730,53629,54733,55136,55638,56371,57973,59655,60267,60637,61075,62275,64008,65740,67265,68431,69053,69873,71299,72683,73197,75171,77271,79109,79925,81418,82896,84071,84023,84302,83988,83722,84733
"182","174","          Medical laboratories","DMLBRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3471,3521,3688,3881,4181,4444,4728,5031,5214,5356,5469,5675,6072,6321,6547,6686,6937,7191,7521,7726,8004,8219,8401,8402,8399,8503,8617,8681,8866,9033,9238,9378,9438,9422,9442,9510,9652,10031,10368,10455,10806,11212,11645,12116,12619,13096,13478,13796,14045,14343,14652,15127,15781,16423,17222,18214,18994,19550,20060,20372,20583,20819,21133,21561,22239,22955,23543,24261,24655,25092,25602,26012,26885,27308,27715,28234,28527,29101,29480,29673,29993,30095,30659,31194,31761,32338,32905,33442,33821,34236,34585,34686,34390,34508,34338,34166,34149,34335,33994,33806,33755
