"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"62","54","Q1AIR1 D         Pleasure aircraft","Q1AIR10",960,910,866,989,967,875,812,882,825,794,840,831,897,847,820,814,742,860,854,881,919,894,969,950,918,898,912,999,988,949,983,950,983,1056,1042,1046,1094,1138,1182,1060,1301,1185,1191,1204,1175,1165,1149,1229,1282,1251,1231,1186,1173,1335,1405,1421,1406,1365,1358,1403,1470,1581,1512
"63","55","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26828,26261,26726,26044,25725,26757,25401,24477,25847,26260,26734,27175,27216,28213,29945,29445,29992,30016,30458,31521,31188,32447,32873,33790,34802,35765,36220,36419,36481,36727,37702,38937,39942,41293,42121,43552,45166,45737,47075,49296,49030,50424,51969,50849,49810,48829,48509,49560,51499,52695,52590,53914,55331,56405,57778,59953,60805,59505,60128,61650,63293,64349,62962
"64","56","Q1BKS1 C     Books and maps (87)","Q1BKS10",19099,19291,19271,19284,19127,18905,18971,18774,18873,18976,19683,19595,20036,20457,20770,21392,21754,22353,23154,23584,24215,24345,25169,24459,24573,25696,25562,26673,27172,26964,26993,27863,27977,27754,28211,29051,30288,31034,31779,32675,32605,34157,33954,33902,34164,33884,34254,34491,35552,35430,35479,35839,36690,37502,38854,38085,39503,39441,40410,40469,41123,41215,41734
"65","57","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1975217,1974652,1986511,2010345,2026760,2033400,2034977,2053125,2069540,2079140,2121180,2137303,2171925,2186081,2206916,2236514,2265605,2285876,2300577
"66","58","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,937136,938255,940577,945000,950153,954501,954390,959506,969183,970506,987724,992784,1015460,1022519,1030855,1047424,1060858,1072163,1086651
"67","59","Q1OPF1 C     Food and alcoholic beverages purchased for off-premise consumption (3)","Q1OPF10",481073,488151,488049,485414,484218,486315,487125,481957,483782,482541,482971,486451,486270,486729,489947,492673,497281,503452,504495,508354,508008,506093,506274,508195,511000,514134,513029,514786,518418,516044,519478,519359,521059,526380,531849,534478,537323,545540,551145,561153,557792,566440,568894,573654,573444,580052,578953,582132,582919,585691,586274,591420,598929,594673,605797,604511,619721,624781,630278,639997,650662,657933,673517
"68","60","Q1FOP1 G       Food purchased for off-premise consumption","Q1FOP10",420739,426804,425530,422250,425050,428627,430025,427299,430039,429019,429346,432443,431724,432016,434672,436853,440450,445500,445599,448953,448681,446461,446045,447397,448993,451530,450301,452110,454454,451956,454463,453790,455018,460256,465132,467505,470702,477619,482911,491573,487960,495765,497068,501275,501171,507043,507097,510749,510749,512974,514267,519232,525555,522151,531278,529896,543121,546907,551694,559984,568824,573705,586117
"69","61","Q1GRA1 D         Cereals","Q1GRA10",23416,23612,23815,23720,23838,24273,24466,24122,24309,24280,24240,24283,24206,24211,24318,24462,24287,24429,24520,24839,25091,25023,24994,25090,25141,25655,26251,26747,27017,26791,26635,26324,25665,25661,25746,26082,27039,27571,27962,28422,27529,27487,27419,27357,27778,28013,27788,27809,27698,27641,27572,27507,27092,26744,27199,27509,28340,29046,29264,29615,29878,30683,31486
"70","62","Q1BAK1 D         Bakery products","Q1BAK10",42120,42312,42467,42110,42027,42566,42129,41427,41266,40809,40838,41203,41148,41243,41315,41673,41914,42154,42332,42772,42914,42822,42620,42773,42655,42873,42858,43152,43433,43299,43585,43456,43403,43668,43815,43958,43903,44237,44643,45192,45061,45769,45598,45442,44800,45078,44919,45106,45257,45168,44903,44901,44572,43936,44470,44601,46117,46458,46969,47593,48062,48619,49807
"71","63","Q1BEE1 D         Beef and veal","Q1BEE10",30936,30668,30254,29210,29191,29279,28890,28410,28461,27939,27742,27304,26689,26208,25912,26009,26122,26234,26359,26416,25985,25905,25781,25527,25521,25838,25211,24664,24129,23767,23762,23801,24654,25167,25483,25452,24926,24813,24919,25041,25256,25563,25840,26420,25648,25592,25417,25399,24514,24096,24225,24512,24993,24747,25005,22925,23361,23483,23350,23857,23762,23768,24887
"72","64","Q1POR1 D         Pork","Q1POR10",20308,19582,18954,18375,18552,18999,19132,19336,19857,19921,19959,20059,19892,19682,19612,19708,19649,19929,20407,20888,20772,20860,20577,20106,19950,19645,18941,18759,18769,18517,18624,18730,18933,19490,19959,20544,21200,21524,21950,22218,21635,21678,21922,22458,23040,23276,23108,23039,22252,22250,22481,22743,22993,22907,23269,23058,23468,23512,23313,23689,23696,24144,25270
"73","65","Q1MEA1 D         Other meats","Q1MEA10",12908,12993,12998,12907,13148,13560,13736,13721,14103,14312,14523,14505,14565,14563,14623,14625,14681,14901,15158,15251,15399,15280,15322,15149,15260,15492,15437,15449,15492,15347,15454,15579,15679,16061,16288,16382,16487,16769,17035,17152,17227,17390,17271,17301,17548,17701,17680,17412,17431,17313,17087,17120,17732,17380,17436,17157,17584,17989,18118,18160,18372,18747,18977
"74","66","Q1POU1 D         Poultry","Q1POU10",20630,21159,21588,22507,22912,23846,24201,24829,25895,26161,25928,26257,26190,26346,26551,26614,27052,27285,27647,28574,28815,28934,28764,28736,28819,29235,28779,28788,29240,29583,29768,29904,30294,30312,30047,29709,29426,29672,29896,30590,30816,31703,32325,33207,33430,33675,33475,33215,32385,32244,31804,31931,32706,32538,32959,32521,33064,32689,32168,33090,33703,34234,34483
"75","67","Q1FIS1 D         Fish and seafood","Q1FIS10",9740,9903,9829,9581,9629,9681,9518,9144,9030,8875,8827,8879,8645,8662,8705,8642,8612,8566,8472,8452,8347,8178,8098,8131,8260,8291,8324,8238,7956,7949,8136,8346,8927,9348,9621,9899,9976,10088,10192,10292,10234,10347,10425,10596,10610,10856,11131,11472,11978,12039,12249,12547,12708,12622,12845,12885,13203,13390,13470,13685,13821,13970,14228
"76","68","Q1GGS1 D         Eggs","Q1GGS10",2803,2970,3164,2975,2959,3185,3205,3250,3544,3551,3587,3559,3596,3425,3731,3956,4008,4162,4316,4536,4641,4625,4371,4196,4053,4150,4238,4247,4470,4571,4694,4765,5019,5100,5188,5192,5182,5337,5374,5890,5706,5755,5741,5616,5549,5675,5858,6011,5707,5577,5508,5698,5974,5825,5581,5184,4978,5370,6011,6724,6999,7263,7077
"77","69","Q1MIL1 D         Fresh milk and cream","Q1MIL10",18139,18356,18116,17967,18735,18752,18507,17924,17421,17319,16916,16845,16718,16713,16243,16308,15932,15919,16026,15972,15809,15630,15495,15250,14779,14612,13978,13411,13491,13496,13743,13207,13269,13459,13465,12993,12071,13165,13256,12599,13500,13900,14029,14233,14264,14324,14099,14071,13899,13810,13809,13936,14155,14205,14202,13676,14228,13052,13044,13863,13717,14043,14340
"78","70","Q1DAI1 D         Processed dairy products","Q1DAI10",26037,26480,26610,26703,27345,27887,27979,27723,28143,28131,28354,28563,28390,28525,28805,29225,29202,29309,29688,29910,29796,29669,29691,29665,29571,29459,28501,28068,28502,28348,28995,28755,28639,29028,29271,29177,29822,30618,30931,30898,29643,29759,29615,29829,29984,30062,29620,29967,30305,30621,30957,31490,31619,31755,32160,32226,32966,32406,32453,33572,33920,34359,35255
"79","71","Q1FRU1 D         Fresh fruits","Q1FRU10",14219,14431,14413,14675,13564,13143,13556,13876,14485,14478,14758,15163,15287,15632,15250,14808,15141,15432,15316,15826,15261,14843,14355,14769,14910,14399,14466,14347,14725,14656,14969,15218,15389,15702,15596,15623,14802,14493,14952,15652,15853,17337,17183,16782,16514,16199,16568,17027,18050,18665,18707,18587,17984,17584,17340,17669,18401,18451,18924,18199,18853,19507,19192
"80","72","Q1VEG1 D         Fresh vegetables","Q1VEG10",18093,21865,20923,20515,21204,18589,20111,20436,19806,19819,19021,18863,19689,18748,20053,20045,21426,22088,20918,19992,20161,19101,20588,21450,21847,21601,22475,23460,23259,23638,22958,22694,22454,22429,23472,23462,23933,24544,24048,24560,25485,25374,25075,24652,24347,25047,25148,25866,25096,26018,26483,27117,26582,25709,25781,25453,26648,27413,27877,25203,28315,26789,28136
"81","73","Q1PFV1 D         Processed fruits and vegetables","Q1PFV10",18725,18401,18315,18133,18419,18587,18381,17900,17566,17360,17361,17529,17622,17796,17793,17663,17515,17667,17770,18015,17886,17778,17702,17797,17722,17590,17327,17392,17368,17257,17411,17366,17112,17311,17610,18042,18758,19175,19452,19696,19143,19265,19185,19124,19093,19261,19142,19042,18945,18868,18730,18772,19020,18733,19070,19250,19805,20172,20325,20617,20765,20759,21069
"82","74","Q1JNB1 D         Juices and nonalcoholic drinks","Q1JNB10",44575,45468,45373,45355,45929,46787,47235,46687,46559,46481,46617,47472,46217,46355,46416,45987,46693,47081,47166,47082,46159,45443,45001,44930,45363,45368,45475,45982,46110,45781,45954,45651,45819,46414,47059,47142,47472,47700,48232,49055,48010,48886,48988,49846,49974,51045,51016,51349,51018,51323,51611,52001,54431,54564,56926,57362,58570,59579,59965,61032,61560,61918,63318
"83","75","Q1CTM1 D         Coffee, tea and beverage materials","Q1CTM10",9518,9424,9106,9029,8986,8986,8965,8781,8453,8321,8495,8946,9553,9541,9830,10242,10451,10692,7906,7528,7912,8374,8654,9187,9712,10209,10716,11253,11440,10206,9653,10060,10168,10308,10590,10779,10996,11165,11307,11515,11307,11563,11744,11972,12136,12424,12521,12655,12610,12710,12703,12840,13278,13378,13903,14076,14324,14610,14751,15031,14972,14851,15127
"84","76","Q1FAT1 D         Fats and oils","Q1FAT10",9227,9315,9297,9149,9143,9364,9461,9488,9751,9787,9836,9869,9713,9730,9672,9709,9634,9551,9466,9428,9316,9200,9082,9020,8980,8966,8902,8885,8796,8662,8719,8708,8738,8855,8578,8467,8995,9334,9450,9680,9435,9575,9503,9563,9618,9759,9640,9760,9676,9748,9788,9855,9865,9863,10103,10067,10150,9945,9983,10226,10387,10671,10888
"85","77","Q1SWE1 D         Sugar and sweets","Q1SWE10",27841,28072,28307,28015,28262,28539,28375,27940,28025,27911,28052,28413,28387,28640,28759,28939,29060,29451,29801,30016,30157,30011,29730,29791,29651,29808,29687,29898,29924,29508,29639,29656,29770,30066,30254,30251,30182,30202,30436,30969,31270,32279,32438,32626,32139,32482,32418,32617,32926,32890,32815,33108,33429,33159,33971,34134,35230,35836,36117,36843,37515,37805,38454
"86","78","Q1OFD1 D         Other foods","Q1OFD10",58857,59526,59940,59302,59434,60488,60191,59887,60493,60455,60847,60974,61613,62370,62937,63843,64602,65637,66452,67405,67833,68057,68490,69431,69911,70678,71387,71873,72647,72456,72990,72698,72247,73046,73791,74665,76058,77526,78815,80546,79414,80969,81514,82848,83238,84813,85618,86821,88578,89426,90281,91537,93551,93561,95832,97103,99474,100570,102010,105082,105925,106681,108785
"87","79","Q1PEF1 D         Pet food","Q1PEF10",12843,12652,12363,12343,12185,12236,12086,12445,12675,12882,13145,13508,13774,13791,14381,14708,14784,15368,15911,16172,16630,16975,17005,16718,17136,17822,17490,17697,17802,18237,18898,18889,18866,18896,19357,19752,19550,19755,20081,21613,21445,21163,21242,21409,21484,21798,21999,22196,22654,22762,22738,23210,23154,23330,23782,24078,24292,24050,24738,25423,25830,26304,26564
"88","80","Q1AOP1 C       Alcoholic beverages purchased for off-premise consumption (9)","Q1AOP10",60292,61302,62518,63183,59082,57627,57049,54686,53853,53644,53746,54135,54637,54796,55354,55883,56878,57987,58906,59407,59337,59634,60234,60799,62004,62607,62726,62675,63960,64090,65018,65579,66058,66132,66726,66983,66615,67922,68234,69577,69834,70677,71824,72381,72278,73013,71848,71370,72163,72709,72000,72182,73365,72515,74516,74612,76594,77876,78588,80017,81844,84257,87439
"89","81","Q1MLT1 D         Beer and ale, at home","Q1MLT10",36395,36792,37400,37588,34538,33781,33288,31875,30858,30442,30399,30467,31263,31623,32127,32515,33181,33773,34352,34845,34961,35302,35689,36063,36673,37227,37353,37757,38700,38751,39468,39850,39952,40082,40323,40403,40205,41020,41322,42227,42304,42752,43352,43802,43570,44207,43305,42712,43252,43698,43331,43480,44389,43614,44823,44624,46101,46800,47272,48316,49512,51207,53706
"90","82","Q1WIN1 D         Wine and brandy, at home","Q1WIN10",10938,11261,11580,11629,11007,10767,10674,10306,10337,10396,10388,10481,10622,10688,10839,11047,11247,11621,11913,12069,12153,12237,12394,12512,12789,12917,12971,12873,13102,13087,13217,13335,13411,13356,13513,13625,13581,13866,13936,14271,14434,14643,14930,15043,15139,15364,15247,15230,15393,15606,15463,15475,15785,15661,16131,16403,16829,17214,17424,17755,18146,18570,19087
"91","83","Q1LIQ1 D         Distilled spirits, at home","Q1LIQ10",12960,13256,13550,13982,13571,13109,13122,12539,12711,12873,13031,13267,12806,12528,12423,12353,12480,12625,12672,12519,12246,12115,12170,12243,12564,12479,12416,12047,12156,12254,12335,12396,12699,12700,12896,12960,12832,13039,12979,13080,13096,13282,13541,13535,13569,13445,13303,13435,13525,13419,13220,13240,13205,13258,13581,13622,13699,13906,13938,13987,14224,14505,14647
"92","84","Q1PMB1 C     Purchased meals and beverages (4)","Q1PMB10",287290,290115,292741,288050,286337,291214,290244,289696,296840,289065,291113,303146,300046,304029,307315,305937,304465,309320,311657,311971,309435,311218,311860,310597,310492,311933,311919,314689,317060,316635,320095,317067,322586,327057,328386,333207,331676,333992,333807,341676,348750,349514,349175,347801,353919,348439,351833,353064,357425,358949,358178,358098,360191,365629,371691,377945,385378,387412,390268,397091,399892,403914,403010
"93","85","Q1FPM1 C       Food in purchased meals","Q1FPM10",247737,249355,251485,246280,246252,250819,249913,248403,254321,248045,249617,260192,259641,263480,266721,266528,265422,270441,273351,274204,272268,273968,274525,273815,274369,276268,276268,278996,281813,281794,284749,282211,287174,291258,292591,296927,295523,297463,297793,304691,310703,311484,311901,311164,316770,311631,314504,315422,319251,320783,320466,320540,322657,327065,332445,338447,344823,346940,349424,355641,358250,361761,361120
"94","86","Q1ESL1 D         Elementary and secondary school lunch","Q1ESL10",4395,4392,4428,4442,4462,4455,4451,4460,4446,4451,4457,4479,4525,4542,4563,4588,4605,4616,4649,4669,4699,4705,4720,4756,4787,4805,4836,4864,4896,4945,4979,5011,5090,5121,5184,5229,5302,5375,5445,5477,5527,5625,5698,5777,5821,5829,5843,5883,5892,5856,5829,5803,5786,5800,5817,5853,5892,5916,5941,5940,5963,5985,6041
"95","87","Q1HSL1 D         Higher education school lunch","Q1HSL10",5446,5380,5332,5304,5255,5284,5271,5305,5364,5416,5479,5550,5616,5571,5564,5612,5740,5717,5771,5815,5882,5786,5788,5855,5903,5880,5940,5999,6008,6020,6048,6058,6138,6138,6230,6224,6378,6412,6499,6542,6624,6750,6798,6904,6980,6993,7005,7102,7126,7006,7006,7022,7157,7238,7288,7434,7444,7517,7471,7499,7568,7637,7750
"96","88","Q1OPM1 D         Other purchased meals","Q1OPM10",237893,239585,241731,236533,236533,241082,240195,238637,244513,238177,239677,250168,249502,253372,256600,256337,255079,260115,262940,263726,261691,263484,264025,263209,263684,265585,265495,268135,270914,270833,273727,271144,275950,280003,281181,285479,283844,285676,285847,292670,298552,299108,299404,298484,303971,298812,301658,302444,306237,307919,307626,307710,309710,314026,319337,325156,331481,333501,336006,342196,344712,348132,347325
"97","89","Q1MLS1 D           Meals at limited service eating places","Q1MLS10",125134,124741,125457,123041,123789,125645,124220,123513,127865,125956,127068,131976,134043,135561,136718,136349,134009,137384,139555,140937,140602,140297,140628,141223,141589,141741,140131,140006,139566,141077,140897,139388,143363,146443,148040,149749,148893,148628,148760,152642,155266,156452,156606,156101,160180,155076,158521,160281,160147,161452,162135,160794,163349,166280,168322,173664,176884,178858,179843,181951,183391,184791,184340
"98","90","Q1MOE1 D           Meals at other eating places","Q1MOE10",110954,112985,114413,111542,110836,113583,114175,113249,114720,110340,110712,116311,113648,115997,118084,118297,119401,121087,121795,121211,119513,121592,121761,120343,120492,122278,123818,126600,129890,128280,131332,130284,131075,132053,131611,134203,133423,135492,135570,138457,141640,141014,141200,140850,142248,142207,141540,140521,144467,144834,143877,145324,144738,146066,149295,149748,152786,152805,154301,158387,159463,161455,161097
"99","91","Q1MDP1 D           Meals at drinking places","Q1MDP10",1799,1862,1863,1951,1906,1853,1804,1881,1927,1870,1888,1873,1788,1796,1783,1675,1663,1635,1575,1559,1554,1578,1619,1621,1580,1549,1536,1526,1468,1476,1506,1482,1514,1507,1527,1527,1532,1553,1516,1573,1646,1641,1597,1533,1545,1528,1597,1643,1625,1633,1613,1595,1622,1677,1718,1739,1803,1826,1852,1855,1854,1887,1886
"100","92","Q1APM1 C       Alcohol in purchased meals","Q1APM10",39758,41068,41578,42225,40387,40666,40603,41634,42880,41349,41837,43294,40640,40768,40798,39571,39197,39010,38406,37849,37241,37317,37405,36840,36161,35693,35679,35716,35258,34845,35356,34863,35417,35804,35799,36280,36154,36533,36016,36985,38047,38029,37272,36638,37152,36812,37332,37643,38172,38166,37720,37566,37549,38566,39250,39511,40565,40486,40855,41464,41662,42169,41910
"101","93","Q1PIF1 C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","Q1PIF10",9011,8946,8928,8892,8861,8839,8853,8859,8849,8873,8894,8937,8921,8957,8990,9023,9041,9081,9104,9118,9138,9160,9155,9145,9155,9164,9142,9144,9174,9184,9182,9202,9240,9288,9345,9408,9437,9478,9507,9548,9592,9628,9689,9727,9776,9772,9798,9803,9792,9839,9924,10016,10129,10170,10205,10230,10277,10253,10246,10264,10293,10311,10325
"102","94","Q1FOO1 C       Food furnished to employees (including military)","Q1FOO10",8331,8316,8327,8298,8264,8248,8238,8241,8230,8262,8293,8341,8336,8392,8424,8459,8482,8508,8521,8543,8602,8614,8640,8632,8642,8651,8648,8655,8651,8653,8653,8676,8707,8747,8788,8825,8863,8911,8938,8998,9036,9084,9133,9172,9226,9256,9298,9285,9310,9325,9407,9515,9636,9686,9752,9821,9844,9870,9861,9882,9917,9934,9938
"103","95","Q1CFD1 D         Food supplied civilians","Q1CFD10",7666,7667,7687,7665,7626,7615,7613,7623,7627,7664,7696,7741,7724,7771,7796,7827,7849,7875,7888,7912,7974,7991,8024,8024,8045,8063,8070,8086,8089,8097,8105,8135,8168,8214,8255,8295,8332,8376,8398,8452,8480,8515,8554,8581,8636,8668,8707,8681,8700,8697,8744,8807,8838,8844,8888,8954,9009,9065,9091,9160,9228,9285,9317
"104","96","Q1MFD1 D         Food supplied military","Q1MFD10",664,649,639,633,638,633,625,618,602,598,597,600,612,621,628,632,633,632,632,630,627,623,616,608,597,588,578,568,561,555,548,542,539,533,532,530,530,534,540,545,555,568,578,590,590,588,591,603,610,628,662,708,798,842,864,867,834,805,769,722,689,648,620
"105","97","Q1FFD1 C       Food produced and consumed on farms","Q1FFD10",658,619,597,590,592,586,606,609,610,604,594,591,582,564,565,564,560,572,582,575,537,547,516,516,514,515,496,492,525,532,530,527,534,541,559,588,577,569,571,551,557,545,557,556,550,516,500,520,481,514,518,498,490,480,448,408,431,384,387,383,378,379,389
"106","98","Q1TCS1 B   Clothing and shoes","Q1TCS10",191033,188053,187749,185781,187847,190807,190021,186335,194186,197332,201420,203965,203066,206883,208619,210962,215454,215011,218628,224904,224070,225669,229771,230021,232132,237833,241641,243171,242918,240831,248467,251653,258262,263204,262132,268786,278903,282261,284672,284872,291272,296384,301103,302091,300531,301755,302874,309832,315878,316998,315709,324426,323408,331080,340386,341529,352592,349684,354882,362956,367898,374415,376064
"107","99","Q1SHU1 C     Shoes (12)","Q1SHU10",30705,30241,30499,30082,29868,29697,29540,29089,30337,30121,30360,30505,30634,31122,31829,32297,32986,32873,33951,35167,34234,35431,35683,36144,36497,37469,37852,38012,38256,38319,38897,39281,40637,41045,41004,42439,43657,44588,44993,45523,46448,46321,47732,47603,47226,48216,48014,48998,50412,50158,50130,51405,51062,52492,54022,54810,56322,55788,56079,57093,56733,57510,56905
"108","100","Q1WCL1 C     Women's and children's clothing and accessories except shoes (14)","Q1WCL10",100765,99009,98561,97477,98982,101383,100513,98412,103124,105220,107204,109153,108194,110277,110480,111281,112727,112306,114449,117448,117810,117823,119783,119337,120488,123925,126048,127073,125540,123622,128497,130466,134052,136446,135932,140026,146410,147945,148859,148704,152956,156772,158644,158395,156974,158005,159141,163051,165929,166087,165026,169420,169317,172703,177247,178604,184633,182540,185658,189144,193848,197758,198873
"109","101","Q1WCO1 D       Clothing and sewing for females","Q1WCO10",98585,97001,96588,95381,96832,99338,98621,96434,101011,103316,105180,107199,106040,108092,108418,109318,110848,110389,112363,115148,115625,115907,117931,117430,118483,121812,123953,124839,123269,121404,126338,128117,131587,133859,133432,137673,143558,144988,145734,145469,149605,153302,155173,154956,153549,154891,156169,159932,162585,162701,161641,165915,165999,169310,173669,174746,180619,178381,181543,184729,189378,192898,194095
"110","102","Q1WGC1 D         Clothing for females","Q1WGC10",86941,85528,85134,83811,84935,87423,86687,84619,88495,90723,92707,94647,93464,95015,95443,96293,97597,97284,99178,102181,102808,102943,105196,104659,105541,109175,111036,111726,110258,108673,112809,114347,117342,119307,118946,123133,128298,129504,130327,129958,134002,137228,138975,138605,137136,138559,139627,142979,145233,145429,144276,148180,148270,151199,155196,156262,161311,159164,162132,165149,169391,172878,173717
"111","103","Q1WIC1 D         Clothing for infants","Q1WIC10",8115,7846,7810,7826,7933,7771,7769,7745,8047,7802,7901,7882,8061,8262,8315,8380,8596,8587,8660,8531,8570,8917,8858,8762,8469,8617,8940,8932,8973,8586,9199,9478,9860,9932,9866,9713,10209,10418,10220,10276,10184,10445,10768,11071,10982,10918,11009,11103,11451,11431,11411,11562,11702,11815,12078,12279,12707,12746,12838,13059,13227,13283,13630
"112","104","Q1WSG1 D         Sewing goods for females","Q1WSG10",3594,3682,3701,3819,4047,4189,4219,4141,4545,4829,4590,4669,4541,4859,4698,4679,4698,4559,4555,4429,4245,4083,3912,4027,4438,4026,4002,4184,4054,4141,4338,4311,4415,4642,4639,4823,5053,5072,5187,5237,5420,5628,5429,5280,5433,5413,5531,5845,5896,5840,5945,6164,6023,6286,6387,6209,6596,6472,6570,6528,6760,6743,6758
"113","105","Q1WUG1 D       Luggage for females","Q1WUG10",2204,2030,1994,2116,2171,2069,1920,2001,2137,1934,2052,1991,2177,2209,2093,2003,1933,1967,2123,2320,2213,1985,1939,1980,2067,2167,2163,2277,2301,2251,2221,2387,2497,2607,2531,2407,2867,2965,3126,3232,3351,3471,3472,3441,3427,3113,2974,3119,3346,3388,3388,3510,3317,3393,3580,3867,4023,4178,4129,4448,4500,4929,4831
"114","106","Q1MMC1 C     Men's and boys' clothing and accessories except shoes (15+16)","Q1MMC10",59447,58713,58630,58172,58904,59550,59841,58723,60547,61782,63678,64068,64051,65291,66170,67280,69730,69841,70189,72265,71980,72388,74310,74567,75161,76422,77723,78062,79143,78939,81103,81931,83585,85742,85218,86322,88839,89728,90819,90642,91863,93289,94723,96097,96351,95528,95715,97779,99521,100757,100557,103612,103044,105905,109144,108085,111618,111351,113162,116777,117422,119268,120497
"115","107","Q1MCL1 C       Men's and boys' clothing, sewing goods, and luggage, except military issue","Q1MCL10",59272,58543,58463,58004,58734,59370,59645,58507,60297,61511,63392,63774,63757,64998,65879,66989,69436,69549,69897,71972,71685,72095,74017,74276,74874,76134,77430,77764,78831,78621,80782,81610,83272,85433,84915,86026,88554,89445,90535,90353,91563,92981,94409,95775,96024,95199,95385,97449,99197,100419,100184,103189,102491,105318,108562,107543,111215,111004,112849,116478,117109,118942,120161
"116","108","Q1MCO1 D         Clothing and sewing for males","Q1MCO10",58365,57693,57611,57074,57757,58420,58749,57545,59240,60543,62344,62748,62685,63925,64880,66055,68558,68666,68946,70939,70722,71269,73238,73489,74059,75290,76613,76912,77996,77825,80016,80778,82387,84503,84013,85175,87522,88374,89404,89182,90350,91724,93152,94530,94783,94072,94311,96321,97987,99194,98959,101920,101292,104092,107267,106145,109759,109495,111357,114873,115487,117179,118426
"117","109","Q1MBC1 D           Clothing for males","Q1MBC10",57876,57213,57149,56618,57293,57962,58311,57137,58820,60114,61947,62346,62282,63493,64463,65638,68140,68259,68539,70544,70344,70907,72894,73133,73661,74933,76259,76538,77634,77454,79626,80390,81991,84086,83597,84742,87069,87919,88938,88712,89863,91219,92665,94056,94296,93587,93815,95796,97457,98669,98424,101365,100750,103526,106693,105588,109166,108913,110767,114289,114881,116575,117822
"118","110","Q1MSG1 D           Sewing goods for males","Q1MSG10",473,464,447,441,449,444,426,398,409,418,388,393,394,422,409,408,410,399,399,389,373,360,346,356,394,358,357,374,363,372,390,388,397,417,416,433,454,455,466,470,487,505,487,474,488,486,497,525,529,524,534,553,541,564,573,557,592,581,590,586,607,605,607
"119","111","Q1MUG1 D         Luggage for males","Q1MUG10",862,811,813,881,923,900,853,909,995,918,989,972,1012,1015,950,898,857,862,918,990,931,823,792,798,822,848,832,859,847,817,798,854,902,944,918,874,1038,1074,1132,1170,1214,1257,1257,1246,1241,1127,1077,1130,1212,1227,1227,1271,1201,1229,1296,1400,1457,1513,1495,1611,1630,1785,1749
"120","112","Q1MIC1 C       Standard clothing issued to military personnel (n.d.)","Q1MIC10",169,163,160,162,163,174,192,215,251,273,289,298,298,296,294,294,295,295,295,294,296,294,293,293,287,289,293,299,314,320,322,322,315,310,303,296,285,282,284,288,300,308,315,321,326,329,329,329,324,338,371,420,540,572,569,532,405,354,322,311,324,336,346
"121","113","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",159566,158737,160483,155001,154382,156701,158616,157203,159476,163212,163832,164676,164115,166084,169082,168249,170496,169496,170182,168504,172740,174206,172311,172634,175273,176665,176590,176186,177163,179758,180478,181238,184908,185533,185194,189558,193179,193540,188891,195059,191551,190163,189062,195151,196428,188372,191072,197690,195932,197617,198674,197544,197368,196365,199536,201431,200284,200958,201324,202994,207655,205246,201998
"122","114","Q1GAO1 B     Gasoline and oil (75)","Q1GAO10",144010,141238,142014,140108,138636,140553,141155,140788,143428,144958,147539,147909,147272,149459,151419,150513,151266,152376,151958,151031,155171,155343,153831,153511,155812,158573,158377,158812,161010,162686,163251,164145,169310,168899,169125,173796,177049,176525,172297,179218,176719,174423,172975,178505,180413,173515,176051,183051,181330,182002,183162,181230,181693,181695,184008,185294,184715,185542,185354,188122,192106,190529,187717
"123","115","Q1GAS1 D       Gasoline and other motor fuel","Q1GAS10",140932,138158,138880,137002,135628,137475,138006,137551,139937,141321,143755,144059,143450,145555,147438,146533,147223,148321,147922,147030,151269,151529,150089,149783,152070,154831,154696,155172,157573,159246,159782,160596,165455,164921,165126,169963,173727,173312,169188,176076,173449,171065,169603,175168,177244,170498,173072,180190,178402,179139,180331,178430,178900,178933,181239,182549,182007,182894,182775,185569,189528,187982,185219
