"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"42","34","      Computers and software wholesalers","KS42430",3308,3409,3462,3587,3756,4030,4122,4098,4387,4491,4446,4577,4661,4727,5073,5114,5224,5131,5089,5303,5280,5324,5496,5686,5755,6199,6045,5787,6254,6393,6426,6488,6474,6730,6869,6953,7038,7120,6698,6697,6608,6650,6694,6699,7069,7428,7144,6926,6967,7024,6941,7047,6924,6609,6752,6642,6537,6642,6529,6630,6498,6513,6710,7003,6909,7005,6995,7273,7201,6977,6982,7212,7372,7535,7625,7556,7791,7749,7928,7855,7774,7918,7979,8287,8274,8313,8496,8537,8587,9049,8997,9242,9090,9291,9701,9495,9560,9730,9897,9990,9918,10137,9962,10171,10478,10550,10527,10674,10957,11220,11234,11248,11539,11410,11654,11685,12201,12509,12501,12610,12650,12689,12659,12813,12934,13175,13366,13635,13881,13776,13639,13734,13943,13783,14331,14220,14864,14644,14833,15341,15367,15977,15974,15116,14524,14548,14267,14256,14058,14098,13879,13672,14101,14303,14830,16105,15831,16013,16471,17007,17243,17442,17532,17733,17657,17812,17719,18158,18975,18774,17422,17419,18283,18755,19722,19920,19705,20141,20080,19417,19524,19421,19713,19976,20342,20516,21646,20609,20883,21649,21750,22128,22923,23644,23810,24121
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10109,10268,10318,10670,10529,10642,10747,10642,10737,10885,11134,10917,11314,11477,11224,11534,11422,10982,11277,11079,11133,10922,10988,10407,10431,10381,10951,10880,10541,10702,10628,10504,10811,10869,11168,11149,11514,10895,11450,11520,11772,11616,11560,11590,11704,11389,12058,12163,11872,11951,11689,11893,11633,11809,11546,11640,11330,11077,10806,11226,11190,10809,11021,11235,11181,11357,11511,11722,11603,11489,11786,11780,11635,11509,11589,11177,11048,10985,11074,11185,11351,11204,11374,11049,11072,11426,11295,11018,11305,11352,11409,11583,11800,12064,12047,11994,12139,11852,11721,12147,12052,12193,12362,12156,11927,12331,12346,12443,12653,13110,12716,12987,13226,13231,13445,13680,13742,13778,13974,14173,14285,14324,14497,14607,14582,14595,14600,14553,14488,14356,14553,14805,14704,14937,14943,14907,14975,15133,14956,15056,15216,15032,14820,14864,14666,14513,14207,13963,13549,13177,12921,12689,12692,12409,12454,12429,12402,12103,12510,12613,12679,12785,12699,12695,12717,12743,13030,13095,13149,12931,13438,13355,13409,13393,13716,13611,13534,13746,13520,13892,13803,13884,14067,14308,14282,14145,13995,14178,14223,14222,14450,14706,14831,14715,14792,14571
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",18053,18400,18466,18607,18626,18840,18838,18878,18856,18814,18847,18970,19189,19330,19485,19526,19719,19656,19635,20197,20323,20449,20693,20666,21027,20690,20356,20546,20836,20938,20765,20592,20675,20766,20839,20739,21028,21245,21449,21794,21592,21697,21703,21602,21479,21299,21230,20969,20924,20710,20488,20292,20325,20280,20209,20231,19893,19878,19561,19528,19388,19434,19347,19260,19247,19267,19462,19488,19713,19339,19269,19157,18725,18886,18900,18903,18597,18650,18482,18303,18299,18226,18368,18607,18985,19368,19946,19563,19943,19987,20316,20888,20728,21715,22046,22016,22303,22222,22516,22456,22408,22383,22395,22255,22068,22174,21979,21699,21972,22045,21977,22446,22700,22966,23261,23777,24067,24093,24142,24000,23814,23821,23818,23439,23498,23212,22998,22620,22495,22285,21917,22347,22509,22922,22886,23343,23372,23642,23435,23635,23709,23889,24400,23668,24270,24388,22952,22095,21404,20558,19992,19382,18704,18534,18453,17694,18151,17990,18093,17998,17888,17488,17758,17687,17778,18313,18600,18746,18723,18915,18825,19210,19152,19394,19478,19632,19341,19715,19945,20119,20441,20705,20868,20981,20925,20880,20880,21237,21735,22004,21973,22124,22044,21928,21848,21709
"45","37","    Electrical goods wholesalers","KS42160",18700,18641,18966,18665,18638,18929,18773,18879,18879,18770,18665,19006,18832,19082,19526,19840,20058,20176,20103,20329,20599,20498,20634,20908,20998,21341,21223,21070,21445,21658,22282,22303,22522,22813,23342,23887,23904,24185,24380,24398,24818,25478,26033,26286,26446,27103,27392,27403,27692,27436,27596,27732,27143,26619,25600,25126,24945,24663,23817,23221,22964,22817,22667,22586,22718,22431,22663,23205,22856,22912,22524,22245,22310,22190,22289,22509,22275,22300,22015,21931,22054,21687,21155,21648,21327,22001,22393,22711,23052,23175,23238,23347,23423,23502,23713,23810,24039,24341,24399,24283,24228,24661,25114,25010,24804,24572,24758,25033,24875,25322,25433,25820,26018,25938,26571,26684,26888,27367,27341,27251,27287,27268,27552,27465,28040,28143,28144,28155,28128,28380,28709,29099,29221,28949,29222,29514,29616,29869,29803,30327,30856,31309,30916,30030,29242,28396,27242,26685,25839,25177,24439,24254,24479,24456,24351,24905,25047,25235,25760,25663,26011,26717,27152,27793,28117,28623,28143,28594,28724,28918,28532,29236,29906,29423,29665,30133,30293,30970,31184,30981,31078,31055,30997,31043,31032,31008,30808,30792,31032,31349,31609,32647,32441,32472,32402,32571
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",10660,10692,10467,10764,10794,10779,10656,10704,10841,10788,10821,10809,10944,11261,11149,11309,11324,11424,11379,11449,11407,11473,11565,11708,11821,11735,11786,11772,11798,11797,11927,11660,11748,11801,11965,11875,11810,12016,11976,12263,12340,12531,12587,12673,12583,12694,12735,12845,12723,12635,12588,12474,12287,12348,12285,12460,12385,12261,12132,12009,12069,11887,11926,11830,11982,11970,12063,12033,12064,11907,11881,11963,11886,12258,12395,12335,12143,12029,12048,11819,11797,11839,11886,11933,11925,11932,12024,12020,12251,12312,12442,12567,12674,12787,12783,12763,12930,12954,12954,12951,12966,12983,12821,12867,12844,13009,12959,13110,13477,13308,13315,13282,13240,13375,13400,13509,13484,13442,13637,13636,13531,13461,13753,14128,14010,14003,14035,13934,14026,13954,13973,13942,13680,13508,13338,13151,13170,13011,13168,13200,13162,12968,12780,12405,12385,12084,12078,12032,11714,11553,11262,10893,10589,10502,10365,10333,10232,10191,10183,10063,10078,10108,10179,10419,10548,10609,10627,10695,11021,11129,11159,11288,11435,11555,11567,11527,11516,11693,11795,11812,11842,11914,11889,11934,11940,12230,12118,12246,12277,12342,12337,12568,12548,12634,12889,13031
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",44929,45173,45893,46658,47459,48203,46666,46689,47392,48047,48525,49473,49500,50335,50754,51125,52104,52334,53077,53625,54371,54992,54893,55705,55959,56293,56656,57237,56821,56889,57198,57101,57117,57292,57916,57773,57248,57335,57620,58111,58467,58648,58144,58973,59063,58743,59225,58922,59272,59234,59371,58810,59695,58924,58317,57552,57591,57561,56649,56322,56543,56057,55903,55418,54901,54629,55036,54534,54028,53326,53036,53287,52798,53041,52898,52933,52790,51948,51752,51480,51431,51114,51368,51039,51589,52260,51774,51894,52333,53171,53603,53986,53940,54346,54554,55033,54929,55524,56071,56323,56233,56685,56917,57704,57609,57793,58396,58422,58169,57842,58113,58490,58968,59699,59732,59947,60301,60996,60861,60360,61296,61713,60472,60403,60691,60160,60089,60059,60325,60671,60836,60935,61431,61676,61876,61984,61414,60546,61872,61910,62591,61894,61966,62404,63248,62061,61523,60770,59980,59112,57820,57047,56109,55494,54422,53422,53055,53070,52712,52951,53886,53650,54318,54942,54977,55519,55686,55743,55885,55789,57031,57115,57500,58161,58539,58370,59542,59321,59774,59925,60490,61583,62464,63691,64407,64969,65870,66972,67827,68473,69027,69323,70526,70438,71072,71032
"48","40","    Miscellaneous durable goods wholesalers","KS42190",16964,17037,17587,17026,16505,17106,17146,17526,17707,17404,17998,18524,18532,18924,18816,19013,19283,19373,19466,20043,20660,20878,20722,20599,20684,20638,21129,20851,20828,20622,20404,20427,20622,20569,20828,20625,20665,21046,21083,21247,21492,21844,22164,22076,21664,21731,21916,22204,22522,22201,22153,21997,22373,20928,20871,20529,20331,20147,20246,20090,19961,19985,19939,20042,19669,19839,19575,19760,19545,19598,19378,19451,19496,19822,19799,20190,20170,20091,20212,19996,20244,20305,20189,20449,20117,19835,20095,20224,20268,20783,21426,21596,21835,21948,21878,21695,22127,22312,22239,22117,22402,22212,22582,21750,22263,22887,22820,22630,22562,22362,22382,22235,22034,21880,21367,21212,21093,20449,20699,20906,20401,20970,21142,21308,20800,20535,20168,20090,20421,20507,20237,19979,20555,20462,20429,20395,20756,20591,20914,21085,21229,20883,21263,21234,20759,20617,19957,19576,19341,19630,19942,19180,18400,18279,18323,17632,17039,17518,17931,17872,17311,17160,16934,17057,17584,17710,17327,17399,17042,17076,16814,17164,17742,17470,17526,17465,17081,17031,16569,17222,17778,17605,17773,17543,17527,17745,18121,17483,17859,18093,17870,17770,18269,18206,18137,18041
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",106661,106376,106392,106548,106941,108325,109208,110162,110607,112105,113739,113810,113528,114702,115315,115249,116346,116643,116939,117499,118503,118242,119969,119219,119233,120556,120908,121977,120541,119654,121367,122242,122280,123529,124041,123906,125095,124705,125154,125559,125491,125263,125772,126029,126445,127819,128711,128984,127913,128581,129183,130901,132755,133807,132619,133586,134049,133271,134537,135152,135834,135155,135670,134776,135239,135732,136256,134854,134652,134148,133932,136019,135470,133821,133735,133715,133107,132726,133741,133325,133905,136250,136312,135118,134081,135188,134767,133804,133830,133931,136371,135615,134098,135826,136821,136299,138308,137904,138701,140082,139507,138697,137998,138292,139182,138056,137951,139656,139738,141048,141561,141377,142299,142826,142955,144371,143536,143645,146421,144234,142949,142998,143060,144289,144178,145362,147313,147801,149493,148676,148538,148719,147396,146698,144651,145371,144869,146174,146799,146223,144634,143740,144413,145632,146525,146829,146734,146927,146358,143256,141904,141284,139299,140199,144813,144135,143900,143661,143323,143788,144258,144647,147214,148397,150135,152754,150131,149983,149246,148369,149117,148787,150234,149214,149763,149161,146302,148758,148704,149928,149557,151224,150271,150286,150598,150159,151271,151714,151538,150448,151440,150666,151763,149983,150801,151978
"50","42","    Paper and paper products wholesalers","KS42210",7944,7995,7992,8040,8154,7985,8305,8525,8425,8415,8468,8587,8382,8591,8757,8836,8684,8669,8669,8562,8530,8388,8511,8614,8499,8419,8575,8654,8492,8453,8520,8451,8455,8476,8559,8413,8517,8342,8541,8597,8512,8391,8423,8428,8428,8634,8661,8675,8469,8525,8460,8557,8582,8342,8222,8111,8107,8156,8100,8004,7876,7738,7679,7742,7849,7808,7652,7545,7544,7518,7616,7624,7436,7542,7468,7621,7663,7586,7589,7518,7423,7476,7462,7597,7515,7534,7671,7729,7708,7913,8060,8058,8018,8056,7951,8090,8024,7998,7838,7987,8101,8146,8056,8294,8245,8208,8371,8400,8227,8291,8263,8395,8383,8220,8232,8166,8187,8101,8010,8078,8038,8007,7839,7963,7924,8009,8243,8109,8113,8162,8145,8141,8077,8062,8098,7990,7846,8003,8183,7989,7970,8056,7979,7963,7934,7754,7581,7759,7680,7578,7750,7651,7530,7521,7548,7545,7561,7478,7355,7411,7480,7475,7417,7356,7327,7431,7390,7532,7518,7379,7385,7467,7508,7501,7554,7321,7256,7448,7440,7526,7616,7424,7310,7533,7524,7659,7681,7581,7521,7601,7524,7619,7474,7361,7340,7449
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",15766,15521,15861,15611,15905,16273,16463,17063,17212,16791,17313,17414,17450,17784,17825,17788,18038,17585,17648,17784,17769,18005,18447,18676,18879,19098,19188,19942,20263,20572,20987,21339,21295,22132,22251,22502,23127,23454,23943,24206,24186,25016,25540,25572,25944,26419,26669,27629,27410,27175,28282,29231,30523,31308,30997,32260,33733,33486,34558,35470,35988,35919,36305,36177,36079,36574,36047,35711,36024,36665,36121,36971,36952,37006,37184,37545,37384,36573,37505,37482,36891,37209,37769,37110,36535,37284,37228,36186,36457,36514,37163,36855,36597,36902,37257,36763,37647,36522,36415,36279,36055,35531,34507,33709,34709,34246,33862,34613,33731,34530,35115,35077,34785,35790,35325,36559,35894,34245,35248,35365,35040,34764,34570,35295,35514,35484,34987,35378,35158,34521,34930,34902,34889,34647,34480,34250,34429,33824,35245,35760,34341,34665,34863,34325,34530,35345,34430,34581,34386,33529,33667,33613,33377,34075,33898,33937,34160,34013,33902,34015,34345,34461,34654,34573,34688,34588,34286,34769,34347,34413,35245,35201,34756,35464,35504,35419,35959,35578,35769,36110,35974,36155,36497,35724,36419,36293,36848,37344,36497,35730,36941,35684,37333,36458,36250,36245
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11645,11716,11796,11836,11912,12121,12150,12126,12100,12665,12792,12806,12955,12740,12822,12938,12908,13016,12923,13087,12983,13046,13160,13088,12784,13495,13047,12842,12642,12292,12266,12193,12023,12056,12231,12430,12644,12481,12347,12466,12554,12224,12418,12290,12459,12415,12501,12546,12777,13203,13145,13234,13305,13312,12898,12783,12801,12940,12661,12517,12768,12609,12407,12046,12089,12376,12517,12733,13085,12663,12554,12738,12669,12484,12675,12706,12500,12681,12575,12293,12008,11635,11820,11760,11498,11549,11570,11420,11529,11182,11300,11559,11800,11947,12452,11812,12101,12088,12150,12386,12368,12387,12276,12331,12341,12565,12625,12431,12296,12628,12780,12826,12924,12989,13210,13302,13433,13442,13523,13789,13924,13878,13875,13466,13822,14148,14387,14584,14403,14478,14410,14371,14527,14665,15221,14846,14768,14913,14749,14416,14948,15060,14973,15355,15224,15148,14812,14583,14318,13907,13490,13121,12920,12524,12609,12347,12468,12571,12540,12600,12749,12956,13472,13822,14529,14660,14897,14717,14860,14753,14951,14812,15358,15673,16106,16031,15718,15448,15798,16170,15910,15799,15857,15908,16151,15767,15535,15387,15346,15405,15330,15866,15722,16183,16506,16403
"53","45","    Grocery and related products wholesalers","KS42240",19172,19071,19057,18826,19091,19305,19305,19206,19167,19821,20008,20089,20164,20291,19711,20283,20571,20216,20219,20173,20002,19873,20058,19865,19924,20216,20277,20666,20463,19776,20329,20378,20557,20951,21437,21224,21040,21085,20919,20915,20794,20591,20736,20724,21044,21273,21745,21123,20926,20693,20482,20391,20047,20201,19772,19883,19523,18946,19163,19326,19382,19220,19605,19898,20527,21173,21300,21458,20819,21166,20682,20763,21161,21006,20677,20197,19717,19690,19857,19706,19869,19244,18946,19461,19155,19305,19466,19439,19381,19343,19645,19463,19038,19632,19698,19204,19578,19625,19575,19747,19800,19581,19665,20033,20229,20392,20572,20780,20773,21067,21041,21132,21006,21522,21714,21952,21956,21908,22625,22555,22551,22916,23271,23227,23723,23979,23959,23633,23590,23443,23496,23633,23646,23285,23614,23915,24094,24087,24263,24669,24658,24769,24402,24518,24469,24385,23944,24279,24008,23928,23700,23403,23805,23611,23649,23478,23191,23691,23420,23462,23936,24625,24934,24990,24649,24749,24407,24901,25273,24980,25662,25758,26285,26184,26389,26528,27017,27146,26899,27041,27151,27626,27499,27153,27983,28030,28021,27659,27900,27979,28322,28181,28541,28502,28869,29067
"54","46","    Farm product raw material wholesalers","KS42250",10866,11087,10970,11062,10930,11164,11584,11382,11310,12074,12536,11825,11876,11985,12035,11692,11787,12459,12551,12836,13514,13650,13529,13081,12958,12987,13235,13664,13539,13532,13650,14403,14550,14794,14357,14170,14459,14206,14454,14533,14633,14407,14213,14312,14397,14634,14596,14575,14400,14524,14356,14475,14806,14721,14879,14826,14633,14510,14763,14729,14632,14533,14456,13974,13709,13591,14169,13435,13128,12539,13264,13536,13388,13020,12884,12949,13084,13321,13451,13622,14038,16569,16121,15270,15594,15710,15748,15676,15156,14863,14299,14172,13813,13811,13699,13771,14229,14891,15900,16371,16170,16246,16608,16481,16228,16028,15593,15908,16135,16592,16514,16571,17210,17168,17406,17324,16531,18395,19220,17850,16927,16349,16116,15849,15888,16348,17464,18280,19488,19444,19197,18920,18651,18449,17826,17799,17668,18264,17456,17191,16700,16692,16725,16784,17037,16352,17216,17507,18295,17059,16664,16559,15681,16403,19256,18833,18425,18432,18129,17825,18011,17946,18894,19333,20129,21997,20879,20279,19719,18957,18543,18083,17941,17155,16812,16747,15539,16486,16421,16093,16041,16224,16441,16343,15895,16384,16667,16447,16494,16638,16269,15837,15808,15289,15605,15739
"55","47","    Chemical and allied products wholesalers","KS42260",6082,6228,6306,6169,6037,6434,6461,6455,6267,6267,6460,6413,6491,6428,6457,6664,6930,6609,6913,6819,6845,6776,7008,7077,7224,7368,7343,7402,7466,7388,7605,7387,7291,7225,7237,7419,7278,7339,7424,7345,7301,7293,7310,7190,6948,6879,6929,7044,6878,6781,7024,7267,7241,7265,7361,7228,7308,7349,7339,7470,7437,7600,7658,7610,7784,7704,7607,7754,7762,7730,7853,7917,7956,7795,7601,7457,7533,7517,7598,7314,7293,7206,7124,7514,6993,7217,7189,7258,7418,7434,7616,7485,7423,7429,7373,7318,7328,7450,7403,7556,7421,7421,7332,7345,7263,7278,7305,7315,7329,7208,7242,7236,7193,7249,7100,7136,7048,6869,6890,6908,7286,7367,7371,7315,7233,7456,7618,7416,7492,7250,7431,7633,7439,7492,7491,7508,7362,7205,7515,7499,7440,7409,7333,7549,7513,7674,7425,7235,7094,7126,7066,6885,6867,6650,6626,6546,6561,6629,6497,6514,6527,6712,6910,6906,6960,6774,6813,6971,6990,6907,6931,6922,7017,7063,7086,7142,7083,7111,7142,7414,7286,7399,7392,7371,7358,7323,7552,7621,7783,7862,7779,8051,7754,7847,7734,7622
"56","48","    Petroleum and petroleum products wholesalers","KS42270",11511,11609,11593,11744,12050,11735,11635,11412,11586,11613,11541,11729,11710,11575,12171,12759,13379,13244,13341,13582,14623,13987,13645,13586,14012,13961,13329,12451,11666,11753,11638,11068,11307,11284,11370,10799,10808,10528,10469,10549,10367,10519,10261,10609,10181,10171,10585,10109,10083,10575,10802,10977,11473,11592,11958,11826,11671,12146,13054,13324,13868,13802,13461,13243,12819,12274,12408,12025,12239,11644,11548,12220,11656,10796,10676,11217,11766,11908,11278,11732,11942,11985,11822,11540,11199,11447,11302,11203,11224,11391,12919,12973,12360,12424,12107,12839,12755,12480,13027,12727,12742,12177,12819,12990,12833,12277,12548,12801,13826,13625,13088,12594,13106,12699,12884,12513,13010,12990,13110,12104,11859,11959,12047,12698,12550,12488,12486,12209,12215,12040,11704,11952,11076,10878,9607,10230,9664,10167,10503,10336,10177,8944,9787,10723,11993,12366,13461,13372,12890,12616,11861,12627,12401,12579,13580,14105,13881,13493,13956,14797,14071,13760,13959,14006,14050,13941,13103,12938,12932,13330,12977,13072,13629,13098,13554,13280,12342,12742,12635,12525,12516,13188,12397,13119,13037,12527,12489,13267,13367,12713,13097,13261,13078,12565,12414,12979
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5742,5554,5390,5626,5451,5772,5727,5810,5964,5785,5802,6160,5972,6086,6444,5989,5969,6190,6060,6205,6255,6350,6620,6361,6462,6684,7071,6759,6977,6755,6877,6825,6661,6649,6611,6683,6769,6796,6732,6783,6828,6612,6617,6657,6667,6721,6756,6821,6771,6751,6661,6662,6628,6789,6660,6651,6728,6667,6505,6546,6660,6625,6819,6880,6844,6736,6759,6560,6824,6946,6999,7009,7015,6920,6992,6858,6930,6929,6995,6756,7014,7011,7240,7156,7104,7054,7024,7151,7210,7327,7311,7258,7098,7114,7242,7451,7492,7523,7457,7504,7464,7492,7359,7732,7745,7894,7926,7847,7741,7678,7989,8046,8235,8072,8047,8207,8307,8285,8422,8511,8706,8795,8732,8960,8781,8879,9174,8914,9203,9224,9172,9275,9411,9336,9326,9246,9481,9469,9551,9483,9686,9663,9643,9785,9564,9530,9746,9593,9437,9629,9346,9480,9208,9153,9202,8892,9093,9009,8897,8653,8936,8919,9172,9299,9174,9045,9130,9275,9089,9291,9433,9471,9662,9564,9476,9561,9511,9797,9649,9697,9954,9943,9913,10125,10421,10266,10606,10594,10699,10528,10475,10634,10809,10799,10959,11226
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",18894,18475,18355,18574,18558,18429,18243,18879,19412,19069,19018,19352,19037,19671,19883,19512,19679,19964,20015,19881,20012,19730,20301,20249,20244,19860,19999,20159,19200,19470,19725,20056,20144,19865,19880,19896,19981,19941,19751,19566,19626,19651,19546,19665,19566,19797,19499,19527,19245,19488,19233,19408,19594,19751,19610,19666,19140,18923,18708,18249,17965,17909,17896,17774,17911,17569,17822,17643,17362,17369,17203,17336,17168,16986,17242,16956,16540,16529,16615,16770,17308,17253,17340,17189,17708,17376,16802,16970,17152,17512,18109,17835,17877,18420,18900,19039,19105,19254,18918,19480,19353,19649,19327,19322,19535,19205,19143,19549,19539,19346,19508,19545,19420,19187,19068,19353,19272,19150,18918,19013,18832,19372,19718,20042,19307,19056,19159,19180,19260,19550,19724,19662,19851,20109,20142,20360,20637,20549,20234,19940,19968,19869,19792,19654,19461,19755,19526,19250,18956,18929,19349,18960,18727,18619,18471,18460,18757,18630,18885,18734,18570,18276,18178,18437,18737,18739,19099,18924,19152,19327,19621,19902,20094,20417,20444,20326,20281,20580,20630,21509,21290,21330,20965,20777,20229,20022,19842,19795,19735,19716,19870,20030,20075,20316,20411,20403
"59","51","Retail trade industries","KS440",335397,338649,336607,340817,342559,342365,345143,344039,346473,347980,349349,349502,350420,352910,357009,360764,358405,357422,358182,357522,359543,360615,363815,364658,368991,371190,374718,375894,376524,378200,378925,379032,380151,383000,386071,390491,389635,390479,392469,394800,398879,401771,403787,406742,407218,409866,411170,411140,410016,406560,405298,406454,407638,407268,408109,410030,410280,400470,395795,400491,404051,405208,405408,406003,409240,411757,412909,412047,415990,417970,422723,424208,425978,427791,430515,432263,431484,432558,434349,431701,436862,438110,441400,441525,442889,445273,449457,454424,455498,456848,457409,459779,459937,462272,464213,465196,466749,469254,468880,467692,467420,466088,458667,461002,464715,467111,468324,469814,470345,468143,472738,469625,473242,474794,474262,476784,478275,475619,476344,480574,478513,480242,478478,480140,480184,480857,482927,485941,484224,486529,484727,484802,483495,480548,476515,473952,472809,471827,476168,470030,467774,466594,462371,458320,451254,448131,444485,442349,435352,430541,424911,414143,415401,415184,412426,411524,411993,413105,414489,416890,417656,420845,422898,425223,427701,426357,425276,426603,426272,424079,426755,426522,425512,424418,423407,424381,423154,421515,422698,422315,425089,426973,427583,429246,432552,434930,439197,440466,439741,441299,442403,445258,449726,451047,448506,450692
"60","52","  Motor vehicle and parts dealers","KS4410",98549,99689,98891,101293,101345,100642,102254,102277,102039,103492,104648,103938,104101,105103,106563,109198,108612,104931,104288,102786,103784,104726,106193,105879,108442,110066,112226,112052,112022,112163,112725,112158,112630,114817,116237,118215,118458,117689,118598,120731,122239,124564,126739,127657,128531,129447,129822,129949,128574,125081,123406,124540,125730,125965,127448,127576,128341,118449,115987,121029,123669,125075,125921,126318,128248,130520,129955,129031,131119,133954,138042,138202,139934,140794,142450,143794,144398,145400,145935,144217,147308,147897,150565,151123,152449,153311,154845,157994,157950,158261,158431,158999,158750,160192,159836,158750,158663,160634,159564,158353,157253,154818,148605,149471,152945,156027,155995,155962,155557,154414,156267,153785,155945,156324,155504,155558,156595,153078,152687,155595,153877,153978,153370,155486,153561,154099,156852,159568,158652,159949,160313,158434,157259,155939,155198,152285,152640,152945,156705,151708,149106,147595,147032,146265,140411,137746,135755,135090,130093,126278,121226,111646,115463,114949,114144,113689,114864,116534,116151,117050,117504,120631,122167,124164,125937,125127,123822,123468,122888,121292,122024,122212,120778,119401,119420,118894,118201,117116,117936,116955,118912,120888,121979,123778,125225,127460,130723,132324,132614,133252,133843,135660,136360,136959,136639,137488
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",15526,15563,15382,15153,15520,15482,15648,15470,15598,15771,15768,15769,15755,15960,16230,16336,16224,16204,16347,16448,16528,16675,16846,16841,17024,17256,17101,17353,17346,17581,17779,17836,17913,18013,18057,18332,18170,18427,18829,18814,18969,19432,19386,19678,19326,19678,20304,20075,20131,19932,20216,20256,20016,19708,19579,19600,19504,19654,19795,19758,20228,20353,20359,20320,20651,20468,20827,20843,21275,21376,21454,21519,21672,21953,21867,22056,22070,22519,22537,22569,22830,23299,23367,23341,23325,23686,24345,24681,25054,25036,25258,25730,25684,25454,25797,26605,26452,26503,26709,26934,27481,27781,27638,27716,27530,27334,27498,27863,28024,28254,28493,28528,28701,28727,28689,28683,28692,28619,28729,28949,29268,29582,29489,29305,29218,29405,29539,29524,29765,30273,30374,30197,29754,29478,28898,29001,28465,28492,28960,28860,28938,28979,26978,26558,26379,26147,25916,25839,25516,25340,25152,25096,25145,25594,24946,24821,24921,24871,25287,25534,26131,26325,26423,26644,26923,26889,27261,27566,27510,27136,27561,27522,27379,27544,27356,27342,26908,26971,27003,27070,27141,27198,27123,27178,27370,27412,27193,27059,26916,27142,27248,27286,27289,28242,27067,26931
"62","54","  Building material and garden equipment and supplies dealers","KS4440",36455,36523,36694,36825,36964,37197,37167,37312,37722,37552,37531,37890,38036,38519,38500,38563,38067,38679,38974,39524,39529,39510,39917,40080,40344,40517,40757,40893,40942,41151,41365,41415,41407,41714,41861,42284,42325,42508,42412,42773,42816,42977,43200,43497,43566,43543,43875,43576,43749,43651,43618,43697,43927,43761,43434,43752,43749,43854,43661,43593,43825,43802,44225,44464,44302,44287,44237,44267,44633,45288,44996,45236,44704,45435,45623,45344,45261,45463,45436,45611,46436,46171,46205,46357,46243,46638,46942,47342,47710,47770,47970,47940,47707,48207,48276,48770,49731,49417,49149,48693,49116,49265,49283,49419,49990,50082,50614,51028,51281,50206,50975,50784,50661,50869,51363,51901,51438,51167,51198,51002,50589,50811,50173,51387,51158,51293,51061,50839,50188,50551,50379,50291,50350,49851,49439,49288,49109,48953,48821,48793,48553,48125,47856,46972,46505,46448,46445,46078,45844,45465,45302,45126,45039,44797,44074,44686,44470,44430,44483,44685,44952,44411,44178,44096,44237,44282,44520,44547,44755,44665,44756,44706,44442,44232,44059,44064,44257,44183,44031,43769,44140,44366,44198,44363,44494,44449,44698,44886,45031,45110,44975,45011,45454,45469,45411,45479
