"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"59","37","      Current dollars","A229RC0","1,176","1,155","1,203","1,213","1,241","1,293","1,333","1,326","1,284","1,275","1,269","1,272","1,358","1,352","1,396","1,427","1,468","1,497","1,501","1,517","1,516","1,529","1,562","1,589","1,610","1,629","1,624","1,613","1,623","1,616","1,621","1,644","1,666","1,701","1,733","1,749","1,767","1,789","1,806","1,836","1,848","1,865","1,880","1,871","1,870","1,879","1,911","1,926","1,946","1,980","1,980","1,998","2,009","2,024","2,025","2,023","2,038","2,060","2,087","2,121","2,143","2,167","2,176","2,192","2,209","2,226","2,253","2,290","2,340","2,402","2,432","2,460","2,488","2,522","2,592","2,644","2,683","2,704","2,751","2,795","2,839","2,868","2,914","2,952","3,029","3,104","3,133","3,181","3,211","3,277","3,376","3,430"
"60","38","      Chained (2005) dollars","A229RX0","8,512","8,293","8,484","8,346","8,446","8,705","8,841","8,824","8,606","8,598","8,612","8,634","9,237","9,155","9,257","9,300","9,266","9,373","9,390","9,363","9,318","9,398","9,543","9,687","9,779","9,878","9,793","9,686","9,701","9,667","9,731","9,876","9,981","10,181","10,326","10,395","10,458","10,518","10,514","10,629","10,601","10,629","10,632","10,524","10,395","10,424","10,593","10,678","10,718","10,863","10,798","10,834","10,882","10,903","10,866","10,811","10,866","10,987","11,091","11,261","11,327","11,413","11,432","11,480","11,537","11,610","11,696","11,844","12,043","12,331","12,445","12,545","12,650","12,755","13,063","13,284","13,376","13,372","13,500","13,613","13,782","13,861","13,954","14,017","14,231","14,435","14,425","14,481","14,476","14,588","14,843","14,907"
"61","39","  Population (midperiod, thousands)","B230RC0","143,156","143,803","144,462","145,135","145,761","146,341","146,973","147,659","148,298","148,891","149,529","150,211","150,852","151,385","152,039","152,724","153,336","153,947","154,655","155,389","156,033","156,644","157,324","158,043","158,648","159,234","159,963","160,713","161,389","162,044","162,792","163,585","164,266","164,926","165,674","166,481","167,190","167,869","168,654","169,497","170,218","170,915","171,684","172,463","173,116","173,781","174,535","175,340","176,045","176,727","177,481","178,268","179,694","180,335","181,094","181,915","182,634","183,337","184,103","184,894","185,553","186,203","186,926","187,680","188,299","188,906","189,631","190,362","190,954","191,560","192,256","192,938","193,467","193,994","194,647","195,279","195,763","196,277","196,877","197,481","197,967","198,455","199,012","199,572","199,995","200,452","200,997","201,538","201,955","202,419","202,986","203,584"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","40","    Disposable personal income, current dollars","A067RP1",".....","-5.3","20.1","5.3","11.5","19.5","15.0","-0.1","-10.8","-1.2","0.0","2.6","32.3","-0.3","15.5","11.3","13.6","9.9","3.2","6.2","1.4","5.0","11.1","8.8","7.1","6.3","0.6","-0.8","4.4","-0.3","3.2","7.8","7.4","10.4","9.5","5.9","5.9","6.9","5.7","9.1","4.4","5.3","5.2","-0.2","1.5","3.4","8.8","5.0","6.1","8.9","1.7","5.4","5.7","4.4","1.9","1.6","4.5","6.1","7.1","8.6","5.7","6.0","3.3","4.6","4.5","4.4","6.6","8.4","10.3","12.4","6.7","6.1","5.9","6.6","13.2","9.7","7.1","4.3","8.4","7.9","7.4","5.3","7.8","6.5","11.7","11.2","5.0","7.3","4.7","9.5","13.8","7.8"
"64","41","    Disposable personal income, chained (2005) dollars","A067RL1",".....","-8.3","11.5","-4.6","6.7","14.7","8.2","1.1","-8.0","1.2","2.4","2.9","33.2","-2.2","6.4","3.7","0.2","6.4","2.6","0.7","-0.3","5.1","8.2","8.1","5.5","5.6","-1.6","-2.5","2.3","0.2","4.6","8.2","6.1","10.0","7.7","4.7","4.2","4.0","1.7","6.5","0.7","2.7","1.9","-2.2","-3.3","2.7","8.5","5.2","3.2","7.1","-0.7","3.1","5.1","2.2","0.3","-0.2","3.7","6.2","5.6","8.1","3.8","4.6","2.2","3.3","3.4","3.9","4.6","6.8","8.2","11.3","5.3","4.7","4.5","4.5","11.5","8.4","3.8","1.0","5.1","4.7","6.1","3.3","3.9","3.0","7.2","6.8","0.8","2.7","0.7","4.1","8.4","2.9"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
