"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137"
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40230,40116,40084,40163,40380,40174,39776,40157,40102,40216,40035,40016,40234,40323,40735,40772,40593,40550,40451,40463,40959,41382,41233,41493,40925,41634,41753,41470,41385,41552,41563,41868,42654,42441,42520,42631,42479,42862,43041,43375,43653,43675,43855,43893,43567,44142,44194,44690,45643,45535,45139,44821,45080,45252,45282,45442,45710,45824,46253,46674,47056,46430,47025,47119,46859,46967,47191,47522,46837,46493,46216,45677,45337,46059,45696,46754,46546,46613,46555,46627,46349,46775,46861,47019,47333,47434
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31963,32132,32143,32272,32216,32317,32297,32324,32201,32486,32591,32485,32345,32328,32181,32194,32233,32266,32133,32328,32603,32085,32251,32645,32504,32612,32681,32546,32391,32242,32428,32354,32588,32068,31816,31681,31781,31681,31752,31777,31919,31964,32049,32050,32088,32069,32155,32051,32209,32125,32043,32012,32029,32063,31925,32052,31676,31930,32041,32042,32185,32276,32375,32401,32563,32624,32608,32608,32637,32665,32641,32565,32474,32482,32530,32257,32473,32700,32792,33069,33141,33297,33272,33359,33370,33370
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32371,32535,32398,32235,32093,32227,32021,32027,32262,32563,31735,31460,31470,31040,30809,31144,31218,31612,32074,32128,32501,32536,32583,33056,33471,33559,33712,33452,33464,33238,33392,33406,33305,33200,33579,33478,33478,33679,33689,34251,34577,34605,34585,34980,35153,35458,35757,35949,36442,36924,37060,37035,37044,37504,37530,37646,37783,37920,37598,37667,37368,37794,38380,38664,39081,39170,39117,39263,39629,39853,40385,41376,41157,41523,40855,40557,40605,40410,40283,40185,40208,40036,39848,39997,39714,39463
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64096,64190,65236,64854,65255,65315,64517,65395,64851,64770,64118,63551,63173,63184,62689,62559,63162,62815,63682,63719,63833,63875,64729,64771,64587,64378,64563,65387,64547,64549,64864,64150,65092,65787,65365,65609,65867,66234,66905,67109,67257,67779,67617,67975,68062,68194,69208,69829,70056,70270,71338,71548,71782,71726,71273,72024,72089,71526,71522,71853,71415,70925,70972,70047,70757,70894,71568,72061,72311,72995,73237,73565,74007,74446,74128,74525,74704,74745,74361,74009,74294,74742,73534,74129,74553,74630
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41933,41764,42183,41956,41997,41838,41032,41639,41485,40877,40258,39701,39006,38886,38447,38091,38043,37995,38272,38073,38017,37811,38267,38144,37878,37559,37602,38233,37475,37324,37131,36596,37019,37241,36623,36447,36596,36555,36792,36874,36925,36899,36881,36953,36650,36926,37004,37072,37088,37127,38078,37322,37168,37298,37334,37325,37256,36986,36746,36975,36322,35808,35714,35499,35442,35225,35495,35657,35962,36181,36401,36540,36729,36738,36317,36650,36575,36737,36673,36376,36658,37041,35854,36162,36180,36193
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22163,22424,23050,22896,23254,23471,23474,23747,23360,23878,23843,23830,24141,24269,24211,24433,25076,24780,25365,25597,25765,26009,26405,26568,26647,26755,26895,27090,27004,27153,27653,27472,27986,28454,28641,29051,29161,29560,29990,30111,30208,30742,30602,30882,31259,31122,32041,32583,32790,32962,33092,34020,34396,34217,33741,34483,34613,34322,34548,34651,34850,34864,34999,34303,35049,35390,35788,36112,36065,36521,36546,36732,36983,37400,37490,37560,37803,37691,37381,37319,37331,37405,37349,37633,38024,38084
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78327,78355,77608,77923,77593,77128,77468,77952,77664,77549,77093,77518,77695,77596,77489,77398,77939,78485,78726,78442,78802,77706,77260,77397,77499,77631,77927,77671,77327,77232,77967,77391,77592,77941,78699,78063,77586,77557,78027,78186,78029,78316,78319,78708,79075,79289,79759,80186,80405,80808,80309,80534,80788,80966,80704,80639,80663,80094,80511,80986,81982,81919,82338,82218,82733,83015,82325,82986,83393,83702,83718,84473,84029,84383,84238,83447,84621,84725,85262,85130,85020,85274,84633,85399,85461,85448
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
