"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"98","90","Q1ESL1 D         Elementary and secondary school lunch","Q1ESL10",4395,4392,4428,4442,4462,4455,4451,4460,4446,4451,4457,4479,4525,4542,4563,4588,4605,4616,4649,4669,4699,4705,4720,4756,4787,4805,4836,4864,4896,4945,4979,5011,5090,5121,5184,5229,5302,5375,5445,5477,5527,5625,5698,5777,5821,5829,5843,5883,5892,5856,5829,5803,5784,5807,5821,5852,5834,5832,5835,5841,5879,5890,5921,5946,5922,5931,5942,6001,6025,6046,6053,6088,6026
"99","91","Q1HSL1 D         Higher education school lunch","Q1HSL10",5446,5380,5332,5304,5255,5284,5271,5305,5364,5416,5479,5550,5616,5571,5564,5612,5740,5717,5771,5815,5882,5786,5788,5855,5903,5880,5940,5999,6008,6020,6048,6058,6138,6138,6230,6224,6378,6412,6499,6542,6624,6750,6798,6904,6980,6993,7005,7102,7126,7006,7006,7022,7157,7285,7342,7511,7377,7380,7259,7295,7383,7442,7491,7529,7446,7447,7527,7639,7688,7734,7761,7825,7742
"100","92","Q1OPM1 D         Other purchased meals","Q1OPM10",237893,239585,241731,236533,236533,241082,240195,238637,244513,238177,239677,250168,249502,253372,256600,256337,255079,260115,262940,263726,261691,263484,264025,263209,263684,265585,265495,268135,270914,270833,273727,271144,275950,280003,281181,285479,283844,285676,285847,292670,298552,299108,299404,298484,303971,298812,301658,302444,306237,307919,307626,307710,310337,314450,319606,323043,326095,326749,328453,332485,333337,338316,339051,343305,351189,348359,352011,359935,358957,358228,359534,361268,360293
"101","93","Q1MLS1 D           Meals at limited service eating places","Q1MLS10",125134,124741,125457,123041,123789,125645,124220,123513,127865,125956,127068,131976,134043,135561,136718,136349,134009,137384,139555,140937,140602,140297,140628,141223,141589,141741,140131,140006,139566,141077,140897,139388,143363,146443,148040,149749,148893,148628,148760,152642,155266,156452,156606,156101,160180,155076,158521,160281,160147,161452,162135,160794,163518,166114,168190,171956,173042,174110,174756,176600,177606,180723,180824,182361,188039,184507,187023,191255,190555,190286,191820,191303,190654
"102","94","Q1MOE1 D           Meals at other eating places","Q1MOE10",110954,112985,114413,111542,110836,113583,114175,113249,114720,110340,110712,116311,113648,115997,118084,118297,119401,121087,121795,121211,119513,121592,121761,120343,120492,122278,123818,126600,129890,128280,131332,130284,131075,132053,131611,134203,133423,135492,135570,138457,141640,141014,141200,140850,142248,142207,141540,140521,144467,144834,143877,145324,145176,146640,149702,149378,151349,150944,152007,154192,154031,155863,156488,159227,161449,162176,163319,166990,166695,166191,165889,168167,167881
"103","95","Q1MDP1 D           Meals at drinking places","Q1MDP10",1799,1862,1863,1951,1906,1853,1804,1881,1927,1870,1888,1873,1788,1796,1783,1675,1663,1635,1575,1559,1554,1578,1619,1621,1580,1549,1536,1526,1468,1476,1506,1482,1514,1507,1527,1527,1532,1553,1516,1573,1646,1641,1597,1533,1545,1528,1597,1643,1625,1633,1613,1595,1645,1695,1715,1704,1701,1686,1683,1689,1692,1717,1729,1714,1684,1673,1665,1685,1704,1749,1815,1797,1761
"104","96","Q1APM1 C       Alcohol in purchased meals","Q1APM10",39758,41068,41578,42225,40387,40666,40603,41634,42880,41349,41837,43294,40640,40768,40798,39571,39197,39010,38406,37849,37241,37317,37405,36840,36161,35693,35679,35716,35258,34845,35356,34863,35417,35804,35799,36280,36154,36533,36016,36985,38047,38029,37272,36638,37152,36812,37332,37643,38172,38166,37720,37566,37790,38730,39335,39149,39379,38882,39054,39314,39273,39703,39845,40147,40202,40058,40130,41276,41198,40980,41293,41569,41133
"105","97","Q1PIF1 C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","Q1PIF10",9011,8946,8928,8892,8861,8839,8853,8859,8849,8873,8894,8937,8921,8957,8990,9023,9041,9081,9104,9118,9138,9160,9155,9145,9155,9164,9142,9144,9174,9184,9182,9202,9240,9288,9345,9408,9437,9478,9507,9548,9592,9628,9689,9727,9776,9772,9798,9803,9792,9839,9924,10016,10111,10159,10188,10212,10236,10221,10250,10327,10429,10636,10946,11318,11815,12180,12324,12350,12050,11899,11846,11807,11644
"106","98","Q1FOO1 C       Food furnished to employees (including military)","Q1FOO10",8331,8316,8327,8298,8264,8248,8238,8241,8230,8262,8293,8341,8336,8392,8424,8459,8482,8508,8521,8543,8602,8614,8640,8632,8642,8651,8648,8655,8651,8653,8653,8676,8707,8747,8788,8825,8863,8911,8938,8998,9036,9084,9133,9172,9226,9256,9298,9285,9310,9325,9407,9515,9632,9696,9759,9816,9809,9839,9853,9922,10015,10215,10510,10895,11394,11729,11894,11916,11628,11504,11456,11406,11237
"107","99","Q1CFD1 D         Food supplied civilians","Q1CFD10",7666,7667,7687,7665,7626,7615,7613,7623,7627,7664,7696,7741,7724,7771,7796,7827,7849,7875,7888,7912,7974,7991,8024,8024,8045,8063,8070,8086,8089,8097,8105,8135,8168,8214,8255,8295,8332,8376,8398,8452,8480,8515,8554,8581,8636,8668,8707,8681,8700,8697,8744,8807,8837,8845,8889,8957,9003,9060,9083,9146,9200,9259,9293,9314,9381,9429,9504,9592,9639,9650,9754,9861,9865
"108","100","Q1MFD1 D         Food supplied military","Q1MFD10",664,649,639,633,638,633,625,618,602,598,597,600,612,621,628,632,633,632,632,630,627,623,616,608,597,588,578,568,561,555,548,542,539,533,532,530,530,534,540,545,555,568,578,590,590,588,591,603,610,628,662,708,794,850,869,858,806,778,770,776,814,955,1216,1580,2012,2298,2388,2321,1987,1852,1700,1543,1370
"109","101","Q1FFD1 C       Food produced and consumed on farms","Q1FFD10",658,619,597,590,592,586,606,609,610,604,594,591,582,564,565,564,560,572,582,575,537,547,516,516,514,515,496,492,525,532,530,527,534,541,559,588,577,569,571,551,557,545,557,556,550,516,500,520,481,514,518,498,475,459,424,393,423,382,395,404,412,419,433,423,423,452,431,436,423,398,394,402,408
"110","102","Q1TCS1 B   Clothing and shoes","Q1TCS10",191033,188053,187749,185781,187847,190807,190021,186335,194186,197332,201420,203965,203066,206883,208619,210962,215454,215011,218628,224904,224070,225669,229771,230021,232132,237833,241641,243171,242918,240831,248467,251653,258262,263204,262132,268786,278903,282261,284672,284872,291272,296384,301103,302091,300531,301755,302874,309832,315878,316998,315709,324426,323887,332151,340845,340112,349505,345599,350160,357531,363423,372319,372310,382304,386222,388002,393260,396984,405070,407467,413727,409935,410554
"111","103","Q1SHU1 C     Shoes (12)","Q1SHU10",30705,30241,30499,30082,29868,29697,29540,29089,30337,30121,30360,30505,30634,31122,31829,32297,32986,32873,33951,35167,34234,35431,35683,36144,36497,37469,37852,38012,38256,38319,38897,39281,40637,41045,41004,42439,43657,44588,44993,45523,46448,46321,47732,47603,47226,48216,48014,48998,50412,50158,50130,51405,50469,51740,53168,53111,54514,53587,53609,53990,54816,55779,54842,57057,57285,57510,59020,59312,59889,59780,60331,59668,59640
"112","104","Q1WCL1 C     Women's and children's clothing and accessories except shoes (14)","Q1WCL10",100765,99009,98561,97477,98982,101383,100513,98412,103124,105220,107204,109153,108194,110277,110480,111281,112727,112306,114449,117448,117810,117823,119783,119337,120488,123925,126048,127073,125540,123622,128497,130466,134052,136446,135932,140026,146410,147945,148859,148704,152956,156772,158644,158395,156974,158005,159141,163051,165929,166087,165026,169420,169879,173687,177828,178679,183734,181561,184441,188048,192175,197705,198020,202691,205093,205035,207260,208728,211224,214713,220583,217988,219670
"113","105","Q1WCO1 D       Clothing and sewing for females","Q1WCO10",98585,97001,96588,95381,96832,99338,98621,96434,101011,103316,105180,107199,106040,108092,108418,109318,110848,110389,112363,115148,115625,115907,117931,117430,118483,121812,123953,124839,123269,121404,126338,128117,131587,133859,133432,137673,143558,144988,145734,145469,149605,153302,155173,154956,153549,154891,156169,159932,162585,162701,161641,165915,166525,170269,174243,174849,179931,177713,180643,183990,188000,193140,193488,198118,200437,200230,202561,204127,206728,210300,215905,213272,215180
"114","106","Q1WGC1 D         Clothing for females","Q1WGC10",86941,85528,85134,83811,84935,87423,86687,84619,88495,90723,92707,94647,93464,95015,95443,96293,97597,97284,99178,102181,102808,102943,105196,104659,105541,109175,111036,111726,110258,108673,112809,114347,117342,119307,118946,123133,128298,129504,130327,129958,134002,137228,138975,138605,137136,138559,139627,142979,145233,145429,144276,148180,148704,152027,155668,156267,160612,158356,161127,164292,167840,172812,172789,176796,178982,178714,180998,182250,184114,187131,192575,190108,192177
"115","107","Q1WIC1 D         Clothing for infants","Q1WIC10",8115,7846,7810,7826,7933,7771,7769,7745,8047,7802,7901,7882,8061,8262,8315,8380,8596,8587,8660,8531,8570,8917,8858,8762,8469,8617,8940,8932,8973,8586,9199,9478,9860,9932,9866,9713,10209,10418,10220,10276,10184,10445,10768,11071,10982,10918,11009,11103,11451,11431,11411,11562,11772,11925,12154,12295,12682,12823,12903,13058,13262,13449,13824,14234,14117,14286,14333,14605,14949,15106,15496,15115,15140
"116","108","Q1WSG1 D         Sewing goods for females","Q1WSG10",3594,3682,3701,3819,4047,4189,4219,4141,4545,4829,4590,4669,4541,4859,4698,4679,4698,4559,4555,4429,4245,4083,3912,4027,4438,4026,4002,4184,4054,4141,4338,4311,4415,4642,4639,4823,5053,5072,5187,5237,5420,5628,5429,5280,5433,5413,5531,5845,5896,5840,5945,6164,6045,6307,6413,6286,6627,6532,6608,6639,6889,6878,6880,7093,7329,7229,7232,7278,7667,8060,7836,8040,7858
"117","109","Q1WUG1 D       Luggage for females","Q1WUG10",2204,2030,1994,2116,2171,2069,1920,2001,2137,1934,2052,1991,2177,2209,2093,2003,1933,1967,2123,2320,2213,1985,1939,1980,2067,2167,2163,2277,2301,2251,2221,2387,2497,2607,2531,2407,2867,2965,3126,3232,3351,3471,3472,3441,3427,3113,2974,3119,3346,3388,3388,3510,3353,3418,3586,3837,3807,3856,3799,4074,4196,4620,4580,4612,4701,4872,4741,4633,4520,4436,4701,4741,4514
"118","110","Q1MMC1 C     Men's and boys' clothing and accessories except shoes (15+16)","Q1MMC10",59447,58713,58630,58172,58904,59550,59841,58723,60547,61782,63678,64068,64051,65291,66170,67280,69730,69841,70189,72265,71980,72388,74310,74567,75161,76422,77723,78062,79143,78939,81103,81931,83585,85742,85218,86322,88839,89728,90819,90642,91863,93289,94723,96097,96351,95528,95715,97779,99521,100757,100557,103612,103585,106784,109914,108354,111291,110505,112196,115646,116572,119003,119718,122754,124079,125727,127176,129195,134398,133349,133153,132647,131600
"119","111","Q1MCL1 C       Men's and boys' clothing, sewing goods, and luggage, except military issue","Q1MCL10",59272,58543,58463,58004,58734,59370,59645,58507,60297,61511,63392,63774,63757,64998,65879,66989,69436,69549,69897,71972,71685,72095,74017,74276,74874,76134,77430,77764,78831,78621,80782,81610,83272,85433,84915,86026,88554,89445,90535,90353,91563,92981,94409,95775,96024,95199,95385,97449,99197,100419,100184,103189,103060,106200,109318,107796,110849,110159,111902,115364,116261,118664,119358,122379,123697,125343,126795,128826,134052,133008,132816,132311,131263
"120","112","Q1MCO1 D         Clothing and sewing for males","Q1MCO10",58365,57693,57611,57074,57757,58420,58749,57545,59240,60543,62344,62748,62685,63925,64880,66055,68558,68666,68946,70939,70722,71269,73238,73489,74059,75290,76613,76912,77996,77825,80016,80778,82387,84503,84013,85175,87522,88374,89404,89182,90350,91724,93152,94530,94783,94072,94311,96321,97987,99194,98959,101920,101847,104964,108021,106409,109473,108765,110527,113893,114747,117009,117715,120721,122007,123596,125088,127156,132425,131411,131119,130600,129636
"121","113","Q1MBC1 D           Clothing for males","Q1MBC10",57876,57213,57149,56618,57293,57962,58311,57137,58820,60114,61947,62346,62282,63493,64463,65638,68140,68259,68539,70544,70344,70907,72894,73133,73661,74933,76259,76538,77634,77454,79626,80390,81991,84086,83597,84742,87069,87919,88938,88712,89863,91219,92665,94056,94296,93587,93815,95796,97457,98669,98424,101365,101303,104397,107445,105845,108876,108178,109934,113297,114128,116392,117098,120083,121348,122948,124441,126504,131737,130686,130415,129876,128928
"122","114","Q1MSG1 D           Sewing goods for males","Q1MSG10",473,464,447,441,449,444,426,398,409,418,388,393,394,422,409,408,410,399,399,389,373,360,346,356,394,358,357,374,363,372,390,388,397,417,416,433,454,455,466,470,487,505,487,474,488,486,497,525,529,524,534,553,543,566,576,564,595,587,593,596,618,617,618,637,658,649,649,653,689,724,704,722,706
"123","115","Q1MUG1 D         Luggage for males","Q1MUG10",862,811,813,881,923,900,853,909,995,918,989,972,1012,1015,950,898,857,862,918,990,931,823,792,798,822,848,832,859,847,817,798,854,902,944,918,874,1038,1074,1132,1170,1214,1257,1257,1246,1241,1127,1077,1130,1212,1227,1227,1271,1214,1238,1299,1389,1379,1397,1376,1475,1519,1673,1658,1670,1703,1764,1718,1678,1637,1607,1702,1717,1635
"124","116","Q1MIC1 C       Standard clothing issued to military personnel","Q1MIC10",169,163,160,162,163,174,192,215,251,273,289,298,298,296,294,294,295,295,295,294,296,294,293,293,287,289,293,299,314,320,322,322,315,310,303,296,285,282,284,288,300,308,315,321,326,329,329,329,324,338,371,420,515,571,581,547,440,352,305,295,322,349,368,383,390,392,389,381,361,357,353,352,352
"125","117","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",159566,158737,160483,155001,154382,156701,158616,157203,159476,163212,163832,164676,164115,166084,169082,168249,170496,169496,170182,168504,172740,174206,172311,172634,175273,176665,176590,176186,177163,179758,180478,181238,184908,185533,185194,189558,193179,193540,188891,195059,191551,190163,189062,195151,196428,188372,191072,197690,195932,197617,198674,197544,197165,196750,199289,200966,200851,201778,201056,200945,201971,199480,197192,198282,198634,198992,199877,197022,198211,195928,195633,194927,194130
"126","118","Q1GAO1 B     Gasoline and oil (75)","Q1GAO10",144010,141238,142014,140108,138636,140553,141155,140788,143428,144958,147539,147909,147272,149459,151419,150513,151266,152376,151958,151031,155171,155343,153831,153511,155812,158573,158377,158812,161010,162686,163251,164145,169310,168899,169125,173796,177049,176525,172297,179218,176719,174423,172975,178505,180413,173515,176051,183051,181330,182002,183162,181230,181591,181904,183878,185240,185978,187156,186480,187023,187843,186074,184307,186101,187230,187077,188298,184769,184052,182823,183204,182143,181734
"127","119","Q1GAS1 D       Gasoline and other motor fuel","Q1GAS10",140932,138158,138880,137002,135628,137475,138006,137551,139937,141321,143755,144059,143450,145555,147438,146533,147223,148321,147922,147030,151269,151529,150089,149783,152070,154831,154696,155172,157573,159246,159782,160596,165455,164921,165126,169963,173727,173312,169188,176076,173449,171065,169603,175168,177244,170498,173072,180190,178402,179139,180331,178430,178800,179138,181112,182494,183221,184356,183581,183921,184498,182638,180891,182754,184061,184101,185413,181976,181232,180049,180420,179365,178963
"128","120","Q1LUB1 D       Lubricants","Q1LUB10",2959,2959,3012,2987,2894,2958,3024,3101,3329,3460,3595,3658,3630,3706,3776,3774,3831,3845,3826,3794,3719,3647,3581,3568,3586,3593,3541,3509,3332,3340,3368,3440,3709,3798,3809,3699,3330,3234,3124,3159,3275,3358,3372,3335,3173,3023,2992,2918,2960,2914,2892,2861,2854,2829,2834,2817,2819,2860,2964,3180,3445,3547,3535,3450,3252,3033,2922,2829,2855,2806,2816,2813,2804
"129","121","Q1FUL1 B     Fuel oil and coal (40)","Q1FUL10",15758,17644,18632,14951,15844,16266,17657,16569,16158,18482,16376,16881,16976,16731,17807,17890,19465,17246,18430,17604,17655,19094,18683,19377,19713,18219,18341,17456,16193,17127,17288,17150,15599,16651,16098,15792,16135,17062,16648,15788,14803,15744,16105,16651,16038,14875,15021,14693,14651,15638,15526,16317,15585,14895,15438,15750,14929,14673,14627,13993,14183,13500,12987,12318,11605,12095,11761,12368,14079,13052,12381,12715,12354
"130","122","Q1OIL1 D       Fuel oil","Q1OIL10",10396,11580,11478,9061,9922,10375,10565,9823,10509,11182,10340,10511,10470,10061,10804,10940,12333,10154,10875,10379,10391,11202,10893,11495,11400,10463,10562,9861,9777,10223,10519,10510,9686,10294,10148,10098,10370,10685,9972,9496,8708,9012,8885,9253,9413,8673,8468,8362,8460,9077,9293,9278,8836,8658,9140,9279,8426,8172,7737,7383,7696,7129,6851,6631,6242,6453,6105,6573,7764,7053,6508,6559,6090
"131","123","Q1LPF1 D       Liquified petroleum gas and other fuel, and farm fuel","Q1LPF10",5498,6212,7262,5979,6032,6027,7155,6797,5817,7378,6153,6477,6604,6732,7082,7040,7288,7127,7595,7263,7299,7923,7811,7932,8325,7760,7785,7582,6471,6948,6835,6716,6001,6443,6073,5847,5936,6491,6701,6318,6103,6737,7216,7392,6652,6219,6546,6329,6202,6577,6284,7036,6747,6252,6335,6505,6492,6482,6849,6577,6460,6352,6121,5657,5337,5620,5654,5778,6283,5975,5866,6169,6343
"132","124","Q1LPG1 D         Liquified petroleum gas and other fuel","Q1LPG10",5458,6171,7225,5948,5998,5991,7117,6760,5780,7340,6116,6443,6573,6702,7054,7015,7264,7105,7576,7245,7283,7909,7799,7922,8316,7752,7779,7578,6468,6947,6834,6715,6000,6442,6071,5845,5935,6490,6699,6316,6102,6736,7215,7390,6651,6218,6545,6327,6201,6576,6283,7035,6746,6251,6334,6504,6491,6481,6848,6576,6459,6351,6120,5657,5336,5619,5653,5778,6282,5974,5865,6169,6342
"133","125","Q1FFW1 D         Farm fuel","Q1FFW10",40,40,37,31,33,36,37,36,37,37,36,34,31,29,27,25,23,21,19,17,15,13,12,10,8,7,6,4,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"134","126","Q1TON1 B   Other","Q1TON10",362125,360185,361320,360303,359674,358672,358917,359828,364198,363654,365493,370837,373533,376800,381047,384723,389439,395072,400496,405825,407929,413253,415363,419983,422045,429377,435931,444436,448075,451602,460491,466379,471350,477222,484261,491753,500391,504270,505746,523991,518364,531894,537052,544123,540787,546041,551748,558398,564984,564648,566497,572172,582089,585670,598602,606462,607117,615046,623002,626891,631650,637389,641081,646245,655293,663355,669451,676511,681749,684664,690163,689945,684099
"135","127","Q1TOB1 C     Tobacco products (7)","Q1TOB10",89270,88446,86995,86106,81644,80860,80869,82113,85070,85706,85134,83845,83621,83172,82947,82990,83700,84049,84404,84743,84952,85281,85619,85958,86304,86586,86807,86947,87040,86934,86669,86235,85768,84928,83877,82662,80853,79780,79002,78539,78821,78661,78469,78219,78405,78241,77980,77616,77108,76600,76050,75472,74911,74369,73853,73369,73019,72559,72075,71575,70807,70469,70290,70245,70870,70561,70009,69218,68660,68227,67723,67146,66755
"136","128","Q1TLG1 C     Toilet articles and preparations (21)","Q1TLG10",41469,40786,41252,40993,40943,40909,40674,40734,40901,40623,40836,41497,42244,42648,43087,43930,44291,44987,45971,46500,47139,47789,48328,48480,49226,50683,51038,52699,53295,53287,54555,53862,53413,53566,54356,54804,54727,54404,53989,55369,54762,55035,55051,55215,53999,54103,53303,54002,54496,54423,53633,53295,54667,55200,57101,57382,57457,57793,58796,59304,60532,60844,60891,61939,62256,62999,63549,64018,64856,65080,66647,66997,68548
"137","129","Q1SOA1 D       Soap","Q1SOA10",4517,4478,4591,4539,4510,4580,4599,4629,4844,4774,4806,4834,4750,4746,4691,4683,4656,4624,4653,4692,4698,4673,4628,4560,4562,4551,4543,4486,4409,4370,4433,4367,4360,4400,4446,4491,4518,4518,4511,4519,4540,4608,4651,4721,4681,4801,4817,4871,4895,4896,4901,4917,5018,4995,5113,5152,5213,5208,5267,5351,5416,5472,5512,5542,5575,5708,5743,5761,5797,5762,5880,5950,6029
"138","130","Q1CSM1 D       Cosmetics and perfumes","Q1CSM10",17901,17066,16792,16308,15917,15546,15172,14866,14794,14381,14428,14569,14568,14560,14446,14446,14454,14593,14911,15067,15082,15010,15129,14964,15121,15451,15319,15546,15260,15275,15642,15269,15102,15178,15429,15473,15397,15337,15090,15318,15594,15418,15581,15698,15326,15196,14795,14856,15295,15414,15268,15162,15220,15260,15672,15689,15644,15481,15682,15776,16038,16112,16013,16143,16154,16403,16488,16499,16572,16537,16841,16837,17173
"139","131","Q1OPH1 D       Other personal hygiene goods","Q1OPH10",19657,19784,20377,20610,20945,21187,21284,21594,21625,21791,21924,22407,23201,23601,24177,25002,25370,25949,26586,26919,27521,28239,28695,29058,29634,30757,31233,32697,33635,33649,34487,34225,33952,33991,34483,34842,34812,34549,34388,35537,34628,35010,34820,34798,33993,34106,33691,34276,34306,34114,33468,33218,34430,34947,36321,36548,36606,37118,37864,38195,39100,39281,39390,40288,40564,40920,41353,41799,42537,42841,43995,44282,45425
"140","132","Q1SDH1 C     Semidurable house furnishings (33)","Q1SDH10",19710,19995,20298,20255,20524,20633,21041,20985,21832,22266,22835,23722,23404,23689,23869,24178,24538,25103,25192,26154,25863,26325,26617,27143,27259,27804,28249,29055,28861,29079,29582,30666,31171,31319,31535,32407,33318,33406,34425,35461,36333,36198,36417,36912,37174,37304,37598,37434,39418,39292,39400,41403,43311,43656,44392,46472,47952,48074,50090,50175,50556,51849,53654,55532,57497,58990,60014,62089,63940,64817,67288,67021,67165
"141","133","Q1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","Q1CLP10",46322,46159,46382,45900,45483,46110,45995,45852,47293,46924,47234,47864,48800,49517,50839,51335,52027,53114,54033,54550,54546,54540,54430,54501,54695,55786,56540,57030,57709,57773,58506,58594,58705,59087,59530,60381,61225,61693,61565,62636,62085,61700,61259,61305,61547,62173,62098,63006,63038,63238,63416,64114,65277,66137,68182,68790,69477,70377,70687,71624,72110,73209,73601,74015,74331,73778,73804,74445,75441,75566,76492,76598,76032
"142","134","Q1CLE1 D       Cleaning preparations","Q1CLE10",23650,23604,23673,23222,22787,22835,22595,22401,22965,22723,22730,22945,23568,24062,24764,25266,25600,26023,26477,26712,26868,27178,27564,27756,27951,28532,28712,28967,29368,29389,29691,29782,29896,30237,30459,30603,31076,31139,31201,31714,31310,31591,31533,31669,31334,31558,31834,32128,31903,31984,31844,32248,32723,33214,34490,34671,35074,35393,35903,36723,37094,37470,37563,37419,37631,37860,37903,38392,39036,39167,39799,40291,40355
"143","135","Q1LIG1 D       Lighting supplies","Q1LIG10",5112,5012,4996,4897,4783,4916,4934,4928,5259,5250,5303,5384,5472,5511,5624,5687,5806,5970,6029,6186,6092,5920,5958,6086,6096,6249,6324,6368,6428,6455,6521,6564,6631,6685,6792,6940,7114,7216,7320,7538,7669,7483,7495,7500,7691,7856,7673,7651,7844,8014,8024,8068,8134,8423,8776,8946,9196,9634,9797,9802,10002,10270,10350,10582,11050,10725,10464,10353,10393,10316,10273,10089,9725
"144","136","Q1PAP1 D       Paper products","Q1PAP10",17562,17553,17734,17832,18002,18477,18608,18683,19232,19118,19387,19736,19940,20110,20617,20511,20747,21259,21674,21784,21707,21546,20959,20688,20675,21030,21544,21737,21952,21967,22339,22286,22207,22187,22296,22868,23054,23365,23056,23394,23110,22624,22230,22137,22523,22762,22592,23224,23293,23244,23551,23800,24421,24505,24923,25179,25218,25368,25024,25151,25085,25536,25750,26068,25737,25301,25526,25785,26103,26172,26512,26340,26088
"145","137","Q1DRG1 C     Drug preparations and sundries (45)","Q1DRG10",89023,89411,90859,91025,91467,91806,91479,91911,92455,92064,92075,92496,93905,94618,95354,96727,97173,98417,99763,101429,102919,104981,106370,108163,109447,111676,113647,116168,117872,120435,124396,128499,132301,136177,139833,144120,149081,152434,152005,163581,156840,169222,172876,178709,176693,180437,187729,192045,195152,193528,195132,198056,203537,204931,210608,215267,212211,217806,220805,222346,223260,224042,223930,224013,225570,231092,233709,238510,238735,239010,238801,237666,231313
"146","138","Q1RXD1 D       Prescription drugs","Q1RXD10",58135,58896,60157,60824,61003,61332,61568,62367,63380,63554,63652,63570,65426,66253,67105,67987,68774,69836,71045,72401,74089,75607,77145,78709,80261,82000,83891,85977,87742,90643,94262,98657,101859,105771,109150,113260,117512,120728,120488,131002,124392,136267,139341,144893,143277,146836,154155,157609,159831,157869,159921,162699,167881,169283,174065,178312,175542,180839,183404,184467,184326,184851,184380,184337,185497,190518,192425,196405,195794,195914,195121,193854,186295
"147","139","Q1NRX1 D       Nonprescription drugs","Q1NRX10",21057,20862,21038,20693,20956,21035,20673,20468,20179,19727,19691,20097,19728,19697,19551,19906,19639,19734,19953,20269,20126,20589,20453,20757,20536,20882,21006,21252,21210,21053,21346,21244,21882,21872,22052,22260,22997,23160,23058,23890,23951,24354,24938,25212,24971,25148,25106,25889,26726,27153,26779,26982,26959,26801,27384,27710,27414,27493,27804,28258,29270,29455,29800,29851,30230,30527,31152,31852,32698,32771,33285,33486,34974
"148","140","Q1MDS1 D       Medical supplies","Q1MDS10",4950,4872,4839,4771,4709,4631,4508,4381,4284,4240,4222,4241,4256,4223,4284,4349,4351,4442,4359,4387,4387,4434,4490,4456,4459,4539,4552,4660,4682,4646,4688,4656,4629,4663,4736,4712,4711,4738,4671,4806,4703,4778,4795,4798,4725,4700,4697,4709,4768,4752,4669,4593,4709,4775,4922,4928,4969,5026,5046,5064,5167,5240,5317,5321,5339,5393,5489,5550,5647,5721,5811,5791,5973
"149","141","Q1GYN1 D       Gynecological goods","Q1GYN10",3422,3417,3492,3504,3531,3546,3539,3568,3562,3558,3539,3564,3568,3555,3568,3615,3595,3604,3620,3593,3602,3624,3613,3589,3599,3662,3643,3736,3742,3687,3743,3700,3701,3714,3775,3819,3807,3778,3760,3886,3786,3828,3807,3805,3717,3729,3684,3748,3751,3730,3659,3632,3765,3821,3971,3996,4003,4059,4140,4176,4275,4295,4307,4406,4435,4474,4522,4570,4651,4685,4811,4842,4967
"150","142","Q1TOY1 C     Nondurable toys and sport supplies (89)","Q1TOY10",29008,27895,28067,28158,28992,29090,29869,30346,30364,30647,30859,31488,31544,32533,33132,33314,33974,34530,35284,36243,36217,37207,37914,38446,38115,38036,39407,40710,40175,40839,41307,41811,43431,45111,46105,47559,49890,50794,51899,53946,55023,56032,57497,57892,58815,59392,59886,62097,62181,64275,66259,68663,68158,69536,71898,73007,74723,74994,77661,79803,82384,85087,85642,87280,92511,94155,95700,96864,99931,101254,105486,106453,108306
"151","143","Q1DOL1 D       Toys, dolls, and games","Q1DOL10",18494,17769,18089,18242,19270,19409,20195,20985,20898,21293,21292,21765,21744,22598,23098,23156,23756,24194,24811,25424,25689,26517,27060,27667,27354,26995,28299,29632,29185,29772,30050,30449,31902,33076,33772,34837,36809,37383,38164,39397,40112,41150,42303,42474,43459,43710,44262,45990,45815,47552,49503,51883,51228,52176,53995,54913,56412,56178,58460,60317,62530,64839,65567,66568,70840,72433,73626,74475,77648,78602,81881,82718,84753
"152","144","Q1AMM1 D       Sport supplies, including ammo","Q1AMM10",7074,6743,6627,6577,6382,6373,6397,6140,6249,6174,6360,6480,6712,6856,6944,7106,7197,7303,7449,7796,7559,7763,7995,7945,7973,8301,8379,8379,8356,8500,8671,8824,8873,9314,9508,9745,10062,10344,10692,11289,11762,11631,11895,11884,12001,12395,12360,12816,12957,13199,13222,13305,13435,13769,14165,14299,14530,14891,15326,15620,15980,16336,16226,16784,17582,17718,17999,18161,18187,18652,19556,19656,19532
