"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.317,65.081,68.114,73.669,72.864,76.887,80.585,84.856,89.452,87.502,91.417
"77","70","      Other delivery services (by non-USPS facilities)","DODSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.358,3.724,3.714,4.273,4.928,5.213,6.048,6.585,6.631,8.863,12.422
"78","71","    Telecommunication services","DTCSRA3",1.072,1.08,1.033,0.897,0.815,0.84,0.901,0.98,1.054,1.054,1.122,1.195,1.344,1.512,1.728,1.858,2.018,2.186,2.3,2.495,2.639,2.751,3.011,3.239,3.468,3.662,4.064,4.381,4.693,4.862,5.108,5.425,5.781,6.12,6.614,7.116,7.873,8.695,9.391,10.209,11.214
"79","72","    Internet access","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","  Recreation","DRRLRA3",1.789,1.768,1.621,1.324,1.259,1.361,1.453,1.665,1.774,1.714,1.869,2.002,2.234,2.227,2.235,2.223,2.433,3.22,3.181,3.128,3.146,3.487,3.536,3.682,3.861,4.01,4.281,4.469,4.409,4.391,4.888,5.034,5.161,5.513,5.858,6.346,6.926,7.915,8.311,8.915,9.422
"81","74","    Video and audio equipment, computers, and related services","DVPIRA3",0.069,0.082,0.062,0.049,0.04,0.044,0.048,0.063,0.07,0.065,0.082,0.094,0.112,0.099,0.071,0.058,0.066,0.163,0.167,0.167,0.18,0.255,0.248,0.278,0.312,0.343,0.376,0.388,0.371,0.366,0.417,0.426,0.456,0.494,0.539,0.614,0.72,0.888,0.998,1.084,1.153
"82","75","      Video and audio equipment","DVAARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,0.568,0.608,0.665,0.739,0.874,1.073,1.384,1.578,1.713,1.805
"83","76","      Information processing equipment","DIPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004
"84","77","      Services related to video and audio goods and computers","DSVCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.751,6.285,6.723,7.073,7.433,7.689,7.975,8.532,9.177,9.959,10.898
"85","78","    Sports and recreational goods and related services","DODRRA3",1.556,1.351,1.26,1.088,0.979,1.033,1.093,1.357,1.386,1.471,1.728,1.781,2.132,1.835,1.705,1.719,1.968,3.028,3.134,3.122,3.141,3.599,3.776,3.894,4.116,4.259,4.705,5.078,5.265,5.32,5.769,5.871,6.018,6.445,6.943,7.813,8.798,10.304,10.879,11.967,12.53
"86","79","      Sports and recreational vehicles","DWHLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.593,7.64,6.979,7.765,8.874,11.178,13.287,16.419,18.107,23.663,28.144
"87","80","      Other sporting and recreational goods","DORIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.828,5.065,5.314,5.653,6.021,6.615,7.36,8.5,8.859,9.25,9.231
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.591,4.223,3.708,3.971,4.456,5.318,5.819,7.17,8.38,9.455,11.053
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRA3",16.865,16.73,16.428,13.15,12.731,13.72,14.454,15.897,16.798,15.968,16.398,17.604,18.527,20.519,22.145,21.015,22.065,25.49,23.965,23.127,22.457,21.783,21.349,21.132,20.739,20.992,21.823,22.71,20.925,20.217,21.427,22.238,22.917,23.591,24.089,24.346,24.764,25.691,25.807,27.031,27.883
"90","83","      Membership clubs and participant sports centers","DMDFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.608,21.041,22.36,22.81,22.931,22.658,22.776,23.265,23.329,22.938,22.399
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.11,16.477,17.938,19.554,21.048,22.532,22.452,24.066,25.207,27.446,30.337
"92","85","      Admissions to specified spectator amusements","DADMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.13,29.817,29.124,29.133,29.076,28.741,29.962,30.753,30.1,31.913,32.217
"93","86","        Motion picture theaters","DMOVRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.604,99.328,94.391,89.496,85.984,80.229,83.318,81.104,75.942,79.016,78.636
"94","87","        Live entertainment, excluding sports","DLIGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.795,12.944,11.755,12.031,11.764,11.738,11.116,11.521,11.815,10.816,10.301
"95","88","        Spectator sports","DSPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.503,14.214,15.794,17.655,19.31,21.134,23.362,26.107,26.774,31.362,33.129
"96","89","      Museums and libraries","DMUSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.466,12.399,13.493,14.396,15.149,15.645,15.007,15.694,15.788,16.597,18.279
"97","90","    Magazines, newspapers, books, and stationery","DNBSRA3",14.757,13.838,13.135,10.639,10.886,11.738,12.588,13.657,14.55,13.795,14.73,15.507,17.233,18.084,20.271,21.664,24.099,26.726,26.311,26.035,26.067,26.606,27.685,28.038,28.84,29.222,29.862,30.328,30.046,29.91,34.121,34.828,33.719,36.735,38.202,39.235,40.41,45.65,44.956,45.81,48.588
"98","91","    Gambling","DGAMRA3",0.705,0.68,0.618,0.476,0.478,0.773,0.918,1.063,1.256,1.214,1.246,1.595,1.642,1.594,1.697,2.383,2.659,3.279,2.962,2.584,2.449,2.509,2.732,3.09,3.303,3.237,3.367,3.588,3.679,3.755,4.088,4.384,4.647,5.256,5.627,6.24,6.476,6.713,7.042,7.345,7.67
"99","92","    Pets, pet products, and related services","DPETRA3",2.248,2.172,2.086,1.862,1.868,1.896,1.972,2.234,2.372,2.364,2.415,2.537,2.689,2.694,2.64,2.772,2.914,3.294,3.306,3.328,3.355,3.437,3.503,3.642,3.845,4.016,4.293,4.494,4.701,4.795,6.463,7.386,7.896,8.24,8.869,10.859,12.021,13.19,13.533,14.553,15.341
"100","93","    Photographic goods and services","DPHORA3",4.111,3.65,3.41,2.798,2.589,2.947,3.245,3.792,4.288,3.968,4.241,4.458,5.171,5.089,5.04,5.156,5.62,7.664,7.952,8.057,7.93,8.709,9.078,9.569,10.12,10.537,11.867,12.677,13.447,13.97,15.132,15.481,15.635,16.302,18.101,18.878,21.402,24.781,27.38,31.436,35.459
"101","94","    Package tours \14\","DXHLRA3",5.12,3.438,2.798,3.049,2.284,2.623,2.585,2.924,2.924,2.585,2.623,2.485,2.711,1.97,2.284,2.196,2.623,2.409,2.485,2.284,2.158,1.97,1.97,1.97,2.158,2.071,2.158,2.284,2.284,2.284,2.414,2.331,2.561,2.85,2.794,2.996,3.278,4.299,6.097,6.945,7.99
"102","95","  Education","DEDURA3",11.834,12.098,12.494,10.729,10.131,10.089,10.583,11.247,12.117,12.282,12.394,12.71,13.216,14.316,15.149,14.827,14.713,15.124,16.301,17.1,18.098,18.878,19.516,20.32,21.246,22.022,23.639,25.067,26.656,28.31,29.705,31.452,33.157,35.555,38.262,41.562,45.446,49.417,52.567,56.412,59.591
"103","96","    Educational books","DEBKRA3",23.755,21.026,21.143,13.318,13.949,15.29,16.956,19.09,21.954,19.658,19.919,20.693,22.269,25.331,29.635,35.443,39.45,43.106,35.956,36.154,36.407,38.586,43.394,41.476,41.9,40.27,42.503,46.042,44.394,43.385,45.439,47.295,50.312,54.534,59.895,68.391,66.731,71.06,69.154,71.471,77.538
"104","97","    Higher education","DHEDRA3",7.959,8.775,9.382,8.828,8.537,8.621,9.061,9.342,9.471,9.58,9.827,10.305,10.285,10.465,10.765,10.847,10.52,11.406,13.791,14.619,15.691,16.01,16.046,16.691,17.512,18.203,19.446,20.808,22.776,24.889,25.801,27.351,29.258,31.148,33.256,36.736,41.795,45.589,48.117,51.463,54.663
"105","98","    Nursery, elementary, and secondary schools","DNEHRA3",20.86,22.711,26.479,21.216,19.305,18.811,18.931,21.53,25.778,28.674,29.144,29.462,29.117,29.555,29.445,30.038,32.14,27.386,29.581,31.22,32.662,34.325,35.882,38.168,40.057,42.458,45.327,48.309,51.933,55.539,60.572,65.88,72.709,79.777,85.865,91.498,96.589,100.58,105.293,112.323,116.355
"106","99","    Commercial and vocational schools \15\","DVEDRA3",9.974,9.291,8.235,7.173,6.45,6.116,6.486,6.712,7.11,6.861,6.577,6.464,7.792,9.987,11.202,9.092,7.941,8.808,8.672,9.03,9.652,10.42,10.841,11.585,12.205,12.725,14.03,14.328,14.788,15.173,15.469,15.769,14.598,15.158,16.526,17.195,18.816,22.258,25.996,28.891,30.595
"107","100","  Food services and accommodations","DFSARA3",9.016,9.189,9.615,9.404,8.48,9.636,10.354,11.769,13.351,13.463,14.655,15.508,17.238,18.972,22.478,25.667,28.874,26.019,22.903,22.153,22.387,22.605,24.693,25.875,26.831,26.752,27.423,28.227,28.553,28.128,28.715,29.017,29.111,30.156,30.91,32.491,34.813,36.544,36.168,38.414,39.247
"108","101","    Food services","DFSERA3",9.6,9.828,10.364,10.2,9.137,10.377,11.147,12.707,14.485,14.619,15.968,16.893,18.82,20.829,24.71,28.268,31.827,28.501,24.722,23.99,24.316,24.558,26.89,28.195,29.243,29.111,29.827,30.668,30.941,30.489,31.059,31.277,31.33,32.342,32.995,34.658,37.058,38.862,38.229,40.578,41.411
"109","102","      Purchased meals and beverages \16\","DPMBRA3",9.203,9.438,10.024,9.882,8.774,10.006,10.757,12.31,14.06,14.225,15.58,16.456,18.049,19.179,21.517,23.501,26.667,26.546,23.598,23.018,23.359,23.614,25.387,26.55,27.663,27.636,28.463,29.36,29.64,29.228,29.943,30.216,30.196,31.201,31.905,33.618,35.972,37.522,36.752,39.267,40.177
"110","103","      Food furnished to employees (including military)","DFOORA3",24.837,24.883,24.088,23.223,23.223,25.102,26.681,29.009,32.213,31.487,33.101,35.821,47.903,72.437,114.068,155.573,170.548,88.067,60.892,55.913,55.948,55.96,72.147,77.173,77.15,74.383,72.123,71.304,71.338,69.632,65.606,64.064,66.441,67.657,66.649,66.711,70.516,80.257,83.936,80.995,79.394
"111","104","    Accommodations \17\","DACCRA3",4.563,4.401,4.171,3.766,3.695,4.231,4.563,4.959,5.194,5.16,5.311,5.645,6.021,5.891,6.747,7.311,8.021,8.668,10.803,9.75,9.236,9.285,9.634,9.945,10.259,10.571,10.951,11.5,12.204,11.962,12.682,13.584,13.975,15.295,16.829,17.871,19.722,21.002,22.582,24.177,25.069
"112","105","  Financial services and insurance","DIFSRA3",5.524,5.048,4.715,4.514,4.842,4.444,4.825,5.012,5.093,4.932,5.066,5.083,5.188,5.023,5.32,5.347,5.521,5.917,6.38,6.691,6.872,7.684,8.584,8.605,8.944,9.564,10.34,10.869,11.183,11.529,11.762,12.233,12.894,12.874,13.327,14.265,15.208,15.732,16.514,17.365,17.611
"113","106","    Financial services","DFNLRA3",4.123,3.395,2.831,2.409,2.712,2.235,2.37,2.621,2.618,2.35,2.342,2.301,2.296,2.261,2.562,2.526,2.798,3.174,3.054,3.176,3.126,3.564,3.632,3.662,3.834,4.297,4.627,4.632,4.686,5.03,5.335,5.405,5.903,5.666,5.815,6.266,6.794,7.13,7.84,8.223,8.273
"114","107","      Financial services furnished without payment","DIMPRA3",3.848,3.762,3.603,3.405,3.198,3.086,3.211,3.353,3.452,3.387,3.437,3.502,3.543,3.581,3.579,3.402,3.44,4.046,4.162,4.2,4.165,4.292,4.381,4.565,4.831,5.061,5.304,5.399,5.461,5.656,5.711,6.071,6.258,6.352,6.762,7.182,7.36,7.514,7.868,8.625,9.388
"115","108","      Financial service charges, fees, and commissions","DOFIRA3",4.462,3.033,2.099,1.537,2.126,1.486,1.614,1.917,1.843,1.457,1.413,1.305,1.269,1.185,1.708,1.79,2.277,2.442,2.069,2.283,2.217,3.03,3.077,2.923,2.993,3.879,4.405,4.26,4.312,4.958,5.716,5.334,6.416,5.638,5.468,6.021,7.112,7.768,9.139,9.041,8.055
"116","109","    Insurance","DINSRA3",10.354,10.837,11.361,11.968,12.379,12.234,13.478,13.426,13.804,14.048,14.688,14.92,15.425,14.791,15.058,15.315,15.104,15.519,18.223,19.225,20.315,22.41,26.644,26.611,27.531,28.498,30.907,33.748,35.174,35.186,34.81,36.986,37.852,39.07,40.726,43.36,45.58,46.576,46.87,49.398,50.483
"117","110","      Life insurance \18\","DLIFRA3",27.63,29.358,31.014,34.105,36.154,35.423,38.935,37.778,37.623,38.076,39.039,38.669,37.73,34.421,33.951,32.976,31.664,31.854,36.705,37.119,36.979,38.637,39.318,39.084,39.912,40.989,44.075,48.375,50.659,51.924,48.494,52.425,53.191,53.869,55.907,60.45,65.49,65.347,63.667,66.06,66.923
"118","111","      Net household insurance \19\","DFINRA3",13.823,13.955,13.926,12.363,11.42,11.8,12.378,13.604,14.335,15.139,15.73,15.913,17.141,18.807,20.896,23.563,25.806,26.02,25.909,26.633,26.075,27.657,28.914,29.592,31.278,31.599,33.443,35.191,36.373,37.168,41.682,49.199,54.186,57.703,57.244,54.495,48.146,42.832,42.756,43.521,45.063
"119","112","      Net health insurance","DHINRA3",3.178,3.179,3.346,2.976,2.567,2.611,2.855,3.079,3.47,3.6,3.946,4.264,5.2,5.72,6.402,7.043,6.97,7.136,8.82,10.004,11.886,13.819,17.258,17.415,18.341,18.405,20.205,22.094,23.781,23.475,24.382,25.367,26.2,27.716,29.012,31.045,32.592,34.176,34.318,37.226,38.938
"120","113","        Medical care and hospitalization \20\","DMINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.257,21.832,22.534,23.828,24.876,26.629,28.061,28.785,28.267,29.366,31.345
"121","114","        Income loss \21\","DIINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.91,31.784,32.79,34.642,36.192,38.748,40.875,41.881,41.161,49.008,50.447
"122","115","        Workers' compensation \22\","DPWCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.187,21.795,22.568,23.932,25.245,26.98,27.96,31.418,33.611,35.715,36.495
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRA3",4.257,4.28,4.243,4.006,4.177,4.246,4.831,5.222,5.886,6.015,6.625,7.101,7.706,7.317,7.058,7.501,8.296,9.543,11.193,12.138,12.97,15.707,25.919,25.83,26.84,29.016,31.6,34.246,34.413,33.256,34.584,36.028,36.902,38.37,40.331,41.965,42.326,44.6,47.621,50.203,50.694
"124","117","  Other goods and services","DOISRA3",12.124,11.339,10.787,9.581,9.047,9.962,10.558,11.265,12.069,12.053,12.535,13.014,14.013,14.81,16.189,16.038,16.726,18.056,17.744,18.009,18.017,18.553,18.996,19.938,20.372,20.767,21.652,22.526,23.492,24.311,26.275,26.97,28.331,29.409,30.352,31.514,33.381,35.946,37.331,38.625,38.839
"125","118","    Personal care \24\","DPCRRA3",6.591,6.19,5.895,5.172,4.319,5.141,5.445,5.828,6.166,5.974,6.338,6.608,7.177,7.623,8.415,8.775,9.227,8.904,8.488,8.415,8.581,9.165,9.19,9.886,10.515,11.23,12.027,13.017,13.824,14.316,16.541,17.496,19.137,20.548,21.27,22.53,23.999,26.234,27.628,28.654,28.349
"126","119","    Personal items \25\","DPEORA3",4.66,4.243,3.175,2.669,1.993,2.202,2.583,2.83,3.282,3.388,3.624,3.861,4.407,4.675,5.689,5.399,5.999,7.225,6.806,6.917,6.661,6.933,7.03,7.679,7.855,8.302,9.02,9.31,9.428,9.619,10.025,10.052,10.213,10.886,11.367,12.241,13.756,16.166,16.957,18.582,18.95
"127","120","    Social services and religious activities \26\","DSOCRA3",4.317,4.497,4.48,4.072,3.748,3.673,3.689,3.869,3.873,3.91,3.997,4.295,4.446,4.666,5.094,5.649,5.742,5.902,5.383,5.413,5.389,5.491,5.505,6.179,6.492,6.844,7.075,7.649,7.857,8.295,8.987,9.121,9.412,9.277,9.78,11.292,12.361,13.772,15.247,15.812,16.296
"128","121","    Professional and other services","DPRSRA3",24.731,23.702,23.998,22.108,22.45,24.724,25.458,26.466,28.47,28.308,29.223,29.92,30.737,30.674,32.224,30.861,30.14,31.231,31.015,31.523,31.908,32.096,33.574,33.017,33.655,34.208,34.929,34.787,36.659,38.203,40.236,41.166,43.218,44.89,46.98,47.842,49.7,53.331,54.364,56.37,58.142
"129","122","      Legal services","DGALRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.608,41.492,46.056,47.918,51.28,51.565,52.987,58.06,58.163,58.946,59.901
"130","123","      Accounting and other business services \27\","DPRORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.004,14.89,14.958,16.329,16.716,19.242,22.491,25.182,27.522,30.556,35.688
"131","124","      Labor organization dues","DUNSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.479,40.959,41.637,42.661,43.302,45.419,46.71,49.1,51.808,53.556,56.412
"132","125","      Professional association dues","DAXSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.167,10.334,10.404,11.411,12.111,13.584,16.991,19.58,23.515,27.478,29.94
"133","126","      Funeral and burial services","DFUNRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.84,77.126,76.631,79.031,81.361,81.1,83.233,85.73,86.141,90.58,90.655
"134","127","    Tobacco","DTOBRA3",62.377,56.593,57.073,50.672,53.288,57.166,60.555,65.251,69.284,69.826,71.567,73.655,79.972,87.248,91.775,89.58,93.378,105.59,109.597,112.986,113.323,115.02,119.014,123.376,122.123,117.53,119.027,122.568,127.347,131.425,138.331,140.348,144.699,145.166,146.329,144.17,147.954,147.954,149.284,148.224,146.258
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRA3",5.251,5.487,4.792,4.354,3.281,3.348,3.516,4.11,4.701,4.031,3.302,1.706,1.91,1.305,1.436,1.659,2.035,3.271,4.443,5.062,5.766,6.3,6.473,7.415,7.787,8.081,9.392,10.208,10.89,11.816,12.677,14.173,14.229,15.284,16.4,16.913,18.208,18.926,22.463,21.268,23.364
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRA3",2.131,1.983,1.6,1.219,1.317,1.461,1.688,1.852,2.091,2.184,2.417,1.671,1.492,1.778,2.221,2.618,2.931,4.334,4.365,3.887,4.401,4.633,5.084,5.558,6.054,6.299,7.093,7.739,8.102,8.253,7.758,8.096,8.277,8.171,8.49,9.741,10.673,11.731,11.885,12.48,13.706
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRA3",1.88,1.971,2.018,1.864,1.704,1.607,1.587,1.613,1.562,1.64,1.66,1.77,1.78,1.856,2.024,2.179,2.191,2.261,2.083,2.106,2.114,2.128,2.092,2.323,2.388,2.487,2.536,2.722,2.763,2.898,3.195,3.562,3.656,3.765,3.902,4.334,4.563,4.713,4.93,5.188,5.24
"140","133","  Gross output of nonprofit institutions \29\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.176,13.708,14.315,15.072,15.939,17.184,18.206,19.396,20.555,21.963,23.098
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.068,20.135,21.214,22.579,24.106,25.631,27.235,29.425,31.359,33.721,36.036
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
