"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"72","65","      Hospital and nursing home services","DHPNRA3",35.351,37.515,42.187,45.489,47.799,49.98,53.078,56.325,59.042,62.647,64.692,66.299,68.398,68.692,69.283,68.752,69.723,71.466,72.361,73.949,73.641,74.277,74.855,75.608,76.002,76.401,77.073,78.206,81.145,83.809,84.841,86.79,90.587,95.305,95.284,97.019,100,101.326,104.041,105.737,108.957,110.693,114.765
"73","66","        Hospitals (51)","DHSPRA3",37.439,39.58,44.353,47.899,50.184,52.631,56.047,59.668,62.495,66.244,68.581,70.141,72.552,73.165,72.73,71.351,71.995,73.371,74.471,75.246,74.26,73.759,74.144,74.483,74.558,74.814,74.891,75.796,78.684,81.407,82.946,85.277,89.806,95.237,94.719,96.727,100,101.537,104.356,106.11,109.915,111.53,115.95
"74","67","        Nursing homes (52)","DNRSRA3",25.321,27.363,31.273,33.481,35.661,36.78,38.564,40.291,42.405,45.22,46.104,47.746,48.574,47.648,52.297,55.308,57.648,60.945,60.893,66.225,69.212,75.608,77.198,80.235,82.456,83.684,87.794,90.194,93.365,95.694,94.114,94.146,94.375,95.682,98.071,98.459,100,100.281,102.477,103.888,104.243,106.572,108.931
"75","68","    Transportation services","DTRSRA3",31.052,32.138,33.498,35.422,36.011,36.212,36.7,38.534,41.256,42.251,43.527,40.947,39.423,38.565,41.471,46.334,51.189,53.416,55.607,58.818,60.141,60.078,57.224,60.119,63.523,69.544,74.787,80.916,87.02,90.642,95.648,100.102,99.18,96.471,96.826,99.231,100,99.823,100.677,95.118,86.011,85.151,87.031
"76","69","      Motor vehicle services","DMVSRA3",28.787,30.491,32.115,33.566,33.459,32.559,33.754,35.187,38.004,39.042,40.066,38.434,38.5,37.14,40.25,45.783,52.12,53.276,55.834,59.511,60.968,60.384,56.246,60.22,64.39,70.631,76.747,83.226,90.398,93.22,98.2,101.786,101.399,97.25,96.732,98.185,100,100.128,100.669,95.234,84.287,84.095,86.838
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",37.354,39.381,41.267,42.951,42.747,41.542,42.973,44.744,48.358,49.715,51.128,48.516,48.274,46.639,50.819,56.679,64.258,65.74,69.337,73.977,75.5,74.136,66.774,68.462,71.161,76.01,80.329,83.898,86.832,89.921,93.04,95.837,97.285,95.95,97.824,98.926,100,97.208,97.294,90.849,82.211,81.977,84.717
"78","71","        Other motor vehicle services (61)","DOVSRA3",9.436,10.345,11.322,12.217,12.321,12.112,12.775,13.445,14.441,14.742,14.854,15.599,16.454,15.695,16.325,21.33,24.926,25.348,25.577,27.099,28.401,29.545,32.626,41.864,49.487,58.984,69.227,82.402,99.594,101.787,111.368,116.936,111.926,100.55,93.674,96.091,100,108.54,110.428,108.048,90.276,90.209,92.947
"79","72","      Public transportation","DPUBRA3",35.39,35.132,35.917,38.803,40.864,43.462,42.354,45.042,47.481,48.35,50.171,45.559,40.897,41.029,43.491,46.946,48.732,53.233,54.58,56.73,57.748,58.815,58.823,59.254,60.9,66.354,69.474,74.708,78.179,83.68,88.71,95.244,92.977,94.216,97.053,102.144,100,98.999,100.696,94.804,90.731,88.018,87.615
"80","73","        Ground transportation (63)","DGRDRA3",88.85,87.455,87.328,88.889,90.093,93.72,91.206,91.861,92.12,89.438,89.541,81.142,74.154,71.067,70.485,71.054,71.6,67.56,66.34,71.675,73.326,76.718,79.282,80.264,82.865,85.839,87.748,85.384,86.993,93.958,98.031,100.63,102.958,101.985,97.133,99.919,100,103.174,102.02,101.763,97.807,96.158,96.787
"81","74","        Air transportation (64)","DAITRA3",19.877,19.948,21.009,24.335,26.677,28.985,28.282,31.563,34.642,36.56,38.897,35.352,31.39,32.374,35.64,39.816,41.794,49.171,51.455,52.4,53.306,53.833,53.207,53.601,54.648,60.637,63.554,71.377,75.288,80.292,85.715,93.485,88.509,90.7,97.198,103.475,100,96.507,99.595,90.318,86.024,82.288,80.931
"82","75","        Water transportation (65)","DWATRA3",0.493,0.529,0.557,0.642,0.754,0.832,0.827,0.929,1.041,1.086,1.266,1.391,1.479,1.635,3.201,6.232,10.19,13.972,15.191,17.346,16.047,12.047,7.214,4.772,9.739,19.859,32.23,44.355,52.266,55.112,59.28,70.53,80.88,84.137,93.829,100.429,100,103.462,108.024,111.834,111.575,119.313,129.384
"83","76","    Recreation services","DRCARA3",17.647,18.274,18.899,19.903,21.597,23.058,24.248,25.919,27.558,28.895,30.302,31.327,33.985,35.633,38.676,41.246,44.228,46.274,48.376,52.971,56.276,58.715,58.295,62.15,66.069,69.448,74.731,78.109,80.588,83.273,87.336,89.957,89.856,90.419,93.27,98.131,100,103.567,107.603,106.205,101.741,102.795,105.379
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",30.132,30.816,31.31,32.34,33.777,36.164,37.656,38.776,41.531,43.227,44.667,46.103,48.962,50.524,53.125,54.825,57.063,57.728,58.441,63.004,67.659,70.551,70.36,75.519,78.398,79.514,84.142,87.197,89.493,92.103,92.229,92.787,91.692,92.284,93.752,96.746,100,103.186,106.993,106.801,102.579,104.968,109.572
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",15.173,16.33,17.282,17.923,20.463,22.556,24.327,27.494,28.932,29.737,31.574,32.769,35.625,37.521,42.988,47.156,52.11,55.995,59.722,65.663,69.594,71.604,69.841,72.499,74.831,75.422,79.695,80.91,81.225,84.829,90.584,94.318,95.225,92.425,94.484,99.956,100,101.744,107.583,109.171,107.626,108.203,111.112
"86","79","      Gambling (91)","DGAMRA3",7.888,8.182,8.799,9.924,11.382,11.74,12.208,13.15,13.864,15.245,15.777,16.261,18.707,20.296,22.264,24.314,26.682,28.522,30.136,33.776,34.979,37.071,37.278,41.357,47.775,55.667,62.312,67.182,71.303,72.022,78.605,82.43,83.063,86.498,92.113,99.042,100,105.327,107.004,101.244,95.712,94.415,94.746
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",12.141,11.885,12.029,13.703,14.58,14.49,15.196,16.771,17.941,19.269,21.928,22.741,24.591,25.843,27.334,30.048,32.166,34.606,38.515,42.414,45.783,48.653,48.985,50.762,54.723,59.42,65.314,70.823,74.678,80.934,86.662,90.028,88.683,89.732,91.738,95.769,100,104.609,111.304,110.376,101.081,104.973,106.281
"88","81","    Food services and accommodations","DFSARA3",38.718,40.06,40.017,43.073,45.221,44.807,46.67,49.485,50.808,52.961,54.603,54.628,55.173,55.538,57.363,58.951,59.737,61.463,64.657,68.504,70.396,72.903,72.948,74.807,76.518,77.732,77.92,78.434,80.169,82.258,84.288,88.13,88.007,89.382,92.709,96.474,100,103.321,104.713,103.743,99.584,102.093,105.871
"89","82","      Food services","DFSERA3",40.239,41.63,41.682,44.38,46.512,45.976,47.869,50.653,51.996,54.317,55.974,56.111,56.49,57.105,58.945,60.242,60.817,62.635,65.709,69.791,71.754,74.446,74.445,75.939,78.036,79.062,79.171,79.294,80.419,82.684,84.742,88.46,89.164,90.465,93.58,97.091,100,103.031,104.316,102.718,98.229,100.127,103.558
"90","83","        Purchased meals and beverages (102)","DPMBRA3",38.86,40.443,40.689,43.516,45.701,44.922,46.718,49.413,50.88,53.14,54.737,54.812,55.131,55.738,57.801,59.26,60.011,62.065,65.395,69.552,71.532,74.29,74.308,75.834,77.957,78.981,79.065,79.184,80.337,82.65,84.738,88.525,89.218,90.529,93.659,97.204,100,102.843,104.121,102.542,97.941,100.023,103.41
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",90.738,84.956,77.792,75.618,75.741,84.166,89.617,95.624,92.448,96.961,100.782,103.163,105.688,106.601,100.422,95.853,90.112,83.373,77.143,78.525,79.891,80.137,79.463,79.789,80.955,82.019,83.067,83.327,83.416,83.908,84.872,86.007,87.117,88.042,90.597,92.814,100,110.203,111.767,109.415,109.22,104.17,109.218
"92","85","      Accommodations (104)","DACCRA3",27.117,28.084,27.219,33.535,35.932,36.612,38.314,41.618,42.832,43.566,45.162,44.208,46.184,44.508,46.267,50.158,52.549,53.62,57.739,59.924,61.328,62.536,62.914,67.342,66.375,68.888,69.617,72.742,78.484,79.424,81.275,85.893,80.565,82.413,87.132,92.536,100,105.147,107.211,110.181,108.228,114.937,121.08
"93","86","    Financial services and insurance","DIFSRA3",23.481,24.349,25.239,26.707,28.241,28.923,31.688,33.415,35.498,37.3,38.442,38.93,38.616,41.637,47.625,48.072,53.168,54.849,55.098,55.022,57.119,58.434,62.326,64.077,69.317,69.796,70.139,72.767,75.27,80.057,86.791,95.355,94.689,94.345,94.377,96.713,100,102.576,105.926,104.851,97.445,97.888,97.617
"94","87","      Financial services","DFNLRA3",13.898,14.448,15.665,16.575,17.384,17.725,20.487,21.882,23.558,24.424,24.773,24.681,24.281,27.39,35.503,35.784,41.118,43.403,43.71,41.881,43.349,44.202,46.99,48.951,54.939,57.466,59.372,65.531,69.297,75.352,84.995,95.478,94.186,94.139,92.83,97.16,100,104.664,111.42,112.514,105.567,104.007,104.154
"95","88","        Financial services furnished without payment (107)","DIMPRA3",19.435,21.853,24.013,25.765,28.156,29.173,34.63,36.671,39.905,41.453,41.422,39.837,38.845,43.781,58.199,57.702,66.461,66.919,67.346,65.162,65.93,67.081,70.016,70.507,78.404,81.066,81.804,88.687,90.862,91.733,95.498,98.607,99.297,97.347,91.929,98.934,100,100.986,108.113,111.812,104.468,103.321,104.274
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",9.312,8.197,8.612,8.829,8.328,8.057,8.408,9.274,9.606,9.885,10.601,11.824,11.91,13.467,16.441,17.275,19.732,23.276,23.473,22.007,23.892,24.466,26.934,29.901,34.116,36.387,39.085,44.362,49.202,59.419,74.264,91.992,88.607,90.621,93.85,95.241,100,108.587,114.951,113.23,106.729,104.682,103.839
"97","90","      Insurance","DINSRA3",47.878,49.526,49.102,51.962,55.385,56.977,58.674,60.914,63.725,67.984,71.375,73.682,73.787,75.608,73.387,74.231,77.792,77.39,77.397,82.965,86.503,88.872,95.196,96.198,99.119,94.871,91.775,86.987,86.903,89.093,90.076,94.999,95.466,94.601,96.937,96.016,100,99.355,97.489,93.093,85.021,88.459,87.55
"98","91","        Life insurance (110)","DLIFRA3",65.572,68.055,65.634,67.489,71.64,71.979,74.414,81.683,83.74,88.894,91.466,95.175,96.049,100.913,96.651,96.847,100.185,93.657,85.333,95.952,105.874,109.741,129.228,126.581,134.776,120.776,115.85,104.365,105.01,100.944,97.844,104.07,98.865,87.157,85.821,96.118,100,102.931,103.17,101.482,91.534,98.23,100.712
"99","92","        Net household insurance (111)","DFINRA3",56.872,61.117,62.962,69.21,78.213,98.668,105.026,100.305,108.54,128.436,138.273,135.055,128.048,122.296,118.734,122.328,121.258,120.003,129.708,138.818,138.966,131.973,125.74,114.274,106.797,107.407,101.047,102.532,92.85,105.889,106.559,106.155,105.681,96.655,89.655,98.123,100,97.188,112.256,117.575,104.344,104.657,106.539
"100","93","        Net health insurance (112)","DHINRA3",33.378,35.142,35.468,37.761,39.835,41.764,43.995,46.654,49.075,51.747,56.41,58.89,57.938,57.594,55.604,57.061,61.588,64.163,68.87,72.081,72.801,74.778,76.574,80.741,82.122,81.142,77.325,73.814,72.764,78.053,81.261,87.562,91.017,96.994,103.073,93.877,100,97.276,92.785,85.92,78.192,83.311,81.241
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.985,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.458,96.381,90.446,86.143,83.586
"102","95","    Other services","DOTSRA3",34.781,35.901,36.047,37.615,38.68,37.438,37.744,39.184,41.106,43.282,43.666,43.421,43.205,44.104,46.98,49.336,52.759,53.343,57.091,59.411,61.274,62.344,60.096,62.432,63.745,66.172,67.466,69.741,73.873,80,84.512,90.615,94.278,94.846,97.011,98.886,100,102.616,104.871,103.59,101.426,102.042,103.735
"103","96","      Communication","DCOMRA3",11.489,12.292,12.705,13.517,14.834,15.413,16.849,17.882,19.152,20.812,22.437,23.694,24.108,24.883,25.789,26.203,27.768,28.88,31.134,32.736,34.749,36.24,37.412,41.022,43.101,45.946,48.457,52.87,58.31,63.836,72.051,82.967,88.513,90.821,92.966,97.105,100,105.84,115.022,118.305,115.654,119.947,126.377
"104","97","        Telecommunication services (71)","DTCSRA3",11.098,11.927,12.442,13.268,14.713,15.506,17.141,18.501,19.895,21.78,23.541,24.822,25.387,26.214,27.115,27.333,29.152,30.26,32.655,34.647,37.093,38.851,40.635,45.049,47.362,50.283,52.89,57.511,63.64,69.376,76.711,85.908,92.289,93.308,93.946,97.407,100,105.09,106.722,108.311,103.353,105.495,112.168
"105","98","        Postal and delivery services (68)","DPSSRA3",98.252,102.123,99.236,104.015,106.167,99.424,99.713,92.669,96.132,98.471,104.014,111.123,108.728,111.855,117.677,127.189,128.214,135.399,144.781,141.731,140.479,140.654,128.739,126.713,130.301,136.956,135.261,139.64,141.612,142.723,139.255,138.316,129.256,120.051,108.866,104.342,100,97.418,97.705,91.896,84.212,77.671,71.706
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.737,5.75,9.281,11.937,17.316,32.372,54.636,59.53,70.954,83.829,93.586,100,112.147,168.001,186.006,200.739,223.281,233.482
"107","100","      Education services","DTEDRA3",60.66,64.524,67.443,69.868,72.127,69.757,71.661,73.628,74.302,77.846,78.143,78.148,77.548,76.374,77.803,78.242,79.336,79.895,81.397,84.676,88.35,90.069,89.314,89.466,88.26,88.608,89.812,92.394,94.962,97.745,100.015,103.517,105.429,103.055,102.274,100.137,100,100.687,102.247,103.382,103.583,105.996,107.688
"108","101","        Higher education (97)","DHEDRA3",57.723,62.791,67.08,70.023,72.717,71.937,71.644,72.696,74.196,74.833,77.064,79.328,81.038,82.254,82.382,81.595,81.074,81.319,81.777,82.897,85.051,86.749,87.047,86.645,85.041,85.035,85.632,87.972,90.996,94.098,97.025,101.071,103.87,102.006,102.091,100.003,100,100.451,101.337,102.527,104.414,107.26,109.219
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",104.018,106.486,110.54,115.95,115.764,111.705,112.947,110.581,108.188,122.399,120.268,118.663,112.453,103.543,105.801,106.735,107.629,105.671,106.93,107.257,113.879,115.676,112.945,112.462,109.349,108.222,107.87,107.721,105.619,103.005,102.963,102.383,102.736,100.879,100.311,100.016,100,100.575,102.063,102.173,99.399,97.251,98.732
"110","103","        Commercial and vocational schools (99)","DVEDRA3",32.793,34.432,33.679,33.124,35.521,31.505,37.441,43.39,44.38,46.211,44.553,41.732,40.601,39.99,43.17,45.701,50.316,53.395,57.512,68.308,73.317,74.98,73.047,75.45,77.4,80.453,85.418,91.743,97.603,105.068,107.467,113.495,113.992,109.227,105.089,100.758,100,101.672,105.812,107.85,104.789,110.493,111.362
"111","104","      Professional and other services (121)","DPRSRA3",54.429,56.504,57.175,58.476,60.95,61.566,60.895,63.727,66.245,70.237,68.907,68.126,68.535,67.002,65.366,67.501,72.091,74.426,76.717,82.537,85.023,86.975,85.434,87.51,87.61,87.124,85.977,87.474,88.876,91.593,93.745,94.3,96.223,96.11,99.527,99.597,100,99.721,101.102,99.885,94.093,91.946,90.514
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",52.368,51.269,48.485,49.551,49.568,46.495,45.286,45.299,47.414,47.81,45.8,43.443,41.15,38.998,44.94,45.571,48.295,51.356,54.997,61.06,63.838,66.439,61.131,66.012,67.005,69.251,72.985,75.087,78.754,83.19,87.013,91.172,90.568,92.314,94.091,98.02,100,101.156,101.07,98.729,91.808,91.201,94.418
"113","106","      Social services and religious activities (120)","DSOCRA3",16.259,16.839,18.142,19.97,20.43,19.208,19.57,21.327,22.985,25.106,27.115,28.274,29.797,31.723,33.804,36.413,40.873,44.495,48.146,49.108,53.377,54.624,55.384,58.483,61.184,63.307,65.568,66.975,68.959,72.758,77.019,81.617,87.771,91.41,94.569,97.862,100,102.804,106.768,108.752,109.843,112.439,114.051
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",66.151,63.276,61.512,62.393,62.83,58.216,54.699,57.34,60.154,61.95,61.399,59.285,57.802,55.414,57.047,63.803,64.944,67.221,67.116,68.362,73.046,74.817,69.14,71.732,74.588,80.635,86.076,86.671,91.816,100.055,99.272,101.83,96.602,92.897,94.767,99.487,100,100.637,104.033,103.696,94.003,91.459,96.935
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",20.808,23.534,23.256,25.561,25.046,22.961,22.501,23.629,24.432,25.312,24.689,24.193,25.202,28.931,33.356,49.199,54.215,49.072,61.2,63.457,64.637,67.679,62.119,65.467,69.109,73.306,73.023,76.032,83.01,93.385,96.516,107.051,101.269,94.863,91.989,98.805,100,104.358,102.516,99.352,95.656,96.849,97.341
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",14.404,15.542,16.532,17.911,20.341,21.905,23.611,26.628,26.734,28.517,30.209,33.09,36.389,33.754,30.181,40.792,40.59,46.281,49.685,57.237,66.987,74.977,78.831,86.791,90.309,91.446,96.974,102.921,105.652,103.018,105.337,109.778,98.695,94.072,89.686,96.887,100,100.314,107.87,119.075,108.593,114.165,120.539
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",8.108,8.546,9.008,9.557,9.648,9.471,9.521,10.054,10.216,10.763,11.131,11.661,12.592,14.595,16.787,19.386,20.921,23.716,25.488,29.313,33.498,40.339,45.892,55.008,59.319,64.235,67.19,71.267,66.37,72.682,77.908,83.975,90.38,98.71,103.311,102.804,100,111.066,115.829,128.888,130.565,132.04,137.017
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",26.311,27.593,29.518,31.28,32.176,32.556,33.785,35.563,36.905,38.986,40.095,41.272,42.971,44.767,46.43,48.021,49.709,52.192,54.269,57.26,59.323,62.823,65.152,68.659,70.349,71.837,72.794,74.736,75.923,79.689,82.462,85.667,89.82,95.059,96.546,98.417,100,103.223,105.918,109.222,111.092,112.614,115.612
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",37.746,39.503,42.51,45.027,46.657,47.756,50.144,52.722,55.109,58.27,59.817,61.215,62.976,63.411,63.683,63.63,65.008,66.635,68.579,70.456,70.816,72.114,72.733,73.783,74.477,74.755,75.033,76.272,79.504,82.402,84.309,86.488,89.825,93.954,94.364,97.015,100,100.744,102.797,103.147,105.067,106.592,109.037
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
