"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73"
"48","40","          Durable goods","A543RX1",1.2,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.4,1.5,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.7,1.8,1.8,1.9,2.1,2.2,2.2,2.3,2.2,2.1,2.2,2.2,2.2,2.4,2.5,2.5,2.6,2.7,2.9,3,3.2,2.9,3,2.8,2.8,2.9,3.1,3.1,3.4,3.4,3.4,3.5,3.6,3.6,3.8,3.9,4,4.1,4.2,4.1,4,3.9,3.9,3.8,3.9,3.9
"49","41","          Nondurable goods","A729RX1",12.1,11,11.6,11.4,10.3,10.1,10.3,10.5,12,12.2,12.4,12.4,13.7,13.7,13.6,13.5,9.8,9.9,9.7,9.3,10.5,10.5,11.4,12.3,13.4,16.1,14.1,14.8,14.2,15.6,14.9,14.7,14.5,16.7,17.3,17.6,17.8,17.9,16.7,19.1,21.7,17.1,19.2,21,20.7,19,18.4,17.2,16.9,17.6,18,18.7,20.2,20.1,19.7,20.6,23.5,24.6,23.3,24.2,24.6,25.4,26,25.5,24.7,23.7,23.2,23.2,23.5,24
"50","42","            Commodity Credit Corporation inventory change","B826RX1",0.3,-0.6,0,0,0,-0.2,-0.2,-0.1,0,-0.1,-0.1,0,0.1,0.2,0.3,0.1,0.1,0.3,0.2,-0.1,0.6,0.6,0.8,1.3,0.8,2.9,-0.2,-0.4,-0.2,0.6,0.1,-0.3,-0.4,0.3,-0.3,-0.2,-1.1,-0.6,-1.7,-0.4,1.4,-2.8,-0.8,0.1,-0.3,0,0,0,-0.1,-0.1,0,0,0,-0.9,0,0.3,0.2,0.1,0,0.1,-0.3,-0.2,0,0,0,0,0,0,0,-0.1
"51","43","            Other nondurable goods","B828RX1",11.8,11.6,11.7,11.4,10.4,10.3,10.5,10.6,12,12.3,12.5,12.4,13.6,13.5,13.3,13.5,9.8,9.6,9.5,9.4,9.8,9.9,10.6,11.1,12.6,13.2,14.2,15.2,14.4,15,14.8,15,14.9,16.4,17.6,17.7,18.9,18.5,18.4,19.6,20.3,19.9,19.9,20.9,21,18.9,18.4,17.2,17,17.7,18,18.7,20.2,21,19.7,20.3,23.4,24.5,23.2,24.1,24.9,25.6,26,25.6,24.7,23.7,23.3,23.3,23.5,24.1
"52","44","          Services","A544RX1",61.5,61.1,60.6,59.6,58.9,58,57.7,59.8,60.4,60.5,59.5,60.8,58.4,57.8,56.5,54.3,55.4,57.2,59.3,59.8,59.5,60.7,62,64.2,61.9,66.3,68.5,71.1,74.5,76.9,79,78.8,83,75.7,82.1,78,80.9,81.2,83.2,83.9,80.8,80.3,83,86,93,87.1,88.5,79.7,79.1,81.7,84.8,85.7,90.4,91,91.4,92.9,93.3,95.3,99.6,105.1,107.3,109.8,111.1,110,106.5,103.5,101.8,99.3,98.7,99.5
"53","45","      Less: Own-account investment \4\","W136RX1",4,3.8,4.1,3.5,3.5,3.7,3.9,3.6,4,3.7,3.4,3,3.7,4.1,3.8,2.9,2.2,3.8,3.7,3.2,2.5,2.6,2.7,2.7,3.1,3.4,3.1,2.8,2.7,2.7,2.8,2.6,2.4,2.5,2.4,2.6,2.4,2.5,2.6,2.5,2.5,2.6,2.7,2.6,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.4,2.6,2.6,2.8,2.9,2.9,2.8,2.8,2.7,2.7,2.9,3.1,2.9,2.9,2.9,2.8,2.6,2.5,2.5
"54","46","            Sales to other sectors","W137RX1",6,5.2,5.3,7.2,5.3,5.5,6.9,5.7,4.2,4,3.3,3.9,3.5,3.1,12.8,3,3.5,4.5,3.4,3.4,4.3,4.7,4.3,8.2,2.9,3.2,3.2,4.5,4.2,2.7,2.6,2.7,2.7,4.1,3.4,3.3,3,3,4.2,4.9,5.9,3.9,6.1,7.2,4.5,4.4,4.5,3.7,3.4,4.2,4,3.8,3.9,4,6.4,4.1,4.8,5.3,5.4,5.6,5.9,7.1,7.5,5,3.9,5,16.5,5.4,4.5,5.5
"55","47","State and local consumption expenditures \1\","A991RX1",976.3,981,984.9,989.9,989.5,1000.7,1004.1,1009.9,1014.8,1022.5,1031.9,1041.7,1053.8,1065.9,1077.2,1086.2,1096.7,1105.2,1114,1122,1125,1130.8,1136.1,1142.9,1154,1166.1,1178.8,1191.7,1203.3,1211.1,1215.6,1215.1,1211.4,1208.8,1205.7,1204.1,1206,1207.2,1207.2,1209.1,1210.2,1210.7,1213.7,1213.5,1214.1,1216.5,1222.3,1230,1235.5,1239.8,1240.6,1243.4,1240.7,1236.6,1237.2,1233.9,1253.2,1275.5,1285.1,1289.9,1276.4,1263.6,1252.2,1243.3,1237.3,1231,1225.8,1223.5,1221.9,1219.1
"56","48","      Gross output of general government","W138RX1",1217.4,1223.8,1229,1235.3,1235.8,1247.6,1252,1260,1269,1278.2,1289.9,1302.6,1315.9,1330.1,1343.3,1353.4,1365.2,1375.5,1386.2,1397.8,1405.2,1413.9,1423.2,1433.8,1450.5,1466.7,1481,1495.7,1507.6,1515.5,1520.1,1519.5,1515.1,1512.3,1510,1508.8,1511.8,1513.9,1514.2,1516.4,1517.5,1518.3,1521.5,1522.1,1522.9,1527,1533.8,1543,1550.1,1556.4,1559,1563.6,1559,1553.9,1554.6,1551.9,1572.6,1596.2,1606,1610.6,1596.9,1585.1,1574.4,1565.9,1560.4,1554.8,1550.4,1548.1,1547.8,1546.1
"57","49","        Value added","W139RX1",850.4,853.6,856.2,860.4,859.2,868.9,870.6,874.8,878.5,882.6,887.9,893.3,898.1,903.2,907.4,909.7,912.5,916.1,921.7,927.7,932.9,937.2,941,944.9,950.6,958,965.3,971.4,975.5,980.4,983.6,984.1,986.4,986.9,986.6,986.8,988.2,990.6,991.4,993.7,995.6,996.6,999.6,999.2,1001.2,1003.5,1008.3,1013.1,1015.1,1019,1021.3,1027.6,1030.1,1031.5,1035.8,1035.7,1036.7,1037.9,1035.7,1036.6,1033.2,1032.1,1027.7,1025.1,1021.9,1018.8,1015.6,1014.3,1014.6,1014.1
"58","50","          Compensation of general government employees","B251RX1",775.7,778,779.9,783.3,781.3,790.3,791.1,794.5,797.4,800.5,804.9,809.2,812.9,816.9,820,821.1,822.8,825.2,829.6,834.5,838.5,841.6,844.4,847.1,851.9,858.2,864.5,869.6,872.7,876.6,878.9,878.6,880.1,879.7,878.6,878,878.2,879.5,879.4,881,882.3,882.6,884.9,883.7,884.9,886.4,890.4,894.3,895.4,898.4,899.7,905.2,907.7,908.2,911.7,910.9,911.3,912,909.3,909.7,905.6,903.9,898.9,895.7,892.1,888.6,885,883.2,883,882.2
"59","51","          Consumption of general government fixed capital \2\","B986RX1",76.5,77.1,77.8,78.5,79.2,80,80.7,81.5,82.3,83.1,84,85,86,87.1,88.1,89.2,90.2,91.3,92.4,93.5,94.6,95.7,96.7,97.8,98.8,99.8,100.8,101.8,102.8,103.7,104.6,105.4,106.3,107.1,107.9,108.7,110,111,112,112.7,113.3,114,114.7,115.5,116.3,117.1,118,118.8,119.7,120.6,121.5,122.4,122.3,123.2,124,124.7,125.2,125.7,126.2,126.6,127.3,128,128.6,129.1,129.5,129.9,130.3,130.7,131.1,131.5
"60","52","        Intermediate goods and services purchased \3\","W140RX1",368.7,372,374.5,376.7,378.1,380.5,383.1,386.8,391.9,396.9,403.2,410.4,418.8,427.7,436.6,444.2,453.2,459.9,465.1,470.5,472.8,477.2,482.6,489.3,500.2,509,516,524.6,532.5,535.7,537,535.8,528.9,525.6,523.5,522,523.7,523.4,522.8,522.7,521.9,521.8,521.9,522.9,521.7,523.4,525.5,529.9,535,537.3,537.7,536,529.1,522.8,519.4,516.9,536.1,558.4,570.3,573.8,563.5,552.9,546.7,540.9,538.6,536.2,534.9,534,533.5,532.3
"61","53","          Durable goods","B989RX1",14.1,14.3,14.4,14.6,14.6,14.6,14.8,15,15.4,15.7,15.9,16.2,16.8,17.4,17.9,18.2,18.7,19,19.3,19.8,20.1,20.4,20.8,21,21.6,22.1,22.3,22.5,22.6,22.5,22.4,22.3,22.1,22.1,22.1,22,22.1,22.2,22.2,22.2,22.2,22.3,22.3,22.4,22.4,22.6,22.7,22.9,23.1,23.2,23.4,23.4,23.2,23,23,23,23.9,24.3,24.4,24.3,24,23.8,23.6,23.4,23.2,23,22.9,22.9,22.7,22.6
"62","54","          Nondurable goods","B337RX1",124.3,125.5,126.5,127.4,128,128.8,129.8,131,132.6,134.3,136.2,138.5,141.1,143.8,146.6,149.4,152.5,154.8,156.6,158.5,159.2,160.7,163,165.5,169.2,172.2,174.8,176.9,179.1,179.9,180.1,179.6,177.5,176.5,176.1,175.9,176.7,176.8,176.9,176.9,176.7,176.9,177,177.2,177.3,178,178.7,179.8,182.2,183.4,184,183.9,180.9,178.7,177.1,176.7,185.3,191.1,193.9,193.8,190.9,188.7,186.9,185.1,183.5,182.4,181.7,181.5,181.5,181
"63","55","          Services","A988RX1",230.9,232.7,234,235.1,236.1,237.5,239,241.3,244.3,247.4,251.4,256.1,261.2,266.7,272,276.7,282.1,286.2,289.1,292.3,293.4,296,298.7,302.7,309.4,314.7,318.9,325.2,330.8,333.1,334.3,333.8,329.2,326.9,325.3,324.1,324.8,324.4,323.7,323.6,323,322.7,322.6,323.4,322,322.9,324.1,327.2,329.7,330.7,330.3,328.7,324.9,321,319.5,317.2,327,342.9,351.9,355.6,348.6,340.3,336.2,332.3,331.9,330.7,330.3,329.7,329.2,328.7
"64","56","      Less: Own-account investment \4\","W144RX1",14.1,14.3,14.1,14.2,14.3,14.4,14.3,14.6,16.2,15.9,15.5,15.3,15.3,16,16.5,16.4,16.6,16.5,16.3,17.2,17.8,17.2,17.8,17.6,18.5,19.6,19.2,19.3,19.4,19.1,19,18.9,18.6,18.4,18.8,18.7,18.7,19.1,19,19,18.9,19.2,19.1,19.4,19.3,19.9,19.8,19.9,19.9,20,20,20.3,20.1,20.3,20.3,20.4,20.7,20.8,20.3,19.4,18.7,19,19.1,18.4,17.6,17.3,17.3,17.4,17.2,16.9
"65","57","            Sales to other sectors","W145RX1",227,228.5,229.9,231.2,232,232.6,233.7,235.6,237.9,239.7,242.5,245.5,246.9,248.2,249.7,250.8,251.9,253.9,255.9,258.7,262.4,265.9,269.3,273.3,278,281,283.1,284.8,284.8,285.3,285.5,285.5,285.1,285.2,285.4,285.9,287.1,287.6,287.9,288.3,288.5,288.4,288.7,289.2,289.6,290.6,291.6,293.1,294.7,296.6,298.5,300,298.2,297,297.1,297.7,298.7,299.9,300.6,301.2,301.6,302.3,303,304,305.2,306.2,306.9,306.9,308.3,309.7
"66","58","              Tuition and related educational charges","B1065X1",55.9,55.8,55.7,55.8,55.8,55.8,56,56.4,56.7,57.1,57.4,57.9,58.2,58.6,59,59.5,59.9,60.2,60.8,61.4,62,62.3,62.9,63.2,63.1,63.1,62.9,62.7,62.7,62.8,63.1,63.4,63.6,63.5,62.7,62.3,61.6,61.3,60.9,60.6,61,61,61.1,61.6,61.5,61.6,61.8,61.9,62.2,62.4,62.6,62.8,62.8,62.9,63.2,63.3,63.4,63.3,63.1,63.2,63.2,63,63.2,63.4,63.5,63.5,63.3,62.9,63.3,63.6
"67","59","              Health and hospital charges","B1066X1",111.9,112.9,113.5,113.6,112.6,112.3,112.4,112.7,113.6,114.3,115.6,117.5,118,118.3,118.8,119.3,119.3,120,120.9,122,123.4,125.4,127.2,129.9,134.1,136.6,138.3,139.4,138.7,138.3,137.4,136.4,135.6,134.9,135,135.2,135.7,135.9,135.7,135.3,133.5,132.6,131.8,131.3,131.7,131.9,132.4,133.1,134.2,135.1,136,136.8,137.1,137.6,138.7,140.1,141.1,142.1,142.8,143.2,143.6,144.1,144.7,145.7,147,147.6,148.3,148.8,149.6,150.3
"68","60","              Other sales","W146RX1",60.7,61.3,62,63,64.7,65.6,66.4,67.4,68.6,69.3,70.3,70.9,71.6,72.1,72.7,72.9,73.6,74.5,75.1,76.1,77.7,78.8,79.8,80.8,81.3,81.7,82.3,82.9,83.6,84.4,85.2,85.9,86.2,86.9,87.8,88.5,89.8,90.3,91.4,92.4,94,94.9,95.7,96.3,96.3,97,97.5,98.1,98.4,99.2,99.9,100.4,98.3,96.6,95.2,94.3,94.3,94.7,94.8,95,95.1,95.4,95.4,95.2,95.1,95.5,95.7,95.6,95.9,96.3
"69","61","Residual","W100RX1",-12.3,-13.1,-11.1,-10.1,-9.9,-9.7,-9.8,-8.4,-8.1,-6.2,-7.1,-5.9,-7.1,-5.4,-5.5,-4.6,-4.5,-3.6,-3.1,-2.1,-3.5,-3.3,-2.2,-2,-2.3,-1.7,-1.1,-0.9,-1,-0.9,-0.4,-0.6,-1,0,0.5,0.5,-0.4,0,-0.4,0.3,0.2,-0.2,0.2,-0.4,-0.5,-0.2,0,0.1,0.5,0.1,-0.2,-0.9,-1.1,-1.4,-3.1,-3,-1.9,-1.9,-2.4,-2,-2.1,-2.7,-3.7,-3.8,-1.9,-2.8,-3.1,-2.5,-1.8,-2.4
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
