"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"48","40","    Farm","B018RC1",1.8,1.4,-1.2,-1.9,1.6,0.4,-1.8,-3.5,2.5,4.2,2.3,-2.3,-0.5,2,1,-1.4,-4.2,5,2.6,2.8,-3.3,1,-0.1,-8.7,7.1,3.1,0.8,2.5,-0.5,-1.8,2,-3,-1.3,5.3,4.4,9.8,-0.6,0.4,7.2,-1.5,4.2,3.1,6.6,0.3,-0.6,-5.2,-12.5,-6.1,6.8,9.9,11.8,6.5,5.1,4.3,9,4.6,-7.3,-13,-32.4,-8.8,5.5,5.6,6.8,5,7.9,4.2,6.6,4.3,2.5,-3.5,-3.1,-1.8,-7.7,-10.7,-4,-3.3,-4.4,-12.2,-11.2,-19.7,7.2,2.9,-5.5,-4.6,1.8,-1.5,4,5.2,0,-0.7,-10.9,6.4,8,9.4,5.1,2.5,-5.6,-4.9,-12.5,-1.7,16.5,17.1,10.7,3.7,-5.8,-13.7,-20.4,-4.4,1.1,11.8,17.1,4.5,-0.5,0.8,8.3,4.7,5.6,-4.9,0.6,3.9,4,-0.3,-9.1,-5.6,-17.8,5.9,-1.1,7.5,5.6,-3,1.8,-4.2,3.3,-10.3,-2.3,-0.7,2.9,-1.4,1,-2.1,4.4,18.4,7.7,4.7,-6.5,0.3,4.4,2.3,3.7,-8.1,-6.3,-3.6,5.2,-5,-2.3,-0.8,-6.5,4,6.2,2.7,0.5,-0.5,-5,-1.6,-1.3,-4.8,-11.3,-11.8,-7.9,-8.6,-4.8,-3.1,-4.1,-4.2
"49","41","    Nonfarm","A015RC1",9.7,7.8,11.4,7.7,0.2,4.7,6.9,-0.5,9.7,6.7,7.9,2,3.7,10,12.7,8.9,14.8,13.2,7.2,22.2,15.9,16.4,5.7,29.2,-17.1,-17.1,-2.2,-2.1,15.2,24.3,18.8,13.6,16.1,14.2,26.5,14.4,26.1,23.9,17.8,30,19.6,24.3,5.5,8.3,10.5,13,-21.4,-3,31.9,1.8,32.1,18.3,-26.5,-8.5,-3.2,-44.4,-27.8,5.3,28.2,32.7,67.5,63.7,64.5,43,8.3,17.4,9.7,28.8,27.8,19.1,-3.9,-11,35.6,27.2,5,66.4,21.4,31.9,29.4,38.8,41,33.2,15.5,21.2,12.1,35.3,17.9,-16.6,-15.6,-17.3,11.7,24.7,-7.8,13.8,15.4,18.9,41.6,29,19.1,18.3,28.8,64.3,42.5,71.5,67,47.4,31.7,22.8,5.8,18.6,34,30.2,50.3,87.6,59.6,73.1,99.5,42.2,51.9,56.2,79.3,35.3,49.6,90,33.9,84.5,58.4,47,-36.2,-8.6,-31.9,-76.6,-16.7,23.5,20.6,30.7,25.8,-1.7,3.2,37.9,46.9,57.6,53.1,66.8,97.2,15.5,6.7,79.9,62.3,80.6,75.4,36,11.8,52.5,41.6,13.4,-13,-22.3,-50.3,-85.2,-167.2,-202.1,-195.4,-45.2,34.6,46.6,120.8,60.8,41.6,43.5,0.7,85.2,76.7,87.5
"50","42","Net exports of goods and services","A019RC1",0.2,1.2,1,3.3,3.4,5.4,3.8,3.2,4.4,-0.2,-0.1,-1.7,-3.5,-4.3,-2.6,-3.1,-1.4,2.5,6.4,9,6.4,-2.7,-7,0,16.5,21.6,12,13.8,4.7,-0.5,-4.1,-6.6,-21.1,-21.1,-20.6,-29.6,-38.7,-22.6,-23.8,-16.4,-18.2,-22.2,-23,-26.8,-35.8,-15.2,5.5,-6.7,-14.3,-13.5,-7.6,-14.8,-16.3,-4.4,-29.7,-29.6,-24.6,-45.4,-65.2,-71.4,-95,-104.3,-103.9,-107.8,-91.9,-115.4,-118.6,-134.9,-127.4,-129.8,-139.3,-133.6,-141,-147.3,-145.7,-145.7,-124.4,-107.2,-100.2,-108.7,-102.1,-89.5,-76.3,-83.6,-89.2,-68.4,-74.4,-78.5,-45.6,-21.6,-19.5,-21.2,-18.5,-31.1,-36.5,-45.3,-54.3,-62,-67.9,-73.4,-80.7,-91.3,-96.7,-102.3,-106.2,-110.6,-75.4,-70.6,-89.1,-93.8,-114,-88.3,-108.1,-84.7,-96.2,-116.5,-134.5,-161.8,-173.9,-177.1,-212,-250.9,-282.9,-302.5,-357.9,-364.4,-395.9,-410,-395.4,-363.8,-367,-357.8,-374.9,-418.1,-435.8,-479.9,-503.6,-504.3,-499.5,-509.1,-546.3,-606.1,-635.9,-686.5,-677.4,-690.2,-734,-789.3,-775.8,-781.4,-805.7,-714.3,-724.9,-729.7,-703.4,-694.3,-742.3,-746.1,-756.9,-593.7,-385.4,-331.6,-398.6,-439.3,-490.2,-521.1,-533.1,-502.1,-555.4,-572.5,-549.5,-594.8,-615.8,-597.8
"51","43","  Exports","B020RC1",44,53.9,53.3,56.5,56.9,60.6,60.3,61.1,63.1,63.1,65.4,60.3,68.6,67.2,71.5,76.1,84,91.9,97.6,107.6,116.7,126.7,126.6,136.6,141.4,136.8,134.1,142.5,143.6,146.6,151.8,156.1,155.4,161.9,162.3,157.8,164.6,186.2,191.3,205.4,211.7,220.9,234.3,253.7,268.5,277.4,284.7,292.5,305.5,308.4,302.3,304.7,293.2,294.7,279.6,265.3,270.7,272.5,278.2,286.6,293,302.2,305.7,308.6,305.4,303.1,295.6,304,312,314.2,320.2,335,336.7,355,371.6,391.8,418.4,438.9,452.7,465.6,484,505.8,508.2,514.5,537.6,546.4,555.7,568.8,574.7,592.3,602.2,617.1,627.3,627.9,641.4,643.2,645,654.3,651.4,671.7,681.2,706.3,737.1,758.3,780.7,797.7,830.5,838.6,847.6,859,859.7,904.3,919.1,955,974.7,968.9,963.8,947.8,936,967.9,958.7,971.2,998.8,1028.5,1052.8,1089.2,1119.1,1111.8,1097.1,1056.6,997.1,960.1,973.4,1005.9,1020.6,1012.2,1012.5,1011.6,1041.4,1098.6,1138.8,1170.8,1185.4,1225.9,1262.4,1298.5,1308.2,1351.3,1414,1456,1476,1538.2,1575.5,1619.1,1690.3,1761.8,1819.3,1922.8,1933.8,1711.1,1523.5,1525.3,1594.7,1706.3,1751.9,1814.3,1861.2,1950.4,2030.5,2092.8,2133.3,2120.3,2157.9,2187
"52","44","    Goods","A253RC1",31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.8,374.8,372.4,375.5,390.7,394.6,398.2,403.1,414.5,421.3,425.9,432.6,440.9,441.6,452.7,456.6,452.2,458.5,454.4,474.7,477.6,496.4,524,542.2,562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,673.5,680.5,703.9,730.9,749.5,777.1,810.9,799.9,788.9,749.8,704.5,681.7,679.5,706.3,715.6,699.9,709,710.6,723.5,764.2,787.1,811.3,824.1,845.4,871.6,906,907.4,939.4,985.1,1016.5,1030.6,1065.4,1105.4,1138.3,1179.3,1225.1,1279.1,1363.7,1374.5,1172.6,1012,1010.6,1073.7,1162.5,1206.1,1257.3,1288.1,1362.6,1425.8,1471.8,1498.5,1501.9,1525.8,1546
"53","45","    Services","A646RC1",12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,79.7,79.6,78.2,81.6,91.5,91.2,95.7,99.1,102.3,106.3,107.4,108.8,113.8,117.5,121,120.1,129.2,131.1,135.8,139.1,146.9,151.8,157.5,165.7,160.2,171.1,176.2,184.5,186.4,186.3,188.7,186.7,192.8,195.8,197,197,203.6,209.9,213,216.1,218.5,222.1,234.9,238.9,239.5,247,244.3,266.6,260.9,268,270,268.1,269.3,275,269.2,278.5,285.2,290.7,294.9,297.7,303.3,312.2,308.2,311.9,308.1,306.8,292.7,278.4,294,299.7,305,312.3,303.5,301,317.9,334.5,351.7,359.5,361.3,380.5,390.7,392.4,400.8,411.9,428.9,439.6,445.3,472.8,470.2,480.8,511,536.7,540.2,559.1,559.3,538.6,511.5,514.7,521.1,543.8,545.7,557,573,587.7,604.7,621,634.8,618.4,632.1,641
"54","46","  Imports","B021RC1",43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.4,444,459.4,468.6,477.7,502.3,517.3,537.5,542.7,546.1,552.8,574.3,586.2,595.4,584.4,598.2,626.8,614.8,630.1,647.3,620.3,613.9,621.7,638.3,645.8,659,677.9,688.5,699.3,716.3,719.3,745,761.8,797.6,833.8,860.6,886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.6,1222.2,1281.7,1331,1410.7,1453.6,1515,1521.8,1492.5,1420.3,1364.2,1317.9,1348.3,1424,1456.4,1492.1,1516.1,1515.9,1540.8,1607.8,1685.1,1776.9,1821.3,1912.4,1939.8,1988.7,2042.1,2140.6,2189.8,2237.4,2281.7,2252.5,2300.4,2348.9,2393.7,2456.1,2561.6,2668.9,2690.6,2304.8,1908.9,1856.9,1993.3,2145.5,2242,2335.4,2394.3,2452.5,2585.9,2665.3,2682.8,2715.1,2773.7,2784.8
"55","47","    Goods","A255RC1",30.8,39.1,38.5,38.8,39.3,40.1,41.2,42.8,43.4,47.4,49.6,45.7,55.1,54.1,57.3,61.3,66.5,70,72.1,78.8,88.8,106.4,110.6,112.3,100.9,92.3,98.8,104,113.5,121.3,128.9,134.7,147.6,153.2,153.2,156.6,170.3,175.1,179.4,184.8,192.2,204.1,216.8,238.1,259.7,248.5,234.1,252,270.2,271.8,260.5,268.8,257.6,245.8,257.2,241.5,242.5,262.8,285.9,299.6,322.5,337.9,339.9,345,325.4,344.4,340.5,362.8,357.7,365.1,374.8,382.5,389.5,409.1,422.8,437.7,441.5,445.7,451.1,470.2,482,490.7,477.4,489,510.4,495.8,506.3,519.8,497,491,500.4,514.5,523.5,537.9,553.9,564.5,575.9,590.1,592.1,612.9,627.2,662,695.7,722.3,745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,975.5,1020.8,1073.9,1120.6,1188.9,1227.6,1280.5,1289,1261.6,1184.8,1139.5,1100.9,1119.1,1192.4,1219.2,1244.7,1268,1271,1281.6,1336.4,1401.1,1483,1521.4,1601.2,1628.9,1671.7,1720,1811.4,1842.9,1884.3,1925,1887.5,1938.8,1978,2012.7,2073.5,2162.3,2261.9,2270,1891.3,1521.5,1475.1,1605.1,1748.1,1841.2,1932.6,1978.3,2035.8,2165.2,2234.9,2239.6,2277.3,2324.3,2328.2
"56","48","    Services","B656RC1",13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,81.7,78.9,84.7,86.2,88.1,93.3,94.5,99.8,101.2,100.4,101.7,104.1,104.2,104.7,107,109.1,116.4,119,123.8,127.5,123.4,122.9,121.2,123.8,122.4,121.1,124,124,123.4,126.1,127.1,132.1,134.6,135.5,138.1,138.2,141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,195.2,201.4,207.8,210.4,221.8,226,234.5,232.8,230.9,235.5,224.7,217,229.2,231.6,237.2,247.4,248.1,244.8,259.2,271.4,284,293.9,299.9,311.2,310.9,317,322.1,329.2,346.9,353.1,356.6,365,361.6,370.9,381,382.6,399.4,407,420.7,413.5,387.4,381.8,388.2,397.4,400.8,402.8,416,416.7,420.7,430.4,443.2,437.8,449.3,456.6
"57","49","Government consumption expenditures and gross investment","A822RC1",216.5,219.4,224.9,224.9,229.8,230.6,235.5,238.8,241.6,245.3,248.5,250.3,259.6,263.9,261.6,268.6,276.7,280,281.1,288.8,301.4,312,323.2,335.1,346.2,349.8,362,372.9,379.1,380.1,382.8,390,401.3,411.8,417.3,425.8,431.9,449.7,459.9,472.7,477.8,492.5,507.2,525.5,546.7,562.7,567.5,587.5,610.1,622.4,628.4,649,658.5,671.9,684.7,706.7,716.7,729.1,748.1,739.7,767.2,791.4,803.6,825.5,845.6,868.4,893.9,907.7,918.8,940.9,967.4,970.2,982.4,994.6,1002.5,1018.1,1021.9,1033,1036.9,1063.8,1070.7,1095,1112.1,1124.6,1158.6,1171.4,1183,1213.8,1228.1,1236.2,1239.2,1240.8,1258.8,1267.3,1281.7,1286,1282.6,1290.3,1296.6,1309.7,1302.9,1318.8,1349.3,1348.1,1364.6,1376.3,1378.8,1376.4,1400.7,1417.1,1422.6,1443.5,1457.4,1472.4,1477.9,1490,1482.6,1518.7,1540.4,1562.5,1585.8,1608.8,1644.6,1685.9,1695.6,1726.9,1740,1761.3,1801.1,1846.9,1850.6,1887.2,1936.6,1968.5,1996,2032.3,2073.6,2110,2127.5,2139.1,2184.5,2219,2254.4,2273.3,2316.5,2344.6,2400.1,2418.3,2474.5,2510.5,2533.3,2555.2,2604.4,2656,2698.4,2738.2,2812,2869.6,2929.8,2901.1,2894.6,2957.8,2996.4,3020,3030.9,3061.7,3072.3,3065.2,3048.1,3072.2,3067.7,3051,3054.6,3048.4
"58","50","  Federal","A823RC1",112.1,112,115.4,113.6,115,112.7,112.7,113.3,112.8,113.5,114.7,113.6,119.7,122.6,116.8,119.4,123.3,123.3,120.3,122.8,128.6,131.1,136.1,142.5,144,144.9,151.3,156,156.3,157.8,159.8,164.8,169.8,174.8,176.5,180.5,182.9,189.2,192.4,199.1,202.2,207.9,211.7,220.4,231.6,243,243.6,256.7,266.5,278.7,281.4,294.1,298.7,305.1,312.3,327,332.8,342.1,354.1,342.4,359.2,373.9,375.2,388.8,398,407.6,420.7,424.6,421.3,434.7,451.9,445.8,451.6,458.6,460.5,467.5,460.1,459,456.1,471.1,469.3,481.4,489,486.1,500.8,506,505,518.2,529.2,531.7,526,519.2,525.7,528.9,538.6,538.4,526.8,522.9,522.4,527.9,512,515,529.1,518.2,523.1,521.7,520.1,510.2,527.9,530.9,523.6,525.5,523.6,533.5,532.4,534.4,519.5,534.8,531.8,537.9,541.2,544.3,558.9,575.3,562.4,583.2,579.4,579.3,594.3,608.7,616.3,627.4,657.8,674.4,685.4,705,725.2,762.1,765.2,773.4,805.1,819.9,839.1,834.5,862,867.2,894.1,881.9,928.5,930.3,932.2,935.9,944,968.7,992.1,1000.6,1042.7,1066,1100.6,1111.2,1104.9,1135.9,1157.6,1175.9,1193.7,1225.1,1239.8,1233.8,1215.2,1234.3,1227.5,1211.2,1207.7,1210.2
"59","51","    National defense","A824RC1",88.9,88.3,90.8,89.9,90,86.6,86.7,87.1,86.1,84.4,84,83.7,87.7,89.8,84,86.3,89.2,89.2,85.9,88.1,91.7,94.9,96,99.6,100.7,100.3,106,108.7,108.7,110,111.5,114.2,117.9,121.2,121.7,122.7,125.1,129.4,131.8,135.6,138.3,143.4,146.1,153,160.5,165,167.7,178.6,184.8,193.8,197.8,208.5,213.8,222.7,228.5,238.5,241.3,248.7,252.4,260,273.9,279.4,280.2,292.7,298.2,306,318,322.5,318.4,329.3,342.3,333.2,340.7,349.3,355.4,354.5,354.4,353.8,350.8,359.9,353.9,362.1,368.7,363.7,370.9,372.5,369.5,382.5,389.2,388.5,382,372.7,372.1,375.2,382.9,377,364.7,361.9,360.1,365.3,348.5,352.6,364.6,349.5,351.7,352.1,349.3,342.1,355.4,358.9,352.6,352.4,343.9,351.9,350.2,353.4,334,347.3,352.3,350.7,351,352.9,365,375.6,360.6,376.9,372.7,374,383.7,389.7,395.6,402.8,420.3,431.9,440.4,458.2,466.4,507.2,503.1,515.1,535.9,545.6,565.4,556.2,578.5,586.1,606.1,585.5,615.5,624.1,623.3,636.6,637.6,657,674.7,679.9,706,724.7,758.4,762.1,748,772,788.5,795.5,799.3,815.5,831.6,824.5,804.9,827.7,837.8,812.8,806.4,807.3
"60","52","      Consumption expenditures","A997RC1",75.7,77.6,79.1,80.1,78.3,75.6,76.2,76,78.1,77,75.8,77.4,80.6,81.2,77.6,78.4,79.3,79.9,78.3,80.1,82,84.2,84.4,87.5,89,89.9,91.2,93.4,93.4,96,95.6,98.1,100.8,103.6,105.2,107,109.4,111.8,113.9,115.7,119.1,123.5,122.4,130.1,136,141,144.6,153.1,159.2,165,167.7,177.2,183,187,193.9,200.8,203.3,208.2,209.4,214,227,231.6,233.7,239,246.2,249,256.7,262.7,261.6,268.6,273.1,268.2,276.8,282.2,286.2,289,293.3,292.4,289.8,298.2,292.1,300.8,302.5,302.2,307.4,306.8,302.7,315,325.7,322.5,317.8,312.9,311.6,312.9,320.1,316.4,308.8,306.1,306.2,309,299,299.5,307.2,297.6,299.1,298.6,298.8,291.4,299.7,305.3,301.7,306,300.9,308.4,302.7,306,291.3,302.3,303.4,304.2,306.6,304.7,314.3,326.3,311.6,328.2,322.9,324.7,335.4,338.5,343.4,350.8,368.2,375.2,380.3,398.9,407,444.9,439.1,449.7,470.2,477.7,492.5,484.4,507.5,511.7,529.4,510.7,538.3,541.2,543.7,552.3,555.8,569,585.8,590.9,614.2,620.9,648.5,649.6,642.2,659.4,674.6,681.5,689.4,700.3,713.2,707,697.3,716.7,730.5,704,703.5,700.4
"61","53","      Gross investment","A788RC1",13.1,10.7,11.7,9.8,11.7,10.9,10.6,11.1,8,7.5,8.3,6.3,7,8.6,6.4,7.8,9.9,9.3,7.7,8,9.8,10.7,11.7,12.1,11.7,10.4,14.8,15.2,15.2,13.9,15.9,16.1,17.1,17.6,16.5,15.7,15.8,17.6,17.9,20,19.2,19.9,23.7,22.9,24.4,24,23.2,25.6,25.6,28.8,30,31.3,30.8,35.7,34.7,37.8,38,40.6,42.9,46,46.8,47.7,46.5,53.7,52,57,61.3,59.8,56.8,60.7,69.2,65,63.9,67.1,69.2,65.5,61.1,61.4,61,61.7,61.7,61.4,66.2,61.5,63.6,65.7,66.9,67.5,63.5,66.1,64.2,59.9,60.5,62.3,62.8,60.6,55.9,55.9,53.9,56.3,49.5,53.1,57.4,51.9,52.7,53.4,50.5,50.7,55.7,53.5,51,46.4,43,43.5,47.4,47.3,42.6,45,48.9,46.5,44.4,48.3,50.7,49.4,49,48.7,49.8,49.4,48.3,51.2,52.2,52,52,56.8,60.1,59.3,59.4,62.3,64,65.4,65.8,67.9,72.9,71.8,71,74.3,76.7,74.8,77.2,82.8,79.6,84.3,81.8,88,88.9,89,91.8,103.8,109.9,112.6,105.7,112.5,113.9,114,109.9,115.3,118.4,117.5,107.6,111,107.3,108.8,102.9,106.9
"62","54","    Nondefense","A825RC1",23.3,23.7,24.6,23.7,25,26.1,26,26.2,26.8,29.1,30.6,29.8,32,32.8,32.8,33.1,34.1,34,34.4,34.7,36.8,36.2,40,42.9,43.3,44.6,45.3,47.3,47.7,47.8,48.3,50.6,51.9,53.6,54.8,57.8,57.8,59.8,60.7,63.5,63.9,64.5,65.6,67.5,71.2,77.9,75.8,78.1,81.7,84.9,83.6,85.6,84.9,82.4,83.8,88.5,91.6,93.3,101.7,82.4,85.3,94.5,95.1,96.1,99.8,101.6,102.7,102.2,103,105.4,109.6,112.6,110.8,109.3,105.1,113,105.7,105.2,105.3,111.2,115.4,119.3,120.3,122.4,129.8,133.4,135.4,135.8,140,143.2,144,146.5,153.6,153.8,155.7,161.4,162.1,161,162.3,162.6,163.5,162.5,164.5,168.8,171.4,169.7,170.7,168.1,172.5,172.1,171,173.1,179.7,181.6,182.2,181,185.5,187.5,179.5,187.2,190.2,191.4,193.9,199.7,201.9,206.3,206.6,205.3,210.6,219,220.7,224.6,237.5,242.5,245,246.9,258.8,254.9,262.2,258.3,269.2,274.2,273.7,278.3,283.5,281.1,288,296.4,313,306.2,308.9,299.3,306.4,311.7,317.4,320.7,336.7,341.3,342.1,349,356.9,364,369.1,380.4,394.3,409.6,408.1,409.3,410.3,406.6,389.7,398.4,401.3,402.9
"63","55","      Consumption expenditures","A542RC1",19.6,20,21,20.2,21.4,22.3,22.2,22.2,22.8,24.9,26.3,25.5,27.5,28.2,28.3,28.6,29.2,29.2,29.5,29.8,32,30.4,34.6,36.8,36.8,38.3,39,40.5,40.7,40.5,41,43.3,44.5,45.8,46.3,49.5,48.9,50.2,50.2,53.3,54,54.4,54.8,57.4,59.7,66.1,63.4,65.9,68.9,72,70.5,72.4,72.2,69.4,71.1,75.8,77.2,79.1,86.8,67.9,70,78.7,79.5,80.1,83,85.4,85.3,85,85.5,88.3,92.5,94.4,92.4,89.6,85.6,93,87.4,86.8,86.4,92.5,96.1,99,99.8,101.5,106.9,110.5,112.9,113.8,117,118.6,119.1,119.8,126.5,127.2,129,133,132.6,132.3,134.2,135.8,138.8,138.6,139.8,142.4,144,143.3,143.8,141.5,143.8,142.8,141.7,145.3,151.2,152.9,153.4,154.6,155,156.2,148.9,156.9,158.7,158.1,161,163.6,170.4,175.2,175.6,175.4,180.4,188.4,190.3,193.5,204.5,209.6,211.6,213.7,226.1,220.9,228.3,225.1,236.2,240,239.9,244.5,249.4,247.1,251.1,256.4,272.1,267.2,269.4,259.8,267,271.4,276.2,279.6,294.4,297.8,297.7,303.9,312.3,320.1,324.1,333.5,344.8,356.7,355.1,356.6,356.9,354.3,338.5,348,352.1,353.3
"64","56","      Gross investment","A798RC1",3.7,3.7,3.6,3.5,3.5,3.7,3.8,3.9,3.9,4.1,4.4,4.3,4.5,4.6,4.5,4.5,4.9,4.8,4.9,5,4.8,5.8,5.4,6.1,6.5,6.3,6.4,6.8,6.9,7.4,7.3,7.4,7.4,7.8,8.5,8.3,8.9,9.6,10.5,10.2,9.9,10.1,10.9,10.1,11.5,11.9,12.4,12.2,12.8,12.8,13.1,13.2,12.7,12.9,12.6,12.7,14.4,14.2,14.9,14.5,15.3,15.8,15.6,16,16.8,16.3,17.4,17.2,17.5,17.1,17.1,18.3,18.4,19.7,19.6,19.9,18.3,18.4,18.9,18.7,19.3,20.3,20.5,20.9,22.9,23,22.5,22,23.1,24.6,24.9,26.8,27.1,26.6,26.7,28.4,29.5,28.7,28.1,26.8,24.7,23.8,24.7,26.4,27.4,26.3,26.9,26.6,28.7,29.3,29.3,27.8,28.6,28.7,28.7,26.4,30.5,31.2,30.6,30.3,31.5,33.3,32.9,36.1,31.4,31,31.1,29.9,30.3,30.6,30.4,31.1,33,32.9,33.4,33.1,32.7,34,33.9,33.2,33,34.3,33.8,33.7,34.1,34.1,36.8,40,40.9,39,39.4,39.5,39.4,40.3,41.2,41.1,42.3,43.5,44.4,45.1,44.6,43.8,45,46.9,49.6,52.8,53,52.8,53.5,52.3,51.2,50.4,49.2,49.6
"65","57","  State and local","A829RC1",104.4,107.4,109.5,111.3,114.9,118,122.7,125.6,128.7,131.8,133.8,136.8,139.9,141.3,144.8,149.2,153.4,156.8,160.8,165.9,172.8,181,187.1,192.6,202.2,204.9,210.7,216.9,222.8,222.3,223,225.2,231.5,237,240.8,245.3,249,260.6,267.4,273.6,275.5,284.6,295.5,305,315.1,319.8,324,330.7,343.6,343.8,347,354.8,359.9,366.8,372.4,379.7,383.9,387,394,397.3,408,417.4,428.4,436.7,447.6,460.7,473.2,483,497.5,506.2,515.5,524.4,530.9,536,542,550.6,561.8,574,580.8,592.7,601.4,613.6,623.2,638.5,657.8,665.4,678,695.6,698.9,704.5,713.2,721.5,733.1,738.4,743.1,747.7,755.8,767.4,774.2,781.9,791,803.7,820.2,829.9,841.5,854.6,858.7,866.2,872.8,886.2,898.9,918,933.7,939,945.6,955.6,963.1,983.9,1008.6,1024.6,1044.6,1064.5,1085.7,1110.6,1133.2,1143.7,1160.6,1182,1206.7,1238.2,1234.2,1259.8,1278.9,1294.1,1310.6,1327.3,1348.4,1347.8,1362.3,1365.7,1379.4,1399.2,1415.3,1438.8,1454.6,1477.3,1506,1536.4,1546.1,1580.2,1601.2,1619.4,1660.3,1687.3,1706.4,1737.6,1769.3,1803.7,1829.2,1789.9,1789.7,1821.9,1838.8,1844.1,1837.2,1836.6,1832.5,1831.4,1832.8,1837.9,1840.2,1839.7,1846.9,1838.2
