"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"25","17","Current transfer payments","A084RC1",11.1,11.1,15.2,12.2,13.3,13,14.6,14,15.3,16.1,16.5,16.1,23.7,17,13.4,13.9,13.3,13.7,13.8,13.9,12.3,13.1,14,13.2,13.5,13.5,13.6,14,14.6,15,15.9,16.7,17.1,16.7,16.7,16.7,17,17.3,17.7,18,18.6,20.1,20,21.2,22.5,24.5,24.9,24.4,26.7,26.8,26.3,27.4,26.7,28.1,27.8,29.5,31,32.8,31.6,31.7,32.4,32.9,32,33.2,34.7,34.8,33.1,34,34.9,35.5,34.3,35,36.2,37.5,39.2,38.2,39.6,41.3,41.1,45.1,48.4,49.6,50.8,51.7,54.1,57.8,59.3,61.1,61,63.7,63.8,66.4,67.4,78.3,78.8,82.6,85.2,93,92.7,95.6,99.4,98.7,100.9,109.6,110.6,114.4,115.2,116.7,122.1,134.1,137.8,144.6,156.9,173.6,171.1,175.1,177.8,176.7,187.2,186,189,190.7,195.8,197.8,202.1,203.5,211.6,214.5,219.5,224.2,239.7,246.8,258,261,293.6,299.2,301.8,304.8,324.1,325.8,331.7,339.6,356.5,374.4,373.5,380.3,376.3,383.4,383.6,386.7,390.8,402.7,408.4,412.1,419.3,423,429.6,440,448.2,449.8,451.8,458.1,459.9,468.9,480.8,482.6,489.8,501.9,519,524.7,537.3,551.3,567.5,583.1,591.6,602.3,545.7,611.3,647.8,685.4,723.7,745.5,755.5,773.5,776.6,785.6,804,818.7,815.8,821.9,828.8,858.1,865.3,872.1,878.6,873.7,910,922.6,919.8,933,939.3,940.3,947.1,964.4,959.7,963.4,967.3,987.8,992.6,996.5,1007.1,1025.9,1029.6,1055.7,1070.2,1093.9,1119.6,1151.2,1158.7,1212.8,1248.6,1263,1274.1,1296,1316.1,1334.2,1353.1,1356.5,1407.1,1416.2,1422.2,1448,1501.2,1507.1,1512.4,1551.6,1575.6
"26","18","  Government social benefits","W063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.5,24.1,24.9,25.9,27.7,28.6,28.7,28.2,28.8,28.7,29.1,29.8,31.1,30.1,30.3,30.8,31.7,31.3,31.5,31.8,33,32.9,36.2,35,36,36.1,38,41.4,44.3,45.4,47,48,50.3,53.5,54.9,56,57.5,58.6,59.9,61.4,63.4,73.6,74,77.8,79.8,87.4,87.4,89,91.9,92.4,93.3,103.7,106,108.2,109.8,112.9,117.9,126,132.9,139.7,150.5,165.3,168.4,171.1,175.1,173.5,180.5,183.2,186,186.8,192.2,194.8,198.3,199.6,207.8,210.6,215.5,219.9,235.4,241.5,251.6,256.6,288.4,291.2,296.7,299.5,317.7,319.9,324.6,333.8,350.3,365.9,368.7,374.5,369.2,372.5,377,379.8,381.1,388.6,398.9,401.2,406.3,409,420.8,426.5,433.8,437.3,442.8,448.5,450.5,453.8,470.9,474,479.6,485.8,508.7,516.1,525.3,536.2,556.4,567.7,578.3,596.9,622.4,643.4,653.7,683.3,710,729.8,741.3,745.6,763,770.1,786,791.2,803.9,808.3,813.7,831.4,852.3,861,866.7,861.4,890.3,910.7,907,909.1,928.8,929.7,935.8,941.4,948.9,953.2,954.4,963.2,981.1,982.9,994.4,1003.2,1016.5,1041.4,1054.2,1064.3,1108,1139.5,1145.3,1193.6,1221.3,1248.2,1260.1,1276.9,1291,1309,1329.6,1335.9,1373.5,1393.8,1400.1,1422.6,1462.9,1483.6,1486.5,1514.9,1556.6
"27","19","    To persons","A063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.3,24,24.7,25.7,27.5,28.3,28.5,28,28.5,28.5,28.9,29.5,30.9,29.9,30.1,30.6,31.5,31,31.3,31.5,32.7,32.3,35.9,34.7,35.7,35.8,37.5,41,43.9,45,46.4,47.7,49.9,53.2,54.5,55.7,57.2,58.2,59.5,61,63,73.1,73.5,77.4,79.3,86.9,86.9,88.5,91.4,91.9,92.9,103.1,105.4,107.6,109.2,112.3,117.5,125.4,132.2,139.1,149.8,164.6,167.7,170.4,174.4,172.7,179.7,182.4,185.1,186.1,191.3,194,197.4,198.7,206.9,209.7,214.6,218.9,234.3,240.4,250.6,255.6,287.2,290,295.5,298.3,316.4,318.6,323.6,332.6,349,364.5,367.4,373.2,368,371.2,375.8,378.5,379.9,387.4,397.6,400,405.1,407.8,419.3,425,432.5,435.3,441.3,447,448.9,452.3,469.3,472.5,478,484.2,507,514.6,523.6,534.5,554.6,565.9,576.5,595.2,620.5,641.5,651.8,680.3,708.5,727.1,739.3,744.1,761.6,768.1,784,789.2,802.6,806.8,809.9,829.6,851,858.9,864.6,859.3,887.9,908.6,904.9,907.1,926.7,927.4,933.7,939.1,946.6,950.9,952.2,960.9,978.7,980.5,992,1000.8,1014,1038.9,1051.6,1061.8,1105.3,1136.8,1142.7,1190.9,1218.6,1245.4,1257.3,1274.2,1288.2,1306.1,1326.7,1333,1370.6,1390.8,1397.1,1419.5,1459.7,1480.4,1483.2,1511.5,1553.1
"28","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.6,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.6,0.6,0.6,0.6,0.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,1,0.9,0.9,1,1,1,1,1.2,1.2,1.2,1.2,1.4,1.3,0.9,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.5,1.5,1.4,2.1,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.7,1.6,1.8,1.8,1.8,1.7,1.9,1.9,1.9,3,1.5,2.7,2,1.6,1.4,2,2.1,2,1.4,1.4,3.7,1.8,1.3,2.1,2.1,2.1,2.3,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.3,2.4,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.9,3,3,2.9,3.2,3.2,3.2,3.3,3.4,3.4
"29","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.2,1.8,2.4,2.6,1.7,2.1,2.1,1.9,1.9,1.7,1.5,2,2.1,2.6,2,1.9,1.8,1.8,2,1.9,2,1.7,2.1,1.7,1.8,1.7,1.8,1.9,1.9,4,4.2,3.4,3.9,3.2,4,2.9,3.6,3.3,4.2,2.9,3.5,3.6,4.2,2.9,3.5,3.5,4.7,2.8,3.2,3.1,4.2,2.8,3.2,3.2,4.7,3,3.2,3.6,5.2,3.1,3.8,4.2,4.3,3.8,3.7,3.9,4.3,4.4,5.1,3.5,5.2,3.9,5,4,4.7,4.9,4.8,5.4,5.6,5.3,6.7,7.5,6.3,7.6,5.9,4.6,6.2,5.3,3.8,4.2,8.1,4.9,4.9,6.4,8.3,2.7,4,2.7,3.2,6.6,2.8,3.1,3.9,3.6,3,3.8,4,3.8,3.8,4,4.3,4.4,5.3,6.5,4.4,5.3,8,5.1,5.3,6.4,5.9,7.1,5.7,6.2,8.5,4.8,5.7,7,10.9,6.6,6.8,9.7,14.1,9.5,10.9,12.9,14,8.8,13.5,14.3,12.4,8.9,9.6,9.5,15.1,9.9,8.6,10.3,16.1,10.3,8.6,11.9,15.1,11.2,15.4,13.3,5.3,-76.7,-32.1,-5.9,2.1,13.7,15.7,14.2,27.9,13.7,15.5,18,27.5,11.8,13.7,15.2,26.8,13,11.1,12,12.4,19.7,11.9,12.8,23.8,10.5,10.6,11.3,23,10.8,10.2,12.9,24.6,11.6,13.7,12.7,22.7,13.1,14.2,16.1,29.6,11.6,11.8,13.3,19.2,27.3,14.9,14,19.1,25.1,25.2,23.5,20.7,33.5,22.4,22.2,25.3,38.3,23.5,25.9,36.7,19
"30","22","Interest payments \1\","A180RC1",4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,5,5,5,5.1,5.1,5.2,5.2,5.3,5.3,5.2,5.1,5.3,5.5,5.5,5.7,5.8,6.3,6.1,6.2,6.3,6.6,6.1,6,6.1,6.4,7.3,6.8,7.3,7.7,10.7,10.6,10.3,10,9.9,10,10.2,10.4,10.7,11,11.3,11.4,11.5,11.8,12.1,12.5,12.7,13,13,13.1,13.4,13.7,13.7,14,14.4,14.8,15.3,15.8,15.8,15.8,16.4,17.4,17.9,18.7,19.1,19.4,19.3,19.9,20.4,21.3,22.2,22.7,23.6,23.8,24,24,24.6,25.2,25.5,25.9,26.4,27.2,29.1,30.7,32.1,33.2,33.9,35,36.4,37.1,37.8,39,40.5,42.6,44.4,45.6,46.8,48.4,48.9,50,51,53.4,56.2,58.4,61.5,64.8,68.7,71.4,73.9,77.7,83.7,88.7,89.6,94.3,108.4,112.5,119.3,126.8,131.9,136.7,142.5,144.5,147.4,152.7,160.4,167,174.8,181.4,192.7,200.3,203.7,208.7,209.3,213.4,214.4,215.7,216.7,218.6,222.3,226.4,232.8,241.5,243.9,244.3,248.5,254.2,265.8,273.1,276.4,280.4,285.8,291.1,299.8,304.7,309.2,312.6,312.7,316.3,314.1,314.7,313.6,310.3,314,314.2,314,311.9,311.4,319.1,326.9,336.2,346.2,353.9,357.9,360.3,363.5,362.5,366.9,368.4,367.8,370.4,372.9,374.4,375.4,374.6,373,366.8,358.2,357.6,354.9,358.4,362.2,364.2,362.8,362,358.7,349,339.4,329.4,316.4,319.5,313.6,311,302.8,300.7,298.4,303.7,304.2,306.8,313.8,316.5,317.8,342.6,343.3,361.5,339.6
"31","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,10.3,10,9.8,9.6,9.8,10,10.1,10.4,10.6,10.9,11.1,11.2,11.4,11.7,12,12.3,12.5,12.5,12.6,12.9,13.2,13.3,13.5,13.8,14.3,14.7,15.2,15.3,15.2,15.8,16.7,17.2,17.9,18.5,18.7,18.5,19.1,19.6,20.5,21.3,21.7,22.5,22.6,22.7,22.4,22.6,22.8,22.9,23.4,23.7,24.3,25.7,26.8,28.1,29.2,29.9,30.8,32.1,32.5,32.9,34.6,36,38.2,40,41.1,42.2,43.7,44.1,44.8,45.4,46.7,48.4,50,52.8,55,57.6,60.4,62.9,66.4,71.4,76.8,77.5,80,92.2,95,101.6,108.9,113,118.4,122.6,124.4,128.5,134,141.5,147.5,155,161,171.1,177.3,180.7,185.8,186,190,189.9,191.5,191.9,193.6,196.5,200.4,206.7,214.6,215,213.4,215.5,220.2,228.9,235,237.4,241.1,245.7,250.6,258.9,263.1,267.4,271.7,271.7,276.6,275,275.4,274.5,271.5,275.2,275.5,274.2,271.8,270.6,276.8,282.3,287.1,297.9,301.2,301.9,302,303.8,299.7,299.7,297.1,293.5,292.7,292.2,292.7,294.1,293.4,293.8,291.3,284.4,284.7,279.9,281.9,282.6,282,278.8,275.9,272.8,264,259.4,250.6,237.3,241.8,237.7,237.2,230.5,229.4,224.6,227.2,223.5,218.8,220.7,219.3,213.7,231.2,223.3,233.4,205.2
"32","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,1,1.1,1.2,1.3,1.6,2.1,2.4,2.5,2.6,2.7,2.9,3.5,3.9,4,4,4,4.2,4.3,4.5,4.9,4.4,4.5,4.4,4.4,4.4,4.6,4.7,4.8,5.1,5.6,6.6,7.8,8.4,8.6,9.8,11.1,11,11.1,11.3,12.3,11.9,12.1,14.4,16.2,17.4,17.7,17.9,18.8,18.3,19.9,20.1,18.9,18.7,19,19.4,19.8,20.3,21.6,22.9,23,22.9,23.3,23.3,24.5,24.2,24.8,25,25.8,26,26.1,26.9,28.9,30.9,32.9,34.1,36.9,38.1,39.1,39.3,40.1,40.5,40.9,41.6,41.8,40.9,41.1,39.7,39.2,39.3,39.1,38.8,38.8,38.7,39.8,40.1,40.7,42.3,44.6,49.1,48.3,52.7,56,58.3,59.7,62.8,67.2,71.4,74.4,77.7,80.7,81.7,81.3,81.2,79.2,75.5,73.8,72.9,75,76.5,79.6,82.2,83.9,86.2,85.9,85,80,78.8,79.1,77.7,76,73.9,72.3,71.3,73.7,76.6,80.7,88,93.1,97.2,104.1,111.5,120,128.1,134.4
"33","25","Subsidies \2\","A107RC1",0.3,0.2,0.2,0.1,0.2,0.1,0.4,0.6,0.3,0.2,0.3,0.2,0.4,0.6,0.5,0.8,0.9,0.8,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.1,0.3,-0.2,-0.3,0.3,-0.1,-0.3,-0.2,-0.1,-0.4,-0.2,-0.1,0.2,0.5,0.8,0.9,0.8,0.6,0.5,0.6,0.8,1,1.2,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.8,21.5,22.1,21.5,21.2,20.9,20.8,21.1,21,20.9,21.2,21.9,23,24.1,25.4,26.7,28.2,30.4,31.2,31,30.3,29.7,29.1,28.4,27.8,27.2,26.9,27.1,26.9,26.7,26.7,26.8,26.9,27,27.3,27.9,28.4,29,30.2,31.9,35.2,37.3,37.4,35.7,33.3,32.1,31.6,31.7,33.3,33.8,34.3,34.6,34.6,34.5,34.2,33.9,33.4,32.7,32.5,32.9,33.5,34.2,35.7,38.2,41.3,44,45.6,45.8,44.4,44.4,44.3,44.1,52.3,58.4,67.3,43.1,39.9,37,38.3,38.3,42.1,54.6,44.5,45.4,42.3,41.8,43.2,46.5,50.6,52.1,56.1,61.9,53.1
"34","26","Less: Wage accruals less disbursements","A184RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.6,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-2.1,-0.4,0,0,0,0.3,0.5,-0.6,-0.2,0,2.1,0.1,-0.1,0,0,0,-0.6,-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,-0.9,-0.1,0.2,-0.2,0,0,0,0,0,0.3,0,-0.1,0,0,0,0,-1.3,-0.4,0,0.2,0.2,0,0.6,0.1,-1,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-1.4,0,0,1.5,-1.5,0,0,0,0,0,0,0
"35","27","    Net government saving","A922RC1",7.6,6.8,3.1,9.3,8.8,6.3,2.6,1.6,-1.9,-5.1,-4.9,-4.9,-7.4,3.5,15.3,15.9,19.9,12.5,7.7,8.7,9.8,5.8,4.4,7,7.2,6.7,7,0.4,0.2,1.4,1.7,3.1,6.6,10,8.7,11.7,12.8,11.2,12.2,11.6,10.9,8.6,8.5,2,-0.5,-5.7,-3.8,0.2,6.3,8.8,7.1,6.4,16,12.4,10.9,6.6,6.6,4.8,7,9.3,7.3,7.2,8.7,7.9,9.5,11.8,11.9,11.1,8.5,3.7,7.8,9.6,13.8,13.3,6.2,6.2,12.8,11.5,9.4,6.4,-2.1,-3.6,-2.1,-1.6,1.2,0.8,8.9,9.9,22,19.3,14.1,11.4,5.9,-8.1,-12.3,-17.8,-18.6,-24.1,-22.7,-22.2,-13.5,-9,-6.4,-6.1,4.2,1,4.5,7.9,3.5,-0.1,-0.5,-20.5,-46.5,-101.6,-58.4,-59.7,-46.7,-41.6,-45.3,-43.9,-35.7,-27.6,-29.5,-31,-29.5,-2.4,-3.4,4.1,8.4,5.7,2.1,-9.2,-20.2,-49.2,-61.2,-48.7,-27.5,-35.4,-43.4,-76.6,-101,-107.4,-146.4,-181.4,-180.6,-166.4,-175.9,-149.6,-131.4,-137.3,-150.6,-157.4,-122.3,-173.3,-152.6,-162.2,-154,-181.5,-184.4,-159.5,-174.5,-106.6,-122.2,-127,-128.8,-117.8,-106.8,-112.8,-84.8,-101.5,-116.7,-134.2,-152.7,-161.3,-158.8,-186.2,-165.4,-217.9,-232.8,-255.4,-288.8,-289.7,-319.9,-288.5,-310.6,-269.8,-274.4,-235.6,-228,-183.9,-193.5,-202,-205.1,-194.9,-185.4,-154.4,-158.4,-121.3,-105.9,-78.3,-59.6,-32.7,9.5,16.1,61.6,75.7,110.1,116,128.4,149.9,159.8,178,268.7,240.9,240.2,207.9,189.2,149.4,-97.2,-35.3,-243.8,-276.5,-278.7,-329.5,-363.8,-399.9,-469.9,-392.5,-435.8,-415,-430.9,-367.7,-290.9,-276.1,-414.3,-312.8,-216.4
"36","28","Social insurance funds","A221RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,-3.5,-3.4,-2.4,-0.6,-0.3,-0.6,-1.1,1.4,0.8,0.2,-0.8,-2.1,-2.7,-2.7,-1.8,-0.6,-0.3,-0.5,-0.8,-0.1,1.2,1.2,1.2,0.5,1.4,1.5,1.8,0.9,1.7,-1.2,0.7,6.5,6.8,6.3,4.8,3.8,4.4,4.2,4.7,4.7,3,2.8,2.8,5.3,5.6,6.1,6.4,6.8,-1.2,0.7,-1.5,1.5,-4.9,-3.8,-4,0.4,1.1,2.2,-5.2,6.4,6,6.1,5.9,9.5,4.4,2.2,-1.8,-8.6,-14.4,-20.7,-19.1,-14.4,-11.9,-16.7,-17.2,-13.6,-11.1,-13.7,-13,-4.3,0,-4.7,-3.3,6.6,6.2,-2.4,-2.7,-0.9,-6.9,-26.2,-22.6,-6,-4.9,-18.6,-20.7,-17.5,-24.3,-37.7,-50.8,-40.6,-43,-32.3,-28.5,-11.6,-8,-3.8,-5.8,-0.6,2.3,3,7.6,8.5,7.9,6.7,10.1,13.3,13.7,17.9,24.5,33.8,41,44.7,49.3,44.3,45,45.2,47.3,45.8,45.4,47.8,41,31.8,27.2,29.5,23.5,11.6,7.5,9.8,9.8,7.5,9.9,9.2,12.8,18,22.7,22.7,26.9,25.1,22,22.5,22.5,12,14.8,18.9,21.3,22.4,26.8,34,43.8,47.8,56.4,63.8,74.7,87.3,91.2,97,107.6,119.4,107.2,116.2,114.7,105.3,97.9,83.5,71.8,67,47.9,45.6,41.9,46.6,40.8,40.8,39.8,46.9,49.8,56.2,63.1,61,53,56.1,48.6,14.9
"37","29","Other","A391RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,-2.2,-0.4,2.5,6.9,9,7.7,7.6,14.6,11.6,10.7,7.3,8.7,7.5,9.6,11.1,8,7.5,9.2,8.7,9.7,10.7,10.7,9.8,7.9,2.3,6.2,7.9,12.9,11.6,7.3,5.6,6.3,4.7,3,1.6,-6,-7.9,-6.3,-6.3,-3.5,-2.2,6.2,7.1,16.7,13.7,8,5,-0.8,-7,-13,-16.3,-20.1,-19.2,-18.8,-18.3,-13.9,-10.1,-8.7,-0.9,-2.2,-5,-1.6,2,-6,-4.6,-2.7,-18.8,-37.9,-87.2,-37.7,-40.6,-32.3,-29.7,-28.6,-26.7,-22.1,-16.5,-15.8,-18,-25.2,-2.4,1.4,7.4,1.8,-0.6,4.5,-6.5,-19.4,-42.2,-35.1,-26.1,-21.6,-30.5,-24.8,-55.9,-83.6,-83.1,-108.8,-130.5,-140,-123.4,-143.7,-121.1,-119.7,-129.3,-146.8,-151.6,-121.7,-175.6,-155.6,-169.8,-162.5,-189.4,-191.1,-169.6,-187.8,-120.3,-140.1,-151.5,-162.6,-158.8,-151.5,-162.1,-129.1,-146.5,-161.9,-181.5,-198.6,-206.7,-206.6,-227.2,-197.2,-245.1,-262.4,-279,-300.3,-297.2,-329.7,-298.3,-318,-279.6,-283.5,-248.4,-246,-206.7,-216.2,-229,-230.1,-217,-207.9,-176.9,-170.4,-136.1,-124.8,-99.6,-82,-59.5,-24.5,-27.7,13.8,19.2,46.2,41.3,41.2,58.6,62.8,70.4,149.3,133.7,124,93.2,83.9,51.5,-180.7,-107.1,-310.8,-324.4,-324.3,-371.4,-410.4,-440.7,-510.8,-432.3,-482.6,-464.8,-487.1,-430.8,-352,-329.1,-470.4,-361.5,-231.3
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
