"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"47","27","    Undistributed profits with IVA and CCAdj","A127RC1","33,954.0","31,809.0","30,203.0","25,054.0","21,594.0","25,507.0","24,645.0","22,022.0","29,876.0","31,033.0","33,663.0","36,956.0","39,769.0","40,763.0","43,065.0","45,395.0","47,872.0","43,313.0","44,197.0","43,118.0","36,507.0","31,898.0","23,188.0","24,897.0","35,032.0","45,035.0","54,754.0","59,995.0","62,079.0","57,051.0","56,051.0","54,030.0","58,780.0","73,132.0","83,798.0","74,820.0","71,720.0","84,146.0","85,877.0","89,361.0","80,543.0","80,166.0","77,590.0","72,971.0","57,708.0","44,836.0","44,798.0","53,309.0","61,175.0","61,829.0","73,314.0","64,374.0","53,833.0","66,634.0","64,363.0","61,182.0","79,996.0","94,801.0","100,714.0","107,365.0","119,046.0","129,455.0","134,475.0","138,099.0","131,497.0","133,389.0","145,420.0","132,042.0","114,571.0","102,384.0","92,726.0","83,402.0","95,767.0","120,482.0","138,485.0","145,622.0","154,045.0","158,310.0","148,866.0","159,055.0","125,038.0","123,127.0","127,073.0","110,842.0","117,898.0","137,625.0","107,112.0","117,218.0","145,217.0","138,541.0","132,469.0","135,777.0","158,351.0","161,998.0","147,234.0","170,466.0","157,316.0","165,230.0","176,157.0","180,255.0","190,718.0","192,336.0","201,925.0","212,469.0","212,342.0","238,533.0","259,614.0","265,286.0","280,753.0","269,069.0","264,273.0","275,147.0","297,855.0","308,848.0","322,022.0","304,103.0","217,762.0","210,941.0","214,623.0","207,079.0","268,181.0","274,321.0","253,933.0","243,934.0","199,565.0","179,080.0","175,710.0","150,674.0","186,424.0","228,773.0","201,447.0","223,163.0","261,831.0","266,983.0","271,821.0","321,766.0","283,102.0","313,295.0","317,047.0","323,180.0","413,459.0","404,269.0","432,310.0","311,973.0","469,009.0","494,506.0","491,965.0","490,044.0","483,887.0","431,531.0","431,351.0","374,296.0","284,903.0","293,035.0","260,208.0","244,568.0","168,919.0","186,323.0","235,530.0","19,227.0","294,476.0","416,578.0","553,104.0","614,184.0","629,724.0","656,969.0","642,266.0","677,886.0","660,288.0","709,647.0","741,845.0"
"48","28","    Consumption of fixed capital","A438RC1","43,226.0","44,411.0","45,713.0","47,130.0","48,662.0","49,813.0","50,579.0","50,962.0","52,700.0","54,249.0","55,606.0","56,773.0","57,751.0","58,922.0","60,285.0","61,842.0","63,592.0","65,624.0","67,941.0","70,539.0","73,421.0","76,733.0","80,476.0","84,650.0","89,254.0","93,160.0","96,370.0","98,880.0","100,695.0","102,955.0","105,662.0","108,816.0","112,416.0","116,085.0","119,822.0","123,629.0","127,504.0","131,744.0","136,348.0","141,316.0","146,649.0","152,171.0","157,881.0","163,779.0","169,867.0","176,290.0","183,048.0","190,139.0","197,568.0","204,768.0","211,740.0","218,484.0","225,000.0","230,161.0","233,969.0","236,422.0","237,520.0","239,126.0","241,239.0","243,859.0","246,987.0","250,605.0","254,713.0","259,311.0","264,403.0","269,369.0","274,211.0","278,929.0","283,523.0","287,877.0","291,989.0","295,859.0","299,489.0","303,735.0","308,595.0","314,069.0","320,159.0","326,057.0","331,765.0","337,283.0","342,609.0","348,032.0","353,552.0","359,167.0","364,880.0","370,429.0","375,814.0","381,037.0","386,096.0","390,507.0","394,269.0","397,384.0","399,850.0","401,699.0","402,933.0","403,550.0","410,551.0","417,151.0","423,353.0","429,153.0","434,555.0","440,834.0","447,992.0","456,027.0","464,942.0","473,252.0","480,960.0","488,062.0","494,561.0","501,730.0","509,569.0","518,076.0","527,255.0","536,367.0","545,412.0","554,390.0","563,304.0","572,872.0","583,097.0","593,975.0","605,509.0","618,244.0","632,179.0","647,316.0","663,651.0","678,751.0","692,614.0","705,240.0","716,631.0","726,636.0","735,254.0","742,487.0","748,334.0","753,697.0","758,573.0","762,964.0","766,871.0","771,896.0","778,041.0","785,304.0","793,688.0","803,230.0","813,931.0","825,791.0","838,809.0","853,640.0","870,284.0","888,739.0","904,081.0","918,929.0","933,279.0","947,135.0","959,163.0","968,908.0","977,357.0","988,026.0","1,003,047.0","1,021,180.0","1,039,864.0","1,049,862.0","1,045,316.0","1,033,050.0","1,022,501.0","1,020,588.0","1,017,976.0","1,023,511.0","1,028,548.0","1,038,269.0","1,047,998.0","1,063,100.0","1,075,407.0"
"49","29","    Less: Capital transfers paid (net)","W976RC1","-80.0","-76.0","-72.0","-80.0","-104.0","-128.0","-108.0","-160.0","-164.0","-120.0","-124.0","-148.0","-172.0","-212.0","-268.0","-124.0","-156.0","-148.0","-148.0","-176.0","-196.0","-232.0","-212.0","-252.0","-256.0","-236.0","-236.0","-236.0","-236.0","-204.0","-180.0","-172.0","-112.0","-224.0","-180.0","-128.0","-144.0","-168.0","-180.0","-164.0","-200.0","-228.0","-268.0","-276.0","-292.0","-284.0","-204.0","-324.0","-188.0","-156.0","-184.0","-280.0","-264.0","-240.0","-164.0","-128.0","-64.0","-40.0","-36.0","-12.0","-20.0","-4.0","-4.0","-4.0","0.0","-16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,241.0","1,800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,136.0","0.0","0.0","41,620.0","0.0","5,059.0","0.0","724.0","0.0","35,640.0","0.0","0.0","0.0","0.0","0.0","0.0","5,944.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,400.0","0.0","0.0","0.0","0.0","0.0","0.0","12,300.0","-31,480.0","0.0","8.0","0.0","-12.0","-32.0","-60.0","-80.0","-104.0","-112.0","-124.0","-124.0","38,453.0","-104.0","-88.0","-64.0","53,418.0","-4,439.0","-24.0","-20.0","-16.0","-24.0","-32.0","-32.0","-36.0","-40.0","-80.0","-104.0","14,284.0","-270,780.0","-223,056.0","-137,436.0","49,456.0","-23,456.0","-4,112.0","-70,032.0","-18,036.0","11,256.0","-17,668.0","-39,436.0","-34,508.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","  Proprietors' income with IVA and CCAdj","A041RC1","76,310.0","77,556.0","78,201.0","77,974.0","77,623.0","77,126.0","79,215.0","79,946.0","81,113.0","83,733.0","85,323.0","88,555.0","88,732.0","92,155.0","96,540.0","106,703.0","105,928.0","111,696.0","114,392.0","122,492.0","116,246.0","109,257.0","113,329.0","115,101.0","113,478.0","115,488.0","122,520.0","126,948.0","127,605.0","130,029.0","133,812.0","137,516.0","140,531.0","141,933.0","143,626.0","158,023.0","158,399.0","168,112.0","171,329.0","172,174.0","179,150.0","179,269.0","182,508.0","183,511.0","168,537.0","162,232.0","175,776.0","187,326.0","190,128.0","177,902.0","184,231.0","174,199.0","167,607.0","173,047.0","174,447.0","184,232.0","187,965.0","188,172.0","188,426.0","198,039.0","224,220.0","234,945.0","237,081.0","236,036.0","248,246.0","244,635.0","244,627.0","246,901.0","249,506.0","257,189.0","271,473.0","272,087.0","282,666.0","289,711.0","297,187.0","307,425.0","327,530.0","333,759.0","342,960.0","335,107.0","356,950.0","348,373.0","347,809.0","353,169.0","360,571.0","364,256.0","369,188.0","366,560.0","357,845.0","365,161.0","367,735.0","378,378.0","396,424.0","410,410.0","420,928.0","431,920.0","435,806.0","450,119.0","446,990.0","465,548.0","476,686.0","481,839.0","485,755.0","496,139.0","500,446.0","506,258.0","519,983.0","537,412.0","560,245.0","586,523.0","588,601.0","599,361.0","619,628.0","619,381.0","632,838.0","641,087.0","663,642.0","677,038.0","692,871.0","716,572.0","729,610.0","738,877.0","750,646.0","768,077.0","783,717.0","819,361.0","826,658.0","840,095.0","867,442.0","871,609.0","878,082.0","865,764.0","880,547.0","884,155.0","893,274.0","903,194.0","889,617.0","919,132.0","945,769.0","968,067.0","1,002,098.0","1,029,752.0","1,040,052.0","1,063,122.0","1,046,818.0","1,053,967.0","1,082,572.0","1,095,770.0","1,126,917.0","1,133,217.0","1,131,160.0","1,140,560.0","1,103,021.0","1,090,029.0","1,079,269.0","1,089,127.0","1,113,654.0","1,127,197.0","1,104,000.0","1,046,699.0","960,205.0","926,875.0","929,349.0","948,477.0","981,683.0","1,025,551.0","1,056,966.0","1,081,512.0","1,095,625.0","1,106,535.0","1,114,995.0"
"52","31","    Farm","B042RC1","11,565.0","12,549.0","13,142.0","14,078.0","13,524.0","12,380.0","13,171.0","12,500.0","13,090.0","13,268.0","12,964.0","14,221.0","13,130.0","15,423.0","17,182.0","22,364.0","21,762.0","27,587.0","29,471.0","37,480.0","28,616.0","20,097.0","21,479.0","23,681.0","19,741.0","20,136.0","23,773.0","24,349.0","19,425.0","17,016.0","16,117.0","16,284.0","15,965.0","14,074.0","11,772.0","22,043.0","18,484.0","20,908.0","20,785.0","19,509.0","23,755.0","21,836.0","22,254.0","20,753.0","13,310.0","3,120.0","11,741.0","18,659.0","17,631.0","18,179.0","23,347.0","16,951.0","14,386.0","12,768.0","11,934.0","14,169.0","12,877.0","7,855.0","192.0","3,770.0","19,531.0","21,282.0","20,432.0","22,513.0","22,830.0","20,420.0","19,282.0","21,369.0","18,241.0","19,689.0","26,692.0","26,728.0","27,291.0","29,050.0","28,850.0","30,438.0","33,365.0","27,443.0","28,765.0","17,635.0","36,747.0","32,418.0","30,399.0","32,520.0","34,385.0","32,668.0","31,810.0","29,807.0","26,689.0","28,525.0","25,275.0","29,523.0","33,947.0","36,429.0","37,803.0","35,056.0","29,338.0","35,589.0","26,699.0","36,482.0","42,562.0","37,545.0","33,103.0","29,175.0","21,604.0","19,797.0","22,826.0","29,522.0","38,201.0","45,385.0","34,603.0","35,552.0","38,161.0","28,260.0","32,548.0","31,386.0","28,189.0","26,828.0","27,052.0","33,449.0","34,319.0","28,744.0","26,583.0","24,333.0","25,766.0","31,569.0","29,736.0","31,456.0","32,070.0","30,779.0","31,142.0","28,101.0","16,259.0","11,588.0","20,121.0","25,840.0","29,911.0","37,490.0","38,328.0","40,410.0","54,180.0","51,957.0","43,972.0","48,543.0","43,674.0","46,366.0","45,612.0","39,851.0","28,439.0","28,368.0","28,367.0","32,166.0","36,197.0","34,068.0","35,000.0","45,850.0","60,530.0","55,251.0","46,613.0","44,617.0","37,120.0","38,683.0","39,473.0","41,438.0","44,622.0","45,817.0","58,313.0","60,116.0","66,085.0","67,332.0","67,188.0"
"53","32","      Proprietors' income with IVA","A043RC1","12,307.0","13,322.0","13,948.0","14,917.0","14,398.0","13,280.0","14,087.0","13,426.0","14,079.0","14,312.0","14,056.0","15,352.0","14,292.0","16,604.0","18,370.0","23,549.0","22,932.0","28,784.0","30,737.0","38,859.0","30,149.0","21,807.0","23,389.0","25,816.0","22,122.0","22,709.0","26,484.0","27,144.0","22,250.0","19,890.0","19,058.0","19,312.0","19,098.0","17,310.0","15,111.0","25,483.0","22,022.0","24,560.0","24,566.0","23,434.0","27,839.0","26,121.0","26,783.0","25,567.0","18,452.0","8,567.0","17,472.0","24,651.0","23,861.0","24,631.0","30,003.0","23,793.0","21,396.0","19,885.0","19,097.0","21,319.0","19,951.0","14,860.0","7,132.0","10,651.0","26,357.0","28,028.0","27,069.0","29,012.0","29,165.0","26,632.0","25,415.0","27,465.0","24,343.0","25,780.0","32,753.0","32,742.0","33,239.0","34,939.0","34,687.0","36,228.0","39,115.0","33,170.0","34,486.0","23,369.0","42,509.0","38,192.0","36,169.0","38,270.0","40,100.0","38,359.0","37,490.0","35,489.0","32,384.0","34,219.0","30,952.0","35,169.0","39,547.0","41,995.0","43,346.0","40,587.0","34,799.0","40,998.0","32,074.0","41,841.0","47,922.0","42,897.0","38,441.0","34,493.0","26,893.0","25,059.0","28,064.0","34,737.0","43,396.0","50,540.0","39,699.0","40,570.0","43,080.0","33,094.0","37,308.0","36,085.0","32,838.0","31,438.0","31,635.0","38,015.0","38,880.0","33,294.0","31,117.0","28,844.0","30,253.0","36,037.0","34,194.0","35,911.0","36,529.0","35,233.0","35,582.0","32,516.0","20,643.0","15,950.0","24,472.0","30,191.0","34,271.0","41,885.0","42,787.0","44,960.0","58,847.0","56,758.0","48,922.0","53,657.0","48,971.0","51,833.0","51,236.0","45,619.0","34,316.0","34,345.0","34,434.0","38,314.0","42,376.0","40,180.0","41,053.0","52,033.0","66,802.0","61,678.0","53,242.0","51,310.0","43,787.0","45,094.0","45,684.0","47,509.0","50,487.0","51,604.0","64,091.0","65,946.0","71,944.0","73,303.0","73,151.0"
"54","33","      Capital consumption adjustment","B044RC1","-742.0","-773.0","-806.0","-839.0","-874.0","-900.0","-916.0","-926.0","-989.0","-1,044.0","-1,092.0","-1,131.0","-1,162.0","-1,181.0","-1,188.0","-1,185.0","-1,170.0","-1,197.0","-1,266.0","-1,379.0","-1,533.0","-1,710.0","-1,910.0","-2,135.0","-2,381.0","-2,573.0","-2,711.0","-2,795.0","-2,825.0","-2,874.0","-2,941.0","-3,028.0","-3,133.0","-3,236.0","-3,339.0","-3,440.0","-3,538.0","-3,652.0","-3,781.0","-3,925.0","-4,084.0","-4,285.0","-4,529.0","-4,814.0","-5,142.0","-5,447.0","-5,731.0","-5,992.0","-6,230.0","-6,452.0","-6,656.0","-6,842.0","-7,010.0","-7,117.0","-7,163.0","-7,150.0","-7,074.0","-7,005.0","-6,940.0","-6,881.0","-6,826.0","-6,746.0","-6,637.0","-6,499.0","-6,335.0","-6,212.0","-6,133.0","-6,096.0","-6,102.0","-6,091.0","-6,061.0","-6,014.0","-5,948.0","-5,889.0","-5,837.0","-5,790.0","-5,750.0","-5,727.0","-5,721.0","-5,734.0","-5,762.0","-5,774.0","-5,770.0","-5,750.0","-5,715.0","-5,691.0","-5,680.0","-5,682.0","-5,695.0","-5,694.0","-5,677.0","-5,646.0","-5,600.0","-5,566.0","-5,543.0","-5,531.0","-5,461.0","-5,409.0","-5,375.0","-5,359.0","-5,360.0","-5,352.0","-5,338.0","-5,318.0","-5,289.0","-5,262.0","-5,238.0","-5,215.0","-5,195.0","-5,155.0","-5,096.0","-5,018.0","-4,919.0","-4,834.0","-4,760.0","-4,699.0","-4,649.0","-4,610.0","-4,583.0","-4,566.0","-4,561.0","-4,550.0","-4,534.0","-4,511.0","-4,487.0","-4,468.0","-4,458.0","-4,455.0","-4,459.0","-4,454.0","-4,440.0","-4,415.0","-4,384.0","-4,362.0","-4,351.0","-4,351.0","-4,360.0","-4,395.0","-4,459.0","-4,550.0","-4,667.0","-4,801.0","-4,950.0","-5,114.0","-5,297.0","-5,467.0","-5,624.0","-5,768.0","-5,877.0","-5,977.0","-6,067.0","-6,148.0","-6,179.0","-6,112.0","-6,053.0","-6,183.0","-6,272.0","-6,427.0","-6,629.0","-6,693.0","-6,667.0","-6,411.0","-6,211.0","-6,071.0","-5,865.0","-5,787.0","-5,778.0","-5,830.0","-5,859.0","-5,971.0","-5,963.0"
"55","34","    Nonfarm","A045RC1","64,745.0","65,007.0","65,059.0","63,896.0","64,099.0","64,746.0","66,044.0","67,446.0","68,023.0","70,465.0","72,359.0","74,334.0","75,602.0","76,732.0","79,358.0","84,339.0","84,166.0","84,109.0","84,921.0","85,012.0","87,630.0","89,160.0","91,850.0","91,420.0","93,737.0","95,352.0","98,747.0","102,599.0","108,180.0","113,013.0","117,695.0","121,232.0","124,566.0","127,859.0","131,854.0","135,980.0","139,915.0","147,204.0","150,544.0","152,665.0","155,395.0","157,433.0","160,254.0","162,758.0","155,227.0","159,112.0","164,035.0","168,667.0","172,497.0","159,723.0","160,884.0","157,248.0","153,221.0","160,279.0","162,513.0","170,063.0","175,088.0","180,317.0","188,234.0","194,269.0","204,689.0","213,663.0","216,649.0","213,523.0","225,416.0","224,215.0","225,345.0","225,532.0","231,265.0","237,500.0","244,781.0","245,359.0","255,375.0","260,661.0","268,337.0","276,987.0","294,165.0","306,316.0","314,195.0","317,472.0","320,203.0","315,955.0","317,410.0","320,649.0","326,186.0","331,588.0","337,378.0","336,753.0","331,156.0","336,636.0","342,460.0","348,855.0","362,477.0","373,981.0","383,125.0","396,864.0","406,468.0","414,530.0","420,291.0","429,066.0","434,124.0","444,294.0","452,652.0","466,964.0","478,842.0","486,461.0","497,157.0","507,890.0","522,044.0","541,138.0","553,998.0","563,809.0","581,467.0","591,121.0","600,290.0","609,701.0","635,453.0","650,210.0","665,819.0","683,123.0","695,291.0","710,133.0","724,063.0","743,744.0","757,951.0","787,792.0","796,922.0","808,639.0","835,372.0","840,830.0","846,940.0","837,663.0","864,288.0","872,567.0","873,153.0","877,354.0","859,706.0","881,642.0","907,441.0","927,657.0","947,918.0","977,795.0","996,080.0","1,014,579.0","1,003,144.0","1,007,601.0","1,036,960.0","1,055,919.0","1,098,478.0","1,104,849.0","1,102,793.0","1,108,394.0","1,066,824.0","1,055,961.0","1,044,269.0","1,043,277.0","1,053,124.0","1,071,946.0","1,057,387.0","1,002,082.0","923,085.0","888,192.0","889,876.0","907,039.0","937,061.0","979,734.0","998,653.0","1,021,396.0","1,029,540.0","1,039,203.0","1,047,807.0"
"56","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","65,798.0","65,774.0","65,626.0","64,942.0","65,113.0","65,641.0","67,141.0","68,569.0","69,625.0","71,969.0","73,525.0","75,285.0","76,475.0","77,491.0","80,259.0","85,454.0","86,194.0","86,435.0","86,592.0","86,979.0","90,616.0","92,472.0","96,931.0","95,125.0","95,629.0","97,064.0","100,739.0","104,384.0","109,637.0","114,725.0","119,218.0","122,884.0","126,495.0","129,019.0","132,715.0","137,106.0","139,550.0","149,196.0","153,161.0","154,684.0","154,666.0","157,451.0","161,407.0","167,128.0","161,010.0","158,217.0","163,042.0","168,488.0","168,100.0","155,845.0","155,510.0","151,901.0","148,427.0","154,540.0","155,860.0","161,113.0","163,224.0","166,423.0","171,340.0","174,721.0","182,355.0","189,412.0","189,428.0","183,933.0","193,270.0","190,361.0","189,333.0","188,888.0","190,870.0","197,095.0","204,658.0","206,598.0","218,504.0","225,195.0","233,153.0","241,608.0","258,259.0","269,949.0","278,087.0","280,609.0","282,307.0","278,305.0","279,638.0","285,458.0","294,859.0","302,484.0","311,388.0","312,270.0","305,145.0","311,121.0","317,355.0","323,278.0","335,451.0","346,787.0","354,443.0","366,902.0","376,147.0","383,896.0","389,589.0","399,655.0","406,371.0","417,446.0","426,728.0","440,673.0","453,546.0","460,513.0","469,369.0","478,318.0","491,473.0","508,931.0","518,971.0","526,310.0","539,719.0","546,789.0","554,681.0","563,578.0","587,970.0","602,123.0","615,060.0","630,208.0","636,880.0","650,126.0","662,519.0","681,326.0","694,166.0","720,411.0","723,966.0","730,741.0","751,030.0","751,037.0","748,584.0","728,990.0","752,551.0","763,020.0","766,760.0","772,207.0","753,497.0","760,970.0","782,628.0","802,555.0","825,772.0","856,197.0","872,727.0","892,272.0","916,469.0","916,968.0","947,427.0","964,436.0","1,005,545.0","1,007,899.0","1,000,508.0","1,003,072.0","971,634.0","961,365.0","952,094.0","954,696.0","913,940.0","928,155.0","898,027.0","802,745.0","753,347.0","732,082.0","739,374.0","761,740.0","782,043.0","813,701.0","804,802.0","771,311.0","804,239.0","804,106.0","813,113.0"
"57","36","      Inventory valuation adjustment","B179RC1","-688.0","-400.0","-172.0","-596.0","-484.0","-344.0","-588.0","-716.0","-544.0","-680.0","-528.0","-476.0","-560.0","-552.0","-760.0","-1,012.0","-1,949.0","-2,241.0","-1,557.0","-1,801.0","-2,764.0","-3,000.0","-4,660.0","-3,148.0","-1,222.0","-946.0","-1,202.0","-1,050.0","-787.0","-1,151.0","-1,047.0","-1,255.0","-1,645.0","-953.0","-741.0","-1,105.0","340.0","-2,184.0","-3,024.0","-2,680.0","-462.0","-1,414.0","-2,686.0","-5,986.0","-6,915.0","-595.0","-1,155.0","-2,895.0","-682.0","-2,042.0","-1,050.0","-1,246.0","-836.0","-376.0","-616.0","-184.0","-236.0","-844.0","-500.0","-484.0","-216.0","-828.0","-304.0","-260.0","192.0","-152.0","120.0","-904.0","820.0","140.0","-164.0","-948.0","-588.0","-1,144.0","-912.0","-600.0","-780.0","-812.0","-1,684.0","-1,524.0","-1,964.0","-1,836.0","-476.0","-1,004.0","-744.0","-496.0","-1,584.0","-1,648.0","292.0","124.0","-412.0","-484.0","-64.0","-960.0","-624.0","-500.0","-744.0","-524.0","-44.0","-412.0","-644.0","-596.0","-1,040.0","-672.0","-2,136.0","-2,148.0","-1,164.0","-428.0","-672.0","-728.0","-48.0","-168.0","1,040.0","1,304.0","984.0","620.0","1,824.0","1,216.0","1,624.0","460.0","1,580.0","-432.0","-1,740.0","-2,948.0","-2,896.0","-2,048.0","-652.0","-1,324.0","-1,076.0","-380.0","1,672.0","3,716.0","2,252.0","244.0","-2,116.0","-1,956.0","-3,056.0","484.0","-1,356.0","-2,108.0","-2,164.0","-4,444.0","-4,092.0","-6,212.0","-4,788.0","-2,000.0","-4,696.0","-4,768.0","-3,908.0","-5,352.0","-3,452.0","-1,820.0","-8,036.0","-3,504.0","-4,932.0","-11,404.0","-18,612.0","-23,312.0","-11,884.0","28,596.0","13,144.0","1,480.0","-4,128.0","-9,756.0","-6,172.0","2,572.0","-4,624.0","-15,752.0","-17,792.0","-6,976.0","-6,784.0"
"58","37","      Capital consumption adjustment","B047RC1","-365.0","-367.0","-395.0","-450.0","-530.0","-551.0","-509.0","-407.0","-1,058.0","-824.0","-638.0","-475.0","-313.0","-207.0","-141.0","-103.0","-79.0","-85.0","-114.0","-166.0","-222.0","-312.0","-421.0","-557.0","-670.0","-766.0","-790.0","-735.0","-670.0","-561.0","-476.0","-397.0","-284.0","-207.0","-120.0","-21.0","25.0","192.0","407.0","661.0","1,191.0","1,396.0","1,533.0","1,616.0","1,132.0","1,490.0","2,148.0","3,074.0","5,079.0","5,920.0","6,424.0","6,593.0","5,630.0","6,115.0","7,269.0","9,134.0","12,100.0","14,738.0","17,394.0","20,032.0","22,550.0","25,079.0","27,525.0","29,850.0","31,954.0","34,006.0","35,892.0","37,548.0","39,575.0","40,265.0","40,287.0","39,709.0","37,459.0","36,610.0","36,096.0","35,979.0","36,686.0","37,179.0","37,792.0","38,387.0","39,860.0","39,486.0","38,248.0","36,195.0","32,071.0","29,600.0","27,574.0","26,131.0","25,719.0","25,391.0","25,517.0","26,061.0","27,090.0","28,154.0","29,306.0","30,462.0","31,065.0","31,158.0","30,746.0","29,823.0","28,397.0","27,444.0","26,964.0","26,963.0","27,432.0","28,096.0","28,952.0","30,000.0","31,243.0","32,935.0","35,075.0","37,667.0","40,708.0","43,028.0","44,625.0","45,503.0","45,659.0","46,871.0","49,135.0","52,455.0","56,831.0","60,439.0","63,284.0","65,366.0","66,681.0","69,429.0","73,608.0","79,222.0","85,418.0","90,173.0","96,684.0","104,957.0","109,485.0","109,303.0","108,509.0","107,103.0","109,265.0","120,188.0","126,169.0","127,210.0","124,310.0","126,042.0","127,445.0","128,519.0","91,463.0","92,633.0","94,229.0","96,251.0","96,841.0","102,302.0","105,737.0","107,142.0","103,226.0","98,100.0","97,107.0","99,985.0","157,796.0","167,103.0","171,244.0","170,741.0","156,594.0","154,630.0","154,630.0","155,055.0","161,190.0","163,461.0","198,475.0","265,837.0","243,093.0","242,073.0","241,478.0"
"59","38","  Rental income of persons with CCAdj","A048RC1","20,789.0","20,855.0","20,996.0","20,944.0","20,905.0","20,635.0","21,241.0","21,516.0","21,460.0","22,033.0","22,397.0","22,842.0","23,454.0","20,500.0","24,326.0","24,293.0","24,194.0","24,131.0","23,149.0","24,141.0","24,365.0","23,752.0","24,144.0","23,932.0","23,737.0","23,509.0","23,339.0","22,884.0","22,645.0","21,717.0","21,934.0","22,043.0","20,899.0","19,888.0","18,972.0","18,740.0","20,402.0","19,773.0","21,421.0","21,940.0","23,422.0","21,079.0","21,237.0","24,834.0","28,585.0","24,084.0","25,004.0","36,304.0","36,230.0","35,115.0","35,653.0","38,839.0","39,513.0","36,165.0","37,991.0","38,532.0","37,621.0","37,803.0","38,157.0","39,081.0","38,121.0","36,742.0","40,435.0","44,821.0","42,916.0","41,737.0","42,249.0","40,500.0","36,776.0","35,576.0","32,539.0","30,417.0","31,550.0","30,477.0","35,340.0","39,367.0","38,405.0","36,915.0","38,777.0","46,828.0","44,199.0","43,505.0","41,126.0","40,827.0","43,283.0","48,217.0","53,322.0","54,392.0","56,118.0","58,088.0","62,711.0","69,406.0","71,597.0","81,281.0","89,297.0","96,302.0","105,461.0","113,510.0","115,353.0","122,031.0","133,109.0","141,622.0","148,533.0","148,391.0","150,967.0","153,013.0","152,773.0","161,513.0","166,742.0","168,411.0","172,105.0","174,501.0","174,946.0","175,883.0","176,422.0","178,942.0","182,739.0","188,604.0","195,685.0","198,843.0","202,990.0","206,939.0","209,157.0","213,537.0","214,577.0","212,122.0","213,310.0","221,093.0","225,294.0","230,569.0","239,533.0","234,088.0","229,194.0","231,732.0","212,674.0","201,350.0","209,726.0","204,189.0","186,154.0","216,584.0","204,249.0","197,080.0","196,803.0","195,400.0","190,671.0","181,501.0","168,362.0","172,306.0","161,326.0","153,170.0","140,341.0","131,245.0","122,438.0","139,822.0","146,823.0","165,902.0","188,881.0","218,495.0","243,530.0","275,562.0","278,847.0","299,721.0","319,257.0","325,915.0","344,105.0","349,086.0","352,759.0","354,826.0","384,968.0","396,928.0","406,379.0"
