"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"47","28","    To the rest of the world (net) \6\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,924.0","17,024.0","16,256.0","26,692.0","16,968.0","18,240.0","20,048.0","33,744.0","15,764.0","16,060.0","17,516.0","23,388.0","31,824.0","19,384.0","18,600.0","23,384.0","29,820.0","30,352.0","28,824.0","25,532.0","38,312.0","27,132.0","27,784.0","30,444.0","45,072.0","31,664.0","38,664.0","48,148.0","30,280.0","36,900.0","38,984.0","33,628.0","50,660.0","31,624.0","37,292.0","49,296.0","50,520.0","40,672.0","43,564.0","46,276.0","44,784.0","57,304.0","63,456.0","47,604.0","61,676.0","52,576.0","56,856.0","58,096.0","56,772.0","64,912.0","57,392.0"
"48","29","Interest payments \3\","A091RC1","15,088.0","15,564.0","15,920.0","16,720.0","17,260.0","17,548.0","18,160.0","18,020.0","17,872.0","17,620.0","17,980.0","18,236.0","18,328.0","18,552.0","18,800.0","19,408.0","21,036.0","22,352.0","23,536.0","24,348.0","24,780.0","25,568.0","26,664.0","26,936.0","27,312.0","28,108.0","29,296.0","30,960.0","32,392.0","33,212.0","34,136.0","35,364.0","35,632.0","36,448.0","37,208.0","39,240.0","41,944.0","43,836.0","46,424.0","49,156.0","52,296.0","54,400.0","56,388.0","59,684.0","65,268.0","69,708.0","69,980.0","73,900.0","86,996.0","90,128.0","96,004.0","102,444.0","106,504.0","110,244.0","114,856.0","115,536.0","117,040.0","120,952.0","127,488.0","132,844.0","139,564.0","144,964.0","155,152.0","161,492.0","164,344.0","168,988.0","170,056.0","174,196.0","177,224.0","178,468.0","178,432.0","178,524.0","179,740.0","181,516.0","185,232.0","191,832.0","195,948.0","196,196.0","200,140.0","204,960.0","213,516.0","219,116.0","220,860.0","223,892.0","229,248.0","233,628.0","241,456.0","245,488.0","248,212.0","250,984.0","250,732.0","253,852.0","251,748.0","252,624.0","251,752.0","248,940.0","253,432.0","253,948.0","254,160.0","251,968.0","250,428.0","257,464.0","264,316.0","273,156.0","283,100.0","290,188.0","293,400.0","294,884.0","296,924.0","294,824.0","298,336.0","298,924.0","297,476.0","299,328.0","301,096.0","302,020.0","302,264.0","301,236.0","299,296.0","292,572.0","284,404.0","283,348.0","280,120.0","282,772.0","285,128.0","285,748.0","282,508.0","279,636.0","274,492.0","263,708.0","253,344.0","242,788.0","229,904.0","233,296.0","227,744.0","225,360.0","216,600.0","212,368.0","210,012.0","212,504.0","216,328.0","215,340.0","224,404.0","227,776.0","233,360.0","253,396.0","253,800.0","281,028.0","263,140.0","282,804.0","296,660.0","274,188.0","296,764.0","335,048.0","316,156.0","304,672.0","305,688.0","306,772.0","317,632.0","238,436.0","204,052.0","269,772.0","272,064.0","261,752.0","264,892.0","286,172.0","279,060.0","289,384.0","298,028.0","342,832.0","306,472.0"
"49","30","  To persons and business \3\","B092RC1","14,336.0","14,800.0","15,136.0","15,912.0","16,428.0","16,584.0","17,020.0","16,860.0","16,528.0","16,012.0","15,924.0","15,868.0","15,784.0","15,988.0","16,080.0","16,500.0","17,584.0","18,476.0","19,524.0","20,344.0","20,776.0","21,368.0","22,360.0","22,396.0","22,436.0","23,680.0","24,796.0","26,596.0","28,032.0","28,768.0","29,548.0","30,676.0","30,832.0","31,308.0","31,612.0","32,608.0","34,116.0","35,440.0","37,792.0","39,316.0","41,216.0","43,368.0","45,328.0","48,368.0","52,932.0","57,828.0","57,836.0","59,524.0","70,804.0","72,680.0","78,276.0","84,560.0","87,692.0","91,932.0","94,944.0","95,444.0","98,164.0","102,280.0","108,504.0","113,404.0","119,780.0","124,656.0","133,532.0","138,584.0","141,344.0","146,076.0","146,792.0","150,856.0","152,736.0","154,240.0","153,652.0","153,520.0","153,932.0","155,504.0","159,124.0","164,888.0","167,012.0","165,276.0","167,208.0","170,888.0","176,568.0","181,012.0","181,780.0","184,568.0","189,160.0","193,144.0","200,564.0","203,872.0","206,412.0","210,104.0","209,668.0","214,108.0","212,584.0","213,336.0","212,632.0","210,188.0","214,624.0","215,200.0","214,312.0","211,868.0","209,684.0","215,148.0","219,756.0","224,008.0","234,096.0","235,736.0","234,852.0","234,396.0","234,676.0","230,236.0","231,616.0","226,008.0","219,912.0","218,208.0","217,880.0","217,116.0","217,528.0","215,624.0","215,512.0","210,088.0","202,840.0","202,668.0","200,272.0","202,764.0","203,504.0","200,696.0","197,140.0","193,612.0","190,656.0","182,268.0","177,756.0","170,128.0","155,504.0","159,164.0","153,176.0","148,828.0","141,544.0","139,144.0","136,220.0","139,240.0","141,452.0","133,560.0","139,956.0","138,736.0","137,820.0","152,948.0","148,148.0","167,172.0","141,200.0","151,124.0","158,132.0","126,420.0","140,528.0","169,444.0","149,240.0","136,024.0","137,488.0","135,180.0","152,412.0","76,156.0","48,352.0","124,264.0","132,432.0","125,168.0","129,052.0","149,496.0","142,404.0","153,996.0","162,652.0","207,472.0","170,280.0"
"50","31","  To the rest of the world","B093RC1","752.0","764.0","784.0","808.0","832.0","964.0","1,140.0","1,160.0","1,344.0","1,608.0","2,056.0","2,368.0","2,544.0","2,564.0","2,720.0","2,908.0","3,452.0","3,876.0","4,012.0","4,004.0","4,004.0","4,200.0","4,304.0","4,540.0","4,876.0","4,428.0","4,500.0","4,364.0","4,360.0","4,444.0","4,588.0","4,688.0","4,800.0","5,140.0","5,596.0","6,632.0","7,828.0","8,396.0","8,632.0","9,840.0","11,080.0","11,032.0","11,060.0","11,316.0","12,336.0","11,880.0","12,144.0","14,376.0","16,192.0","17,448.0","17,728.0","17,884.0","18,812.0","18,312.0","19,912.0","20,092.0","18,876.0","18,672.0","18,984.0","19,440.0","19,784.0","20,308.0","21,620.0","22,908.0","23,000.0","22,912.0","23,264.0","23,340.0","24,488.0","24,228.0","24,780.0","25,004.0","25,808.0","26,012.0","26,108.0","26,944.0","28,936.0","30,920.0","32,932.0","34,072.0","36,948.0","38,104.0","39,080.0","39,324.0","40,088.0","40,484.0","40,892.0","41,616.0","41,800.0","40,880.0","41,064.0","39,744.0","39,164.0","39,288.0","39,120.0","38,752.0","38,808.0","38,748.0","39,848.0","40,100.0","40,744.0","42,316.0","44,560.0","49,148.0","49,004.0","54,452.0","58,548.0","60,488.0","62,248.0","64,588.0","66,720.0","72,916.0","77,564.0","81,120.0","83,216.0","84,904.0","84,736.0","85,612.0","83,784.0","82,484.0","81,564.0","80,680.0","79,848.0","80,008.0","81,624.0","85,052.0","85,368.0","86,024.0","83,836.0","81,440.0","75,588.0","72,660.0","74,400.0","74,132.0","74,568.0","76,532.0","75,056.0","73,224.0","73,792.0","73,264.0","74,876.0","81,780.0","84,448.0","89,040.0","95,540.0","100,448.0","105,652.0","113,856.0","121,940.0","131,680.0","138,528.0","147,768.0","156,236.0","165,604.0","166,916.0","168,648.0","168,200.0","171,592.0","165,220.0","162,280.0","155,700.0","145,508.0","139,632.0","136,584.0","135,840.0","136,676.0","136,656.0","135,388.0","135,376.0","135,360.0","136,192.0"
"51","32","Subsidies \5\","B096RC1","4,316.0","4,440.0","4,644.0","4,636.0","4,712.0","4,796.0","4,716.0","4,788.0","4,736.0","4,780.0","4,476.0","4,572.0","6,056.0","6,152.0","7,120.0","7,004.0","5,876.0","5,628.0","4,632.0","4,460.0","3,452.0","2,780.0","3,052.0","3,480.0","4,080.0","4,112.0","4,400.0","4,752.0","4,956.0","4,652.0","4,872.0","5,264.0","5,612.0","5,652.0","6,208.0","10,088.0","8,460.0","8,140.0","8,048.0","10,140.0","8,052.0","8,452.0","7,792.0","8,520.0","8,852.0","9,276.0","9,716.0","9,940.0","10,176.0","10,308.0","10,712.0","13,088.0","13,552.0","13,152.0","12,580.0","18,968.0","19,444.0","21,136.0","21,756.0","21,112.0","20,812.0","20,604.0","20,504.0","20,800.0","20,776.0","20,664.0","21,012.0","21,680.0","22,788.0","23,876.0","25,148.0","26,544.0","28,012.0","30,176.0","31,032.0","30,808.0","30,044.0","29,496.0","28,872.0","28,188.0","27,576.0","27,012.0","26,720.0","26,900.0","26,756.0","26,580.0","26,556.0","26,584.0","26,732.0","26,800.0","27,088.0","27,684.0","28,176.0","28,832.0","30,008.0","31,784.0","35,096.0","37,192.0","37,328.0","35,656.0","33,216.0","32,032.0","31,608.0","31,876.0","33,648.0","34,304.0","34,840.0","35,216.0","35,196.0","35,116.0","34,856.0","34,444.0","33,968.0","33,216.0","32,984.0","33,328.0","33,356.0","34,556.0","36,340.0","39,436.0","42,028.0","44,608.0","46,020.0","46,464.0","44,584.0","44,956.0","45,268.0","46,416.0","47,188.0","47,632.0","66,328.0","43,080.0","40,808.0","39,256.0","39,688.0","42,172.0","44,792.0","56,752.0","47,960.0","46,388.0","44,452.0","43,192.0","44,580.0","51,840.0","56,504.0","60,592.0","61,720.0","63,344.0","55,188.0","51,056.0","49,388.0","48,280.0","48,128.0","47,480.0","46,916.0","47,240.0","47,892.0","48,916.0","50,368.0","52,612.0","54,376.0","55,600.0","67,232.0","55,916.0","54,812.0","54,652.0","55,424.0","58,160.0","59,188.0","62,220.0","63,692.0"
"52","33","Less: Wage accruals less disbursements","B098RC1","0.0","0.0","0.0","0.0","2,500.0","-2,132.0","-368.0","0.0","0.0","0.0","20.0","136.0","-36.0","-120.0","0.0","2,088.0","92.0","-60.0","0.0","0.0","0.0","-560.0","-1,440.0","80.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","184.0","0.0","-184.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","252.0","-16.0","-128.0","40.0","40.0","32.0","-40.0","-1,276.0","-424.0","-40.0","176.0","192.0","-44.0","556.0","128.0","-1,048.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","248.0","-248.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","160.0","180.0","-380.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,396.0","-1,396.0","0.0","0.0","1,492.0","-1,476.0","-16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"53","34","    Net federal government saving","A923RC1","14,400.0","11,372.0","5,476.0","2,976.0","-2,520.0","-16,196.0","-19,740.0","-23,496.0","-23,892.0","-30,420.0","-29,476.0","-30,988.0","-22,900.0","-28,192.0","-17,124.0","-31,376.0","-15,220.0","-15,240.0","-10,632.0","-6,224.0","-8,900.0","-11,404.0","-11,280.0","-26,372.0","-48,492.0","-105,744.0","-63,704.0","-64,628.0","-54,312.0","-50,020.0","-53,560.0","-56,772.0","-47,212.0","-41,304.0","-47,268.0","-48,736.0","-48,600.0","-27,864.0","-21,916.0","-17,228.0","-8,724.0","-8,904.0","-14,600.0","-23,612.0","-33,680.0","-57,596.0","-71,788.0","-63,400.0","-42,576.0","-46,868.0","-54,620.0","-82,964.0","-103,872.0","-109,396.0","-147,168.0","-180,648.0","-176,412.0","-172,644.0","-188,916.0","-166,988.0","-157,000.0","-167,264.0","-175,168.0","-186,428.0","-150,720.0","-201,020.0","-178,012.0","-184,700.0","-184,172.0","-205,680.0","-210,908.0","-177,664.0","-181,884.0","-127,768.0","-139,000.0","-148,724.0","-147,948.0","-137,868.0","-130,024.0","-137,840.0","-115,352.0","-134,868.0","-140,848.0","-144,692.0","-171,324.0","-176,668.0","-171,960.0","-185,816.0","-157,440.0","-217,056.0","-240,512.0","-258,728.0","-295,964.0","-302,176.0","-313,168.0","-298,632.0","-312,092.0","-275,320.0","-282,168.0","-251,328.0","-236,401.0","-202,909.0","-220,561.0","-221,693.0","-221,426.0","-206,238.0","-210,318.0","-186,698.0","-194,323.0","-149,543.0","-138,315.0","-110,815.0","-92,391.0","-71,047.0","-35,567.0","-41,547.0","7,922.0","20,706.0","52,302.0","53,402.0","79,095.0","96,111.0","103,467.0","116,551.0","205,275.0","174,967.0","181,779.0","178,807.0","159,359.0","119,007.0","-104,373.0","-11,997.0","-205,436.0","-249,708.0","-262,928.0","-293,024.0","-300,568.0","-374,984.0","-451,432.0","-378,544.0","-409,296.0","-384,432.0","-361,640.0","-362,500.0","-288,892.0","-288,072.0","-287,408.0","-267,668.0","-207,308.0","-229,392.0","-215,464.0","-162,972.0","-201,605.0","-237,437.0","-265,150.0","-276,691.0","-388,792.0","-764,400.0","-639,060.0","-661,688.0","-993,948.0","-1,302,956.0","-1,305,396.0","-1,269,444.0","-1,271,784.0","-1,277,956.0","-1,257,700.0","-1,287,252.0","-1,201,072.0","-1,275,400.0","-1,172,776.0"
"54","35","Social insurance funds","B243RC1","5,132.0","5,472.0","5,976.0","6,208.0","6,556.0","-1,400.0","448.0","-1,760.0","1,288.0","-5,064.0","-4,048.0","-4,200.0","148.0","800.0","1,956.0","-5,468.0","6,220.0","5,816.0","5,820.0","5,664.0","9,168.0","4,084.0","1,780.0","-2,192.0","-9,124.0","-14,980.0","-21,272.0","-19,744.0","-15,196.0","-12,828.0","-17,756.0","-18,320.0","-14,668.0","-12,244.0","-14,948.0","-14,372.0","-5,720.0","-1,544.0","-6,400.0","-5,120.0","4,776.0","4,252.0","-4,448.0","-4,752.0","-2,544.0","-7,904.0","-28,004.0","-24,640.0","-7,616.0","-6,608.0","-20,368.0","-22,520.0","-19,304.0","-26,124.0","-39,460.0","-52,608.0","-42,292.0","-44,720.0","-34,032.0","-30,372.0","-13,576.0","-10,068.0","-5,912.0","-7,884.0","-2,696.0","216.0","740.0","5,252.0","6,004.0","5,304.0","3,992.0","7,304.0","10,508.0","10,812.0","15,012.0","21,504.0","30,688.0","37,792.0","41,488.0","46,236.0","41,316.0","42,180.0","42,416.0","44,660.0","43,256.0","42,880.0","45,132.0","38,256.0","28,816.0","23,992.0","26,040.0","19,784.0","7,656.0","3,372.0","5,344.0","5,084.0","-1,652.0","2,632.0","3,408.0","6,944.0","10,428.0","14,860.0","16,936.0","19,184.0","16,460.0","14,256.0","15,580.0","16,196.0","6,804.0","10,664.0","15,548.0","18,644.0","18,944.0","23,816.0","31,464.0","41,544.0","45,104.0","54,028.0","61,548.0","72,444.0","83,120.0","87,624.0","94,044.0","105,368.0","118,324.0","107,052.0","116,760.0","114,992.0","107,660.0","96,420.0","79,360.0","69,128.0","64,912.0","47,348.0","44,744.0","41,792.0","42,936.0","35,996.0","34,448.0","36,832.0","45,112.0","49,348.0","53,876.0","52,688.0","48,576.0","44,468.0","52,840.0","50,216.0","26,756.0","8,712.0","5,784.0","8,192.0","2,876.0","-2,728.0","-7,004.0","-5,020.0","-19,320.0","-33,424.0","-64,036.0","-95,212.0","-193,928.0","-241,356.0","-276,608.0","-294,996.0","-292,524.0","-284,912.0","-294,536.0","-304,624.0","-289,160.0","-290,492.0","-289,320.0"
"55","36","Other","B244RC1","9,268.0","5,900.0","-500.0","-3,232.0","-9,076.0","-14,796.0","-20,188.0","-21,736.0","-25,180.0","-25,356.0","-25,428.0","-26,788.0","-23,048.0","-28,992.0","-19,080.0","-25,908.0","-21,440.0","-21,056.0","-16,452.0","-11,888.0","-18,068.0","-15,488.0","-13,060.0","-24,180.0","-39,368.0","-90,764.0","-42,432.0","-44,884.0","-39,116.0","-37,192.0","-35,804.0","-38,452.0","-32,544.0","-29,060.0","-32,320.0","-34,364.0","-42,880.0","-26,320.0","-15,516.0","-12,108.0","-13,500.0","-13,156.0","-10,152.0","-18,860.0","-31,136.0","-49,692.0","-43,784.0","-38,760.0","-34,960.0","-40,260.0","-34,252.0","-60,444.0","-84,568.0","-83,272.0","-107,708.0","-128,040.0","-134,120.0","-127,924.0","-154,884.0","-136,616.0","-143,424.0","-157,196.0","-169,256.0","-178,544.0","-148,024.0","-201,236.0","-178,752.0","-189,952.0","-190,176.0","-210,984.0","-214,900.0","-184,968.0","-192,392.0","-138,580.0","-154,012.0","-170,228.0","-178,636.0","-175,660.0","-171,512.0","-184,076.0","-156,668.0","-177,048.0","-183,264.0","-189,352.0","-214,580.0","-219,548.0","-217,092.0","-224,072.0","-186,256.0","-241,048.0","-266,552.0","-278,512.0","-303,620.0","-305,548.0","-318,512.0","-303,716.0","-310,440.0","-277,952.0","-285,576.0","-258,272.0","-246,829.0","-217,769.0","-237,497.0","-240,877.0","-237,886.0","-220,494.0","-225,898.0","-202,894.0","-201,127.0","-160,207.0","-153,863.0","-129,459.0","-111,335.0","-94,863.0","-67,031.0","-83,091.0","-37,182.0","-33,322.0","-9,246.0","-19,042.0","-4,025.0","8,487.0","9,423.0","11,183.0","86,951.0","67,915.0","65,019.0","63,815.0","51,699.0","22,587.0","-183,733.0","-81,125.0","-270,348.0","-297,056.0","-307,672.0","-334,816.0","-343,504.0","-410,980.0","-485,880.0","-415,376.0","-454,408.0","-433,780.0","-415,516.0","-415,188.0","-337,468.0","-332,540.0","-340,248.0","-317,884.0","-234,064.0","-238,104.0","-221,248.0","-171,164.0","-204,481.0","-234,709.0","-258,146.0","-271,671.0","-369,472.0","-730,976.0","-575,024.0","-566,476.0","-800,020.0","-1,061,600.0","-1,028,788.0","-974,448.0","-979,260.0","-993,044.0","-963,164.0","-982,628.0","-911,912.0","-984,908.0","-883,456.0"
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","  Total receipts","W018RC1","194,516.0","197,864.0","195,528.0","196,964.0","191,136.0","191,936.0","188,364.0","187,648.0","192,436.0","195,416.0","196,180.0","201,888.0","220,744.0","222,356.0","225,684.0","233,860.0","249,604.0","252,664.0","256,048.0","265,272.0","272,868.0","282,928.0","293,452.0","289,780.0","283,220.0","250,516.0","294,112.0","302,228.0","317,732.0","324,892.0","332,628.0","339,048.0","359,496.0","366,844.0","373,664.0","384,444.0","394,540.0","422,784.0","440,380.0","459,244.0","475,180.0","486,240.0","498,476.0","509,704.0","524,056.0","521,532.0","541,288.0","570,520.0","613,468.0","623,280.0","639,512.0","631,036.0","626,128.0","631,208.0","620,072.0","622,052.0","628,544.0","654,428.0","648,500.0","664,624.0","699,824.0","712,116.0","718,640.0","733,248.0","787,268.0","750,684.0","788,988.0","796,172.0","807,128.0","810,660.0","824,992.0","849,300.0","852,776.0","921,576.0","913,324.0","927,272.0","945,836.0","954,196.0","971,756.0","992,880.0","1,036,532.0","1,037,948.0","1,050,524.0","1,062,728.0","1,069,900.0","1,090,980.0","1,103,324.0","1,113,220.0","1,104,380.0","1,105,996.0","1,116,392.0","1,124,868.0","1,136,228.0","1,149,564.0","1,158,076.0","1,193,296.0","1,184,180.0","1,231,260.0","1,238,932.0","1,293,580.0","1,291,939.0","1,339,411.0","1,346,595.0","1,370,971.0","1,393,282.0","1,421,194.0","1,429,490.0","1,447,162.0","1,483,837.0","1,539,321.0","1,552,221.0","1,600,321.0","1,625,181.0","1,661,177.0","1,698,457.0","1,722,049.0","1,757,686.0","1,785,246.0","1,821,166.0","1,847,998.0","1,879,759.0","1,901,035.0","1,931,723.0","1,982,419.0","2,061,231.0","2,075,583.0","2,092,571.0","2,111,587.0","2,130,375.0","2,117,063.0","1,921,231.0","2,024,207.0","1,886,808.0","1,883,440.0","1,882,288.0","1,885,988.0","1,908,816.0","1,923,352.0","1,848,140.0","1,947,936.0","1,967,900.0","2,013,172.0","2,070,788.0","2,102,336.0","2,255,492.0","2,281,524.0","2,330,524.0","2,392,748.0","2,505,368.0","2,528,448.0","2,574,492.0","2,601,148.0","2,667,419.0","2,685,167.0","2,677,358.0","2,694,861.0","2,667,240.0","2,439,988.0","2,528,128.0","2,486,748.0","2,248,592.0","2,234,908.0","2,242,248.0","2,286,620.0","2,386,112.0","2,425,972.0","2,490,840.0","2,475,528.0","2,529,420.0","2,559,712.0","2,573,956.0"
"58","38","    Current receipts","W005RC1","191,052.0","194,176.0","191,988.0","193,404.0","187,384.0","188,236.0","184,812.0","183,924.0","188,652.0","191,576.0","192,044.0","195,296.0","214,344.0","217,744.0","220,692.0","228,420.0","243,940.0","247,984.0","251,236.0","260,060.0","267,628.0","278,040.0","288,816.0","285,364.0","278,744.0","245,584.0","288,968.0","297,232.0","312,512.0","319,396.0","327,136.0","332,924.0","347,468.0","361,356.0","367,976.0","379,020.0","389,244.0","417,640.0","435,240.0","453,976.0","469,772.0","480,896.0","493,076.0","503,880.0","518,024.0","515,048.0","534,324.0","563,944.0","607,120.0","616,556.0","632,388.0","623,668.0","617,100.0","623,452.0","612,744.0","616,104.0","622,988.0","648,624.0","642,032.0","659,360.0","693,496.0","706,220.0","712,732.0","727,500.0","780,748.0","744,604.0","782,260.0","790,008.0","800,500.0","803,704.0","817,620.0","842,372.0","845,308.0","914,328.0","905,812.0","920,668.0","938,680.0","947,280.0","963,544.0","984,592.0","1,028,412.0","1,028,832.0","1,041,740.0","1,053,152.0","1,060,216.0","1,076,336.0","1,092,004.0","1,102,480.0","1,093,380.0","1,095,632.0","1,104,544.0","1,114,080.0","1,125,012.0","1,139,104.0","1,146,544.0","1,181,380.0","1,172,244.0","1,218,632.0","1,226,148.0","1,279,316.0","1,276,607.0","1,323,227.0","1,332,115.0","1,356,535.0","1,379,002.0","1,407,186.0","1,413,978.0","1,431,170.0","1,467,645.0","1,521,877.0","1,533,789.0","1,582,433.0","1,605,597.0","1,641,157.0","1,677,457.0","1,700,397.0","1,734,014.0","1,760,230.0","1,795,682.0","1,821,534.0","1,852,311.0","1,872,403.0","1,903,379.0","1,951,763.0","2,032,939.0","2,047,183.0","2,064,655.0","2,083,791.0","2,101,887.0","2,086,971.0","1,894,883.0","1,997,331.0","1,859,952.0","1,858,348.0","1,855,880.0","1,863,136.0","1,886,288.0","1,902,776.0","1,827,372.0","1,923,892.0","1,944,352.0","1,988,984.0","2,044,152.0","2,078,268.0","2,230,692.0","2,257,308.0","2,305,388.0","2,366,928.0","2,473,832.0","2,501,828.0","2,547,388.0","2,575,084.0","2,642,815.0","2,658,543.0","2,651,474.0","2,666,089.0","2,640,132.0","2,409,760.0","2,501,352.0","2,457,708.0","2,225,900.0","2,213,976.0","2,221,580.0","2,268,484.0","2,364,800.0","2,407,848.0","2,475,364.0","2,470,532.0","2,527,936.0","2,554,056.0","2,572,472.0"
