"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"43","24","     Other current transfer receipts, from business (net)","B931RC1","1,248.0","1,284.0","1,284.0","1,308.0","1,320.0","1,332.0","1,332.0","1,344.0","1,344.0","1,356.0","1,356.0","1,356.0","1,344.0","1,332.0","1,320.0","1,320.0","1,296.0","1,308.0","1,296.0","1,296.0","1,308.0","1,308.0","1,308.0","1,308.0","1,320.0","1,320.0","1,320.0","1,320.0","1,344.0","1,356.0","1,344.0","1,368.0","1,392.0","1,404.0","1,404.0","1,440.0","1,464.0","1,476.0","1,500.0","1,524.0","1,536.0","1,536.0","1,560.0","1,572.0","1,584.0","1,596.0","1,620.0","1,620.0","1,788.0","1,788.0","1,812.0","1,824.0","1,836.0","1,848.0","1,860.0","1,884.0","1,908.0","1,920.0","1,956.0","1,992.0","2,028.0","2,076.0","2,112.0","2,136.0","2,184.0","2,196.0","2,220.0","2,244.0","2,256.0","2,256.0","2,268.0","2,268.0","2,340.0","2,328.0","2,328.0","2,316.0","2,292.0","2,292.0","2,268.0","2,244.0","2,220.0","2,208.0","2,196.0","2,148.0","2,172.0","2,148.0","2,136.0","2,124.0","2,100.0","2,100.0","2,088.0","2,088.0","2,088.0","2,100.0","2,100.0","2,112.0","2,136.0","2,160.0","2,172.0","2,196.0","2,220.0","2,232.0","2,268.0","2,292.0","2,328.0","2,364.0","2,376.0","2,400.0","2,436.0","2,508.0","2,568.0","2,640.0","2,712.0","2,808.0","2,832.0","2,892.0","2,940.0","2,988.0","3,036.0","3,096.0","3,216.0","3,264.0","3,300.0","3,324.0","3,360.0","3,384.0","3,360.0","3,384.0","3,360.0","3,360.0","3,336.0","3,324.0"
"44","25","   Less: Contributions for government social insurance, domestic","A061RC1","13,596.0","13,632.0","13,740.0","13,800.0","13,884.0","14,028.0","14,016.0","13,800.0","13,764.0","13,788.0","13,872.0","14,088.0","16,404.0","16,428.0","16,440.0","16,452.0","16,428.0","16,488.0","16,524.0","16,500.0","16,500.0","16,524.0","16,392.0","16,248.0","16,752.0","16,752.0","16,716.0","16,848.0","16,884.0","16,980.0","17,040.0","17,100.0","17,052.0","17,196.0","17,352.0","17,388.0","18,792.0","18,828.0","19,044.0","19,104.0","19,080.0","19,140.0","19,164.0","19,152.0","19,260.0","19,212.0","19,284.0","19,344.0","21,288.0","21,288.0","21,432.0","21,456.0","21,492.0","21,696.0","21,684.0","21,720.0","21,864.0","21,972.0","21,972.0","22,164.0","21,888.0","22,104.0","22,116.0","22,224.0","22,296.0","22,296.0","22,404.0","22,548.0","22,596.0","22,512.0","22,764.0","22,896.0","22,788.0","22,884.0","22,992.0","23,052.0","23,256.0","23,280.0","23,376.0","23,556.0","23,724.0","23,868.0","24,024.0","24,192.0","30,192.0","30,396.0","30,540.0","30,708.0","30,804.0","31,008.0","31,824.0","31,944.0","32,004.0","32,112.0","32,220.0","32,280.0","33,600.0","33,564.0","33,732.0","34,440.0","34,500.0","34,800.0","34,980.0","35,304.0","35,436.0","35,592.0","35,988.0","36,468.0","37,284.0","37,620.0","37,860.0","38,160.0","38,472.0","38,640.0","38,916.0","39,060.0","39,240.0","39,384.0","39,756.0","39,948.0","42,672.0","42,852.0","43,200.0","43,404.0","43,692.0","43,980.0","44,376.0","44,628.0","44,868.0","45,120.0","45,324.0","45,408.0"
"45","26","Less: Personal current taxes","W055RC1","40,229.0","40,750.0","41,295.0","41,664.0","42,060.0","42,234.0","42,656.0","42,559.0","42,822.0","43,172.0","43,665.0","44,362.0","44,861.0","45,322.0","45,693.0","45,870.0","46,102.0","46,112.0","46,344.0","46,600.0","46,640.0","46,564.0","46,464.0","46,244.0","46,409.0","46,495.0","46,629.0","46,737.0","46,984.0","47,111.0","47,140.0","47,412.0","47,654.0","47,851.0","48,160.0","48,418.0","49,086.0","49,300.0","49,820.0","50,410.0","50,875.0","51,487.0","51,914.0","52,345.0","52,698.0","53,081.0","53,696.0","53,948.0","53,963.0","54,013.0","54,327.0","53,896.0","54,406.0","54,631.0","54,544.0","54,591.0","54,644.0","54,937.0","55,121.0","55,551.0","55,997.0","56,740.0","48,528.0","49,161.0","49,824.0","50,184.0","50,857.0","51,741.0","52,127.0","52,594.0","53,158.0","53,917.0","56,461.0","56,681.0","57,750.0","59,609.0","57,284.0","58,352.0","56,908.0","56,765.0","57,342.0","57,407.0","58,125.0","59,284.0","60,451.0","61,429.0","62,698.0","64,467.0","65,672.0","66,562.0","67,284.0","67,807.0","68,471.0","69,461.0","70,889.0","71,345.0","71,469.0","71,209.0","70,847.0","70,620.0","70,776.0","71,430.0","72,735.0","73,963.0","74,801.0","74,980.0","75,886.0","76,816.0","77,674.0","78,816.0","79,202.0","80,457.0","81,904.0","82,634.0","88,669.0","91,598.0","95,316.0","94,688.0","95,952.0","96,934.0","99,213.0","102,920.0","105,673.0","109,009.0","104,801.0","103,170.0","103,159.0","104,149.0","105,109.0","105,299.0","105,327.0","106,243.0"
"46","27","Equals: Disposable personal income","A067RC1","340,692.0","342,395.0","344,816.0","347,727.0","350,009.0","352,214.0","352,208.0","350,611.0","351,575.0","352,985.0","355,842.0","359,553.0","360,738.0","360,969.0","361,483.0","364,146.0","365,230.0","365,460.0","366,343.0","366,417.0","367,216.0","369,064.0","368,564.0","366,628.0","370,473.0","372,354.0","373,584.0","374,194.0","377,264.0","381,573.0","383,765.0","383,981.0","384,887.0","388,888.0","392,709.0","395,043.0","394,615.0","397,648.0","400,816.0","402,998.0","403,421.0","404,205.0","405,558.0","406,418.0","408,485.0","409,688.0","411,443.0","413,015.0","417,097.0","414,817.0","416,064.0","418,018.0","420,080.0","423,510.0","424,660.0","427,106.0","430,106.0","433,702.0","435,041.0","439,191.0","441,940.0","443,860.0","454,751.0","457,571.0","460,097.0","462,480.0","464,573.0","467,790.0","470,303.0","470,639.0","473,849.0","479,171.0","480,677.0","480,755.0","482,774.0","484,288.0","490,609.0","492,566.0","498,076.0","500,593.0","514,844.0","511,948.0","516,527.0","520,378.0","521,660.0","525,515.0","528,369.0","528,542.0","530,038.0","533,713.0","536,826.0","541,651.0","546,337.0","549,789.0","552,959.0","553,426.0","559,398.0","560,938.0","565,587.0","566,412.0","568,670.0","572,674.0","577,085.0","580,743.0","582,136.0","583,470.0","588,807.0","595,394.0","598,697.0","605,476.0","613,180.0","617,602.0","622,169.0","626,657.0","627,276.0","630,237.0","631,955.0","637,096.0","641,371.0","644,647.0","646,135.0","647,630.0","651,555.0","654,128.0","664,205.0","671,864.0","679,717.0","685,964.0","689,987.0","694,480.0","698,165.0","702,040.0"
"47","28","Less: Personal outlays","A068RC1","312,572.0","316,086.0","319,283.0","318,824.0","322,813.0","324,940.0","324,626.0","327,078.0","331,221.0","329,871.0","330,013.0","330,097.0","330,854.0","332,660.0","337,550.0","343,993.0","337,628.0","337,754.0","339,108.0","339,417.0","341,260.0","343,346.0","343,363.0","339,344.0","340,246.0","341,816.0","345,788.0","345,732.0","347,983.0","348,998.0","348,754.0","350,294.0","352,632.0","354,840.0","358,260.0","360,814.0","361,606.0","362,441.0","365,902.0","367,659.0","370,702.0","369,188.0","370,253.0","371,855.0","377,803.0","375,664.0","380,852.0","382,819.0","383,718.0","382,753.0","384,429.0","385,825.0","386,787.0","391,374.0","394,281.0","396,271.0","395,575.0","396,202.0","399,715.0","405,057.0","407,234.0","410,714.0","412,456.0","413,618.0","419,334.0","422,373.0","426,107.0","429,040.0","428,012.0","431,081.0","427,899.0","432,591.0","435,994.0","443,016.0","445,016.0","449,056.0","449,738.0","447,457.0","453,317.0","456,735.0","464,433.0","470,942.0","471,587.0","474,286.0","477,791.0","482,952.0","487,872.0","489,974.0","486,224.0","488,743.0","493,849.0","496,518.0","502,614.0","501,816.0","503,671.0","505,550.0","508,084.0","506,890.0","509,773.0","515,782.0","516,735.0","521,335.0","520,898.0","524,056.0","529,912.0","526,472.0","531,729.0","539,536.0","545,403.0","548,192.0","559,040.0","558,915.0","564,863.0","571,495.0","578,687.0","582,703.0","584,068.0","587,584.0","592,885.0","592,893.0","600,094.0","605,511.0","605,897.0","611,278.0","617,846.0","618,600.0","620,531.0","627,922.0","631,375.0","636,888.0","638,980.0","641,380.0"
"48","29","  Personal consumption expenditures","DPCERC1","306,702.0","310,162.0","313,302.0","312,775.0","316,698.0","318,753.0","318,342.0","320,714.0","324,779.0","323,347.0","323,417.0","323,433.0","324,170.0","325,909.0","330,729.0","337,071.0","330,639.0","330,704.0","331,983.0","332,240.0","334,034.0","336,046.0","336,024.0","331,972.0","332,851.0","334,400.0","338,355.0","338,335.0","340,572.0","341,570.0","341,277.0","342,790.0","345,093.0","347,222.0","350,610.0","353,141.0","353,933.0","354,736.0","358,145.0","359,793.0","362,761.0","361,167.0","362,134.0","363,659.0","369,536.0","367,335.0","372,459.0","374,366.0","375,112.0","374,075.0","375,669.0","377,012.0","377,871.0","382,351.0","385,079.0","386,961.0","386,166.0","386,698.0","390,128.0","395,399.0","397,545.0","400,951.0","402,609.0","403,630.0","409,244.0","412,174.0","415,737.0","418,570.0","417,456.0","420,448.0","417,204.0","421,842.0","425,266.0","432,216.0","434,114.0","437,881.0","438,450.0","436,071.0","441,865.0","445,211.0","452,850.0","459,330.0","459,914.0","462,545.0","466,043.0","471,119.0","475,947.0","477,880.0","474,044.0","476,491.0","481,548.0","484,151.0","490,172.0","489,305.0","491,085.0","492,899.0","495,287.0","494,049.0","496,899.0","502,412.0","503,337.0","507,905.0","507,798.0","510,914.0","516,722.0","513,316.0","518,506.0","526,233.0","531,985.0","534,662.0","545,383.0","545,089.0","550,896.0","557,392.0","564,319.0","568,194.0","569,411.0","572,867.0","578,006.0","577,847.0","584,873.0","590,118.0","590,333.0","595,335.0","601,742.0","602,344.0","604,185.0","611,435.0","614,751.0","620,050.0","622,019.0","624,310.0"
"49","30","  Personal interest payments \3\","B069RC1","5,078.0","5,132.0","5,192.0","5,253.0","5,323.0","5,399.0","5,490.0","5,571.0","5,650.0","5,732.0","5,804.0","5,872.0","5,927.0","5,992.0","6,057.0","6,134.0","6,194.0","6,248.0","6,293.0","6,337.0","6,378.0","6,423.0","6,451.0","6,470.0","6,471.0","6,478.0","6,481.0","6,471.0","6,475.0","6,482.0","6,485.0","6,504.0","6,531.0","6,590.0","6,616.0","6,633.0","6,600.0","6,628.0","6,676.0","6,766.0","6,839.0","6,917.0","7,011.0","7,089.0","7,161.0","7,223.0","7,290.0","7,356.0","7,407.0","7,483.0","7,569.0","7,672.0","7,774.0","7,880.0","8,010.0","8,114.0","8,209.0","8,303.0","8,377.0","8,436.0","8,441.0","8,502.0","8,579.0","8,684.0","8,784.0","8,891.0","9,033.0","9,133.0","9,219.0","9,276.0","9,344.0","9,407.0","9,429.0","9,511.0","9,617.0","9,801.0","9,911.0","10,003.0","10,066.0","10,128.0","10,177.0","10,192.0","10,235.0","10,282.0","10,328.0","10,389.0","10,460.0","10,573.0","10,639.0","10,691.0","10,695.0","10,742.0","10,798.0","10,890.0","10,947.0","10,994.0","11,032.0","11,060.0","11,077.0","11,064.0","11,078.0","11,099.0","11,126.0","11,158.0","11,196.0","11,226.0","11,286.0","11,362.0","11,454.0","11,562.0","11,685.0","11,849.0","11,985.0","12,116.0","12,229.0","12,365.0","12,508.0","12,664.0","12,821.0","12,983.0","13,160.0","13,326.0","13,491.0","13,664.0","13,818.0","13,963.0","14,090.0","14,223.0","14,352.0","14,493.0","14,606.0","14,705.0"
"50","31","  Personal current transfer payments","W211RC1","792.0","792.0","789.0","796.0","792.0","788.0","794.0","793.0","792.0","792.0","792.0","792.0","757.0","759.0","764.0","788.0","795.0","802.0","832.0","840.0","848.0","877.0","888.0","902.0","924.0","938.0","952.0","926.0","936.0","946.0","992.0","1,000.0","1,008.0","1,028.0","1,034.0","1,040.0","1,073.0","1,077.0","1,081.0","1,100.0","1,102.0","1,104.0","1,108.0","1,107.0","1,106.0","1,106.0","1,103.0","1,097.0","1,199.0","1,195.0","1,191.0","1,141.0","1,142.0","1,143.0","1,192.0","1,196.0","1,200.0","1,201.0","1,210.0","1,222.0","1,248.0","1,261.0","1,268.0","1,304.0","1,306.0","1,308.0","1,337.0","1,337.0","1,337.0","1,357.0","1,351.0","1,342.0","1,299.0","1,289.0","1,285.0","1,374.0","1,377.0","1,383.0","1,386.0","1,396.0","1,406.0","1,420.0","1,438.0","1,459.0","1,420.0","1,444.0","1,465.0","1,521.0","1,541.0","1,561.0","1,606.0","1,625.0","1,644.0","1,621.0","1,639.0","1,657.0","1,765.0","1,781.0","1,797.0","2,306.0","2,320.0","2,331.0","1,974.0","1,984.0","1,994.0","1,930.0","1,937.0","1,941.0","1,964.0","1,968.0","1,972.0","1,977.0","1,982.0","1,987.0","2,139.0","2,144.0","2,149.0","2,053.0","2,058.0","2,063.0","2,061.0","2,067.0","2,073.0","2,279.0","2,286.0","2,293.0","2,256.0","2,264.0","2,272.0","2,345.0","2,355.0","2,365.0"
"51","32","    To government","W062RC1","336.0","336.0","333.0","324.0","320.0","316.0","314.0","313.0","312.0","312.0","312.0","312.0","309.0","311.0","316.0","320.0","327.0","334.0","344.0","352.0","360.0","365.0","376.0","390.0","416.0","430.0","444.0","454.0","464.0","474.0","484.0","492.0","500.0","512.0","518.0","524.0","533.0","537.0","541.0","544.0","546.0","548.0","548.0","547.0","546.0","546.0","543.0","537.0","523.0","519.0","515.0","521.0","522.0","523.0","528.0","532.0","536.0","537.0","546.0","558.0","588.0","601.0","608.0","604.0","606.0","608.0","605.0","605.0","605.0","605.0","599.0","590.0","563.0","553.0","549.0","554.0","557.0","563.0","570.0","580.0","590.0","600.0","618.0","639.0","668.0","692.0","713.0","729.0","749.0","769.0","790.0","809.0","828.0","845.0","863.0","881.0","905.0","921.0","937.0","954.0","968.0","979.0","994.0","1,004.0","1,014.0","1,030.0","1,037.0","1,041.0","1,028.0","1,032.0","1,036.0","1,033.0","1,038.0","1,043.0","1,035.0","1,040.0","1,045.0","1,041.0","1,046.0","1,051.0","1,069.0","1,075.0","1,081.0","1,099.0","1,106.0","1,113.0","1,136.0","1,144.0","1,152.0","1,177.0","1,187.0","1,197.0"
"52","33","    To the rest of the world (net)","B070RC1","456.0","456.0","456.0","472.0","472.0","472.0","480.0","480.0","480.0","480.0","480.0","480.0","448.0","448.0","448.0","468.0","468.0","468.0","488.0","488.0","488.0","512.0","512.0","512.0","508.0","508.0","508.0","472.0","472.0","472.0","508.0","508.0","508.0","516.0","516.0","516.0","540.0","540.0","540.0","556.0","556.0","556.0","560.0","560.0","560.0","560.0","560.0","560.0","676.0","676.0","676.0","620.0","620.0","620.0","664.0","664.0","664.0","664.0","664.0","664.0","660.0","660.0","660.0","700.0","700.0","700.0","732.0","732.0","732.0","752.0","752.0","752.0","736.0","736.0","736.0","820.0","820.0","820.0","816.0","816.0","816.0","820.0","820.0","820.0","752.0","752.0","752.0","792.0","792.0","792.0","816.0","816.0","816.0","776.0","776.0","776.0","860.0","860.0","860.0","1,352.0","1,352.0","1,352.0","980.0","980.0","980.0","900.0","900.0","900.0","936.0","936.0","936.0","944.0","944.0","944.0","1,104.0","1,104.0","1,104.0","1,012.0","1,012.0","1,012.0","992.0","992.0","992.0","1,180.0","1,180.0","1,180.0","1,120.0","1,120.0","1,120.0","1,168.0","1,168.0","1,168.0"
"53","34","Equals: Personal saving","A071RC1","28,121.0","26,309.0","25,534.0","28,903.0","27,196.0","27,274.0","27,582.0","23,533.0","20,355.0","23,114.0","25,828.0","29,455.0","29,884.0","28,309.0","23,933.0","20,153.0","27,602.0","27,705.0","27,235.0","27,000.0","25,956.0","25,718.0","25,201.0","27,285.0","30,226.0","30,538.0","27,797.0","28,461.0","29,282.0","32,575.0","35,011.0","33,688.0","32,255.0","34,048.0","34,449.0","34,230.0","33,009.0","35,207.0","34,914.0","35,339.0","32,719.0","35,017.0","35,304.0","34,563.0","30,682.0","34,024.0","30,591.0","30,196.0","33,379.0","32,064.0","31,635.0","32,193.0","33,293.0","32,136.0","30,379.0","30,836.0","34,531.0","37,500.0","35,326.0","34,135.0","34,705.0","33,146.0","42,295.0","43,953.0","40,764.0","40,107.0","38,466.0","38,750.0","42,291.0","39,557.0","45,951.0","46,580.0","44,683.0","37,739.0","37,758.0","35,232.0","40,870.0","45,110.0","44,759.0","43,858.0","50,412.0","41,006.0","44,940.0","46,092.0","43,869.0","42,563.0","40,497.0","38,568.0","43,814.0","44,970.0","42,976.0","45,133.0","43,722.0","47,972.0","49,288.0","47,876.0","51,314.0","54,048.0","55,814.0","50,630.0","51,934.0","51,339.0","56,187.0","56,687.0","52,224.0","56,998.0","57,078.0","55,858.0","53,294.0","57,284.0","54,140.0","58,687.0","57,306.0","55,162.0","48,589.0","47,535.0","47,887.0","49,512.0","48,487.0","51,754.0","46,041.0","42,119.0","45,658.0","42,850.0","46,359.0","53,264.0","59,186.0","58,042.0","58,612.0","57,592.0","59,185.0","60,660.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","8.3","7.7","7.4","8.3","7.8","7.7","7.8","6.7","5.8","6.5","7.3","8.2","8.3","7.8","6.6","5.5","7.6","7.6","7.4","7.4","7.1","7.0","6.8","7.4","8.2","8.2","7.4","7.6","7.8","8.5","9.1","8.8","8.4","8.8","8.8","8.7","8.4","8.9","8.7","8.8","8.1","8.7","8.7","8.5","7.5","8.3","7.4","7.3","8.0","7.7","7.6","7.7","7.9","7.6","7.2","7.2","8.0","8.6","8.1","7.8","7.9","7.5","9.3","9.6","8.9","8.7","8.3","8.3","9.0","8.4","9.7","9.7","9.3","7.8","7.8","7.3","8.3","9.2","9.0","8.8","9.8","8.0","8.7","8.9","8.4","8.1","7.7","7.3","8.3","8.4","8.0","8.3","8.0","8.7","8.9","8.7","9.2","9.6","9.9","8.9","9.1","9.0","9.7","9.8","9.0","9.8","9.7","9.4","8.9","9.5","8.8","9.5","9.2","8.8","7.7","7.5","7.6","7.8","7.6","8.0","7.1","6.5","7.0","6.6","7.0","7.9","8.7","8.5","8.5","8.3","8.5","8.6"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts (millions of chained 2005 dollars) \4\","W875RX1","1,966,711.0","1,975,899.0","1,991,942.0","2,006,011.0","2,020,571.0","2,026,853.0","2,024,330.0","2,012,617.0","2,012,013.0","2,015,998.0","2,029,920.0","2,052,391.0","2,065,245.0","2,066,199.0","2,067,420.0","2,074,679.0","2,079,143.0","2,077,038.0","2,078,976.0","2,075,295.0","2,076,077.0","2,082,972.0","2,069,715.0","2,055,662.0","2,074,908.0","2,074,703.0","2,084,343.0","2,091,844.0","2,103,231.0","2,121,255.0","2,126,590.0","2,135,216.0","2,140,088.0","2,162,848.0","2,183,705.0","2,194,658.0","2,190,666.0","2,202,292.0","2,217,054.0","2,230,730.0","2,233,733.0","2,238,918.0","2,248,755.0","2,250,891.0","2,253,416.0","2,258,921.0","2,271,434.0","2,282,499.0","2,276,742.0","2,282,189.0","2,291,620.0","2,299,561.0","2,308,311.0","2,322,219.0","2,322,904.0","2,332,077.0","2,347,710.0","2,361,918.0","2,366,618.0","2,383,247.0","2,384,534.0","2,405,780.0","2,417,016.0","2,431,901.0","2,447,592.0","2,458,142.0","2,467,930.0","2,487,015.0","2,497,088.0","2,499,592.0","2,515,635.0","2,540,257.0","2,545,080.0","2,558,247.0","2,569,946.0","2,580,815.0","2,596,374.0","2,603,318.0","2,620,630.0","2,634,299.0","2,654,658.0","2,682,723.0","2,702,121.0","2,715,828.0","2,723,392.0","2,734,754.0","2,747,508.0","2,748,356.0","2,757,840.0","2,774,603.0","2,788,274.0","2,795,714.0","2,801,721.0","2,815,046.0","2,825,411.0","2,820,866.0","2,846,415.0","2,844,711.0","2,856,011.0","2,857,284.0","2,861,628.0","2,873,291.0","2,887,470.0","2,898,942.0","2,901,789.0","2,897,178.0","2,914,860.0","2,944,594.0","2,946,672.0","2,970,975.0","2,985,202.0","2,996,058.0","3,013,373.0","3,026,610.0","3,045,792.0","3,055,504.0","3,069,284.0","3,074,024.0","3,086,822.0","3,097,930.0","3,099,272.0","3,111,224.0","3,125,318.0","3,136,534.0","3,148,189.0","3,158,891.0","3,176,736.0","3,197,436.0","3,204,379.0","3,211,097.0","3,212,166.0","3,215,255.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2005) dollars \4\","A067RX1","1,876,775.0","1,884,527.0","1,896,648.0","1,908,902.0","1,920,481.0","1,927,128.0","1,923,082.0","1,911,613.0","1,911,838.0","1,914,872.0","1,929,108.0","1,946,995.0","1,954,385.0","1,953,710.0","1,955,356.0","1,962,579.0","1,966,318.0","1,966,682.0","1,967,834.0","1,964,864.0","1,967,939.0","1,975,576.0","1,966,215.0","1,955,499.0","1,975,767.0","1,983,882.0","1,991,586.0","1,995,956.0","2,011,227.0","2,033,183.0","2,040,449.0","2,039,868.0","2,042,292.0","2,063,691.0","2,083,763.0","2,095,536.0","2,089,219.0","2,099,595.0","2,113,668.0","2,122,703.0","2,123,663.0","2,126,442.0","2,134,855.0","2,136,415.0","2,136,879.0","2,145,484.0","2,153,076.0","2,162,161.0","2,178,087.0","2,164,104.0","2,172,462.0","2,182,858.0","2,190,193.0","2,203,309.0","2,204,976.0","2,214,697.0","2,230,715.0","2,245,006.0","2,248,746.0","2,266,661.0","2,276,095.0","2,282,591.0","2,337,144.0","2,349,723.0","2,362,420.0","2,371,223.0","2,378,843.0","2,393,351.0","2,402,473.0","2,402,624.0","2,415,648.0","2,439,297.0","2,444,382.0","2,443,770.0","2,450,877.0","2,454,732.0","2,481,208.0","2,483,933.0","2,509,873.0","2,521,967.0","2,592,622.0","2,577,118.0","2,595,838.0","2,605,719.0","2,609,054.0","2,617,434.0","2,625,216.0","2,616,863.0","2,620,937.0","2,632,534.0","2,642,723.0","2,656,295.0","2,670,748.0","2,680,516.0","2,691,877.0","2,688,611.0","2,717,321.0","2,721,671.0","2,742,745.0","2,742,253.0","2,747,920.0","2,758,452.0","2,770,479.0","2,779,342.0","2,777,697.0","2,776,395.0","2,792,674.0","2,819,522.0","2,822,229.0","2,842,677.0","2,869,597.0","2,881,366.0","2,891,951.0","2,903,616.0","2,897,560.0","2,899,364.0","2,897,084.0","2,907,902.0","2,917,455.0","2,926,133.0","2,921,237.0","2,920,500.0","2,924,319.0","2,922,916.0","2,955,925.0","2,975,576.0","2,997,174.0","3,016,234.0","3,021,326.0","3,030,573.0","3,033,531.0","3,036,416.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","1,938","1,945","1,956","1,970","1,981","1,990","1,988","1,976","1,978","1,983","1,996","2,014","2,010","2,009","2,009","2,022","2,025","2,024","2,026","2,023","2,025","2,032","2,026","2,013","2,031","2,039","2,043","2,044","2,058","2,079","2,088","2,086","2,087","2,106","2,124","2,134","2,129","2,143","2,158","2,167","2,167","2,168","2,173","2,174","2,182","2,186","2,192","2,198","2,217","2,203","2,207","2,215","2,224","2,239","2,243","2,252","2,265","2,281","2,285","2,305","2,317","2,324","2,379","2,391","2,402","2,412","2,420","2,433","2,443","2,442","2,456","2,481","2,487","2,485","2,493","2,499","2,529","2,536","2,562","2,572","2,642","2,624","2,645","2,662","2,667","2,684","2,697","2,695","2,700","2,717","2,730","2,751","2,772","2,787","2,800","2,800","2,828","2,834","2,855","2,857","2,866","2,883","2,903","2,918","2,922","2,926","2,950","2,981","2,996","3,028","3,064","3,084","3,104","3,124","3,124","3,136","3,141","3,164","3,182","3,196","3,202","3,207","3,224","3,234","3,281","3,316","3,352","3,379","3,396","3,414","3,429","3,445"
"61","39","      Chained (2005) dollars","A229RX0","10,675","10,705","10,760","10,815","10,867","10,891","10,852","10,771","10,755","10,756","10,821","10,907","10,888","10,872","10,869","10,896","10,904","10,892","10,884","10,850","10,850","10,875","10,808","10,735","10,832","10,863","10,891","10,901","10,970","11,076","11,100","11,080","11,076","11,176","11,270","11,319","11,272","11,315","11,378","11,414","11,405","11,406","11,437","11,429","11,416","11,446","11,472","11,507","11,579","11,493","11,526","11,569","11,594","11,650","11,644","11,679","11,747","11,807","11,813","11,894","11,932","11,954","12,227","12,280","12,333","12,364","12,389","12,449","12,480","12,466","12,520","12,630","12,645","12,631","12,658","12,666","12,791","12,791","12,910","12,957","13,304","13,209","13,293","13,331","13,338","13,371","13,400","13,345","13,353","13,399","13,438","13,492","13,550","13,586","13,631","13,603","13,737","13,748","13,844","13,830","13,847","13,888","13,935","13,966","13,943","13,923","13,993","14,116","14,121","14,214","14,339","14,386","14,427","14,473","14,430","14,425","14,400","14,440","14,476","14,508","14,474","14,461","14,470","14,452","14,603","14,688","14,781","14,859","14,869","14,899","14,900","14,902"
