"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"42","23","  To government (net)","W061RC1","1,456.0","1,471.0","1,469.0","1,472.0","1,493.0","1,495.0","1,377.0","1,359.0","1,455.0","1,448.0","1,457.0","1,484.0","1,624.0","1,659.0","1,686.0","1,699.0","1,948.0","2,025.0","1,583.0","1,644.0","1,966.0","2,058.0","2,092.0","2,084.0","2,208.0","2,197.0","2,180.0","2,183.0","2,501.0","2,414.0","2,394.0","2,459.0","2,692.0","2,819.0","3,169.0","3,284.0","3,708.0","3,858.0","3,983.0","4,095.0","4,430.0","4,507.0","4,562.0","4,609.0","4,983.0","5,064.0","4,997.0","6,424.0","6,085.0","5,587.0","5,621.0","5,659.0","6,608.0","6,855.0","7,040.0","7,217.0","7,520.0","7,733.0","7,903.0","8,384.0","9,076.0","9,399.0","9,572.0","9,677.0","10,255.0","15,998.0","10,455.0","10,492.0","18,711.0","11,060.0","10,241.0","12,040.0","12,739.0","13,792.0","12,753.0","12,980.0","11,516.0","11,564.0","12,403.0","13,153.0","13,961.0","14,533.0","15,936.0","15,950.0","16,094.0","16,026.0","17,000.0","18,824.0","20,598.0","20,722.0","21,456.0","22,236.0","22,371.0","22,030.0","22,672.0","27,139.0","25,149.0","25,146.0","25,406.0","26,855.0","28,697.0","27,681.0","28,447.0","26,787.0","25,875.0","25,110.0","24,566.0","23,877.0","24,718.0","25,805.0","26,845.0","45,536.0","27,793.0","28,525.0","33,385.0","29,621.0","31,144.0","30,404.0","31,800.0","43,852.0","35,648.0","36,200.0","36,176.0","37,780.0","40,956.0","41,844.0","42,044.0","42,832.0","42,828.0","43,244.0","44,232.0","45,224.0","46,608.0","45,856.0","45,856.0","46,592.0","47,224.0","47,644.0","48,644.0","49,712.0","51,483.0","52,464.0","53,011.0","52,518.0","52,159.0","53,099.0","53,405.0","54,926.0","56,669.0","57,721.0","58,826.0","59,940.0","60,861.0","60,922.0","61,639.0","64,503.0","67,143.0","67,165.0","66,017.0","81,950.0","85,774.0","100,250.0","82,872.0","84,926.0","85,381.0","84,472.0","89,206.0","89,710.0","91,799.0","89,603.0","89,984.0","85,535.0","81,905.0","75,000.0","67,682.0","62,841.0","84,739.0","90,970.0","85,507.0","94,788.0","85,247.0","84,328.0","138,950.0","89,994.0","87,301.0"
"43","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-248.0","-128.0","-64.0","-44.0","-64.0","-204.0","-376.0","-572.0","-796.0","-768.0","-432.0","220.0","1,728.0","1,948.0","1,624.0","220.0","-704.0","-1,132.0","-1,160.0","-824.0","-612.0","104.0","1,160.0","2,484.0","4,952.0","4,924.0","3,700.0","1,560.0","-1,589.0","-2,642.0","-3,120.0","-3,086.0","-1,700.0","-29.0","1,863.0","3,716.0","7,783.0","8,939.0","8,911.0","8,348.0","2,075.0","358.0","-620.0","-855.0","909.0","714.0","1,839.0","3,308.0","8,858.0","11,578.0","9,778.0","18,624.0","18,863.0","17,921.0","12,393.0","10,017.0","1,945.0","911.0","4,584.0","3,865.0","14,144.0","8,208.0","5,792.0","-4,255.0","9,892.0","6,345.0","4,970.0","7,505.0","1,358.0","-3,335.0","-4,046.0","-3,070.0","3,374.0","155.0","-1,381.0","-8,863.0","1,431.0","-12,759.0","-10,101.0","-10,358.0","-8,490.0","-7,515.0","-7,535.0","-9,658.0","-11,583.0","-11,028.0","-9,631.0","-10,816.0","-9,093.0","-5,076.0","-1,054.0","2,442.0","4,387.0"
"44","25","Current surplus of government enterprises \2\","A108RC1","13.0","-4.0","-32.0","42.0","-677.0","-1,294.0","-1,276.0","-1,549.0","-1,942.0","-1,425.0","-1,754.0","-1,671.0","-1,589.0","-1,256.0","-1,124.0","-654.0","-1,597.0","-2,004.0","-2,423.0","-2,792.0","-2,704.0","-2,134.0","-2,688.0","-3,205.0","-3,952.0","-4,169.0","-4,569.0","-4,729.0","-2,734.0","-2,738.0","-2,634.0","-2,717.0","-2,955.0","-3,082.0","-3,604.0","-3,695.0","-3,646.0","-3,184.0","-1,861.0","-2,698.0","-2,781.0","-2,939.0","-3,117.0","-4,011.0","-4,126.0","-4,768.0","-5,092.0","-6,218.0","-6,649.0","-4,601.0","-5,078.0","-4,358.0","-3,823.0","-3,720.0","-3,871.0","-3,764.0","-2,986.0","-2,490.0","-2,145.0","-1,628.0","-2,118.0","-1,611.0","-1,291.0","-483.0","228.0","1,544.0","1,843.0","1,613.0","1,888.0","1,950.0","1,953.0","2,062.0","2,463.0","2,248.0","1,994.0","1,961.0","1,687.0","5,925.0","6,046.0","6,503.0","6,544.0","6,724.0","6,624.0","6,799.0","4,648.0","3,255.0","2,841.0","2,190.0","5,535.0","7,969.0","8,216.0","9,635.0","9,409.0","10,193.0","10,724.0","9,387.0","9,113.0","11,329.0","11,050.0","11,592.0","12,172.0","12,111.0","11,742.0","11,292.0","15,663.0","15,434.0","15,564.0","15,812.0","16,486.0","16,658.0","17,155.0","17,260.0","17,364.0","18,058.0","17,306.0","17,086.0","16,399.0","16,662.0","16,569.0","15,416.0","17,320.0","16,664.0","16,158.0","14,542.0","14,212.0","12,796.0","9,396.0","6,507.0","5,767.0","3,961.0","8,767.0","2,151.0","4,326.0","4,806.0","9,777.0","9,061.0","6,082.0","4,493.0","2,980.0","2,000.0","107.0","-937.0","-2,706.0","-3,652.0","-4,932.0","-5,729.0","-7,341.0","-7,591.0","-5,923.0","-8,107.0","-10,395.0","-12,825.0","-15,682.0","-15,749.0","-15,587.0","-18,750.0","-20,217.0","-21,204.0","-21,458.0","-21,948.0","-21,830.0","-20,415.0","-19,531.0","-20,743.0","-21,179.0","-22,587.0","-23,466.0","-24,313.0","-24,461.0","-24,094.0","-24,641.0","-24,851.0","-23,873.0","-24,530.0","-25,432.0","-27,318.0","-27,785.0","-29,644.0","-30,121.0","-30,985.0","-31,064.0","-33,606.0","-36,337.0","-35,653.0","-34,474.0"
"45",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Net cash flow with IVA","A904RC1","91,597.0","90,795.0","90,523.0","87,011.0","85,320.0","90,748.0","91,098.0","89,268.0","99,427.0","102,273.0","106,809.0","112,344.0","116,241.0","119,055.0","123,572.0","127,808.0","133,555.0","132,298.0","137,351.0","139,383.0","138,004.0","137,390.0","131,592.0","136,870.0","149,040.0","161,802.0","175,622.0","185,574.0","193,193.0","193,289.0","196,439.0","198,127.0","206,792.0","225,057.0","240,003.0","236,909.0","240,818.0","260,239.0","268,935.0","279,438.0","277,916.0","284,415.0","288,249.0","289,574.0","279,467.0","273,809.0","282,821.0","302,559.0","317,351.0","326,615.0","345,022.0","348,935.0","343,208.0","362,255.0","363,739.0","364,242.0","380,706.0","397,362.0","405,890.0","422,318.0","439,556.0","444,752.0","457,059.0","469,511.0","471,476.0","481,457.0","498,237.0","486,446.0","472,660.0","461,228.0","453,417.0","446,243.0","460,692.0","488,091.0","509,178.0","520,125.0","531,974.0","541,953.0","539,412.0","557,707.0","534,407.0","538,846.0","539,384.0","528,935.0","548,651.0","570,301.0","546,073.0","566,695.0","610,195.0","613,609.0","612,690.0","610,825.0","633,234.0","633,438.0","584,530.0","640,438.0","631,348.0","654,560.0","676,183.0","693,727.0","682,453.0","732,017.0","751,983.0","770,884.0","777,320.0","810,405.0","838,949.0","846,740.0","876,772.0","873,638.0","877,090.0","895,831.0","926,181.0","947,466.0","973,848.0","972,136.0","904,780.0","913,063.0","927,567.0","926,593.0","990,997.0","1,004,302.0","992,149.0","1,001,731.0","977,963.0","974,432.0","983,869.0","967,362.0","1,022,467.0","1,070,049.0","1,112,177.0","1,114,560.0","1,196,917.0","1,212,463.0","1,236,659.0","1,294,729.0","1,277,492.0","1,326,765.0","1,337,617.0","1,339,012.0","1,409,104.0","1,400,626.0","1,405,275.0","1,330,439.0","1,490,554.0","1,520,903.0","1,499,631.0","1,585,669.0","1,579,168.0","1,574,460.0","1,599,450.0","1,549,833.0","1,452,372.0","1,498,447.0","1,457,203.0","1,440,260.0","1,394,617.0","1,445,125.0","1,515,346.0","1,607,825.0","1,858,988.0","1,872,750.0","1,854,312.0","2,002,349.0","2,052,903.0","2,101,773.0","2,131,351.0","2,093,667.0","1,921,284.0","2,059,241.0","2,097,255.0","2,208,251.0","2,106,359.0","2,099,423.0","2,147,134.0","1,913,201.0","2,119,272.0","1,946,799.0","2,174,807.0","2,082,478.0","1,919,526.0","2,052,922.0","2,099,841.0","2,111,968.0","1,979,902.0"
"47","27","    Undistributed profits with IVA and CCAdj","A127RC1","38,052.0","35,780.0","34,010.0","28,960.0","25,687.0","29,558.0","28,419.0","25,054.0","33,750.0","35,214.0","38,352.0","42,502.0","45,046.0","46,322.0","49,115.0","51,657.0","55,364.0","51,734.0","54,032.0","52,908.0","48,008.0","43,461.0","33,392.0","33,942.0","41,026.0","49,472.0","59,702.0","66,810.0","72,331.0","69,859.0","69,931.0","68,023.0","72,642.0","86,586.0","97,262.0","89,802.0","89,174.0","103,652.0","107,020.0","111,825.0","104,156.0","104,266.0","101,448.0","95,905.0","78,670.0","65,542.0","66,790.0","78,197.0","84,548.0","85,507.0","95,790.0","91,750.0","78,422.0","91,247.0","87,932.0","84,969.0","99,364.0","113,353.0","118,632.0","131,271.0","144,127.0","144,486.0","151,460.0","158,101.0","153,779.0","157,562.0","168,281.0","150,522.0","130,874.0","113,865.0","100,760.0","88,576.0","98,298.0","120,247.0","135,161.0","139,211.0","143,440.0","146,011.0","136,277.0","147,592.0","117,524.0","115,128.0","115,004.0","93,141.0","104,016.0","118,598.0","87,275.0","100,776.0","137,126.0","134,553.0","128,808.0","128,415.0","143,185.0","139,909.0","128,161.0","137,012.0","126,566.0","138,188.0","153,885.0","163,938.0","181,420.0","187,083.0","197,408.0","205,290.0","199,329.0","221,207.0","239,734.0","244,642.0","261,092.0","249,265.0","242,968.0","250,902.0","269,390.0","279,042.0","294,019.0","281,132.0","202,829.0","199,783.0","202,574.0","189,505.0","241,430.0","239,732.0","213,451.0","199,582.0","153,238.0","132,774.0","130,923.0","108,772.0","144,890.0","189,103.0","180,187.0","206,486.0","284,634.0","296,248.0","312,674.0","365,048.0","345,165.0","389,128.0","392,786.0","387,463.0","445,614.0","425,452.0","456,225.0","325,358.0","466,041.0","478,932.0","494,406.0","499,889.0","479,281.0","455,711.0","461,938.0","391,633.0","274,816.0","306,236.0","253,465.0","223,693.0","160,300.0","193,686.0","258,562.0","56,846.0","362,706.0","475,399.0","651,597.0","721,888.0","791,846.0","771,974.0","850,523.0","833,252.0","621,923.0","724,812.0","756,591.0","832,112.0","751,763.0","747,543.0","783,132.0","561,107.0","728,966.0","545,671.0","761,464.0","656,022.0","477,066.0","595,915.0","669,811.0","625,496.0","485,760.0"
"48","28","    Consumption of fixed capital","A438RC1","53,465.0","54,939.0","56,441.0","57,971.0","59,529.0","61,062.0","62,571.0","64,054.0","65,513.0","66,939.0","68,333.0","69,694.0","71,023.0","72,521.0","74,189.0","76,027.0","78,035.0","80,416.0","83,171.0","86,299.0","89,800.0","93,697.0","97,988.0","102,676.0","107,758.0","112,094.0","115,684.0","118,528.0","120,626.0","123,226.0","126,328.0","129,932.0","134,038.0","138,247.0","142,561.0","146,979.0","151,500.0","156,419.0","161,735.0","167,449.0","173,560.0","179,921.0","186,533.0","193,393.0","200,505.0","207,983.0","215,827.0","224,038.0","232,615.0","240,952.0","249,048.0","256,905.0","264,522.0","270,768.0","275,643.0","279,145.0","281,278.0","283,969.0","287,222.0","291,035.0","295,409.0","300,262.0","305,595.0","311,406.0","317,697.0","323,879.0","329,956.0","335,924.0","341,786.0","347,363.0","352,657.0","357,667.0","362,394.0","367,844.0","374,017.0","380,914.0","388,534.0","395,942.0","403,135.0","410,115.0","416,883.0","423,718.0","430,621.0","437,594.0","444,635.0","451,703.0","458,798.0","465,919.0","473,069.0","479,056.0","483,882.0","487,546.0","490,049.0","493,529.0","497,989.0","503,426.0","509,841.0","516,372.0","523,022.0","529,789.0","536,673.0","544,934.0","554,575.0","565,594.0","577,991.0","589,198.0","599,215.0","608,042.0","615,680.0","624,373.0","634,122.0","644,929.0","656,791.0","668,424.0","679,829.0","691,004.0","701,951.0","713,280.0","724,993.0","737,088.0","749,567.0","764,570.0","782,098.0","802,149.0","824,725.0","841,658.0","852,946.0","858,590.0","877,577.0","893,246.0","900,510.0","908,074.0","912,291.0","916,215.0","923,973.0","929,649.0","932,267.0","937,554.0","944,729.0","951,433.0","963,364.0","975,048.0","987,502.0","1,004,982.0","1,024,442.0","1,041,921.0","1,058,643.0","1,081,314.0","1,099,860.0","1,118,723.0","1,137,485.0","1,158,172.0","1,177,526.0","1,192,179.0","1,203,703.0","1,216,528.0","1,234,239.0","1,251,338.0","1,271,070.0","1,280,200.0","1,273,228.0","1,259,914.0","1,252,172.0","1,257,005.0","1,256,815.0","1,259,503.0","1,262,390.0","1,271,132.0","1,281,118.0","1,294,433.0","1,305,504.0","1,314,258.0","1,329,757.0","1,344,371.0","1,355,050.0","1,364,998.0","1,380,669.0","1,395,455.0","1,408,846.0","1,423,607.0","1,435,080.0","1,450,451.0","1,465,650.0","1,478,362.0","1,491,133.0"
"49","29","    Less: Capital transfers paid (net)","W976RC1","-80.0","-76.0","-72.0","-80.0","-104.0","-128.0","-108.0","-160.0","-164.0","-120.0","-124.0","-148.0","-172.0","-212.0","-268.0","-124.0","-156.0","-148.0","-148.0","-176.0","-196.0","-232.0","-212.0","-252.0","-256.0","-236.0","-236.0","-236.0","-236.0","-204.0","-180.0","-172.0","-112.0","-224.0","-180.0","-128.0","-144.0","-168.0","-180.0","-164.0","-200.0","-228.0","-268.0","-276.0","-292.0","-284.0","-204.0","-324.0","-188.0","-156.0","-184.0","-280.0","-264.0","-240.0","-164.0","-128.0","-64.0","-40.0","-36.0","-12.0","-20.0","-4.0","-4.0","-4.0","0.0","-16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,241.0","1,800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,136.0","0.0","0.0","41,620.0","0.0","5,059.0","0.0","724.0","0.0","35,640.0","0.0","0.0","0.0","0.0","0.0","0.0","5,944.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,400.0","0.0","0.0","0.0","0.0","0.0","0.0","12,300.0","-31,480.0","0.0","8.0","0.0","-12.0","-32.0","-60.0","-83.0","-102.0","-116.0","-126.0","-126.0","38,452.0","-99.0","-71.0","-50.0","53,418.0","-4,466.0","-27.0","-26.0","-27.0","-28.0","-30.0","-32.0","-35.0","-39.0","-78.0","-101.0","14,286.0","-270,779.0","-223,054.0","-137,437.0","49,457.0","-23,456.0","-4,242.0","-70,296.0","-18,438.0","10,717.0","-18,243.0","-39,996.0","-35,160.0","-61,881.0","-24,839.0","-7,509.0","-8,952.0","12,904.0","-9,637.0","-5,673.0","-4,497.0","-2,849.0","-7,380.0","-6,556.0","35,620.0","-8,110.0","-3,009.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","  Proprietors' income with IVA and CCAdj","A041RC1","75,631.0","77,111.0","77,967.0","77,313.0","77,071.0","76,711.0","78,484.0","78,944.0","80,315.0","82,848.0","84,595.0","87,858.0","87,904.0","91,327.0","95,535.0","105,614.0","104,145.0","109,942.0","113,790.0","122,206.0","115,734.0","108,637.0","111,000.0","113,481.0","112,735.0","114,317.0","120,707.0","125,195.0","126,394.0","128,628.0","132,685.0","136,190.0","138,591.0","140,511.0","142,367.0","156,496.0","158,525.0","166,114.0","168,343.0","170,915.0","180,057.0","179,181.0","180,733.0","177,778.0","167,564.0","160,310.0","173,401.0","185,004.0","188,214.0","176,368.0","182,287.0","171,849.0","165,195.0","169,412.0","170,699.0","179,460.0","183,262.0","182,635.0","183,805.0","195,302.0","221,918.0","231,775.0","232,366.0","226,936.0","240,667.0","238,477.0","240,737.0","244,323.0","245,628.0","251,631.0","264,416.0","264,240.0","275,438.0","282,308.0","289,494.0","298,631.0","319,289.0","322,756.0","333,978.0","327,347.0","348,725.0","340,266.0","338,026.0","340,730.0","346,715.0","352,349.0","360,294.0","358,436.0","349,074.0","354,752.0","355,474.0","364,519.0","380,780.0","397,371.0","410,112.0","421,182.0","421,341.0","432,043.0","426,013.0","442,644.0","452,945.0","456,925.0","459,667.0","468,463.0","470,482.0","475,200.0","487,784.0","504,356.0","526,784.0","551,045.0","551,101.0","560,556.0","579,361.0","579,011.0","592,472.0","600,570.0","621,399.0","633,652.0","649,029.0","672,692.0","685,964.0","694,077.0","703,824.0","717,884.0","724,894.0","755,230.0","764,680.0","786,279.0","816,178.0","835,015.0","851,549.0","844,392.0","861,122.0","864,816.0","873,901.0","884,308.0","880,178.0","894,147.0","907,237.0","918,706.0","947,173.0","961,906.0","962,078.0","977,056.0","953,284.0","960,535.0","991,677.0","1,010,327.0","1,058,713.0","1,062,183.0","1,051,098.0","1,042,749.0","992,342.0","972,782.0","966,023.0","985,533.0","1,017,746.0","1,045,914.0","1,040,946.0","1,001,288.0","944,159.0","944,626.0","976,936.0","1,026,280.0","1,017,605.0","1,024,661.0","1,029,242.0","1,059,259.0","1,103,186.0","1,125,229.0","1,161,757.0","1,184,497.0","1,226,362.0","1,256,057.0","1,266,060.0","1,292,266.0","1,327,834.0","1,330,022.0","1,345,945.0","1,342,706.0","1,350,979.0","1,380,951.0","1,386,424.0","1,402,470.0","1,390,094.0"
"52","31","    Farm","B042RC1","11,565.0","12,549.0","13,142.0","14,078.0","13,524.0","12,380.0","13,171.0","12,500.0","13,090.0","13,268.0","12,964.0","14,221.0","13,130.0","15,423.0","17,182.0","22,364.0","21,762.0","27,587.0","29,471.0","37,480.0","28,616.0","20,097.0","21,479.0","23,681.0","19,741.0","20,136.0","23,773.0","24,349.0","19,425.0","17,016.0","16,117.0","16,284.0","15,965.0","14,074.0","11,772.0","22,043.0","18,484.0","20,908.0","20,785.0","19,509.0","23,755.0","21,836.0","22,254.0","20,753.0","13,310.0","3,120.0","11,741.0","18,659.0","17,631.0","18,179.0","23,347.0","16,951.0","14,386.0","12,768.0","11,934.0","14,169.0","12,877.0","7,855.0","192.0","3,770.0","19,531.0","21,282.0","20,432.0","22,513.0","22,833.0","20,433.0","19,287.0","21,368.0","18,262.0","19,647.0","26,626.0","26,643.0","27,263.0","29,039.0","28,840.0","30,433.0","33,303.0","27,411.0","28,765.0","17,680.0","36,718.0","32,571.0","30,307.0","32,501.0","34,471.0","32,700.0","31,784.0","29,667.0","26,171.0","27,847.0","24,478.0","28,633.0","32,895.0","35,354.0","36,734.0","34,046.0","28,588.0","34,925.0","26,080.0","35,832.0","41,783.0","36,653.0","32,127.0","28,044.0","20,268.0","18,364.0","21,359.0","28,036.0","36,876.0","44,186.0","33,487.0","34,727.0","37,775.0","28,078.0","32,434.0","31,191.0","27,870.0","26,423.0","26,556.0","32,945.0","33,631.0","28,135.0","26,210.0","24,453.0","27,046.0","33,359.0","31,842.0","33,658.0","34,037.0","32,499.0","32,563.0","29,165.0","17,869.0","12,834.0","21,266.0","27,746.0","31,067.0","38,871.0","39,820.0","42,429.0","55,254.0","52,991.0","44,853.0","48,657.0","45,407.0","48,985.0","48,415.0","42,660.0","36,927.0","35,857.0","35,048.0","36,071.0","39,164.0","34,320.0","35,168.0","43,760.0","55,564.0","50,026.0","42,822.0","39,554.0","30,153.0","31,875.0","35,706.0","44,123.0","39,153.0","43,180.0","48,443.0","53,216.0","75,585.0","72,281.0","77,915.0","76,390.0","71,691.0","72,472.0","71,880.0","73,199.0","92,188.0","83,551.0","86,757.0","70,140.0","58,101.0","73,368.0","62,180.0","60,742.0","49,081.0"
"53","32","      Proprietors' income with IVA","A043RC1","12,318.0","13,332.0","13,953.0","14,914.0","14,383.0","13,267.0","14,092.0","13,461.0","14,096.0","14,317.0","14,053.0","15,349.0","14,295.0","16,612.0","18,381.0","23,559.0","22,940.0","28,791.0","30,744.0","38,865.0","30,155.0","21,815.0","23,400.0","25,830.0","22,143.0","22,734.0","26,511.0","27,171.0","22,274.0","19,911.0","19,078.0","19,330.0","19,116.0","17,330.0","15,135.0","25,513.0","22,062.0","24,605.0","24,611.0","23,475.0","27,872.0","26,147.0","26,802.0","25,582.0","18,463.0","8,578.0","17,484.0","24,669.0","23,889.0","24,664.0","30,039.0","23,829.0","21,430.0","19,914.0","19,118.0","21,328.0","19,946.0","14,846.0","7,115.0","10,635.0","26,349.0","28,021.0","27,059.0","28,997.0","29,140.0","26,617.0","25,400.0","27,463.0","24,392.0","25,781.0","32,733.0","32,692.0","33,224.0","34,925.0","34,666.0","36,212.0","39,049.0","33,136.0","34,483.0","23,403.0","42,459.0","38,319.0","36,052.0","38,231.0","40,177.0","38,389.0","37,465.0","35,348.0","31,860.0","33,538.0","30,166.0","34,313.0","38,560.0","40,997.0","42,347.0","39,621.0","34,117.0","40,416.0","31,541.0","41,271.0","47,209.0","42,072.0","37,548.0","33,474.0","25,715.0","23,812.0","26,791.0","33,437.0","42,230.0","49,487.0","38,728.0","39,902.0","42,877.0","33,110.0","37,399.0","36,091.0","32,708.0","31,216.0","31,320.0","37,698.0","38,390.0","32,890.0","30,952.0","29,173.0","31,735.0","38,024.0","36,491.0","38,299.0","38,671.0","37,134.0","37,187.0","33,816.0","22,392.0","17,336.0","25,778.0","32,285.0","35,660.0","43,359.0","44,313.0","46,951.0","59,947.0","57,789.0","49,731.0","53,669.0","50,781.0","54,398.0","53,869.0","48,219.0","42,640.0","41,702.0","40,973.0","42,061.0","45,240.0","40,398.0","41,251.0","50,062.0","61,817.0","56,457.0","49,484.0","46,260.0","36,796.0","38,274.0","41,943.0","50,284.0","45,124.0","49,035.0","54,248.0","58,973.0","81,362.0","78,172.0","83,827.0","82,258.0","77,666.0","78,321.0","77,670.0","78,945.0","97,916.0","89,310.0","92,486.0","75,968.0","64,021.0","79,250.0","68,066.0","66,613.0","54,973.0"
