"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"43","24","Interest payments \1\","B111RC1","6,251.0","6,444.0","6,662.0","6,890.0","7,190.0","7,496.0","7,848.0","8,238.0","8,794.0","9,183.0","9,607.0","10,052.0","10,555.0","10,967.0","11,304.0","11,537.0","11,722.0","11,954.0","12,278.0","12,708.0","13,268.0","13,864.0","14,510.0","15,207.0","15,984.0","16,624.0","17,052.0","17,249.0","17,264.0","17,377.0","17,605.0","17,963.0","18,469.0","18,967.0","19,473.0","19,952.0","20,268.0","20,669.0","21,227.0","21,865.0","22,628.0","23,211.0","23,810.0","24,277.0","24,646.0","25,186.0","25,876.0","26,714.0","27,697.0","28,716.0","29,796.0","30,950.0","32,187.0","33,480.0","34,811.0","36,241.0","37,729.0","39,044.0","40,151.0","41,068.0","41,849.0","42,693.0","43,609.0","44,576.0","45,506.0","46,627.0","47,847.0","49,054.0","50,450.0","51,505.0","52,352.0","52,983.0","53,296.0","53,521.0","53,629.0","53,663.0","53,542.0","54,075.0","55,322.0","57,360.0","60,373.0","62,319.0","63,312.0","63,232.0","61,839.0","61,309.0","61,545.0","62,594.0","64,667.0","66,593.0","68,501.0","70,439.0","72,386.0","73,675.0","74,294.0","74,205.0","73,316.0","72,524.0","71,846.0","71,254.0","70,774.0","70,965.0","71,858.0","73,460.0","75,828.0","77,114.0","77,267.0","76,272.0","74,056.0","72,484.0","71,555.0","71,309.0","71,778.0","71,360.0","70,032.0","67,717.0","64,382.0","61,831.0","60,132.0","59,386.0","59,543.0","58,946.0","57,484.0","55,160.0","52,007.0","50,729.0","51,441.0","54,226.0","59,145.0","63,634.0","67,673.0","71,335.0","74,556.0","79,702.0","86,934.0","96,289.0","107,815.0","115,444.0","119,034.0","118,597.0","114,016.0","110,770.0","108,820.0","108,342.0","109,333.0","110,697.0","112,482.0","114,658.0","117,256.0","119,430.0","121,221.0","122,488.0","123,228.0","122,790.0","121,333.0","118,811.0","115,098.0","118,220.0","128,522.0","146,288.0","171,113.0","188,430.0","197,428.0","198,059.0","193,123.0","192,641.0","191,792.0","190,963.0","188,185.0","188,619.0","190,916.0","195,093.0","203,023.0","207,096.0","208,651.0","207,764.0","203,241.0","200,258.0","198,843.0","198,828.0","197,531.0","196,051.0","193,931.0","191,523.0","188,909.0"
"44","25","  To persons and business \1\","Y705RC1","6,251.0","6,444.0","6,662.0","6,890.0","7,190.0","7,496.0","7,848.0","8,238.0","8,794.0","9,183.0","9,607.0","10,052.0","10,555.0","10,967.0","11,304.0","11,537.0","11,722.0","11,954.0","12,278.0","12,708.0","13,268.0","13,864.0","14,510.0","15,207.0","15,984.0","16,624.0","17,052.0","17,249.0","17,264.0","17,377.0","17,605.0","17,963.0","18,469.0","18,967.0","19,473.0","19,952.0","20,268.0","20,669.0","21,227.0","21,865.0","22,628.0","23,211.0","23,810.0","24,277.0","24,646.0","25,186.0","25,876.0","26,714.0","27,697.0","28,716.0","29,796.0","30,950.0","32,187.0","33,480.0","34,811.0","36,241.0","37,729.0","39,044.0","40,151.0","41,068.0","41,849.0","42,693.0","43,609.0","44,576.0","45,506.0","46,627.0","47,847.0","49,054.0","50,450.0","51,505.0","52,352.0","52,983.0","53,296.0","53,521.0","53,629.0","53,663.0","53,542.0","54,075.0","55,322.0","57,360.0","60,373.0","62,319.0","63,312.0","63,232.0","61,839.0","61,309.0","61,545.0","62,594.0","64,667.0","66,593.0","68,501.0","70,439.0","72,386.0","73,675.0","74,294.0","74,205.0","73,316.0","72,524.0","71,846.0","71,254.0","70,774.0","70,965.0","71,858.0","73,460.0","75,828.0","77,114.0","77,267.0","76,272.0","74,056.0","72,484.0","71,555.0","71,309.0","71,778.0","71,360.0","70,032.0","67,717.0","64,382.0","61,831.0","60,132.0","59,386.0","59,543.0","58,946.0","57,484.0","55,160.0","52,007.0","50,729.0","51,441.0","54,226.0","59,145.0","63,634.0","67,673.0","71,335.0","74,556.0","79,702.0","86,934.0","96,289.0","107,815.0","115,444.0","119,034.0","118,597.0","114,016.0","110,770.0","108,820.0","108,342.0","109,333.0","110,697.0","112,482.0","114,658.0","117,256.0","119,430.0","121,221.0","122,488.0","123,228.0","122,790.0","121,333.0","118,811.0","112,178.0","115,174.0","125,402.0","143,394.0","168,312.0","185,982.0","194,997.0","195,573.0","190,712.0","190,348.0","189,565.0","188,626.0","185,666.0","186,032.0","188,318.0","192,533.0","200,192.0","204,191.0","205,790.0","205,082.0","200,546.0","197,651.0","196,236.0","196,273.0","194,854.0","193,391.0","191,199.0","188,820.0","186,141.0"
"45","26","  To the rest of the world","Y706RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,920.0","3,046.0","3,121.0","2,894.0","2,801.0","2,448.0","2,431.0","2,485.0","2,410.0","2,293.0","2,227.0","2,337.0","2,519.0","2,587.0","2,598.0","2,559.0","2,831.0","2,905.0","2,861.0","2,683.0","2,696.0","2,607.0","2,608.0","2,555.0","2,677.0","2,660.0","2,733.0","2,703.0","2,768.0"
"46","27","Subsidies","B114RC1","24.0","24.0","24.0","28.0","24.0","24.0","24.0","24.0","28.0","32.0","36.0","40.0","47.0","51.0","55.0","59.0","68.0","76.0","85.0","95.0","104.0","112.0","120.0","128.0","140.0","152.0","164.0","176.0","180.0","184.0","196.0","196.0","208.0","204.0","208.0","220.0","220.0","228.0","240.0","268.0","300.0","324.0","340.0","344.0","348.0","348.0","356.0","364.0","380.0","396.0","408.0","424.0","444.0","452.0","460.0","460.0","456.0","448.0","440.0","424.0","412.0","392.0","376.0","360.0","343.0","330.0","321.0","314.0","317.0","311.0","303.0","293.0","269.0","267.0","274.0","290.0","320.0","346.0","365.0","377.0","378.0","377.0","375.0","374.0","368.0","369.0","375.0","384.0","405.0","413.0","416.0","414.0","399.0","392.0","384.0","377.0","372.0","366.0","360.0","354.0","351.0","344.0","337.0","328.0","316.0","310.0","307.0","307.0","306.0","318.0","337.0","363.0","407.0","431.0","448.0","458.0","454.0","450.0","444.0","436.0","419.0","419.0","429.0","449.0","483.0","516.0","551.0","586.0","8,058.0","14,394.0","4,845.0","3,363.0","1,823.0","579.0","1,669.0","-435.0","84.0","345.0","-998.0","906.0","372.0","369.0","367.0","367.0","370.0","371.0","372.0","373.0","373.0","373.0","373.0","374.0","1,879.0","10,660.0","8,750.0","7,241.0","3,983.0","2,947.0","2,151.0","2,795.0","2,000.0","1,205.0","1,209.0","1,214.0","1,618.0","2,119.0","1,576.0","951.0","854.0","439.0","443.0","447.0","451.0","456.0","460.0","464.0","469.0","473.0","478.0","482.0","486.0","489.0","491.0","492.0","492.0"
"47","28","    Net state and local government saving","A924RC1","3,676.0","3,900.0","4,552.0","4,295.0","4,296.0","3,704.0","2,963.0","882.0","-46.0","523.0","202.0","1,654.0","2,380.0","11,202.0","2,561.0","17,531.0","12,439.0","9,747.0","8,717.0","7,665.0","5,381.0","3,829.0","2,798.0","-2,740.0","-7,514.0","-5,934.0","-4,561.0","-4,251.0","-149.0","1,815.0","2,340.0","7,188.0","5,297.0","7,216.0","10,834.0","10,420.0","11,878.0","18,098.0","10,676.0","13,123.0","8,655.0","7,784.0","9,292.0","7,068.0","6,872.0","1,964.0","4,252.0","8,427.0","8,413.0","4,584.0","4,295.0","-745.0","-3,477.0","-4,149.0","-5,594.0","-7,185.0","-10,763.0","-769.0","6,220.0","10,418.0","19,118.0","23,675.0","18,251.0","22,654.0","22,624.0","21,793.0","19,484.0","17,143.0","25,557.0","19,419.0","22,260.0","14,488.0","7,054.0","19,518.0","11,509.0","10,215.0","14,382.0","13,344.0","21,220.0","19,004.0","18,512.0","13,629.0","7,216.0","-9,654.0","2,510.0","-3,393.0","-7,903.0","-17,024.0","-20,872.0","-25,044.0","-23,040.0","-31,427.0","-31,420.0","-36,001.0","-43,113.0","-39,509.0","-47,982.0","-40,458.0","-39,245.0","-21,186.0","-29,525.0","-29,616.0","-20,279.0","-28,449.0","-29,384.0","-44,321.0","-31,946.0","-20,533.0","-15,804.0","-16,908.0","-10,300.0","-6,805.0","-4,834.0","-2,565.0","6,453.0","7,659.0","13,937.0","10,981.0","14,207.0","22,490.0","12,163.0","3,917.0","8,732.0","12,111.0","22,035.0","22,207.0","6,543.0","-11,150.0","-24,673.0","-53,532.0","-76,505.0","-106,450.0","-117,320.0","-123,318.0","-116,129.0","-126,941.0","-154,851.0","-136,745.0","-107,043.0","-86,993.0","-115,182.0","-122,581.0","-109,142.0","-86,553.0","-66,581.0","-70,679.0","-69,865.0","-59,280.0","-26,485.0","-21,343.0","-49,683.0","-60,119.0","-66,013.0","-55,397.0","-74,874.0","-94,637.0","-117,250.0","-120,876.0","-183,227.0","-238,870.0","-267,114.0","-266,688.0","-285,589.0","-268,265.0","-260,317.0","-262,939.0","-221,573.0","-204,370.0","-215,117.0","-200,460.0","-226,862.0","-221,249.0","-235,139.0","-238,032.0","-233,954.0","-223,096.0","-218,017.0","-221,132.0","-229,864.0","-231,554.0","-240,909.0","-227,121.0","-216,775.0","-214,277.0","-201,945.0"
"48","29","Social insurance funds","B118RC1","130.0","153.0","168.0","185.0","175.0","174.0","178.0","193.0","206.0","228.0","236.0","242.0","249.0","271.0","256.0","264.0","267.0","307.0","319.0","335.0","352.0","367.0","382.0","407.0","421.0","463.0","482.0","498.0","535.0","580.0","623.0","682.0","774.0","917.0","1,052.0","1,201.0","1,319.0","1,431.0","1,545.0","1,653.0","1,682.0","1,782.0","1,814.0","1,810.0","1,430.0","687.0","1,533.0","1,622.0","1,322.0","1,300.0","1,303.0","1,291.0","1,277.0","1,237.0","1,206.0","1,176.0","1,152.0","1,157.0","1,209.0","1,318.0","1,406.0","1,470.0","1,455.0","1,377.0","1,278.0","1,234.0","1,289.0","1,459.0","1,644.0","1,803.0","1,950.0","2,059.0","2,085.0","2,148.0","2,205.0","2,330.0","2,439.0","2,526.0","2,557.0","2,570.0","2,522.0","2,390.0","2,259.0","2,149.0","2,004.0","1,953.0","1,977.0","1,974.0","2,119.0","2,274.0","2,429.0","2,614.0","2,760.0","2,993.0","3,266.0","3,541.0","3,828.0","4,111.0","4,328.0","4,501.0","4,632.0","4,686.0","4,667.0","4,571.0","4,350.0","4,184.0","3,950.0","3,696.0","3,448.0","3,062.0","2,627.0","2,131.0","1,506.0","1,144.0","1,001.0","1,041.0","1,403.0","1,686.0","1,834.0","1,849.0","1,791.0","1,706.0","1,667.0","1,664.0","1,712.0","1,837.0","2,038.0","2,333.0","2,681.0","2,797.0","2,662.0","2,272.0","1,673.0","1,291.0","1,236.0","1,476.0","1,967.0","2,640.0","3,599.0","4,791.0","6,149.0","7,186.0","7,817.0","8,043.0","7,891.0","7,563.0","7,081.0","6,427.0","5,645.0","4,931.0","4,283.0","3,702.0","3,232.0","2,801.0","2,448.0","2,165.0","1,909.0","1,768.0","1,677.0","1,630.0","1,817.0","2,052.0","2,269.0","2,482.0","2,741.0","3,019.0","3,336.0","3,679.0","4,075.0","4,403.0","4,608.0","4,661.0","4,594.0","4,512.0","4,446.0","4,384.0","4,338.0","4,297.0","4,302.0","4,303.0","4,394.0","4,417.0","4,352.0","4,283.0","4,178.0"
"49","30","Other","B119RC1","3,546.0","3,747.0","4,384.0","4,111.0","4,121.0","3,530.0","2,784.0","689.0","-253.0","294.0","-34.0","1,412.0","2,131.0","10,930.0","2,305.0","17,267.0","12,173.0","9,439.0","8,398.0","7,330.0","5,029.0","3,462.0","2,417.0","-3,147.0","-7,935.0","-6,397.0","-5,043.0","-4,749.0","-684.0","1,235.0","1,717.0","6,506.0","4,523.0","6,299.0","9,782.0","9,219.0","10,559.0","16,667.0","9,132.0","11,471.0","6,973.0","6,002.0","7,478.0","5,258.0","5,442.0","1,277.0","2,718.0","6,805.0","7,091.0","3,285.0","2,993.0","-2,037.0","-4,754.0","-5,385.0","-6,800.0","-8,361.0","-11,914.0","-1,927.0","5,012.0","9,100.0","17,711.0","22,205.0","16,795.0","21,278.0","21,348.0","20,559.0","18,195.0","15,684.0","23,912.0","17,616.0","20,310.0","12,428.0","4,970.0","17,370.0","9,304.0","7,885.0","11,943.0","10,816.0","18,664.0","16,435.0","15,990.0","11,240.0","4,958.0","-11,802.0","506.0","-5,345.0","-9,879.0","-18,999.0","-22,993.0","-27,317.0","-25,469.0","-34,041.0","-34,180.0","-38,994.0","-46,378.0","-43,050.0","-51,810.0","-44,568.0","-43,572.0","-25,688.0","-34,157.0","-34,303.0","-24,947.0","-33,019.0","-33,734.0","-48,504.0","-35,896.0","-24,228.0","-19,252.0","-19,969.0","-12,926.0","-8,935.0","-6,339.0","-3,709.0","5,451.0","6,618.0","12,534.0","9,296.0","12,373.0","20,641.0","10,371.0","2,211.0","7,064.0","10,446.0","20,324.0","20,370.0","4,505.0","-13,484.0","-27,353.0","-56,328.0","-79,167.0","-108,721.0","-118,993.0","-124,608.0","-117,365.0","-128,417.0","-156,818.0","-139,385.0","-110,643.0","-91,786.0","-121,331.0","-129,766.0","-116,958.0","-94,596.0","-74,472.0","-78,244.0","-76,948.0","-65,707.0","-32,131.0","-26,274.0","-53,966.0","-63,821.0","-69,243.0","-58,197.0","-77,321.0","-96,802.0","-119,159.0","-122,645.0","-184,904.0","-240,499.0","-268,930.0","-268,740.0","-287,859.0","-270,748.0","-263,058.0","-265,959.0","-224,909.0","-208,048.0","-219,191.0","-204,864.0","-231,472.0","-225,910.0","-239,734.0","-242,545.0","-238,401.0","-227,479.0","-222,354.0","-225,430.0","-234,167.0","-235,858.0","-245,304.0","-231,539.0","-221,129.0","-218,560.0","-206,123.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","31","  Total receipts","W077RC1","105,920.0","109,117.0","113,017.0","116,708.0","120,575.0","123,705.0","126,949.0","129,179.0","133,810.0","139,276.0","142,383.0","146,820.0","152,624.0","164,478.0","161,514.0","178,053.0","176,817.0","178,466.0","180,383.0","184,717.0","188,012.0","194,257.0","198,372.0","201,666.0","206,724.0","215,106.0","224,339.0","228,674.0","235,446.0","239,752.0","245,386.0","254,931.0","258,801.0","267,366.0","276,891.0","280,934.0","288,413.0","300,795.0","299,186.0","307,697.0","311,899.0","315,254.0","326,592.0","334,217.0","343,488.0","345,408.0","356,907.0","369,885.0","378,908.0","383,001.0","388,047.0","389,205.0","394,037.0","403,140.0","408,767.0","414,413.0","422,734.0","436,800.0","451,149.0","460,550.0","479,955.0","493,116.0","497,404.0","512,276.0","521,999.0","534,034.0","544,893.0","554,643.0","570,929.0","573,653.0","586,524.0","588,139.0","589,219.0","611,439.0","609,975.0","618,483.0","632,838.0","643,153.0","662,275.0","673,509.0","692,049.0","703,471.0","710,358.0","710,854.0","739,537.0","745,858.0","760,033.0","772,842.0","781,027.0","795,579.0","813,568.0","831,099.0","841,319.0","859,394.0","869,711.0","879,394.0","879,373.0","892,707.0","912,271.0","936,753.0","941,276.0","951,931.0","973,717.0","989,091.0","1,005,500.0","1,001,504.0","1,018,247.0","1,023,522.0","1,045,999.0","1,065,711.0","1,070,785.0","1,083,118.0","1,099,126.0","1,107,130.0","1,130,309.0","1,147,617.0","1,159,521.0","1,171,225.0","1,188,084.0","1,219,796.0","1,228,880.0","1,242,544.0","1,276,137.0","1,299,713.0","1,323,483.0","1,346,358.0","1,354,619.0","1,364,672.0","1,397,448.0","1,417,350.0","1,398,771.0","1,403,842.0","1,412,178.0","1,422,278.0","1,457,312.0","1,473,488.0","1,469,812.0","1,502,551.0","1,553,688.0","1,580,163.0","1,586,660.0","1,603,414.0","1,637,906.0","1,682,085.0","1,726,464.0","1,749,903.0","1,779,787.0","1,806,190.0","1,839,432.0","1,872,175.0","1,880,327.0","1,882,683.0","1,938,298.0","1,963,820.0","1,963,655.0","1,973,923.0","1,971,642.0","2,003,673.0","1,982,370.0","1,931,564.0","1,934,064.0","1,980,161.0","2,003,335.0","2,030,266.0","2,028,657.0","2,041,723.0","2,104,020.0","2,126,591.0","2,107,096.0","2,124,711.0","2,088,885.0","2,096,629.0","2,102,670.0","2,122,775.0","2,137,177.0","2,179,230.0","2,183,182.0","2,190,304.0","2,209,424.0","2,205,896.0","2,227,239.0","2,265,914.0","2,310,633.0","2,306,413.0","2,325,919.0"
"52","32","    Current receipts","W023RC1","99,002.0","102,245.0","106,412.0","109,731.0","113,983.0","117,393.0","121,009.0","123,175.0","127,176.0","131,769.0","135,313.0","140,019.0","145,619.0","157,850.0","153,347.0","170,773.0","169,485.0","170,822.0","173,539.0","177,289.0","178,772.0","184,165.0","190,348.0","192,342.0","196,600.0","205,769.0","211,994.0","216,584.0","223,848.0","228,423.0","233,113.0","242,047.0","245,951.0","254,328.0","263,122.0","268,243.0","275,573.0","287,315.0","285,222.0","293,141.0","296,267.0","300,238.0","310,236.0","316,349.0","325,092.0","326,640.0","338,659.0","350,901.0","360,512.0","364,885.0","370,835.0","371,797.0","377,737.0","386,008.0","391,547.0","397,281.0","404,106.0","419,972.0","432,829.0","442,486.0","461,019.0","473,564.0","477,028.0","490,872.0","502,569.0","512,113.0","522,223.0","530,748.0","548,331.0","550,095.0","562,130.0","566,617.0","567,213.0","588,556.0","587,741.0","596,290.0","610,438.0","619,849.0","638,397.0","650,727.0","668,428.0","680,064.0","687,969.0","686,675.0","714,174.0","721,588.0","735,279.0","747,269.0","754,948.0","769,366.0","787,879.0","805,860.0","815,406.0","832,093.0","842,922.0","851,801.0","852,987.0","865,554.0","882,613.0","907,110.0","912,595.0","922,858.0","943,410.0","957,460.0","972,715.0","968,429.0","986,707.0","991,522.0","1,011,500.0","1,032,283.0","1,037,966.0","1,048,504.0","1,064,631.0","1,071,810.0","1,094,710.0","1,112,147.0","1,125,561.0","1,136,778.0","1,151,645.0","1,180,982.0","1,193,250.0","1,202,362.0","1,233,867.0","1,257,695.0","1,280,255.0","1,302,803.0","1,311,423.0","1,317,895.0","1,349,470.0","1,366,588.0","1,341,411.0","1,353,058.0","1,356,422.0","1,369,610.0","1,405,380.0","1,422,288.0","1,422,197.0","1,448,125.0","1,500,550.0","1,527,542.0","1,534,226.0","1,553,952.0","1,581,615.0","1,630,525.0","1,671,705.0","1,693,769.0","1,718,305.0","1,751,378.0","1,781,124.0","1,814,395.0","1,822,754.0","1,825,301.0","1,883,820.0","1,903,111.0","1,902,487.0","1,912,923.0","1,909,942.0","1,939,792.0","1,919,193.0","1,867,422.0","1,872,924.0","1,917,689.0","1,930,548.0","1,955,796.0","1,963,670.0","1,965,415.0","2,020,528.0","2,044,493.0","2,034,326.0","2,052,055.0","2,015,331.0","2,020,268.0","2,032,093.0","2,050,584.0","2,064,272.0","2,098,041.0","2,111,095.0","2,121,201.0","2,134,214.0","2,135,918.0","2,156,953.0","2,193,759.0","2,233,907.0","2,239,067.0","2,256,945.0"
"53","33","    Capital transfer receipts","AD06RC1","6,918.0","6,872.0","6,605.0","6,977.0","6,592.0","6,312.0","5,940.0","6,004.0","6,634.0","7,507.0","7,070.0","6,801.0","7,005.0","6,628.0","8,167.0","7,280.0","7,332.0","7,644.0","6,844.0","7,428.0","9,240.0","10,092.0","8,024.0","9,324.0","10,124.0","9,337.0","12,345.0","12,090.0","11,598.0","11,329.0","12,273.0","12,884.0","12,850.0","13,038.0","13,769.0","12,691.0","12,840.0","13,480.0","13,964.0","14,556.0","15,632.0","15,016.0","16,356.0","17,868.0","18,396.0","18,768.0","18,248.0","18,984.0","18,396.0","18,116.0","17,212.0","17,408.0","16,300.0","17,132.0","17,220.0","17,132.0","18,628.0","16,828.0","18,320.0","18,064.0","18,936.0","19,552.0","20,376.0","21,404.0","19,430.0","21,921.0","22,670.0","23,895.0","22,598.0","23,558.0","24,394.0","21,522.0","22,006.0","22,883.0","22,234.0","22,193.0","22,400.0","23,304.0","23,878.0","22,782.0","23,621.0","23,407.0","22,389.0","24,179.0","25,363.0","24,270.0","24,754.0","25,573.0","26,079.0","26,213.0","25,689.0","25,239.0","25,913.0","27,301.0","26,789.0","27,593.0","26,386.0","27,153.0","29,658.0","29,643.0","28,681.0","29,073.0","30,307.0","31,631.0","32,785.0","33,075.0","31,540.0","32,000.0","34,499.0","33,428.0","32,819.0","34,614.0","34,495.0","35,320.0","35,599.0","35,470.0","33,960.0","34,447.0","36,439.0","38,814.0","35,630.0","40,182.0","42,270.0","42,018.0","43,228.0","43,555.0","43,196.0","46,777.0","47,978.0","50,762.0","57,360.0","50,784.0","55,756.0","52,668.0","51,932.0","51,200.0","47,615.0","54,426.0","53,138.0","52,621.0","52,434.0","49,462.0","56,291.0","51,560.0","54,759.0","56,134.0","61,482.0","54,812.0","58,308.0","57,780.0","57,573.0","57,382.0","54,478.0","60,709.0","61,168.0","61,000.0","61,700.0","63,881.0","63,177.0","64,142.0","61,140.0","62,472.0","72,787.0","74,470.0","64,987.0","76,308.0","83,492.0","82,098.0","72,770.0","72,656.0","73,554.0","76,361.0","70,577.0","72,191.0","72,905.0","81,189.0","72,087.0","69,103.0","75,210.0","69,978.0","70,286.0","72,155.0","76,726.0","67,346.0","68,974.0"
"54","34","  Total expenditures","W079RC1","116,237.0","119,250.0","121,906.0","124,154.0","128,412.0","132,460.0","138,371.0","142,419.0","147,245.0","151,565.0","154,781.0","158,777.0","163,445.0","165,532.0","169,870.0","173,756.0","177,964.0","181,495.0","185,395.0","191,136.0","196,371.0","205,315.0","212,114.0","218,732.0","230,856.0","235,165.0","241,165.0","248,154.0","253,441.0","251,979.0","253,407.0","255,685.0","262,846.0","270,276.0","273,942.0","278,956.0","283,858.0","296,989.0","304,192.0","310,901.0","313,841.0","323,256.0","334,553.0","345,466.0","356,511.0","360,107.0","366,918.0","375,185.0","389,106.0","390,954.0","394,468.0","402,246.0","408,608.0","417,617.0","424,801.0","433,757.0","442,427.0","447,572.0","456,234.0","461,062.0","473,969.0","484,318.0","496,421.0","507,021.0","520,037.0","534,436.0","548,054.0","558,148.0","571,447.0","580,604.0","591,120.0","600,668.0","611,621.0","620,077.0","628,793.0","640,037.0","649,988.0","664,148.0","673,930.0","691,275.0","708,771.0","727,753.0","743,299.0","762,536.0","783,109.0","794,540.0","812,939.0","838,312.0","847,262.0","865,580.0","883,461.0","911,232.0","924,790.0","941,315.0","954,532.0","957,359.0","966,030.0","975,768.0","991,572.0","998,730.0","1,009,154.0","1,022,572.0","1,038,981.0","1,061,811.0","1,079,120.0","1,092,956.0","1,096,367.0","1,090,183.0","1,103,496.0","1,129,158.0","1,133,160.0","1,148,642.0","1,168,820.0","1,171,330.0","1,181,553.0","1,194,149.0","1,199,402.0","1,222,004.0","1,243,725.0","1,266,507.0","1,292,341.0","1,309,730.0","1,338,418.0","1,366,120.0","1,385,067.0","1,403,269.0","1,429,279.0","1,456,288.0","1,505,703.0","1,566,000.0","1,545,618.0","1,602,044.0","1,620,492.0","1,636,654.0","1,666,369.0","1,695,778.0","1,722,208.0","1,727,147.0","1,757,005.0","1,760,845.0","1,794,526.0","1,825,310.0","1,853,298.0","1,858,582.0","1,878,176.0","1,907,199.0","1,933,539.0","1,982,301.0","1,954,612.0","1,993,077.0","2,030,398.0","2,043,034.0","2,113,515.0","2,126,179.0","2,145,845.0","2,179,144.0","2,196,916.0","2,234,497.0","2,278,228.0","2,276,869.0","2,309,929.0","2,357,199.0","2,384,528.0","2,381,606.0","2,370,384.0","2,382,926.0","2,396,501.0","2,392,252.0","2,381,576.0","2,380,573.0","2,367,983.0","2,365,742.0","2,382,207.0","2,402,342.0","2,404,546.0","2,420,158.0","2,423,162.0","2,442,592.0","2,464,323.0","2,466,556.0","2,486,943.0","2,520,601.0","2,551,745.0","2,557,335.0","2,550,077.0"
