"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"51","32","  Government","W991RC1","-3,346.0","-3,556.0","-3,423.0","-3,519.0","-3,803.0","-3,942.0","-3,551.0","-3,924.0","-5,623.0","-3,109.0","-3,389.0","-5,691.0","-5,624.0","-3,883.0","-4,845.0","-8,197.0","-10,614.0","-5,381.0","-9,192.0","-6,369.0","-8,430.0","-18,219.0","-3,803.0","-8,893.0","-4,456.0","-4,815.0","-4,729.0","-4,558.0","-5,509.0","-8,032.0","-9,569.0","-7,402.0","-12,288.0","-6,987.0","-9,321.0","-7,060.0","-5,184.0","-8,280.0","-4,057.0","-5,659.0","-7,771.0","-5,258.0","-7,798.0","-11,339.0","-8,268.0","-5,387.0","-8,655.0","-18,745.0","-5,884.0","-11,922.0","-20,016.0","-11,054.0","-12,396.0","-8,787.0","-8,025.0","-15,867.0","-5,892.0","-20,729.0","-11,701.0","-5,186.0","-9,031.0","-11,846.0","-9,789.0","-7,934.0","-5,730.0","-5,634.0","-10,604.0","-5,736.0","-5,973.0","-13,679.0","-6,629.0","-10,751.0","-6,546.0","-6,480.0","-7,384.0","-6,431.0","-6,028.0","-3,534.0","-9,581.0","-8,037.0","-6,692.0","-9,220.0","-7,954.0","-7,890.0","-7,694.0","-14,246.0","-11,023.0","19,230.0","-5,088.0","-8,396.0","5,516.0","-9,238.0","-9,485.0","-8,509.0","-9,838.0","-10,281.0","-7,883.0","-11,138.0","-11,161.0","-12,894.0","-14,272.0","-12,517.0","-10,922.0","-13,100.0","-12,721.0","-14,990.0","-40,371.0","-14,930.0","-16,225.0","-17,368.0","-19,655.0","-33,448.0","-21,128.0","-47,831.0","-25,154.0","-23,998.0","-26,457.0","-35,668.0","-33,183.0","-27,040.0","-26,776.0","-28,490.0","-30,759.0","-13,234.0","-27,463.0","-27,598.0","-27,506.0","-26,653.0","-31,082.0","-28,360.0","-30,838.0","-23,604.0","-23,251.0","-21,116.0","-21,843.0","-4,042.0","-3,156.0","3,604.0","1,319.0","-3,119.0","-1,674.0","-2,676.0","15,105.0","-3,238.0","3,798.0","-4,250.0","53,600.0","18,820.0","-6,068.0","-4,440.0","-6,575.0","-54,821.0","8,203.0","4,241.0","9,644.0","-6,404.0","-10,522.0","-25,000.0","2,266.0","224,404.0","198,967.0","137,750.0","58,124.0","93,142.0","78,798.0","97,940.0","33,196.0","26,837.0","27,549.0","53,253.0","47,459.0","68,173.0","26,986.0","9,463.0","9,648.0","31,704.0","3,754.0","-1,435.0","-5,168.0","....."
"52","33","    Federal","W992RC1","2,481.0","2,325.0","2,253.0","2,545.0","1,833.0","1,341.0","1,253.0","809.0","-479.0","2,789.0","1,993.0","-615.0","-279.0","1,090.0","1,670.0","-2,574.0","-4,963.0","559.0","-4,083.0","-713.0","-1,010.0","-9,987.0","2,324.0","-1,496.0","3,707.0","2,559.0","5,671.0","5,625.0","4,247.0","1,518.0","991.0","3,832.0","-1,004.0","4,511.0","2,903.0","4,050.0","5,985.0","3,448.0","8,084.0","7,015.0","5,938.0","7,788.0","6,538.0","4,454.0","8,008.0","11,215.0","7,390.0","-1,984.0","10,264.0","3,948.0","-5,048.0","4,112.0","1,676.0","6,124.0","6,984.0","-932.0","10,556.0","-6,092.0","4,392.0","10,584.0","7,512.0","5,204.0","7,972.0","10,736.0","10,848.0","13,300.0","8,936.0","14,876.0","13,176.0","6,276.0","14,012.0","6,880.0","11,416.0","12,260.0","10,636.0","11,500.0","12,132.0","15,480.0","9,932.0","10,276.0","12,328.0","9,416.0","9,464.0","11,096.0","12,164.0","4,332.0","7,908.0","38,904.0","15,144.0","11,964.0","25,356.0","10,160.0","10,560.0","12,936.0","11,108.0","11,480.0","12,668.0","10,160.0","12,600.0","10,792.0","8,372.0","10,420.0","13,128.0","12,132.0","13,504.0","11,456.0","-15,440.0","10,572.0","11,980.0","9,956.0","7,240.0","-4,592.0","7,764.0","-18,148.0","4,584.0","5,196.0","624.0","-8,624.0","-4,592.0","3,560.0","352.0","3,024.0","2,800.0","20,152.0","7,336.0","7,544.0","7,108.0","11,188.0","7,420.0","12,452.0","16,168.0","16,488.0","21,544.0","20,388.0","18,788.0","35,788.0","33,086.0","46,636.0","43,023.0","38,010.0","39,146.0","35,231.0","42,226.0","37,425.0","48,248.0","41,928.0","102,687.0","40,504.0","41,987.0","42,664.0","39,800.0","-9,254.0","49,820.0","51,356.0","56,800.0","40,478.0","37,273.0","25,103.0","51,710.0","274,774.0","247,037.0","187,740.0","118,902.0","155,963.0","132,695.0","163,591.0","106,339.0","98,769.0","90,151.0","115,874.0","111,160.0","134,447.0","87,316.0","71,182.0","72,636.0","102,149.0","65,195.0","57,630.0","60,344.0","....."
"53","34","    State and local","W993RC1","-5,827.0","-5,881.0","-5,676.0","-6,064.0","-5,636.0","-5,283.0","-4,804.0","-4,733.0","-5,144.0","-5,898.0","-5,382.0","-5,076.0","-5,345.0","-4,973.0","-6,515.0","-5,623.0","-5,651.0","-5,940.0","-5,109.0","-5,656.0","-7,420.0","-8,232.0","-6,127.0","-7,397.0","-8,163.0","-7,374.0","-10,400.0","-10,183.0","-9,756.0","-9,550.0","-10,560.0","-11,234.0","-11,284.0","-11,498.0","-12,224.0","-11,110.0","-11,169.0","-11,728.0","-12,141.0","-12,674.0","-13,709.0","-13,046.0","-14,336.0","-15,793.0","-16,276.0","-16,602.0","-16,045.0","-16,761.0","-16,148.0","-15,870.0","-14,968.0","-15,166.0","-14,072.0","-14,911.0","-15,009.0","-14,935.0","-16,448.0","-14,637.0","-16,093.0","-15,770.0","-16,543.0","-17,050.0","-17,761.0","-18,670.0","-16,578.0","-18,934.0","-19,540.0","-20,612.0","-19,149.0","-19,955.0","-20,641.0","-17,631.0","-17,962.0","-18,740.0","-18,020.0","-17,931.0","-18,160.0","-19,014.0","-19,513.0","-18,313.0","-19,020.0","-18,636.0","-17,418.0","-18,986.0","-19,858.0","-18,578.0","-18,931.0","-19,674.0","-20,232.0","-20,360.0","-19,840.0","-19,398.0","-20,045.0","-21,445.0","-20,946.0","-21,761.0","-20,551.0","-21,298.0","-23,761.0","-23,686.0","-22,644.0","-22,937.0","-24,050.0","-25,232.0","-26,225.0","-26,446.0","-24,931.0","-25,502.0","-28,205.0","-27,324.0","-26,895.0","-28,856.0","-28,892.0","-29,683.0","-29,738.0","-29,194.0","-27,081.0","-27,044.0","-28,591.0","-30,600.0","-27,128.0","-31,514.0","-33,559.0","-33,386.0","-34,799.0","-35,142.0","-34,614.0","-37,841.0","-38,502.0","-40,812.0","-47,006.0","-40,092.0","-44,795.0","-41,504.0","-40,631.0","-39,830.0","-36,242.0","-43,032.0","-41,704.0","-41,129.0","-40,820.0","-37,907.0","-27,121.0","-40,663.0","-44,450.0","-46,178.0","-49,087.0","-21,684.0","-48,055.0","-47,104.0","-46,375.0","-45,567.0","-41,617.0","-47,115.0","-47,156.0","-46,882.0","-47,795.0","-50,103.0","-49,444.0","-50,370.0","-48,070.0","-49,990.0","-60,778.0","-62,821.0","-53,897.0","-65,651.0","-73,143.0","-71,932.0","-62,602.0","-62,621.0","-63,701.0","-66,274.0","-60,330.0","-61,719.0","-62,988.0","-70,445.0","-61,441.0","-59,065.0","-65,512.0","....."
"54","35","Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,905.0","-2,807.0","2,326.0","-2,706.0","-10,787.0","9,718.0","28,025.0","6,575.0","1,535.0","45.0","6,947.0","4,464.0","525.0","17,316.0","-14,151.0","-17,366.0","-8,010.0","-27,747.0","-48,012.0","-56,869.0","-78,633.0","-88,024.0","-90,545.0","-103,539.0","-89,558.0","-111,519.0","-121,436.0","-135,312.0","-128,452.0","-141,978.0","-150,339.0","-150,413.0","-151,070.0","-154,529.0","-154,205.0","-157,165.0","-127,022.0","-110,100.0","-106,605.0","-119,762.0","-106,849.0","-93,734.0","-81,815.0","-88,471.0","-90,888.0","-73,035.0","-82,554.0","-82,688.0","42,110.0","14,180.0","-29,063.0","-16,995.0","-22,041.0","-39,834.0","-46,786.0","-68,630.0","-59,187.0","-73,907.0","-77,024.0","-107,621.0","-92,266.0","-111,913.0","-121,909.0","-137,908.0","-118,656.0","-118,349.0","-101,011.0","-83,996.0","-102,281.0","-108,658.0","-132,828.0","-113,639.0","-131,453.0","-101,695.0","-122,723.0","-163,349.0","-164,292.0","-195,467.0","-224,088.0","-235,249.0","-243,678.0","-279,996.0","-314,700.0","-347,213.0","-386,023.0","-389,716.0","-427,000.0","-435,092.0","-420,545.0","-383,844.0","-359,128.0","-343,832.0","-406,119.0","-452,594.0","-455,788.0","-487,251.0","-531,928.0","-521,491.0","-512,606.0","-496,655.0","-534,756.0","-612,601.0","-618,061.0","-710,060.0","-703,920.0","-701,817.0","-667,444.0","-823,892.0","-791,200.0","-807,570.0","-852,147.0","-740,175.0","-793,563.0","-749,987.0","-675,684.0","-616,646.0","-709,280.0","-706,752.0","-671,662.0","-604,858.0","-395,211.0","-353,454.0","-380,540.0","-397,688.0","-445,753.0","-460,748.0","-487,485.0","-426,814.0","-464,035.0","-476,561.0","-426,679.0","-467,160.0","-489,311.0","-445,925.0","-423,362.0","-371,119.0","-438,513.0","-419,106.0","-391,908.0","....."
"55","36","  Private","W994RC1","19,468.0","19,276.0","26,295.0","27,977.0","39,643.0","50,905.0","57,787.0","63,590.0","61,835.0","66,116.0","65,445.0","60,045.0","49,921.0","49,433.0","45,127.0","47,694.0","40,260.0","50,539.0","48,661.0","52,663.0","59,117.0","42,666.0","53,730.0","74,803.0","121,729.0","175,821.0","134,167.0","141,624.0","120,225.0","102,140.0","95,467.0","95,819.0","72,542.0","70,845.0","70,987.0","63,709.0","59,049.0","52,381.0","62,793.0","67,729.0","54,125.0","61,250.0","73,894.0","77,544.0","86,822.0","135,075.0","157,293.0","116,451.0","106,857.0","102,658.0","106,360.0","151,875.0","164,801.0","195,500.0","201,457.0","230,501.0","249,350.0","199,837.0","203,342.0","175,879.0","129,379.0","125,519.0","138,852.0","142,012.0","121,040.0","157,935.0","129,855.0","125,572.0","123,732.0","134,570.0","145,171.0","107,209.0","120,007.0","54,654.0","76,269.0","81,618.0","100,417.0","114,649.0","96,900.0","96,030.0","86,151.0","124,559.0","154,000.0","167,147.0","187,384.0","209,860.0","202,265.0","257,169.0","327,641.0","362,116.0","353,973.0","375,802.0","412,306.0","402,207.0","408,426.0","364,526.0","389,147.0","331,929.0","335,332.0","251,903.0","244,732.0","202,436.0","212,151.0","200,175.0","219,745.0","223,379.0","201,240.0","210,023.0","191,424.0","144,230.0","103,660.0","80,291.0","55,647.0","36,081.0","-4,938.0","-47,580.0","-109,923.0","-150,587.0","-197,556.0","-211,585.0","-234,488.0","-274,543.0","-320,621.0","-344,165.0","-494,976.0","-476,197.0","-502,442.0","-486,282.0","-438,217.0","-314,843.0","-63,430.0","-90,125.0","59,760.0","63,339.0","68,773.0","101,685.0","108,751.0","179,533.0","234,617.0","154,480.0","182,324.0","79,060.0","49,272.0","-81,862.0","-158,696.0","-158,038.0","-66,065.0","-286,268.0","-353,820.0","-358,955.0","-391,672.0","-363,169.0","-318,747.0","-242,858.0","-107,847.0","-21,687.0","2,281.0","382,118.0","394,251.0","753,121.0","1,313,122.0","1,597,385.0","1,513,729.0","1,440,921.0","1,430,926.0","1,439,468.0","1,287,353.0","1,300,574.0","1,182,134.0","1,235,597.0","1,226,119.0","1,181,403.0","1,001,235.0","1,098,236.0","1,090,934.0","1,108,407.0","746,397.0","531,223.0","786,804.0","....."
"56","37","    Domestic business","W995RC1","-18,026.0","-22,260.0","-28,277.0","-30,084.0","-22,699.0","-19,240.0","-19,036.0","-11,507.0","-14,601.0","-12,715.0","-10,194.0","-9,409.0","-11,207.0","-7,291.0","-16,363.0","-28,198.0","-26,281.0","-29,222.0","-35,690.0","-49,295.0","-42,642.0","-51,662.0","-41,626.0","-42,549.0","10,884.0","28,226.0","20,650.0","30,435.0","19,536.0","7,060.0","169.0","15,804.0","15,434.0","5,899.0","-4,538.0","-22,662.0","-30,835.0","-19,895.0","-15,537.0","-14,883.0","-46,378.0","-31,418.0","-15,386.0","-22,190.0","-30,436.0","-18,442.0","-4,405.0","-56,768.0","-55,709.0","-64,189.0","-106,558.0","-90,135.0","-68,957.0","-46,751.0","-40,635.0","20,303.0","54,020.0","42,621.0","58,821.0","16,897.0","-62,312.0","-76,697.0","-85,677.0","-73,118.0","-39,944.0","-36,561.0","593.0","-28,159.0","-37,984.0","-25,502.0","17,457.0","-5,649.0","-23,944.0","-14,175.0","-18,742.0","-54,705.0","-34,596.0","-32,291.0","-59,238.0","-57,457.0","-102,368.0","-42,910.0","-12,542.0","-17,167.0","-2,018.0","-724.0","-10,646.0","33,106.0","72,860.0","114,643.0","116,170.0","93,407.0","115,810.0","90,959.0","84,040.0","114,309.0","122,189.0","99,318.0","154,009.0","92,451.0","91,794.0","61,658.0","72,735.0","34,095.0","7,063.0","36,866.0","24,050.0","44,782.0","32,513.0","4,704.0","-42,547.0","-56,671.0","-79,090.0","-113,818.0","-119,979.0","-174,421.0","-300,349.0","-303,442.0","-324,842.0","-293,252.0","-316,625.0","-266,591.0","-281,613.0","-310,123.0","-490,058.0","-478,941.0","-516,679.0","-458,477.0","-446,791.0","-303,846.0","-214,251.0","-37,675.0","-40,299.0","-29,201.0","36,974.0","47,516.0","68,165.0","118,358.0","174,193.0","144,364.0","201,951.0","90,995.0","59,263.0","-35,495.0","71,066.0","112,194.0","106,532.0","-41,842.0","-201,102.0","-208,483.0","-250,352.0","-273,892.0","-297,991.0","-223,675.0","-105,373.0","-60,965.0","-206,308.0","-70,241.0","46,325.0","206,837.0","735,920.0","872,517.0","865,616.0","815,589.0","829,258.0","825,384.0","667,131.0","691,052.0","505,822.0","600,140.0","596,346.0","640,507.0","420,597.0","514,678.0","577,659.0","335,049.0","366,778.0","87,290.0","321,261.0","....."
"57","38","    Households and institutions","W996RC1","37,493.0","41,537.0","54,572.0","58,061.0","62,342.0","70,145.0","76,824.0","75,097.0","76,436.0","78,831.0","75,640.0","69,454.0","61,129.0","56,724.0","61,490.0","75,892.0","66,542.0","79,761.0","84,351.0","101,959.0","101,760.0","94,328.0","95,358.0","117,353.0","110,846.0","147,596.0","113,516.0","111,189.0","100,688.0","95,081.0","95,299.0","80,013.0","57,107.0","64,947.0","75,527.0","86,371.0","89,884.0","72,275.0","78,330.0","82,611.0","100,505.0","92,669.0","89,280.0","99,734.0","117,257.0","153,516.0","161,698.0","173,220.0","162,566.0","166,847.0","212,917.0","242,011.0","233,758.0","242,252.0","242,092.0","210,197.0","195,330.0","157,216.0","144,522.0","158,981.0","191,691.0","202,216.0","224,529.0","215,128.0","160,985.0","194,496.0","129,262.0","153,732.0","161,715.0","160,072.0","127,713.0","112,858.0","143,951.0","68,830.0","95,011.0","136,323.0","135,013.0","146,939.0","156,138.0","153,488.0","188,519.0","167,469.0","166,542.0","184,314.0","189,402.0","210,583.0","212,913.0","224,064.0","254,780.0","247,474.0","237,803.0","282,395.0","296,496.0","311,249.0","324,386.0","250,219.0","266,958.0","232,612.0","181,322.0","159,452.0","152,938.0","140,778.0","139,415.0","166,080.0","212,683.0","186,513.0","177,190.0","165,241.0","158,910.0","139,527.0","146,207.0","136,962.0","134,737.0","149,899.0","115,040.0","126,841.0","190,426.0","152,855.0","127,287.0","81,667.0","82,136.0","-7,952.0","-39,008.0","-34,043.0","-4,920.0","2,745.0","14,237.0","-27,805.0","8,574.0","-10,996.0","150,821.0","-52,450.0","100,059.0","92,541.0","31,799.0","54,170.0","40,587.0","61,174.0","60,423.0","10,117.0","-19,627.0","-11,934.0","-9,991.0","-46,368.0","-229,763.0","-270,231.0","-172,596.0","-244,427.0","-152,718.0","-150,472.0","-141,321.0","-89,278.0","-20,757.0","-19,182.0","-2,474.0","39,277.0","208,589.0","452,358.0","347,925.0","546,284.0","577,203.0","724,870.0","648,113.0","625,332.0","601,669.0","614,083.0","620,222.0","609,522.0","676,311.0","635,458.0","629,773.0","540,899.0","580,638.0","583,558.0","513,274.0","773,357.0","379,618.0","443,934.0","465,541.0","....."
"58","39","  Government","AD01RC1","-17,867.0","-18,631.0","-24,848.0","-25,263.0","-35,851.0","-45,684.0","-54,300.0","-61,217.0","-57,506.0","-66,057.0","-65,807.0","-62,891.0","-54,977.0","-54,209.0","-48,762.0","-50,513.0","-38,094.0","-45,167.0","-36,227.0","-37,343.0","-42,635.0","-40,039.0","-53,458.0","-70,448.0","-103,888.0","-154,428.0","-115,839.0","-120,060.0","-107,134.0","-93,194.0","-93,110.0","-92,043.0","-80,616.0","-79,748.0","-78,916.0","-82,716.0","-84,143.0","-65,321.0","-74,264.0","-69,088.0","-56,029.0","-64,056.0","-71,569.0","-80,250.0","-97,611.0","-125,357.0","-129,268.0","-109,876.0","-105,322.0","-102,613.0","-99,414.0","-147,411.0","-164,274.0","-178,187.0","-215,606.0","-247,870.0","-257,362.0","-227,585.0","-251,349.0","-232,744.0","-208,012.0","-213,544.0","-229,396.0","-245,549.0","-210,597.0","-269,455.0","-251,286.0","-260,889.0","-252,185.0","-276,552.0","-295,507.0","-257,617.0","-271,078.0","-209,183.0","-230,469.0","-238,784.0","-227,439.0","-224,749.0","-203,502.0","-215,787.0","-192,997.0","-218,297.0","-235,814.0","-255,619.0","-278,270.0","-282,899.0","-284,818.0","-339,853.0","-285,534.0","-347,937.0","-383,030.0","-392,788.0","-434,344.0","-442,044.0","-455,215.0","-433,153.0","-448,333.0","-405,834.0","-412,360.0","-359,522.0","-336,999.0","-314,347.0","-334,063.0","-338,079.0","-338,404.0","-341,727.0","-302,289.0","-294,020.0","-293,705.0","-252,889.0","-236,487.0","-193,928.0","-187,104.0","-137,779.0","-117,784.0","-115,766.0","-54,369.0","-44,882.0","-26,533.0","-23,668.0","-9,195.0","-5,453.0","5,920.0","-3,051.0","108,953.0","86,484.0","75,440.0","51,192.0","17,673.0","-69,003.0","-295,695.0","-253,706.0","-465,878.0","-515,935.0","-524,560.0","-588,936.0","-640,677.0","-701,021.0","-747,223.0","-651,137.0","-717,079.0","-691,661.0","-667,340.0","-628,198.0","-545,226.0","-543,776.0","-601,380.0","-537,624.0","-437,377.0","-448,616.0","-460,474.0","-377,006.0","-474,812.0","-507,132.0","-567,837.0","-594,963.0","-711,566.0","-1,088,872.0","-1,065,909.0","-1,357,976.0","-1,708,334.0","-1,950,839.0","-1,894,270.0","-1,838,607.0","-1,876,681.0","-1,900,217.0","-1,774,837.0","-1,727,389.0","-1,646,170.0","-1,712,157.0","-1,652,797.0","-1,648,565.0","-1,490,546.0","-1,544,162.0","-1,514,296.0","-1,479,529.0","-1,184,910.0","-950,327.0","-1,178,711.0","....."
"59","40","    Federal","AD02RC1","-7,550.0","-8,497.0","-15,959.0","-17,818.0","-28,013.0","-36,928.0","-42,879.0","-47,977.0","-44,071.0","-53,768.0","-53,409.0","-50,934.0","-44,156.0","-53,155.0","-40,406.0","-54,810.0","-36,947.0","-42,137.0","-31,215.0","-30,923.0","-34,276.0","-28,980.0","-39,717.0","-53,382.0","-79,755.0","-134,368.0","-99,012.0","-100,579.0","-89,139.0","-80,966.0","-85,088.0","-91,289.0","-76,571.0","-76,838.0","-81,865.0","-84,694.0","-88,698.0","-69,127.0","-69,258.0","-65,884.0","-54,087.0","-56,054.0","-63,608.0","-69,000.0","-84,588.0","-110,658.0","-119,257.0","-104,576.0","-95,124.0","-94,660.0","-92,993.0","-134,370.0","-149,703.0","-163,709.0","-199,572.0","-228,526.0","-237,669.0","-216,813.0","-246,264.0","-232,232.0","-213,997.0","-222,342.0","-230,379.0","-250,804.0","-212,559.0","-269,053.0","-248,125.0","-257,385.0","-251,668.0","-269,601.0","-290,911.0","-245,088.0","-248,676.0","-200,544.0","-211,650.0","-217,229.0","-210,289.0","-203,754.0","-191,848.0","-198,021.0","-176,275.0","-194,015.0","-202,872.0","-203,936.0","-234,698.0","-234,217.0","-231,912.0","-274,384.0","-219,299.0","-277,936.0","-313,136.0","-312,655.0","-350,874.0","-360,123.0","-370,394.0","-355,189.0","-361,676.0","-322,773.0","-333,060.0","-297,545.0","-269,121.0","-243,705.0","-268,799.0","-265,359.0","-264,784.0","-250,275.0","-224,170.0","-227,359.0","-236,208.0","-189,442.0","-174,113.0","-128,405.0","-117,410.0","-73,579.0","-66,540.0","-69,235.0","-14,488.0","5,897.0","29,109.0","23,043.0","54,266.0","61,733.0","68,201.0","63,356.0","170,537.0","143,396.0","150,100.0","142,809.0","125,928.0","79,647.0","-148,848.0","-55,503.0","-257,563.0","-301,559.0","-315,503.0","-366,645.0","-388,282.0","-476,425.0","-543,906.0","-470,456.0","-509,213.0","-469,765.0","-451,948.0","-451,701.0","-393,513.0","-386,479.0","-447,628.0","-361,513.0","-322,197.0","-327,715.0","-310,403.0","-216,655.0","-299,595.0","-344,772.0","-385,646.0","-389,742.0","-486,292.0","-858,048.0","-770,051.0","-1,012,671.0","-1,332,469.0","-1,573,800.0","-1,513,077.0","-1,487,266.0","-1,534,953.0","-1,559,014.0","-1,482,356.0","-1,461,728.0","-1,378,140.0","-1,471,085.0","-1,380,036.0","-1,371,069.0","-1,203,317.0","-1,242,479.0","-1,214,994.0","-1,198,333.0","-925,354.0","-720,515.0","-920,991.0","....."
"60","41","    State and local","AD03RC1","-10,317.0","-10,133.0","-8,889.0","-7,446.0","-7,837.0","-8,755.0","-11,422.0","-13,240.0","-13,435.0","-12,289.0","-12,398.0","-11,957.0","-10,821.0","-1,054.0","-8,356.0","4,297.0","-1,147.0","-3,029.0","-5,012.0","-6,419.0","-8,359.0","-11,058.0","-13,742.0","-17,066.0","-24,132.0","-20,059.0","-16,826.0","-19,480.0","-17,995.0","-12,227.0","-8,021.0","-754.0","-4,045.0","-2,910.0","2,949.0","1,978.0","4,555.0","3,806.0","-5,006.0","-3,204.0","-1,942.0","-8,002.0","-7,961.0","-11,249.0","-13,023.0","-14,699.0","-10,011.0","-5,300.0","-10,198.0","-7,953.0","-6,421.0","-13,041.0","-14,571.0","-14,477.0","-16,034.0","-19,344.0","-19,693.0","-10,772.0","-5,085.0","-512.0","5,986.0","8,798.0","983.0","5,255.0","1,962.0","-402.0","-3,161.0","-3,505.0","-518.0","-6,951.0","-4,596.0","-12,529.0","-22,402.0","-8,638.0","-18,818.0","-21,554.0","-17,150.0","-20,995.0","-11,655.0","-17,766.0","-16,722.0","-24,282.0","-32,941.0","-51,682.0","-43,572.0","-48,682.0","-52,906.0","-65,470.0","-66,235.0","-70,001.0","-69,893.0","-80,133.0","-83,471.0","-81,921.0","-84,821.0","-77,965.0","-86,657.0","-83,061.0","-79,301.0","-61,977.0","-67,878.0","-70,641.0","-65,264.0","-72,720.0","-73,620.0","-91,452.0","-78,120.0","-66,661.0","-57,497.0","-63,447.0","-62,375.0","-65,524.0","-69,694.0","-64,200.0","-51,244.0","-46,532.0","-39,881.0","-50,779.0","-55,641.0","-46,711.0","-63,461.0","-67,186.0","-62,281.0","-66,407.0","-61,584.0","-56,911.0","-74,660.0","-91,616.0","-108,255.0","-148,650.0","-146,847.0","-198,202.0","-208,314.0","-214,376.0","-209,057.0","-222,290.0","-252,396.0","-224,596.0","-203,317.0","-180,682.0","-207,866.0","-221,896.0","-215,392.0","-176,497.0","-151,712.0","-157,296.0","-153,752.0","-176,111.0","-115,180.0","-120,902.0","-150,071.0","-160,351.0","-175,217.0","-162,359.0","-182,190.0","-205,221.0","-225,274.0","-230,824.0","-295,858.0","-345,305.0","-375,865.0","-377,038.0","-381,193.0","-351,340.0","-341,727.0","-341,203.0","-292,481.0","-265,661.0","-268,030.0","-241,073.0","-272,761.0","-277,497.0","-287,228.0","-301,682.0","-299,302.0","-281,196.0","-259,556.0","-229,812.0","-257,720.0","....."
"61","42","    Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,902.0","41,318.0","58,423.0","55,502.0","63,738.0","59,263.0","35,608.0","17,114.0","57,258.0","34,789.0","27,879.0","26,875.0","-1,692.0","3,058.0","4,096.0","21,543.0","28,635.0","49,661.0","72,202.0","66,107.0","38,448.0","44,960.0","41,099.0","29,969.0","35,181.0","43,640.0","58,711.0","67,482.0","64,456.0","73,701.0","90,088.0","78,683.0","65,600.0","44,908.0","17,289.0","34,386.0","2,350.0","10,382.0","-5,807.0","-8,863.0","10,133.0","65,109.0","86,497.0","94,903.0","99,866.0","90,719.0","98,621.0","76,103.0","56,184.0","88,023.0","102,204.0","107,047.0","73,714.0","93,152.0","136,482.0","140,158.0","180,501.0","140,611.0","163,426.0","124,650.0","157,163.0","145,439.0","121,799.0","122,749.0","114,350.0","98,142.0","71,568.0","78,055.0","45,446.0","65,505.0","64,869.0","50,321.0","19,291.0","47,455.0","14,159.0","-31,861.0","-39,217.0","-81,140.0","-92,665.0","-27,784.0","-66,330.0","-46,348.0","-13,078.0","-3,984.0","-180,461.0","-47,716.0","-111,892.0","-37,953.0","-189,301.0","-116,249.0","-110,338.0","-30,318.0","-69,308.0","-76,437.0","-38,097.0","-96,541.0","-58,324.0","-59,301.0","24,346.0","45,031.0","24,801.0","-12,284.0","-41,326.0","2,924.0","15,381.0","-10,452.0","-16,451.0","-123,607.0","-221,154.0","-200,829.0","-246,743.0","-192,349.0","-149,651.0","-61,343.0","115,455.0","176,231.0","50,982.0","133,858.0","122,245.0","88,961.0","111,532.0","98,367.0","74,231.0","4,847.0","45,073.0","85,428.0","-746.0","42,702.0","-83,336.0","-51,660.0","-83,037.0","3,438.0","-62,970.0","10,138.0","86,433.0","-101,742.0","-155,588.0","-186,751.0","-92,638.0","....."
