"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"34","15","Structures","A755RX1","713,165.0","709,926.0","712,256.0","678,030.0","673,376.0","652,185.0","673,474.0","692,953.0","704,689.0","733,475.0","745,241.0","758,583.0","784,369.0","784,555.0","784,744.0","807,134.0","829,946.0","812,228.0","802,232.0","784,130.0","758,059.0","748,236.0","716,559.0","670,872.0","653,896.0","635,684.0","659,205.0","681,719.0","724,157.0","715,351.0","702,053.0","735,227.0","750,764.0","803,951.0","800,558.0","793,359.0","791,668.0","862,504.0","892,715.0","904,190.0","873,873.0","881,479.0","897,948.0","896,336.0","877,588.0","794,464.0","792,180.0","827,759.0","831,333.0","818,641.0","796,080.0","801,641.0","767,500.0","745,263.0","722,918.0","734,653.0","756,951.0","772,222.0","817,519.0","838,477.0","873,182.0","903,049.0","916,468.0","922,752.0","939,489.0","951,531.0","951,273.0","961,535.0","977,252.0","965,035.0","961,962.0","956,224.0","954,914.0","961,057.0","975,171.0","986,250.0","957,544.0","975,058.0","966,307.0","971,666.0","969,668.0","954,247.0","962,984.0","956,980.0","978,495.0","956,449.0","932,311.0","900,257.0","868,174.0","869,210.0","865,099.0","873,777.0","896,705.0","903,313.0","896,622.0","913,094.0","906,095.0","917,838.0","935,128.0","963,039.0","950,439.0","986,581.0","989,120.0","987,649.0","985,678.0","979,270.0","992,135.0","998,588.0","1,016,230.0","1,051,635.0","1,060,918.0","1,083,739.0","1,094,952.0","1,093,138.0","1,103,388.0","1,099,800.0","1,102,803.0","1,149,156.0","1,178,749.0","1,189,712.0","1,195,229.0","1,193,655.0","1,199,482.0","1,220,492.0","1,238,173.0","1,242,318.0","1,249,031.0","1,251,680.0","1,247,265.0","1,276,398.0","1,259,738.0","1,232,897.0","1,232,494.0","1,223,805.0","1,214,079.0","1,222,243.0","1,223,344.0","1,245,566.0","1,286,679.0","1,298,660.0","1,300,531.0","1,333,102.0","1,335,874.0","1,332,767.0","1,350,862.0","1,366,370.0","1,365,321.0","1,371,037.0","1,373,960.0","1,365,375.0","1,330,687.0","1,294,397.0","1,276,310.0","1,286,119.0","1,270,888.0","1,234,869.0","1,196,043.0","1,196,473.0","1,170,907.0","1,116,251.0","1,031,558.0","973,729.0","964,152.0","918,068.0","871,985.0","902,896.0","884,325.0","886,610.0","855,997.0","866,503.0","878,807.0","883,240.0","885,778.0"
"35","16","Residual","A959RX1","-147,200.0","-163,500.0","-161,200.0","-163,300.0","-166,400.0","-152,200.0","-160,600.0","-201,100.0","-167,200.0","-183,300.0","-183,100.0","-205,600.0","-206,500.0","-173,800.0","-166,200.0","-160,800.0","-136,100.0","-115,100.0","-128,500.0","-105,500.0","-115,900.0","-117,800.0","-129,000.0","-130,500.0","-166,200.0","-166,000.0","-142,200.0","-146,100.0","-133,900.0","-122,200.0","-119,800.0","-142,800.0","-143,800.0","-141,200.0","-119,800.0","-128,900.0","-144,500.0","-118,400.0","-124,400.0","-111,200.0","-108,900.0","-119,200.0","-107,900.0","-118,500.0","-111,000.0","-120,400.0","-138,400.0","-129,100.0","-88,700.0","-118,900.0","-82,800.0","-115,400.0","-144,500.0","-127,200.0","-142,300.0","-172,300.0","-180,700.0","-157,700.0","-161,200.0","-121,600.0","-105,300.0","-103,800.0","-105,800.0","-109,600.0","-128,100.0","-134,200.0","-131,300.0","-137,400.0","-139,000.0","-145,800.0","-141,400.0","-142,900.0","-146,400.0","-138,700.0","-134,600.0","-122,400.0","-119,100.0","-112,400.0","-115,800.0","-110,500.0","-95,500.0","-85,700.0","-86,400.0","-97,500.0","-95,400.0","-96,500.0","-96,900.0","-106,000.0","-107,600.0","-109,700.0","-101,700.0","-104,900.0","-113,400.0","-103,200.0","-98,100.0","-97,800.0","-95,300.0","-92,400.0","-103,400.0","-95,700.0","-79,700.0","-76,600.0","-79,800.0","-59,700.0","-114,500.0","-119,100.0","-111,900.0","-99,200.0","-104,800.0","-99,500.0","-88,100.0","-86,500.0","-80,600.0","-69,300.0","-52,800.0","-48,900.0","-40,900.0","-49,500.0","-45,100.0","-28,700.0","-28,100.0","-19,000.0","-9,000.0","-8,500.0","-2,100.0","700.0","-400.0","-1,400.0","-2,700.0","-10,700.0","-14,000.0","-1,900.0","-7,300.0","-8,600.0","-4,400.0","-10,400.0","-7,600.0","-5,200.0","-800.0","0.0","-1,200.0","-4,300.0","-1,900.0","-1,400.0","-1,000.0","-200.0","200.0","800.0","-2,100.0","-2,400.0","-2,600.0","-5,300.0","-8,400.0","-8,300.0","-12,900.0","-24,700.0","-21,500.0","-26,000.0","-26,200.0","-17,500.0","-19,500.0","-18,600.0","-21,800.0","-19,000.0","-29,100.0","-32,500.0","-37,900.0","-52,900.0","-60,700.0","-62,200.0","-79,300.0","-74,900.0","-82,800.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","281,899.0","274,446.0","271,342.0","288,690.0","260,881.0","295,179.0","296,297.0","283,765.0","295,241.0","293,872.0","313,730.0","328,291.0","322,233.0","321,746.0","323,141.0","365,396.0","355,807.0","358,091.0","369,506.0","376,916.0","382,594.0","368,024.0","350,187.0","337,965.0","324,018.0","348,512.0","343,172.0","359,309.0","375,719.0","381,345.0","394,491.0","381,576.0","371,209.0","390,907.0","391,563.0","395,660.0","398,772.0","392,610.0","410,916.0","409,650.0","411,042.0","417,543.0","440,208.0","406,957.0","420,912.0","412,644.0","416,698.0","405,644.0","415,649.0","420,137.0","418,026.0","401,799.0","386,798.0","359,451.0","333,358.0","268,190.0","219,335.0","228,973.0","281,431.0","288,290.0","313,654.0","325,279.0","336,788.0","321,121.0","360,715.0","356,996.0","361,502.0","378,659.0","419,816.0"
"38","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,737,986.0","8,766,768.0","8,847,160.0","8,889,757.0","8,987,590.0","9,105,928.0","9,186,930.0","9,306,833.0","9,366,803.0","9,512,791.0","9,612,222.0","9,671,046.0","9,773,621.0","9,865,622.0","9,999,232.0","10,128,299.0","10,233,891.0","10,314,501.0","10,437,565.0","10,624,238.0","10,646,651.0","10,880,218.0","10,910,449.0","10,991,405.0","10,969,613.0","11,016,015.0","10,990,441.0","11,012,202.0","11,091,567.0","11,146,656.0","11,190,911.0","11,208,951.0","11,268,483.0","11,346,372.0","11,539,089.0","11,642,868.0","11,719,090.0","11,803,531.0","11,875,684.0","11,977,609.0","12,104,058.0","12,153,238.0","12,230,460.0","12,328,318.0","12,475,363.0","12,535,786.0","12,533,660.0","12,632,117.0","12,640,227.0","12,753,182.0","12,851,238.0","12,922,349.0","12,877,097.0","12,945,289.0","12,845,617.0","12,600,347.0","12,423,556.0","12,393,774.0","12,400,486.0","12,512,976.0","12,613,753.0","12,723,464.0","12,793,820.0","12,884,175.0","12,860,274.0","12,907,464.0","12,962,905.0","13,044,357.0","13,068,740.0"
"39","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,044.0","6,796.0","7,503.0","8,765.0","9,973.0","10,867.0","12,031.0","13,119.0","14,920.0","16,763.0","18,965.0","19,681.0","21,516.0","23,679.0","26,418.0","28,957.0","32,330.0","35,644.0","38,219.0","37,835.0","42,434.0","46,834.0","48,188.0","50,627.0","55,202.0","53,251.0","50,740.0","53,242.0","52,768.0","52,840.0","55,892.0","57,507.0","59,130.0","58,746.0","66,451.0","68,870.0","64,527.0","64,248.0","65,037.0","69,375.0","70,474.0","75,524.0","78,553.0","84,235.0","90,366.0","94,744.0","97,505.0","102,215.0","102,169.0","104,637.0","116,758.0","126,843.0","129,101.0","137,847.0","136,864.0","137,253.0","142,782.0","137,589.0","133,358.0","134,172.0","145,155.0","149,573.0","171,472.0","194,112.0","200,889.0","207,120.0","226,144.0","237,270.0","234,278.0"
"40","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,175,695.0","9,184,784.0","9,253,381.0","9,303,406.0","9,354,771.0","9,509,386.0","9,582,256.0","9,678,526.0","9,739,527.0","9,872,188.0","9,982,823.0","10,055,590.0","10,140,977.0","10,221,829.0","10,345,358.0","10,515,753.0","10,597,677.0","10,669,747.0","10,798,274.0","10,995,319.0","11,010,533.0","11,215,286.0","11,221,360.0","11,282,728.0","11,235,027.0","11,314,026.0","11,287,756.0","11,322,573.0","11,420,609.0","11,481,431.0","11,534,816.0","11,536,109.0","11,582,071.0","11,681,426.0","11,864,407.0","11,969,358.0","12,054,595.0","12,133,084.0","12,222,970.0","12,318,362.0","12,444,809.0","12,495,058.0","12,591,766.0","12,651,404.0","12,806,629.0","12,855,161.0","12,854,586.0","12,938,701.0","12,956,207.0","13,071,528.0","13,159,386.0","13,208,976.0","13,148,726.0","13,187,281.0","13,064,840.0","12,762,528.0","12,540,460.0","12,521,193.0","12,576,125.0","12,694,001.0","12,812,614.0","12,930,661.0","13,001,975.0","13,068,692.0","13,077,685.0","13,118,998.0","13,171,267.0","13,264,064.0","13,326,837.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
