"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"61","42","            Commodity Credit Corporation inventory change","B826RX1","344.0","-592.0","-32.0","-34.0","-18.0","-190.0","-207.0","-118.0","31.0","-68.0","-61.0","42.0","83.0","183.0","273.0","80.0","75.0","290.0","215.0","-74.0","622.0","599.0","787.0","1,254.0","829.0","2,937.0","-165.0","-361.0","-162.0","570.0","144.0","-270.0","-381.0","258.0","-316.0","-168.0","-1,073.0","-591.0","-1,719.0","-429.0","1,401.0","-2,845.0","-768.0","79.0","-277.0","28.0","-20.0","-7.0","-66.0","-109.0","24.0","-5.0","10.0","-943.0","33.0","339.0","114.0","846.0","-645.0","114.0","-331.0","-209.0","30.0","103.0","-202.0","59.0","-31.0","-21.0","52.0"
"62","43","            Other nondurable goods","B828RX1","11,804.0","11,608.0","11,654.0","11,448.0","10,357.0","10,301.0","10,465.0","10,574.0","12,010.0","12,316.0","12,467.0","12,401.0","13,599.0","13,478.0","13,308.0","13,463.0","9,753.0","9,635.0","9,497.0","9,388.0","9,830.0","9,857.0","10,625.0","11,075.0","12,559.0","13,159.0","14,225.0","15,160.0","14,388.0","15,002.0","14,771.0","14,988.0","14,885.0","16,435.0","17,570.0","17,722.0","18,921.0","18,478.0","18,422.0","19,552.0","20,273.0","19,926.0","19,942.0","20,896.0","20,958.0","18,944.0","18,439.0","17,212.0","16,970.0","17,713.0","18,018.0","18,739.0","20,166.0","21,018.0","19,715.0","20,267.0","23,114.0","24,380.0","23,270.0","24,208.0","24,908.0","25,773.0","26,417.0","26,650.0","25,804.0","24,367.0","26,356.0","24,551.0","24,112.0"
"63","44","          Services","A544RX1","61,453.0","61,079.0","60,562.0","59,566.0","58,921.0","58,026.0","57,701.0","59,817.0","60,425.0","60,544.0","59,510.0","60,759.0","58,355.0","57,818.0","56,461.0","54,274.0","55,422.0","57,185.0","59,316.0","59,765.0","59,464.0","60,674.0","62,010.0","64,229.0","61,885.0","66,297.0","68,548.0","71,105.0","74,511.0","76,886.0","78,987.0","78,767.0","83,020.0","75,657.0","82,068.0","78,025.0","80,906.0","81,233.0","83,228.0","83,898.0","80,798.0","80,341.0","82,956.0","85,980.0","92,992.0","87,099.0","88,488.0","79,671.0","79,068.0","81,726.0","84,826.0","85,658.0","90,422.0","90,977.0","91,371.0","92,864.0","94,152.0","96,000.0","99,408.0","103,482.0","105,204.0","107,395.0","109,410.0","109,394.0","106,613.0","102,900.0","110,044.0","105,418.0","104,055.0"
"64","45","      Less: Own-account investment \4\","W136RX1","4,005.0","3,830.0","4,132.0","3,479.0","3,495.0","3,657.0","3,921.0","3,582.0","3,965.0","3,700.0","3,377.0","2,956.0","3,652.0","4,051.0","3,808.0","2,886.0","2,178.0","3,788.0","3,713.0","3,204.0","2,471.0","2,578.0","2,703.0","2,658.0","3,139.0","3,427.0","3,130.0","2,797.0","2,688.0","2,661.0","2,823.0","2,604.0","2,449.0","2,518.0","2,414.0","2,633.0","2,426.0","2,491.0","2,599.0","2,458.0","2,532.0","2,588.0","2,652.0","2,580.0","2,513.0","2,526.0","2,599.0","2,561.0","2,454.0","2,444.0","2,514.0","2,409.0","2,567.0","2,614.0","2,753.0","2,860.0","2,853.0","2,762.0","2,817.0","2,746.0","2,705.0","2,874.0","3,052.0","2,914.0","2,977.0","2,995.0","2,976.0","2,933.0","2,919.0"
"65","46","            Sales to other sectors","W137RX1","6,023.0","5,172.0","5,292.0","7,161.0","5,328.0","5,525.0","6,899.0","5,663.0","4,190.0","3,951.0","3,296.0","3,940.0","3,506.0","3,148.0","12,822.0","2,992.0","3,517.0","4,451.0","3,447.0","3,359.0","4,294.0","4,723.0","4,306.0","8,216.0","2,928.0","3,227.0","3,233.0","4,512.0","4,187.0","2,721.0","2,605.0","2,707.0","2,736.0","4,071.0","3,389.0","3,282.0","2,991.0","3,021.0","4,229.0","4,863.0","5,914.0","3,943.0","6,064.0","7,223.0","4,485.0","4,436.0","4,470.0","3,726.0","3,364.0","4,178.0","3,994.0","3,821.0","3,908.0","3,991.0","6,378.0","4,109.0","4,767.0","5,281.0","5,440.0","5,561.0","5,825.0","7,022.0","7,488.0","5,074.0","4,050.0","5,302.0","17,635.0","5,954.0","4,975.0"
"66","47","State and local consumption expenditures \1\","A991RX1","976,265.0","981,001.0","984,906.0","989,915.0","989,528.0","1,000,663.0","1,004,090.0","1,009,894.0","1,014,845.0","1,022,469.0","1,031,876.0","1,041,733.0","1,053,755.0","1,065,914.0","1,077,178.0","1,086,197.0","1,096,704.0","1,105,173.0","1,114,044.0","1,121,959.0","1,124,967.0","1,130,813.0","1,136,121.0","1,142,899.0","1,153,970.0","1,166,137.0","1,178,783.0","1,191,664.0","1,203,322.0","1,211,137.0","1,215,577.0","1,215,057.0","1,211,419.0","1,208,792.0","1,205,735.0","1,204,135.0","1,205,980.0","1,207,204.0","1,207,180.0","1,209,132.0","1,210,203.0","1,210,732.0","1,213,720.0","1,213,461.0","1,214,056.0","1,216,537.0","1,222,311.0","1,229,983.0","1,235,480.0","1,239,849.0","1,240,599.0","1,243,359.0","1,240,668.0","1,236,581.0","1,237,183.0","1,233,909.0","1,232,570.0","1,231,676.0","1,227,127.0","1,224,320.0","1,219,080.0","1,214,758.0","1,210,759.0","1,207,410.0","1,207,366.0","1,203,158.0","1,197,163.0","1,188,582.0","1,186,299.0"
"67","48","      Gross output of general government","W138RX1","1,217,375.0","1,223,806.0","1,228,956.0","1,235,332.0","1,235,760.0","1,247,633.0","1,252,033.0","1,260,000.0","1,269,007.0","1,278,164.0","1,289,856.0","1,302,611.0","1,315,930.0","1,330,102.0","1,343,321.0","1,353,370.0","1,365,198.0","1,375,543.0","1,386,244.0","1,397,790.0","1,405,170.0","1,413,873.0","1,423,158.0","1,433,801.0","1,450,514.0","1,466,721.0","1,481,010.0","1,495,691.0","1,507,587.0","1,515,534.0","1,520,115.0","1,519,517.0","1,515,087.0","1,512,320.0","1,509,994.0","1,508,771.0","1,511,819.0","1,513,924.0","1,514,151.0","1,516,390.0","1,517,505.0","1,518,345.0","1,521,483.0","1,522,110.0","1,522,930.0","1,526,962.0","1,533,795.0","1,542,963.0","1,550,116.0","1,556,400.0","1,559,018.0","1,563,605.0","1,558,952.0","1,553,888.0","1,554,592.0","1,551,893.0","1,552,861.0","1,554,452.0","1,551,802.0","1,550,663.0","1,547,505.0","1,545,568.0","1,542,862.0","1,539,496.0","1,540,493.0","1,537,903.0","1,534,180.0","1,527,214.0","1,526,163.0"
"68","49","        Value added","W139RX1","850,428.0","853,552.0","856,179.0","860,352.0","859,240.0","868,866.0","870,592.0","874,807.0","878,546.0","882,596.0","887,896.0","893,270.0","898,074.0","903,168.0","907,404.0","909,727.0","912,537.0","916,141.0","921,678.0","927,746.0","932,879.0","937,150.0","941,017.0","944,860.0","950,616.0","957,973.0","965,287.0","971,411.0","975,549.0","980,353.0","983,600.0","984,099.0","986,440.0","986,876.0","986,594.0","986,783.0","988,237.0","990,569.0","991,416.0","993,740.0","995,599.0","996,585.0","999,584.0","999,163.0","1,001,199.0","1,003,547.0","1,008,316.0","1,013,086.0","1,015,130.0","1,019,011.0","1,021,256.0","1,027,625.0","1,030,071.0","1,031,545.0","1,035,839.0","1,035,682.0","1,036,652.0","1,035,959.0","1,033,718.0","1,032,257.0","1,028,920.0","1,026,806.0","1,023,202.0","1,020,925.0","1,018,054.0","1,014,908.0","1,013,057.0","1,012,246.0","1,012,699.0"
"69","50","          Compensation of general government employees","B251RX1","775,651.0","778,009.0","779,858.0","783,275.0","781,319.0","790,260.0","791,130.0","794,497.0","797,422.0","800,528.0","804,850.0","809,197.0","812,898.0","816,889.0","819,990.0","821,138.0","822,787.0","825,227.0","829,619.0","834,549.0","838,517.0","841,649.0","844,394.0","847,144.0","851,854.0","858,159.0","864,450.0","869,576.0","872,738.0","876,602.0","878,941.0","878,567.0","880,083.0","879,702.0","878,617.0","878,007.0","878,228.0","879,492.0","879,440.0","881,013.0","882,254.0","882,577.0","884,856.0","883,665.0","884,900.0","886,421.0","890,350.0","894,265.0","895,417.0","898,394.0","899,711.0","905,151.0","907,723.0","908,239.0","911,731.0","910,885.0","911,314.0","910,014.0","907,124.0","904,981.0","900,910.0","898,099.0","893,826.0","890,917.0","887,436.0","883,655.0","881,148.0","879,661.0","879,417.0"
"70","51","          Consumption of general government fixed capital \2\","B986RX1","76,451.0","77,146.0","77,844.0","78,546.0","79,245.0","79,972.0","80,725.0","81,511.0","82,261.0","83,127.0","84,043.0","85,004.0","86,024.0","87,052.0","88,102.0","89,167.0","90,234.0","91,319.0","92,409.0","93,501.0","94,609.0","95,687.0","96,746.0","97,786.0","98,802.0","99,838.0","100,847.0","101,826.0","102,774.0","103,694.0","104,583.0","105,438.0","106,259.0","107,077.0","107,889.0","108,702.0","109,961.0","111,049.0","111,962.0","112,719.0","113,342.0","114,012.0","114,732.0","115,494.0","116,292.0","117,114.0","117,951.0","118,801.0","119,677.0","120,567.0","121,473.0","122,393.0","122,280.0","123,211.0","124,003.0","124,665.0","125,189.0","125,766.0","126,383.0","127,041.0","127,745.0","128,421.0","129,070.0","129,688.0","130,287.0","130,907.0","131,543.0","132,199.0","132,874.0"
"71","52","        Intermediate goods and services purchased \3\","W140RX1","368,740.0","371,990.0","374,469.0","376,666.0","378,135.0","380,470.0","383,075.0","386,766.0","391,902.0","396,900.0","403,175.0","410,412.0","418,759.0","427,693.0","436,557.0","444,208.0","453,181.0","459,900.0","465,051.0","470,514.0","472,763.0","477,168.0","482,551.0","489,301.0","500,181.0","509,014.0","516,008.0","524,642.0","532,513.0","535,659.0","536,973.0","535,832.0","528,896.0","525,606.0","523,499.0","522,038.0","523,661.0","523,403.0","522,767.0","522,666.0","521,911.0","521,763.0","521,900.0","522,937.0","521,746.0","523,422.0","525,488.0","529,875.0","534,961.0","537,343.0","537,706.0","535,988.0","529,060.0","522,768.0","519,420.0","516,859.0","516,761.0","519,032.0","518,599.0","518,925.0","519,126.0","519,313.0","520,214.0","519,129.0","522,896.0","523,385.0","521,542.0","515,563.0","514,116.0"
"72","53","          Durable goods","B989RX1","14,062.0","14,265.0","14,449.0","14,638.0","14,596.0","14,632.0","14,799.0","15,002.0","15,428.0","15,656.0","15,933.0","16,161.0","16,786.0","17,359.0","17,912.0","18,238.0","18,664.0","19,012.0","19,335.0","19,762.0","20,104.0","20,365.0","20,794.0","21,046.0","21,620.0","22,081.0","22,348.0","22,486.0","22,562.0","22,469.0","22,398.0","22,311.0","22,108.0","22,058.0","22,052.0","22,035.0","22,138.0","22,182.0","22,207.0","22,179.0","22,190.0","22,251.0","22,282.0","22,354.0","22,417.0","22,560.0","22,680.0","22,859.0","23,107.0","23,240.0","23,372.0","23,410.0","23,191.0","23,038.0","22,953.0","23,021.0","23,157.0","23,104.0","22,978.0","22,880.0","22,847.0","22,926.0","22,976.0","22,927.0","22,890.0","22,886.0","22,870.0","22,665.0","22,571.0"
"73","54","          Nondurable goods","B337RX1","124,328.0","125,542.0","126,507.0","127,384.0","127,950.0","128,826.0","129,788.0","131,004.0","132,594.0","134,285.0","136,195.0","138,501.0","141,060.0","143,769.0","146,646.0","149,366.0","152,469.0","154,788.0","156,646.0","158,496.0","159,191.0","160,740.0","163,038.0","165,510.0","169,168.0","172,180.0","174,779.0","176,916.0","179,084.0","179,938.0","180,094.0","179,592.0","177,471.0","176,506.0","176,091.0","175,876.0","176,697.0","176,771.0","176,885.0","176,862.0","176,694.0","176,855.0","177,019.0","177,207.0","177,316.0","177,974.0","178,731.0","179,777.0","182,163.0","183,409.0","184,037.0","183,856.0","180,902.0","178,670.0","177,084.0","176,678.0","176,382.0","176,092.0","175,788.0","175,601.0","175,593.0","175,854.0","176,050.0","175,904.0","176,050.0","176,300.0","176,148.0","174,438.0","173,924.0"
"74","55","          Services","A988RX1","230,868.0","232,682.0","233,990.0","235,092.0","236,089.0","237,544.0","239,004.0","241,256.0","244,284.0","247,358.0","251,414.0","256,122.0","261,154.0","266,690.0","272,048.0","276,676.0","282,119.0","286,162.0","289,126.0","292,268.0","293,420.0","296,010.0","298,677.0","302,730.0","309,362.0","314,717.0","318,883.0","325,166.0","330,752.0","333,136.0","334,340.0","333,779.0","329,187.0","326,921.0","325,267.0","324,069.0","324,792.0","324,425.0","323,671.0","323,621.0","323,022.0","322,655.0","322,599.0","323,383.0","322,011.0","322,887.0","324,075.0","327,239.0","329,698.0","330,688.0","330,266.0","328,652.0","324,926.0","321,027.0","319,455.0","317,215.0","317,326.0","319,871.0","319,876.0","320,481.0","320,718.0","320,566.0","321,223.0","320,326.0","324,072.0","324,299.0","322,547.0","318,438.0","317,600.0"
"75","56","      Less: Own-account investment \4\","W144RX1","14,122.0","14,324.0","14,116.0","14,207.0","14,254.0","14,390.0","14,250.0","14,554.0","16,160.0","15,901.0","15,455.0","15,312.0","15,275.0","15,987.0","16,483.0","16,386.0","16,633.0","16,484.0","16,302.0","17,158.0","17,784.0","17,187.0","17,786.0","17,623.0","18,534.0","19,590.0","19,163.0","19,287.0","19,437.0","19,131.0","19,041.0","18,946.0","18,582.0","18,363.0","18,840.0","18,740.0","18,746.0","19,122.0","19,024.0","18,970.0","18,852.0","19,163.0","19,107.0","19,438.0","19,267.0","19,878.0","19,849.0","19,859.0","19,892.0","19,958.0","19,986.0","20,271.0","20,126.0","20,329.0","20,342.0","20,407.0","20,579.0","20,507.0","19,954.0","19,035.0","18,300.0","18,565.0","18,685.0","18,120.0","17,313.0","16,963.0","17,099.0","17,283.0","16,912.0"
"76","57","            Sales to other sectors","W145RX1","226,998.0","228,483.0","229,944.0","231,217.0","231,973.0","232,598.0","233,715.0","235,558.0","237,930.0","239,737.0","242,481.0","245,523.0","246,889.0","248,194.0","249,657.0","250,804.0","251,892.0","253,921.0","255,939.0","258,683.0","262,407.0","265,887.0","269,259.0","273,313.0","278,046.0","281,007.0","283,084.0","284,750.0","284,833.0","285,281.0","285,513.0","285,530.0","285,111.0","285,194.0","285,437.0","285,908.0","287,098.0","287,596.0","287,943.0","288,286.0","288,450.0","288,448.0","288,654.0","289,213.0","289,607.0","290,554.0","291,638.0","293,122.0","294,748.0","296,600.0","298,450.0","299,997.0","298,159.0","296,992.0","297,094.0","297,653.0","299,814.0","302,364.0","304,783.0","307,313.0","310,055.0","312,135.0","313,273.0","313,784.0","315,592.0","317,529.0","319,642.0","321,036.0","322,600.0"
"77","58","              Tuition and related educational charges","B1065X1","55,935.0","55,820.0","55,696.0","55,847.0","55,784.0","55,768.0","56,002.0","56,399.0","56,709.0","57,084.0","57,402.0","57,870.0","58,162.0","58,573.0","59,020.0","59,539.0","59,864.0","60,223.0","60,769.0","61,369.0","62,037.0","62,336.0","62,944.0","63,201.0","63,135.0","63,118.0","62,893.0","62,714.0","62,729.0","62,817.0","63,085.0","63,405.0","63,588.0","63,541.0","62,729.0","62,294.0","61,633.0","61,328.0","60,857.0","60,611.0","60,995.0","60,967.0","61,147.0","61,550.0","61,544.0","61,631.0","61,788.0","61,874.0","62,183.0","62,355.0","62,562.0","62,842.0","62,792.0","62,878.0","63,210.0","63,312.0","63,523.0","63,810.0","64,019.0","64,552.0","65,119.0","65,359.0","65,534.0","65,597.0","65,991.0","66,387.0","66,785.0","67,119.0","67,455.0"
"78","59","              Health and hospital charges","B1066X1","111,906.0","112,850.0","113,530.0","113,573.0","112,607.0","112,266.0","112,356.0","112,743.0","113,562.0","114,266.0","115,612.0","117,509.0","117,963.0","118,346.0","118,801.0","119,262.0","119,304.0","120,043.0","120,889.0","122,017.0","123,384.0","125,425.0","127,154.0","129,879.0","134,107.0","136,585.0","138,294.0","139,372.0","138,742.0","138,302.0","137,439.0","136,428.0","135,581.0","134,939.0","135,008.0","135,239.0","135,660.0","135,926.0","135,708.0","135,299.0","133,465.0","132,594.0","131,820.0","131,338.0","131,729.0","131,891.0","132,363.0","133,125.0","134,152.0","135,072.0","135,981.0","136,800.0","137,061.0","137,569.0","138,718.0","140,142.0","141,635.0","143,083.0","144,486.0","145,532.0","146,762.0","147,666.0","148,284.0","148,942.0","149,835.0","150,735.0","151,639.0","152,397.0","153,159.0"
"79","60","              Other sales","W146RX1","60,728.0","61,262.0","62,034.0","63,048.0","64,706.0","65,614.0","66,380.0","67,408.0","68,574.0","69,283.0","70,292.0","70,945.0","71,552.0","72,080.0","72,656.0","72,877.0","73,587.0","74,480.0","75,120.0","76,122.0","77,745.0","78,812.0","79,827.0","80,821.0","81,302.0","81,740.0","82,250.0","82,940.0","83,608.0","84,377.0","85,198.0","85,914.0","86,169.0","86,918.0","87,820.0","88,453.0","89,827.0","90,346.0","91,366.0","92,361.0","93,988.0","94,889.0","95,689.0","96,324.0","96,333.0","97,030.0","97,486.0","98,129.0","98,422.0","99,192.0","99,934.0","100,386.0","98,341.0","96,588.0","95,225.0","94,297.0","94,777.0","95,611.0","96,449.0","97,399.0","98,350.0","99,314.0","99,670.0","99,472.0","99,992.0","100,637.0","101,453.0","101,751.0","102,217.0"
"80","61","Residual","W100RX1","-12,300.0","-13,100.0","-11,100.0","-10,100.0","-9,900.0","-9,700.0","-9,800.0","-8,400.0","-8,100.0","-6,200.0","-7,100.0","-5,900.0","-7,100.0","-5,400.0","-5,500.0","-4,600.0","-4,500.0","-3,600.0","-3,100.0","-2,100.0","-3,500.0","-3,300.0","-2,200.0","-2,000.0","-2,300.0","-1,700.0","-1,100.0","-900.0","-1,000.0","-900.0","-400.0","-600.0","-1,000.0","0.0","500.0","500.0","-400.0","0.0","-400.0","300.0","200.0","-200.0","200.0","-400.0","-500.0","-200.0","0.0","100.0","500.0","100.0","-200.0","-900.0","-1,100.0","-1,400.0","-3,100.0","-3,000.0","-2,400.0","-3,000.0","-3,800.0","-3,800.0","-3,800.0","-4,400.0","-4,800.0","-4,800.0","-3,700.0","-3,800.0","-3,500.0","-4,200.0","-4,100.0"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
