"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"180","173","          Home health care","DHHCRX0",51603,49311,50996,51633,55031,57530,60322,62409,66534,70036,73546,76138,79509,83087,86278,88896,94488
"181","174","          Medical laboratories","DMLBRX0",17289,19689,22175,23226,25053,26774,27738,29005,29142,31159,32242,32638,33824,33733,34068,34259,36109
"182","175","          Other professional medical services","DOMDRX0",104193,108969,115332,124254,127909,131865,135520,137238,142320,143055,144036,147786,153035,160048,164937,170812,182343
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",68324,70193,73914,77878,80368,83326,85822,89110,93802,95714,97030,99912,103260,107642,110548,115567,124262
"184","177","            All other professional medical services","DOMORX0",35870,38777,41419,46376,47542,48539,49698,48128,48518,47341,47007,47874,49775,52406,54389,55244,58081
"185","178","      Hospital and nursing home services","DHPNRX0",664975,680253,710010,747243,754019,774010,799093,817113,841930,856569,882638,897762,920280,938817,945581,972351,1010122
"186","179","        Hospitals (51)","DHSPRX0",539707,554870,584340,619857,621823,639792,661363,677462,698216,711025,736583,748414,768502,786208,792167,814468,848989
"187","180","          Nonprofit hospitals' services to households","DNPHRX0",364767,373031,388022,413115,413365,429940,449424,458072,474055,476952,492269,501510,514383,526281,533102,543431,567646
"188","181","          Proprietary hospitals","DFPHRX0",60794,61571,66076,74075,77469,77244,80936,83489,85423,91341,97074,96621,101436,108100,106569,116555,125201
"189","182","          Government hospitals","DGVHRX0",114149,120269,130243,132668,130990,132609,131004,135901,138739,142731,147240,150283,152683,151828,152496,154483,156144
"190","183","        Nursing homes (52)","DNRSRX0",125307,125350,125654,127468,132247,134260,137764,139665,143725,145551,146055,149353,151771,152574,153372,157844,161021
"191","184","          Nonprofit nursing homes' services to households","DNPNRX0",44186,44287,45045,45809,47515,47945,49816,50183,51055,50252,50871,51075,50864,50528,50406,50001,49809
"192","185","          Proprietary and government nursing homes","DFPNRX0",81121,81063,80610,81659,84732,86315,87948,89482,92671,95299,95184,98277,100906,102046,102965,107843,111211
"193","186","    Transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294129,299196,308699,323852,341362
"194","187","      Motor vehicle services","DMVSRX0",240544,249329,248381,238213,238040,242377,247594,249174,251243,238550,210421,210581,218477,222068,229434,241545,255091
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",169713,174815,177456,175021,178457,180482,182370,177528,177204,165401,149221,149497,155477,156039,157317,162245,169792
"196","189","        Other motor vehicle services (61)","DOVSRX0",69802,73292,70152,63019,59718,61967,65237,71600,74017,73217,61200,61081,62975,66166,72660,80285,86558
"197","190","          Motor vehicle leasing","DMVLRX0",40986,43338,40511,34911,30938,31074,33514,39019,40813,40686,31967,31485,31850,35593,42177,49030,55232
"198","191","            Auto leasing","DALERX0",22781,23199,23355,20121,18083,15347,16387,21140,23411,24916,20693,21785,22534,25389,29673,33575,36397
"199","192","            Truck leasing","DTLERX0",18207,20142,17157,14792,12856,15732,17132,17883,17406,15771,11275,9700,9316,10204,12503,15455,18837
"200","193","          Motor vehicle rental","DMVRRX0",9601,9983,10059,9853,10485,12313,13114,13863,14354,14262,12266,12761,13877,14545,14786,15875,16562
"201","194","          Parking fees and tolls","DPFTRX0",18226,18820,18790,17975,18522,18896,18815,18753,18857,18271,16967,16833,17232,16401,16723,17169,17377
"202","195","      Public transportation","DPUBRX0",77436,83592,82374,82710,85005,89224,87260,86554,87940,82925,79274,76579,75900,77362,79543,82703,86741
"203","196","        Ground transportation (63)","DGRDRX0",31014,32461,34061,32946,32154,33775,34443,36040,36480,36234,34538,34123,34882,35698,36151,37383,39362
"204","197","          Railway transportation","DIRRRX0",638,708,741,744,747,833,847,870,1004,1050,971,1030,1097,1169,1212,1250,1260
"205","198","          Road transportation","DROTRX0",30414,31781,33350,32223,31421,32950,33604,35179,35478,35183,33568,33093,33785,34530,34943,36137,38100
"206","199","            Intercity buses","DIBURX0",1785,1930,1939,1882,1843,1771,1695,1620,1528,1550,1250,1027,994,999,991,965,1027
"207","200","            Taxicabs","DTAXRX0",4760,4409,4692,4709,4119,4617,4748,5115,4980,4743,4550,4561,4718,4889,4819,4975,5129
"208","201","            Intracity mass transit","DIMTRX0",15207,16532,17015,15407,15380,15696,15937,16994,16758,17146,16950,16490,16912,17168,17341,17564,17616
"209","202","            Other road transportation service","DORTRX0",8680,8928,9720,10224,10077,10868,11226,11445,12211,11742,10817,11014,11163,11474,11790,12629,14382
"210","203","        Air transportation (64)","DAITRX0",45281,49385,46756,47914,50559,52965,50367,48054,48847,44153,42196,39774,38247,38597,40137,41864,43756
"211","204","        Water transportation (65)","DWATRX0",1309,1557,1786,1858,2087,2249,2255,2349,2477,2545,2539,2699,2849,3206,3387,3600,3815
"212","205","    Recreation services","DRCARX0",316826,325956,325423,327300,338353,355787,364675,377427,392074,388972,376000,380956,389590,397399,404537,416154,426123
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",117708,118420,117023,117767,120896,125477,130734,136102,142413,142010,137924,141255,147856,150651,153778,158959,160502
"214","207","        Membership clubs and participant sports centers","DMDFRX0",30763,30454,29959,30571,31701,34287,36717,38518,41366,41133,39124,40236,41802,42411,43482,44627,43910
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",40580,40323,39057,36558,36475,36380,37198,37464,38241,38807,37212,38710,41134,43437,45194,47649,49752
"216","209","        Admissions to specified spectator amusements","DADMRX0",41485,42522,42816,44770,46670,48429,49711,53141,56410,55743,55519,56280,58694,58689,58640,60020,60169
"217","210","          Motion picture theaters","DMOVRX0",11317,11529,11613,12014,11786,11475,10881,11191,11304,11127,11497,11589,11166,11887,12188,12010,12649
"218","211","          Live entertainment, excluding sports","DLIGRX0",13544,13880,14342,14860,16488,18338,20392,22365,24557,24711,25198,25904,27576,27224,26451,27913,26931
"219","212","          Spectator sports","DSPERX0",16749,17250,16965,18023,18507,18689,18467,19609,20563,19910,18824,18789,19953,19579,19995,20102,20580
"220","213","        Museums and libraries","DMUSRX0",4711,5088,5230,5988,6188,6435,7100,6991,6389,6317,6068,6036,6230,6140,6517,6729,6698
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",84528,88012,88858,86240,86970,90626,89072,89440,93169,94460,93555,95122,96274,97828,98627,99290,101356
"222","215","        Cable and satellite television and radio services","DCTVRX0",54095,57242,58819,57099,57111,60272,61296,62344,65627,68529,70012,72299,74981,76264,76924,77585,79582
"223","216","        Photo processing","DFDVRX0",7011,6726,6402,6252,5967,5415,4248,3171,3072,2783,2468,2436,2606,3137,3232,3390,3483
"224","217","        Photo studios","DPICRX0",7488,7515,7413,7029,6961,7082,7238,7253,7495,7450,6964,6871,6754,6764,6783,6369,6237
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",5840,6643,6819,7114,7040,7412,7085,7491,7801,7724,7394,7567,7364,7535,7628,7957,8036
"226","219","        Video media rental","DVIDRX0",9720,9670,9384,8675,9834,10474,9280,9235,9211,7979,6718,5946,4590,4183,4125,4071,4075
"227","220","      Gambling (91)","DGAMRX0",80261,84166,84813,88323,94728,102331,106005,111388,113783,109796,105010,103847,104789,106773,108761,111741,117183
"228","221","        Casino gambling","DCASRX0",55733,60271,60735,63132,69331,76741,80144,84949,87374,84483,79964,78659,79141,80193,81544,84200,89059
"229","222","        Lotteries","DLOTRX0",18703,18054,18384,19382,19899,20178,20767,21505,21821,21091,21019,21112,21515,22315,22990,23529,23904
"230","223","        Pari-mutuel net receipts","DPARRX0",5828,5842,5696,5810,5498,5413,5094,4934,4588,4222,4026,4076,4133,4264,4228,4012,4220
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",34330,35249,34516,34772,35554,37135,38743,40411,42660,42711,39511,40740,40769,42231,43468,46281,47141
"232","225","        Veterinary and other services for pets","DVETRX0",22009,22256,22011,22245,23082,24296,25617,27196,28671,28411,26986,27296,26817,27866,28775,30331,31049
"233","226","        Package tours","DHOLRX0",8895,8686,7699,7208,7264,7751,7967,8047,8772,9366,8305,9042,9404,9666,9798,10850,10849
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",3618,4259,4669,5111,5070,5000,5105,5165,5217,4921,4220,4411,4588,4731,4923,5158,5283
"235","228","    Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,625260,641459,651467,671078,701870
"236","229","      Food services","DFSERX0",450339,470196,473866,480673,496728,514894,529470,544539,550410,541889,517914,525172,538031,549433,556728,573831,601283
"237","230","        Purchased meals and beverages (102)","DPMBRX0",438747,458455,461973,468652,484231,501960,515414,528952,534455,526250,502315,510269,522214,533768,541367,558326,585433
"238","231","          Meals and nonalcoholic beverages","DMABRX0",384328,400064,401709,405373,419121,434574,446064,457786,462610,455731,435117,445892,456665,466575,473432,487592,510541
"239","232","            Meals at schools","DMSLRX0",19293,20000,20287,20206,20274,20229,20207,20113,20486,20697,19612,20543,19975,19069,18825,19157,19478
"240","233","              Elementary and secondary school lunches","DESLRX0",7660,7893,8011,7890,7843,7865,7920,7877,7736,7447,6891,6433,6110,5723,5376,5184,5105
"241","234","              Higher education school lunches","DHSLRX0",11633,12107,12276,12316,12431,12364,12287,12237,12751,13250,12721,14110,13865,13346,13449,13973,14373
"242","235","            Other purchased meals","DOPMRX0",365041,380070,381430,385170,398847,414345,425857,437671,442122,435034,415505,425345,436709,447560,454680,468519,491169
"243","236","              Meals at limited service eating places","DMLSRX0",186685,193927,195459,197778,204653,212378,217648,221891,222092,221309,213220,221013,225671,230627,236103,242130,253353
"244","237","              Meals at other eating places","DMOERX0",176092,183626,183369,184601,191249,199004,205198,212560,216729,210591,199260,201320,208049,213898,215606,223392,234792
"245","238","              Meals at drinking places","DMDPRX0",2280,2521,2631,2831,2983,2997,3031,3203,3240,3122,3025,3018,2988,3033,2972,2994,3016
"246","239","          Alcohol in purchased meals","DAPMRX0",54243,58278,60204,63284,65108,67382,69348,71164,71843,70519,67198,64398,65574,67215,67963,70749,74898
"247","240","        Food furnished to employees (including military) (103)","DFOORX0",11584,11739,11890,12018,12494,12931,14053,15586,15953,15637,15599,14909,15814,15673,15383,15539,15896
"248","241","          Food supplied to civilians","DCFDRX0",10879,10986,11088,11088,11400,11777,12162,12548,12975,13083,12897,12881,13141,13460,13787,14076,14481
"249","242","          Food supplied to military","DMFDRX0",707,755,804,931,1096,1156,1893,3037,2978,2553,2702,2029,2672,2212,1596,1462,1415
"250","243","      Accommodations (104)","DACCRX0",61706,65105,60896,62140,65902,70249,76266,80587,82537,84291,82420,84434,87229,92028,94754,97260,100599
"251","244","        Hotels and motels","DHOTRX0",47447,50534,46336,47385,50909,55133,60982,65260,67388,68600,65971,67135,69593,74227,76990,79181,82234
"252","245","        Housing at schools","DSCHRX0",14760,14883,15252,15424,15521,15473,15430,15324,15046,15620,16449,17290,17638,17855,17870,18202,18520
"253","246","    Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,747155,706390,713940,722857,730828
"254","247","      Financial services","DFNLRX0",340772,385568,371757,372551,371807,389890,408537,424953,442788,445544,452240,453241,457143,437586,438748,442796,439365
"255","248","        Financial services furnished without payment (107)","DIMPRX0",187549,195259,188372,184941,182584,193978,201831,199625,207447,211659,229379,235482,241169,226429,232578,242332,245314
"256","249","          Commercial banks","DIMCRX0",50280,45863,43090,48431,49431,50639,53186,50278,45935,50522,68136,68991,69835,68753,63854,66894,72477
"257","250","          Other depository institutions and regulated investment companies","DIMNRX0",99932,111355,110621,103952,100811,110307,114945,113708,125878,125390,125075,130431,136123,122477,135005,143841,140909
"258","251","          Pension funds","DPENRX0",37810,39763,36307,32766,32269,33154,33674,36265,37712,37041,36168,36099,35367,35158,34081,32287,32133
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",153092,189723,182820,187313,189096,195554,206461,226199,236312,234579,222861,217688,215841,211073,206073,200474,194110
"260","253","          Financial service charges and fees","DFEERX0",53938,60036,64825,71023,75282,77251,82892,87784,91291,88978,92610,85793,84514,83056,81384,82668,85402
"261","254","          Securities commissions","DEQTRX0",33587,47995,41697,40111,36274,36704,35922,37678,39325,37926,32893,32307,31754,28652,29135,28474,26947
"262","255","            Direct commissions","DDCTRX0",22686,34986,30791,30237,25589,24758,21969,21278,20300,20735,18674,17482,17194,14233,12583,11449,9152
"263","256","              Exchange-listed equities","DDCERX0",11090,16047,16479,15879,11200,8980,6569,5570,4984,4594,3617,1901,1491,1359,1408,1468,1474
"264","257","              Other direct commissions","DDCORX0",11477,18690,14080,14151,14339,15721,15352,15691,15314,16142,15057,15552,15657,12843,11153,9961,7655
"265","258","            Indirect commissions","DICTRX0",7302,9389,7791,6464,6549,7186,8125,9722,10165,8363,6985,7477,7402,7302,8502,8810,9855
"266","259","              Over-the-counter equity securities","DICVRX0",411,765,700,560,575,568,490,566,566,627,738,778,749,660,679,723,712
"267","260","              Other imputed commissions","DICORX0",9217,9020,7032,5904,5964,6651,7740,9290,9750,7785,6247,6698,6646,6613,7769,8034,9067
"268","261","            Mutual fund sales charges","DMUTRX0",4838,5815,5052,5072,5253,5724,6463,7340,9094,8825,7234,7319,7134,6916,7639,7732,7443
"269","262","          Portfolio management and investment advice services","DPMIRX0",59346,71023,66737,66380,69460,73506,79728,91902,96236,98531,89143,90643,90278,89222,85411,80140,72866
"270","263","          Trust, fiduciary, and custody activities","DTRURX0",7194,7201,7360,7572,6838,7178,7489,8852,9495,9185,8216,8986,9373,10302,10667,10265,11478
"271","264","      Insurance","DINSRX0",262581,275917,277792,272060,274459,281717,298821,297580,301699,293063,266715,280737,290092,268750,275372,280397,293059
"272","265","        Life insurance (110)","DLIFRX0",79908,84993,80742,71233,70461,80457,84958,88011,88831,88805,80020,85773,90225,80741,85189,83097,85641
"273","266","        Net household insurance (111)","DFINRX0",6197,6174,6146,5877,6103,6617,6730,6487,7744,8293,7340,7395,7957,7842,8295,8787,8848
"274","267","          Household insurance premiums and premium supplements","DFIPRX0",14249,14864,15686,16923,17099,17438,17662,18356,19249,19229,18762,18750,19442,19852,20587,19513,19103
"275","268","          Less: Household insurance normal losses","DFIBRX0",8149,8740,9556,11047,10997,10822,10933,11869,11505,10935,11422,11355,11485,12010,12291,10725,10254
"276","269","        Net health insurance (112)","DHINRX0",122740,130993,136393,141809,145111,138122,147341,143645,140456,132048,119390,130227,135954,126171,128054,133669,142991
"277","270","          Medical care and hospitalization","DMINRX0",104576,111802,115335,120361,125990,119434,125327,119718,114890,107342,97534,110779,115027,104969,105446,109241,117295
"278","271","          Income loss","DIINRX0",1916,2114,2292,2384,2489,2524,2545,2630,2707,2711,2694,2604,2564,2596,2641,2660,2675
"279","272","          Workers' compensation","DPWCRX0",16748,17681,19097,19519,17676,17087,20107,21591,22894,21974,19162,16699,18283,18773,20327,22316,23543
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",53741,53989,54912,54019,53869,56906,60246,59730,64787,63912,59966,57317,55951,53866,53804,54751,55547
"281","274","    Other services","DOTSRX0",719665,770591,804408,808726,831251,850815,860530,886194,904678,902244,879152,884257,901168,914831,917406,954074,987147
"282","275","      Communication","DCOMRX0",130000,148854,156788,159277,163635,171940,178902,191338,210646,221555,217855,227029,243200,253013,258091,273149,282804
"283","276","        Telecommunication services (71)","DTCSRX0",113688,126381,133719,133444,133582,138388,144783,151505,153350,156101,149587,153243,161058,161753,161202,170254,177236
"284","277","          Land-line telephone services, local charges","DLOCRX0",68172,70107,68895,64378,56740,52569,51389,51129,47417,45667,40447,38937,35801,33558,29812,29155,29020
"285","278","          Land-line telephone services, long-distance charges","DLDTRX0",35569,35520,32185,27393,27800,28952,27030,24406,22323,21122,17636,15060,15205,13191,11217,10922,10346
"286","279","          Cellular telephone services","DCELRX0",18372,27660,38443,46666,52484,59372,68038,76892,83931,89417,91504,99409,110738,116297,122442,133325,141816
"287","280","        Postal and delivery services (68)","DPSSRX0",14107,14012,13094,12161,11963,12162,12315,13003,12919,13289,12008,11218,9847,9101,8618,8529,8493
"288","281","          First-class postal service (by U/S/ Postal Service)","DPSTRX0",11109,10930,10227,9533,9383,9692,9962,10644,10611,11267,10046,9506,8170,7357,6868,6760,6672
"289","282","          Other delivery services (by non-U/S/ postal facilities)","DODSRX0",3022,3137,2916,2664,2615,2476,2347,2347,2296,2030,1962,1719,1659,1696,1691,1705,1750
"290","283","        Internet access (72)","DINTRX0",7739,13061,14231,16959,20402,23183,23749,28131,44245,52118,56260,62576,72402,82298,88437,94654,97506
"291","284","      Education services","DTEDRX0",213808,221295,225384,220307,218826,214333,214202,216368,219462,220463,219859,224950,225175,220877,218075,217551,220490
"292","285","        Higher education (97)","DHEDRX0",134750,140370,144257,141668,142723,140676,141561,143233,144494,145159,146658,150445,150233,147358,145176,143448,143395
"293","286","          Proprietary and public higher education","DGEDRX0",78155,81832,83975,85463,87149,85907,86639,88141,88888,89321,91209,94873,94233,91488,89771,88964,89822
"294","287","          Nonprofit private higher education services to households","DPEDRX0",56595,58538,60282,56204,55574,54768,54922,55092,55606,55838,55449,55572,56000,55870,55404,54484,53572
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",40098,39872,40010,39287,38192,37175,36300,36014,36178,35767,34815,33981,34356,33986,33604,33198,33291
"296","289","          Elementary and secondary schools","DESCRX0",31339,31019,30899,30214,28987,27811,26970,26482,25988,25619,24750,24117,23678,23329,22917,22438,22535
"297","290","          Day care and nursery schools","DNSCRX0",8941,9014,9243,9189,9281,9408,9364,9556,10193,10150,10065,9864,10687,10668,10703,10786,10780
"298","291","        Commercial and vocational schools (99)","DVEDRX0",38488,40647,40825,39118,37841,36467,36371,37150,38781,39523,38386,40523,40591,39544,39315,40979,43999
"299","292","      Professional and other services (121)","DPRSRX0",161768,162727,166044,166306,172366,172041,171812,172823,174929,172073,161543,158235,157955,156873,155328,157127,158231
"300","293","        Legal services","DGALRX0",94965,94705,96636,97337,99447,97559,96395,96718,96714,94941,90082,88231,88435,87758,85407,85668,86924
"301","294","        Accounting and other business services","DPRORX0",23498,24801,25714,26477,27859,29814,29384,29963,31782,31282,27362,26278,26096,25501,26158,26911,27381
"302","295","          Tax preparation and other related services","DTAPRX0",16733,17788,19170,20245,21055,22313,20970,20871,22436,23253,20795,19709,19453,18801,19475,20045,20367
"303","296","          Employment agency services","DGENRX0",937,924,792,693,682,749,1044,1276,1538,1278,837,857,946,893,882,916,971
"304","297","          Other personal business services","DTHERX0",5766,6050,5807,5658,6236,6857,7385,7796,7783,6748,5731,5713,5701,5811,5800,5948,6042
"305","298","        Labor organization dues","DUNSRX0",13866,13319,12473,11938,12190,12126,11913,12052,12184,12702,12505,12009,11682,11624,11419,11441,11029
"306","299","        Professional association dues","DAXSRX0",6228,6485,6819,7099,7290,7239,7478,7844,8066,7642,7648,7653,7636,7934,7937,8156,8236
"307","300","        Funeral and burial services","DFUNRX0",22861,23138,24266,23361,25541,25291,26694,26277,26207,25506,23945,24066,24104,24056,24412,24953,24630
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",103186,108250,107667,109297,112492,117265,119506,120756,120383,117746,109887,112549,116181,118811,121384,128157,133471
"309","302","        Personal care services","DPCSRX0",81000,85756,85949,88733,92661,98135,101051,102662,102984,101364,94777,97699,101266,104063,106672,113065,118117
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",39320,41226,41626,43073,45158,49204,51709,53641,55267,55225,53935,56399,57876,59389,60923,62348,63515
"311","304","          Miscellaneous personal care services","DMPCRX0",42078,44998,44757,46098,47941,49252,49581,49182,47788,46173,40842,41311,43377,44655,45732,50508,54238
"312","305","        Clothing and footwear services","DCFSRX0",22175,22488,21712,20561,19834,19140,18465,18102,17402,16383,15110,14852,14920,14757,14723,15105,15370
"313","306","          Laundry and drycleaning services","DDRYRX0",13931,14484,14211,13876,13481,13089,12779,12734,12337,11649,10892,10764,10835,10686,10662,10989,11191
"314","307","          Clothing repair, rental, and alterations","DLGRRX0",7674,7440,6958,6109,5811,5525,5170,4861,4564,4262,3774,3659,3655,3622,3599,3659,3725
"315","308","          Repair and hire of footwear","DSCLRX0",714,674,631,623,579,554,533,513,504,473,444,430,431,448,462,460,458
"316","309","      Social services and religious activities (120)","DSOCRX0",99737,104036,110124,112849,116096,119618,122252,125411,129584,131895,133185,136370,137456,139115,142039,145574,149336
"317","310","        Child care","DCHCRX0",26973,27364,28268,28411,28590,28794,28476,28897,30581,30426,30183,29859,29744,29700,29747,29936,29952
"318","311","        Social assistance","DSCWRX0",50430,54939,60780,64053,66826,70163,73454,75815,77909,80663,82493,86137,87740,89284,91588,94824,98425
"319","312","          Homes for the elderly","DELDRX0",9981,11035,12477,13278,13546,13949,14622,15462,15479,15824,15937,16924,17840,18783,19706,20002,21204
"320","313","          Residential mental health and substance abuse","DMENRX0",3468,3843,4290,4638,5102,5558,5996,5969,6415,6826,6994,7361,7333,7471,7695,8223,8662
"321","314","          Individual and family services","DFAMRX0",23820,25583,28117,29290,30083,31286,31924,33615,35110,36307,37638,39214,39962,40916,42234,44535,45881
"322","315","          Vocational rehabilitation services","DVOCRX0",6128,6684,7059,7192,7823,8386,8890,8506,8191,8394,8776,9120,9222,8760,8461,8353,8531
"323","316","          Community food and housing / emergency / other relief services","DCFORX0",2966,3495,4104,4602,5066,5751,6638,6936,7237,7797,7903,8245,8122,7971,8023,8152,8673
"324","317","          Other social assistance, not elsewere classified","DSIARX0",3965,4211,4656,4994,5157,5198,5362,5315,5473,5515,5245,5271,5262,5390,5488,5597,5498
"325","318","        Social advocacy and civic and social organizations","DSADRX0",15544,15125,14687,14236,14408,14081,13605,13718,13709,13707,13529,13663,13515,13655,14054,14274,14527
"326","319","        Religious organizations' services to households","DRELRX0",6374,6177,6041,5867,5845,5948,5909,5920,6104,5945,5916,5610,5354,5419,5544,5470,5462
"327","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1094,933,703,534,602,735,819,1051,1311,1162,1064,1115,1136,1106,1176,1186,1141
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",61668,63636,60844,59070,60566,63700,64144,64579,66406,65980,60332,58479,60670,62679,64697,67722,68419
"329","322","        Domestic services","DDMSRX0",25453,26551,25153,24376,25502,26184,25634,25811,26724,27015,24450,22281,23314,24260,24697,27063,28210
"330","323","        Moving, storage, and freight services","DMSERX0",15570,16108,14760,13380,13196,14442,14718,14714,14893,14716,12970,12891,13544,13908,14807,14817,13888
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2767,2528,2133,1877,1795,1682,1655,1605,1500,1370,1111,1055,1027,1012,1069,1124,1164
"332","325","        Repair of household appliances","DERERX0",5793,5614,5241,4996,5230,5431,5212,5257,5204,4911,4482,4393,4436,4410,4343,4401,4445
"333","326","        Other household services","DMHSRX0",11994,12630,13426,14442,14910,15948,16894,17173,18081,17956,17319,17864,18366,19120,19845,20382,20755
"334","327","      Net foreign travel","DFORRX0",-33592,-26741,-14154,-12416,-8121,-5465,-8684,-4735,-17128,-27538,-23509,-33276,-38577,-34923,-39623,-31347,-20760
"335","328","        Foreign travel by U.S. residents (129)","DFTRRX0",90797,102070,96519,92045,91604,104409,106353,109400,107201,105544,98779,101831,102699,111788,115321,124372,141738
"336","329","          Passenger fares for foreign travel","DAFTRX0",34788,38217,34573,31433,31921,37431,37760,38830,37703,36688,33980,35064,34529,34087,34874,35023,39059
"337","330","          U.S. travel outside the United States","DUSTRX0",53276,60730,58487,56861,55522,62522,63915,65537,64599,63903,59656,61403,62756,72787,75230,84453,97576
"338","331","          U.S. student expenditures","DUSSRX0",2530,2885,3338,3830,4159,4365,4609,4962,4855,4938,5144,5363,5512,5638,6020,6360,6992
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",124389,128811,110673,104461,99725,109875,115038,114135,124329,133082,122288,135107,141277,146711,154944,155719,162497
"340","333","          Foreign travel in the United States","DFTURX0",102500,106149,88631,82505,78388,89195,94633,93995,103595,111235,99908,112547,117960,122597,129599,128315,132919
"341","334","          Medical expenditures of foreigners","DMEFRX0",2561,2686,2483,2255,2260,2295,2598,2694,2692,2692,2691,2688,2684,2683,2681,2683,2681
"342","335","          Expenditures of foreign students in the United States","DEFSRX0",18305,18915,19954,20559,20014,18715,17905,17527,17962,19028,19689,19898,20667,21473,22719,24615,26687
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,275181,294361,299849,305789,308035
"344","337","    Gross output of nonprofit institutions (133)","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1097052,1129094,1142811,1158716,1186961
"345","338","      Health, gross output","DHLGRX0",444146,452941,467100,493629,510043,525638,546805,567185,578898,593211,614721,625043,641020,662069,680054,690691,719773
"346","339","        Outpatient services, gross output","DOUGRX0",52036,53507,56506,62557,63748,64522,64755,65459,64300,63812,65429,66435,68005,70214,73592,73697,75829
"347","340","        Nonprofit hospitals, gross output","DHSORX0",349794,356484,365603,385083,398268,412392,430590,448126,459880,473940,492502,501454,515673,534305,549199,559638,586179
"348","341","        Nonprofit nursing homes, gross output","DNXORX0",42382,43006,44998,46003,48031,48735,51458,53599,54715,55458,56790,57153,57332,57521,57193,57271,57622
"349","342","      Recreation services, gross output","DRCGRX0",26573,28054,29936,31408,32969,34222,35750,37372,39134,40604,39663,38536,38084,39508,40328,40480,40790
"350","343","      Education services, gross output","DEDGRX0",108138,113003,121037,127769,127689,128238,129957,134343,140545,144326,147407,149026,152957,154747,156355,158165,158994
"351","344","      Social services, gross output","DSSGRX0",70843,77764,86947,92269,95515,95739,98023,99925,102075,106122,108863,112104,110677,109276,107456,106282,108118
"352","345","      Religious organizations, gross output","DREORX0",66410,67412,70642,73430,73063,75426,75911,76048,78392,76351,75973,72051,68757,69590,71200,70243,70142
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",14778,16773,20122,21151,20836,21018,21488,24099,25343,27747,26381,25729,26545,26334,27245,27543,27269
"354","347","      Social advocacy establishments, gross output","DSAORX0",8225,8823,9611,11576,11953,12007,12579,14249,15847,17292,17359,17599,17857,17943,18056,18481,19175
"355","348","      Civic and social organizations, gross output","DCIORX0",8877,9438,10077,10826,11123,10765,10030,9854,9391,9616,9303,9213,9161,9143,9236,9202,9531
"356","349","      Professional advocacy, gross output","DSNGRX0",30158,33075,30067,33647,30965,35073,31027,35927,32542,39867,32895,36741,32156,40597,33117,37932,33784
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,821586,835155,843539,853635,879335
"358","351","      Health services to households","DHLRRX0",450828,461535,479522,511340,514829,534116,556911,564270,579140,580271,597519,608199,622885,637329,646585,657543,683717
"359","352","        Outpatient services to households","DOUSRX0",42363,44534,46726,52417,53828,56080,57558,55968,54026,53067,54379,55612,57635,60545,63154,64147,66229
"360","353","        Nonprofit hospitals services to households","DNPHRX0",364767,373031,388022,413115,413365,429940,449424,458072,474055,476952,492269,501510,514383,526281,533102,543431,567646
"361","354","        Nonprofit nursing homes services to households","DNPNRX0",44186,44287,45045,45809,47515,47945,49816,50183,51055,50252,50871,51075,50864,50528,50406,50001,49809
"362","355","      Recreation services to households","DRCRRX0",14112,14221,14532,14263,14824,16156,18210,18928,19152,18526,17520,17596,17802,18165,18444,18929,19025
