"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"58","40","  Unemployment","G160381","2,299.0","4,087.0","5,934.0","5,807.0","4,481.0","6,892.0","17,745.0","16,266.0","12,993.0","10,140.0","10,172.0","18,425.0","16,892.0","25,550.0","26,497.0","16,080.0","16,161.0","16,780.0","14,901.0","13,507.0","14,743.0","18,498.0","27,279.0","39,518.0","34,654.0","24,158.0","22,091.0","22,677.0","20,544.0","20,171.0","20,994.0","20,956.0","32,765.0","54,212.0","53,605.0","38,224.0","32,043.0","31,029.0","33,510.0","52,185.0","141,428.0","150,161.0","107,936.0","84,676.0"
"59","41","  Other","G160391","265.0","369.0","373.0","465.0","648.0","798.0","2,512.0","1,887.0","2,105.0","2,009.0","2,112.0","3,035.0","3,152.0","2,962.0","3,084.0","3,081.0","3,095.0","3,501.0","3,542.0","4,909.0","6,735.0","7,677.0","8,077.0","12,238.0","13,146.0","18,930.0","20,705.0","23,067.0","24,211.0","24,983.0","32,387.0","35,350.0","30,555.0","36,027.0","41,125.0","56,820.0","64,375.0","70,667.0","67,515.0","85,289.0","76,665.0","87,881.0","86,224.0","85,439.0"
"60","42","      Federal","W013RC1","196,943.0","219,892.0","241,532.0","267,895.0","286,935.0","319,146.0","373,808.0","402,079.0","435,417.0","483,398.0","531,295.0","619,289.0","706,264.0","782,656.0","849,221.0","903,001.0","970,868.0","1,029,981.0","1,062,129.0","1,118,774.0","1,197,478.0","1,286,589.0","1,351,758.0","1,484,738.0","1,540,564.0","1,580,409.0","1,653,719.0","1,709,661.0","1,752,810.0","1,781,041.0","1,834,204.0","1,907,260.0","2,012,819.0","2,136,725.0","2,293,475.0","2,421,964.0","2,603,524.0","2,759,824.0","2,927,497.0","3,140,849.0","3,479,872.0","3,721,277.0","3,764,934.0","3,772,680.0"
"61","43","General public service","G160411","32,649.0","39,851.0","43,232.0","49,055.0","59,173.0","64,726.0","70,503.0","78,949.0","86,387.0","100,349.0","112,728.0","130,806.0","154,090.0","175,786.0","190,887.0","219,807.0","244,160.0","257,448.0","258,588.0","275,311.0","297,516.0","319,311.0","297,646.0","346,622.0","349,780.0","358,054.0","386,048.0","397,858.0","402,991.0","403,043.0","392,794.0","395,805.0","373,163.0","354,493.0","361,479.0","374,866.0","424,892.0","447,856.0","494,274.0","481,641.0","458,415.0","487,130.0","534,283.0","530,470.0"
"62","44","  Executive and legislative","G160421","3,869.0","4,837.0","6,019.0","7,016.0","6,356.0","7,334.0","9,178.0","10,290.0","9,586.0","10,072.0","10,778.0","12,519.0","11,963.0","14,108.0","13,521.0","16,444.0","19,615.0","22,942.0","19,277.0","19,437.0","19,325.0","21,063.0","-16,906.0","28,490.0","29,275.0","28,329.0","24,549.0","29,266.0","27,454.0","28,488.0","30,218.0","33,291.0","29,521.0","40,182.0","57,798.0","57,146.0","68,533.0","62,522.0","72,367.0","78,034.0","89,683.0","89,414.0","97,481.0","93,392.0"
"63","45","  Tax collection and financial management","G160431","1,316.0","1,684.0","2,017.0","2,275.0","2,483.0","2,772.0","2,806.0","2,886.0","3,289.0","3,538.0","3,585.0","3,934.0","4,174.0","4,413.0","5,332.0","5,178.0","6,002.0","6,305.0","6,919.0","7,959.0","8,531.0","9,253.0","10,144.0","11,245.0","9,066.0","8,885.0","9,173.0","8,604.0","9,937.0","8,986.0","10,392.0","8,786.0","12,417.0","11,641.0","11,078.0","11,646.0","11,930.0","12,988.0","13,691.0","15,643.0","15,116.0","17,141.0","14,244.0","16,504.0"
"64","46","  Interest payments \2\","G160441","27,464.0","33,330.0","35,235.0","37,630.0","43,291.0","47,984.0","52,467.0","58,896.0","65,261.0","79,112.0","91,456.0","107,529.0","133,429.0","152,681.0","166,971.0","193,828.0","213,742.0","224,204.0","232,315.0","247,915.0","269,660.0","289,045.0","304,358.0","306,887.0","311,439.0","320,840.0","352,326.0","359,988.0","365,600.0","365,569.0","352,184.0","353,728.0","331,225.0","302,670.0","292,603.0","306,074.0","344,429.0","372,346.0","408,216.0","387,964.0","353,616.0","380,575.0","422,558.0","420,574.0"
"65","47","  Other \6\","G160451",".....",".....","-39.0","2,134.0","7,043.0","6,636.0","6,052.0","6,877.0","8,251.0","7,627.0","6,909.0","6,824.0","4,524.0","4,584.0","5,063.0","4,357.0","4,801.0","3,997.0","77.0","0.0","0.0","-50.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"66","48","National defense","G160461","85,463.0","84,736.0","86,109.0","89,090.0","87,366.0","91,783.0","96,842.0","98,873.0","105,618.0","113,757.0","124,002.0","142,268.0","163,727.0","185,266.0","199,849.0","213,885.0","230,799.0","246,074.0","259,423.0","274,444.0","283,668.0","295,688.0","311,287.0","308,812.0","302,219.0","295,315.0","291,660.0","292,363.0","293,074.0","289,023.0","301,804.0","308,849.0","325,674.0","358,911.0","409,862.0","447,512.0","476,786.0","501,404.0","527,097.0","583,928.0","614,631.0","654,404.0","663,894.0","653,289.0"
"67","49","Public order and safety","G160471","618.0","839.0","1,115.0","1,526.0","1,832.0","2,150.0","2,488.0","2,651.0","2,782.0","2,849.0","3,108.0","3,382.0","3,400.0","3,398.0","3,786.0","4,224.0","4,636.0","5,060.0","5,619.0","6,630.0","7,356.0","7,994.0","9,380.0","10,825.0","12,846.0","13,588.0","14,585.0","15,903.0","17,163.0","18,756.0","20,930.0","24,362.0","27,042.0","29,817.0","32,025.0","35,823.0","39,261.0","41,948.0","43,440.0","49,039.0","53,386.0","55,320.0","55,584.0","56,783.0"
"68","50","  Police","G160481","344.0","475.0","671.0","962.0","1,167.0","1,193.0","1,375.0","1,375.0","1,401.0","1,475.0","1,529.0","1,604.0","1,590.0","1,529.0","1,872.0","2,096.0","2,356.0","2,449.0","2,696.0","3,333.0","3,513.0","3,726.0","4,382.0","5,085.0","7,333.0","7,069.0","6,551.0","7,832.0","10,014.0","11,561.0","12,375.0","14,617.0","15,593.0","16,892.0","19,998.0","23,693.0","26,444.0","27,987.0","29,321.0","33,929.0","36,937.0","38,188.0","38,752.0","39,552.0"
"69","51","  Fire","G160491",".....",".....",".....",".....",".....",".....","6.0","9.0","15.0","13.0","32.0","46.0","19.0","18.0","28.0","26.0","30.0","28.0","24.0","35.0","36.0","46.0","63.0","27.0","7.0","29.0","78.0","95.0","94.0","76.0","44.0","99.0","192.0","393.0","734.0","248.0","214.0","744.0","539.0","742.0","1,059.0","981.0","952.0","905.0"
"70","52","  Law courts","G160501","188.0","225.0","271.0","312.0","348.0","416.0","530.0","650.0","735.0","841.0","1,004.0","1,187.0","1,294.0","1,320.0","1,405.0","1,573.0","1,755.0","1,903.0","2,171.0","2,349.0","2,718.0","3,105.0","3,761.0","4,222.0","4,347.0","4,026.0","5,070.0","5,090.0","5,418.0","5,708.0","6,351.0","6,578.0","7,292.0","8,356.0","6,589.0","6,644.0","7,096.0","7,394.0","7,752.0","8,007.0","8,676.0","9,279.0","9,140.0","9,276.0"
"71","53","  Prisons","G160511","86.0","139.0","173.0","252.0","317.0","541.0","577.0","617.0","631.0","520.0","543.0","545.0","497.0","531.0","481.0","529.0","495.0","680.0","728.0","913.0","1,089.0","1,117.0","1,174.0","1,491.0","1,159.0","2,464.0","2,886.0","2,886.0","1,637.0","1,411.0","2,160.0","3,068.0","3,965.0","4,176.0","4,704.0","5,238.0","5,507.0","5,823.0","5,828.0","6,361.0","6,714.0","6,872.0","6,740.0","7,050.0"
"72","54","Economic affairs","G160521","15,697.0","16,394.0","18,420.0","22,158.0","21,141.0","19,982.0","26,260.0","28,467.0","33,686.0","43,658.0","41,944.0","46,112.0","50,505.0","49,565.0","59,732.0","56,113.0","60,128.0","67,107.0","68,384.0","61,177.0","64,412.0","67,368.0","67,767.0","73,583.0","79,191.0","77,170.0","77,188.0","76,719.0","80,746.0","84,434.0","96,858.0","104,404.0","111,949.0","102,910.0","115,251.0","114,196.0","126,924.0","122,924.0","122,856.0","131,866.0","146,034.0","161,009.0","158,037.0","152,551.0"
"73","55","  Transportation","G160571","2,296.0","2,719.0","3,103.0","3,491.0","3,794.0","4,268.0","5,264.0","5,708.0","6,591.0","7,103.0","7,941.0","8,960.0","9,034.0","9,323.0","10,161.0","10,792.0","10,993.0","10,329.0","10,477.0","11,430.0","11,654.0","12,200.0","13,278.0","14,394.0","14,759.0","16,127.0","15,063.0","15,257.0","16,687.0","16,847.0","16,678.0","17,467.0","24,261.0","23,465.0","29,022.0","27,178.0","28,513.0","29,896.0","29,641.0","32,801.0","34,469.0","37,039.0","38,075.0","39,271.0"
"74","56","    Highways","G160581","90.0","144.0","110.0","166.0","170.0","229.0","266.0","281.0","253.0","254.0","281.0","298.0","323.0","287.0","239.0","294.0","254.0","280.0","338.0","317.0","287.0","381.0","447.0","461.0","700.0","1,454.0","1,052.0","1,039.0","694.0","747.0","690.0","614.0","711.0","709.0","761.0","791.0","1,256.0","1,348.0","1,311.0","1,305.0","1,266.0","1,321.0","1,695.0","2,095.0"
"75","57","    Air","G160591","1,027.0","1,297.0","1,492.0","1,522.0","1,626.0","1,808.0","1,910.0","2,047.0","2,198.0","2,317.0","2,393.0","2,558.0","2,691.0","2,650.0","3,430.0","3,644.0","4,076.0","4,113.0","3,986.0","4,484.0","4,834.0","5,094.0","5,422.0","6,118.0","6,064.0","5,970.0","5,752.0","6,147.0","8,099.0","8,335.0","8,379.0","8,566.0","14,746.0","14,062.0","18,009.0","15,173.0","15,545.0","16,586.0","16,816.0","18,304.0","18,934.0","19,679.0","20,210.0","21,382.0"
"76","58","    Water","G160601","1,146.0","1,227.0","1,385.0","1,535.0","1,691.0","1,886.0","2,016.0","2,092.0","2,336.0","2,600.0","2,984.0","3,303.0","3,606.0","3,894.0","4,410.0","4,713.0","4,752.0","4,438.0","4,575.0","4,926.0","5,004.0","5,372.0","6,008.0","5,989.0","6,101.0","6,233.0","6,038.0","6,104.0","6,021.0","6,448.0","6,567.0","7,180.0","7,619.0","7,112.0","8,686.0","9,395.0","9,775.0","10,213.0","9,919.0","11,387.0","12,006.0","13,113.0","13,586.0","13,567.0"
"77","59","    Transit and railroad","G160611","33.0","51.0","116.0","268.0","307.0","345.0","1,072.0","1,288.0","1,804.0","1,932.0","2,283.0","2,801.0","2,414.0","2,492.0","2,082.0","2,141.0","1,911.0","1,498.0","1,578.0","1,703.0","1,529.0","1,353.0","1,401.0","1,826.0","1,894.0","2,470.0","2,221.0","1,967.0","1,873.0","1,317.0","1,042.0","1,107.0","1,185.0","1,582.0","1,566.0","1,819.0","1,937.0","1,749.0","1,595.0","1,805.0","2,263.0","2,926.0","2,584.0","2,227.0"
"78","60","  Space","G160631","1,758.0","2,181.0","2,556.0","2,631.0","2,552.0","3,227.0","3,599.0","3,392.0","3,384.0","3,455.0","3,809.0","4,740.0","5,412.0","6,077.0","7,048.0","7,335.0","7,607.0","7,252.0","7,806.0","8,910.0","10,411.0","11,599.0","12,015.0","12,109.0","12,814.0","12,460.0","12,701.0","13,467.0","14,303.0","13,864.0","13,568.0","13,791.0","14,441.0","13,836.0","14,296.0","15,622.0","15,700.0","15,714.0","17,916.0","19,918.0","21,167.0","20,583.0","19,623.0","17,172.0"
"79","61","  Other economic affairs","W692RC1","11,643.0","11,494.0","12,761.0","16,036.0","14,795.0","12,487.0","17,397.0","19,367.0","23,711.0","33,100.0","30,194.0","32,412.0","36,059.0","34,165.0","42,523.0","37,986.0","41,528.0","49,526.0","50,101.0","40,837.0","42,347.0","43,569.0","42,474.0","47,080.0","51,618.0","48,583.0","49,424.0","47,995.0","49,756.0","53,723.0","66,612.0","73,146.0","73,247.0","65,609.0","71,933.0","71,396.0","82,711.0","77,314.0","75,299.0","79,147.0","90,398.0","103,387.0","100,339.0","96,108.0"
"80","62","    General economic and labor affairs","G160531","3,780.0","3,949.0","5,319.0","6,644.0","6,934.0","6,208.0","8,907.0","10,436.0","12,265.0","18,203.0","16,292.0","16,124.0","13,558.0","10,526.0","10,120.0","9,932.0","11,058.0","11,296.0","11,935.0","12,348.0","13,915.0","16,649.0","14,132.0","15,889.0","13,003.0","13,495.0","14,870.0","15,575.0","16,105.0","16,115.0","16,829.0","20,654.0","19,112.0","11,604.0","12,486.0","13,110.0","13,736.0","13,027.0","13,462.0","15,285.0","25,282.0","24,735.0","29,697.0","24,782.0"
"81","63","    Agriculture","G160541","6,535.0","5,747.0","5,399.0","6,884.0","5,568.0","2,985.0","3,805.0","3,732.0","4,879.0","6,674.0","5,313.0","7,090.0","7,606.0","11,302.0","18,721.0","14,213.0","17,447.0","26,197.0","25,498.0","16,054.0","16,762.0","14,575.0","15,427.0","17,082.0","21,225.0","14,998.0","13,906.0","13,561.0","14,988.0","18,738.0","29,161.0","30,974.0","31,550.0","22,786.0","26,019.0","22,378.0","33,613.0","27,245.0","21,493.0","22,733.0","22,330.0","25,740.0","21,258.0","21,416.0"
"82","64","    Energy","G160551","621.0","626.0","735.0","919.0","886.0","1,626.0","2,626.0","3,099.0","4,054.0","5,595.0","4,968.0","5,238.0","9,778.0","6,881.0","7,336.0","7,332.0","6,779.0","5,712.0","5,962.0","5,927.0","5,260.0","5,427.0","5,117.0","6,066.0","10,367.0","10,387.0","11,675.0","9,539.0","9,191.0","8,518.0","10,139.0","9,061.0","9,267.0","12,929.0","15,678.0","16,938.0","14,712.0","15,417.0","15,431.0","17,023.0","18,469.0","26,065.0","22,894.0","22,025.0"
"83","65","    Natural resources","G160561","707.0","1,172.0","1,308.0","1,589.0","1,407.0","1,668.0","2,059.0","2,100.0","2,513.0","2,628.0","3,621.0","3,960.0","5,117.0","5,456.0","6,418.0","6,520.0","6,794.0","6,592.0","6,573.0","7,035.0","6,952.0","7,589.0","8,321.0","8,347.0","7,023.0","9,703.0","8,973.0","9,320.0","9,472.0","10,352.0","10,483.0","12,457.0","13,322.0","18,290.0","17,761.0","18,973.0","20,648.0","21,623.0","24,919.0","24,115.0","24,331.0","26,850.0","26,486.0","27,877.0"
"84","66","    Postal service","G160621",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-72.0","-11.0","-550.0","-271.0","133.0","-527.0","-542.0","-671.0","-523.0","-304.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-4.0","0.0","-11.0","-3.0","2.0","2.0","-6.0","-9.0","-14.0","-3.0","4.0","8.0"
"85","67","Housing and community services","G160651","1,335.0","2,402.0","3,206.0","3,858.0","4,202.0","4,559.0","5,328.0","6,301.0","6,825.0","7,395.0","9,079.0","10,801.0","12,055.0","13,511.0","14,226.0","15,218.0","16,519.0","17,019.0","16,962.0","18,089.0","19,161.0","20,066.0","21,563.0","23,002.0","26,067.0","27,914.0","31,283.0","32,450.0","32,593.0","34,470.0","34,764.0","33,328.0","34,938.0","40,223.0","42,599.0","44,011.0","47,684.0","47,407.0","54,118.0","50,297.0","52,832.0","60,321.0","62,303.0","58,056.0"
"86","68","Health","G160661","12,902.0","16,059.0","17,911.0","21,858.0","24,063.0","29,382.0","34,701.0","40,171.0","45,084.0","50,649.0","57,641.0","67,599.0","79,261.0","88,162.0","98,083.0","108,575.0","117,332.0","126,074.0","135,741.0","146,885.0","164,747.0","185,107.0","211,858.0","241,744.0","267,508.0","287,794.0","314,328.0","335,682.0","353,499.0","360,667.0","371,218.0","393,598.0","445,763.0","485,097.0","523,627.0","566,080.0","606,537.0","672,306.0","719,775.0","772,689.0","878,226.0","926,182.0","931,143.0","960,809.0"
"87","69","Recreation and culture","G160671","359.0","412.0","511.0","604.0","678.0","919.0","953.0","1,157.0","1,200.0","1,386.0","1,422.0","1,664.0","1,781.0","1,546.0","1,402.0","2,099.0","1,582.0","1,691.0","1,600.0","1,713.0","1,749.0","1,904.0","2,115.0","2,224.0","2,367.0","2,493.0","2,514.0","2,670.0","2,582.0","2,775.0","2,675.0","3,065.0","3,262.0","3,990.0","4,158.0","4,566.0","4,729.0","4,830.0","4,821.0","5,082.0","5,294.0","5,791.0","5,414.0","5,503.0"
"88","70","Education","G160681","4,669.0","5,969.0","6,764.0","7,986.0","8,011.0","9,689.0","12,635.0","11,256.0","11,622.0","12,194.0","13,651.0","15,216.0","16,254.0","15,020.0","15,281.0","16,142.0","16,852.0","16,733.0","16,294.0","18,221.0","21,095.0","21,445.0","23,234.0","25,993.0","29,005.0","29,643.0","30,156.0","31,765.0","32,424.0","35,448.0","38,367.0","39,599.0","45,168.0","51,656.0","58,338.0","64,469.0","67,036.0","69,333.0","68,280.0","75,433.0","105,252.0","134,380.0","130,283.0","110,803.0"
"89","71","  Elementary and secondary","G160691","1,866.0","2,173.0","2,365.0","3,047.0","2,699.0","3,501.0","4,118.0","3,203.0","4,025.0","4,508.0","5,360.0","5,832.0","5,712.0","5,613.0","4,854.0","6,587.0","6,566.0","6,582.0","6,169.0","7,427.0","8,364.0","8,631.0","9,570.0","10,638.0","11,411.0","11,725.0","11,169.0","12,875.0","12,820.0","14,256.0","16,207.0","17,057.0","19,649.0","22,603.0","28,579.0","33,350.0","34,590.0","35,263.0","34,342.0","36,602.0","56,548.0","66,006.0","55,209.0","40,021.0"
"90","72","  Higher","G160701","948.0","1,215.0","1,280.0","1,253.0","1,172.0","1,312.0","1,846.0","2,463.0","3,004.0","3,237.0","4,124.0","5,468.0","6,622.0","5,706.0","6,831.0","6,393.0","7,027.0","6,803.0","6,858.0","7,586.0","9,527.0","9,288.0","9,453.0","10,334.0","11,856.0","11,270.0","12,008.0","11,782.0","12,382.0","13,867.0","14,758.0","14,072.0","16,124.0","18,530.0","18,953.0","20,064.0","20,735.0","21,176.0","21,868.0","26,270.0","34,353.0","45,972.0","48,624.0","43,497.0"
"91","73","  Other","G160711","1,855.0","2,581.0","3,119.0","3,686.0","4,140.0","4,876.0","6,671.0","5,590.0","4,593.0","4,449.0","4,167.0","3,916.0","3,920.0","3,701.0","3,596.0","3,162.0","3,259.0","3,348.0","3,267.0","3,208.0","3,204.0","3,526.0","4,211.0","5,021.0","5,738.0","6,648.0","6,979.0","7,108.0","7,222.0","7,325.0","7,402.0","8,470.0","9,395.0","10,523.0","10,806.0","11,055.0","11,711.0","12,894.0","12,070.0","12,561.0","14,351.0","22,402.0","26,450.0","27,285.0"
"92","74","Income security","G160721","43,251.0","53,230.0","64,264.0","71,760.0","80,469.0","95,956.0","124,098.0","134,254.0","142,213.0","151,161.0","167,720.0","201,441.0","225,191.0","250,402.0","265,975.0","266,938.0","278,860.0","292,775.0","299,518.0","316,303.0","337,774.0","367,706.0","406,908.0","451,933.0","471,581.0","488,438.0","505,956.0","524,250.0","537,738.0","552,425.0","574,794.0","604,250.0","645,860.0","709,628.0","746,137.0","770,441.0","809,676.0","851,815.0","892,835.0","990,874.0","1,165,801.0","1,236,740.0","1,223,993.0","1,244,416.0"
"93","75","  Disability","G160731","8,040.0","9,102.0","10,600.0","12,036.0","13,992.0","15,910.0","18,148.0","20,475.0","22,812.0","24,460.0","27,422.0","30,084.0","33,141.0","34,356.0","35,194.0","35,628.0","36,940.0","37,936.0","38,722.0","40,215.0","41,949.0","44,377.0","47,303.0","51,064.0","57,326.0","59,436.0","62,859.0","67,931.0","70,790.0","73,468.0","75,715.0","80,704.0","89,659.0","98,820.0","104,659.0","114,994.0","125,778.0","133,838.0","142,533.0","150,571.0","167,606.0","180,879.0","190,849.0","205,407.0"
"94","76","  Retirement \5\","G160741","25,814.0","30,737.0","35,626.0","39,560.0","48,524.0","54,560.0","61,924.0","69,300.0","76,864.0","84,407.0","94,935.0","109,788.0","129,046.0","144,624.0","155,525.0","163,937.0","173,501.0","183,245.0","190,173.0","202,272.0","214,956.0","230,182.0","247,891.0","262,448.0","273,528.0","286,365.0","299,568.0","309,562.0","322,668.0","334,120.0","343,051.0","361,527.0","378,412.0","394,691.0","408,415.0","422,544.0","441,465.0","467,808.0","495,421.0","521,090.0","581,365.0","600,339.0","619,520.0","646,912.0"
"95","77","  Welfare and social services","G160751","6,036.0","7,935.0","10,776.0","12,760.0","11,615.0","16,588.0","22,391.0","24,613.0","25,657.0","28,382.0","31,046.0","37,411.0","39,954.0","39,959.0","42,606.0","45,120.0","46,264.0","48,152.0","49,109.0","52,277.0","56,108.0","63,249.0","72,892.0","82,516.0","87,421.0","93,178.0","95,608.0","95,533.0","94,392.0","93,911.0","96,811.0","100,345.0","107,723.0","118,464.0","129,885.0","130,394.0","137,327.0","139,401.0","145,636.0","172,167.0","187,799.0","207,527.0","209,666.0","212,890.0"
"96","78","  Unemployment","G160761","2,869.0","4,765.0","6,653.0","6,683.0","5,249.0","7,785.0","18,933.0","17,608.0","14,500.0","11,620.0","11,784.0","20,410.0","18,942.0","27,647.0","28,845.0","18,384.0","18,530.0","19,279.0","17,379.0","16,121.0","17,223.0","21,260.0","30,304.0","43,067.0","38,254.0","27,360.0","25,432.0","26,014.0","23,703.0","23,503.0","24,413.0","24,020.0","36,024.0","57,773.0","57,134.0","41,646.0","35,444.0","34,416.0","36,739.0","55,665.0","145,509.0","155,002.0","112,065.0","87,708.0"
"97","79","  Other","G160771","492.0","691.0","609.0","721.0","1,089.0","1,113.0","2,702.0","2,258.0","2,380.0","2,292.0","2,533.0","3,748.0","4,108.0","3,816.0","3,805.0","3,869.0","3,625.0","4,163.0","4,135.0","5,418.0","7,538.0","8,638.0","8,518.0","12,838.0","15,052.0","22,099.0","22,489.0","25,210.0","26,185.0","27,423.0","34,804.0","37,654.0","34,042.0","39,880.0","46,044.0","60,863.0","69,662.0","76,352.0","72,506.0","91,381.0","83,522.0","92,993.0","91,893.0","91,499.0"
"98","80","      State and local","W024RC1","100,242.0","115,929.0","132,986.0","148,479.0","163,141.0","184,089.0","213,302.0","229,059.0","249,469.0","271,869.0","297,572.0","329,945.0","362,871.0","393,245.0","423,572.0","454,697.0","496,652.0","536,362.0","572,875.0","612,865.0","673,358.0","736,030.0","804,609.0","873,066.0","914,284.0","961,048.0","1,011,389.0","1,045,017.0","1,084,147.0","1,133,338.0","1,212,563.0","1,293,185.0","1,417,922.0","1,509,351.0","1,596,011.0","1,683,444.0","1,775,390.0","1,850,301.0","1,973,314.0","2,074,143.0","2,191,154.0","2,235,826.0","2,242,975.0","2,292,119.0"
"99","81","General public service","G160791","14,893.0","17,153.0","19,959.0","23,194.0","25,956.0","30,640.0","36,291.0","38,351.0","42,781.0","46,669.0","51,104.0","56,262.0","62,115.0","70,020.0","79,515.0","85,863.0","95,780.0","103,728.0","109,100.0","113,366.0","125,297.0","128,750.0","137,507.0","149,789.0","150,786.0","154,192.0","161,187.0","159,067.0","162,004.0","160,908.0","165,098.0","165,180.0","186,480.0","212,098.0","246,913.0","247,416.0","259,508.0","279,380.0","286,074.0","299,660.0","364,882.0","368,610.0","368,499.0","390,886.0"
"100","82","  Executive and legislative","G160801","1,361.0","1,517.0","1,679.0","1,869.0","2,192.0","2,635.0","2,895.0","2,976.0","3,240.0","3,588.0","3,974.0","4,503.0","5,069.0","5,687.0","5,853.0","6,082.0","6,637.0","7,173.0","7,766.0","8,433.0","9,182.0","10,288.0","10,996.0","11,500.0","11,849.0","12,598.0","13,268.0","13,984.0","14,894.0","16,111.0","17,605.0","18,757.0","20,303.0","21,945.0","23,536.0","25,685.0","26,639.0","29,260.0","32,003.0","33,441.0","33,199.0","32,708.0","32,376.0","32,439.0"
"101","83","  Tax collection and financial management","G160811","3,107.0","3,397.0","3,442.0","3,681.0","3,823.0","4,408.0","5,470.0","5,401.0","6,175.0","6,700.0","6,888.0","7,127.0","7,406.0","9,002.0","10,960.0","11,254.0","14,604.0","15,277.0","15,107.0","16,391.0","17,299.0","17,661.0","18,483.0","19,959.0","20,833.0","22,284.0","22,893.0","22,876.0","23,881.0","25,454.0","27,449.0","27,912.0","28,425.0","29,238.0","30,050.0","30,834.0","31,371.0","31,025.0","31,743.0","36,672.0","36,717.0","36,418.0","34,615.0","36,278.0"
"102","84","  Interest payments","G160821","6,562.0","7,693.0","9,409.0","11,091.0","12,165.0","14,212.0","16,727.0","17,552.0","19,215.0","21,007.0","23,481.0","25,606.0","29,290.0","34,180.0","39,498.0","43,182.0","47,258.0","51,822.0","53,527.0","55,075.0","62,309.0","61,822.0","67,550.0","73,640.0","72,235.0","71,764.0","76,620.0","72,351.0","70,222.0","61,433.0","57,783.0","52,101.0","65,447.0","84,370.0","115,223.0","110,487.0","111,792.0","120,099.0","121,540.0","127,032.0","188,758.0","192,130.0","192,949.0","210,982.0"
"103","85","  Other \7\","G160831","3,863.0","4,546.0","5,429.0","6,553.0","7,776.0","9,385.0","11,199.0","12,422.0","14,151.0","15,373.0","16,761.0","19,027.0","20,350.0","21,151.0","23,204.0","25,344.0","27,281.0","29,455.0","32,699.0","33,468.0","36,507.0","38,979.0","40,477.0","44,689.0","45,868.0","47,545.0","48,406.0","49,857.0","53,008.0","57,909.0","62,260.0","66,410.0","72,306.0","76,545.0","78,104.0","80,409.0","89,705.0","98,996.0","100,789.0","102,515.0","106,209.0","107,354.0","108,558.0","111,187.0"
"104","86","Public order and safety","G160841","9,753.0","11,101.0","12,751.0","14,204.0","15,737.0","17,845.0","20,304.0","21,884.0","23,964.0","26,556.0","29,440.0","32,729.0","36,938.0","41,278.0","44,900.0","48,643.0","53,936.0","58,692.0","63,618.0","69,504.0","77,963.0","86,745.0","94,501.0","103,604.0","110,339.0","118,504.0","126,749.0","134,587.0","142,536.0","152,124.0","165,232.0","177,691.0","192,250.0","203,213.0","209,154.0","221,255.0","232,620.0","245,985.0","262,957.0","278,104.0","281,798.0","283,639.0","286,204.0","290,597.0"
"105","87","  Police","G160851","4,795.0","5,399.0","6,203.0","6,943.0","7,603.0","8,569.0","9,672.0","10,336.0","11,347.0","12,445.0","13,624.0","14,919.0","16,715.0","18,450.0","19,765.0","21,113.0","23,147.0","24,831.0","26,416.0","28,419.0","31,381.0","34,453.0","37,572.0","41,185.0","43,034.0","45,934.0","49,369.0","52,580.0","55,648.0","59,064.0","63,931.0","67,982.0","73,699.0","78,472.0","81,170.0","86,305.0","90,410.0","95,505.0","102,485.0","108,421.0","110,054.0","113,226.0","114,499.0","115,629.0"
"106","88","  Fire","G160861","2,152.0","2,462.0","2,787.0","3,028.0","3,265.0","3,622.0","4,156.0","4,436.0","4,737.0","5,196.0","5,678.0","6,206.0","7,025.0","7,746.0","8,386.0","8,975.0","9,779.0","10,729.0","11,558.0","12,073.0","13,382.0","14,541.0","15,534.0","17,339.0","17,941.0","18,883.0","19,589.0","20,507.0","21,414.0","22,796.0","24,484.0","26,552.0","28,235.0","30,351.0","31,646.0","34,368.0","36,731.0","39,182.0","42,184.0","45,178.0","46,729.0","47,482.0","47,425.0","47,675.0"
"107","89","  Law courts","G160871","1,426.0","1,622.0","1,856.0","2,098.0","2,412.0","2,715.0","3,069.0","3,310.0","3,613.0","4,089.0","4,683.0","5,395.0","6,019.0","6,701.0","7,182.0","7,673.0","8,403.0","9,002.0","9,655.0","10,996.0","12,443.0","13,920.0","15,177.0","16,526.0","18,743.0","20,013.0","21,242.0","22,292.0","23,816.0","26,016.0","28,533.0","30,833.0","33,620.0","35,425.0","36,243.0","38,021.0","39,845.0","41,597.0","43,701.0","46,066.0","46,603.0","46,432.0","47,674.0","49,557.0"
