"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"74","67","        Nursing homes (52)","DNRSRA3",0.874,0.967,1.022,1.02,0.971,0.951,0.976,0.99,1.02,1.071,1.108,1.148,1.163,1.239,1.311,1.343,1.361,1.449,1.457,1.546,1.65,1.761,1.797,1.936,2.045,2.18,2.326,2.505,2.661,2.893,3.207,5.551,6.938,8.165,10.087,13.216,13.277,15.78,18.354,21.414,25.321
"75","68","    Transportation services","DTRSRA3",9.374,8.268,7.304,6.392,6.405,6.795,6.955,7.786,8.202,7.818,8.425,8.994,10.029,11.049,13.71,14.896,16.013,18.889,18.48,18.407,17.52,17.007,17.607,17.818,18.271,17.696,18.274,18.779,19.12,18.842,19.583,20.219,20.466,21.232,22.156,23.369,24.558,25.976,27.357,29.104,31.052
"76","69","      Motor vehicle services","DMVSRA3",3.842,3.211,2.802,2.445,2.777,3.041,3.033,3.442,3.596,3.435,3.963,4.313,4.918,3.528,3.285,4.009,5.433,9.259,9.864,10.465,11.048,11.492,12.512,12.907,13.855,13.897,14.938,15.632,16.273,16.601,17.526,18.392,19.017,20.004,21.165,22.405,23.498,24.882,25.967,27.31,28.787
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",5.232,4.351,3.781,3.288,3.75,4.12,4.085,4.647,4.838,4.607,5.327,5.802,6.63,4.69,4.359,5.355,7.316,12.619,13.409,14.216,15.003,15.519,16.571,17.13,18.424,18.394,19.755,20.628,21.519,22.023,23.372,24.509,25.266,26.528,28.035,29.578,30.908,32.689,34.044,35.61,37.354
"78","71","        Other motor vehicle services (61)","DOVSRA3",0.87,0.762,0.691,0.62,0.682,0.727,0.76,0.847,0.91,0.891,1.01,1.093,1.224,0.978,0.924,1.07,1.355,2.07,2.259,2.411,2.554,2.787,3.536,3.595,3.806,3.944,4.263,4.529,4.645,4.632,4.709,4.968,5.251,5.6,5.977,6.483,6.979,7.455,7.896,8.64,9.436
"79","72","      Public transportation","DPUBRA3",22.655,20.49,18.198,15.945,15.162,15.856,16.424,18.269,19.322,18.399,19.175,20.261,22.314,29.654,39.744,41.999,42.09,41.917,38.81,36.921,32.326,29.503,29.074,28.839,28.093,26.057,25.497,25.533,25.144,23.446,23.738,23.835,23.232,23.496,23.886,25.016,26.391,27.854,29.853,32.451,35.39
"80","73","        Ground transportation (63)","DGRDRA3",110.141,99.631,88.478,77.39,73.6,76.845,79.477,88.298,93.431,88.866,92.39,97.144,106.755,142.699,191.86,202.309,200.905,197.819,182.601,173.602,150.499,135.385,131.079,128.294,122.917,111.633,106.674,105.035,101.251,93.145,91.378,90.315,86.142,84.805,83.201,83.507,84.173,85.252,84.941,86.419,88.85
"81","74","        Air transportation (64)","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.342,0.61,0.969,0.989,0.959,1.082,1.337,1.764,2.095,2.468,2.806,3.332,3.765,4.252,4.282,5.059,5.427,5.729,6.321,7.138,8.386,9.853,11.339,13.908,16.803,19.877
"82","75","        Water transportation (65)","DWATRA3",0.321,0.216,0.176,0.191,0.143,0.165,0.162,0.183,0.183,0.162,0.165,0.156,0.17,0.124,0.143,0.138,0.165,0.151,0.156,0.143,0.135,0.124,0.124,0.124,0.135,0.13,0.135,0.143,0.143,0.143,0.151,0.145,0.159,0.177,0.172,0.186,0.202,0.264,0.375,0.429,0.493
"83","76","    Recreation services","DRCARA3",6.295,6.195,6.028,4.903,4.699,5.158,5.484,6.069,6.484,6.141,6.333,6.831,7.235,7.868,8.484,8.362,8.864,10.239,9.7,9.41,9.202,9.218,9.324,9.48,9.59,9.785,10.235,10.733,10.377,10.294,11.028,11.638,12.136,12.725,13.242,13.781,14.296,15.159,15.671,16.657,17.647
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",18.226,18.08,17.753,14.211,13.758,14.827,15.62,17.18,18.154,17.257,17.721,19.025,20.022,22.174,23.932,22.71,23.846,27.547,25.899,24.993,24.269,23.541,23.071,22.837,22.412,22.686,23.584,24.543,22.613,21.849,23.156,24.033,24.766,25.495,26.033,26.31,26.762,27.764,27.89,29.212,30.132
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",1.379,1.446,1.394,1.232,1.145,1.285,1.431,1.605,1.791,1.681,1.788,1.899,2.095,2.239,2.427,2.624,2.858,3.193,3.236,3.495,3.638,4.192,4.646,4.91,5.256,5.569,5.892,6.25,6.588,6.819,7.359,7.982,8.43,8.822,9.346,9.859,10.508,11.582,12.569,13.641,15.173
"86","79","      Gambling (91)","DGAMRA3",0.725,0.699,0.636,0.49,0.492,0.795,0.944,1.093,1.292,1.248,1.282,1.64,1.689,1.639,1.745,2.45,2.734,3.372,3.046,2.658,2.519,2.58,2.809,3.178,3.397,3.329,3.463,3.69,3.783,3.862,4.204,4.508,4.779,5.405,5.786,6.417,6.66,6.903,7.242,7.554,7.888
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",2.546,1.953,1.661,1.594,1.319,1.524,1.584,1.827,1.961,1.74,1.8,1.814,2.029,1.825,1.925,1.947,2.145,2.371,2.422,2.339,2.245,2.267,2.289,2.402,2.632,2.77,3.071,3.289,3.494,3.642,4.184,4.5,4.904,5.486,6.107,7.119,7.957,9.166,9.666,11.012,12.141
"88","81","    Food services and accommodations","DFSARA3",8.894,9.065,9.485,9.277,8.366,9.506,10.214,11.611,13.171,13.282,14.458,15.299,17.005,18.717,22.175,25.321,28.485,25.669,22.595,21.854,22.085,22.3,24.36,25.526,26.469,26.391,27.054,27.846,28.168,27.749,28.328,28.625,28.718,29.75,30.493,32.053,34.343,36.051,35.68,37.896,38.718
"89","82","      Food services","DFSERA3",9.329,9.549,10.07,9.911,8.879,10.083,10.832,12.348,14.075,14.206,15.517,16.415,18.288,20.239,24.011,27.468,30.927,27.694,24.022,23.311,23.628,23.863,26.129,27.397,28.415,28.287,28.982,29.8,30.066,29.626,30.18,30.391,30.443,31.427,32.061,33.677,36.009,37.762,37.147,39.429,40.239
"90","83","        Purchased meals and beverages (102)","DPMBRA3",8.901,9.129,9.695,9.558,8.486,9.677,10.405,11.906,13.599,13.759,15.069,15.916,17.457,18.55,20.812,22.73,25.792,25.676,22.824,22.263,22.593,22.839,24.554,25.68,26.756,26.729,27.529,28.397,28.668,28.269,28.961,29.225,29.205,30.178,30.859,32.515,34.792,36.291,35.547,37.979,38.86
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",28.386,28.439,27.53,26.542,26.542,28.689,30.493,33.154,36.816,35.986,37.83,40.939,54.748,82.787,130.367,177.802,194.918,100.651,69.593,63.902,63.942,63.956,82.456,88.201,88.174,85.012,82.429,81.493,81.532,79.582,74.98,73.218,75.934,77.324,76.173,76.244,80.592,91.725,95.93,92.568,90.738
"92","85","      Accommodations (104)","DACCRA3",4.936,4.76,4.512,4.073,3.997,4.577,4.936,5.364,5.619,5.581,5.745,6.106,6.513,6.373,7.298,7.908,8.676,9.377,11.686,10.547,9.99,10.044,10.421,10.758,11.098,11.435,11.846,12.439,13.201,12.939,13.718,14.694,15.116,16.545,18.204,19.331,21.334,22.718,24.427,26.153,27.117
"93","86","    Financial services and insurance","DIFSRA3",7.366,6.731,6.287,6.019,6.457,5.926,6.434,6.683,6.79,6.576,6.755,6.777,6.918,6.697,7.094,7.129,7.362,7.889,8.507,8.922,9.163,10.245,11.446,11.473,11.926,12.753,13.788,14.493,14.911,15.373,15.684,16.311,17.193,17.167,17.77,19.021,20.278,20.976,22.019,23.153,23.481
"94","87","      Financial services","DFNLRA3",6.928,5.703,4.756,4.047,4.556,3.755,3.982,4.403,4.398,3.948,3.935,3.865,3.857,3.799,4.304,4.244,4.701,5.333,5.131,5.335,5.252,5.989,6.102,6.152,6.442,7.22,7.774,7.783,7.874,8.451,8.963,9.081,9.918,9.519,9.77,10.527,11.413,11.978,13.171,13.815,13.898
"95","88","        Financial services furnished without payment (107)","DIMPRA3",7.966,7.788,7.459,7.049,6.621,6.389,6.648,6.943,7.146,7.012,7.117,7.25,7.336,7.415,7.41,7.043,7.123,8.378,8.616,8.696,8.622,8.886,9.071,9.451,10.001,10.479,10.982,11.179,11.307,11.711,11.825,12.57,12.956,13.15,13.999,14.87,15.238,15.556,16.289,17.857,19.435
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",5.159,3.506,2.427,1.777,2.458,1.717,1.865,2.216,2.131,1.684,1.633,1.509,1.467,1.37,1.975,2.07,2.633,2.823,2.392,2.64,2.563,3.503,3.557,3.38,3.46,4.485,5.093,4.925,4.985,5.731,6.608,6.167,7.417,6.518,6.321,6.961,8.223,8.981,10.566,10.452,9.312
"97","90","      Insurance","DINSRA3",9.82,10.278,10.775,11.351,11.74,11.603,12.782,12.734,13.092,13.323,13.93,14.151,14.629,14.028,14.282,14.525,14.325,14.719,17.283,18.233,19.267,21.254,25.269,25.238,26.111,27.028,29.313,32.007,33.36,33.371,33.015,35.078,35.9,37.054,38.625,41.123,43.228,44.174,44.452,46.85,47.878
"98","91","        Life insurance (110)","DLIFRA3",27.072,28.765,30.388,33.416,35.424,34.708,38.149,37.015,36.864,37.307,38.251,37.888,36.968,33.726,33.266,32.31,31.024,31.211,35.964,36.37,36.233,37.857,38.524,38.294,39.106,40.162,43.185,47.398,49.636,50.875,47.514,51.367,52.117,52.781,54.778,59.23,64.167,64.027,62.381,64.726,65.572
"99","92","        Net household insurance (111)","DFINRA3",17.446,17.612,17.575,15.603,14.413,14.893,15.621,17.169,18.091,19.106,19.853,20.083,21.632,23.735,26.372,29.738,32.569,32.839,32.698,33.612,32.908,34.905,36.491,37.347,39.475,39.879,42.207,44.413,45.905,46.908,52.605,62.092,68.386,72.824,72.245,68.776,60.763,54.056,53.961,54.926,56.872
"100","93","        Net health insurance (112)","DHINRA3",2.724,2.725,2.868,2.551,2.2,2.238,2.447,2.639,2.975,3.086,3.383,3.656,4.458,4.904,5.488,6.038,5.975,6.117,7.56,8.575,10.189,11.846,14.794,14.929,15.722,15.777,17.32,18.939,20.386,20.123,20.901,21.746,22.459,23.759,24.87,26.613,27.939,29.296,29.418,31.912,33.378
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",4.614,4.638,4.599,4.341,4.526,4.601,5.235,5.66,6.379,6.519,7.179,7.696,8.351,7.93,7.649,8.129,8.991,10.342,12.131,13.155,14.056,17.022,28.09,27.994,29.088,31.445,34.246,37.114,37.295,36.041,37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939
"102","95","    Other services","DOTSRA3",13.183,12.842,12.015,10.542,9.744,10.441,11.004,11.883,12.659,12.183,12.428,12.723,13.303,13.755,14.203,14.285,14.689,15.203,15.731,16.107,16.282,16.866,17.191,17.556,18.102,18.531,19.87,20.726,21.464,22.175,23.142,23.872,24.647,25.622,26.558,27.744,29.328,31.053,32.88,33.786,34.781
"103","96","      Communication","DCOMRA3",1.278,1.287,1.238,1.079,0.983,1.014,1.082,1.181,1.264,1.277,1.354,1.431,1.598,1.789,2.034,2.205,2.398,2.566,2.673,2.871,3,3.135,3.408,3.637,3.888,4.079,4.494,4.828,5.145,5.32,5.529,5.848,6.217,6.6,7.048,7.563,8.307,9.115,9.812,10.522,11.489
"104","97","        Telecommunication services (71)","DTCSRA3",1.061,1.069,1.022,0.888,0.807,0.832,0.891,0.97,1.043,1.043,1.11,1.183,1.33,1.497,1.71,1.839,1.997,2.164,2.276,2.469,2.612,2.723,2.98,3.206,3.432,3.625,4.023,4.336,4.645,4.812,5.055,5.369,5.722,6.057,6.545,7.042,7.792,8.605,9.294,10.104,11.098
"105","98","        Postal and delivery services (68)","DPSSRA3",25.937,26.112,26.003,23.129,21.37,22.041,23.083,25.457,26.721,28.317,29.539,29.856,32.211,35.148,38.935,43.857,48.056,48.496,48.234,49.453,48.512,51.456,53.815,55.026,58.214,58.855,62.192,65.502,67.692,69.115,67.132,69.056,72.238,78.18,77.458,81.737,85.771,90.355,95.192,93.533,98.252
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Education services","DTEDRA3",11.542,12.023,12.456,11.02,10.312,10.174,10.609,11.203,11.974,12.314,12.421,12.719,13.174,14.193,14.842,14.134,13.769,14.004,15.698,16.559,17.637,18.359,18.77,19.768,20.76,21.72,23.36,24.71,26.558,28.448,29.854,31.662,33.351,35.727,38.377,41.499,45.83,49.92,53.468,57.534,60.66
"108","101","        Higher education (97)","DHEDRA3",8.404,9.266,9.908,9.322,9.014,9.103,9.569,9.866,10.002,10.117,10.378,10.882,10.861,11.051,11.368,11.455,11.109,12.045,14.563,15.438,16.57,16.906,16.945,17.626,18.493,19.222,20.535,21.973,24.051,26.282,27.246,28.882,30.896,32.892,35.118,38.793,44.135,48.141,50.811,54.344,57.723
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",18.648,20.303,23.671,18.967,17.258,16.816,16.923,19.247,23.044,25.633,26.054,26.338,26.03,26.421,26.323,26.853,28.732,24.482,26.444,27.91,29.199,30.685,32.077,34.121,35.81,37.957,40.521,43.187,46.427,49.65,54.15,58.895,65,71.318,76.761,81.797,86.348,89.915,94.129,100.413,104.018
"110","103","        Commercial and vocational schools (99)","DVEDRA3",10.69,9.958,8.826,7.688,6.913,6.555,6.952,7.194,7.621,7.354,7.049,6.928,8.351,10.704,12.006,9.745,8.511,9.44,9.295,9.678,10.346,11.169,11.619,12.418,13.081,13.638,15.037,15.357,15.85,16.262,16.58,16.902,15.646,16.247,17.713,18.43,20.168,23.857,27.863,30.966,32.793
"111","104","      Professional and other services (121)","DPRSRA3",23.151,22.189,22.466,20.696,21.017,23.145,23.832,24.775,26.652,26.501,27.357,28.009,28.775,28.715,30.166,28.891,28.215,29.236,29.035,29.51,29.87,30.046,31.43,30.908,31.506,32.023,32.699,32.565,34.318,35.763,37.667,38.537,40.458,42.024,43.98,44.787,46.526,49.926,50.892,52.77,54.429
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",26.631,25.179,22.032,18.44,16.647,18.368,20.206,22.453,23.801,22.662,23.079,24.509,26.757,28.148,31.456,32.075,34.057,37.188,37.015,36.651,35.917,36.019,35.765,37.033,38.232,39.957,40.756,41.958,42.619,42.414,43.937,43.882,45.61,47.065,47.079,48.904,50.609,52.442,53.371,54.067,52.368
"113","106","      Social services and religious activities (120)","DSOCRA3",4.307,4.487,4.469,4.063,3.74,3.664,3.68,3.861,3.864,3.901,3.987,4.285,4.436,4.655,5.082,5.635,5.728,5.889,5.371,5.4,5.376,5.478,5.492,6.165,6.477,6.828,7.059,7.631,7.839,8.276,8.966,9.1,9.391,9.256,9.757,11.266,12.333,13.74,15.212,15.776,16.259
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",74.834,70.339,63.318,54.537,51.589,57.675,60.362,64.541,68.152,63.427,67.716,70.686,68.037,70.088,60.821,59.639,59.956,56.109,59.284,58.741,58.371,63.255,62.961,59.164,59.022,56.547,65.274,68.357,67.801,69.366,69.174,69.815,68.015,67.663,66.913,67.604,67.678,67.486,68.717,67.524,66.151
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",4.677,4.886,4.267,3.878,2.922,2.982,3.131,3.66,4.186,3.59,2.94,1.519,1.701,1.162,1.279,1.478,1.812,2.913,3.957,4.509,5.135,5.611,5.765,6.604,6.935,7.197,8.364,9.092,9.699,10.524,11.29,12.623,12.672,13.612,14.606,15.063,16.216,16.856,20.006,18.942,20.808
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",2.239,2.084,1.682,1.281,1.385,1.535,1.774,1.946,2.198,2.295,2.54,1.756,1.568,1.869,2.334,2.751,3.08,4.554,4.587,4.085,4.625,4.869,5.343,5.842,6.362,6.62,7.455,8.134,8.514,8.674,8.153,8.508,8.699,8.587,8.923,10.237,11.216,12.329,12.49,13.116,14.404
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.741,2.871,2.935,2.71,2.474,2.329,2.297,2.331,2.257,2.375,2.403,2.564,2.582,2.695,2.945,3.174,3.193,3.296,3.043,3.084,3.105,3.138,3.095,3.441,3.546,3.7,3.779,4.062,4.144,4.367,4.831,5.382,5.519,5.684,5.881,6.532,6.827,7.097,7.469,7.983,8.108
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.921,15.534,16.213,17.066,18.034,19.448,20.555,21.937,23.287,24.995,26.311
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.021,21.091,22.22,23.65,25.25,26.848,28.528,30.821,32.847,35.321,37.746
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
