"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"74","67","    Telephone and facsimile equipment","DTCERC1",0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.3,2.7,3,3.4,3.7,4.2,4.8,5.5,5.8,6.2,7.6,8.7,9.4,11.6,13.8,14.1,13.4,13.4,13.9
"75","68","    Postal and delivery services","DPSSRC1",1.4,1.5,1.7,1.9,2,2.1,2.2,2.6,2.7,3,3.3,3.6,4.1,4.7,5,5.4,5.9,6.3,6.8,7.3,7.5,7.5,7.8,7.8,8,8.5,9.2,9.5,9.6,9.8,9.9,9.9,9.7,9.5,9,8.8,8.6,8.9,9.2,9.3,8.6,8.4,8.2
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1",1.4,1.5,1.6,1.8,1.9,2,2.1,2.5,2.6,2.9,3.2,3.5,4,4.7,4.8,5.2,5.6,5.9,6.3,6.7,6.7,6.7,6.8,6.7,6.9,7.2,7.8,8.1,8.2,8.2,8.2,8.1,7.8,7.7,7.2,6.9,6.6,6.7,6.9,6.9,6.5,6.2,6
"77","70","      Other delivery services (by non-USPS facilities)","DODSRC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.8,1.8,1.7,1.8,1.9,2,2.2,2.3,2.4,2.1,2.1,2.2
"78","71","    Telecommunication services","DTCSRC1",9.3,10.1,11,12.4,14.2,15.5,17.7,19.8,21.6,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58.1,60.7,64,71,75,81.3,85.2,92.8,103.1,111.1,120,130.2,137.6,139.8,140.2,143.1,145.9,154.3,159.4,164.4,159.1,161.5,169
"79","72","    Internet access","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.2,0.3,0.4,0.8,1.6,2.7,3.6,5.5,10.1,16.4,18.2,21.9,26.1,28.5,29.9,32.1,38.4,42.9,48,53.7,55.6
"80","73","  Recreation","DRRLRC1",43.7,47,50.1,56.2,63,68.9,77.1,86.2,94.9,106.3,118.9,127.4,141.6,151.4,169.3,190,207.2,225.4,247,273.4,295.7,314.7,326.3,346.8,378.4,414,449.8,481.5,509.5,546,593.6,639.9,655.7,680.9,715.5,770.6,817.7,872,918.7,923.5,881,907,952
"81","74","    Video and audio equipment, computers, and related services","DVPIRC1",9.8,10.5,11,12.4,13.9,15,16.8,18.5,20,21.7,24.1,25.9,28.7,31.1,38.5,44.2,50.8,58.8,65.3,73.2,77.7,81.1,84.6,89.1,98.7,108.6,119.3,128,135.9,150.7,167.9,184.4,189.8,198.1,209.7,233.7,252.5,272.5,291.1,294.6,284.7,295.6,306.6
"82","75","      Video and audio equipment","DVAARC1",7.4,8,8.3,9.4,10.5,11.3,12.6,13.9,14.8,16.2,18.2,19.3,20.6,20.6,24.5,28.1,32.3,36.1,39.5,42.3,43.8,43.7,43,44.6,48.1,53.5,56.8,58.5,58.8,66.1,74.8,83.1,87.7,92.7,94.5,102.3,111,117.4,118.9,119.7,111.2,111.2,114.7
"83","76","      Information processing equipment","DIPERC1",0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,1.7,3.3,3.5,3.3,5.7,6.7,8.8,8.9,9.6,12.5,12.7,16,20.5,25,29.6,34.2,37.6,40.7,44.1,42.1,44.5,50.4,59.4,67,75.3,86.1,84.9,82.4,91.7,94.7
"84","77","      Services related to video and audio goods and computers","DSVCRC1",2.1,2.2,2.3,2.6,2.9,3.2,3.7,4,4.6,4.8,5.3,6,7.3,8.8,10.7,12.7,15.1,17,19,22.1,24.9,27.8,29.1,31.8,34.5,34.6,37.4,39.9,42.9,47,52.5,57.2,60,60.9,64.9,71.9,74.6,79.7,86.1,89.9,91,92.7,97.2
"85","78","    Sports and recreational goods and related services","DODRRC1",11.7,12.1,13.1,15.6,17.5,18.5,21.3,24.6,27.3,30.6,33.8,33.6,36.6,37.9,40.1,46.8,49.6,53.7,59.8,65.1,70.9,74.2,76.5,80.6,87.3,95.5,101.9,107.8,113.4,123.2,135.2,147.9,153.3,159.5,165.8,175.6,186.4,196.8,202.7,197.6,178.8,180.9,192
"86","79","      Sports and recreational vehicles","DWHLRC1",3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17,17.3,16.6,16,15.9,18,20.4,22.5,24.1,26,28.7,31.8,34.9,35.4,36.5,40,43.6,45.7,47,47.3,42.7,33.5,32.2,33.8
"87","80","      Other sporting and recreational goods","DORIRC1",8.3,8.4,8.7,9.9,10.9,12.1,13.6,15.8,16.9,19.3,21.5,23.2,25.5,26.8,28.6,31.9,33.9,36.7,41.8,46.3,51.5,55.4,58.4,62.8,67.2,73,77,81.3,84.8,91.5,99.7,108.7,113.3,118,120.8,126.9,135.4,144.2,149.4,149.3,140.4,143.6,152.7
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1",0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.6,0.6,0.7,0.8,0.8,1.1,1.1,1.3,1.5,1.7,2,2.1,2.1,2,2.1,2.1,2.4,2.4,2.6,3.1,3.6,4.2,4.6,5,5,5,5.3,5.6,5.9,5.6,4.9,5,5.4
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1",6.9,7.6,8.1,8.6,9.4,10.8,12.1,13.2,15,16.6,18.3,20.1,22.6,24.6,27.2,29.4,32,33.9,35.8,40,45.3,49.7,52.1,57.4,61.2,64.2,69.5,74.6,79,83.3,87.3,91.9,94.3,97.5,102.7,108.6,115.2,123.1,131.8,135,131.6,135.1,141.1
"90","83","      Membership clubs and participant sports centers","DMDFRC1",1.6,1.6,1.6,1.7,1.9,2.2,2.6,3.1,3.5,3.7,4,4.5,4.9,5.5,6.4,7.2,8.6,9.9,11,12.1,13.4,14.3,15,16.3,16.8,17.5,18.6,20.3,24.3,25,25.9,26.4,26.6,27.5,28.3,29.8,31.1,32.9,35,35.5,33.7,34.1,35
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1",2.2,2.5,2.8,3.2,3.8,4.3,4.8,5.3,6,6.6,7.3,8.5,9.9,10.5,11.5,11.8,12.8,12.8,13.1,14.9,17.3,19.2,20,23.3,24.6,25.7,28.4,29.3,28.4,29.4,30,31.1,31.3,30.2,32.2,33.8,36.4,39,42.4,44.7,43.2,45.1,48
"92","85","      Admissions to specified spectator amusements","DADMRC1",3,3.2,3.4,3.4,3.4,3.9,4.2,4.3,4.9,5.7,6.2,6.4,6.8,7.7,8.3,9.3,9.3,10,10.3,11.4,12.9,14.4,15.2,15.7,17.5,18.6,20.1,22.4,23.7,26.1,28.1,30.6,32.3,35,37.1,39.5,41.6,45.2,48.4,49,48.9,50.1,51.9
"93","86","        Motion picture theaters","DMOVRC1",1.5,1.6,1.7,1.7,1.6,2,2.2,2.1,2.4,2.8,2.8,2.6,2.7,3.1,3.2,3.4,3.2,3.3,3.4,3.9,4.6,5.1,5.2,4.9,5.1,5.3,5.6,6.1,6.6,7.2,7.9,8.6,9,9.6,9.9,10.1,9.9,10.5,11,11,11.6,11.8,11.6
"94","87","        Live entertainment, excluding sports","DLIGRC1",0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.7,1.8,2.1,2.4,2.7,3.3,3.5,3.8,3.8,4.5,4.7,5.2,6.1,6.5,7,7.5,7.9,8.7,9.5,10.4,11.1,11.9,13,14,15.3,16.6,17.4,17.5,17.4,18,19
"95","88","        Spectator sports","DSPERC1",1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.4,2.7,3.1,3.5,3.3,3.3,3.4,3.7,4.5,4.8,5.3,5.6,6.4,6.8,7.4,8.9,9.2,10.1,10.7,11.6,12.2,13.5,14.3,15.4,16.4,18.1,20,20.5,19.9,20.4,21.3
"96","89","      Museums and libraries","DMUSRC1",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,1.9,2.1,2.3,2.4,2.5,2.5,2.6,2.9,3.3,3.8,4.1,4.8,5.1,5.5,6.1,6.1,5.9,5.9,5.8,5.8,6.2
"97","90","    Magazines, newspapers, books, and stationery","DNBSRC1",8.2,9.1,9.3,9.9,10.7,11.6,12.5,13.4,14.9,17.7,20.6,22.8,25.2,26.9,28.9,31.6,32.7,34.3,37.6,41.2,44.1,47.3,48.8,50.3,53.7,58.4,62.5,66.3,69.9,72.8,77,81,79.8,80.7,81.7,83.7,85.6,87.8,87.6,88.5,87.2,92.5,101.5
"98","91","    Gambling","DGAMRC1",1.5,1.7,1.9,2.2,2.7,3,3.4,3.9,4.4,5.2,5.9,6.7,8.4,9.7,11.1,12.6,14.3,15.5,16.9,19.7,21.3,23.7,24.7,28.1,33.3,39.6,45.4,50.3,54.5,55.9,62.3,67.6,70,74.1,80.7,89,92.9,101.1,105.7,103.8,97.8,98.1,101.5
"99","92","    Pets, pet products, and related services","DPETRC1",2.4,2.7,3,3.1,3.7,4.4,4.8,5.5,6.1,6.5,7.2,8.4,9.7,10.3,11.3,12.2,13.5,13.7,14.8,16,17.2,18.8,19.6,20.6,22.5,24.9,27.3,30,32.5,34.5,37,39.7,41.9,44.6,47.4,51.2,55.6,60.6,66.5,70.6,70.7,73.3,77
"100","93","    Photographic goods and services","DPHORC1",3.1,3.3,3.7,4.2,4.9,5.4,5.7,6.7,6.8,7.5,8.4,9.1,9.5,9.9,11.2,12.2,12.9,14,15.2,16.1,16.7,16.7,16.6,16.8,17.5,18,18.6,18.8,18.6,19.2,19.5,19.7,19.3,19,19.5,19.9,19.8,19.8,21.3,20.8,19.1,19.1,19.6
"101","94","    Package tours \14\","DXHLRC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1,1.1,1.1,1.4,1.5,1.7,2.2,2.6,3.2,3.4,3.9,4.3,4.8,5.2,5.7,5.7,6.4,7.3,7.8,7.4,7.4,8,8.9,9.6,10.4,12.1,12.6,11.2,12.3,12.9
"102","95","  Education","DEDURC1",8.7,9.9,10.9,11.7,13,14.2,15.9,17.4,18.8,20.9,22.9,25.4,28.3,31,34.3,37.7,41.2,44.5,48.8,54.4,60.6,66,70.6,76.4,81.1,86.4,92.3,99.6,107.1,115.2,123.9,134.3,143.6,149.5,159.9,169.8,181.9,194.6,208.6,222.2,233.8,249.9,265.9
"103","96","    Educational books","DEBKRC1",0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7,7.3,7.9,8.6,9,9.2,9.7,10.4,10.9,11.5,12.2,12.9,13,12.6,12.9,13.7
"104","97","    Higher education","DHEDRC1",4.5,5.2,5.9,6.5,7.1,7.6,8.2,8.9,9.6,10.3,11.4,12.9,14.8,17,18.8,20.5,22.3,24.1,26.1,28.5,31.5,34.7,38.4,42.3,45.4,48.6,51.9,56.4,61.3,66,70.8,76.8,82.9,87,94.4,101.2,108.7,116.6,125,134.3,145,156.7,167.5
"105","98","    Nursery, elementary, and secondary schools","DNEHRC1",2.2,2.4,2.7,2.9,3.3,3.9,4.4,4.6,4.8,5.6,6,6.7,7,7.2,7.9,8.7,9.5,10,10.9,11.9,13.6,14.8,15.6,16.7,17.3,18.1,19.2,20.1,20.7,21.5,22.8,24.1,25.7,26.9,28.3,29.9,31.7,33.7,36,38,38.8,39.4,41.4
"106","99","    Commercial and vocational schools \15\","DVEDRC1",1.4,1.5,1.6,1.6,1.8,1.9,2.4,3,3.3,3.7,3.9,4.2,4.5,4.6,5.1,5.5,6.2,6.7,7.5,9.5,10.6,11.1,11.1,11.8,12.3,13.1,14.4,16.2,17.8,19.9,21.8,24.3,25.8,26,26.8,27.8,29.9,32.1,34.7,37,37.5,40.9,43.3
"107","100","  Food services and accommodations","DFSARC1",37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.6,308.7,316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,464.2,499.1,533.9,570.2,600.5,618.3,607.2,631,670.9
"108","101","    Food services","DFSERC1",34.7,38.6,40.7,45,50.5,55.9,63.5,71.6,78.8,89.2,101.7,111.5,122,129.8,139.7,148.8,156.2,167.5,182.3,201.6,216.7,235.1,244.2,254.1,265.9,273.8,280.2,287.5,299.7,315.7,331.6,354.9,368.7,384.3,406.4,434.4,461.3,490.4,514.8,529.2,523.8,541,573.4
"109","102","      Purchased meals and beverages \16\","DPMBRC1",32.7,36.5,38.7,43,48.3,53.2,60.4,68,75,85,96.7,105.9,115.9,123.3,133.3,142.4,150,161.5,176.6,195.6,210.2,228.3,237.3,247.1,258.6,266.2,272.4,279.5,291.5,307.3,322.9,346,359.6,374.9,396.2,423.7,449.5,477,500.7,514.9,508.9,526.5,557.6
"110","103","      Food furnished to employees (including military)","DFOORC1",2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.1,10.7,11.8,13.4,14.1,14.3,14.9,14.6,15.8
"111","104","    Accommodations \17\","DACCRC1",2.7,3,3.1,3.9,4.3,4.7,5.3,6.2,6.9,7.9,9.3,10.3,11.9,12.7,13.9,16.1,18.1,19.2,22,24.2,25.9,27.6,29.2,32.2,32.7,34.9,36.6,39.9,44.9,47.3,50,55.2,52.5,53.9,57.8,64.7,72.7,79.8,85.7,89.1,83.5,90,97.5
"112","105","  Financial services and insurance","DIFSRC1",28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,180.5,196.7,207.1,219.4,235.7,253.2,282,311.8,341,349,364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,602.5,651.7,698.4,732.6,790.3,807,741.8,796.3,807.1
"113","106","    Financial services","DFNLRC1",14.1,15.3,17.1,18.9,20.3,23.7,30.1,32.2,35.8,43.1,47.2,51.7,54.1,62.1,87.2,90,107.5,123.9,135,134,136,141.5,158.1,178.5,193.2,200.6,212.5,237.9,267,295.2,331.2,370,358.1,366.4,371.6,400.7,424,453.3,501.8,524.9,477.3,512.5,518.1
"114","107","      Financial services furnished without payment","DIMPRC1",9.1,10.9,11.8,13.2,15.1,18.6,24.1,25,28.2,34.2,37,38.2,38.7,42.7,62.7,64.3,76.7,85.4,92.4,93.1,89.7,93,103.6,116.2,120.7,126.8,130.6,143.9,159.7,170.3,182.3,195.4,195,198.3,193.7,212.5,219.9,224.6,250.8,273.2,250.9,283.4,283.7
"115","108","      Financial service charges, fees, and commissions","DOFIRC1",5,4.4,5.3,5.8,5.2,5,6.1,7.2,7.6,9,10.2,13.5,15.5,19.4,24.4,25.8,30.7,38.5,42.7,40.9,46.3,48.5,54.5,62.3,72.4,73.8,81.9,94,107.4,125,148.9,174.6,163.1,168.2,177.9,188.3,204.1,228.7,250.9,251.7,226.5,229.1,234.4
"116","109","    Insurance","DINSRC1",14.4,15.7,17.1,19.4,21.2,22.2,23.9,27,32,37.5,40.4,43.9,47.9,54.3,58.7,66.5,73,72.8,72.1,85.4,99.8,111.7,123.8,133.3,147.9,148.5,152.2,155.7,164.3,174.4,183,199.9,204.7,209.7,230.8,251,274.4,279.3,288.5,282.1,264.4,283.8,289
"117","110","      Life insurance \18\","DLIFRC1",6.3,6.9,6.9,7.5,8.4,9.1,10,11.9,13.3,15.3,16.9,19.1,20.5,22.8,23.5,25,28.3,28.8,28.1,33.5,38.6,42.3,51.8,53.6,59.2,54.6,54.3,52,55.2,56,56.9,65,61.9,58.8,60.3,70.8,76.6,81.1,83.8,82.4,75.3,82.5,85.6
"118","111","      Net household insurance \19\","DFINRC1",0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.6,2.5,2.4,2.3,2.3,2.5,2.6,2.9,2.9,3.4,3.6,3.8,4.2,4.3,4.9,5.8,6.2,6.1,7.4,8,7.3,7.5,7.9
"119","112","      Net health insurance","DHINRC1",4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50.1,56,58.6,60.7,64.1,68.4,74.7,79.2,88.1,94.1,101,116.6,120.9,134,135.2,135.6,130,122.2,135.3,136.4
"120","113","        Medical care and hospitalization \20\","DMINRC1",1.9,2.1,2.6,3.5,3.6,3.6,3.2,3.6,5.4,6.4,7.2,7.6,9.1,11.8,14.5,18.9,20.6,16.5,14.1,18.9,26,31.8,34.1,38.4,43.4,46.3,47.9,49.3,51,57.3,62.1,69.2,73.8,80.9,94.6,97.5,106.9,106.2,105,102.1,97.3,114.3,117.3
"121","114","        Income loss \21\","DIINRC1",1.2,1.1,1.3,1.6,1.7,1.7,2.2,2.2,2.4,3.4,2.3,1.9,1.9,2.5,2.1,2.1,2.1,2.4,2.2,2.5,2.4,2.6,1.8,2.1,1.5,1.8,1.4,1.1,1.2,1.4,1.5,1.7,1.8,2,2.1,2.2,2.4,2.5,2.7,2.8,2.8,2.7,2.8
"122","115","        Workers' compensation \22\","DPWCRC1",1,1.2,1.3,1.3,1.4,1.6,1.9,2.3,2.7,3.1,3.6,4.1,4.5,4.6,5,5.5,5.7,6.7,7.2,7.7,8.3,9,9.2,9.5,11.1,10.5,11.5,13.7,16.2,16,15.6,17.2,18.5,18,19.9,21.2,24.7,26.4,27.9,25.1,22.1,18.3,16.3
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1",3.7,4.1,4.6,5.1,5.6,5.7,5.9,6.4,7.3,8.3,9.3,10,10.5,11.2,12.2,13.4,14.7,16.6,18.3,20.4,22.1,23.5,24.4,27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43.1,44.4,45.7,49.1,53.5,57.6,57,61.8,61.7,59.7,58.5,59.1
"124","117","  Other goods and services","DOISRC1",41,44.3,47,51,56.9,62.2,67.8,76.3,83.8,93.2,100.4,110.7,121.2,127.8,143.4,157.7,173.3,190,208.2,225.4,245.7,262.3,268,290.1,304.5,316.9,332.7,350.8,368.4,394.8,431.6,462.3,483.5,504.3,531.2,558.9,587,617.9,649.9,666.6,668.9,693.7,723.6
"125","118","    Personal care \24\","DPCRRC1",12.5,13.2,13.5,14.3,15.8,17.2,18.8,20.6,23.5,26.1,28.6,30.8,33.1,34.5,39.9,43.3,47.5,51.9,56.7,62.5,67.4,72.4,71.7,77,81.6,87.3,93.8,99.7,106.2,113.7,122.6,132.2,137.5,143.3,150.1,159.3,167.8,175.9,182.5,187.5,185.2,191.3,203.4
"126","119","    Personal items \25\","DPEORC1",6.4,6.7,7.4,8,9.6,11,12.5,14.9,16.4,18,18.6,20.2,21,20.3,22.8,25.8,27.5,31.5,34.3,37,38.8,40,40.1,42.2,44.7,46.9,48.7,50.9,51,54.3,59.7,63.7,61.5,63.4,67.5,73.2,78.6,86.1,92.1,90.8,85.1,89.7,98.1
"127","120","    Social services and religious activities \26\","DSOCRC1",3.6,3.9,4.4,5.1,5.5,5.9,6.5,7.5,8.6,10,11.9,14,16.1,17.9,19.6,21.8,25.1,28,31.4,33.9,38.6,41.2,43.5,47.5,51.1,54.4,58.1,61.1,64.6,70.3,76.7,85,93.9,100.8,107.3,113.9,121,128.5,137.8,144,147.4,153.5,159.1
"128","121","    Professional and other services","DPRSRC1",8.6,9.7,10.4,11.4,12.7,14,14.9,16.5,18.3,20.7,22.1,24.8,28.2,30.8,33.6,37.5,42.4,46.4,51.2,57.3,62.2,67.7,70.2,75.3,78.4,80.9,82.8,87.6,92.8,100.1,107.2,113,120.9,126.6,136.6,142,148.6,155.1,163.8,168.5,163.2,164.6,166.9
"129","122","      Legal services","DGALRC1",4.2,5,5.5,6,7,7.7,8,8.8,9.7,11.1,11.7,13.2,15.5,17.2,18.9,21.5,24.6,27.3,30.9,34.7,37.7,41,41.8,44.9,46.2,47,47.4,50.6,53.9,57.9,62.2,65.4,70.1,73.9,80.3,83.7,87.2,91.7,96.8,98.9,96.4,97.7,98.1
"130","123","      Accounting and other business services \27\","DPRORC1",0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.2,2.3,2.4,2.9,3.1,3.5,3.7,4,4.8,5.7,6.5,7.1,7.7,8.6,9.9,10.2,11,12,13.8,15.5,17.2,18.6,20,21.5,23.5,25.3,26.6,29.2,31,28.5,27.9,29.1
"131","124","      Labor organization dues","DUNSRC1",1.2,1.3,1.3,1.5,1.7,2,2.2,2.5,2.8,3.1,3.5,4,4.4,4.9,5,5.5,6,6.6,6.9,7.4,7.8,8.3,8.7,9.1,9.3,9.5,9.8,10.1,10.6,10.3,10.3,10.2,10.2,10,10.4,10.6,10.7,11.1,11.4,12,12,11.9,11.9
"132","125","      Professional association dues","DAXSRC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.8,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.2,2.4,2.5,2.6,2.8,2.9,3.1,3.2,3.4,3.7,4.1,4.5,4.9,5.4,5.8,6.1,6.5,7.1,7.6,7.5,7.7,8,8.3
"133","126","      Funeral and burial services","DFUNRC1",2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.3,3.5,3.8,4,4.5,4.8,5.1,5.4,6,6.8,7.1,7.5,8.3,8.8,9.5,10.1,11,11.5,11.6,12.4,12.7,13,14.3,15.1,15.8,17.1,17.3,18.6,18.2,18.9,18.6,18.7,19.1,18.6,19.1,19.5
"134","127","    Tobacco","DTOBRC1",9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,56.4,65.5,68.5,69.7,70.1,69.7,70.4,71.1,72.3,73.7,75.7,87.9,94.5,96.1
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1",4,4.5,4.8,5.2,4.7,4.7,4.4,3.8,4.3,4.3,4.1,3.5,0.4,2.5,5.4,6.6,7.7,3.3,6.1,2.8,-3.7,-7.7,-15.2,-20,-20.7,-17.5,-21.5,-24.5,-21.5,-13.7,-13.8,-13.3,-7.4,-5.1,-0.5,0.6,0,3.8,-3.2,-16.3,-11.6,-16.3,-23.8
"136","129","    Foreign travel by U.S. residents","DFTRRC1",4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,46,48.8,53.3,54.7,58.4,64.6,71,75.4,84.3,80.6,78.1,80.5,92.3,99.8,108.5,113.9,119.8,107.1,114.8,120.8
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1",2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.7,22.4,23.3,27.5,30.9,37.1,44.8,53,59.2,66.9,70.6,72.2,77.7,84.7,89,88,92.3,100.8,91.4,87.3,85.7,96.7,104.7,110.1,123.1,142.5,126.5,137.6,152.7
"138","131","    Net expenditures abroad by U.S. residents","DNFRRC1",1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,1.1,1.3,1.6,1.7,3,3.2,3.1,3.2,3.4,4,4.8,5,5,5.3,6.1,6.5,7.8,6.5,8.1
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1",10.1,11.1,12.3,13.6,14.6,16.4,18.1,20.1,21.8,24.5,27.8,31.9,36.3,40.1,42.9,47.6,50.3,55.4,58.5,66.8,71.7,79.6,84.2,92.3,94.6,102.4,107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.3,209.4,211.7,240,253.9,284.6,279.5,279.7,291.9
"140","133","  Gross output of nonprofit institutions \29\","DNPERC1",34.6,38.7,43.4,48.2,52.7,59.7,68.2,77.4,86.3,98.1,111,128,147.8,165.9,181.4,196.6,211.7,230.1,249.7,279,304.9,338.2,367,400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.9,827.6,874.3,935.2,989.4,1046.5,1078.7,1113.4,1164.5
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRC1",24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574.7,618.2,662.6,695.2,735.5,761.9,799.2,833.7,872.5
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
