"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"72","62","      Other private business","B2078C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5
"73","63","    Households and nonprofit institutions","W314RC1",35.6,43.9,49,54.1,59,68.3,84.2,88,98.2,112.8,119,139.2,158.8,188.6,233,250.2,287.4,315.8,342.3,360.2,386.2,406.1,420.7,440.5,457.1,467.4,502.6,509.2,548.5,555.3,571.2,605.1,597.3,598.3,612.2,630.7,660.8,697.9,745.8,786.7,799.4,796.1,818.4,831.4,856.7,871.2
"74","64","      Households","W315RC1",35.5,43.9,49,54,59,68.2,84.2,87.9,98.1,112.6,118.8,139.1,158.6,188.4,232.7,249.8,286.9,314.9,341.4,359.3,385.3,405.2,419.8,439.5,456,466.1,501.4,508.1,547.4,554.1,570,603.9,596.1,597,610.8,629.4,659.5,696.6,744.6,785.5,798.5,795.2,817.4,830.4,855.6,870.2
"75","65","        Owner-occupied housing","W316RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.3,1.3,1.4,1.4
"76","66","        Persons","A1147C1",35.5,43.9,48.9,53.9,58.9,68.1,84,87.8,98,112.5,118.6,138.8,158.4,188.1,232.3,249.4,286.4,314.4,340.8,358.7,384.6,404.5,419,438.7,455.1,465.2,500.5,507.1,546.3,553,568.9,602.8,594.9,595.8,609.5,628.1,658.2,695.3,743.2,784.1,797.3,794,816.1,829.1,854.3,868.8
"77","67","          From banks, credit agencies, and investment companies","B1611C1",7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.5,69.5,72.7,74.4,76.1,75.2,71.8,74.2,86.9,96.3,104.2,106,109.7,117.1,125.6,133.1,143.2,137.3,140.9,145.1,159.2,171.5,171.5,180.7,187.5,179.3,191.3,200.6,197.5,214,235.2
"78","68","          From life insurance carriers","B1612C1",8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,91.9,103.6,112.3,118.1,120.3,128.9,121.2,143.1,147.5,173.7,179,189.5,212.7,195.6,172.5,171.4,177.6,196.2,227.5,255.4,250.8,238.1,235.2,242.2,249,258.8,264.3
"79","69","          From property and casualty insurance companies","W356RC1",0.4,0.5,0.7,0.7,0.8,0.9,1,1.3,1.5,1.8,2.1,2.4,2.8,3.1,3.8,4.4,5.4,6.7,7.8,8.5,9.2,10,10.4,10.6,11.5,11.5,11.2,11.7,11.6,12,11.7,12.9,13.1,12.1,12.1,11.5,11.5,11.3,11.1,10.4,8.6,6.6,7.1,7.2,7.5,7.8
"80","70","          From employee pension plans \6\","Y394RC1",19.8,25.7,28.8,32.1,35.2,39.9,46.7,50.4,55.7,63.5,69.8,82.9,97.6,114.2,127,138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240.1,238.1,243.9,236.4,234.5,233.9,248.9,270.3,280.9,279.8,279,284.9,296,335.4,371.3,360.9,366.2,375.4,374,361.4
"81","71","      Nonprofit institutions","W317RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.2,1.2,1,0.9,1,1,1,1
"82","72","    Government","A2079C1",1.4,1.9,2.3,2.4,2.3,2.5,3.3,3.1,3.3,2.6,1.8,1.3,0.9,2.4,3.4,2.8,5.5,6,4.6,4.3,4.2,3.8,4.3,4,4.1,4.3,4.7,4.8,4.9,5,5.8,5.9,4.7,5,5.4,5.4,5.7,6,6,5.5,4.6,5,5.5,5.4,5.3,5.9
"83","73","      Federal","B1148C1",0.6,0.8,1.1,1.3,1.3,1.2,1.4,1.7,1.7,1.2,0.8,0.5,0.4,0.9,0.8,0.5,1.1,1.8,0.9,0.8,0.8,0.9,1.6,1.1,0.8,0.7,0.6,0.6,0.6,0.5,1.1,1.1,0.2,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
"84","74","      State and local","B1149C1",0.8,1,1.2,1.2,1.1,1.2,1.9,1.4,1.6,1.4,1,0.8,0.5,1.5,2.6,2.3,4.4,4.2,3.6,3.5,3.4,2.9,2.7,2.9,3.2,3.7,4.1,4.2,4.3,4.5,4.7,4.9,4.5,4.5,5,5.3,5.6,5.9,5.8,5.3,4.4,4.8,5.3,5.2,5,5.6
"85","75","    Rest of the world","W357RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,5.8,5.1,5.1,5,4.4,4.3,5.4,6.7,7.9,7.8,7,6.8,6.3,5.7,6,4.9,5.1,5.6,6.2,5.9,6.8,6.7,7.8,7.9,7.8,8.6,8.6,7.7,8.2
"86",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","76","  Imputed interest paid","W358RC1",-7.8,-7.1,-5.5,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.4,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-21.7,-18.4,-19.4,-23.5,-28.8,-31.4,-30.4,-29.8,-31.1,-35.4,-38.4,-44.5,-52.5,-61,-69.8,-81.8,-84,-82.1,-84.5,-89.2,-102.2,-122.7,-143.5,-139.1,-122.1,-123.2,-120.7,-133.9,-150.4,-161.8
"88","77","    Domestic business \1\","W296RC1",-4.6,-4.4,-3.5,-3.9,-7,-8.6,-2.3,-6.6,-8.4,-12.7,-19.3,-24.5,-30.6,-22.7,-9.6,-19.7,-11.9,-10,-11.2,-13.8,-16.3,-17.8,-16.9,-16.5,-16.9,-19.2,-20.2,-22.8,-27.2,-32.8,-38.2,-44.9,-46.5,-44.5,-44,-45,-50.5,-60.5,-73.3,-76.9,-67.1,-63.6,-63.3,-70.3,-80,-86.4
"89","78","      Corporate business","W297RC1",-3.8,-3.7,-3,-3.3,-5.8,-6.9,-1.8,-5,-6.4,-9.6,-14.4,-18.2,-23.2,-17.7,-7.7,-15.9,-9.3,-7.8,-9.2,-11.4,-13.2,-14.4,-13.3,-13.2,-13.6,-15.6,-16.2,-18.2,-21.6,-26.1,-30.3,-35.3,-36.4,-34.2,-33.6,-34.2,-37.6,-43.8,-52.7,-56.8,-48.4,-46.2,-44.9,-48.7,-55,-59.1
"90","79","        Financial","W298RC1",-0.6,-0.6,-0.5,-0.6,-1.1,-1.2,-0.3,-0.7,-0.9,-1.3,-2,-2.2,-2.9,-2,-0.9,-1.8,-1.1,-0.7,-0.3,-0.5,-0.5,-0.9,-1.5,-2.1,-1.6,-1.4,-1.3,-1.3,-2.3,-2.8,-3.6,-4.5,-5.5,-6.3,-5.9,-7.3,-7.3,-9,-11.4,-10.9,-6.9,-7.2,-7.4,-8.4,-9.2,-9.8
"91","80","        Nonfinancial","W300RC1",-3.2,-3.1,-2.5,-2.7,-4.7,-5.6,-1.5,-4.4,-5.5,-8.2,-12.4,-16,-20.3,-15.7,-6.8,-14.1,-8.2,-7.1,-8.8,-10.9,-12.7,-13.5,-11.9,-11.1,-12,-14.1,-15,-16.8,-19.3,-23.3,-26.7,-30.8,-30.9,-27.9,-27.8,-27,-30.3,-34.8,-41.3,-45.9,-41.5,-39,-37.5,-40.3,-45.7,-49.4
"92","81","      Sole proprietorships and partnerships","W301RC1",-0.6,-0.5,-0.4,-0.5,-0.9,-1.4,-0.4,-1.3,-1.6,-2.5,-4.1,-5.2,-6.3,-4.2,-1.6,-3.2,-1.6,-1.3,-1.2,-1.4,-1.8,-2,-2.1,-2.1,-2.2,-2.5,-2.7,-3.3,-4.2,-5.1,-6.1,-7.5,-8.1,-8.2,-8.1,-8.3,-10,-13.4,-16.8,-16.6,-15.6,-14.3,-15.3,-18.2,-21.1,-23.2
"93","82","        Farm","W302RC1",-0.3,-0.3,-0.2,-0.2,-0.4,-0.5,-0.1,-0.5,-0.6,-0.9,-1.2,-1.5,-1.8,-1.3,-0.5,-1.1,-0.4,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.9,-1,-0.9,-0.9,-0.9,-0.9,-1,-1.2,-1.3
"94","83","        Nonfarm","W303RC1",-0.3,-0.3,-0.2,-0.2,-0.5,-0.9,-0.3,-0.8,-1,-1.7,-2.8,-3.6,-4.5,-2.9,-1.1,-2.2,-1.3,-1,-1,-1.1,-1.5,-1.6,-1.7,-1.7,-1.8,-2,-2.2,-2.7,-3.6,-4.4,-5.4,-6.7,-7.3,-7.5,-7.4,-7.6,-9.3,-12.5,-15.8,-15.7,-14.7,-13.4,-14.4,-17.1,-20,-21.9
"95","84","      Other private business","W304RC1",-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.1,-0.3,-0.4,-0.6,-0.9,-1,-1.2,-0.8,-0.3,-0.6,-1,-0.9,-0.8,-1,-1.3,-1.5,-1.5,-1.3,-1.2,-1.2,-1.2,-1.4,-1.5,-1.6,-1.8,-2.1,-2.1,-2.1,-2.3,-2.5,-2.9,-3.3,-3.8,-3.5,-3.2,-3.2,-3.1,-3.5,-3.9,-4.1
"96","85","        Rental income of persons and proprietors' income","W304RC1",-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.1,-0.3,-0.4,-0.6,-0.9,-1,-1.2,-0.8,-0.3,-0.6,-1,-0.9,-0.8,-1,-1.3,-1.5,-1.5,-1.3,-1.2,-1.2,-1.2,-1.4,-1.5,-1.6,-1.8,-2.1,-2.1,-2.1,-2.3,-2.5,-2.9,-3.3,-3.8,-3.5,-3.2,-3.2,-3.1,-3.5,-3.9,-4.1
"97","86","    Households and nonprofit institutions","W305RC1",-2.6,-2.4,-1.9,-2.3,-3.9,-4.6,-1.3,-4.1,-5.5,-8.6,-13.2,-16.5,-19.3,-13.3,-5.5,-11,-9.4,-8.2,-7.9,-9.4,-12.1,-13.2,-13.1,-12.8,-13.6,-15.6,-17.7,-20.9,-24.4,-27.1,-30.3,-35.4,-36,-36.1,-39.1,-42.8,-50,-60,-67.8,-59.6,-52.5,-57,-53.4,-58.2,-63.7,-67.3
"98","87","      Households","W306RC1",-2.5,-2.3,-1.9,-2.2,-3.8,-4.5,-1.2,-4,-5.4,-8.4,-12.9,-16,-18.7,-12.9,-5.3,-10.5,-9,-7.8,-7.5,-8.9,-11.5,-12.6,-12.5,-12.2,-13.1,-15,-17,-20.2,-23.5,-26.1,-29.2,-34,-34.5,-34.6,-37.5,-41.1,-48,-57.5,-64.9,-56.9,-49.9,-54.4,-51,-55.7,-60.8,-64.2
"99","88","        Owner-occupied housing","W307RC1",-0.8,-0.7,-0.6,-0.7,-1.2,-1.4,-0.4,-1.2,-1.7,-2.8,-4.5,-5.9,-7.1,-5,-2,-3.9,-5.7,-4.8,-4.6,-5.6,-7.3,-8.2,-8.1,-8,-8.5,-9.5,-10.7,-12.6,-14.9,-17,-19.4,-23.3,-23.8,-24.2,-27.1,-29.8,-35.9,-43.5,-48.9,-42.1,-36.5,-35.3,-33.1,-35.5,-37.4,-37.1
"100","89","        Persons","W308RC1",-1.7,-1.6,-1.3,-1.5,-2.6,-3,-0.8,-2.7,-3.6,-5.6,-8.3,-10.1,-11.6,-7.9,-3.3,-6.7,-3.3,-3,-2.9,-3.4,-4.2,-4.4,-4.4,-4.2,-4.5,-5.5,-6.3,-7.6,-8.6,-9.1,-9.7,-10.7,-10.7,-10.3,-10.4,-11.2,-12,-14,-16,-14.8,-13.4,-19.1,-17.9,-20.2,-23.5,-27.1
"101","90","      Nonprofit institutions","W309RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.5,-0.2,-0.4,-0.4,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.8,-0.9,-1.1,-1.4,-1.5,-1.5,-1.6,-1.7,-2,-2.5,-2.9,-2.8,-2.7,-2.6,-2.4,-2.5,-2.9,-3.1
"102","91","    Government","W310RC1",-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.6,-0.8,-0.8,-0.9,-1,-1.1,-1.5,-2,-2.4
"103","92","      Federal","W311RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","93","      State and local","W312RC1",-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.6,-0.8,-0.8,-0.9,-1,-1.1,-1.5,-2,-2.4
"105","94","    Rest of the world","W313RC1",-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.7,-0.8,-1,-1.2,-1.2,-1.1,-1.1,-1,-1.2,-1.6,-1.6,-1.8,-1.5,-1.6,-2.9,-3.8,-4.8,-5.7
"106","95","  Imputed interest received","W360RC1",-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-21.7,-18.4,-19.4,-23.5,-28.8,-31.4,-30.4,-29.8,-31.1,-35.4,-38.4,-44.5,-52.5,-61,-69.8,-81.8,-84,-82.1,-84.5,-89.2,-102.2,-122.7,-143.5,-139.1,-122.1,-123.2,-120.7,-133.9,-150.4,-161.8
"107","96","    Domestic corporate business, financial","W361RC1",-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-21.7,-18.4,-19.4,-23.5,-28.8,-31.4,-30.4,-29.8,-31.1,-35.4,-38.4,-44.5,-52.5,-61,-69.8,-81.8,-84,-82.1,-84.5,-89.2,-102.2,-122.7,-143.5,-139.1,-122.1,-123.2,-120.7,-133.9,-150.4,-161.8
"108","97","      Banks, credit agencies, and investment companies","W362RC1",-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-21.7,-18.4,-19.4,-23.5,-28.8,-31.4,-30.4,-29.8,-31.1,-35.4,-38.4,-44.5,-52.5,-61,-69.8,-81.8,-84,-82.1,-84.5,-89.2,-102.2,-122.7,-143.5,-139.1,-122.1,-123.2,-120.7,-133.9,-150.4,-161.8
"109",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","98","  Net interest (99+103+104+105)","B060RC1",32.5,39.2,43.8,47.8,55.5,71.4,83.6,87.5,103.4,115.9,137,180,230.6,268.9,283.2,326.2,338.1,355.7,361.1,387.5,435.6,442.4,400.2,375.5,363.1,357.9,369,373.1,405.4,469,478.8,552.4,551.6,477.5,451.5,386.4,477.3,560.6,640.8,667.5,545.1,470.2,466.4,505.2,491.9,508.5
"111","99","    Domestic business (2+42+77-26-55-96)","A1626C1",17.9,23.4,25.1,26.9,32.8,44.7,51.7,49.6,58,64.9,77.1,106.7,140.2,160.7,162.3,193,203.9,212.5,214.8,233.1,273.6,264.7,219.4,189,180.4,181.6,182.7,184.9,216.1,270.1,271.3,333,320.6,234.9,207.4,156.6,233.5,306.4,385.1,408,301,252.1,268.1,334,342.7,357.2
"112","100","      Corporate (3+42+78-27-56-96)","W499RC1",7.5,11.4,11.4,11.2,13.3,21.3,25.4,20.8,25.6,28.4,33,53.8,75.5,87.4,83.8,97.3,96.8,95.9,99.3,106.1,127.1,119.9,80.7,63.6,62.5,59.5,63.2,61.7,84.2,125.2,131.4,174.1,155.6,94.7,72.7,22.1,53.5,99.8,150.3,208.6,139.3,109.9,127.5,186.8,194.6,202.6
"113","101","      Sole proprietorships and partnerships (8+81-30-59)","B1649C1",5.1,6,7.2,8.4,11.2,14,15.5,17.1,19.3,22.1,28.1,34.8,44.5,51.3,54.7,69.3,77.5,83,79.3,88.2,104.5,101.4,94.7,85.3,82.5,88.7,86.6,91.4,100.3,113.4,107.6,124.6,130.6,106.1,101.8,101,143.7,167.2,191.6,152.4,115.4,98.6,98.3,105.8,107.6,112.6
"114","102","      Other private business (11+84-31-62)","B1657C1",5.3,5.9,6.6,7.3,8.3,9.4,10.9,11.8,13.1,14.4,16,18.1,20.2,22.1,23.8,26.4,29.5,33.6,36.2,38.8,42,43.4,44,40.1,35.4,33.4,32.9,31.8,31.6,31.5,32.3,34.3,34.4,34.1,33,33.5,36.3,39.4,43.3,47,46.2,43.6,42.3,41.4,40.5,42.1
"115","103","    Owner-occupied housing (16+88-65)","W318RC1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,139.3,155.2,166.4,177.6,192,205.6,211.2,213.4,210,213.1,232.3,239.3,252.8,262.8,279.1,305.8,326.3,329.3,320.3,322.1,365.7,418.6,460.6,470.3,430.1,388.5,355.2,326,295.5,288.2
"116","104","    Nonprofit institutions (18+90)","B1131C1",0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.7,9.1,10.3,11.1,11.2,11.7,12.2,14.3,13.2,14.1,15,15.6,16,16.2,16.2,16.1,15.7,15,14.3,13.5,12.8,12.3,12.2,11.5,10.8,10.2,9.4,9.1,8.8
"117","105","    Rest of the world (22+53+94-36-75)","A1627C1",-0.5,-0.7,-0.3,-1,-2.3,-1.9,-1.6,0.3,1.2,-1.2,-2.6,-1.2,3.4,4.1,2.2,-0.1,-12.5,-20.7,-29.2,-33.5,-41.1,-39.1,-42.1,-39.1,-41.6,-50.1,-60.1,-66.1,-79.1,-80,-87.7,-102.6,-111.4,-102.4,-91.3,-106.7,-135.4,-177.2,-217.3,-223,-197.5,-181.2,-167.2,-164.1,-155.4,-145.7
"118","106","  Net interest paid by government (19+50+91-33-72)","A085RC1",28,33.9,36.9,40.5,45.5,49.7,55.1,62.2,68.3,79.4,87.7,98.8,119.4,135.4,149.1,171.6,185.3,194.6,207.7,219,243.8,259.8,283.3,299.5,304.8,314.4,344.5,342.1,343.1,334.7,314.3,300.2,297.4,301.3,326.9,333.5,362,379,403.4,404.5,445.2,474.1,523.9,543,535.3,539.3
"119","107","  Personal interest payments (17+89)","B069RC1",14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.2,49.2,59.3,68.8,76.6,92,99,98.9,103.1,114.8,120.1,121.8,118.1,116,122,142.6,159.1,172.1,183.4,190.2,217.5,223.2,213,209.8,221.8,248.8,275.1,305.9,289.6,273.9,250.8,241.4,240.6,244.2,254.2
"120","108","  Personal interest income (98+106+107) or (32+66+71)","A064RC1",74.4,88.3,97.3,106.5,120.8,142.2,162.4,173.6,198.7,227.3,260.9,322,399.2,463.7,501,574.4,615.4,649.3,667.7,709.6,794.2,822.4,805.3,793.1,783.9,794.2,856,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1264.3,1195,1231.6,1288.8,1271.3,1302
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Excludes interest paid or received by government enterprises, which is included in the government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings banks, savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","4. Includes monetary interest received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","5. Interest received by nonfinancial sole proprietorships and partnerships is considered interest received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","6. Includes interest imputed to persons from employee pension plans and imputed interest income attributable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","to under- or over-funded defined benefit employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","7. Consists of the imputed interest attributable to the under- or over-funded defined benefit employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","pension plans of other financial entities, including those establishments providing nondepository credit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","intermediation services; securities, commodity contracts, and other financial investment services; insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","brokerage, and related services; and real estate investment trust services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","8. Consists of the imputed interest attributable to the under- or over-funded defined benefit employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Note. In this table, imputed interest paid (line 39) is the sum of (1) premium supplements paid to property",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","and casualty insurance carriers by households and institutions, governments, domestic business, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
