"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"60","53","        Bicycles and accessories","DBCYRG3",37.349,37.687,38.006,38.353,38.656,38.1,37.915,38.384,39.385,40.593,42.052,42.835,44.354,45.78,48.135,52.435,56.335,57.21,57.968,59.621,63.562,69.789,74.219,77.224,77.825,80.651,82.911,82.075,81.807,84.183,86.596,88.698,90.181,91.774,92.084,93.063,95.045,95.06,93.921,94.107,96.655,98.304,99.764,98.99,97.789,98.199,100,103.575,103.949,105.058,105.575,106.518,110.392
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRG3",25.347,26.166,25.951,26.27,26.743,27.199,27.51,28.154,28.947,30.036,31.487,29.349,34.818,36.595,38.718,44.453,49.787,52.29,56.072,59.583,63.423,69.811,74.238,77.184,77.815,80.638,82.855,82.002,81.769,84.237,86.598,88.679,90.162,91.763,92.071,93.086,95.029,95.015,93.915,94.126,96.655,98.27,99.756,98.977,97.748,98.202,100,103.584,103.975,105.018,105.59,106.538,110.422
"62","55","          Pleasure boats","DBOARG3",25.329,26.142,25.939,26.245,26.729,27.187,27.493,28.139,28.918,30.001,31.485,29.351,34.725,36.582,38.753,44.257,49.686,52.257,56.075,59.577,63.438,69.79,74.221,77.171,77.834,80.63,82.867,81.936,81.749,84.215,86.599,88.663,90.154,91.748,92.055,93.087,95.006,94.985,93.906,94.096,96.641,98.259,99.745,98.968,97.707,98.227,100,103.607,103.982,105.043,105.59,106.53,110.425
"63","56","          Pleasure aircraft","DAIRRG3",25.328,26.156,25.925,26.23,26.718,27.157,27.508,28.128,28.939,30.03,31.486,29.331,34.653,36.568,38.879,44.356,49.702,52.267,56.091,59.569,63.414,69.762,74.202,77.161,77.832,80.619,82.857,81.935,81.743,84.251,86.611,88.683,90.169,91.749,92.05,93.06,95.016,95.011,93.906,94.119,96.636,98.288,99.74,98.946,97.715,98.137,100,103.644,103.991,105.035,105.597,106.55,110.421
"64","57","          Other recreational vehicles","DREVRG3",25.338,26.177,25.929,26.299,26.726,27.178,27.494,28.136,28.955,30.053,31.456,29.319,34.886,36.578,38.634,44.654,49.886,52.321,56.07,59.592,63.412,69.846,74.266,77.207,77.806,80.657,82.853,82.074,81.793,84.256,86.594,88.693,90.17,91.778,92.086,93.093,95.05,95.041,93.923,94.15,96.668,98.277,99.766,98.987,97.785,98.186,100,103.556,103.968,104.992,105.595,106.551,110.42
"65","58","      Recreational books (part of 90)","DRBKRG3",16.347,16.435,16.56,16.671,16.907,16.458,16.801,17.359,17.844,18.766,19.961,21.079,22.34,23.435,24.122,24.584,29.176,32.99,36.068,39.404,42.555,46.752,51.653,57.51,61.72,62.973,67.519,70.586,72.068,74.353,77.066,81.387,84.145,86.21,88.428,90.128,91.671,95.038,96.149,98.802,97.052,96.936,98.054,100.985,100.189,100.393,100,99.362,100.174,101.85,102.828,101.76,99.365
"66","59","      Musical instruments (part of 80)","DMSCRG3",42.747,43.695,44.437,45.196,45.776,45.525,45.178,45.086,46.051,48.612,52.163,54.554,57.103,58.012,58.379,61.019,65.639,67.225,68.028,70.987,74.599,80.338,85.952,90.437,91.37,91.746,91.382,91.727,93.179,97.561,100.872,101.935,102.053,103.316,104.206,105.08,103.48,104.545,103.421,102.974,101.585,101.448,102.407,102.315,101.392,100.116,100,99.878,97.284,98.571,99.624,99.787,97.643
"67","60","    Other durable goods","DODGRG3",31.692,31.78,31.713,31.579,31.745,32.559,32.392,32.383,33.153,33.882,35.56,36.484,37.485,38.698,39.961,43.035,46.307,48.563,50.693,53.507,57.921,69.768,73.606,74.316,76.713,78.351,79.206,81.077,86.597,92.252,96.541,102.626,106.424,109.234,110.075,111.833,113.694,113.016,111.43,109.393,106.639,105.228,105.563,103.61,101.907,101.544,100,101.801,105.531,109.088,110.4,110.924,114.287
"68","61","      Jewelry and watches (part of 119)","DJRYRG3",46.425,46.409,46.383,46.41,46.678,49.548,48.164,45.911,46.467,47.909,50.623,51.497,52.478,53.769,55.669,58.876,63.102,65.173,66.104,69.616,75.958,94.929,98.785,96.47,98.029,98.696,97.705,98.619,106.018,111.761,115.969,122.895,126.73,128.248,127.315,128.122,126.69,122.151,117.399,113.085,110.396,107.29,107.375,104.481,100.895,101.442,100,102.456,107.921,115.495,117.659,120.185,130.279
"69","62","        Jewelry","DJLYRG3",46.666,46.65,46.624,46.651,46.92,49.806,48.414,46.149,46.709,48.163,50.889,51.766,52.753,54.049,55.958,59.18,63.429,65.512,66.449,69.983,76.361,95.437,99.3,96.974,98.543,99.212,98.216,99.137,106.572,112.346,116.575,123.537,127.393,128.919,127.98,128.793,127.352,122.787,118.013,113.679,111.022,107.513,107.842,105.088,101.375,101.686,100,102.628,108.726,117.613,120.167,123.401,135.147
"70","63","        Watches","DWTCRG3",44.762,44.747,44.722,44.748,45.006,47.774,46.439,44.267,44.803,46.175,48.801,49.651,50.591,51.844,53.685,56.785,60.856,62.847,63.738,67.104,73.201,91.47,95.253,93.018,94.513,95.169,94.211,95.073,102.224,107.762,111.819,118.497,122.195,123.659,122.761,123.534,122.16,117.8,113.197,109.013,106.066,106.012,104.259,100.344,97.64,99.797,100,101.326,102.861,102.785,102.744,101.345,102.833
"71","64","      Therapeutic appliances and equipment (42)","DTAERG3",22.721,23.046,23.326,23.365,23.363,23.496,23.754,24.185,24.837,25.369,26.129,27.231,28.396,29.085,29.785,31.452,34.028,36.104,38.29,40.518,42.803,46.501,50.149,53.533,56.154,58.296,60.627,63.015,66.084,68.904,71.729,74.929,77.952,81.062,83.357,84.96,87.527,88.907,90.166,91.666,92.544,94.495,96.336,96.546,96.84,98.411,100,102.307,103.959,104.939,106.03,105.451,106.188
"72","65","        Therapeutic medical equipment","DTMERG3",29.394,29.448,29.082,28.638,28.358,28.289,28.213,28.287,28.179,28.234,28.522,29.186,29.669,29.737,29.836,30.881,33.475,35.491,37.761,40.209,42.597,46.03,50.235,54.95,58.364,61.075,63.728,66.839,69.337,71.59,75.446,79.075,82.553,85.7,88.559,90.245,93.17,94.626,95.733,96.962,97.852,98.624,98.665,98.288,98.64,99.522,100,101.453,102.417,102.722,104.114,101.926,102.207
"73","66","        Corrective eyeglasses and contact lenses","DEYERG3",19.32,19.788,20.437,20.756,20.9,21.135,21.565,22.185,23.241,24.03,25.053,26.411,27.992,29.06,30.131,32.222,34.818,36.959,39.116,41.221,43.457,47.408,50.619,52.855,54.809,56.499,58.594,60.456,63.939,67.147,69.324,72.265,75.027,78.093,80.094,81.641,84.019,85.349,86.658,88.26,89.124,91.709,94.657,95.255,95.51,97.573,100,102.984,105.206,106.752,107.592,108.322,109.428
"74","67","      Educational books (96)","DEBKRG3",8.686,8.727,8.722,8.544,8.534,8.537,8.956,9.398,9.704,10.204,10.772,11.18,11.928,12.714,13.129,13.586,14.477,15.453,16.433,17.736,18.868,20.448,22.944,25.916,28.552,30.867,33.471,36.212,38.921,41.647,44.334,47.945,50.433,53.208,55.067,57.057,59.243,62.609,65.656,68.741,71.539,76.52,80.906,86.785,91.721,95.968,100,106.337,115.042,123.042,131.841,138.322,144.878
"75","68","      Luggage and similar personal items (part of 119)","DLUGRG3",36.963,36.925,36.366,35.926,36.304,35.998,36.219,38.254,39.801,39.771,41.733,42.797,43.618,45.411,46.96,53.313,57.682,61.556,67.093,70.651,76.931,96.324,100.268,97.953,99.558,100.191,99.209,100.098,107.169,121.933,130.659,142.895,148.329,152.238,152.005,155.826,166.578,166.977,159.919,149.094,132.192,125.06,123.302,115.475,115.161,108.869,100,102.125,109.155,110.978,111.245,110.019,108.493
"76","69","      Telephone and facsimile equipment (67)","DTCERG3",28.23,28.395,28.378,27.8,27.766,27.775,29.147,30.569,31.579,33.2,35.039,36.34,38.817,41.388,42.708,44.243,47.126,50.303,53.352,58.02,61.596,66.707,74.749,84.358,92.814,100.363,108.797,117.72,126.633,135.553,144.285,155.987,164.105,173.127,179.205,185.679,192.853,203.777,213.66,207.445,183.842,166.055,149.04,135.816,120.808,108.625,100,90.917,84.455,80.972,77.347,74.493,71.985
"77","70","  Nondurable goods","DNDGRG3",21.706,21.965,22.057,22.177,22.398,22.697,23.107,23.846,24.281,25.157,26.245,27.425,28.199,29.103,31.45,36.206,39.004,40.274,42.582,45.304,50.186,56.344,60.695,62.072,63.138,64.45,65.657,64.818,67.023,69.154,72.584,76.745,78.986,80.133,80.784,81.215,82.064,83.922,84.798,84.169,86.268,90.016,90.961,90.888,92.797,96.114,100,103.23,106.49,112.567,109.301,112.748,119.655
"78","71","    Food and beverages purchased for off-premises consumption","DFXARG3",19.841,20.007,20.108,20.26,20.473,20.886,21.308,22.207,22.235,22.909,23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.495,113.853,118.398
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",18.759,18.915,19.015,19.162,19.378,19.821,20.235,21.151,21.154,21.809,22.842,24.193,24.726,25.996,29.693,34.701,37.36,38.037,40.53,44.601,49.075,53.247,57.102,58.478,58.939,60.807,61.381,62.779,64.88,66.876,70.616,74.134,75.598,75.973,77.173,78.672,80.593,83.124,84.751,85.921,87.271,89.228,91.963,93.316,95.103,98.165,100,101.745,105.935,112.786,113.948,114.267,119.458
"80","73","        Food purchased for off-premises consumption","DFOFRG3",18.917,19.103,19.213,19.409,19.623,19.886,20.361,21.396,21.421,22.111,23.214,24.438,24.94,26.365,30.319,35.356,37.79,37.776,38.5,42.505,46.995,50.827,54.658,55.99,56.358,58.3,58.862,60.03,62.495,64.811,68.777,72.534,74.194,74.554,75.902,77.362,78.949,81.955,83.81,85.134,86.502,88.366,91.289,92.8,94.797,98.221,100,101.676,105.857,113.02,113.982,114.525,120.036
"81","74","          Cereals and bakery products","DCBPRG3",18.424,18.921,19.43,19.715,19.92,20.266,20.56,21.686,22.031,22.034,22.492,24.482,24.057,26.119,28.806,35.666,36.288,35.12,34.231,36.038,39.448,43.984,48.16,50.086,51.364,53.321,55.082,56.302,57.958,61.389,66.257,69.682,72.277,74.795,76.831,79.634,81.318,83.943,85.314,86.784,88.427,90.02,92.728,94.752,97.038,98.624,100,101.802,106.452,117.473,121.287,120.16,124.96
"82","75","            Cereals","DGRARG3",23.237,23.612,23.895,24.28,23.599,24.932,25.58,26.454,26.733,26.266,26.062,31.314,27.002,36.168,38.681,46.132,44.161,41.299,37.858,39.402,42.604,48.252,53.353,55.37,56.219,58.187,60.209,61.726,63.431,67.96,73.988,77.707,80.827,83.777,85.986,89.426,90.332,90.963,91.154,92.088,93.722,94.227,95.704,97.405,99.195,99.716,100,100.336,104.665,115.313,119.384,117.167,122.327
"83","76","            Bakery products","DBAKRG3",16.46,16.952,17.484,17.733,18.121,18.231,18.433,19.557,19.9,20.007,20.6,21.724,22.346,22.482,25.086,31.549,32.962,32.376,32.406,34.29,37.738,41.778,45.525,47.395,48.839,50.772,52.408,53.49,55.115,57.998,62.278,65.551,67.872,70.164,72.113,74.578,76.693,80.439,82.489,84.264,85.917,88.036,91.306,93.466,95.964,98.057,100,102.634,107.48,118.727,122.373,121.945,126.516
"84","77","          Meats and poultry","DMAPRG3",22.113,21.751,21.467,22.104,21.802,21.397,22.703,24.426,23.909,24.589,26.736,27.945,28.141,30.703,38.261,38.871,41.324,40.907,40.425,47.491,54.651,56.205,57.926,59.567,58.723,59.63,58.654,60.552,63.616,65.314,68.346,72.975,74.205,72.809,74.709,75.214,75.186,78.331,80.472,79.287,79.639,82.859,86.697,87.609,90.796,97.821,100,99.902,103.72,107.789,108.107,109.881,117.143
"85","78","            Beef and veal","DBEERG3",19.057,18.568,18.263,18.925,18.7,18.159,19.039,20.025,20.159,20.986,23.062,24.116,25.167,27.533,32.936,33.89,34.214,33.135,32.966,40.39,51.011,53.678,53.856,54.323,53.21,53.547,52.112,52.144,55.768,58.518,61.964,66.458,68.026,67.538,69.655,68.595,67.633,67.178,68.272,68.032,69.48,73.871,80.046,80.12,87.107,97.443,100,100.82,105.297,110.008,108.868,111.961,123.418
"86","79","            Pork","DPORRG3",20.907,20.757,21.768,21.965,21.403,21.298,24.11,27.65,25.448,25.486,27.743,29.46,26.7,30.944,40.751,40.836,49.641,50.647,48.102,54.032,54.186,52.098,56.636,63.423,62.3,61.171,60.801,65.157,70.144,67.572,67.527,76.653,78.967,74.703,76.51,77.206,77.138,84.429,88.804,83.904,82.09,88.037,91.368,91.028,92.767,98.015,100,99.771,101.916,103.826,101.737,106.539,115.702
"87","80","            Other meats","DMEARG3",21.307,20.85,20.935,21.102,20.987,21.055,22.183,24.468,24.274,24.6,26.294,28.141,28.045,30.096,37.269,38.553,40.878,43.29,43.021,50.38,57.443,59.16,61.289,62.668,61.982,61.766,61.708,62.791,66.342,67.617,68.991,74.876,77.174,76.678,77.222,78.564,79.246,81.708,83.596,82.641,83.489,85.654,88.102,91.209,93.546,97.715,100,101.807,104.097,107.334,109.779,109.729,116.839
"88","81","            Poultry","DPOURG3",32.515,33.043,29.745,31.524,31.082,30.403,31.318,32.988,30.92,31.89,33.681,33.492,33.689,34.164,46.937,45.38,50.147,48.078,48.46,53.227,55.294,57.686,59.634,58.148,58.358,64.03,62.933,66.963,65.579,69.623,76.01,75.366,74.5,73.63,76.038,77.733,78.377,82.968,84.923,84.916,85.246,86.268,88.983,90.179,91.282,98.074,100,98.244,103.286,108.545,110.338,110.216,113.327
"89","82","          Fish and seafood","DFISRG3",13.147,13.149,13.439,14.012,13.985,13.639,14.067,14.964,15.485,15.758,16.608,18.251,20.148,21.97,25.138,29.022,31.459,35.211,38.943,42.464,46.273,50.148,53.933,55.459,55.692,57.032,59.392,64.377,70.638,74.119,76.881,77.953,78.131,79.237,81.275,84.16,87.733,87.761,89.591,91.282,92.631,95.13,95.488,93.981,94.965,97.137,100,104.707,109.503,115.969,120.224,121.554,130.358
"90","83","          Milk, dairy products, and eggs","DMDERG3",19.945,20.603,21.077,20.83,20.842,21.025,21.108,22.986,23.267,24.159,25.46,26.617,27.01,27.491,31.278,36.907,37.743,40.943,41.508,43.652,48.578,52.732,56.677,57.237,58.052,59.219,59.302,59.728,60.685,61.947,66.8,72.66,71.813,72.7,73.404,74.223,75.1,80.876,82.315,84.287,87.686,88.591,92.073,92.784,93.95,100.438,100,100.043,109.991,120.23,110.588,112.128,120.169
"91","84","            Fresh milk","DMILRG3",22.284,22.806,22.91,22.784,22.686,22.742,22.643,24.051,25.036,26.104,26.823,27.971,28.721,29.127,31.796,38.194,38.558,40.262,40.674,42.916,47.742,51.85,54.797,55.027,55.311,55.643,56.35,55.99,57.133,58.252,62.509,68.947,66.551,68.969,69.753,71.542,71.482,76.74,77.957,79.85,84.607,84.843,88.746,87.095,87.758,98.1,100,98.78,110.038,116.967,101.493,105.222,114.854
"92","85","            Processed dairy products","DDAIRG3",13.627,14.136,15.053,14.976,15.035,15.453,15.895,17.755,18.577,18.979,19.996,21.438,22.477,23.148,25.662,31.141,32.604,36.845,37.974,40.711,45.526,50.542,54.966,56.234,57.183,58.191,59.555,60.058,61.594,63.008,66.562,72.072,72.729,73.809,73.728,74.346,75.294,79.691,81.788,84.83,89.217,90.13,93.436,95.411,94.744,99.078,100,99.784,105.455,115.861,111.858,111.992,118.23
"93","86","            Eggs","DGGSRG3",41.092,43.953,44.402,41.887,42.516,42.108,41.161,46.858,39.238,41.791,49.533,48.491,42.537,42.241,62.429,62.497,61.869,67.577,64.843,61.633,67.206,65.404,70.983,68.606,71.134,77.748,65.645,70.267,65.95,66.866,84.471,87.974,85.445,76.061,81.589,79.334,83.398,98.793,97.26,93.93,88.692,91.404,94.536,95.849,108.265,114.339,100,104.844,134.719,154.917,132.044,134.078,146.999
"94","87","          Fats and oils","DFATRG3",22.15,21.361,22.774,22.617,21.948,21.938,23.429,24.029,24.097,23.889,23.994,25.504,27.824,28.109,30.377,42.939,47.861,41.869,46.156,50.373,54.195,57.518,63.404,61.365,61.912,67.498,68.715,66.893,67.609,70.476,75.179,78.043,80.927,79.415,79.106,81.068,83.18,84.855,85.327,87.744,88.371,87.898,92.825,92.683,93.843,100.016,100,100.178,103.347,117.125,119.985,119.638,130.767
"95","88","          Fresh fruits and vegetables","DFAVRG3",14.726,15.487,15.047,15.573,16.259,17.594,17.978,18.348,18.381,20.058,20.472,21.463,22.246,23.66,27.816,29.913,30.672,31.471,35.635,39.671,41.382,43.383,47.851,48.459,47.67,51.38,50.781,51.05,55.745,58.113,61.706,64.829,67.499,65.187,66.538,67.784,73.912,74.704,75.832,80.976,81.636,82.998,86.426,90.436,92.779,96.087,100,105.156,109.207,114.476,109.378,110.483,116.038
"96","89","            Fruit (fresh)","DFRURG3",16.633,18.091,18.415,18.622,20.499,20.65,19.784,20.635,20.976,23.686,22.919,23.211,24.585,25.992,29.069,31.584,33.685,33.683,38.786,45.249,49.224,50.598,51.536,55.247,51.079,54.677,58.228,57.323,61.492,64.232,66.102,71.336,77.866,71.759,70.755,72.92,77.939,82.345,82.319,83.915,89.518,86.808,89.098,90.869,93.877,96.406,100,105.988,110.757,115.829,108.762,108.016,111.85
"97","90","            Vegetables (fresh)","DVEGRG3",13.7,14.107,13.32,13.978,14.143,15.99,17.006,17.123,16.997,18.135,19.16,20.508,20.973,22.398,27.264,29.102,28.923,30.319,33.854,36.281,36.641,38.971,45.431,44.31,45.346,49.093,46.166,47.108,52.11,54.246,58.95,60.678,60.87,61.073,64.118,64.73,71.648,70.132,71.953,79.284,77.004,80.713,84.815,90.171,92.112,95.892,100,104.649,108.267,113.655,109.756,112.023,118.748
"98","91","          Processed fruits and vegetables","DPFVRG3",20.683,19.963,20.795,20.152,21.247,21.713,21.042,21.562,21.244,22.508,22.678,23.355,24.871,25.848,28.168,37.814,38.64,39.93,41.059,45.135,48.207,51.342,57.201,59.938,60.057,63.064,64.234,63.07,64.859,68.894,73.688,76.68,75.689,76.246,75.794,78.012,78.85,82.04,83.731,85.922,87.55,88.459,91.309,94.747,95.606,96.787,100,102.906,106.644,116.574,124.441,122.822,126.357
"99","92","          Sugar and sweets","DSWERG3",15.204,15.293,14.985,15.001,16.222,17.067,16.768,16.45,16.957,17.53,18.501,19.516,20.24,20.493,21.788,32.396,41.579,36.958,38.887,43.601,46.9,57.19,61.836,61.568,62.583,64.841,66.3,68.159,69.184,70.888,74.039,77.119,79.753,81.927,81.93,82.827,83.964,87.495,89.85,91.122,92.215,93.222,94.306,96.24,98.096,98.782,100,103.795,106.98,113.522,119.885,122.515,126.515
"100","93","          Food products, not elsewhere classified","DOFDRG3",19.408,19.533,19.717,19.417,19.763,20.268,20.472,20.303,20.517,20.918,21.628,22.45,23.119,23.53,24.427,29.496,33.445,34.768,35.998,38.71,42.817,47.529,52.647,55.039,56.966,58.797,60.716,62.383,65.047,67.212,71.257,73.848,76.809,78.125,79.669,81.498,83.25,86.168,88.809,90.397,92.225,94.206,96.268,96.823,97.784,98.372,100,101.342,103.162,108.801,113.146,112.695,115.405
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRG3",16.254,16.138,16.151,15.89,16.107,18.053,17.927,17.808,17.654,18.013,18.456,20.695,21.457,21.416,22.968,27.417,31.588,37.625,56.557,60.755,64.517,71.641,75.357,77.031,78.292,79.446,80.093,83.321,82.504,82.003,84.035,85.811,85.876,86.368,86.508,88.293,92.69,91.661,91.612,91.657,92.878,95.523,96.86,97.04,97.287,97.772,100,102.231,106.481,111.136,113.727,112.431,115.318
"102","95","          Coffee, tea, and other beverage materials","DCTMRG3",20.031,19.888,19.903,19.582,19.849,22.248,22.093,21.947,21.757,22.198,22.745,25.503,26.443,26.393,28.305,33.788,38.928,46.367,69.699,66.954,63.413,69.282,59.474,60.69,60.6,62.706,64.085,79.983,69.809,68.778,71.593,69.475,67.873,64.817,64.012,78.198,94.126,86.091,96.147,96.595,94.478,95.63,94.701,94.039,95.04,95.239,100,101.598,105.75,110.121,110.575,111.274,119.602
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRG3",15.421,15.311,15.323,15.076,15.282,17.128,17.009,16.896,16.75,17.09,17.511,19.635,20.358,20.319,21.791,26.013,29.97,35.697,53.66,58.949,64.051,71.355,78.19,79.955,81.553,82.432,82.875,83.099,84.408,84.039,85.882,88.424,88.805,89.93,90.242,89.858,92.533,92.533,90.996,90.985,92.668,95.521,97.176,97.474,97.615,98.14,100,102.324,106.589,111.29,114.24,112.604,114.609
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",29.256,29.717,29.818,29.958,30.25,30.426,30.606,30.954,31.401,32.111,32.812,33.92,34.891,35.475,36.061,38.291,40.915,41.79,42.442,44.723,48.226,52.248,55.719,58.019,60.195,61.339,62.723,64.519,65.67,67.222,69.281,72.17,80.589,82.806,82.89,82.788,83.008,85.043,86.339,86.789,88.623,91.287,93.241,95.071,96.586,98.836,100,101.347,103.831,107.572,110.724,111.271,111.962
"105","98","        Spirits","DLIQRG3",36.657,37.22,37.434,37.58,37.993,38.147,38.257,38.508,38.956,39.481,39.923,40.902,41.459,42.324,42.533,43.184,44.423,45.186,45.783,47.591,49.29,51.868,54.675,56.481,57.631,58.114,60.116,64.641,65.181,66.019,68.127,71.356,78.894,80.19,81.069,81.555,82.273,83.245,85.036,86.085,88.04,91.487,94.684,96.599,97.587,98.815,100,101.257,101.953,105.378,107.752,107.507,107.852
"106","99","        Wine","DWINRG3",27.16,27.595,27.706,27.742,28.035,28.152,28.288,28.462,28.748,29.894,31.169,33.592,35.209,36.562,38.927,42.395,44.304,45.302,46.6,51.116,55.611,60.256,64.617,67.258,67.128,66.134,66.671,68.02,70.073,71.194,73.071,75.142,84.773,86.418,87.03,86.378,86.374,89.797,93.684,94.493,95.632,97.073,96.983,97.517,98.038,98.475,100,102.245,104.272,108.018,110.183,108.663,107.826
"107","100","        Beer","DMLTRG3",24.613,25.007,25.054,25.197,25.418,25.606,25.822,26.24,26.698,27.413,28.153,29.091,30.145,30.403,30.867,33.825,37.469,38.387,38.953,41.087,45.277,49.785,53.282,55.652,58.741,60.656,62.041,63.049,64.157,66.039,68.113,71.082,79.425,82.179,81.769,81.613,81.724,83.67,83.988,84.125,86.136,88.914,91.106,93.388,95.525,99.002,100,100.992,104.676,108.596,112.678,114.711,116.374
"108","101","      Food produced and consumed on farms (6)","DFFDRG3",27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.395,103.035,89.632,104.583,122.431
"109","102","    Clothing and footwear","DCLORG3",52.763,53.471,53.779,53.94,54.414,54.926,55.405,56.936,59.283,62.633,66.021,68.477,70.911,72.199,74.595,80.129,83.723,86.408,90.096,91.799,93.595,97.027,100.231,101.699,103.091,103.626,105.85,105.414,108.451,111.94,113.578,117.281,119.512,120.402,119.759,117.744,114.993,113.609,113.644,111.576,110.099,108.788,106.632,103.824,101.246,100.905,100,99.592,98.619,97.875,98.718,98.033,99.722
"110","103","      Garments","DGARRG3",56.448,56.969,57.251,57.292,57.782,58.386,58.792,60.062,62.437,66.009,69.473,71.841,74.436,75.625,78.003,84.044,87.866,90.568,94.39,95.913,96.767,99.542,102.462,103.808,105.489,106,108.589,108.191,111.453,114.798,116.055,120.06,122.302,122.843,122.002,119.753,116.587,115.042,115.241,113.01,111.831,110.555,108.031,104.848,102.028,101.649,100,99.363,98.419,97.193,97.728,96.66,98.578
"111","104","        Women's and girls' clothing (10)","DWGCRG3",66.08,66.375,66.491,66.389,66.813,67.375,67.647,68.941,71.879,76.022,79.506,81.929,85.331,86.81,89.262,95.349,99.015,101.621,105.287,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.374,120.592,125.42,127.155,127.579,126.638,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.938,99.524,97.095,97.647,96.743,98.581
"112","105","        Men's and boys' clothing (11)","DMBCRG3",47.082,47.921,48.496,48.76,49.378,50.084,50.688,52.027,53.896,56.979,60.646,63.122,64.916,65.761,68.15,73.487,76.687,79.407,83.086,84.356,85.722,89.287,93.492,96.313,98.313,99.522,101.776,102.215,104.51,107.937,110.651,113.18,116.21,116.938,116.516,114.765,113.314,113.376,114.3,113.28,112.889,111.73,108.274,104.871,101.626,101.169,100,98.335,96.68,97.342,97.835,96.378,98.792
"113","106","        Children's and infants' clothing (12)","DCICRG3",33.804,33.675,32.479,31.839,31.829,31.941,32.104,32.358,32.711,34.109,35.202,35.872,36.647,37.696,38.95,49.18,59.085,62.273,68.291,70.924,72.338,78.258,85.082,88.174,92.564,93.939,98.1,102.363,102.361,106.074,108.2,113.924,115.965,116.419,113.497,112.217,111.416,112.85,111.006,108.149,110.483,111.74,110.606,108.284,104.58,101.535,100,99.848,97.652,97.406,98.038,97.776,97.351
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRG3",39.393,40.566,40.932,41.423,41.822,42.042,42.715,44.98,47.142,49.671,52.684,55.318,57.154,58.717,61.097,64.783,67.508,70.083,73.228,75.537,80.665,86.434,90.638,92.556,92.805,93.43,94.159,93.568,95.684,99.732,102.914,105.376,107.551,109.894,110.093,109.08,108.101,107.402,106.739,105.365,102.644,101.193,100.571,99.351,97.809,97.631,100,100.607,99.5,100.881,103.1,104.15,104.804
"115","108","        Clothing materials","DCSMRG3",49.686,49.964,50.16,50.076,50.447,50.743,51.146,52.168,54.54,57.752,60.892,63.335,65.54,67.107,69.38,73.556,75.326,77.481,79.861,79.471,82.123,88.137,93.591,96.649,98.144,98.673,99.935,101.912,101.63,107.519,108.937,114.621,115.6,116.685,115.897,115.015,120.21,120.802,113.305,107.161,104.122,104.001,103.926,103.518,101.275,101.836,100,99.116,95.373,95.597,98.291,101.081,103.864
"116","109","        Standard clothing issued to military personnel","DMICRG3",38.579,38.897,38.81,38.993,39.157,39.522,39.9,40.323,41.047,42.439,44.071,45.444,46.29,47.129,48.823,53.238,54.703,57.421,60.415,62.482,65.716,70.547,76.303,79.752,81.016,82.583,83.75,84.796,86.456,89.092,91.323,93.714,95.481,97.51,98.268,98.468,99.085,99.793,100.064,100.873,101.176,101.473,100.998,99.9,100.108,99.97,100,100.258,101.141,101.961,102.966,103.142,105.918
"117","110","        Shoes and other footwear","DSHURG3",38.076,39.383,39.777,40.353,40.76,40.968,41.678,44.133,46.308,48.79,51.814,54.484,56.295,57.869,60.277,63.898,66.777,69.414,72.683,75.377,80.86,86.624,90.674,92.448,92.538,93.168,93.832,92.935,95.342,99.192,102.594,104.712,107.022,109.504,109.8,108.761,107.246,106.436,106.276,105.246,102.53,100.957,100.286,98.99,97.497,97.251,100,100.729,99.805,101.274,103.468,104.397,104.888
