"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"25","17","    Food manufacturing","PK3113",76.668,76.509,77.159,77.332,77.635,77.118,76.591,76.864,76.469,76.163,76.255,76.127,75.157,75.353,74.939,74.931,75.206,75.498,75.471,75.858,75.484,75.164,75.216,74.943,75.311,74.575,74.254,73.521,74.151,74.455,74.008,74.644,74.871,74.986,74.741,74.712,74.591,74.802,75.035,75.511,76.027,76.062,75.845,75.222,75.118,75.369,75.608,76.37,76.622,76.869,77.458,77.917,78.456,78.623,78.73,79.269,79.012,78.785,77.793,77.534,77.382,77.541,77.567,77.11,76.678,76.77,76.974,76.972,79.495,77.243,77.353,78.134,78.976,79.485,79.449,79.55,79.954,80.928,80.728,81.47,82.294,84.329,84.539,84.303,83.364,83.896,85.136,87.283,88.89,88.318,86.943,85.844,85.342,85.478,85.386,86.099,86.387,86.509,87.116,87.173,87.526,87.02,86.796,86.818,86.987,87.687,87.464,87.523,87.444,86.542,86.421,85.707,85.965,86.844,87.417,87.661,87.805,87.892,88.823,89.292,90.395,91.602,92.609,93.257,93.643,94.661,94.826,95.055,95.515,95.982,96.814,97.764,99.371,100.234,101.314,101.718,102.783,104.16,107.014,107.392,106.303,104.708,103.066,101.753,100.637,99.632,98.607,99.276,99.989,100.822,99.64,99.789,99.561,99.599,100.529,101.986,102.392,102.3,102.123,102.67,103.52,103.084,103.363,103.969,105.258,106.611,107.477,107.799,108.447,110.609,112.359,113.774,113.501,113.881,115.174,116.416,116.72,116.166,116.801,116.727,116.936,116.661,116.823,116.628,116.568,116.808,117.809,118.931,119.565,120.453,121.044,120.701,120.156,119.929,119.86,119.246,119.52,120.041,120.509,119.992,119.824,119.943,119.85,120.25,120.714,120.993,122.601,125.069,124.531,124.726,125.967,125.973,125.148,125.735,124.948,124.042
"26","18","    Beverage and tobacco product manufacturing","PK3123",60.318,60.28,60.591,61.135,61.296,61.261,61.275,61.254,61.975,62.069,62.024,62.214,62.341,62.72,62.786,63.57,64.254,64.342,64.37,65.159,65.278,65.507,65.649,72.076,72.056,72.33,72.305,72.35,72.484,72.523,72.928,72.903,75.575,75.693,75.655,75.872,74.632,76.563,76.574,76.033,76.69,76.694,76.713,77.678,77.735,77.87,77.794,78.037,80.309,80.418,80.649,80.501,82.382,82.46,82.509,82.522,82.503,82.744,83.417,83.437,82.833,83.058,82.997,84.325,84.34,84.504,84.505,84.54,84.703,84.529,84.955,82.952,82.714,82.436,82.847,82.519,82.561,82.59,82.732,82.617,82.575,83.323,83.095,83.366,84.206,84.127,83.802,84.514,83.523,84.297,83.992,84.329,83.985,84.394,84.412,84.792,86.591,86.615,86.853,87.053,87.171,87.345,87.553,87.819,87.862,87.829,88.014,87.986,88.129,88.618,89.041,88.979,88.974,89.327,88.939,88.344,88.601,88.496,89.022,89.326,89.542,90.69,90.413,90.988,91.018,91.234,91.298,91.735,91.992,92.566,92.657,92.7,93.187,93.793,93.977,94.199,95.09,95.208,96.15,95.839,96.213,96.957,96.986,97.316,98.055,99.289,100.252,99.971,99.451,99.828,99.933,99.897,100.243,100.706,101.211,101.291,101.423,101.471,102.018,101.868,102.795,103.092,102.901,102.712,102.48,103.666,103.985,104.531,104.677,104.895,105.164,104.327,104.948,105.305,106.361,106.418,106.731,107.532,107.686,107.926,108.152,108.47,108.45,109.071,108.986,109.001,109.817,109.867,110.015,110.645,110.648,111.261,111.601,111.435,111.611,111.651,110.816,111.165,111.307,111.35,111.357,111.987,111.973,113.124,112.73,113.021,113.586,113.473,113.923,114.036,114.13,114.263,113.877,113.59,113.671,114.514
"27","19","    Textile mills","PK3133",93.389,93.493,93.355,93.345,93.799,93.93,94.036,93.882,94.18,94.303,93.76,94.05,94.075,94.078,93.801,93.832,93.872,93.828,93.624,93.535,93.218,92.628,92.513,92.316,91.723,91.267,91.276,90.831,90.71,90.157,90.057,89.972,89.92,90.393,89.949,89.858,90.151,90.131,90.245,90.398,90.228,89.877,90.537,90.563,90.337,90.377,90.548,90.443,90.401,90.497,90.373,90.391,89.893,90.072,89.411,89.276,89.295,88.923,88.604,88.441,87.831,87.663,87.871,87.848,87.875,87.945,88.126,87.937,88.027,87.853,87.768,87.833,87.662,87.627,87.541,87.683,88.25,87.513,87.611,87.794,87.839,87.622,87.888,88.028,88.113,88.022,87.865,88.303,88.953,89.262,89.356,89.025,89.384,89.555,89.642,89.52,90.529,90.697,90.943,91.375,91.532,91.615,91.907,91.95,92.767,92.974,93.402,93.922,94.341,94.881,95.011,94.925,95.323,95.258,95.343,95.625,95.456,95.904,95.998,95.561,95.463,96.044,96.03,95.653,95.795,96.183,96.784,97.139,97.322,97.445,97.608,97.786,98.55,98.712,98.619,98.853,99.666,99.737,100.472,101.59,102.253,101.895,101.773,100.127,100.001,99.778,99.817,100.116,99.752,99.889,99.881,99.653,99.932,100.183,100.334,100.571,100.767,101.042,102.027,102.448,102.944,103.284,103.436,103.953,104.085,104.656,106.327,107.275,108.962,110.99,112.73,113.994,115.91,115.723,114.703,115.048,114.942,114.32,113.867,113.25,112.653,112.674,112.593,112.185,112.448,111.59,111.737,111.76,111.409,112.023,111.811,111.524,112.283,112.486,112.133,112.268,111.882,111.779,112.056,112.146,112.185,112.419,112.94,112.882,113.064,113.172,113.281,113.383,113.405,113.031,113.2,113.278,113.269,113.174,112.935,112.925
"28","20","    Textile product mills","PK3143",83.86,83.751,84.193,83.34,83.549,83.664,84.02,83.954,84.054,84.169,84.603,84.604,84.523,84.542,84.564,84.498,84.535,84.638,84.434,84.433,84.283,84.24,84.425,84.271,83.891,83.804,84.084,83.93,83.895,84.352,84.058,84.046,84.191,84.289,84.332,84.184,83.937,84.287,84.804,84.808,84.904,85.443,85.092,85.327,84.97,85.326,85.204,85.695,85.957,86.179,85.619,86.167,85.988,85.914,86.453,85.963,85.508,86.246,86.038,85.821,86.234,85.881,85.826,86.043,85.741,86.058,86.373,86.522,86.133,86.06,86.372,85.677,85.841,85.806,86.126,86.55,86.611,87.272,87.186,87.085,86.935,87.148,88.119,86.918,86.811,86.842,85.957,86.721,87.169,87.776,88.01,88.511,88.38,88.8,89.781,89.77,89.523,89.711,90.593,90.841,90.814,90.944,91.174,91.133,91.422,91.497,92.751,92.505,93.299,93.574,93.335,93.153,92.761,92.929,92.952,93.897,94.491,94.389,94.367,94.293,94.554,94.681,94.466,94.433,94.904,94.864,95.196,95.137,95.364,95.508,95.511,95.561,95.502,95.831,96.068,96.274,96.337,96.35,97.653,98.465,98.387,98.917,99.101,98.955,99.101,98.716,99.019,99.931,99.892,100.47,100.15,100.023,100.602,100.804,100.701,100.761,100.969,100.376,100.907,100.884,101.525,101.56,101.78,102.004,101.711,101.825,102.119,102.027,102.499,103.999,103.774,105.217,105.628,105.672,106.65,107.513,107.619,107.991,107.166,107.454,107.72,107.915,107.755,107.727,108.039,108.162,108.917,108.637,108.847,108.349,108.037,107.807,107.888,107.815,108.937,108.883,108.67,109.047,109.198,110.218,109.979,109.881,109.79,109.102,113.742,114.287,114.795,114.217,114.609,114.624,114.211,114.032,114.368,114.508,114.319,114.124
"29","21","    Apparel manufacturing","PK3153",95.505,95.578,95.727,95.472,95.857,95.933,95.926,96.058,96.184,95.945,96.284,96.23,96.401,96.368,96.3,96.349,96.383,96.466,96.584,96.52,96.696,96.89,96.746,96.739,96.807,96.815,96.871,96.898,97.04,96.618,96.432,96.945,96.981,96.939,96.996,97.057,96.91,96.968,97.139,97.157,97.076,97.15,97.358,97.28,97.379,97.406,97.344,97.402,97.402,97.451,97.269,97.315,97.226,97.117,97.143,97.287,97.18,97.226,97.218,96.919,96.874,96.792,96.617,96.415,96.466,96.47,96.462,96.462,96.55,96.668,96.672,96.767,96.364,96.342,96.562,96.462,96.32,96.214,96.078,96.256,96.399,96.446,96.409,96.41,96.368,96.226,96.274,96.381,96.538,96.255,96.168,96.195,96.74,96.909,97.096,97.015,96.929,96.769,96.253,96.229,96.334,96.448,96.314,96.33,96.831,96.34,96.323,96.21,96.407,96.572,96.59,96.601,96.648,96.577,96.538,96.748,96.798,97.153,97.062,97.034,97.542,97.754,97.689,97.809,97.665,97.638,97.704,97.748,97.753,97.935,97.97,97.964,98.149,98.141,98.403,98.65,98.639,98.565,98.784,99.054,99.306,99.636,99.793,99.801,100.072,100.049,100.088,100.043,99.852,99.865,99.769,99.82,100.026,100.148,100.12,100.128,100.038,99.984,99.985,100.226,100.179,100.201,100.309,100.382,100.034,100.04,100.078,100.206,100.362,100.999,101.066,101.347,102.09,102.272,102.667,102.606,103.015,102.945,103.018,103.069,103.415,103.614,103.619,103.71,103.729,103.725,103.707,103.859,103.993,104.374,104.556,104.756,104.909,104.903,105.146,105.081,104.99,105.209,105.427,106.044,105.978,106.003,106.005,106.062,106.08,106.075,106.287,106.302,105.913,106.046,106.172,106.436,106.431,106.438,106.6,106.423
"30","22","    Leather and allied product manufacturing","PK3163",88.251,88.575,88.473,88.687,88.029,87.613,87.707,87.554,87.599,88.279,88.782,88.325,88.165,88.029,87.973,87.596,87.711,87.694,87.924,87.672,87.731,87.605,87.231,87.447,86.812,86.995,86.919,86.964,86.831,87.126,87.249,87.307,87.457,87.665,87.691,87.725,88.08,88.21,88.109,88.281,88.01,87.911,88.094,88.419,89.006,89.029,89.652,89.981,90.122,90.869,91.268,92.513,92.98,92.324,92.255,92.515,91.621,91.288,90.874,90.46,90.911,90.517,90.567,90.657,91.063,91.554,91.89,92.669,92.584,92.421,92.77,92.896,92.934,93.042,93.062,93.445,92.89,93.226,93.313,93.179,93.658,94.009,94.201,94.135,94.333,94.483,94.566,94.269,94.183,94.316,94.464,94.311,94.237,94.201,94.409,94.466,94.489,94.563,94.632,94.598,94.63,94.801,94.916,94.773,94.71,94.858,94.893,94.855,94.954,95.123,95.434,95.895,96.026,95.996,96.111,96.266,96.233,96.491,96.627,96.781,97.44,97.466,97.831,98.072,98.024,97.871,97.873,98.298,98.314,98.654,98.782,99.11,99.676,99.935,100.03,100.08,99.861,100.556,100.721,101.005,101.354,101.191,101.012,100.966,100.782,100.95,100.846,100.078,100.049,99.965,99.616,99.945,99.917,99.48,99.214,99.217,99.327,99.541,99.669,100.565,100.948,101.123,101.373,101.748,101.83,102.905,102.942,103.247,104.06,104.797,104.927,105.435,106.186,106.934,107.742,107.819,107.691,107.455,106.841,106.273,106.648,106.634,108.03,108.982,108.965,108.641,108.877,108.984,109.703,110.084,110.236,110.54,112.115,112.65,113.884,114.415,115.023,115.607,115.654,115.498,115.273,115.173,115.745,116.27,116.817,118.287,118.929,119.751,120.325,119.305,119.166,119.933,120.477,121.329,120.287,119.945
"31","23","    Paper manufacturing","PK3223",75.716,75.16,74.556,74.14,74.121,74.261,74.452,74.937,75.815,76.182,77.005,77.827,78.045,78.184,78.052,77.678,77.649,77.426,77.325,77.045,76.577,76.02,75.626,75.349,74.981,74.85,75.269,75.765,76.114,76.468,76.901,77.625,78.403,79.081,79.246,79.408,79.799,80.06,81.263,82.47,83.252,83.457,83.45,83.506,83.714,83.695,83.672,83.62,83.535,83.531,83.52,83.587,83.231,83.112,82.903,82.31,82.194,81.821,81.516,81.612,81.281,80.897,80.657,80.702,80.335,80.376,80.52,80.916,81.236,81.582,81.724,81.65,81.567,81.646,81.452,81.579,81.725,81.59,81.457,81.579,81.337,81.189,81.181,81.22,80.682,80.808,80.827,81.468,82.243,83.234,83.987,84.975,85.376,85.839,86.034,86.293,86.549,86.869,87.257,87.463,87.592,87.588,87.47,87.114,86.953,86.977,87.849,88.1,88.605,89.852,90.555,90.622,91.643,92.526,92.695,92.967,93.343,93.492,93.322,93.627,93.819,93.784,93.712,93.918,93.895,93.966,94.117,94.238,94.633,95.507,96.103,96.357,97.013,97.519,97.868,98.347,98.723,99.205,99.993,102.164,103.468,103.988,103.89,103.87,103.279,102.718,102.222,101.296,100.138,99.469,98.783,98.452,98.347,98.3,98.528,98.649,98.715,99.884,101.053,101.823,103.644,104.537,105.17,105.254,105.849,105.989,106.214,106.465,106.403,106.51,107.014,107.225,107.446,107.716,108.011,108.025,108.069,107.883,107.454,107.883,107.867,108.311,108.366,108.28,108.145,107.971,107.769,107.814,107.653,108.171,109.405,109.603,109.64,109.703,109.665,109.809,110.196,111.166,111.4,111.99,112.086,112.95,113.081,113.105,112.479,112.855,112.861,113.071,113.053,113.091,113.064,112.687,112.673,112.596,112.922,112.967
"32","24","    Printing and related support activities","PK3233",84.294,84.31,84.254,84.418,84.403,84.494,84.713,84.861,84.928,85.748,85.86,85.908,86.135,86.165,86.308,86.584,86.543,86.453,86.637,86.68,86.739,86.915,86.941,86.984,86.682,86.732,86.91,86.928,87.018,87.033,87.115,87.254,87.243,87.48,87.655,87.726,87.768,87.91,88.309,88.727,88.818,89.501,89.681,89.788,89.862,90.221,90.195,90.363,90.46,90.605,90.721,91.111,90.879,90.764,90.83,90.661,90.627,90.598,90.651,90.428,90.6,90.689,90.349,90.519,90.517,90.554,90.63,90.5,90.534,90.529,90.532,90.597,90.669,90.895,90.899,90.92,90.997,91.063,90.895,91.029,91.039,91.094,91.114,91.084,91.238,91.242,91.465,91.856,91.844,91.922,92.249,92.319,92.779,92.859,93.079,93.133,93.477,93.356,93.526,93.568,93.634,93.838,94.155,94.317,94.598,94.726,94.796,94.911,95.304,95.649,95.859,95.972,96.083,96.262,96.347,96.579,96.69,97.037,97.107,97.127,97.118,96.976,97.214,97.397,97.532,97.585,97.818,98.015,98.194,98.381,98.477,98.688,99.116,99.41,99.444,99.933,100.108,100.246,100.651,101.124,101.45,101.417,101.27,101.284,101.174,100.642,100.66,100.466,100.337,100.238,99.283,99.145,99.269,99.449,99.586,99.575,99.291,99.408,99.466,99.488,99.596,100.011,100.217,100.048,100.119,100.393,100.816,100.806,101.21,101.283,101.431,101.739,101.822,101.885,102.018,102.106,102.513,102.583,102.383,102.413,102.343,102.417,102.501,102.439,102.712,102.586,102.582,102.62,102.588,102.745,102.929,102.936,103.084,103.048,103.121,103.121,103.122,103.15,103.182,103.297,103.596,103.668,103.749,103.745,103.508,103.809,104.006,104.14,104.276,104.108,104.255,104.313,104.354,104.407,104.575,104.565
"33","25","    Petroleum and coal product manufacturing","PK3243",44.738,43.928,42.758,40.12,38.019,37.342,36.363,37.896,37.305,37.562,37.652,37.935,35.608,33.692,32.096,31.724,31.218,30.275,30.158,28.409,27.889,29.172,28.708,27.227,28.393,27.064,29.184,34.191,33.263,32.825,35.8,38.19,39.046,38.621,40.923,45.102,45.797,50.242,53.644,48.477,47.562,52.986,52.338,50.399,54.228,54.277,56.649,56.322,54.773,53.658,50.599,52.337,53.162,51.262,46.011,46.925,50.058,41.921,40.479,37.991,37.411,37.984,41.71,45.447,43.3,44.345,46.076,46.241,48.043,52.095,51.01,51.909,56.461,66.628,67.686,53.303,48.419,52.331,53.433,55.278,53.877,53.457,55.51,59.607,64.037,63.796,62.219,63.298,66.063,65.014,67.768,68.828,70.556,79.124,82.48,75.843,76.49,80.965,84.922,84.462,79.877,84.44,88.756,94.933,108.327,118.235,101.257,105.295,107.6,103.19,103.845,110.999,112.613,117.27,113.507,118.005,102.345,99.155,103.337,108.984,93.586,97.826,109.37,119.566,126.419,123.627,130.455,118.886,123.173,122.964,140.907,132.936,135.932,137.623,155.605,160.507,177.429,187.565,198.372,176.32,176.345,137.69,100.982,75.328,81.046,80.124,76.212,84.801,94.328,109.149,103.415,115.421,110.724,110.4,118.693,116.839,126.842,120.084,128.057,132.498,134.869,129.521,128.661,131.223,130.366,136.466,139.99,143.554,148.519,155.204,172.005,182.307,189.423,183.408,183.081,175.392,178.258,170.441,172.23,167.828,171.907,174.908,186.007,187.058,179.556,169.697,165.261,176.388,185.929,181.417,166.626,162.896,164.4,177.184,172.509,169.438,168.938,167.921,168.029,172.248,171.31,166.432,160.322,161.318,162.057,165.434,168.021,170.714,167.958,167.454,166.507,165.457,163.022,150.103,140.655,122.597
"34","26","    Chemical manufacturing","PK3253",66.833,66.872,66.837,66.781,66.872,66.874,66.935,66.947,66.973,67.062,67.11,67.12,67.058,67.021,68.009,67.946,67.958,67.933,67.928,67.898,67.705,67.628,67.594,67.548,67.424,67.235,67.225,67.227,67.476,67.794,68.146,68.153,68.467,69.239,69.324,69.328,69.423,69.575,69.653,69.789,70.166,70.279,70.65,70.837,71.091,71.229,71.154,71.248,71.852,72.213,72.334,72.398,71.934,71.849,71.008,70.616,70.801,70.424,70.411,70.061,70.018,69.991,70.375,70.442,70.382,70.552,71.23,71.302,71.33,71.818,71.986,71.7,72.348,72.928,73.875,74.339,74.22,74.102,73.83,73.651,73.802,73.986,73.951,74.07,74.675,75.014,75.431,75.927,76.115,76.779,77.334,77.988,78.964,79.756,80.405,81.129,81.89,82.128,82.68,83.191,83.15,82.936,83.316,83.389,83.962,85.73,86.897,86.87,87.473,87.664,87.663,87.224,87.631,87.781,87.92,88.241,88.339,88.509,88.274,88.506,88.609,88.867,89.312,89.612,89.934,90.378,90.78,91.172,91.063,91.931,93.027,93.469,94.888,95.768,96.946,97.906,99.281,100.677,103.838,105.069,106.306,105.172,103.873,102.147,100.897,100.412,100.152,99.665,99.141,98.903,99.637,99.466,100.077,100.13,100.291,101.164,101.556,102.697,102.976,103.842,103.654,103.462,103.695,103.905,104.198,104.887,105.04,105.488,107.544,108.63,109.543,110.888,112.101,112.33,113.124,112.779,113.526,113.282,113.035,112.875,113.954,114.398,115.279,115.769,115.748,115.042,114.817,114.554,114.362,114.755,114.496,114.087,115.415,116.252,116.446,116.75,116.727,116.828,116.682,115.916,115.554,115.392,114.997,115.246,116.688,117.316,117.611,118.47,118.358,118.577,118.785,118.867,119.135,118.919,118.448,118.665
"35","27","    Plastics and rubber product manufacturing","PK3263",77.315,77.295,77.24,77.397,77.429,77.411,77.383,77.376,77.278,77.229,77.295,77.247,77.236,77.25,77.268,77.207,77.11,77.054,76.895,76.792,76.712,76.593,76.554,76.594,76.498,76.488,76.509,76.771,76.827,77.049,77.16,77.413,77.51,77.652,77.888,77.968,78.137,78.164,78.17,78.373,78.299,78.664,79.157,78.934,79.133,79.052,79.623,79.637,79.612,79.536,79.903,79.818,80.022,79.973,79.911,79.552,79.392,79.296,79.335,79.26,79.073,78.797,78.934,79.12,79.308,79.654,79.519,79.698,79.956,79.964,79.659,79.7,80.015,80.649,81.205,81.762,81.795,81.604,81.483,81.435,81.316,81.274,81.205,81.385,81.479,81.786,81.924,82.126,82.378,82.721,82.996,83.07,83.92,84.501,85.093,85.669,86.474,86.986,87.534,87.779,87.874,88.186,88.308,88.082,88.972,90.195,91.609,92.153,92.854,92.907,92.763,92.816,92.732,92.83,93.135,93.393,93.528,93.726,93.57,93.575,93.269,93.16,93.037,93.047,93.262,93.357,93.688,94.235,94.241,94.538,94.851,95.405,96.276,96.656,97.191,97.514,98.402,98.99,100.89,101.843,102.623,103.072,102.658,101.71,100.991,100.079,99.871,99.886,99.862,99.561,99.416,99.473,99.899,100.087,100.366,100.481,100.636,101.165,101.818,102.522,102.93,103.481,103.334,103.38,103.631,103.851,104.38,104.8,105.996,106.747,107.558,108.41,109.532,110.504,110.728,110.577,110.632,110.803,110.65,110.582,110.761,111.214,111.624,112.022,112.193,112.16,112.064,111.552,111.693,111.745,111.765,111.837,112.419,112.871,113.775,113.899,113.953,113.921,114.175,114.204,114.276,114.208,114.426,114.497,114.633,114.747,114.831,114.956,114.73,114.797,114.64,114.629,114.8,114.676,114.789,114.677
"36","28","Merchant wholesale industries","PK42W3",88.67,88.358,88.348,87.833,87.325,86.784,86.516,86.656,86.428,86.487,86.163,86.095,85.191,84.816,84.385,84.038,83.684,83.191,83.184,82.167,81.921,82.14,81.814,81.436,81.661,81.131,81.377,81.918,81.901,81.961,82.153,82.655,83.03,82.94,83.267,83.876,83.987,84.796,85.258,84.551,84.775,85.09,84.858,84.336,85.1,85.267,85.532,85.219,85.005,84.683,84.244,84.22,84.343,84.004,83.227,83.175,83.459,81.972,81.518,81.141,81.117,81.317,82.001,82.04,81.898,81.981,82.47,82.711,83.17,83.763,83.26,83.264,84.163,85.535,85.72,83.854,83.399,83.839,83.812,84.253,84.475,85.042,85.442,86.12,86.814,87.037,87.501,87.936,88.634,88.194,88.588,89.084,89.427,90.909,91.112,90.4,90.726,91.281,92.181,92.044,91.389,91.676,92.247,93.026,94.629,95.519,94.178,94.916,95.395,94.852,95.008,96.098,96.64,97.172,97.04,97.553,96.168,95.926,96.688,97.547,96.873,98.085,98.724,99.278,99.451,99.47,99.956,99.602,100.935,102.133,104.861,105.08,106.321,107.056,108.685,109.351,111.156,113.062,114.361,112.793,112.633,107.105,101.863,97.634,98.235,97.748,96.643,97.271,98.238,100.168,98.562,101.068,101.062,102.536,103.658,104.759,106.597,106.034,107.04,106.967,105.518,103.616,103.671,104.791,106.352,108.647,109.827,112.037,113.509,115.956,116.499,117.507,116.411,115.744,116.017,115.655,117.278,116.837,117.883,118.253,118.476,119.004,119.342,118.499,116.61,115.164,115.656,117.234,119.085,119.173,118.175,118.163,118.276,119.438,117.959,116.809,116.846,117.335,117.821,117.588,117.139,117.097,116.634,117.304,117.493,117.98,117.661,118.345,118.333,118.643,118.196,117.804,117.149,116.1,115.547,113.221
"37","29","  Durable goods merchant wholesale industries","PK42WD3",111.305,111.135,111.041,110.761,110.179,109.94,109.589,109.336,108.914,108.515,108.294,107.981,107.386,106.847,106.456,105.86,105.401,104.794,104.419,103.644,103.349,102.916,102.604,102.208,101.826,101.693,101.396,101.082,101.001,100.966,100.97,100.751,100.698,100.665,100.825,100.807,100.814,100.611,100.514,100.377,100.218,100.071,99.97,99.436,99.466,99.285,99.083,98.803,98.002,97.515,97.25,97.159,97.147,97.014,96.732,96.311,96.2,95.583,95.352,95.162,95.013,94.972,94.974,94.87,94.858,94.943,94.684,94.5,94.612,94.702,94.38,94.23,94.226,94.088,94.281,93.906,93.929,93.856,93.834,93.907,94.114,94.307,94.525,94.653,95.035,95.61,96.18,96.402,96.564,96.479,97.021,97.689,97.678,98.094,98.169,98.276,98.298,98.253,98.117,98.102,97.621,97.221,97.13,97.376,97.722,97.359,97.711,97.923,98.181,98.43,98.596,98.839,99.498,99.566,99.18,99.214,99.485,99.025,99.535,99.657,99.628,99.793,100.289,100.261,100.082,100.185,100.222,100.165,100.015,100.292,100.453,100.512,100.896,101.346,101.903,103.164,103.963,104.616,105.513,105.533,104.397,102.694,100.805,100.255,100.1,99.612,99.263,98.937,99.081,99.356,99.574,100.277,100.489,100.722,100.961,101.459,101.985,102.122,102.579,102.921,102.789,102.217,101.871,101.941,102.396,102.787,103.287,103.773,104.056,104.558,104.65,104.819,104.76,105.095,105.347,105.301,105.635,105.511,105.481,105.776,105.784,105.798,105.739,105.556,105.473,105.156,104.845,104.923,105.107,105.002,105.218,105.221,105.115,105.13,105.147,104.988,104.492,104.426,104.449,104.514,104.602,104.995,105.397,105.433,105.699,105.687,105.458,105.483,105.559,105.624,105.769,105.717,105.71,105.779,105.455,105.257
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",100.353,100.212,100.363,100.043,99.602,99.793,99.095,99.146,98.719,98.204,98.016,97.751,97.991,98.22,98.288,98.169,97.918,97.808,98.415,98.206,98.202,98.508,98.836,98.662,98.478,98.636,98.424,98.637,98.885,98.831,98.75,98.84,98.9,99.502,99.209,99.226,99.18,99.089,99.284,99.232,99.818,99.55,99.578,99.366,99.727,99.13,99.727,100.011,99.984,98.886,99.336,99.722,98.963,98.829,99.673,99.568,99.919,98.011,98.078,98.534,98.057,98.471,98.085,97.893,97.605,97.741,96.883,96.549,96.974,97.406,96.733,96.411,96.688,96.949,98.457,96.518,96.513,96.003,96.241,96.341,95.824,96.746,96.416,96.053,95.994,96.072,96.447,96.198,96.492,96.659,96.053,96.207,96.756,97.671,97.487,97.819,98.128,97.475,97.349,97.574,97.981,97.696,98.539,98.491,99.122,96.545,96.699,96.898,97.115,97.562,97.734,98.072,98.001,98.071,94.64,95.607,96.18,94.035,96.899,96.649,96.184,96.103,96.041,95.995,96.067,96.387,96.915,96.759,96.152,96.353,97.05,96.786,97.181,97.299,97.013,97.605,97.487,98.222,98.417,98.901,98.736,99.762,98.991,99.301,99.162,98.978,98.909,99.302,99.44,100.834,100.111,100.892,100.509,99.856,100.639,100.807,101.387,101.545,101.462,101.457,101.837,101.45,101.83,102.107,102.326,100.761,100.824,101.031,100.372,100.584,100.867,101.405,101.605,102.41,102.917,102.93,102.997,102.603,102.756,102.821,103.164,103.094,103.398,103.72,103.744,104.246,104.908,104.732,104.595,104.046,103.516,103.463,103.428,103.479,103.287,103.075,102.807,102.682,102.506,102.379,102.47,103.747,104.161,104.522,104.803,104.771,104.036,103.851,103.671,103.455,103.392,103.357,102.982,104.145,103.785,103.745
"39","31","    Furniture and home furnishings wholesalers","PK42123",80.808,80.809,80.895,80.643,80.838,80.83,81.099,81.047,81.099,81.188,81.294,81.327,81.341,81.424,81.518,81.448,81.622,81.489,81.342,81.365,81.328,81.46,81.546,81.577,81.428,81.328,81.543,81.483,81.56,81.796,81.712,81.77,81.794,81.959,81.987,81.964,82.052,82.272,82.465,82.538,82.537,82.787,82.741,83.047,82.903,83.143,83.085,83.323,83.253,83.475,83.261,83.577,83.434,83.285,83.503,83.221,83.123,83.48,83.39,83.357,83.621,83.536,83.469,83.533,83.357,83.612,83.899,83.898,84.02,84.072,84.256,83.96,84.087,84.116,84.226,84.419,84.505,84.836,84.85,84.826,84.597,84.811,85.265,84.706,84.652,84.868,84.601,85.094,85.577,85.926,86.178,86.65,86.63,86.965,87.811,87.979,87.976,88.237,88.741,89.006,89.229,89.353,89.622,89.555,89.728,89.926,90.649,90.743,91.373,91.614,91.602,91.565,91.506,91.663,91.929,92.325,92.703,92.802,92.823,92.779,93.397,93.753,93.626,93.755,94.092,94.097,94.197,94.171,94.325,94.54,94.825,94.829,94.965,95.391,95.541,96.127,96.238,96.662,97.427,97.983,98.329,98.903,99.003,99.085,99.52,99.509,99.466,100.089,100,99.976,100.094,99.9,100.363,100.366,100.404,100.41,100.36,99.705,99.716,99.781,100.197,100.448,100.363,100.699,100.662,100.755,100.706,100.684,101.178,102.085,102.516,102.983,103.579,103.956,104.45,104.642,104.367,105.221,105.255,105.624,105.731,106.113,106.043,106.612,106.718,106.783,106.976,106.795,107.084,106.958,106.787,106.527,106.652,106.564,107.088,107.199,107.112,107.407,107.496,107.967,108.159,108.158,108.18,107.849,109.839,110.141,110.366,110.136,110.481,110.591,110.533,110.539,110.839,110.879,110.86,110.806
