"","Table 8#3# Federal Government Current Receipts and Expenditures,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235"
"25","17","  Other current transfer payments","W010RU1",0.8,0.9,1,0.9,1.2,1.2,1.7,1.5,1.7,1.9,1.8,1.6,1.4,1.5,1.2,1.3,1.2,1.4,1.2,1.3,0.9,1.2,1.2,1,1,1.2,1,1.1,1,0.9,1.1,1.1,1.2,1.1,1.1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.2,1.3,1.1,1.2,1.3,1.6,1.9,1.9,2,1.9,1.7,2,1.8,1.8,1.9,2.1,1.9,2,2.2,2.2,2.1,2.1,2.3,2.5,2.2,2.2,2.4,2.6,2.4,2.3,2.5,3.1,2.6,2.5,3.2,4,3.4,3.4,3.8,3.9,4.1,3.9,3.9,4.8,4.1,4.3,4.1,5.2,4.6,5.1,5.3,6.4,6.1,6.1,6.6,7.8,6.9,7.7,8.2,10.7,8.4,11.3,9.8,10.8,9.8,9.4,9.5,11.4,10.4,10.4,11.5,14.1,12,12.9,12.9,13.2,14.3,14.2,13.8,14.9,15.6,15.7,16.8,17.6,17.1,18,16.9,17.4,17.9,18.8,19.4,19,19.2,20.9,20.7,19.7,18.7,19.1,19.2,19,17.8,20.4,19,19.5,18.6,21.5,20.9,20.7,20.1,24.3,22.5,22.4,22.6,25.3,23.9,25.3,25.7,25,23.4,23.6,22.6,25.1,25.5,24.9,24.6,27.8,27.1,26.3,26.9,29.5,30.1,31.6,30.1,30.9,12.2,24.3,30.6,36.4,39.7,40.9,39.8,46.5,42.5,44.2,43.5,52.1,45.9,46.7,45,54,49.9,49.7,47.1,49.6,51.7,52.2,49.2,55.1,51.8,51.7,49.7,59.3,55.4,55.2,54,62.8,60.3,60.4,59.9,67.4,63.6,65,64.5,72.6,70.3,73.7,67.9,78.1,80.2,81.8,75.8,85.7,85.2,95.3,87,95.3,94.3,96.2,86.2,97.3
"26","18","    Grants-in-aid to state and local governments","B089RU1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.6,0.7,0.9,1.1,0.9,0.8,1.1,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.1,1.3,1.2,1.4,1.2,1.4,1.3,1.5,1.4,1.6,1.6,1.7,1.6,1.6,1.9,1.8,1.8,2.3,2.7,2.6,2.5,2.8,2.8,3.1,3,2.9,3.7,3,3.1,3.2,3.9,3.7,3.9,4.3,5.2,4.9,4.9,5.3,6.4,5.6,6,6.3,9.1,6.5,9.8,8.7,9.2,8.4,8.4,8.5,9.3,9.1,9.3,10,12,11.4,11.8,12.2,12.4,12.6,13.5,13,14,14.7,15,15.8,16.6,16.1,17,15.9,16.4,16.6,17.4,17.8,17.9,17.9,18.9,19.4,18.4,17.2,17.5,17.5,17.7,16.3,18.1,17.9,18.2,17,18.5,19.3,19.1,17.8,20.5,20.1,19.7,19.4,21.6,21.8,22,22.1,21.7,21.3,21.3,20.2,21.2,23.2,22.8,22.1,23.5,24.6,24.2,24,25.5,27.4,27.9,26.8,29.3,31.5,32.5,32.1,35.5,36.5,37.2,36.4,39.1,39.4,40.4,39.2,44.6,43.1,43.5,41.6,46.5,46.7,47,44.2,46.2,47,49.6,45.9,48.7,49.1,49.3,47,53.3,52.8,52.8,51,56.2,57.6,57.2,56.7,61.3,60.4,61.7,60.6,64.6,67.6,71.1,64.9,72.5,73.3,78.3,72.6,80.3,79.2,89.1,81.3,89.5,86.1,91,80.9,90.2
"27","19","    To the rest of the world (net) \3\","W017RU1",0.5,0.5,0.5,0.4,0.8,0.8,1.2,1,1.3,1.5,1.3,1,1,1.1,0.7,0.8,0.8,0.9,0.7,0.8,0.4,0.7,0.6,0.4,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,1,1,0.9,1,0.8,1,0.7,0.9,0.8,1,0.7,0.8,0.9,1,0.7,0.8,0.9,1.2,0.7,0.8,0.8,1.1,0.7,0.8,0.8,1.2,0.7,0.8,0.9,1.3,0.8,0.9,1.1,1.1,0.9,0.9,1,1.1,1.1,1.3,0.9,1.3,1,1.2,1,1.2,1.2,1.2,1.4,1.4,1.3,1.7,1.9,1.6,1.9,1.5,1.1,1.6,1.4,0.9,1,2.1,1.3,1.2,1.6,2.1,0.7,1,0.6,0.8,1.7,0.7,0.8,1,0.9,0.7,1,1,0.9,1,1,1,1.2,1.3,1.6,1.1,1.3,2,1.3,1.3,1.5,1.6,1.7,1.3,1.6,2.3,1.2,1.3,1.7,3,1.6,1.6,2.4,3.8,2.3,2.6,3.2,3.7,2.1,3.4,3.5,3.2,2.2,2.3,2.3,4,2.3,2.1,2.5,4.3,2.5,2,2.9,4,2.7,3.7,3.2,1.6,-19.3,-8.2,-1.6,0.9,3.2,3.7,3.4,7.5,3.1,3.8,4.2,7.5,2.8,3.1,3.5,7.5,3.2,2.6,2.9,3.4,4.8,2.6,3.3,6.4,2.7,2.4,2.7,6,2.6,2.4,3,6.6,2.7,3.2,3.1,6.1,3.2,3.3,3.9,7.9,2.7,2.6,3.1,5.6,6.9,3.4,3.1,5.3,6,6.2,5.7,5.8,8.2,5.2,5.3,7.1
"28","20","Interest payments \1\","A091RU1",1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.1,1.2,1.3,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.3,1.5,1.4,1.5,1.3,1.4,1.3,1.4,1.4,1.6,1.6,1.7,2.1,2.2,2,2.1,1.9,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.5,2.7,2.6,2.8,2.7,3,2.8,3.2,3,3.2,3,3.4,3.4,3.7,3.5,4,3.6,4,3.8,4.4,4.1,4.7,4.3,4.6,4.2,4.5,4.2,4.9,4.3,4.9,4.4,5.2,4.9,5.8,5.5,6.6,5.8,6.7,6.2,7.3,6.4,7.4,6.8,8.4,7.6,8.8,7.9,9.6,8.3,9.7,8.5,10.6,9.9,11.6,10.8,13.1,12.2,14.6,12.9,16,15.2,18.6,16.1,19.8,20.4,24,22.3,27.1,24.5,29.4,26.7,31.1,27,32.6,29.4,35.6,32.1,38.7,35.6,43.8,37.5,45.6,38.6,47.7,40.3,48.4,40.4,49.1,41.2,49.2,41.3,52.9,43.7,54.4,44,57.2,47.4,60.9,48.6,62.5,50.7,64.2,54.2,68.4,54.4,70.2,54.7,71.5,54.8,70.9,54.8,70.8,54,72.5,54.6,72.4,53.1,73.3,56.6,78.4,61,82.4,63.3,83.7,63.9,83.5,64.7,85.1,64.1,84.7,65.6,85.6,64.8,84.6,64.7,84.8,60.2,81,59.9,81.5,60.3,82.2,59.2,81.5,57.1,77.2,52.1,72.2,45.5,70.3,46.9,66.4,42.2,65.3,42,65.7,42.1,66.4,45.1,67.8
"29","21","  To persons and business \1\","B092RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.1,1.9,2,1.9,1.9,1.8,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.6,2.8,2.7,3,2.9,3.1,2.8,3.3,3.2,3.6,3.4,3.8,3.5,3.8,3.6,4.2,3.9,4.5,4,4.3,3.9,4.1,3.7,4.3,3.7,4.2,3.7,4.5,4.1,4.9,4.5,5.5,4.8,5.6,5.1,6.1,5.2,6.3,5.6,7.3,6.5,7.7,6.7,8.4,7.1,8.4,7.2,8.9,7.9,9.5,8.7,10.6,9.4,11.9,10.2,13.1,12.1,15.7,13.1,16.2,16.4,19.7,17.9,22.7,19.8,24.8,21.7,26.1,22.3,27.9,24.6,30.8,27.1,33.7,30.2,38.1,31.8,39.9,32.7,41.8,34.2,42.4,34.2,42.8,34.7,42.7,34.8,46.2,36.5,46.6,35.8,48.7,38.2,51.4,38.8,52.6,40.7,54.1,43.9,58,44,60,44.5,61.6,45,61.1,45,61.1,44.3,62.8,44.6,62.4,42.9,62.7,45.5,66.1,49,69.2,49.3,69.1,49,67.8,47.9,67.2,45.5,65.2,45.4,65.2,44.4,64.3,44.9,65.9,41.8,62.8,41.1,62.4,40.4,61.7,38.2,60,35.6,55.9,32.1,52.5,25.7,50.9,27.9,47.9,24.2,47.5,23.5,46.5,22,44.4,21.8,43.5
"30","22","  To the rest of the world","B093RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1,1,1,1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.7,1.9,2.1,2.1,2.5,2.8,2.7,2.8,2.9,3.1,3,3,3.6,4,4.4,4.4,4.5,4.7,4.6,5,5,4.7,4.7,4.7,4.9,4.9,5.1,5.4,5.7,5.8,5.7,5.8,5.8,6.1,6.1,6.2,6.3,6.5,6.5,6.5,6.7,7.2,7.7,8.2,8.5,9.2,9.5,9.8,9.8,10,10.1,10.2,10.4,10.5,10.2,10.3,9.9,9.8,9.8,9.8,9.7,9.7,9.7,10,10,10.2,10.6,11.1,12.3,12.1,13.2,14,14.6,14.9,15.7,16.8,17.8,18.6,19.4,20.2,20.4,20.3,20.3,19.8,18.9,18.4,18.2,18.7,19.1,19.9,20.6,21,21.5,21.5,21.3,20,19.7,19.8,19.4,19,18.5,18.1,17.8,18.4,19.1,20.2,22,23.3,24.3
"31","23","Subsidies \2\","B096RU1",0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.3,0.6,0.6,0.1,0.4,0.4,0.7,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.5,0.2,0.5,0.4,0.9,0.5,0.3,0.6,0.9,0.4,0.3,1,0.6,0.6,0.3,1.1,0.7,0.6,0.3,1.5,0.6,0.6,0.4,2.2,0.8,0.7,0.3,2.1,0.7,0.6,0.3,2.7,0.6,0.6,0.3,3,0.6,0.3,0.4,3.6,0.4,0.5,0.6,2.9,0.7,0.6,0.8,4.2,0.9,0.8,1.1,2.8,0.4,0.8,0.8,0.6,0.9,1.3,1.1,0.9,1.1,1.3,1.1,1.3,1.3,1.5,1.3,1.7,2.4,1.9,2,2,2.8,2.1,2.1,2,2,2.3,2.2,2.1,2.9,2.8,2.6,2.5,3.2,3.4,3.2,3,4.8,4.2,4.5,4.2,8,7.2,3.7,3.9,5.8,6.9,6.4,3.4,4.3,4.3,9.2,4.8,6.2,8.9,6.2,5.2,9.6,7.7,5.5,3.6,12.2,9.4,5,3,9.3,7.8,6.4,4.3,7.9,6.3,6.3,3.5,10.8,7.3,5.8,3.5,12.9,11.1,8.5,5.4,11.1,8,6.3,5.1,12.4,9.2,7.3,5.9,11.3,6.8,5,10.2,12,7.7,3.5,8,13.2,6.4,6.1,7.9,14.5,8.8,7.4,5.4,22.2,9.8,8.2,9.4,16.4,11.3,11.3,14.8,10.3,10.8,7.7,9.1,10,10.3,13.7,11.3,11.3,10.6,10.8,10.6,11.1
"32","24","Less: Wage accruals less disbursements","B098RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.5,-0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,-0.1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,-0.3,-0.1,0,0,0,0,0.1,0,-0.3,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","25","    Net Federal Government saving","A923RU1",4.8,-0.4,0.2,0.6,5.5,-0.3,0,-1.5,1,-3,-1.4,-2.3,-0.2,0.1,3.8,1.9,7.9,1.4,0.5,-0.2,5.6,-0.2,-0.1,-1.5,4.9,-1.3,1.4,-3.2,3.4,-2.7,0,-2.3,2.1,2.8,1.1,-0.2,3.5,2.9,2.2,-1,2.7,2.6,0.7,-2.7,-0.1,-0.5,-1.6,-3.1,1.4,2.9,0.2,-1.2,3.1,4.9,1,-1.8,-0.1,3,0.9,-1.2,0.8,4.3,0.1,-2.7,1.1,5.4,-0.2,-1,0.7,4,-1.3,-2.4,2,6.5,-1.7,-3.5,1.4,6.6,-2.7,-3,-1.2,2,-3.8,-6.3,-1.1,2.8,-0.2,-3.7,3.7,8.3,-0.2,-3.1,0.4,0.3,-6.1,-9.8,-5.4,-4.1,-7.2,-11.7,-6,-1,-5.3,-12.1,-2.8,-2,-1.1,-5.4,-4,-0.7,1.4,-10.5,-15.6,-22.9,-10.7,-19.9,-16.4,-9.4,-7.3,-18.6,-13.7,2.1,-13.1,-19.5,-12.9,7.4,-8.6,-12.3,-4.3,13.2,-8.3,-11.8,-10.8,0.6,-21.4,-22,-14.6,7.9,-22.2,-24.3,-24.6,-9.9,-41.9,-55.5,-38.2,-34.7,-49.2,-50.9,-31.1,-26.9,-44.9,-65.3,-31.2,-28.1,-46.5,-69.1,-34.5,-35.8,-53.1,-67.4,-36.9,-1.2,-38.9,-68,-27,-6,-34.6,-66.8,-27.3,9.9,-37.9,-74.9,-43.4,-2.9,-49.1,-76.6,-38.9,-19.8,-55.3,-99.8,-70.4,-40.3,-77.6,-109.1,-58.5,-50.6,-65.8,-98.7,-42.5,-26.5,-51.5,-91.8,-38.4,-21.4,-51.6,-85.6,-38,18.2,-40.7,-81.2,-21.4,51.1,-15.6,-69.9,2.2,91.5,3.2,-58.1,11.9,107.6,21,-36.9,22.4,164.3,39.4,-36.6,11.6,149.7,-47,-67.7,-70.8,-7.4,-54.1,-115.7,-87.3,-53.8,-104.1,-137.5,-121,-59,-96.1,-130.4
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross government investment","A787RU1",0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.9,0.9,1,1.2,1.2,0.9,0.9,1.1,1.1,1.6,2.3,3,3.8,3.6,3.6,3.8,3.9,4,4.2,4.1,3.8,3.7,3.5,3.1,3,2.8,2.9,2.7,2.6,2.7,2.7,3.1,3.1,3,2.8,3,3.1,3,3,3.4,3.6,4,3.8,4,3.6,3.6,3.5,3.7,3.6,4,3.9,4.1,4.2,4.3,4.3,4.5,4.4,3.9,4,4.3,3.9,3.9,3.9,4,3.9,3.7,3.6,3.8,3.7,4,3.8,4.4,4.4,4.5,4.2,4.6,4.4,4.1,4.1,4,3.8,4.2,3.6,3.8,3.3,3.8,3.7,3.6,3.8,3,2.9,3.2,2.6,2.8,3.4,2.7,3,3.7,3.6,3.1,3.2,3.6,4.2,4.3,4.5,4.5,4.3,5.2,5.4,5.5,5.5,5.8,5.8,6,6.3,6.5,5.9,6,6.7,7.4,7.4,7.1,7.4,9,8.1,8.8,8.8,9.4,9.3,9.4,10.2,11.4,10.9,10.6,12,12.5,12.4,12.8,13.5,15.1,15,15.2,15.6,16.1,17.4,16.8,17.9,20.4,19.3,18.2,19.2,22.1,20.9,20.1,21.4,22.7,21.6,19.3,19.7,20.4,20.4,20,20.4,22.1,20.4,21.2,22.3,23.3,21.7,21.1,23.1,23.2,20.9,21.1,22.1,23.3,22.2,20.7,20.9,21.5,20.2,18.4,19.1,21.8,19.1,20,19.8,20.6,18.3,21,20.5,21.3,18.3,16.7,18,20.1,18.5,17,18.4,21.2,19.2,17.9,20,21.2,21.5,18.7,20,20.4,20.3,18.6,20.4,20.9,21.1,19.8,22.1,24.1,22,20.7,23.6,25.6,23.1,24.3,24.6,26.7,26.3
"36","27","  Consumption of fixed capital","A918RU1",2.3,2.2,2.2,2.1,2,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,3.9,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.2,4.2,4.2,4.3,4.3,4.3,4.4,4.5,4.6,4.8,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.7,5.7,5.8,5.9,6.1,6.2,6.3,6.4,6.5,6.7,6.9,7,7.2,7.4,7.6,7.9,8.1,8.3,8.6,8.8,9.1,9.3,9.5,9.7,9.9,10,10.3,10.5,10.8,11.1,11.2,11.5,11.7,11.9,12.1,12.4,12.5,12.8,13.1,13.3,13.6,13.7,13.9,14.1,14.4,14.7,14.9,15.2,15.5,15.7,16,16.3,16.6,16.8,17.1,17.4,17.7,17.9,18.2,18.3,18.4,18.6,18.7,19,19.3,19.4,19.6,19.7,19.8,20,20.1,20.3,20.4,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.6,20.6,20.6,20.7,20.6,20.7,20.7,20.8,21,21.1,21.3,21.5,21.7,21.8,21.9,21.9,22,22.1,22.1,22.1,22.2,22.2,22.2,22.4,22.4,22.6,22.6,22.7,22.9,23.4,23.6,24
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Beginning with 1959, includes royalties paid from production on the Outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Continental Shelf.  Beginning with 1960, includes interest receipts.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to 1960, interest receipts are included in interest payments (line 20), which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
