"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"73","66","Health","W634RC1",1.3,1.4,1.6,1.7,1.9,2.1,2.1,2.5,2.7,3,3.3,3.9,4.1,5.4,6.3,7,8.4,9.1,9.9,11.1,11.8,14,15.3,15.6,17.9,19.8,20.8,21.8,23.3,25,26.9,29.3,32.1,34.3,37.2,39.5,40.7,41.9,43.5,45.5,45.4,50.1,54.5,58.7,65,65.9
"74","67","Recreation and culture","W635RC1",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.9,0.9,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.6,1.9,2.1,2.2,2.3,2.4,2.4,3,3.3,3.1,3.7,3.8,4,4.2,4.4
"75","68","Education","W636RC1",0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.8,0.9,0.8,0.7,0.9,1,1,1,0.8,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.7,1.9,2.1,2.1,2.2,2.3,2.3,2.5,2.7,3.1,3.2,3.3,3.9,4.3,4.5,4.7,5.1,5.6,6,6.9,7,7.3,7.6
"76","69","  Elementary and secondary","W637RC1",0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.7,0.7,0.9,1.4,1.5
"77","70","  Higher","W638RC1",0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.3,1.4,1.2,1.4,1.5
"78","71","  Other","W639RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.9,2.1,2.2,2.2,2.6,2.8,3,3.1,3.3,3.6,4,4.8,5,4.6,4.6
"79","72","Income security","W640RC1",0.4,0.3,0.6,0.8,0.7,0.6,0.9,1,1.1,0.8,0.9,1,1.1,1.5,1.5,2.5,2.5,2.9,3.7,3.7,4,4.7,4.5,4.5,4.4,4.7,4.5,4.1,4.4,4.3,4.7,5.1,5.5,7.1,6.8,7.4,7.3,7.1,7.4,8.3,7.9,8.5,8.6,11.6,12.6,13.1
"80","73","  Disability","W641RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.6,0.3,0.5,0.5,0.7,0.3,0.3
"81","74","  Retirement \1\","W642RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.2,1.3,1.6,1,1.5,1.4,1.8,1.9,1.9
"82","75","  Welfare and social services","W643RC1",0.2,0.1,0.2,0.4,0.4,0.2,0.5,0.6,0.6,0.2,0.3,0.3,0.3,0.4,0.4,1,1.1,1.4,1.8,1.9,2,2.5,2.3,2.1,1.9,2.1,2,2,2.1,2.1,2.4,2.8,2.9,3.3,3.5,3.3,3.5,3.4,3.5,3.8,4.3,4.1,3.9,6,6.7,6.9
"83","76","  Unemployment","W644RC1",0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3
"84","77","  Other","W645RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.4,1.8,2,2,2.2,2.3,2.2,2.5,2.8,3.6,3.8
"85","78","      State and local","A829RC1",44.7,47.5,51.6,54.9,59.5,64.8,71,79.2,87.9,98,108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.6,290.2,322.4,347.3,369.7,390.5,422.6,466.2,510.7,539.4,576.7,616.9,671.9,706.7,737,766,806.3,850,888.6,937.8,987.9,1065,1142.8,1212.8,1281.5,1336,1391.2
"86","79","General public service","W646RC1",3.3,3.5,3.9,4.1,4.4,4.8,5.4,6,6.8,8,9.8,10.5,11.6,13.3,15.4,18.5,22.6,24.2,26.7,28.9,31.2,34.6,37,39.8,44.1,47.4,55.5,67.1,67.1,70,72,77.7,81.2,87.8,91.5,95.1,97.8,100.8,106.3,115.9,127,134.7,140.2,150.5,154.3,157.6
"87","80","  Executive and legislative","W647RC1",0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.8,2,2.4,2.7,3.2,3.5,3.9,3.7,4.1,4.7,5.2,5.9,6.1,6.3,7,7.6,8.2,8.9,9.6,10.8,11.4,11.7,12,12.8,13.5,14.2,15.1,16.3,17.7,18.6,20.2,21.4,22.8,24.5
"88","81","  Tax collection and financial management","W648RC1",1.2,1.3,1.4,1.4,1.4,1.5,1.6,1.8,2,2.3,3.1,3.4,3.4,3.7,3.8,4.4,5.5,5.5,6.3,6.8,7.1,7.3,7.6,9,11,11.5,16.7,24.7,20.5,21.8,19.4,20.1,20.9,23.4,25.1,25.2,25.4,24.8,25.6,27.5,31.2,29.8,27.8,31.1,33.4,33.8
"89","82","  Other \3\","W649RC1",1.5,1.6,1.9,2,2.2,2.5,2.9,3.2,3.7,4.5,5.3,5.5,6.4,7.6,9.3,11.3,13.9,15.1,16.5,18.4,20,22.6,24.2,25,27.1,29.6,31.8,34.9,38.4,39.3,43.1,46.9,48.9,52.7,54.4,57.1,58.9,61.8,65.7,72.1,78.1,86.3,92.3,98,98.1,99.3
"90","83","Public order and safety","W650RC1",4.1,4.4,4.7,4.9,5.2,5.7,6.1,6.7,7.4,8.6,9.5,10.8,12.4,13.8,15.4,17.6,20.1,22.1,24.2,27.9,31,34.7,39,43.7,47.4,51.4,57.3,62.7,67.6,74,81.9,90.8,97.6,103.6,109.8,118.2,126.7,134.2,141.8,150.6,161.9,171.3,181.9,192.7,198.1,207.6
"91","84","  Police","W651RC1",1.8,2,2.1,2.3,2.4,2.6,2.8,3.1,3.5,4.2,4.6,5.2,6,6.6,7.4,8.4,9.6,10.4,11.4,12.8,14,15.4,17.2,19,20.3,21.7,23.8,25.7,27,29,31.3,34.1,36.8,39.1,40.9,43.7,47.3,50.4,53,56,59.8,62.2,66.4,71.2,74.2,77.8
"92","85","  Fire","W652RC1",1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.5,6,6.6,7.4,8.2,8.8,9.4,10.2,11.2,12,12.6,13.7,14.7,15.5,16.7,17.2,18.1,18.9,20,20.8,21.8,23.4,25,26,28.3,29.2,30.9
"93","86","  Law courts","W653RC1",0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.8,2.1,2.4,2.7,2.9,3.1,4.2,4.8,5.6,6.2,7,7.4,7.9,8.7,9.4,10,11.5,12.9,14.4,15.6,16.5,18.7,20,21.4,22.7,24.2,26.2,28.3,30.1,32.2,34,34.6,36.6
"94","87","  Prisons","W654RC1",0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.8,2.1,2.4,2.7,3.2,3.8,4.3,4.9,5.4,6.1,7.1,8.1,9.5,10.9,12.4,14.5,16.5,18.6,21,24,27.5,29.8,31.2,33,36.3,39.1,41.1,43.8,46.7,50.5,54,57.3,59.2,60.1,62.3
"95","88","Economic affairs","W655RC1",13.2,13.3,14.4,15.1,16.7,17.5,18.9,20.6,22.2,24,25.3,27.4,29.2,30.5,32.5,38.4,42.2,43.1,44.8,50.5,57.4,64.2,69.5,72.4,75.4,81.1,88.7,94.4,98.2,102.8,106.4,115.5,119.5,123.3,129,135.8,140.2,144.9,153.7,160.1,174.2,188.9,202.1,212.5,220,224.1
"96","89","  Transportation","W660RC1",11.1,11,11.7,12.5,13.7,14.1,15.1,16.7,17.8,19.4,20.3,22,23.4,24.3,25.7,30.4,33.4,33.3,34.1,37.8,43.4,48.6,52,54.3,56.9,62.1,67.2,72.1,75.8,79.7,82.2,89.6,92.7,95,100.1,106.1,109.3,113.7,121.1,126.8,137.9,149.4,160.3,166.6,171.5,177
"97","90","    Highways","W661RC1",10.7,10.5,11.2,12,13.1,13.5,14.5,15.9,16.7,18,18.8,20.5,22.2,22.6,23.9,28.2,31,30.8,31.7,35,40,44.2,47.2,49.1,51.2,56.1,60.9,65.3,68.5,72.1,73.6,79.8,82.4,84.3,88,93.8,97.3,101.1,107.7,112.7,121.9,129.9,139.3,142.7,145.2,151.1
"98","91","    Air","W662RC1",0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.6,0.6,0.8,1.1,1.4,1.3,1.3,1.5,1.7,1.8,2.2,2.5,2.6,2.9,3.4,3.9,4.5,4.8,4.1,3.3,3.8,4.5,5.1,5.9,7.1,7.9,8.3,8.6,9.2
"99","92","    Water","W663RC1",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.7,1,1,1,1.2,1.2,1.2,1.4,2.8,2.9,2.6,2.5,1.6
"100","93","    Transit and railroad","W664RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.6,0.5,0.9,1,1.2,1.3,1.6,1.5,1.5,1.7,2.3,2.8,3.3,3.6,3.8,3.7,3.9,4,4.1,4.8,5.5,5.6,5.5,6.2,7.2,7.6,7.5,7.7,7.7,8.7,9.5,10.2,13.1,15.2,15.1
"101","94","  Other economic affairs","W665RC1",2.2,2.4,2.6,2.6,3,3.3,3.8,3.9,4.4,4.6,5,5.4,5.8,6.3,6.8,8,8.7,9.8,10.6,12.6,14.1,15.6,17.5,18.1,18.5,18.9,21.4,22.3,22.4,23.1,24.2,25.9,26.8,28.3,29,29.7,30.9,31.2,32.5,33.3,36.3,39.5,41.7,46,48.5,47.1
"102","95","    General economic and labor affairs","W656RC1",0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.4,2.6,2.9,3.2,3.5,3.9,4.4,4.9,5.4,5.8,6.1,6,6.2,6.6,7.2,8,8.2,9.1,9.9,10.4,11.3,11.6,11.9,12.2,12.5,13,13.5,14.4,15.1,16.2,19.1,19.1,18
"103","96","    Agriculture","W657RC1",0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.4,1.4,1.5,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.9,3,3.1,3.3,3.5,3.8,3.9,4,4.1,4.1,4.2,4.3,4.5,4.8,5.5,6.1,5.8,6.3,6.4,6
"104","97","    Energy","W658RC1",0.5,0.6,0.7,0.5,0.6,0.8,0.9,0.7,0.9,1,1,1.1,1.2,1.3,1.4,1.8,1.7,2.2,2.7,4,4.3,4.6,5.7,5.4,5.3,4.9,6.2,5.8,4.7,4.6,4.1,4.2,4.2,4.5,4.6,4.1,4,3.5,3.8,3.3,4.1,4.7,5.1,5.6,7.7,6.8
"105","98","    Natural resources","W659RC1",0.6,0.7,0.7,0.8,0.9,1,1.2,1.3,1.5,1.5,1.5,1.5,1.5,1.5,1.7,2,2.3,2.4,2.4,2.6,3,3.5,3.8,4.2,4.6,5,5.5,5.9,6.3,6.6,7.2,7.7,8,8.2,8.6,9.5,10.2,10.6,11,11.3,12,13.2,14.2,14.6,14.8,15.8
"106","99","    Other","W686RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5
"107","100","Housing and community services","W666RC1",2.7,2.7,2.9,3.3,3,3.6,3.8,3.9,4.1,5,4.9,5.1,5.5,5.6,6.3,7.7,8.9,9.4,9.3,11.3,12.7,15.1,14.9,14.7,14,15.7,17.1,19,21.3,22.4,23.3,25.6,26.6,26.9,25.5,25.2,26.5,28.7,30,30,32,32.4,36.3,39.9,42.1,44.1
"108","101","  Water","W667RC1",0.7,0.7,0.8,0.7,1,1,1.3,1.1,1.4,1.6,1.4,1.2,1.1,1.2,1.2,1.6,2.1,2.1,1.9,2.5,2.8,3.6,3.4,3.6,3.2,3.8,4.5,5.4,6.1,6,6.3,7.1,7.4,6.8,6.3,6.7,6.9,7.8,8.6,9,10,10.1,11.2,12.8,13.1,14.1
"109","102","  Sewerage","W668RC1",0.9,0.9,0.9,1.1,1,1.3,1.2,1.3,1.1,1.6,1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.1,5.1,5.6,6.6,5.8,5.5,5,5.8,5.9,6.6,7.8,8.1,7.9,8.5,8.8,9.3,8.5,7.7,8.2,9,9.1,8.7,9.2,8.9,10.5,11.8,12.7,13.6
"110","103","  Sanitation","W669RC1",0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1,1.1,1.3,1.3,1.5,1.7,1.8,1.9,2,2.4,2.5,2.9,3.2,3.2,3.2,3.4,3.7,4,4.3,5.1,5.8,6.3,6.6,6.5,6.6,7.1,7,7.2,7.4,7.3,7.7,8.3,8.8,8.8,9.3,9.5
"111","104","  Housing and other","W670RC1",0.5,0.5,0.7,0.9,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.2,1.3,1,1,1,1.2,1.1,1.3,1.3,1.7,2.1,2.5,2.4,2.7,2.6,2.9,3,3.1,3.2,3.3,3.7,3.9,4.3,4.1,3.7,4.4,4.7,5,5,5.2,5.1,5.7,6.5,7,6.9
"112","105","Health","W671RC1",3,3.2,3.4,3.5,3.7,4,4.3,4.5,5.1,5.7,6.5,7.5,8.6,8.9,9.7,11.4,12.7,13.1,14.4,15.3,16.3,18.6,19.6,20.3,19.7,20.9,22.7,23.5,25.3,27.6,29.5,32.4,32.8,31.9,30.7,30.7,30.1,29.9,28.8,27.1,32.5,33.3,30.4,33.3,35.1,39.3
"113","106","Recreation and culture","W672RC1",0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.5,1.8,2,2.2,2.3,2.6,3.2,3.9,4,4.2,4.8,5.3,5.8,6.2,6.7,7.1,7.7,8.6,9.4,9.9,10.6,11.7,13.1,13.6,14,14.2,15,16.2,17.4,18.5,19.4,20.7,23.1,25.3,27.1,27.7,28.8
"114","107","Education","W673RC1",17,18.9,20.7,22.3,24.6,27.3,30.3,35,39.3,43.1,47.9,53.9,59.7,65.2,72.2,80.7,91.7,99.8,106.6,114.6,126.1,138.2,148.8,159,167.8,182.3,198.8,215.7,230,247.5,268,289.9,305.8,317.6,331.2,349.2,373.4,392.3,415.6,438,466.1,504.7,537.3,560.4,592.4,622.7
"115","108","  Elementary and secondary","W674RC1",14.1,15.7,17.2,18.3,19.9,22,24.2,27.5,30.4,33.4,36.9,41.1,45.5,49.4,54.3,60.5,69.2,75.1,80.4,86.6,95.4,104.1,111.2,118.7,126.2,137.6,149.6,163,175.1,188.2,203.9,221.5,234.9,245.5,254.5,267.5,287.7,304.1,323.3,341.1,364,393.8,420.2,437.7,467.4,489
"116","109","  Higher","W675RC1",2.3,2.6,2.9,3.3,3.9,4.4,5,6.1,7.2,7.9,8.9,10.3,11.4,12.6,14.5,16.3,17.9,19.8,21.1,22.7,24.9,27.8,31,33.3,34.5,37,40.9,43.8,45.5,49,52.9,56.5,58.7,59.6,63.7,67.9,71,72.7,76.2,80.1,84.1,91.3,96.3,100.6,102.1,109.6
"117","110","  Libraries and other","W677RC1",0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.4,1.7,1.8,2.1,2.5,2.8,3.1,3.3,3.9,4.6,4.9,5,5.4,5.8,6.3,6.6,6.9,7,7.6,8.3,8.8,9.5,10.3,11.2,11.9,12.2,12.5,13,13.8,14.7,15.5,16.2,16.9,18,19.6,20.8,22,22.9,24.1
"118","111","    Libraries","W676RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.4,3.7,4,4.3,4.7,4.8,4.9,5.1,5.5,5.9,6.3,6.5,6.8,7.1,7.6,8.3,8.7,9.1
"119","112","    Other","W683RC1",0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1.1,1.2,1.4,1.8,2,2.3,2.4,2.8,3.4,3.6,3.7,3.9,4.1,4.4,4.6,4.7,4.7,5,5.4,5.6,6.1,6.6,7.2,7.6,7.5,7.7,8.2,8.7,9.3,9.6,9.9,10.4,11.2,12.5,13.3,13.7,14.2,15
"120","113","Income security","W678RC1",0.7,0.7,0.8,0.8,0.9,1,1.2,1.5,1.7,2.1,2.5,3,3.6,4.3,5.1,5.9,6.7,7.6,8.5,9.3,10.2,11.2,12.3,13.1,15,16.2,17.6,18.8,20,21.7,24,27,29.5,31.9,34,37.2,39.2,40.4,43.1,46.7,50.4,54.3,59.3,65.2,66.4,67.1
"121","114","  Disability","W679RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,2.9,4,4.7,4.6
"122","115","  Welfare and social services","W680RC1",0.6,0.7,0.7,0.8,0.8,1,1.2,1.4,1.6,2,2.4,2.9,3.5,4.2,4.9,5.7,6.5,7.4,8.3,9.1,10,10.9,11.9,12.6,14.5,15.7,17.1,18.3,19.3,21,23.1,25.8,28.1,30.3,32.2,35.2,36.9,38,40.5,43.9,47.6,51.5,56.4,61.1,61.6,62.5
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2. Consists of consumption expenditures to administer Federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
