"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"59","37","      Current dollars","A229RC0","3,211","3,277","3,376","3,430","3,478","3,567","3,638","3,661","3,757","3,846","3,889","3,942","3,999","4,050","4,159","4,348","4,442","4,562","4,657","4,799","4,856","4,940","5,076","5,168","5,233","5,532","5,543","5,678","5,813","5,898","6,026","6,149","6,250","6,414","6,590","6,800","6,939","7,145","7,309","7,483","7,688","7,822","8,037","8,272","8,519","8,582","8,846","9,227","9,414","9,551","9,896","10,041","10,158","10,304","10,484","10,612","10,766","10,921","11,204","11,485","11,840","12,136","12,391","12,556","12,636","12,955","12,923","13,128","13,353","13,485","13,622","13,698","13,937","13,879","14,238","14,529","14,807","15,079","15,342","15,591","15,927","16,035","16,182","16,391","16,727","16,966","17,135","17,184","17,294","17,474","17,582","17,775","18,131","18,335","18,481","18,794","18,553","18,891","18,933","19,255","19,202","19,576","19,817","20,114","20,299","20,362","20,534","20,682","20,972","21,275","21,485","21,683","21,932","22,092","22,335","22,656","23,123","23,443","23,695","23,870","24,046","24,173","24,379","24,823","25,506","25,817","26,170","26,282","26,602","26,591","27,200","26,827","27,552","27,856","27,829","27,957","28,201","28,585","29,099","29,330","29,646","30,093","30,405","31,001","30,740","31,080","31,538","31,909","32,572","33,031","33,341","33,680","34,081","34,344","34,579","35,042","35,432","36,556","36,060","35,677","35,497","36,115","35,888","36,049","36,282","36,704","36,778","36,954","37,308"
"60","38","      Chained (2005) dollars","A229RX0","14,476","14,588","14,843","14,907","14,945","15,160","15,312","15,209","15,464","15,651","15,672","15,789","15,850","15,962","16,246","16,848","17,002","17,132","17,175","17,343","17,041","16,859","16,869","16,749","16,650","17,386","17,100","17,229","17,445","17,551","17,664","17,744","17,717","17,875","18,093","18,405","18,476","18,640","18,737","18,829","18,987","18,805","18,855","18,947","18,947","18,629","18,765","19,101","19,018","18,978","19,346","19,334","19,316","19,408","19,443","19,463","19,577","19,679","19,926","20,289","20,693","21,007","21,282","21,433","21,340","21,718","21,528","21,697","21,912","22,114","22,175","22,135","22,228","21,940","22,278","22,538","22,776","22,942","23,059","23,209","23,425","23,277","23,363","23,478","23,601","23,683","23,616","23,374","23,374","23,477","23,443","23,515","23,800","23,902","23,935","24,192","23,767","24,063","24,033","24,310","24,147","24,487","24,588","24,838","24,932","24,864","24,969","25,040","25,244","25,443","25,576","25,635","25,796","25,915","26,125","26,405","26,937","27,247","27,447","27,565","27,682","27,669","27,760","28,111","28,629","28,850","29,075","29,039","29,188","29,037","29,696","29,274","29,996","30,092","29,912","29,908","29,955","30,339","30,685","30,786","30,861","31,097","31,227","31,582","31,130","31,278","31,385","31,477","31,997","32,205","32,272","32,606","32,674","32,644","32,681","32,775","32,821","33,480","32,672","32,810","32,780","33,191","32,746","32,673","32,717","33,100","33,103","33,120","33,130"
"61","39","  Population (midperiod, thousands)","B230RC0","201,955","202,419","202,986","203,584","204,086","204,721","205,419","206,130","206,763","207,362","208,000","208,642","209,142","209,637","210,181","210,737","211,192","211,663","212,191","212,708","213,144","213,602","214,147","214,700","215,135","215,652","216,289","216,848","217,314","217,776","218,338","218,917","219,427","219,956","220,573","221,201","221,719","222,281","222,933","223,583","224,152","224,737","225,418","226,117","226,754","227,389","228,070","228,689","229,155","229,674","230,301","230,903","231,395","231,906","232,498","233,074","233,546","234,028","234,603","235,153","235,605","236,082","236,657","237,232","237,673","238,176","238,789","239,387","239,861","240,368","240,962","241,539","242,009","242,520","243,120","243,721","244,208","244,716","245,354","245,966","246,460","247,017","247,698","248,374","248,936","249,711","250,595","251,482","252,258","253,063","253,965","254,835","255,585","256,439","257,386","258,277","259,039","259,826","260,714","261,547","262,250","263,020","263,870","264,678","265,388","266,142","267,000","267,820","268,487","269,251","270,128","270,991","271,709","272,487","273,391","274,246","274,950","275,703","276,564","277,400","278,103","278,864","279,751","280,592","281,304","282,007","282,792","283,570","284,246","284,939","285,706","286,451","287,092","287,746","288,488","289,204","289,815","290,467","291,197","291,899","292,471","293,114","293,845","294,577","295,198","295,826","296,575","297,316","297,959","298,625","299,411","300,213","300,913","301,617","302,406","303,166","303,810","304,445","305,177","305,890","306,496","307,101","307,815","308,521","309,120","309,724","310,438","311,140","311,696"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","40","    Disposable personal income, current dollars","A067RP1","4.7","9.5","13.8","7.8","6.8","12.0","9.7","3.9","12.3","11.0","5.8","6.9","6.9","6.2","12.3","20.8","9.8","12.3","9.7","13.9","5.7","8.0","12.6","8.5","6.0","26.0","2.0","11.3","10.8","6.9","10.1","9.6","7.8","12.0","12.7","14.6","9.5","13.6","10.8","11.2","12.5","8.3","12.8","13.6","13.8","4.1","14.3","19.6","9.3","6.9","16.5","7.1","5.6","6.8","8.3","6.0","6.8","6.8","11.9","11.4","13.8","11.3","9.7","6.5","3.3","11.4","0.1","7.5","7.9","4.9","5.2","3.2","8.0","-0.8","11.9","9.5","8.8","8.4","8.3","7.7","9.8","3.7","4.9","6.4","9.4","7.2","5.5","2.6","3.8","5.6","4.0","5.9","9.5","6.0","4.8","8.4","-3.9","8.8","2.3","8.3","0.0","9.3","6.4","7.4","4.9","2.4","4.8","4.2","6.8","7.1","5.4","5.1","5.8","4.1","5.8","7.2","9.6","6.8","5.7","4.2","4.0","3.2","4.8","8.8","12.6","6.0","6.8","2.8","6.0","0.8","10.7","-4.4","12.3","5.4","0.6","2.9","4.4","6.5","8.5","4.2","5.2","7.1","5.3","9.2","-2.5","5.4","7.1","5.8","9.5","6.7","4.9","5.3","5.8","4.1","3.9","6.5","5.4","14.3","-4.4","-3.3","-1.2","8.0","-1.6","2.7","3.4","5.5","1.7","2.8","4.6"
"64","41","    Disposable personal income, chained (2005) dollars","A067RL1","0.7","4.1","8.4","2.9","2.0","7.2","5.5","-1.3","8.2","6.1","1.8","4.3","2.5","3.8","8.4","16.9","4.6","4.0","2.0","5.0","-6.0","-3.4","1.3","-1.8","-1.6","20.0","-5.3","4.1","6.0","3.3","3.7","2.9","0.3","4.6","6.1","8.3","2.5","4.7","3.3","3.2","4.5","-2.8","2.3","3.2","1.1","-5.5","4.2","8.5","-0.9","0.0","9.2","0.8","0.5","2.8","1.8","1.4","3.2","2.9","6.1","8.5","9.0","7.1","6.4","3.9","-1.0","8.2","-2.5","4.2","4.9","4.6","2.1","0.2","2.5","-4.3","7.3","5.8","5.1","3.8","3.1","3.7","4.6","-1.6","2.6","3.1","3.0","2.7","0.3","-2.7","1.2","3.1","0.8","2.6","6.2","3.1","2.0","5.8","-5.7","6.4","0.9","6.0","-1.6","7.0","3.0","5.4","2.6","0.0","3.0","2.4","4.3","4.4","3.4","2.2","3.6","3.0","4.7","5.7","9.4","5.8","4.3","3.0","2.7","0.9","2.6","6.4","8.7","4.2","4.3","0.6","3.0","-1.1","10.6","-4.6","11.2","2.2","-1.4","0.9","1.5","6.2","5.7","2.3","1.8","4.0","2.7","5.7","-4.8","2.8","2.4","2.2","7.7","3.6","1.9","5.3","1.8","0.6","1.5","2.2","1.4","9.2","-8.4","2.7","0.4","5.9","-4.4","0.0","1.3","5.6","1.0","1.1","0.8"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
