"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"41","34","        Children's and infants' clothing (12)","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.806,33.677,32.481,31.841,31.831,31.943,32.106,32.36,32.713,34.111,35.204,35.874,36.65,37.698,38.952,49.183,59.088,62.277,68.295,70.928,72.343,78.262,85.087,88.18,92.569,93.945,98.106,102.369,102.367,106.08,108.206,113.931,115.972,116.426,113.504,112.224,111.423,112.857,111.013,108.155,110.49,111.747,110.613,108.291,104.587,101.537,100,99.851,97.663,97.503
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRG3",20.684,19.553,16.868,14.087,13.732,15.096,14.764,14.876,15.616,15.441,15.201,15.402,16.456,19.358,20.931,22.374,23.561,25.867,29.657,31.901,31.173,31.472,35.095,34.318,34.1,34.783,35.11,36.634,37.595,38.063,39.415,40.589,40.955,41.446,41.845,42.065,42.74,45.005,47.169,49.7,52.714,55.35,57.186,58.75,61.132,64.82,67.546,70.122,73.269,75.579,80.711,86.483,90.689,92.608,92.858,93.483,94.212,93.621,95.738,99.789,102.972,105.436,107.612,109.956,110.155,109.141,108.163,107.463,106.799,105.424,102.702,101.251,100.628,99.407,97.863,97.687,100,100.585,99.4,100.737
"43","36","    Gasoline and other energy goods","DGOERG3",6.777,6.555,5.826,5.688,5.566,5.87,5.82,5.976,6.095,5.986,5.78,5.787,6.054,6.412,6.637,6.778,6.768,7.035,7.906,9,9.133,9.235,9.491,9.663,10.033,10.196,10.304,10.626,11.115,10.991,11.146,11.344,11.357,11.415,11.443,11.337,11.724,12.003,12.394,12.621,13.008,13.19,13.406,13.565,14.98,20.832,22.295,23.362,25.03,26.182,35.267,49.04,55.313,52.744,50.706,50.181,50.289,39.481,40.94,41.245,44.901,51.419,50.557,50.173,49.68,49.802,50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,122.378,143.694
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",8.308,7.934,6.709,6.978,6.918,7.262,7.277,7.515,7.694,7.485,7.142,7.022,7.336,7.68,7.755,7.77,7.71,7.904,8.86,9.936,10.145,10.16,10.369,10.579,11.027,11.266,11.385,11.729,12.237,12.117,12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354,14.482,14.588,14.777,16.19,21.871,23.339,24.331,25.74,26.858,35.993,49.955,55.584,52.772,51.047,50.283,50.689,39.81,41.34,41.691,45.539,51.843,51.162,50.963,50.446,50.685,51.491,54.645,54.634,47.555,51.788,66.17,63.776,59.915,69.782,82.086,100,112.842,122.411,142.242
"45","38","      Fuel oil and other fuels (29)","DFULRG3",3.513,3.448,3.248,2.93,2.82,2.991,2.924,2.978,3.021,3.012,2.965,3.052,3.199,3.442,3.642,3.767,3.779,3.987,4.496,5.227,5.252,5.398,5.616,5.696,5.865,5.89,5.953,6.154,6.477,6.383,6.473,6.378,6.614,6.622,6.747,6.624,6.769,6.947,7.163,7.391,7.547,7.838,8.336,8.388,9.614,15.278,16.578,17.782,20.121,21.275,29.331,41.187,50.389,49.415,45.558,46.572,44.756,35.044,35.954,35.938,38.077,45.856,43.658,41.881,41.592,40.836,40.455,45.851,45.926,40.699,41.395,60.692,59.506,53.051,64.182,74.736,100,114.09,121.874,166.173
"46","39","    Other nondurable goods","DONGRG3",11.311,10.912,10.396,9.82,9.328,9.564,9.553,9.507,9.843,9.683,9.59,9.766,10.068,11.005,11.748,12.429,12.853,13.447,15.3,16.15,15.798,15.868,16.901,16.966,17.218,17.264,17.443,17.741,18.31,18.752,19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845,23.911,24.827,25.445,26.139,28.711,32.008,33.664,35.615,37.552,40.007,43.661,47.362,51.028,54.542,56.564,58.752,61.092,63.552,66.397,70.065,73.61,77.532,80.45,81.807,82.38,83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.539,106.098
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",15.035,14.954,14.682,14.125,13.378,12.86,12.522,12.53,12.625,12.717,12.657,12.643,12.794,13.107,13.182,13.283,13.378,13.65,14.757,15.631,15.883,16.079,16.659,16.875,17.006,17.164,17.338,17.729,18.271,18.894,19.178,19.136,18.665,18.122,17.808,17.719,17.655,17.693,17.565,17.545,17.741,18.104,18.335,18.349,18.369,18.94,20.405,21.603,22.965,24.61,26.286,28.609,31.749,35.089,38.183,41.027,43.942,46.712,49.44,52.331,55.866,60.139,64.768,68.466,70.499,72.153,72.691,74.395,75.594,77.485,80.83,83.871,87.838,91.689,94.305,97.049,100,104.027,105.52,107.956
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRG3",22.722,22.166,19.243,15.67,15.939,18.738,20.233,19.71,22.717,19.904,18.27,19.151,19.225,23.49,26.297,29.71,30.983,32.022,35.013,38.584,37.562,37.103,39.414,40.716,39.94,38.96,39.885,39.76,40.584,41.097,41.164,41.912,42.584,43.29,43.915,44.833,44.883,45.216,46.222,48.352,50.644,52.533,54.56,55.939,56.935,59.792,63.71,65.813,67.535,70.274,74.664,82.188,89.041,93.33,94.908,96.137,97.622,98.815,101.642,105.334,109.256,112.014,114.459,115.883,115.737,116.611,117.1,118.255,117.62,115.326,111.486,109.573,108.72,106.342,103.197,102.695,100,99.365,98.638,100.17
"49","42","      Household supplies (parts of 32 and 36)","DHOURG3",15.812,15.093,13.033,11.209,11.421,12.06,12.025,11.946,12.214,11.617,11.253,11.397,12.4,14.891,16.368,17.916,18.902,20.185,25.706,26.84,23.754,23.661,26.104,24.328,24.282,24.484,24.532,24.745,25.397,25.812,26.009,26.289,26.224,26.143,26.247,26.239,26.343,26.741,27.445,28.237,28.862,29.983,31.101,31.624,32.378,37.882,45.503,48.722,52.496,55.5,59.398,64.956,70.244,74.78,77.583,79.254,81.566,82.947,85.135,87.198,90.509,92.804,94.741,95.004,94.936,95.061,96.772,97.823,97.828,98.278,99.166,101.556,103.566,103.269,99.991,99.21,100,101.127,100.395,102.712
"50","43","      Personal care products (part of 118)","DOPCRG3",18.662,18.314,17.689,17.267,17.185,15.746,15.51,15.54,15.803,15.843,15.748,15.595,16.109,17.496,17.796,18.589,18.912,19.731,23.573,24.261,23.458,22.846,25.274,24.509,24.616,24.534,24.734,25.504,26.317,27.414,27.611,27.59,27.527,27.783,27.873,27.908,27.799,27.45,27.929,28.778,30.076,30.829,31.832,32.674,33.535,37.234,41.925,44.334,46.822,49.151,52.321,56.657,61.818,66.688,70.364,72.563,74.664,76.897,78.387,80.846,83.883,86.939,89.8,91.839,93.21,94.53,95.234,95.526,95.74,97.18,98.577,99.878,100.847,100.664,99.681,99.798,100,100.876,102.373,103.021
"51","44","      Tobacco (127)","DTOBRG3",4.028,3.798,3.867,3.867,3.43,3.544,3.51,3.487,3.579,3.602,3.66,3.763,3.855,3.97,4.223,4.362,4.557,4.707,5.064,5.259,5.374,5.478,5.651,5.904,6.191,6.238,6.295,6.422,6.629,6.756,7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926,10.756,11.211,11.824,12.151,12.743,13.651,14.23,14.915,15.739,16.651,17.92,19.326,21.45,25.6,27.239,28.801,30.73,32.856,35.78,40.299,44.39,49.499,53.681,55.606,53.37,54.689,56.353,58.85,63.968,79.644,85.268,88.387,92.202,93.282,95.065,100,103.414,110.241,117.104
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",7.279,7.171,6.941,6.804,6.535,6.59,6.574,6.638,6.805,6.998,7.055,7.143,7.147,7.568,8.142,8.541,8.664,8.95,9.779,10.635,11.095,11.353,11.852,12.39,12.765,12.865,13.227,13.562,14.35,15.016,15.237,15.495,15.727,15.987,16.671,17.578,18.112,18.742,19.476,20.524,21.345,22.682,24.111,24.549,25.399,29.55,33.074,34.537,36.489,37.93,40.249,44.122,48.115,51.625,54.508,56.248,58.167,59.769,61.447,63.451,65.917,68.219,72.517,76.286,78.614,81.156,85.593,89.412,91.348,93.405,94.447,94.87,96.041,97.208,97.668,98.261,100,101.472,102.807,105.021
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRG3",7.787,7.564,7.031,6.352,5.953,5.877,6.006,6.104,6.33,6.336,6.32,6.369,6.594,7.059,7.501,7.845,8.102,8.594,9.22,9.707,9.872,10.126,10.625,11.013,11.441,11.728,11.931,12.217,12.575,12.883,13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326,18.287,19.285,20.103,21.078,22.868,24.836,26.558,28.56,30.779,33.353,36.805,40.558,43.712,46.433,48.85,51.053,53.378,55.413,58.127,60.844,63.812,66.586,69.24,71.299,73.205,75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.964,110.582
"55","48","  Household consumption expenditures (for services)","DHCERG3",7.514,7.302,6.792,6.129,5.737,5.648,5.775,5.867,6.081,6.093,6.076,6.126,6.34,6.784,7.205,7.536,7.782,8.244,8.82,9.277,9.438,9.676,10.142,10.524,10.94,11.215,11.406,11.671,12.007,12.3,12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604,17.533,18.489,19.275,20.199,21.873,23.751,25.411,27.332,29.467,31.916,35.229,38.882,42.086,44.908,47.392,49.635,52.025,54.106,56.862,59.738,62.93,65.93,68.869,71.116,73.087,75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.105,110.838
"56","49","    Housing and utilities","DHUTRG3",13.077,12.728,12.068,10.939,9.942,9.184,9.213,9.364,9.712,9.957,9.936,9.962,10.096,10.31,10.365,10.445,10.554,10.731,11.075,11.666,12.004,12.368,12.844,13.34,13.947,14.326,14.547,14.767,15.03,15.318,15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,108.047,111.926
"57","50","      Housing","DHSGRG3",13.121,12.748,12.023,10.765,9.661,8.81,8.851,9.051,9.474,9.773,9.767,9.799,9.966,10.22,10.285,10.374,10.499,10.743,11.15,11.837,12.229,12.647,13.201,13.764,14.467,14.906,15.122,15.38,15.668,15.982,16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162,19.981,20.909,21.663,22.584,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.909,43.193,45.79,48.175,51.051,54.074,56.532,59.069,61.522,64.414,66.449,68.268,70.129,72.101,74.328,76.58,78.728,81.221,83.472,86.06,89.456,93.043,95.383,97.607,100,103.599,107.438,110.443
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.957,111.841
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.668
"60","53","        Rental value of farm dwellings (22)","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,125.862,133.103
"61","54","        Group housing (23)","DGRHRG3",10.579,10.371,9.816,8.962,8.049,7.584,7.578,7.726,8.095,8.31,8.386,8.282,8.408,8.874,9.246,9.384,9.502,9.717,10.23,10.838,11.307,11.679,12.448,12.989,13.576,14,14.373,14.818,15.379,15.795,16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.615,17.888,18.184,18.924,19.655,20.509,21.194,22.061,23.179,24.722,26.289,28.408,30.466,32.828,35.87,39.166,42.324,44.959,47.514,50.615,53.795,56.25,58.542,60.898,63.511,65.865,67.631,69.304,70.955,72.714,74.634,76.808,79.245,81.66,84.625,88.365,91.861,94.563,97.083,100,103.584,107.998,111.945
"62","55","      Household utilities","DUTLRG3",12.946,12.771,12.557,12.31,12.028,11.904,11.858,11.681,11.567,11.484,11.366,11.358,11.298,11.288,11.28,11.315,11.332,11.144,11.158,11.27,11.343,11.454,11.575,11.781,11.961,12.088,12.33,12.393,12.558,12.744,12.903,13.33,13.478,13.527,13.563,13.596,13.622,13.724,13.823,14.025,14.407,15.091,16.223,16.986,17.944,20.518,23.419,25.796,28.528,30.765,33.695,38.931,44.485,50.239,54.31,56.842,58.398,58.614,58.48,59.51,61.593,63.311,65.867,67.865,70.337,71.425,72.075,73.961,75.687,74.445,74.675,78.323,84.949,82.423,87.918,91.779,100,107.94,111.295,119.972
"63","56","        Water supply and sanitation (25)","DWRSRG3",4.059,4.059,4.059,3.926,3.573,3.617,3.794,3.794,3.794,3.794,3.75,3.838,3.794,3.838,3.838,3.927,4.015,4.103,4.28,4.412,4.456,4.72,4.897,5.338,5.647,5.956,6.529,6.706,7.235,7.676,7.988,8.241,8.458,8.675,8.94,9.073,9.296,9.64,9.863,10.334,11.032,11.907,13.173,13.661,14.396,15.271,16.753,18.629,20.646,23.044,24.128,25.789,28.905,32.38,35.114,37.48,39.788,42.097,44.589,47.232,50.267,53.815,57.963,62.096,65.524,68.748,70.966,73.504,75.318,77.756,79.478,81.429,83.779,86.48,89.661,95.006,100,104.934,110.244,116.733
"64","57","        Electricity and gas","DELGRG3",16.565,16.285,15.947,15.683,15.583,15.337,15.072,14.79,14.608,14.477,14.333,14.239,14.185,14.13,14.118,14.099,14.054,13.705,13.601,13.68,13.759,13.771,13.853,13.932,14.045,14.091,14.203,14.226,14.27,14.381,14.498,14.982,15.111,15.111,15.077,15.08,15.046,15.076,15.142,15.273,15.573,16.214,17.326,18.177,19.214,22.327,25.685,28.242,31.221,33.465,36.948,43.267,49.597,56.087,60.601,63.216,64.557,64.102,63.092,63.588,65.359,66.461,68.489,69.8,71.97,72.364,72.49,74.156,75.852,73.323,73.028,77.275,85.413,81.032,87.34,90.689,100,108.977,111.64,121.09
"65","58","          Electricity (27)","DELCRG3",24.894,24.106,23.184,22.487,22.229,21.61,20.964,20.287,19.86,19.561,19.241,19.033,18.915,18.798,18.771,18.729,18.633,17.899,17.684,17.849,18.013,18.037,18.205,18.369,18.603,18.698,18.933,18.981,19.076,19.316,19.572,19.862,19.936,19.936,19.862,19.795,19.721,19.721,19.862,20.011,20.449,21.111,22.507,23.607,25.071,29.619,33.431,35.63,37.995,40.372,43.449,50.33,57.864,63.6,65.682,69.878,72.383,73.326,73.108,74.108,76.186,77.958,80.865,82.435,84.051,84.083,85.979,87.405,87.872,84.474,83.813,85.169,91.206,90.321,92.456,94.171,100,112.053,116.458,123.909
"66","59","          Natural gas (28)","DGHERG3",7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,7.715,8.202,8.333,8.333,8.332,8.379,8.379,8.421,8.421,8.51,8.646,9.132,9.796,10.282,10.774,12.101,14.495,16.978,20.158,21.983,25.5,30.488,34.748,41.49,48.605,48.924,48.61,46.257,44.163,43.888,45.091,45.131,45.697,46.54,49.392,50.316,47.665,49.604,53.051,52.06,52.435,61.879,73.711,62.845,77.129,83.633,100,102.459,101.417,115.174
"67","60","    Health care","DHLCRG3",2.939,2.947,2.74,2.414,2.379,2.466,2.608,2.662,2.734,2.788,2.769,2.856,2.928,3.115,3.362,3.611,3.772,4.092,4.533,4.789,4.856,4.959,5.186,5.441,5.699,5.897,6.104,6.322,6.584,6.84,7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.84,109.726
"68","61","      Outpatient services","DOUTRG3",4.317,4.422,4.092,3.505,3.506,3.617,3.849,3.927,4.008,4.165,4.122,4.274,4.351,4.603,4.986,5.332,5.485,5.761,6.102,6.367,6.439,6.482,6.647,6.974,7.345,7.656,7.954,8.275,8.579,8.867,9.161,9.377,9.56,9.84,10.074,10.34,10.677,11.283,12.008,12.677,13.589,14.539,15.503,16.024,16.546,18.011,20.145,22.22,24.187,26.083,28.33,31.439,34.697,37.659,40.395,43.072,45.724,48.713,51.76,55.251,58.926,62.801,66.475,70.215,73.535,76.93,79.565,80.819,82.96,85.015,86.969,89.065,91.855,93.179,95.134,97.562,100,101.862,105.621,108.002
"69","62","        Physician services (44)","DPHYRG3",4.118,4.211,3.9,3.357,3.372,3.48,3.699,3.776,3.839,3.978,3.947,4.087,4.164,4.397,4.786,5.097,5.222,5.469,5.764,5.998,6.029,6.06,6.215,6.557,6.899,7.179,7.504,7.832,8.158,8.437,8.717,8.929,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122,14.08,15.027,15.507,15.994,17.483,19.61,21.839,23.855,25.81,28.205,31.189,34.599,37.849,40.812,43.648,46.184,49.541,53.189,56.997,61.177,65.578,69.442,73.804,77.913,81.817,85.035,85.631,86.782,88.641,90.609,92.181,94.804,94.797,96.273,98.238,100,100.954,105.098,106.21
"70","63","        Dental services (45)","DDENRG3",3.869,3.977,3.679,3.099,3.072,3.153,3.383,3.438,3.557,3.705,3.666,3.813,3.854,4.111,4.395,4.745,4.948,5.242,5.623,5.917,6.093,6.159,6.319,6.525,6.899,7.211,7.36,7.588,7.777,8.005,8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551,12.196,12.982,13.508,13.95,14.987,16.552,17.637,18.94,20.255,21.956,24.571,26.915,28.999,30.942,33.453,35.568,37.541,40.089,42.778,45.399,48.361,51.927,55.369,58.222,60.953,63.89,66.839,69.935,72.911,76.319,79.798,83.032,86.737,90.289,94.737,100,105.208,110.624,116.313
"71","64","        Paramedical services (46)","DPMSRG3",4.939,5.05,4.66,4.05,4.051,4.217,4.439,4.551,4.607,4.829,4.718,4.885,5.049,5.272,5.772,6.16,6.27,6.547,6.936,7.213,7.27,7.325,7.493,7.88,8.267,8.658,9.045,9.433,9.768,10.156,10.641,10.915,11.18,11.523,11.796,12.057,12.467,13.242,14.133,14.958,15.957,17.184,18.305,18.872,19.564,21.338,24.009,26.706,29.189,31.439,33.582,37.368,40.877,43.602,46.256,48.331,51.698,54.492,56.189,59.407,62.581,65.871,69.199,71.939,74.162,77.083,78.68,80.048,83.139,85.026,86.25,88.449,91.266,93.495,95.455,97.711,100,101.904,104.419,107.442
"72","65","      Hospital and nursing home services","DHPNRG3",1.859,1.756,1.652,1.549,1.48,1.549,1.618,1.652,1.721,1.687,1.687,1.721,1.79,1.928,2.065,2.238,2.41,2.788,3.374,3.649,3.718,3.89,4.2,4.406,4.578,4.682,4.819,4.957,5.198,5.439,5.56,6.282,6.448,6.58,6.803,7.1,7.308,7.527,8.002,8.566,9.158,9.897,10.284,10.794,11.431,12.575,13.932,15.205,16.415,17.872,19.759,22.31,25.329,28.665,31.661,34.224,36.276,38.271,40.787,44.323,49.022,54.025,59.068,63.932,67.687,70.119,72.812,75.027,76.107,77.149,78.771,81.278,84.17,87.282,91.967,96.348,100,104.15,107.989,111.357
"73","66","        Hospitals (51)","DHSPRG3",1.738,1.641,1.545,1.448,1.384,1.448,1.512,1.545,1.609,1.577,1.577,1.609,1.673,1.802,1.931,2.092,2.253,2.606,3.154,3.411,3.475,3.636,3.926,4.119,4.28,4.376,4.505,4.634,4.859,5.084,5.198,5.905,6.062,6.188,6.39,6.672,6.869,7.073,7.519,8.043,8.607,9.298,9.652,10.138,10.746,11.796,13.095,14.348,15.535,16.91,18.728,21.252,24.277,27.717,30.841,33.511,35.651,37.775,40.411,44.174,49.245,54.613,60.149,65.627,69.776,72.308,74.867,76.674,77.31,77.879,79.227,81.327,83.737,86.806,91.854,96.338,100,104.377,108.023,111.233
"74","67","        Nursing homes (52)","DNRSRG3",2.859,2.7,2.542,2.383,2.277,2.383,2.488,2.541,2.647,2.594,2.594,2.647,2.753,2.965,3.177,3.442,3.706,4.289,5.189,5.612,5.718,5.983,6.46,6.777,7.042,7.201,7.413,7.624,7.995,8.366,8.552,8.963,9.178,9.349,9.744,10.141,10.424,10.761,11.442,12.289,13.081,14.159,14.783,15.467,16.313,18.118,19.884,21.298,22.66,24.7,27.073,29.794,32.741,35.236,37.282,39.145,40.676,41.923,43.768,46.048,48.821,52.075,54.84,56.913,58.921,60.93,64.209,68.127,71.051,74.071,76.868,81.172,86.276,89.598,92.519,96.395,100,102.988,107.836,112.038
"75","68","    Transportation services","DTRSRG3",8.957,8.885,8.437,7.785,7.34,7.485,7.65,7.607,7.564,7.619,7.647,7.511,7.649,8.114,8.296,8.251,8.357,8.639,9.282,9.957,10.641,11.12,11.914,12.358,12.936,13.371,13.691,14.155,14.68,15.1,15.543,15.891,16.355,16.707,16.779,17,17.294,17.608,18.266,19.089,20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.622,112.403
"76","69","      Motor vehicle services","DMVSRG3",9.881,9.567,9.004,7.877,7.068,7.295,7.532,7.53,7.547,7.543,7.529,7.507,7.833,8.497,8.544,8.65,8.715,9.022,9.755,10.322,10.615,10.83,11.609,11.983,12.647,13.07,13.327,13.791,14.287,14.573,14.903,15.141,15.499,15.682,15.853,16.027,16.326,16.566,17.206,18.021,19.065,20.34,21.668,22.533,23.736,26.004,29.153,31.188,33.443,36.037,39.536,43.607,47.6,51.142,53.366,55.206,56.793,58.929,61.361,63.756,66.347,68.905,71.577,73.79,76.041,78.296,80.285,81.843,82.991,84.574,86.318,88.732,91.656,94.094,95.792,97.155,100,103.515,106.344,111.154
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRG3",8.881,8.587,8.062,7.011,6.26,6.467,6.698,6.701,6.72,6.72,6.7,6.678,6.972,7.584,7.665,7.772,7.833,8.086,8.757,9.241,9.471,9.68,10.396,10.669,11.235,11.635,11.888,12.348,12.789,12.999,13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447,18.741,20.092,20.974,22.145,24.378,27.493,29.488,31.706,34.28,37.595,41.443,45.217,48.526,50.564,52.168,53.535,55.155,57.191,59.482,61.861,64.262,66.968,69.417,71.442,73.334,75.013,76.938,78.919,80.844,83.066,85.705,88.685,91.933,94.53,96.733,100,104.211,107.749,112.995
"78","71","        Other motor vehicle services (61)","DOVSRG3",15.733,15.428,14.847,13.633,12.715,13.024,13.116,13.044,12.997,12.946,13.041,13.045,13.529,14.375,13.92,13.932,13.994,14.875,15.837,17.17,18.217,18.295,19.321,20.785,22.288,22.7,22.825,23.007,23.877,24.981,25.78,25.911,26.03,26.115,26.11,26.178,26.306,26.406,26.591,26.793,27.114,27.513,27.938,28.231,29.225,30.859,33.022,34.596,36.277,37.993,41.825,46.345,50.766,55.009,58.034,61.166,63.915,69.216,73.89,76.324,79.721,82.672,84.504,85.161,88.164,91.659,94.625,95.01,93.933,94.676,95.268,97.188,100.015,100.375,99.517,98.38,100,101.633,102.666,106.406
"79","72","      Public transportation","DPUBRG3",9.277,9.308,8.872,8.369,8.055,8.169,8.309,8.243,8.165,8.254,8.308,8.096,8.133,8.542,8.773,8.688,8.814,9.105,9.743,10.556,11.637,12.422,13.303,13.87,14.384,14.873,15.312,15.812,16.426,17.122,17.819,18.415,19.136,19.893,19.732,20.076,20.369,20.878,21.609,22.489,24.024,26.336,28.428,29.415,30.238,32.33,35.322,38.26,40.717,42.572,45.707,58.199,68.484,69.985,71.929,75.463,75.554,71.88,75.108,79.963,84.09,87.241,87.511,89.516,93.528,90.8,92.032,91.529,95.633,96.941,96.921,100.351,95.723,90.302,93.137,94.598,100,106.13,107.384,115.786
"80","73","        Ground transportation (63)","DGRDRG3",5.543,5.565,5.304,5.003,4.815,4.887,4.97,4.929,4.883,4.941,4.97,4.846,4.867,5.109,5.246,5.192,5.274,5.462,5.841,6.317,6.986,7.487,8.048,8.409,8.75,9.092,9.411,9.763,10.203,10.588,11.019,11.293,11.657,12.075,12.251,12.566,12.803,13.263,13.975,14.717,15.636,17.383,18.835,19.662,19.966,21.072,23.101,24.989,26.731,28.163,30.262,35.03,41.047,45.151,47.354,50.233,52.13,55.795,57.368,59.606,61.413,64.382,67.485,70.226,71.109,71.761,72.565,77.961,79.211,79.863,79.862,81.862,84.416,86.596,91.57,95.997,100,104.699,106.315,111.373
