"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","33","     Excluding imputations (31-32)","A2100C1",50.7,46.4,39.4,30.8,29.3,34,37,42.6,47.6,44.6,47.7,51.7,64.2,84.1,107.7,118.6,120.2,116.5,127.9,139.5,139.3,152.8,178.2,192.6,206.5,205.4,221.8,240.3,252.8,254.3,275.2,290.3,298.7,319.9,337.5,362.1,390,432,463.5,510.7,562.4,599.6,639.6,703.2,787.1,862.4,915.7,1018.7,1133,1279.9,1435.2,1575,1735.5,1824,1930.7,2131.8,2287.8,2427.4,2596,2797,2957.5,3134,3230.2,3398.6,3545.3,3735.7,3935.2,4128.2,4398.6,4735.3,5034.8,5431.9,5592.3,5697.7,5930.8,6207,6542.4,6940.5,7299.7,7467.4
"43","34","  Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1028.7,1047.3
"44","35","    Imputations (135+142)","A2094C1",1.2,1.2,1.2,1.1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.8,1.9,2.1,2.4,2.6,2.9,3.3,3.8,4.3,4.8,5.1,5.6,6.2,6.7,7.4,8.1,8.8,9.5,10.6,12,13.4,15.2,16.7,18.1,19.5,20.8,22.9,25.3,27.9,28.5,29.3,31.9,35.4,38.6,41.3,44.5,47.3,50.2,54.8,58.4,63.2,67.2,72,74.5,74.5,78.1,78.2,80.8,83.7,85.5,88.6,91.5,96.6,104.3,110.6,117.8,125.4,133.1,141.8,146.5
"45","36","    Excluding imputations (34-35)","A2095C1",5.7,5.8,5.5,5.5,5.9,6.6,7,7.5,7.9,7.9,8.1,8.8,10,10.4,11.3,12.5,13.8,15.6,16.7,18.2,19.1,21.1,22.6,24.7,26.5,26,28.2,30.5,32.4,33,36,39,40.8,43.6,46,49.2,51.9,53.7,57.3,64.4,70.4,76.2,83.7,89.9,97.7,104.1,112.4,121.1,131.8,142.4,150.8,168.4,200.3,202.3,222,245.3,260.8,273.2,292.7,316,335.6,357.8,385.1,408.9,428.6,467.1,479.7,499.9,527.9,554,585,617.1,631.1,658.5,696.2,745.6,804.8,853.7,886.9,900.7
"46","37","  Less: Subsidies","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.8,53.5
"47","38","    Imputations (136)","B1154C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6
"48","39","    Excluding imputations (37-38)","A2096C1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7,8.8,8.4,9.7,11.3,14.8,21,20.8,21.1,24.7,30.1,29.3,27.2,26.8,27.3,29.8,36.4,32,34.6,35,33.5,36,44.7,45.4,58.2,41.1,48.5,45,56.9,49.3,46.8,49.9
"49","40","  Net operating surplus","W271RC1",35.2,28.3,20.6,13.1,12.1,16.2,20.8,23.3,26.3,22.6,25,29.3,39.8,52.7,62.3,63.5,60.6,62.6,67.3,79.9,73.8,84.9,96.5,96.4,97.5,98.4,112.1,113.6,116.7,116.5,129.7,130.8,136.8,149.4,158.8,171.2,189.7,203.2,205.8,218.6,225.5,219.3,243.3,275.4,310.2,314.1,351,392.3,444,508.8,546.4,560.6,652.9,669.2,756.1,910.6,971,995.9,1078.1,1199,1270.6,1298.6,1317.3,1400.3,1486.7,1641.9,1770.3,1959,2134.7,2227.4,2342.6,2444.9,2479.8,2521.6,2625.4,2926.3,3236,3539.7,3494.9,3454.8
"50","41","    Imputations (138+139+167+179+183)","W517RC1",6.1,5.6,4.9,4.1,3.6,3.4,3.6,3.8,4,3.9,4,3.9,4.3,5.1,5.9,6.4,6.9,7.4,7.4,8.2,8.5,9.4,10.6,12,13.8,15.3,16.4,17.5,18.7,20,21.8,23.9,25.5,27.5,28.6,30.5,32.2,34.3,36.3,37.7,42.4,46.1,50.6,55.2,60,67.4,77.8,81.7,89.3,103.7,116.5,130.6,145.5,163.3,199.2,213.5,244.6,273.3,287.2,304.9,316.3,341.7,369.1,402.8,425.6,451.4,473.7,505.1,541,575.7,623.7,666.6,697.2,715.4,708.3,743.5,787.2,817.2,879.4,965.1
"51","42","    Excluding imputations (40-41)","W518RC1",29.1,22.8,15.7,9,8.5,12.9,17.2,19.5,22.3,18.7,21,25.4,35.4,47.6,56.4,57.1,53.8,55.3,59.8,71.7,65.3,75.4,85.9,84.4,83.7,83.2,95.7,96.1,98,96.5,107.8,107,111.2,122,130.2,140.7,157.5,168.9,169.5,180.8,183,173.2,192.7,220.1,250.3,246.7,273.3,310.6,354.7,405.1,429.9,429.9,507.4,505.9,556.9,697.2,726.4,722.6,790.9,894,954.3,956.9,948.3,997.5,1061.1,1190.6,1296.6,1454,1593.7,1651.7,1718.9,1778.3,1782.6,1806.2,1917.1,2182.7,2448.8,2722.5,2615.5,2489.6
"52","43","    Net interest and miscellaneous payments","W272RC1",4,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.5,4,4.6,5.4,6.1,6.8,8,9.4,9.5,10.4,12.1,13.8,14.7,16.9,19.1,21.9,24.9,26.7,33.2,39.9,44.2,48.9,57.5,72.7,83.2,85.2,99.8,116.2,141.5,183,228.9,267,283.1,327.1,352.8,387.2,395.7,418.1,474,483.6,462,428.7,407,412.1,417.5,437.2,487.3,560.2,569.9,642.5,656.9,609.6,595.5,569.3,678.9,830.1,964.1,1043.1
"53","44","      Imputations (183)","A2104C1",2.1,2,1.8,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.8,2,2.2,2.4,2.6,2.7,3.1,3.3,3.6,4.1,4.6,5.4,6,6.9,7.9,8.7,9.4,10.4,11.6,12.6,13.7,14.4,16.3,17.6,19.1,20.7,22.5,26.8,30.5,33.9,38.4,43.4,50.8,61.9,66.2,76.1,89.6,102.4,114.9,127.6,148.3,185.1,200.1,233.7,265,276.7,287.8,298.3,320.1,341.3,360,356.3,357.4,373.4,393.5,421.3,443.8,474.5,512,531.5,553.8,555.3,594.5,653.8,719.5,796.3,831.9
"54","45","      Excluding imputations (43-44)","A2105C1",1.9,2.2,2.5,2.5,2.2,2.3,2.3,2,2,2,2,1.8,1.6,1.4,0.9,0.3,0,-0.7,-0.3,-0.6,-0.5,-0.6,-0.6,-0.6,-0.8,-0.6,-0.8,-1.1,-0.7,-0.1,-1,-1.2,-0.5,0.1,0.3,0.7,1.5,2.8,4.3,4.2,6.4,9.3,10.3,10.5,14.1,21.9,21.3,19,23.7,26.6,39.1,68.2,101.4,118.7,98,127,119.2,122.1,119,130.3,175.7,163.5,120.7,68.7,50.8,54.7,44.1,43.7,66,116.4,95.4,130.4,125.4,55.7,40.1,-25.2,25.1,110.5,167.9,211.2
"55","46","    Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,102.2,118.8
"56","47","      Imputations(138)","W536RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,8.8,6.5
"57","48","      Excluding imputations (46-47)","W530RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2.1,2.3,2.7,3.2,3.7,3.5,3.8,4.4,5,4.5,4.3,4.8,5.9,7.4,9.6,9.4,8,10.3,13.4,15.1,17.7,20.6,22.7,30.4,35.5,35.9,32.5,33,40.1,40.9,40.5,42.1,39,40.2,44.2,54.4,46.7,63.4,66.9,86.1,102.2,79.8,71.8,75.9,84.6,72.3,93.4,112.3
"58","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"59","50","      Imputations(167+179)","A2101C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.9,1.6,1.5,1.6,1.5,1.4,1.3,1.1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.6,3.2,2.8
"60","51","      Excluding imputations (49-50)","A2102C1",12.9,9.9,7.5,4.4,4.6,6.3,9.2,9.5,11.5,9.8,10.4,11.5,15.7,22.2,26.8,28,29.3,34,32.8,37.4,33,36,41,41.5,40.6,41,43.2,44.8,46.9,49.2,49.5,49.9,52.4,54.5,55.7,58.6,63.2,67.5,69.1,73.4,76.8,77.7,83.8,95,112.3,112.1,118.1,130.1,143.2,164.4,177.9,171.1,179.6,172.9,187.8,230.1,243,259,290.9,331.7,348.7,362.2,364.9,411.7,446.6,481.7,513.3,580.7,625.2,684.7,743.6,814.7,867.9,887.3,927.6,1030.1,1065.5,1129.3,1093.2,1103.4
"61","52","    Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"62","53","      Imputations (139)","B1156C1",2.9,2.5,2.2,1.8,1.4,1.1,1.2,1.2,1.4,1.5,1.6,1.6,1.8,2.1,2.5,2.8,3,3,3,3.2,3.6,4.3,4.9,5.9,7,8,8.4,8.6,9.1,9.6,10.5,11.5,12.2,13,13.5,13.6,13.9,14.4,14.9,14.5,14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,71.1,123.9
"63","54","      Excluding imputations (52-53)","A2103C1",3.3,2.9,2.3,1.9,1.5,1.4,1.4,1.5,1.7,2,2.2,2.3,2.7,3.4,3.7,3.7,3.7,4.1,4.2,4.6,4.5,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.6,5.6,5.9,5.8,6,6.1,6,6.1,6,6.2,6.4,7.5,8.8,8.6,8.8,8.8,9.7,10.4,11.7,14.7,20.7,25.1,26.8,29.5,33.7,30.1,28.5,26.8,26.4,30.4,35.7,43.7,49.3,54.2,58.7,61.2,64.4,64.2,64.2,64.3,68.5,62.8,58.6,58.8,60.4,63.1,73.7,86.5
"64","55","  Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"65","56","    Imputations (140+144+181)","A2092C1",1.9,1.9,1.7,1.5,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.4,3,4.6,7.4,10.1,11.4,12.3,12.6,12,11.2,10.7,11.9,13.1,14.2,15.1,16,17.4,18.6,19,19.9,20.7,21.4,22.5,23.7,24.7,26,27.6,29.6,32,34.6,37.3,39.9,42.3,46.1,52.7,58.8,63.4,69.4,77.3,86.7,98.6,110.8,120.5,126.7,134.6,142.9,153,164.2,175.8,188.2,201.3,212.7,221.5,233.5,245.1,257.6,266.4,277,288.9,306.4,326.7,344.8,359.9,380.2,412.3,450.2,488.9,519.4,539.4
"66","57","    Excluding imputations (55-56)","A2093C1",7.8,7.6,7.1,6.2,5.9,6,6,6.2,6.9,7,7,7.3,8.1,9.1,9.1,9.4,9.7,10.8,14,16.5,17.9,19.2,21.9,23.2,24.5,25.5,26.8,29.7,32.3,34.2,35.5,35.9,36.8,38.1,39.6,41.7,44.7,48.8,53.3,58.4,64.5,71.1,77.9,84.8,94.7,111,131.6,144.8,162.4,184.1,212.2,245.4,282.6,313,324.4,339.7,362.6,385.4,406.9,435.2,463.2,489.9,511.6,522.9,544.5,574,611.8,646.1,686.8,731.6,788,857.7,911.5,945.1,973.9,1020.5,1091.2,1171.8,1240.6,1307.7
"67",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","58","Personal income","A065RC1",84.9,76.1,65.2,49.9,46.8,53.7,60.3,68.6,74.1,68.4,72.9,78.4,96,123.4,152.1,166,171.6,178.6,190.9,209.7,207,228.9,257.9,275.2,291.7,294.3,316,339.5,358.5,368.9,392.3,411.3,428.8,456.4,479.5,514.3,555.5,603.8,648.1,711.7,778.3,838.6,903.1,992.6,1110.5,1222.7,1334.9,1474.7,1632.5,1836.7,2059.5,2301.5,2582.3,2766.8,2952.2,3268.9,3496.7,3696,3924.4,4231.2,4557.5,4846.7,5031.5,5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11894.1,12238.8
"69","59","  Imputations (139-136+147+160-164+167+171+172+173+174+179)","A2106C1",5.3,4.8,4,3.2,2.8,2.6,2.9,3,3.3,3.3,3.3,3.4,4,5.1,6.6,7.6,8.3,7.4,7.1,8.2,8.4,9.4,11.1,12.4,13.9,14.9,15.7,16.4,17.4,18.3,20,21.6,23,24.5,25.3,26.8,28.3,30.3,32.2,34.1,38,42.1,45.8,49.4,52.3,59,70.7,75.6,81.9,94.7,102.3,112.4,123.9,139.8,172.7,178.2,199,210,225.8,248.7,264.4,295.3,331.8,386.4,429.4,466.4,466.8,493.8,512.8,560,620.6,672.6,718.3,741.4,761.1,804.4,820.5,798.3,827.5,915.6
"70","60","  Excluding imputations (58-59)","A2107C1",79.6,71.4,61.2,46.6,44,51.1,57.4,65.6,70.7,65.1,69.6,75.1,92.1,118.3,145.6,158.4,163.4,171.2,183.8,201.5,198.5,219.4,246.8,262.9,277.8,279.4,300.3,323,341.2,350.6,372.4,389.7,405.8,432,454.2,487.5,527.2,573.5,615.9,677.6,740.3,796.5,857.3,943.2,1058.3,1163.8,1264.1,1399.1,1550.6,1742.1,1957.2,2189.1,2458.3,2627.1,2779.5,3090.7,3297.7,3486,3698.6,3982.6,4293.1,4551.4,4699.7,4960.9,5138.7,5408.4,5734.1,6097.7,6487.9,6965.3,7290.3,7886.9,8165,8318.7,8617,9132.8,9665.4,10469.8,11066.6,11323.2
"71","61","  Compensation of employees, received","W209RC1",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.4,121.4,123.2,119.6,130.1,141.9,141.9,155.3,181.4,196.2,210.3,209.2,225.7,244.5,257.5,259.5,281,296.4,305.3,327.1,345.2,370.7,399.5,442.7,475.1,524.3,577.6,617.2,658.3,725.1,811.3,890.7,949,1059.2,1180.4,1335.2,1498.5,1647.6,1819.6,1919.6,2036,2245.2,2412,2557.7,2735.6,2954.2,3131.3,3326.2,3438.4,3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8,6367.6,6708.4,7060,7475.7,7862.7,8042.4
"72","62","    Imputations (170)","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.4,2.5,2.4,3.3,3.6,3.7,3.8,3.9,4.3,4.8,5.3,5.8,6.2,6.8,7.3,7.8,8.6,9.5,10.6,11.6,13.6,15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,563.9,577.3
"73","63","    Excluding imputations (61-62)","W519RC1",50.7,46.4,39.4,30.8,29.3,34,37,42.6,47.6,44.6,47.7,51.7,64.2,84.1,107.4,118.8,120.1,116.5,127.9,139.5,139.4,152.8,178.1,192.6,206.6,205.4,221.8,240.2,252.8,254.3,275.2,290.2,298.5,319.8,337.4,362.1,390,432.1,463.6,510.7,562.4,599.6,639,703.2,787.2,862.9,915.6,1018.6,1132.8,1279.5,1435.3,1574.9,1735.3,1823.8,1931,2131.4,2287.8,2425.6,2594.7,2796.1,2956.2,3131.6,3227.5,3411.4,3535.6,3714.1,3914.8,4120.4,4397.1,4731.5,5024.4,5427.2,5587.1,5692.2,5910.1,6215.9,6531,6932.6,7298.8,7465.1
"74","64","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"75","65","    Imputations (167+179)","A2101C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.9,1.6,1.5,1.6,1.5,1.4,1.3,1.1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.6,3.2,2.8
"76","66","    Excluding imputations (64-65)","A2102C1",12.9,9.9,7.5,4.4,4.6,6.3,9.2,9.5,11.5,9.8,10.4,11.5,15.7,22.2,26.8,28,29.3,34,32.8,37.4,33,36,41,41.5,40.6,41,43.2,44.8,46.9,49.2,49.5,49.9,52.4,54.5,55.7,58.6,63.2,67.5,69.1,73.4,76.8,77.7,83.8,95,112.3,112.1,118.1,130.1,143.2,164.4,177.9,171.1,179.6,172.9,187.8,230.1,243,259,290.9,331.7,348.7,362.2,364.9,411.7,446.6,481.7,513.3,580.7,625.2,684.7,743.6,814.7,867.9,887.3,927.6,1030.1,1065.5,1129.3,1093.2,1103.4
"77","67","  Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"78","68","    Imputations (139)","B1156C1",2.9,2.5,2.2,1.8,1.4,1.1,1.2,1.2,1.4,1.5,1.6,1.6,1.8,2.1,2.5,2.8,3,3,3,3.2,3.6,4.3,4.9,5.9,7,8,8.4,8.6,9.1,9.6,10.5,11.5,12.2,13,13.5,13.6,13.9,14.4,14.9,14.5,14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,71.1,123.9
"79","69","    Excluding imputations (67-68)","A2103C1",3.3,2.9,2.3,1.9,1.5,1.4,1.4,1.5,1.7,2,2.2,2.3,2.7,3.4,3.7,3.7,3.7,4.1,4.2,4.6,4.5,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.6,5.6,5.9,5.8,6,6.1,6,6.1,6,6.2,6.4,7.5,8.8,8.6,8.8,8.8,9.7,10.4,11.7,14.7,20.7,25.1,26.8,29.5,33.7,30.1,28.5,26.8,26.4,30.4,35.7,43.7,49.3,54.2,58.7,61.2,64.4,64.2,64.2,64.3,68.5,62.8,58.6,58.8,60.4,63.1,73.7,86.5
"80","70","  Personal interest income","A064RC1",6.7,6.3,6.2,5.8,5.4,5.5,5.4,5.2,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.3,6,6.7,7.6,8.1,8.8,9.7,10.5,11.3,12.7,14,15.2,16.9,18.9,20.3,22,24.5,26.2,29.1,31.7,35.6,39.2,43.4,47.5,51.6,59.9,69.2,75.9,82.8,94.8,113.2,129.3,139.5,160.6,184,217.3,274.7,348.3,410.8,446.3,517.2,555.8,588.4,603.6,637.3,717,751.9,748.2,722.2,698.1,712.7,751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9,889.8,860.2,987,1127.5,1266.4,1308
"81","71","    Imputations (147+160-164)","W520RC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.1,1.1,1.2,1.3,1.4,1.8,2,2.4,2.6,2.7,2.7,2.9,3.2,3.4,3.5,3.4,4,4.2,4.6,5.2,5.6,7.6,9.5,10.7,11.8,12.5,15.2,22.5,21,23,26.7,26.4,25.2,23.7,30.8,55.4,52.9,65.7,73,78.2,76.8,73.2,81.6,96.2,110.9,111,111.4,107.5,117.5,129.3,140.7,152.4,160.8,163.4,167.9,159.8,174.6,178,175.2,202.3,220.4
"82","72","    Excluding imputations (70-71)","W521RC1",5.8,5.5,5.6,5.4,5,5.1,5,4.7,4.8,4.7,4.8,4.7,4.7,4.6,4.5,4.6,5.2,5.7,6.5,7,7.7,8.5,9.2,9.9,10.9,11.9,12.8,14.3,16.2,17.6,19.1,21.3,22.8,25.5,28.2,31.5,34.9,38.8,42.3,46.1,52.3,59.7,65.3,71,82.3,98,106.7,118.4,137.6,157.3,190.9,249.4,324.6,380,390.9,464.4,490.1,515.4,525.4,560.5,643.8,670.3,652.1,611.2,587.1,601.3,644.4,666.9,706.4,778.7,758.5,823.3,813.1,744,730,685.6,809,952.2,1064.1,1087.6
