"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"43","36","        Value added","W129RC1",0.4,0.4,0.4,0.4,0.8,1.4,1.4,3.2,2.6,3.1,3,2.6,1.8,0.9,1,0.7,1,2.6,3.1,3.2,3.5,3.7,3.7,3.8,3.7,3.5,3.8,4.1,4.4,5,5.1,5.6,6.1,6.6,7.3,8,8.6,9.4,10.1,11.3,12.1,13.8,15.7,17.2,18.6,20.8,23.7,26.5,30,32.3,34.6,39.2,42.3,44.6,47.1,49.8,52.3,53.7,56.8,62,65.8,72,77.7,81.8,88.1,90.5,92.1,94,97.8,101.8,107.7,116.3,119.7,129.3,139.1,147.8,154.4,161.9,170.1,179.4
"44","37","          Compensation of general government employees","W130RC1",0.4,0.4,0.4,0.4,0.7,1.3,1.2,3,2.4,2.9,2.7,2.4,1.5,0.6,0.6,0.3,0.6,2.1,2.5,2.6,2.9,3.1,3.1,3.2,3.1,2.9,3.2,3.5,3.7,4.3,4.4,5,5.4,5.8,6.4,7,7.4,8,8.6,9.5,10.1,11.7,13.4,14.8,16,18,20.5,23.1,26.3,28.3,30.1,34,36.3,37.9,39.9,41.8,43.6,44.3,46.8,51.1,54,59.3,64,67.7,73.3,75.2,76.1,77.4,80.2,83.5,87.9,94.9,97.3,106.4,115.6,123.6,128.7,134.5,141.3,149.1
"45","38","          Consumption of general government fixed capital \2\","B546RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.6,1.7,1.9,2.1,2.3,2.4,2.5,2.8,3.2,3.4,3.7,4,4.5,5.2,6,6.7,7.3,7.9,8.7,9.3,10,10.9,11.8,12.7,13.6,14.2,14.8,15.3,16,16.6,17.6,18.3,19.8,21.5,22.4,23,23.5,24.2,25.6,27.4,28.8,30.4
"46","39","        Intermediate goods and services purchased \3\","W131RC1",0.3,0.3,0.3,0.2,0.5,0.7,0.6,0.7,0.7,0.8,1.2,1,0.9,1.4,0.7,1.7,1.4,1.8,1.2,2,3.2,1.6,0.9,1.9,3.8,3.8,4.1,2.6,2.7,2.4,5.5,3.7,3.5,5.3,5.9,6.8,7.3,7.2,7.8,8,9.2,9.3,10.4,12.6,12.6,14.4,16.8,17.1,19.5,22,25.1,29.4,33.2,31.8,35.4,32.2,37.5,41.5,39.1,32.7,40.3,46.1,48.9,54.4,52.3,56.4,58,56.4,60.8,59.4,58.1,64.6,74,85.5,91.3,98.3,105,112.3,110.5,129
"47","40","          Durable goods","A543RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.6,1.5,1.7,1.7,1.7,1.8,1.8,1.9,2.3,2.2,2.4,2.8,2.9,2.9,3.2
"48","41","          Nondurable goods","A729RC1",0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.3,0.3,0.6,0.5,0.3,0.8,-0.2,0.8,0.2,0.4,0.4,0.8,2.1,0.5,0.1,0.5,2.4,2.2,2.5,0.8,0.8,0.7,3.3,1.1,0.4,1.5,1.2,1.1,1.1,0.4,1.2,1.9,3,2,2.1,2.4,1.9,2.6,2.8,3.5,4.4,4.9,5.2,7.4,11.2,9.1,10.6,6.4,9.5,12.4,6.9,-0.1,5.7,5.7,6.3,6.9,8.3,6.9,8.6,7.9,9.7,10.8,7.9,9.7,12.7,13,14.9,16.7,19.7,19.7,19.3,22.7
"49","42","            Commodity Credit Corporation inventory change","B826RC1",0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,-0.4,0.5,-0.4,-0.5,0.1,0.3,1.5,0.3,-0.4,0.2,2,1.9,2,0.2,-0.1,0.3,2.1,0.2,-0.8,0.3,-0.2,-0.4,-0.4,-1.5,-0.9,0.2,0.7,-0.4,-0.3,-0.4,-0.7,-0.5,0.3,0.2,0.4,0,0,1.5,0.9,1.7,2.5,-1.8,2.2,6.4,-0.2,-7.1,-0.8,-1.5,0.2,-0.6,-0.2,-0.5,-0.2,-0.3,-0.1,0.2,0.1,0.8,0.8,0.1,-0.1,-1,-0.5,-0.1,-0.1,-0.4
"50","43","            Other nondurable goods","B828RC1",0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.6,1,0.3,0.5,0.6,0.3,0.5,0.3,0.3,0.4,0.4,0.6,0.9,0.4,1.2,1,1.2,1.2,1.3,1.5,1.6,1.9,2.1,1.8,2.3,2.4,2.4,2.8,2.6,3.1,2.5,3.3,4,4.8,5.2,6,10.3,7.5,8.1,8.2,7.2,6,7.1,7,6.5,7.2,6.1,7.5,8.5,7.3,8.8,8.2,9.8,10.6,7.8,8.9,11.9,12.9,15,17.7,20.3,19.7,19.4,23.1
"51","44","          Services","A544RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.8,0.7,1.1,1.2,0.7,1.1,1,0.9,0.7,1.3,1.3,1.4,1.6,1.7,1.8,1.7,2.1,2.5,3,3.6,4.5,5.3,5.7,6.4,6.2,5.7,5.9,7.1,8.1,9.9,10.4,11.7,13.7,13.3,14.7,16.7,19.4,21.3,21.4,22.1,23.9,24.9,27.1,28.1,31.1,31.6,33.3,38.9,41,45.8,42.4,47.9,47.9,46.9,49.4,46.9,48.5,53,59.4,70.3,74.3,79.1,82.5,89.7,88.3,103
"52","45","      Less: Own-account investment \4\","W136RC1",0,0,0,0,0.3,0.4,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.6,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,2,2.2,2.4,2.5,2.6,2.5,2.6,2.5,2.5,2.7,2.5,2.1,2.6,2.4,2.3,2.4,2.6,2.6,2.6,3
"53","46","            Sales to other sectors","W137RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.9,1.1,0.6,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.7,0.3,0.6,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.7,0.8,0.7,0.8,1.2,1.3,1.4,1.3,1.8,2.5,3.1,4,4.1,3.8,3.4,3.8,3.8,3.8,3.7,4.2,4.7,5,4.8,5.6,4.8,4.2,4.6,4.4,4.6,3.1,4.3,3,4.6,3,2.7,3.1,3.6,5.8,4.4,4.1,5.1
"54","47","State and local consumption expenditures \1\","A991RC1",5,5.3,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.8,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,418.1,441.4,471,504.5,547,577.5,606.2,634.2,668.2,701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1366.1,1452.4
"55","48","      Gross output of general government","W138RC1",5.5,5.9,6,5.7,5.8,6.9,7.2,7.2,7.2,7.9,7.9,7.9,8.2,8.4,8.4,8.5,9,10.2,12.2,13.8,15.3,16.7,18.1,19.3,20.5,22.1,24.2,26.3,29,32.2,34.8,37.9,41.3,44.3,47.9,52.3,57.6,64.5,72,81.2,91.9,104.9,117.9,130,144.7,164.5,187.9,204.8,223.7,244.7,269.6,299.3,329.5,358.3,383.7,412.1,452.4,495.3,524.4,561.8,606,659,702.2,744.8,786.6,831.6,876.9,914.3,959.9,1013.1,1086,1163.7,1247.2,1313.7,1373.8,1432.6,1519.9,1607.5,1713.6,1824.7
"56","49","        Value added","W139RC1",4.1,4.2,4.3,4.1,4.1,4.6,4.8,4.4,4.7,4.9,5,5.1,5.3,5.6,5.9,6.1,6.5,7.4,8.8,10.2,11.1,11.8,13.2,14.4,15.5,16.9,18.2,20.4,22.6,24.7,26.5,28.9,31.6,34.2,37.1,40.4,44.2,49.6,55.5,62.5,70,79.5,88.6,97.9,109.3,121.8,137.2,149.7,162.6,177.8,195.4,217.3,237.9,257.7,274.1,293.1,318.4,343.7,368.2,395.8,425.8,463.9,492.8,519.9,546,574.7,601.2,623.7,650.3,680.3,721.2,763.7,814.7,859.6,909.3,947.3,997.7,1051.3,1116,1173.2
"57","50","          Compensation of general government employees","B251RC1",3.5,3.6,3.7,3.6,3.5,3.9,4.2,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.4,6.2,7.3,8.5,9.4,10.1,11.2,12.3,13.3,14.7,15.8,17.6,19.6,21.6,23.1,25.5,27.9,30.2,32.9,35.9,39.3,44.1,49.5,55.9,62.6,71.1,79.2,87.7,98,107.7,121.2,133,145.1,158.9,174.3,193,210.1,227.4,243,261.1,284.7,307.6,329.3,354.3,381.4,415.9,441.7,466.6,489.7,515.2,537.7,557.1,580.1,606.4,642.5,679,725,765.8,811.7,842.9,883.3,927.1,979.9,1026.9
"58","51","          Consumption of general government fixed capital \2\","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.1,1.2,1.5,1.7,1.7,1.7,2,2.2,2.2,2.2,2.4,2.8,3,3.1,3.3,3.5,3.7,3.9,4.2,4.5,4.9,5.5,6,6.6,7.4,8.4,9.4,10.2,11.3,14.1,15.9,16.6,17.5,18.9,21.1,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.5,44.4,48,51.1,53.4,56.3,59.5,63.4,66.7,70.2,73.9,78.7,84.7,89.7,93.8,97.6,104.4,114.4,124.2,136.1,146.3
"59","52","        Intermediate goods and services purchased \3\","W140RC1",1.5,1.6,1.7,1.6,1.7,2.3,2.3,2.7,2.5,3,2.9,2.8,2.9,2.8,2.5,2.5,2.6,2.8,3.4,3.6,4.2,4.9,4.9,4.9,4.9,5.2,6,5.9,6.4,7.5,8.3,8.9,9.7,10.1,10.8,11.9,13.4,14.9,16.5,18.7,21.8,25.4,29.2,32.2,35.4,42.7,50.7,55.2,61.1,66.9,74.3,82,91.6,100.6,109.6,119,134,151.6,156.2,166,180.2,195.2,209.4,224.9,240.6,256.8,275.8,290.6,309.6,332.8,364.8,400,432.5,454.1,464.6,485.2,522.1,556.2,597.5,651.5
"60","53","          Durable goods","B989RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.6,1.9,2.2,2.5,2.9,3.3,3.6,4,4.4,4.9,5.3,6.1,6.7,7.2,7.8,8.4,9.2,9.8,10.5,11.4,12,12.7,13.3,13.7,14.5,15.6,16,17,18.5,19.9,21.1,22.2,22.3,21.7,21.9,22.3,23,24,24.9
"61","54","          Nondurable goods","B337RC1",0.7,0.8,0.9,0.8,0.9,1.2,1.2,1.3,1.3,1.5,1.4,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.6,1.7,2,2.3,2.2,2.1,2.1,2.1,2.5,2.4,2.5,3.1,3.6,3.9,4.1,4.3,4.6,4.9,5.4,5.8,6.2,6.9,7.8,9,10.2,11,12.4,15.5,18.9,21.3,24.2,26.3,30,33.8,37.2,38.4,40,42.8,45.6,45.6,49.3,51.8,57.7,63.8,66,69.1,72.7,77.4,84.5,90.6,94.3,96.6,107.2,124.8,132.4,135.2,142.9,155.4,176.9,191.9,209,243
"62","55","          Services","A988RC1",0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.1,1.3,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.1,2.5,2.5,2.5,2.6,2.8,3.2,3.2,3.5,4.1,4.3,4.6,5,5.2,5.7,6.4,7.3,8.3,9.3,10.7,12.7,14.9,17.1,19,20.6,24.3,28.5,30.2,32.9,36.2,39.3,42.9,48.4,55.5,62.5,68.5,79.9,96.7,97.1,103.7,111.1,119.4,130.7,142.5,154.1,165,175.7,184,198.3,217.6,237.8,254.2,277.8,296.7,300,307.9,322.9,341.3,364.5,383.6
"63","56","      Less: Own-account investment \4\","W144RC1",0.1,0.1,0.1,0.1,0.3,0.9,0.7,2,1.5,2.2,1.9,1.5,1.2,0.6,0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.7,2.1,2.1,2,2,2.3,2.9,3.3,3.5,3.7,4,4.6,5.2,5.7,6.1,6.7,7.8,8.6,9.3,9.5,9.7,10.1,10.6,11,12.2,12.6,13.5,14.9,16.7,17,17.2,18.1,19.1,20.5,22.3,23.8
"64","57","            Sales to other sectors","W145RC1",0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.1,1.3,1.4,1.6,1.7,1.8,1.9,2,2.2,2.4,2.6,3,3.2,3.5,3.9,4.4,4.9,5.5,6.3,7.2,8.2,9.5,10.6,11.8,13.5,15.2,17,18.7,20.6,23.3,25.8,29.2,33.4,37.6,43.7,49.7,55.7,59.8,65.4,71.5,76.9,84.1,93.8,103.5,115.4,129.1,142.7,153.3,165,173.2,183.2,191.9,201.8,218.2,236.3,247.3,260.1,275.4,288.7,304.7,325.1,348.5
"65","58","              Tuition and related educational charges","B1065C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.9,2.4,2.9,3.2,3.7,4,4.3,4.7,5.2,5.8,6.4,7.2,8.3,9.4,10.7,11.7,12.8,13.9,15,16.6,18.4,20.3,22.7,25.5,27.5,29.4,31.2,33,35.5,38,40.6,43.7,46.2,49.4,53.6,56.9,61.2,65.8,70.8,76.2
"66","59","              Health and hospital charges","B1066C1",0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1,1.3,1.3,1.5,1.8,2.1,2.5,3.2,3.5,3.8,4.6,5.6,6.6,7.4,8.5,9.9,10.9,12.7,15.2,17.3,21,24.5,27.8,29.4,32,34.8,37,40.3,45,50,57,65.3,73.1,78.8,85,86.6,89.9,93.5,96.7,104,116.2,120.8,124.8,130.9,132.3,137.8,146.1,157
"67","60","              Other sales","W146RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.4,1.6,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.9,3.2,3.6,3.9,4.3,4.7,5.2,5.6,6,6.4,6.8,7.3,7.9,8.8,9.7,10.7,11.8,13,14.4,15.8,17.2,18.7,20.6,22.8,24.9,27.2,30.4,33.1,35.7,38.3,42.1,45.1,48.8,53.5,57.8,60.4,64.5,70.5,73.9,77.1,81.7,87.6,95.2,101,108.2,115.4
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
