"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"65","58","P1TFDG B   Food","P1TFDG3",19.949,20.215,20.39,20.636,20.92,21.327,21.753,22.669,23.022,23.864,25.031,26.549,27.384,28.61,31.742,36.234,39.106,40.394,42.92,46.832,51.497,55.992,60.254,62.372,63.699,65.827,67.164,69.105,71.395,73.805,77.477,81.183,83.937,84.948,86.249,87.679,89.573,92.09,94.197,95.868,97.711,100,102.943,104.951,106.987,110.261,112.714
"66","59","P1OPFG C     Food and alcoholic beverages purchased for off-premise consumption (3)","P1OPFG3",22.259,22.475,22.59,22.762,23.021,23.513,23.963,24.973,25.035,25.81,26.966,28.482,29.143,30.498,34.266,39.49,42.449,43.295,45.852,50.123,54.952,59.627,63.88,65.61,66.36,68.292,69.032,70.612,72.753,74.912,78.839,82.693,85.283,85.898,87.059,88.535,90.43,93.167,95.021,96.314,97.833,100,102.859,104.375,106.233,109.498,111.313
"67","60","P1FOPG G       Food purchased for off-premise consumption","P1FOPG3",21.194,21.385,21.499,21.67,21.921,22.431,22.896,23.946,23.972,24.738,25.918,27.452,28.068,29.497,33.624,39.196,42.166,42.998,45.797,50.311,55.279,59.993,64.312,65.924,66.429,68.459,69.088,70.615,72.884,75.107,79.272,83.227,84.89,85.269,86.566,88.248,90.362,93.167,95.083,96.492,97.941,100,102.962,104.404,106.274,109.619,111.518
"68","61","P1GRAG D         Cereals","P1GRAG3",24.665,25.062,25.363,25.772,25.049,26.463,27.152,28.079,28.375,27.88,27.664,33.238,28.661,38.39,41.057,48.967,46.874,43.837,40.184,41.823,45.221,51.217,56.631,58.772,59.673,61.762,63.908,65.518,67.328,72.135,78.534,82.481,85.793,88.925,91.269,94.921,95.882,96.552,96.755,97.746,99.465,100,101.576,103.378,105.275,105.829,106.128
"69","62","P1BAKG D         Bakery products","P1BAKG3",18.699,19.259,19.863,20.146,20.587,20.712,20.941,22.218,22.607,22.73,23.403,24.679,25.386,25.541,28.499,35.841,37.447,36.781,36.815,38.955,42.873,47.462,51.719,53.844,55.484,57.68,59.538,60.768,62.613,65.889,70.751,74.469,77.106,79.71,81.924,84.725,87.127,91.383,93.712,95.714,97.596,100,103.714,106.184,109.038,111.411,113.476
"70","63","P1BEEG D         Beef and veal","P1BEEG3",25.793,25.13,24.718,25.614,25.31,24.578,25.769,27.104,27.284,28.403,31.214,32.64,34.062,37.264,44.577,45.869,46.307,44.847,44.619,54.666,69.041,72.65,72.892,73.524,72.017,72.474,70.531,70.574,75.48,79.201,83.866,89.949,92.07,91.409,94.273,92.841,91.54,90.92,92.404,92.078,93.999,100,108.353,108.456,117.957,131.899,135.359
"71","64","P1PORG D         Pork","P1PORG3",23.738,23.568,24.716,24.939,24.301,24.181,27.374,31.394,28.893,28.937,31.499,33.449,30.315,35.134,46.268,46.365,56.362,57.504,54.615,61.347,61.522,59.151,64.304,72.01,70.735,69.453,69.033,73.978,79.641,76.721,76.67,87.032,89.659,84.816,86.872,87.655,87.586,95.872,100.827,95.255,93.223,100,103.764,103.388,105.355,111.323,113.539
"72","65","P1MEAG D         Other meats","P1MEAG3",24.892,24.358,24.458,24.652,24.517,24.597,25.915,28.585,28.358,28.739,30.718,32.876,32.764,35.159,43.538,45.04,47.756,50.574,50.258,58.856,67.107,69.113,71.6,73.211,72.409,72.157,72.09,73.355,77.504,78.993,80.598,87.473,90.158,89.578,90.214,91.782,92.579,95.454,97.66,96.544,97.49,100,102.861,106.471,109.19,114.062,116.739
"73","66","P1POUG D         Poultry","P1POUG3",37.684,38.296,34.475,36.536,36.023,35.236,36.297,38.233,35.836,36.961,39.036,38.817,39.045,39.596,54.399,52.595,58.12,55.722,56.165,61.689,64.085,66.857,69.115,67.393,67.636,74.211,72.939,77.609,76.005,80.692,88.094,87.349,86.344,85.336,88.127,90.092,90.838,96.158,98.425,98.412,98.794,100,103.144,104.529,105.802,113.674,115.918
"74","67","P1FISG D         Fish and seafood","P1FISG3",13.817,13.819,14.124,14.726,14.698,14.334,14.784,15.727,16.274,16.562,17.455,19.182,21.175,23.09,26.419,30.502,33.062,37.006,40.928,44.629,48.632,52.704,56.682,58.286,58.531,59.939,62.419,67.659,74.238,77.897,80.799,81.927,82.114,83.276,85.418,88.45,92.205,92.235,94.158,95.959,97.353,100,100.368,98.792,99.824,102.11,105.126
"75","68","P1GGSG D         Eggs","P1GGSG3",44.936,48.064,48.555,45.805,46.493,46.046,45.011,51.241,42.908,45.7,54.166,53.027,46.516,46.193,68.268,68.343,67.656,73.898,70.909,67.399,73.492,71.522,77.623,75.023,77.788,85.02,71.785,76.84,72.119,73.121,92.373,96.204,93.438,83.176,89.221,86.755,91.199,108.034,106.358,102.713,96.995,100,103.341,104.846,118.785,125.023,109.327
"76","69","P1MILG D         Fresh milk and cream","P1MILG3",26.261,26.876,26.999,26.85,26.735,26.801,26.684,28.344,29.504,30.763,31.61,32.963,33.847,34.325,37.47,45.01,45.44,47.448,47.933,50.576,56.262,61.104,64.577,64.847,65.182,65.573,66.407,65.982,67.33,68.649,73.665,81.252,78.429,81.278,82.202,84.311,84.239,90.436,91.871,94.087,99.696,100,104.583,102.644,103.475,115.635,117.858
"77","70","P1DAIG D         Processed dairy products","P1DAIG3",15.115,15.679,16.696,16.611,16.677,17.14,17.63,19.693,20.604,21.049,22.176,23.777,24.929,25.674,28.459,34.54,36.158,40.866,42.119,45.158,50.498,56.063,60.966,62.372,63.425,64.542,66.055,66.614,68.317,69.891,73.836,79.944,80.67,81.866,81.777,82.462,83.513,88.391,90.716,94.116,99.014,100,103.617,105.755,105.059,109.993,111.087
"78","71","P1FRUG D         Fresh fruits","P1FRUG3",19.153,20.832,21.205,21.443,23.604,23.778,22.781,23.761,24.154,27.274,26.392,26.728,28.31,29.93,33.473,36.369,38.788,38.786,44.662,52.105,56.682,58.264,59.344,63.617,58.818,62.961,67.05,66.007,70.808,73.964,76.117,82.144,89.662,82.63,81.474,83.968,89.747,94.82,94.791,96.624,103.083,100,102.563,104.586,108.039,110.988,114.832
"79","72","P1VEGG D         Fresh vegetables","P1VEGG3",16.969,17.473,16.498,17.313,17.517,19.805,21.063,21.209,21.052,22.461,23.732,25.401,25.977,27.742,33.769,36.046,35.823,37.553,41.931,44.938,45.383,48.27,56.27,54.883,56.166,60.806,57.181,58.348,64.544,67.189,73.016,75.156,75.393,75.645,79.416,80.174,88.743,86.865,89.121,98.206,95.377,100,105.077,111.695,114.127,118.74,123.664
"80","73","P1PFVG D         Processed fruits and vegetables","P1PFVG3",23.137,22.35,23.275,22.618,23.856,24.406,23.643,24.219,23.847,25.301,25.463,26.223,27.963,29.059,31.662,42.68,43.4,44.909,46.175,50.785,54.254,57.782,64.376,67.452,67.581,70.953,72.125,70.771,72.683,77.402,82.844,86.383,85.379,86.217,85.701,88.208,89.132,92.738,94.659,97.15,98.974,100,103.225,107.116,108.107,109.433,113.181
"81","74","P1JNBG D         Juices and nonalcoholic drinks","P1JNBG3",16.147,16.032,16.044,15.785,16.001,17.934,17.809,17.691,17.538,17.894,18.334,20.558,21.316,21.275,22.816,27.236,31.379,37.376,56.184,61.722,67.064,74.711,81.867,83.716,85.388,86.309,86.773,87.007,88.378,87.991,89.921,92.583,92.981,94.159,94.485,94.084,96.883,96.886,95.276,95.264,97.037,100,101.745,102.049,102.194,102.739,104.686
"82","75","P1CTMG D         Coffee, tea and beverage materials","P1CTMG3",20.95,20.801,20.817,20.481,20.761,23.269,23.107,22.954,22.755,23.217,23.789,26.674,27.657,27.604,29.604,35.339,40.715,48.496,72.898,70.027,66.324,72.462,62.204,63.476,63.381,65.583,67.026,83.654,73.013,71.935,74.879,72.665,70.99,67.783,66.966,82.115,98.384,90.002,100.609,101.019,98.815,100,99.026,98.351,99.404,99.596,104.7
"83","76","P1FATG D         Fats and oils","P1FATG3",25.203,24.305,25.913,25.731,24.972,24.961,26.657,27.345,27.416,27.181,27.301,29.036,31.667,31.984,34.589,48.889,54.471,47.642,52.523,57.311,61.655,65.44,72.143,69.822,70.449,76.808,78.185,76.113,76.927,80.198,85.542,88.806,92.078,90.36,90.009,92.239,94.643,96.548,97.086,99.896,100.535,100,105.622,105.437,106.762,113.797,113.838
"84","77","P1SWEG D         Sugar and sweets","P1SWEG3",16.309,16.404,16.074,16.091,17.401,18.306,17.986,17.645,18.189,18.803,19.845,20.934,21.711,21.982,23.371,34.749,44.6,39.643,41.712,46.768,50.307,61.345,66.328,66.041,67.129,69.551,71.117,73.11,74.21,76.038,79.418,82.721,85.547,87.879,87.881,88.844,90.063,93.851,96.377,97.743,98.911,100,101.149,103.252,105.237,105.972,107.231
"85","78","P1OFDG D         Other foods","P1OFDG3",21.817,21.958,22.165,21.827,22.216,22.784,23.014,22.824,23.065,23.515,24.313,25.237,25.989,26.451,27.46,33.158,37.598,39.085,40.467,43.596,47.742,52.661,57.801,60.515,62.095,63.676,65.404,66.793,69.292,71.511,75.673,78.695,81.849,83.229,84.942,86.79,88.521,91.208,93.912,96.299,98.07,100,102.227,102.856,103.791,104.323,105.938
"86","79","P1PEFG D         Pet food","P1PEFG3",25.962,26.338,26.633,27.035,27.353,28.186,29.116,30.343,31.691,34.015,35.762,37.715,39.687,40.708,41.976,44.443,47.281,49.282,51.353,52.804,56.488,62.635,68.692,71.891,73.822,75.801,77.602,78.778,80.076,82.212,86.303,88.615,91.657,90.443,90.484,91.602,92.185,96.196,98.375,99.16,100.039,100,101.925,103.559,104.291,107.799,108.192
"87","80","P1AOPG C       Alcoholic beverages purchased for off-premise consumption (9)","P1AOPG3",32.002,32.507,32.617,32.77,33.089,33.282,33.48,33.861,34.351,35.13,35.9,37.113,38.179,38.817,39.462,41.911,44.793,45.753,46.466,48.969,52.819,57.236,61.044,63.568,65.961,67.22,68.729,70.672,71.939,73.645,75.9,79.062,88.292,90.73,90.814,90.696,90.933,93.171,94.587,95.068,97.08,100,102.138,104.178,105.95,108.649,109.886
"88","81","P1MLTG D         Beer and ale, at home","P1MLTG3",27.678,28.121,28.174,28.336,28.584,28.795,29.038,29.508,30.024,30.828,31.66,32.715,33.9,34.19,34.712,38.038,42.136,43.169,43.805,46.205,50.916,55.986,59.919,62.584,66.057,68.212,69.769,70.903,72.148,74.265,76.597,79.936,89.317,92.415,91.954,91.779,91.903,94.091,94.449,94.605,96.856,100,102.485,105.032,107.461,111.383,112.429
"89","82","P1WING D         Wine and brandy, at home","P1WING3",27.979,28.428,28.542,28.579,28.881,29.002,29.142,29.321,29.616,30.796,32.109,34.606,36.272,37.666,40.102,43.674,45.641,46.669,48.006,52.659,57.289,62.075,66.567,69.288,69.154,68.13,68.683,70.073,72.188,73.343,75.277,77.41,87.332,89.026,89.657,88.986,88.981,92.508,96.511,97.343,98.525,100,99.928,100.461,100.99,101.451,103.093
"90","83","P1LIQG D         Distilled spirits, at home","P1LIQG3",40.068,40.683,40.917,41.076,41.528,41.697,41.816,42.091,42.581,43.155,43.638,44.707,45.316,46.262,46.49,47.202,48.557,49.39,50.043,52.019,53.876,56.692,59.762,61.735,62.993,63.521,65.709,70.656,71.246,72.162,74.466,77.997,86.234,87.651,88.612,89.143,89.929,90.99,92.949,94.085,96.223,100,103.492,105.616,106.689,108.013,109.348
"91","84","P1PMBG C     Purchased meals and beverages (4)","P1PMBG3",15.419,15.846,16.17,16.588,16.967,17.234,17.572,18.27,19.305,20.313,21.517,23.105,24.358,25.283,27.059,30.288,33.056,35.211,37.729,40.907,45.216,49.443,53.762,56.585,58.989,61.474,63.939,66.561,69.102,71.948,75.196,78.649,81.701,83.363,84.884,86.26,88.156,90.326,92.832,95.132,97.496,100,103.135,105.947,108.208,111.491,114.967
"92","85","P1FPMG C       Food in purchased meals","P1FPMG3",15.187,15.587,15.924,16.349,16.731,17.012,17.392,18.195,19.137,20.129,21.367,22.958,24.14,25.105,27.065,30.518,33.381,35.633,38.335,41.614,46.178,50.681,55.129,58.013,60.443,62.903,65.287,67.744,70.321,73.071,76.323,79.793,82.368,83.883,85.283,86.593,88.438,90.526,92.97,95.232,97.549,100,103.042,105.769,107.944,111.162,114.603
"93","86","P1ESLG D         Elementary and secondary school lunch","P1ESLG3",15.494,15.905,16.248,16.679,17.072,17.358,17.745,18.57,19.524,20.535,21.796,23.419,24.623,25.611,27.608,31.126,34.046,36.361,39.122,42.438,47.104,51.724,56.273,59.185,61.657,64.172,66.607,69.109,71.725,74.51,77.85,81.4,84.019,85.565,86.993,88.329,90.216,92.344,94.842,96.725,98.817,100,101.031,103.591,107.617,110.585,113.478
"94","87","P1HSLG D         Higher education school lunch","P1HSLG3",15.492,15.902,16.247,16.677,17.071,17.356,17.743,18.57,19.522,20.534,21.792,23.418,24.619,25.609,27.622,31.132,34.051,36.363,39.119,42.443,47.101,51.738,56.271,59.179,61.659,64.17,66.599,69.102,71.718,74.52,77.857,81.386,84.021,85.568,86.991,88.329,90.212,92.345,94.838,96.722,98.816,100,101.032,103.593,107.625,110.584,113.478
"95","88","P1OPMG D         Other purchased meals","P1OPMG3",15.174,15.573,15.911,16.335,16.716,16.997,17.377,18.179,19.121,20.112,21.349,22.939,24.121,25.084,27.042,30.493,33.353,35.603,38.303,41.58,46.14,50.638,55.081,57.965,60.393,62.851,65.233,67.688,70.263,73.011,76.26,79.727,82.3,83.814,85.213,86.522,88.365,90.451,92.893,95.17,97.496,100,103.126,105.86,107.959,111.187,114.65
"96","89","P1MLSG D           Meals at limited service eating places","P1MLSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.461,73.203,76.464,79.931,82.511,84.033,85.433,86.75,88.596,90.678,93.134,95.249,97.396,100,103.072,105.988,108.024,111.523,115.139
"97","90","P1MOEG D           Meals at other eating places","P1MOEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.048,72.804,76.037,79.505,82.07,83.575,84.973,86.273,88.114,90.204,92.631,95.083,97.606,100,103.186,105.719,107.888,110.809,114.087
"98","91","P1MDPG D           Meals at drinking places","P1MDPG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.07,72.761,76.04,79.539,82.072,83.583,84.971,86.274,88.137,90.195,92.646,95.096,97.62,100,103.214,105.712,107.895,110.807,114.074
"99","92","P1APMG C       Alcohol in purchased meals","P1APMG3",15.884,16.392,16.666,17.052,17.409,17.62,17.794,18.073,19.449,20.501,21.509,23.026,24.58,25.278,26.099,28.141,30.357,31.954,33.473,36.043,38.95,41.699,45.239,47.671,49.877,52.437,55.31,58.848,61.152,64.589,67.794,71.122,77.047,79.58,81.847,83.666,85.92,88.709,91.704,94.315,97.058,100,103.912,107.443,110.428,114.268,118.03
"100","93","P1PIFG C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","P1PIFG3",17.609,17.614,17.83,18.234,18.269,18.226,19.146,20.382,20.872,21.979,23.531,24.897,25.929,27.926,32.037,33.583,36.039,38.116,40.317,45.397,51.224,54.846,58.797,61.655,63.428,66.013,67.637,69.981,73.083,75.764,79.221,83.055,85.203,86.376,87.879,88.639,90.399,92.452,95.124,96.254,98.265,100,100.978,103.144,107.555,111.074,114.044
"101","94","P1FOOG C       Food furnished to employees (including military)","P1FOOG3",15.497,15.909,16.253,16.684,17.075,17.363,17.753,18.581,19.525,20.535,21.799,23.419,24.622,25.61,27.629,31.159,34.059,36.363,39.071,42.44,47.111,51.711,56.256,59.172,61.649,64.158,66.586,69.08,71.713,74.518,77.853,81.394,84.018,85.565,86.993,88.327,90.213,92.339,94.836,96.721,98.814,100,101.031,103.611,107.619,110.583,113.477
"102","95","P1CFDG D         Food supplied civilians","P1CFDG3",15.493,15.902,16.247,16.678,17.069,17.356,17.744,18.565,19.521,20.532,21.801,23.426,24.625,25.608,27.623,31.165,34.056,36.364,39.062,42.444,47.117,51.715,56.257,59.173,61.649,64.158,66.586,69.08,71.713,74.519,77.854,81.395,84.018,85.565,86.992,88.327,90.214,92.34,94.837,96.721,98.814,100,101.031,103.606,107.618,110.588,113.478
"103","96","P1MFDG D         Food supplied military","P1MFDG3",15.492,15.909,16.252,16.681,17.073,17.362,17.756,18.597,19.519,20.53,21.783,23.39,24.606,25.613,27.65,31.123,34.068,36.351,39.116,42.401,47.064,51.68,56.238,59.159,61.641,64.163,66.583,69.088,71.712,74.506,77.844,81.377,84.011,85.564,86.996,88.326,90.207,92.323,94.827,96.714,98.817,100,101.033,103.682,107.639,110.536,113.475
"104","97","P1FFDG C       Food produced and consumed on farms","P1FFDG3",31.741,30.886,30.928,31.472,30.558,29.557,32.602,35.939,34.536,36.492,40.036,40.571,41.165,48.432,63.476,56.648,57.883,59.465,59.692,76.412,91.753,88.259,87.791,90.406,85.658,89.175,83.518,84.776,92.572,94.116,99.175,106.955,102.643,98.666,101.264,93.502,93.291,94.137,99.73,88.724,89.425,100,100.059,94.696,107.176,123.481,128.469
"105","98","P1TCSG B   Clothing and shoes","P1TCSG3",49.136,49.79,50.111,50.266,50.763,51.13,51.671,53.113,55.377,58.504,61.898,64.447,66.521,67.976,70.426,75.415,78.284,80.872,84.199,85.867,87.554,90.707,93.33,94.486,95.542,95.923,97.837,97.114,100.218,103.529,105.003,108.469,110.545,111.357,110.837,108.967,106.306,104.831,104.926,102.957,101.288,100,98.011,95.365,93.028,92.663,91.733
"106","99","P1SHUG C     Shoes (12)","P1SHUG3",37.721,39.015,39.406,39.975,40.379,40.585,41.289,43.72,45.876,48.334,51.33,53.975,55.769,57.328,59.714,63.301,66.152,68.766,72.004,74.672,80.105,85.814,89.827,91.584,91.674,92.297,92.955,92.067,94.451,98.265,101.635,103.734,106.022,108.481,108.774,107.745,106.244,105.442,105.283,104.262,101.564,100,99.37,98.021,96.564,96.312,99.324
"107","100","P1WCLG C     Women's and children's clothing and accessories except shoes (14)","P1WCLG3",57.88,58.155,58.31,58.229,58.721,58.978,59.445,60.61,63.307,66.966,70.556,73.267,75.766,77.634,80.299,85.862,88.69,91.332,94.66,96.325,96.95,99.032,100.39,100.483,101.393,101.281,103.54,102.212,106.123,109.351,109.684,114.191,115.826,116.228,115.387,113.042,109.096,106.467,106.25,103.392,101.318,100,98.253,95.471,93.173,92.827,90.877
"108","101","P1WCOG D       Clothing and sewing for females","P1WCOG3",58.759,59.042,59.212,59.138,59.635,59.906,60.382,61.533,64.275,68.056,71.708,74.48,77.041,78.919,81.628,87.187,89.977,92.583,95.845,97.452,97.911,99.548,100.861,101.007,101.905,101.775,104.114,102.735,106.597,109.61,109.782,114.165,115.743,116.09,115.236,112.789,108.62,105.939,105.819,103.069,101.223,100,98.247,95.537,93.196,92.953,91.128
"109","102","P1WGCG D         Clothing for females","P1WGCG3",62.359,62.67,62.904,62.851,63.392,63.682,64.191,65.432,68.409,72.463,76.401,79.408,82.174,84.167,87.06,92.284,94.505,97.113,100.21,101.84,102.108,103.135,103.729,103.45,103.978,103.678,105.909,103.911,108.28,111.159,111.121,115.383,116.966,117.275,116.569,113.934,109.08,105.948,106.22,103.575,101.456,100,98.127,95.275,93.002,92.924,91.063
"110","103","P1WICG D         Clothing for infants","P1WICG3",30.244,30.128,29.058,28.485,28.477,28.577,28.723,28.95,29.266,30.516,31.494,32.093,32.787,33.725,34.848,44,52.862,55.714,61.098,63.454,64.719,70.015,76.121,78.887,82.814,84.045,87.768,91.582,91.58,94.901,96.804,101.925,103.751,104.157,101.544,100.394,99.681,100.968,99.314,96.753,98.815,100,98.926,96.831,93.504,90.77,89.447
"111","104","P1WSGG D         Sewing goods for females","P1WSGG3",47.761,47.998,48.194,48.141,48.565,48.779,49.186,50.144,52.399,55.505,58.522,60.861,62.998,64.493,66.703,70.69,72.402,74.49,76.778,76.408,78.947,84.729,89.917,92.919,94.38,94.847,96.086,97.936,97.715,103.455,104.733,110.246,111.208,112.208,111.431,110.585,115.58,116.149,108.942,103.042,100.114,100,99.924,99.541,97.411,97.944,96.144
"112","105","P1WUGG D       Luggage for females","P1WUGG3",29.535,29.517,29.064,28.712,29.016,28.774,28.95,30.576,31.81,31.787,33.351,34.21,34.857,36.296,37.553,42.654,46.113,49.216,53.617,56.54,61.581,77.17,80.139,78.3,79.569,80.091,79.303,79.996,85.694,97.448,104.413,114.206,118.496,121.668,121.5,124.519,133.079,133.454,127.85,119.251,105.683,100,98.514,92.252,92.019,86.989,79.869
"113","106","P1MMCG C     Men's and boys' clothing and accessories except shoes (15+16)","P1MMCG3",42.007,42.738,43.228,43.449,43.994,44.603,45.134,46.342,48,50.673,53.895,56.073,57.654,58.442,60.56,65.35,68.215,70.663,73.965,75.116,76.41,79.774,83.545,86.027,87.805,88.876,90.846,91.258,93.333,96.542,99.022,101.423,104.138,104.836,104.463,102.973,101.834,101.9,102.618,101.606,101.1,100,96.93,93.86,91.021,90.567,89.393
"114","107","P1MCLG C       Men's and boys' clothing, sewing goods, and luggage, except military issue","P1MCLG3",41.983,42.716,43.209,43.43,43.978,44.589,45.12,46.335,48.006,50.697,53.939,56.124,57.712,58.499,60.619,65.411,68.284,70.73,74.033,75.179,76.462,79.819,83.579,86.057,87.837,88.906,90.879,91.289,93.366,96.577,99.057,101.459,104.177,104.87,104.493,102.995,101.849,101.912,102.632,101.613,101.105,100,96.921,93.844,90.992,90.536,89.358
"115","108","P1MCOG D         Clothing and sewing for males","P1MCOG3",42.178,42.926,43.439,43.673,44.225,44.855,45.395,46.592,48.268,51.031,54.31,56.528,58.137,58.9,61.038,65.806,68.658,71.088,74.371,75.493,76.726,79.935,83.709,86.236,88.024,89.101,91.111,91.518,93.547,96.64,99.059,101.349,104.046,104.7,104.32,102.758,101.493,101.551,102.34,101.402,101.046,100,96.901,93.863,90.978,90.582,89.489
"116","109","P1MBCG D           Clothing for males","P1MBCG3",42.142,42.892,43.407,43.643,44.197,44.829,45.369,46.568,48.24,51.001,54.282,56.499,58.104,58.861,60.999,65.776,68.641,71.075,74.368,75.505,76.727,79.918,83.682,86.207,87.997,89.08,91.097,91.49,93.544,96.612,99.041,101.305,104.016,104.668,104.29,102.723,101.424,101.48,102.307,101.394,101.051,100,96.885,93.833,90.944,90.543,89.466
"117","110","P1MSGG D           Sewing goods for males","P1MSGG3",47.775,48.039,48.228,48.146,48.506,48.785,49.18,50.176,52.459,55.563,58.567,60.894,63.019,64.534,66.692,70.729,72.42,74.5,76.801,76.398,78.955,84.707,89.948,92.91,94.361,94.873,96.114,97.985,97.719,103.344,104.752,110.181,111.119,112.186,111.432,110.585,115.583,116.147,108.939,103.042,100.114,100,99.924,99.541,97.411,97.944,96.144
"118","111","P1MUGG D         Luggage for males","P1MUGG3",29.536,29.517,29.064,28.712,29.016,28.774,28.95,30.575,31.81,31.788,33.347,34.202,34.86,36.304,37.492,42.572,46.093,49.124,53.617,56.556,61.572,77.179,80.139,78.299,79.576,80.087,79.302,80.007,85.704,97.578,104.4,114.269,118.546,121.717,121.49,124.528,133.023,133.489,127.872,119.244,105.683,100,98.514,92.252,92.019,86.989,79.869
"119","112","P1MICG C       Standard clothing issued to military personnel (n.d.)","P1MICG3",38.018,38.331,38.245,38.425,38.587,38.946,39.319,39.736,40.45,41.822,43.43,44.783,45.617,46.444,48.112,52.463,53.907,56.585,59.535,61.573,64.76,69.52,75.192,78.591,79.837,81.382,82.532,83.562,85.198,87.796,89.994,92.35,94.092,96.091,96.838,97.035,97.643,98.34,98.608,99.387,99.718,100,99.515,98.453,98.65,98.522,98.758
"120","113","P1GFOG B   Gasoline, fuel oil, and other energy goods","P1GFOG3",16.999,17.328,17.301,17.4,17.442,17.319,17.915,18.335,18.935,19.276,19.874,20.166,20.51,20.759,22.921,31.864,34.165,35.774,38.314,40.034,53.647,74.493,83.977,80.169,77.257,76.468,76.67,60.412,62.459,62.946,68.417,78.301,77.107,76.56,75.833,76.029,77.056,82.168,82.233,71.873,77.74,100,96.727,90.542,105.532,124.099,151.811
"121","114","P1GAOG B     Gasoline and oil (75)","P1GAOG3",18.576,19.112,18.924,19.043,18.997,18.873,19.587,20.038,20.7,21.005,21.696,21.89,22.05,22.336,24.473,33.059,35.278,36.777,38.907,40.597,54.406,75.509,84.018,79.768,77.16,76.005,76.619,60.175,62.488,63.017,68.837,78.385,77.338,77.04,76.257,76.614,77.826,82.596,82.579,71.874,78.207,100,96.289,90.433,105.165,123.939,151.007
"122","115","P1GASG D       Gasoline and other motor fuel","P1GASG3",18.5,19.038,18.834,18.947,18.895,18.759,19.477,19.924,20.578,20.871,21.554,21.734,21.878,22.155,24.298,32.917,35.126,36.627,38.76,40.433,54.458,75.858,84.443,80.001,77.295,76.117,76.715,59.906,62.292,62.778,68.636,78.377,77.186,76.905,76.114,76.423,77.552,82.386,82.372,71.432,77.89,100,96.099,90.073,104.99,123.952,151.151
"123","116","P1LUBG D       Lubricants","P1LUBG3",22.953,23.318,24.398,25.027,25.442,26.336,26.636,27.34,28.566,29.902,31.236,32.658,34.251,35.279,36.503,41.558,44.334,45.565,47.429,50.097,54.382,64.544,70.475,73.567,75.102,74.864,76.145,75.925,74.552,77.252,81.375,81.937,87.539,86.452,85.973,88.196,92.81,95.072,94.908,94.598,94.972,100,106.617,111.018,113.88,119.761,132.45
"124","117","P1FULG B     Fuel oil and coal (40)","P1FULG3",11.03,10.939,11.213,11.257,11.467,11.364,11.629,11.918,12.295,12.668,12.959,13.507,14.417,14.535,16.633,26.327,28.862,30.822,34.78,36.559,48.977,68.177,82.998,82.043,77.109,78.867,76.147,61.413,61.478,61.646,64.403,76.919,74.496,71.832,71.587,70.416,69.905,77.835,78.644,71.779,72.656,100,101.737,91.687,109.693,125.767,161.176
"125","118","P1OILG D       Fuel oil","P1OILG3",10.529,10.35,10.778,10.779,10.986,10.755,10.986,11.28,11.629,12.002,12.249,12.707,13.503,13.579,15.553,24.756,26.817,28.775,32.59,34.502,47.864,67.339,82.452,80.711,74.074,75.706,72.653,56.569,58.346,58.264,62.018,74.657,70.892,67.82,67.254,66.003,65.326,74.514,74.386,65.191,66.348,100,96.664,85.822,104.318,122.489,166.973
"126","119","P1LPFG D       Liquified petroleum gas and other fuel, and farm fuel","P1LPFG3",11.618,11.848,11.57,11.754,11.954,12.239,12.587,12.829,13.265,13.585,14.002,14.783,15.957,16.191,18.482,28.882,32.512,34.348,38.454,39.803,49.046,66.427,79.687,80.719,80.163,82.124,80.335,69.536,65.713,66.382,67.252,79.297,79.105,77.138,77.408,76.373,76.106,82.283,84.429,81.341,81.75,100,108.49,99.544,116.81,129.962,154.975
"127","120","P1LPGG D         Liquified petroleum gas and other fuel","P1LPGG3",11.618,11.848,11.57,11.753,11.955,12.238,12.587,12.828,13.265,13.585,14.003,14.781,15.956,16.19,18.483,28.878,32.514,34.346,38.455,39.802,49.054,66.426,79.687,80.719,80.161,82.121,80.334,69.529,65.713,66.381,67.252,79.298,79.106,77.138,77.408,76.373,76.106,82.284,84.428,81.341,81.75,100,108.49,99.544,116.81,129.962,154.852
