"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214"
"31","23","    Paper manufacturing","KS3220",19029,19117,19474,19283,19278,18963,18935,19030,19250,19253,19341,19647,19655,19532,19456,19449,19429,19502,19511,19615,19393,19351,19316,19042,19200,19189,19379,19365,19521,19658,19599,19950,20217,20192,20193,20196,20302,20280,20161,20242,20200,20099,20223,20163,19886,19804,19628,19477,19437,19426,19120,19091,19044,19088,19023,19030,19194,19313,19420,19408,19512,19645,19747,19809,19893,20145,20146,20274,20500,20611,20745,20883,20921,20857,20387,20521,20467,20472,20339,20323,20324,20240,20173,20033,20070,20035,19960,19911,20014,20000,20211,20184,20064,20202,20196,20129,20320,20366,20304,20322,20287,20350,20312,20188,20091,20092,19963,20099,20040,20128,20209,20232,20212,20080,20112,20088,20145,20127,20201,20167,20284,20265,20151,20161,20183,20132,20188,20155,20095,20031,19987,20259,20047,20009,20161,20161,20189,20200,20019,19943,19877,20186,20167,19600,19489,19467,19292,19080,18863,19045,18977,19043,18972,18719,18643,18446,18384,18359,18249,18459,18474,18466,18323,18347,18395,18492,18584,18377,18428,18432,18397,18354,18334,18269,18308,18362,18463,18496,18460,18402,18436,18375,18326,18252,18230,18282,18248,18175,18057,18011,17943,17959,17951,17872,17863,17870,17824,17789,17778,17759,17650,17541,17489,17507,17520,17540,17563,17436,17438,17542,17546
"32","24","    Printing and related support activities","KS3230",7246,7157,7148,7329,7438,7284,6947,7208,7178,7223,7249,7396,7122,7116,7074,7005,7084,6984,7200,7039,7136,6892,6770,6783,6921,6944,7020,7203,7129,7205,7123,7081,7218,7172,7383,7488,7437,7545,7478,7202,7192,7191,7043,7158,7178,7287,7234,7126,7159,7106,7182,7141,7113,7020,6990,7087,6880,6916,6821,6812,7142,6992,7006,7186,7166,7434,7436,7329,7179,7307,7302,7292,7298,7207,7159,7046,6996,6924,6990,6987,6925,6814,6932,6942,6804,6902,6834,6778,6944,6909,6921,7016,7039,7056,6982,6973,6765,6838,6924,6887,6935,6995,7046,6907,6995,6914,6978,6944,6925,6846,6819,6904,6877,6980,7047,7035,7100,7121,7098,7055,7061,7079,7072,7063,7092,7216,7196,7248,7328,7450,7428,7544,7557,7536,7530,7470,7363,7217,6982,6881,6814,6708,6871,6793,6623,6535,6439,6323,6337,6310,6355,6386,6378,6318,6350,6265,6221,6236,6221,6267,6280,6261,6208,6207,6190,6220,6285,6314,6355,6343,6360,6359,6268,6241,6249,6218,6244,6218,6199,6107,6160,6196,6139,6128,6136,6178,6161,6159,6096,6109,6080,6041,6076,6048,5981,6070,6081,6023,6047,6074,6072,6063,6089,6152,6101,6117,6275,6318,6385,6407,6433
"33","25","    Petroleum and coal product manufacturing","KS3240",29220,28642,29255,29068,29520,29418,28882,29935,30034,30008,30423,30428,28766,29390,30153,30478,30571,30370,30603,29928,29496,29865,31166,29027,28763,27434,28943,28581,28269,28204,28455,29001,29098,29337,29739,29168,29239,29146,28959,29374,29619,30076,29609,28952,29366,29826,29959,29079,29304,29499,29867,30242,30314,30193,29723,30345,30207,29550,29835,30581,30326,28640,29732,29957,29786,30183,30717,30291,30496,30110,29403,29453,29524,29519,29577,30367,29125,30125,29452,30354,30478,30251,29615,29426,30290,30681,30466,30149,30637,31039,31097,30509,30030,30919,32027,30538,32150,32216,32158,31635,29800,30337,31144,30948,30958,32070,31757,31669,32366,32143,32018,32911,33544,33781,33440,34335,33357,32395,32627,32771,31991,32422,32675,33852,34166,34240,33807,33781,35393,35695,36159,36243,40115,40674,41476,41208,41180,44569,43597,43662,43147,40451,38378,32576,33035,31511,32186,31863,32784,34306,33738,34593,33364,34575,35221,36214,36158,36960,36496,35444,32648,32777,33580,33469,34245,34607,35429,36147,36305,36309,36668,39372,38937,38717,37913,37054,35941,37536,37545,36835,37109,37668,37060,37571,36859,36881,36524,37614,38946,37713,36970,36493,36203,35363,35733,35623,35884,35762,35887,36343,35744,35849,35690,35715,35635,35614,34897,36130,36733,36843,36192
"34","26","    Chemical manufacturing","KS3250",69477,69839,69971,70435,70554,70942,70752,70760,71732,72553,73086,73166,73497,74127,74125,74207,74176,74321,74472,74732,74306,74512,75389,74617,75237,75590,75229,75955,77241,76902,77181,77043,76816,77550,78466,78893,78607,78726,78508,78938,79051,79757,80965,80756,81211,81435,81490,81360,81527,80602,80753,80585,80380,79609,79604,79036,79685,80277,79294,79001,78860,79001,78623,78830,78711,78379,79334,80208,80792,81035,81457,80437,79251,80524,79776,79558,79658,79540,80250,80439,80247,80378,81110,80139,78951,80378,81092,81802,81788,81853,81675,81888,80616,80424,81378,82573,82636,83436,83935,83540,83487,84250,83657,83032,82934,82243,81971,84053,85195,84621,85690,85019,84812,85798,85589,85757,87157,87686,87952,87563,87582,87585,87652,87659,88086,88526,88782,88615,89170,88865,89313,88637,89479,89109,87734,86733,85991,84945,84755,84919,83744,84111,84578,83550,83662,83158,83899,82731,82517,81693,81384,81451,81493,81341,81365,80166,80226,80171,80965,81260,81838,82056,82612,83123,83159,84302,83949,85284,85593,85596,84618,84820,85125,85219,85188,85399,85623,86259,86312,86119,85887,85220,84714,84399,84218,84113,84509,84119,84367,83331,83512,84330,85111,85145,85350,85630,85088,84994,84547,84459,84112,83662,83665,83798,83821,84426,84580,84203,84473,84067,84057
"35","27","    Plastics and rubber product manufacturing","KS3260",21041,21115,21137,21214,21319,21429,21380,21387,21428,21546,21645,21597,21662,21719,21742,21720,21906,22082,22081,22205,22127,22130,22422,22338,22557,22577,22610,22724,22868,22824,22922,23073,23247,23360,23475,23520,23403,23370,23043,23509,23493,23450,23575,23492,23431,23542,23406,23512,23543,23464,23305,23176,22774,22653,22716,22821,22872,22758,22784,22673,23070,21686,22111,21938,22131,21283,21454,21578,22197,22549,22867,23337,23241,23588,23489,23581,23616,23793,23576,23454,23309,23140,23003,23079,23010,22873,23110,23006,22911,23073,23245,23338,23422,23610,23603,23451,23963,23951,24108,23959,24009,23883,23786,23856,23351,23434,23625,23715,24133,24278,24439,24779,24834,24819,24900,24931,24998,25177,25280,24940,25099,25133,25259,25165,25306,25292,25353,25325,25347,25130,25228,25391,25309,25420,25509,25547,25303,25136,25275,25444,24867,24852,24789,23889,23778,23577,23104,22968,22822,22762,22502,22413,22455,22479,22466,22071,22256,22340,22376,22344,22471,22437,22502,22516,22636,22622,22878,22985,23209,23283,22939,23283,23241,23494,23546,23622,23526,23572,23544,23488,23478,23506,23495,23485,23667,23462,23380,23391,23508,23527,23506,23495,23546,23417,23534,23400,23381,23416,23387,23459,23472,23448,23511,23516,23527,23555,23403,23262,23310,23057,23048
"36","28","Merchant wholesale industries","KS42W0",282696,285121,289364,290607,292661,298501,297975,299838,303097,304887,307814,310605,311765,315785,318804,319626,322773,322800,324057,328072,330720,331876,333466,334574,335695,339035,340735,341394,341915,342100,345595,346173,347674,350737,354266,354828,356764,357357,358794,361296,362706,364642,365612,367134,367375,370105,372650,372950,371967,371976,372015,373216,374422,371247,367884,367099,366591,365924,363731,363084,363474,361377,362188,361361,362116,363220,365225,364581,364379,362369,361811,364202,363142,363173,363277,364101,362801,362247,362640,361734,362436,365018,365008,366551,365616,369040,370238,368901,371980,374410,380572,383517,381836,385682,388693,388568,394051,395363,396552,399387,399645,401511,403024,404205,404428,406238,407204,410387,410312,413149,414275,418374,420191,421237,423086,426004,427454,428577,431816,428261,427989,428682,430026,430138,431310,432420,432734,433311,435923,434427,436210,438204,439159,439006,436021,439108,438182,439718,442743,444901,443933,440776,443072,444086,443734,437849,431296,426774,421530,413634,407652,402586,397564,397930,401879,397987,396397,396672,398003,397975,399497,401110,405413,409436,413346,419995,417257,418633,417866,417714,418702,418337,424102,426197,427458,428398,423966,427542,427350,431127,430855,434048,433907,435879,436937,438678,442891,443274,445814,445719,448600,447818,452387,451259,452994,455345,453572,453518,454166,458038,460681,466339,469233,470002,473069,475070,478996,482359,483409,484546,485648
"37","29","  Durable goods merchant wholesale industries","KS42WD0",158724,160947,164544,165523,167017,171026,169758,170574,173106,173363,174520,176975,178279,180843,183014,183818,185664,185418,186285,189405,190884,192167,192023,193720,194727,196538,197758,197364,199175,200168,201754,201462,202799,204424,207175,207820,208466,209386,210279,212201,213573,215591,215995,217156,216974,218160,219648,219656,219817,219157,218592,217989,217255,213225,211273,209568,208630,208789,205470,204252,203729,202036,202165,201915,201959,202122,203344,203965,203744,202247,202011,201803,201323,203021,203464,204237,203501,203345,202671,202094,202210,202459,202272,204796,205025,207405,209103,209040,211918,214231,217174,220684,220809,222744,224595,225111,228330,230084,230776,232141,232850,235458,237290,237616,237121,240082,240920,242428,242439,244007,244953,249344,250437,250988,252601,253586,255768,257820,258618,257469,258484,258998,259463,258093,259125,258364,256947,257071,258146,257649,258511,260148,262173,262588,262013,263961,263488,262662,264187,266431,267933,266975,267582,266655,265153,258908,252464,247669,243082,238906,234674,230363,227637,226863,225254,222156,220994,222060,224132,223632,224389,224927,226276,228523,230439,232192,233132,235031,235787,237170,237630,237386,241613,244249,245443,247665,248261,249656,249926,252196,253545,254908,256552,258889,260862,262222,263977,264008,266430,268755,269446,268880,271833,271926,273415,275045,273803,274237,276077,278633,279421,279659,280954,283957,285808,287961,289932,292187,294903,296748,297336
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",21661,21125,21461,21032,21543,22499,22490,22717,22960,22611,22472,22711,23055,23340,23824,22905,22875,22858,22755,23308,23508,23793,22969,23514,23476,23649,24053,24146,24602,24739,25236,25520,25825,25821,26313,26378,26646,26773,27250,27685,27817,28014,27741,27770,27209,27248,27393,27701,27315,27435,27213,27274,26839,26562,26608,26473,26582,27229,26834,26505,26596,26372,26562,26338,27165,27499,27807,27545,28424,28633,29246,28683,28830,28926,28822,29163,29034,29687,29224,29321,28943,29585,28996,30200,29741,30037,30521,30223,30358,30303,31152,32385,32078,31489,32091,32090,33093,33126,32453,33350,33658,34935,35146,35265,34896,35574,35459,35949,35071,36192,37094,39422,38725,38048,38295,37602,37796,38851,38664,37687,38720,38064,39111,38029,38692,38965,38191,38886,39159,38272,38572,38989,39707,40038,39433,41228,40653,40759,41010,41912,42045,41578,41909,42934,41975,38801,37508,36441,35875,34792,34097,33583,33714,34597,34501,33573,33831,34011,34552,34009,33660,33705,34044,33888,34416,34447,35375,36062,36775,37898,38100,36298,37913,39655,39664,41072,41343,41233,40119,42039,42108,41602,41525,42086,42499,43005,43223,42952,43181,43161,43676,42573,42329,42388,42809,43991,44102,43397,43423,44754,43175,44410,44036,44156,45479,45791,46836,46983,47723,47604,48158
"39","31","    Furniture and home furnishings wholesalers","KS42120",6019,5883,5776,6061,6142,6009,5926,6059,6122,6060,6154,6169,6213,6193,6130,6301,6381,6409,6454,6470,6486,6610,6519,6547,6543,6661,6699,6635,6682,6817,6858,6814,6835,7036,6833,6974,6958,6981,7040,7140,7226,7373,7498,7632,7405,7562,7691,7647,7760,7664,7711,7608,7553,7379,7340,7233,7336,7288,7284,7135,7119,7181,7076,7181,7235,7315,7443,7469,7519,7468,7470,7570,7512,7585,7672,7747,7795,7815,7696,7755,7751,7802,7884,7999,8225,8108,8163,8089,8042,8141,8223,8238,8257,8258,8324,8324,8343,8402,8443,8504,8514,8370,8434,8582,8626,8855,8825,8808,8819,8779,8673,8596,8934,9016,9024,9049,9110,9139,9172,9225,9212,9188,9307,9163,9165,9222,9241,9208,9210,9127,9233,9171,9327,9388,9171,9159,8901,8811,8812,8673,8520,8555,8564,8405,8129,7917,7720,7443,7259,7089,6864,6726,6703,6602,6502,6505,6425,6401,6387,6493,6620,6699,6836,6989,7041,7128,7132,7112,7135,7149,7021,7104,7017,6982,6882,6833,6797,6795,6839,6847,6853,6886,6952,6889,6918,6865,6923,6881,6949,6925,7052,6954,7031,7056,7027,7083,7122,7130,7203,7288,7424,7474,7429,7377,7370,7398,7400,7417,7392,7449,7425
"40","32","    Lumber and other construction materials wholesalers","KS42130",6119,6311,6339,6430,6468,6554,6586,6667,6698,6711,6921,6939,6990,6961,6848,6923,6829,6842,6949,7125,6640,6727,6800,6767,6774,6720,6799,6870,6983,6946,7071,6932,6992,7139,7115,7233,7312,7347,7370,7389,7437,7555,7559,7441,7464,7502,7599,7774,7619,7644,7679,7518,7423,7157,7246,7417,7518,7789,7677,7706,7726,7606,7667,7699,7695,7684,7739,7795,7895,7954,7959,8019,8172,8419,8458,8523,8502,8589,8568,8655,8674,8819,9136,9355,9568,9682,9806,10051,10660,10417,10645,10787,10982,11183,11038,11374,11816,12172,12307,11819,11966,11809,11866,11805,11325,11759,11749,12051,12092,12018,12066,12276,12284,12468,12468,12545,12685,12457,12471,12313,12069,12004,11891,11725,11582,11455,11333,11369,11316,11443,11467,11503,11527,11268,10861,10881,11135,11191,11249,11212,11089,10885,10501,10361,10054,9804,9501,9086,8786,8538,8469,8344,8297,8282,8289,8171,8240,8416,8395,8444,8493,8505,8413,8416,8285,8284,8277,8502,8637,8626,8702,8647,8609,8596,8580,8616,8745,8745,8794,8608,8419,8463,8652,8831,8912,8859,8897,8918,9067,9244,9167,9236,9581,9518,9443,9424,9330,9326,9412,9447,9398,9458,9659,9831,9851,9986,9998,9990,10116,10204,10111
"41","33","    Professional and commercial equipment wholesalers","KS42140",8706,9216,9618,9958,10183,10674,10863,10782,11280,11503,11534,11646,11949,12125,12538,12740,12855,12520,12599,12815,12810,12774,13048,13024,13129,13704,13791,13411,13850,14121,14124,14137,14287,14648,14992,15089,15402,15154,14941,14980,15015,14978,15000,15024,15544,15794,15848,15648,15518,15634,15373,15624,15317,15072,15063,15001,14680,14625,14320,14711,14433,14059,14300,14623,14374,14475,14458,14778,14490,14076,14149,14262,14270,14402,14586,14227,14349,14267,14502,14540,14592,14610,14791,14875,14894,15183,15285,15135,15415,15875,15882,16273,16270,16646,16963,16793,16979,16920,17015,17462,17310,17669,17728,17760,17838,18251,18265,18540,18962,19503,19250,19523,19957,19938,20403,20656,21094,21382,21554,21782,21960,22060,22260,22387,22565,22734,22917,23048,23219,23025,23208,23589,23571,23684,24119,24008,24442,24374,24258,24676,24939,25113,25006,24610,24026,23905,23423,23165,22596,22230,21817,21435,21723,21570,21966,22751,22516,22504,23289,23717,24154,24498,24400,24823,24745,24994,25352,25804,26226,26079,25732,25562,26254,26765,27803,28201,27923,28274,28098,27800,27643,27878,28410,28763,29323,29273,30046,29638,29940,30458,30618,30889,31476,31697,31795,32470,31729,32194,31583,31879,33115,31831,32640,33633,33589,34117,34611,34699,34780,34928,34587
"42","34","      Computers and software wholesalers","KS42430",2090,2154,2188,2267,2374,2547,2605,2590,2773,2838,2810,2892,2946,2988,3206,3232,3302,3242,3216,3351,3337,3365,3473,3593,3637,3917,3821,3657,3952,4040,4061,4100,4091,4253,4341,4394,4448,4500,4233,4232,4176,4203,4231,4234,4467,4694,4515,4377,4403,4439,4386,4454,4376,4177,4267,4197,4131,4198,4126,4190,4081,4066,4167,4330,4246,4286,4260,4415,4343,4176,4154,4278,4351,4495,4577,4522,4674,4646,4763,4715,4661,4756,4799,5003,4994,5020,5141,5176,5210,5515,5486,5651,5552,5686,5952,5825,5876,5993,6109,6184,6122,6284,6192,6343,6548,6585,6601,6692,6885,7046,7054,7079,7207,7147,7337,7380,7685,7879,7958,7952,8052,8053,8016,8071,8219,8315,8401,8546,8677,8567,8584,8668,8779,8709,9078,9006,9359,9151,9237,9488,9547,9886,9956,9497,9122,9151,8981,8976,8848,8878,8740,8607,8888,9023,9363,10183,9959,10209,10673,11176,11499,11724,11739,12004,11964,12111,12215,12611,12949,12933,12213,12181,12773,13327,14109,14505,14294,14367,14530,13868,13795,13739,14184,14230,14627,14749,15638,14892,15092,15712,15759,15674,16102,16330,16388,17709,16656,17162,16463,16259,17685,15761,16570,17839,17674,18149,18557,19134,18711,19135,18241
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10631,10797,10851,11220,11072,11191,11301,11191,11292,11447,11709,11480,11897,12070,11803,12130,12011,11549,11859,11651,11707,11486,11555,10943,10969,10917,11516,11442,11085,11254,11176,11046,11369,11430,11744,11724,12108,11457,12041,12114,12379,12216,12156,12188,12308,11977,12680,12790,12485,12567,12292,12507,12234,12419,12141,12241,11914,11649,11364,11805,11660,11125,11235,11317,11151,11206,11246,11350,11094,10879,11036,10916,10760,10629,10713,10323,10169,10114,10197,10349,10534,10361,10521,10221,10265,10605,10503,10232,10542,10567,10633,10837,11020,11265,11188,11201,11351,11068,10986,11424,11339,11518,11744,11535,11299,11744,11739,11929,12138,12537,12225,12510,12831,12895,13162,13392,13468,13531,13619,13886,13953,14065,14336,14405,14414,14478,14569,14534,14558,14482,14658,14967,14816,15016,15054,15018,15078,15239,15024,15183,15391,15206,15023,15107,14902,14746,14431,14175,13731,13331,13054,12804,12811,12524,12581,12562,12547,12296,12623,12561,12684,12807,12699,12862,12825,12930,13180,13252,13352,13226,13542,13408,13539,13535,13831,13864,13785,14048,13748,14030,13946,14210,14329,14614,14799,14653,14628,14869,14981,14949,15057,15372,15559,15578,15620,15180,15348,15368,15370,15794,15784,16140,16231,16128,16217,16319,16442,16077,16474,16279,16664
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",21245,21653,21730,21897,21918,22170,22168,22215,22189,22140,22179,22324,22582,22748,22929,22977,23205,23131,23107,23767,23915,24064,24351,24320,24744,24347,23954,24178,24519,24639,24436,24232,24330,24437,24522,24405,24746,25000,25241,25646,25409,25532,25539,25421,25276,25064,24982,24676,24622,24371,24109,23879,23919,23865,23782,23807,23409,23392,23019,22980,22854,22964,22883,22800,22809,22854,23118,23188,23540,23088,23045,22949,22446,22684,22695,22736,22391,22498,22330,22103,22169,22020,22176,22412,22852,23285,23876,23421,23887,23983,24414,25081,24905,25972,26388,26325,26805,26790,27188,27260,27260,27263,27389,27328,27245,27350,27196,26968,27218,27306,27172,27839,28106,28320,28493,28972,29328,29381,29497,29393,29190,29345,29134,28658,28782,28429,28191,27728,27689,27585,27401,27961,28209,28735,28771,29086,29111,29396,29141,29386,29248,29390,29991,29390,30263,30552,28952,28040,27367,26494,25802,24997,24070,23726,23483,22413,22756,22537,22813,22497,22373,22278,22385,22369,22728,23022,23261,23399,23223,23366,23359,23571,23612,23919,23918,24082,23730,24100,24467,24686,25064,25341,25391,25607,25666,25558,25544,25992,26499,26875,26731,26892,26827,26795,26804,26526,26234,26336,26631,26784,26611,26717,26802,26860,27188,27230,26999,27502,28007,28814,28500
"45","37","    Electrical goods wholesalers","KS42160",19380,19318,19656,19344,19316,19617,19455,19565,19565,19453,19344,19697,19517,19776,20236,20561,20787,20910,20833,21068,21348,21243,21384,21668,21761,22117,21994,21836,22225,22445,23092,23114,23341,23642,24190,24756,24773,25064,25266,25284,25720,26404,26979,27241,27408,28088,28387,28399,28699,28434,28599,28740,28129,27586,26530,26040,25851,25560,24683,24065,23833,23660,23506,23400,23567,23268,23510,24053,23708,23759,23349,23083,23217,23136,23312,23624,23436,23552,23361,23352,23554,23229,22748,23296,23029,23839,24340,24755,25190,25383,25505,25678,25811,25943,26226,26383,26709,27124,27273,27233,27253,27818,28407,28407,28259,28085,28381,28745,28576,29146,29262,29794,30038,29989,30821,31061,31419,32002,31975,31792,31892,31930,32214,32177,32800,32881,32775,32975,33161,33496,34042,34379,34575,34334,34658,34993,35103,35351,35114,35867,36571,37090,36580,35552,34797,33965,32812,32280,31444,30770,29984,29763,29968,29921,29780,30286,30315,30423,30895,30769,31073,31669,32087,32659,32883,33251,32853,33117,33236,33330,32967,33520,34025,33745,33984,34400,34500,35027,35395,34903,35355,35470,35568,35674,35708,35897,35678,35508,35661,35921,36132,36680,36798,36796,36821,36961,37042,36862,37018,37349,37527,37244,37229,37790,37143,37347,37583,38504,38940,39195,39312
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",12375,12412,12151,12496,12531,12513,12370,12426,12585,12523,12562,12548,12705,13073,12943,13128,13145,13261,13210,13291,13242,13319,13425,13591,13722,13623,13682,13666,13696,13695,13846,13536,13638,13699,13890,13786,13710,13949,13902,14236,14326,14547,14612,14711,14607,14736,14784,14912,14769,14668,14613,14481,14264,14334,14261,14465,14378,14234,14084,13941,14033,13871,13894,13844,14072,14094,14240,14251,14305,14153,14170,14298,14272,14767,14933,14970,14807,14729,14812,14605,14619,14724,14846,14935,14973,15043,15161,15238,15575,15701,15911,16135,16304,16501,16549,16561,16793,16887,16898,16968,17064,17148,17047,17169,17240,17565,17644,17961,18498,18332,18396,18407,18433,18641,18735,18895,19000,18948,19322,19336,19191,19121,19487,19972,19819,19814,19853,19716,19784,19721,19748,19782,19495,19305,19132,18933,18916,18728,18901,18926,18853,18620,18414,17970,17746,17313,17229,17153,16853,16774,16587,16315,16060,15986,15789,15672,15565,15512,15501,15365,15364,15395,15479,15766,15956,16010,16071,16133,16472,16537,16519,16637,16783,16847,16822,16755,16742,16902,17029,16956,17003,17052,16957,16972,16959,17256,17086,17198,17152,17155,17062,17217,17107,17115,17387,17561,17558,17326,17261,17108,17181,17168,17237,17234,17338,17433,17695,18040,17905,18097,18402
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",51813,52095,52925,53807,54730,55588,53816,53843,54653,55409,55961,57053,57085,58047,58530,58958,60087,60353,61210,61841,62701,63417,63304,64241,64533,64918,65337,66007,65527,65605,65962,65850,65868,66071,66790,66625,66020,66120,66449,67014,67425,67634,67053,68009,68112,67744,68299,67950,68354,68310,68468,67820,68842,67953,67252,66370,66415,66381,65328,64952,65213,64665,64498,63950,63366,63061,63533,62965,62392,61598,61276,61570,60990,61241,61049,61062,60875,59893,59647,59314,59233,58850,59114,58718,59322,60066,59493,59553,60089,61082,61499,61924,61864,62323,62562,63053,63028,63745,64417,64766,64733,65322,65727,66643,66620,66856,67709,67723,67613,67297,67666,68166,68860,69795,69933,70339,70702,71599,71574,71105,72343,72887,71521,71489,71736,71189,71095,71051,71337,71710,72069,72377,72868,73096,73260,73384,72590,71525,72962,72930,73566,72715,72750,73267,74103,72587,71852,70918,69990,69012,67567,66757,65789,65194,64045,62941,62460,62678,62294,62524,63638,63423,64192,64883,64918,65531,65762,65922,66057,66118,67598,67721,68161,69143,69465,69338,70613,70632,71332,71477,71522,72854,73484,74861,75732,76140,76743,77826,78251,78929,79220,78907,80456,80433,81297,81400,80926,81519,82669,83033,84027,84367,85084,86307,87387,88401,88707,88911,89656,89802,90207
"48","40","    Miscellaneous durable goods wholesalers","KS42190",20229,20315,20971,20302,19681,20397,20445,20898,21113,20752,21460,22088,22098,22565,22436,22672,22993,23100,23211,23899,24636,24895,24708,24562,24664,24609,25194,24863,24835,24590,24329,24357,24589,24526,24836,24593,24641,25096,25140,25335,25627,26047,26429,26323,25833,25913,26132,26476,26855,26473,26416,26229,26678,24955,24887,24479,24243,24023,24142,23956,23784,23791,23708,23796,23323,23479,23132,23321,23021,23064,22766,22847,22858,23211,23181,23595,23571,23470,23598,23357,23619,23665,23522,23778,23389,23006,23264,23368,23450,24083,24764,24886,25049,25174,25091,24910,25392,25611,25542,25417,25790,25652,26085,25170,25657,26303,26236,26116,25995,25648,25631,25474,25243,24998,24580,24581,24687,24133,24456,24857,24021,24496,24582,24578,24080,23785,23476,23268,23457,23472,23049,22649,23103,22888,22713,22444,22675,22435,22800,22904,23236,23097,23867,24248,24123,24153,23519,23165,22924,23209,23462,22394,21279,20954,20856,19926,18998,19664,20065,19943,19292,19100,18843,19176,19821,19876,19463,19448,18747,18793,18428,18912,19851,19366,19260,19372,19060,19106,18924,19757,20287,20084,20363,20056,20080,20324,20824,20035,20572,20901,20707,20490,21180,21127,21073,20877,20951,21314,21868,22041,22151,22014,21940,22014,21674,21554,21542,21586,21787,21956,21959
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",126101,125799,125851,126036,126501,128139,129184,130312,130838,132610,134542,134626,134293,135682,136407,136330,137626,137978,138328,138991,140178,139869,141912,141025,141041,142607,143023,144288,142589,141540,143567,144601,144646,146123,146728,146569,147975,147515,148046,148525,148445,148174,148777,149079,149572,151198,152254,152577,151310,152101,152812,154843,157037,158281,156876,158020,158568,157648,159145,159872,160922,160603,161346,160728,161508,162532,163306,161894,161926,161453,161119,163934,163333,161460,161074,161093,160525,160108,161289,160965,161585,164053,164244,163104,161864,162871,162276,160927,161026,161054,164351,163589,161653,163598,164743,164030,166297,165742,166241,167741,167232,166345,165948,166835,167600,166325,166432,168129,168043,169327,169491,169051,169779,170284,170486,172482,171653,170624,173146,170692,169334,169499,170384,171914,172028,173946,175724,176167,177696,176686,177593,177957,176950,176401,174060,175192,174731,176961,178429,178397,176045,173861,175493,177392,178551,178944,178863,179146,178480,174757,172999,172242,169944,171084,176601,175792,175356,174583,173868,174329,175090,176157,179083,180853,182828,187586,184079,183637,182229,180858,181365,181224,182883,182529,182654,181591,176972,179057,178632,180146,178730,180502,178961,178771,178048,178484,180847,181166,181443,179424,181456,181221,182890,181784,182106,182870,182299,181882,180917,182278,184019,189042,190600,188694,189927,189915,191837,192991,191636,191098,191608
"50","42","    Paper and paper products wholesalers","KS42210",9192,9251,9248,9303,9434,9239,9610,9863,9749,9737,9797,9936,9699,9940,10132,10223,10048,10030,10031,9907,9870,9705,9848,9966,9833,9742,9922,10013,9826,9781,9858,9779,9783,9807,9904,9734,9854,9652,9882,9947,9849,9709,9746,9752,9752,9990,10022,10037,9799,9864,9788,9901,9930,9652,9513,9385,9380,9437,9372,9261,9154,9035,9012,9135,9311,9309,9166,9083,9130,9145,9311,9368,9138,9263,9173,9362,9418,9336,9348,9275,9171,9250,9250,9434,9347,9387,9563,9636,9618,9876,10068,10078,10042,10101,9975,10150,10129,10122,9917,10082,10206,10256,10156,10480,10454,10423,10607,10594,10382,10470,10445,10615,10610,10427,10462,10389,10429,10318,10192,10294,10236,10196,9986,10150,10100,10207,10499,10330,10309,10393,10384,10396,10326,10308,10355,10213,10050,10248,10446,10231,10219,10320,10199,10171,10126,9905,9691,9883,9777,9647,9836,9718,9573,9556,9579,9571,9580,9491,9374,9454,9551,9566,9511,9438,9399,9506,9453,9597,9592,9429,9430,9509,9546,9535,9592,9332,9265,9473,9464,9554,9678,9490,9367,9614,9612,9760,9815,9738,9700,9795,9693,9764,9648,9559,9594,9779,9816,9836,9942,9768,9631,9816,9750,9802,9995,9833,9728,9874,9863,9936,9892
