"","Table 5#11# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"66","48","    Other","W974RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"67",NA,"Addenda: Net capital transfers paid by sector"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","49","  By private business (2-25)","W975RC1","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","1,648.0","0.0","1,145.0","8,581.0","1,083.0","4,762.0","1,132.0","0.0","0.0","0.0","438.0","0.0","-6,111.0","-9.0","-90.0","4,499.0","-860.0","-27.0","-34.0","-67,452.0","-89,618.0","-28,334.0","-40,411.0","-12,015.0","-5,678.0"
"69","50","    Corporate business (3+6-26-29)","W976RC1","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","2,010.0","0.0","1,284.0","10,405.0","1,446.0","8,910.0","1,486.0","0.0","0.0","0.0","850.0","0.0","-4,795.0","-9.0","-90.0","9,525.0","12,208.0","-27.0","-34.0","-64,168.0","-83,623.0","-20,565.0","-38,820.0","-7,099.0","-5,664.0"
"70","51","    Noncorporate business (7-32)","W977RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-363.0","0.0","-139.0","-1,824.0","-363.0","-4,148.0","-354.0","0.0","0.0","0.0","-413.0","0.0","-1,316.0","0.0","0.0","-5,027.0","-13,068.0","0.0","0.0","-3,284.0","-5,996.0","-7,769.0","-1,591.0","-4,916.0","-14.0"
"71","52","  By government (8-35)","W978RC1","-4,546.0","-4,634.0","-5,642.0","-6,580.0","-6,407.0","-6,039.0","-6,150.0","-6,987.0","-9,051.0","-6,938.0","-7,190.0","-8,374.0","-8,938.0","-9,791.0","-8,151.0","-8,254.0","-8,787.0","-9,908.0","-10,438.0","-10,980.0","-12,087.0","-8,382.0","-10,298.0","-15,567.0","-16,809.0","-18,984.0","-19,398.0","-22,909.0","-26,571.0","-32,148.0","-32,226.0","-35,270.0","-37,139.0","-28,496.0","-10,843.0","-8,633.0","9,979.0","-14,553.0","-6,377.0","54,375.0","118,570.0","49,599.0","40,018.0","10,515.0","-13,180.0"
"72","53","    Federal (9-36)","W979RC1","2,297.0","1,578.0","1,361.0","690.0","905.0","3,131.0","4,824.0","5,034.0","4,036.0","6,772.0","9,028.0","10,225.0","8,845.0","7,155.0","9,809.0","11,813.0","13,192.0","13,110.0","11,891.0","12,111.0","11,312.0","16,608.0","15,507.0","11,332.0","11,401.0","10,939.0","12,952.0","10,931.0","8,650.0","3,767.0","7,799.0","8,919.0","14,582.0","24,393.0","41,107.0","39,339.0","60,335.0","43,207.0","52,963.0","117,600.0","186,288.0","126,320.0","113,853.0","84,730.0","58,414.0"
"73","54","    State and local (16-38)","W980RC1","-6,843.0","-6,212.0","-7,003.0","-7,270.0","-7,312.0","-9,170.0","-10,974.0","-12,021.0","-13,087.0","-13,710.0","-16,218.0","-18,599.0","-17,783.0","-16,946.0","-17,960.0","-20,067.0","-21,979.0","-23,018.0","-22,329.0","-23,091.0","-23,399.0","-24,990.0","-25,805.0","-26,899.0","-28,210.0","-29,923.0","-32,350.0","-33,840.0","-35,221.0","-35,915.0","-40,025.0","-44,189.0","-51,721.0","-52,889.0","-51,950.0","-47,973.0","-50,356.0","-57,761.0","-59,339.0","-63,225.0","-67,717.0","-76,722.0","-73,835.0","-74,216.0","-71,594.0"
"74","55","  By persons (18-43)","W981RC1","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","10,787.0","15,755.0","14,452.0","5,680.0","16,555.0","15,466.0","18,907.0","23,110.0","26,974.0","32,393.0","36,268.0","35,640.0","30,341.0","29,057.0","13,124.0","1,364.0","-21,895.0","16,569.0","6,814.0","7,666.0","-28,388.0","-20,587.0","2,027.0","-5,043.0","19,700.0"
"75","56","  By the rest of the world (21-46)","W982RC1","-2.0","-5.0","-16.0","-30.0","-37.0","-36.0","-57.0","-51.0","-64.0","-87.0","-108.0","-128.0","-122.0","-113.0","-101.0","-98.0","-143.0","-111.0","-138.0","-134.0","-348.0","-7,373.0","-5,299.0","1,307.0","-828.0","-1,244.0","-641.0","-201.0","-403.0","-245.0","-4,479.0","-370.0","12,909.0","-552.0","-2,191.0","2,772.0","12,776.0","-1,989.0","-404.0","5,411.0","-564.0","-678.0","-1,634.0","6,544.0","-842.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Beginning with 2009, includes payments to the voluntary employee beneficiary association (VEBA) of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","the United Automobile, Aerospace and Agricultural Implement Workers of America union (UAW).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2. Beginning with the second quarter of 2010, includes payments from British Petroleum (BP) to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","and local governments for the construction of offshore structures to alleviate the impact of the BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Deepwater Horizon oil spill in the Gulf of Mexico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Consists of federal government investment grants and other capital transfers for transportation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","housing and community services, and general public service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","4. Consists of the implied subsidy cost of government acquisition of assets such as shares of preferred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","stock or warrants from private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","5. Consists of maritime construction subsidies and, beginning with 2009, the homebuyer tax credit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","provision of the American Recovery and Reinvestment Act of 2009.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","6. Includes transfer payments to amortize the unfunded liability of certain government employee health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","funds and other transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","7. Consists of forgiveness of debts owed by foreign governments to the U.S. government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","the December 1999 transfer to the Republic of Panama of the U.S. government's assets in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Panama Canal Commission. Includes capital grants paid to the U.S. territories and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Commonwealths of Puerto Rico and Northern Mariana Islands, and the implied subsidy cost of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","government acquisition of preferred stock and warrants from banks in Puerto Rico through the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Troubled Assset Relief Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
