"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"73","54","          Nondurable goods","B337RX1","166,521.0","169,012.0","170,970.0","173,018.0","173,782.0","175,440.0","177,842.0","180,514.0","184,645.0","187,893.0","190,667.0","193,014.0","195,384.0","196,318.0","196,459.0","195,923.0","192,303.0","191,309.0","191,311.0","191,812.0","193,097.0","194,631.0","194,774.0","194,701.0","194,892.0","195,261.0","196,328.0","197,336.0","198,126.0","199,269.0","200,489.0","202,530.0","205,141.0","206,053.0","205,814.0","204,276.0","200,841.0","199,580.0","200,235.0","203,436.0","208,223.0","211,672.0","213,739.0","214,553.0","207,310.0","203,955.0","201,131.0","198,620.0","194,145.0","194,573.0","195,142.0","195,825.0","196,305.0","197,295.0","198,544.0","200,041.0","201,881.0","203,456.0","204,443.0","204,972.0","205,892.0","207,243.0","208,693.0","210,402.0","212,070.0"
"74","55","          Services","A988RX1","316,225.0","320,511.0","323,799.0","327,164.0","328,140.0","331,069.0","335,089.0","340,683.0","348,863.0","355,019.0","360,427.0","365,305.0","370,656.0","372,984.0","373,678.0","372,715.0","366,056.0","362,489.0","359,865.0","358,142.0","358,953.0","359,249.0","358,759.0","358,986.0","358,581.0","358,584.0","358,881.0","360,076.0","361,580.0","362,932.0","364,071.0","365,346.0","367,402.0","367,658.0","366,585.0","362,303.0","356,214.0","353,631.0","354,428.0","357,617.0","365,221.0","372,130.0","375,898.0","377,880.0","366,779.0","361,629.0","357,648.0","352,779.0","344,895.0","344,476.0","344,995.0","344,611.0","345,101.0","346,273.0","348,003.0","350,142.0","353,056.0","355,409.0","356,237.0","357,126.0","357,978.0","359,152.0","360,548.0","362,228.0","363,622.0"
"75","56","      Less: Own-account investment \4\","W144RX1","27,034.0","27,020.0","26,971.0","28,027.0","28,837.0","28,339.0","29,123.0","29,095.0","30,228.0","31,523.0","31,231.0","31,548.0","31,912.0","31,760.0","31,816.0","31,844.0","31,497.0","31,406.0","31,859.0","31,758.0","31,644.0","32,097.0","32,012.0","32,038.0","32,154.0","32,831.0","33,023.0","33,534.0","33,571.0","34,378.0","34,425.0","34,505.0","34,864.0","35,171.0","35,344.0","35,634.0","35,738.0","36,099.0","36,205.0","36,379.0","36,658.0","36,688.0","36,151.0","35,137.0","34,432.0","34,865.0","34,898.0","34,163.0","33,927.0","33,980.0","34,059.0","34,132.0","33,439.0","33,373.0","33,041.0","32,565.0","32,426.0","32,909.0","32,970.0","32,920.0","32,518.0","33,372.0","33,631.0","33,943.0","33,778.0"
"76","57","      Less: Sales to other sectors","W145RX1","307,305.0","309,843.0","312,386.0","315,751.0","320,262.0","324,555.0","328,737.0","333,785.0","339,618.0","343,578.0","346,635.0","349,296.0","350,305.0","351,527.0","352,435.0","353,009.0","352,667.0","353,285.0","353,978.0","354,692.0","355,969.0","356,656.0","356,951.0","357,135.0","358,151.0","358,420.0","358,479.0","358,799.0","365,347.0","366,472.0","367,527.0","365,464.0","366,627.0","368,372.0","369,647.0","367,897.0","365,903.0","365,222.0","365,234.0","365,428.0","365,950.0","368,157.0","370,617.0","372,812.0","374,277.0","376,140.0","378,196.0","380,894.0","378,339.0","378,629.0","379,328.0","379,632.0","380,516.0","381,761.0","383,402.0","385,235.0","387,476.0","389,009.0","389,537.0","389,753.0","390,144.0","390,728.0","391,779.0","393,211.0","394,727.0"
"77","58","        Tuition and related educational charges","B1065X1","76,239.0","76,699.0","77,400.0","78,170.0","79,029.0","79,415.0","80,197.0","80,527.0","80,449.0","80,437.0","80,156.0","79,930.0","79,959.0","80,059.0","80,393.0","80,796.0","81,039.0","80,964.0","79,862.0","79,208.0","78,347.0","77,978.0","77,457.0","77,227.0","77,490.0","77,479.0","77,786.0","78,325.0","78,461.0","78,605.0","78,672.0","78,521.0","78,567.0","78,455.0","78,377.0","78,332.0","78,050.0","78,025.0","78,378.0","78,628.0","79,120.0","79,323.0","79,146.0","79,102.0","80,203.0","80,534.0","81,138.0","82,039.0","80,882.0","80,667.0","80,119.0","79,747.0","79,690.0","79,949.0","80,439.0","81,023.0","81,926.0","82,210.0","82,716.0","82,823.0","82,989.0","83,196.0","83,446.0","83,696.0","83,947.0"
"78","59","        Health and hospital charges","B1066X1","135,255.0","136,093.0","137,052.0","138,331.0","139,881.0","142,196.0","144,156.0","147,247.0","152,042.0","154,853.0","156,792.0","158,016.0","157,304.0","156,806.0","155,829.0","154,684.0","153,493.0","152,936.0","153,347.0","153,793.0","154,292.0","154,527.0","154,024.0","153,051.0","151,030.0","150,116.0","149,905.0","150,543.0","152,441.0","153,939.0","155,276.0","156,528.0","157,631.0","158,380.0","158,963.0","159,349.0","160,268.0","161,258.0","162,692.0","164,300.0","165,619.0","166,767.0","167,630.0","167,820.0","168,951.0","169,951.0","171,023.0","172,312.0","171,965.0","172,610.0","173,839.0","174,854.0","176,043.0","176,577.0","177,098.0","177,790.0","177,763.0","178,441.0","178,442.0","178,429.0","178,786.0","179,232.0","179,770.0","180,309.0","180,850.0"
"79","60","        Other sales \5\","W146RX1","98,281.0","99,462.0","100,374.0","101,680.0","103,696.0","105,146.0","106,550.0","108,004.0","108,886.0","109,866.0","111,035.0","112,479.0","114,051.0","115,569.0","117,083.0","118,406.0","119,043.0","120,218.0","121,349.0","122,121.0","123,564.0","124,304.0","125,533.0","126,882.0","129,656.0","130,843.0","130,843.0","130,036.0","134,432.0","133,899.0","133,529.0","130,364.0","130,362.0","131,442.0","132,194.0","130,127.0","127,520.0","125,894.0","124,150.0","122,511.0","121,226.0","122,060.0","123,828.0","125,894.0","125,117.0","125,660.0","126,037.0","126,534.0","125,495.0","125,361.0","125,412.0","125,100.0","124,875.0","125,330.0","125,950.0","126,492.0","127,821.0","128,397.0","128,374.0","128,489.0","128,345.0","128,263.0","128,524.0","129,174.0","129,908.0"
"80","61","Residual","W100RX1","-6,200.0","-4,900.0","-4,400.0","-2,900.0","-5,400.0","-4,800.0","-4,000.0","-4,700.0","-3,900.0","-4,000.0","-3,400.0","-4,000.0","-3,600.0","-3,600.0","-3,300.0","-2,600.0","-3,500.0","-1,100.0","-900.0","-300.0","-1,400.0","-700.0","-1,000.0","-900.0","-800.0","-1,100.0","-300.0","-1,100.0","-200.0","-300.0","-100.0","200.0","-100.0","-100.0","400.0","-400.0","-300.0","-300.0","-600.0","-200.0","100.0","200.0","-100.0","100.0","0.0","200.0","-800.0","-500.0","-200.0","-700.0","-700.0","-100.0","0.0","-400.0","-400.0","300.0","0.0","-300.0","100.0","-400.0","100.0","-200.0","700.0","800.0","700.0"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
