"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"67","59","      Musical instruments (part of 80)","DMSCRX0",3647,3688,3899,4156,4401,4690,4813,4735,4651,4843,4769,4915,4995,5081,5073,5009,4936,4747,4962,5235,5258,5293,5407,5221,5276,5256,5283,5362,5917,5390,5299,5408,5432,5570,5430,5626,5448,5300,5259,4746,4599,4552,4563,4574,4528,4562,4535,4658,4691,4743,4748,4860,5246,5280,5163,5236,5102,5073,5268
"68","60","    Other durable goods","DODGRX0",102032,103403,106508,111979,112550,116150,116813,116075,114495,111745,110988,114444,117372,119371,120239,122541,122724,128563,134538,138700,142074,141313,142603,145103,149543,152350,152976,158434,163838,163156,163951,166763,167661,172113,174619,174392,170591,169746,167615,158034,156921,157765,158909,159102,162206,162489,165418,169391,170750,174136,175610,174192,177451,181944,185019,190136,192834,196830,196847
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",47669,48131,49583,52158,51771,53520,55111,53993,52522,51765,51292,52053,54244,54797,54803,56417,57213,58977,61118,63884,64876,63954,65253,67273,68739,70623,68836,71960,74942,73095,72852,73046,71913,73596,73898,73348,70400,68531,66868,60269,59060,60143,60896,60929,62051,60456,60707,61644,61733,63482,62955,61828,63244,65465,66372,68109,70215,70639,68854
"70","62","        Jewelry","DJLYRX0",43152,43389,44561,46895,46664,48277,49710,48691,47159,46604,46182,46735,48509,48943,49064,50275,51131,52821,54525,57125,58128,57089,58433,60287,61585,63528,61822,64528,67229,65504,65271,65279,64239,65567,65765,65075,62229,60485,58958,53392,52353,53193,53687,53607,54821,53199,53433,54017,53993,55245,54819,53707,54934,57093,57966,59387,61369,61780,59964
"71","63","        Watches","DWTCRX0",4621,4825,5093,5339,5197,5341,5502,5398,5431,5243,5191,5384,5781,5894,5792,6171,6126,6217,6630,6813,6818,6906,6886,7060,7227,7211,7111,7518,7807,7672,7660,7822,7725,8060,8159,8283,8172,8045,7909,6880,6710,6949,7207,7322,7227,7259,7275,7643,7764,8292,8186,8189,8380,8414,8440,8767,8879,8889,8942
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",33242,33206,33952,35566,35974,36648,35611,35977,35415,34596,34298,35667,35539,37218,38156,38440,37341,39410,41437,41383,42989,42583,42485,43006,44474,44855,46157,47469,48007,48090,48516,49651,50616,52661,53886,53454,52841,53250,53488,52565,52634,52583,52360,53107,53857,55316,56947,57744,57540,58535,59452,59544,60396,60994,61810,62429,61871,63309,63984
"73","65","        Therapeutic medical equipment","DTMERX0",10995,11317,11478,12266,12344,12739,13181,13537,13521,13699,13709,14102,14160,14608,14774,14883,15281,15848,16644,17220,17549,18179,18670,19061,19568,19792,20344,21216,21837,22177,22757,23535,24200,24985,25368,25193,25212,25702,25561,24825,24590,24535,24467,24845,25475,26320,26994,27066,27118,27498,28248,28143,28676,29048,29483,29630,29616,30192,30905
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",22585,22180,22784,23593,23931,24195,22620,22611,22046,21007,20690,21681,21488,22738,23527,23705,22150,23675,24913,24240,25539,24460,23844,23967,24938,25094,25846,26279,26187,25922,25760,26114,26415,27677,28520,28263,27630,27553,27927,27740,28045,28048,27893,28261,28386,29005,29960,30675,30423,31035,31215,31406,31728,31958,32340,32808,32269,33130,33104
"75","67","      Educational books (96)","DEBKRX0",15715,15778,15235,16359,15431,16251,15535,15067,15084,14964,14949,15127,15242,14704,14474,14495,14120,14349,14320,13845,13880,13649,13516,13202,13155,12881,12861,12646,12549,12301,11682,11412,11022,10735,10799,10658,10373,10419,10149,9556,9406,9229,9214,8920,9048,8935,8988,8980,8825,8527,8597,8251,8266,8415,8254,8195,8217,8152,8182
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",10380,10760,11511,11973,12593,13117,13321,13334,13516,12356,11985,12733,13387,13407,13457,13571,13802,14724,15682,16869,17337,17475,17428,17727,18882,19446,19831,20456,21519,21771,21974,22819,23491,23778,24030,24242,24321,24576,24292,23054,22685,23339,23775,23573,23983,24657,25675,27749,28960,29495,30411,30293,31312,32650,33790,36587,37596,39457,40572
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1775,1944,2111,2243,2400,2486,2626,2744,2810,2881,3087,3320,3403,3511,3541,3738,4021,4571,5126,5550,5756,6114,6334,6351,6620,6822,7215,7735,8502,9180,9901,10576,11122,11736,12298,12883,12755,13010,12843,12606,13137,12473,12665,12572,13261,13147,13151,13376,13887,14305,14557,14776,14704,14830,15334,15463,15489,16082,16374
"78","70","  Nondurable goods","DNDGRX0",1780218,1796766,1805080,1841834,1825701,1862049,1874305,1892339,1881040,1889822,1898574,1914659,1921736,1922707,1927430,1952556,1965967,1980296,2016969,2030935,2046289,2052617,2068522,2087172,2114017,2123202,2127909,2164197,2182086,2189304,2200274,2237006,2241568,2237132,2240189,2238413,2226156,2241750,2212166,2178566,2180158,2164376,2172498,2183471,2201628,2212076,2225986,2254452,2262573,2266470,2263806,2271034,2283621,2293949,2302958,2306652,2322213,2331664,2345301
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797767,800680,798798,798078,803816,808441,811738,813531,817573,815315,821057
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",572297,577543,582662,590969,583729,592387,591853,597386,594949,598690,597258,598771,595571,595953,599085,604692,610619,610898,620363,618813,625389,625318,630696,638145,649136,651285,656841,663922,665593,672329,673432,683025,684091,679867,681029,684648,681599,683967,673024,656283,655308,661334,665894,671168,674650,668416,671477,681453,682919,685031,681517,680555,685079,688515,691898,692112,695630,692802,696971
"81","73","        Food purchased for off-premises consumption","DFOFRX0",503259,508567,513216,520578,515245,522782,522320,526837,524695,527602,526464,527855,524525,524904,527865,533422,537880,537750,544287,542127,548329,547542,552547,558194,568197,570455,575255,581135,582036,588092,588361,597727,599033,595193,596286,599284,597100,598581,588151,574752,574758,581094,585733,590365,592877,586809,589741,598104,599619,601778,598640,598076,602013,605300,608272,608837,611481,608768,611754
"82","74","          Cereals and bakery products","DCBPRX0",101097,102099,103794,105985,105835,108061,108895,109879,110432,111798,112147,113502,113458,113591,114027,115033,115395,115022,116026,115854,116578,116600,116894,117922,118977,120654,121887,123439,123761,124916,124364,125337,125496,124522,124877,125839,124408,123021,120516,117561,117075,117729,117966,118959,119964,119216,120038,122413,123744,125081,124452,122715,123026,123327,124018,123856,124275,122695,123167
"83","75","            Cereals","DGRARX0",33437,33395,33594,34055,33715,33944,34051,34083,34201,34202,33745,33553,33140,32933,32973,33046,33520,34052,34949,35323,35614,36150,36274,36785,37348,38263,39020,39778,40537,40922,41360,41974,42200,42027,42337,42634,41967,41501,40558,39530,39633,39999,39758,40107,40607,40342,40481,41105,40695,40724,40445,39749,40004,40244,40841,40965,41309,40953,41347
"84","76","            Bakery products","DBAKRX0",67440,68527,70062,71818,72039,74085,74827,75806,76249,77646,78494,80089,80487,80843,81245,82193,82056,81108,81180,80611,81042,80504,80674,81184,81667,82416,82883,83671,83226,83996,83003,83361,83296,82495,82540,83205,82441,81520,79958,78031,77441,77730,78208,78852,79358,78875,79555,81305,83033,84339,83988,82946,83003,83066,83164,82881,82962,81743,81829
"85","77","          Meats and poultry","DMAPRX0",120439,121121,121898,122565,119953,120191,119263,120786,118924,118433,117521,117004,116562,116457,117174,118616,119539,118734,120250,117317,119061,119796,119821,121843,122658,124464,126115,126102,126124,126728,127569,129692,129807,127352,128589,130169,130293,132670,130480,127531,127490,129461,131432,133262,133744,130049,129624,131988,133687,134652,135112,134163,133435,134425,135148,135144,135405,134553,134273
"86","78","            Beef and veal","DBEERX0",38339,38430,38416,38238,37419,37187,36975,37477,35701,35192,35453,35794,35738,35511,35937,36098,35475,34778,34869,31978,32623,32895,32824,33451,33352,33297,34210,34035,33371,33598,33868,34197,33996,32965,33329,33764,33887,34433,33428,32890,33347,33903,34605,34833,35212,33287,33397,34136,33809,33600,33740,33510,33017,32832,32850,32913,33082,32952,32965
"87","79","            Pork","DPORRX0",22708,22599,22656,22582,21662,21341,21155,21355,21181,21054,20688,20505,20286,20399,20808,21253,21279,21269,21593,21573,22027,22174,22000,22340,22466,22973,23564,23533,23543,23599,23689,24205,24375,24153,24588,24959,25306,25564,25175,24604,24814,25485,26075,26823,26104,25162,24653,24939,25267,25396,25466,25258,25528,26167,26596,26826,26876,26806,26499
"88","80","            Other meats","DMEARX0",20867,21027,21349,21566,21399,21519,21304,21384,21627,21720,21648,21226,21141,20956,20894,21272,22014,21875,22292,22479,22873,23513,23964,24342,24691,25171,25297,25581,25686,25540,25836,26432,26764,26786,27431,27726,27653,28248,27826,26944,26582,27222,27256,27647,28109,27661,27512,28024,28454,28552,28555,28539,28584,28948,29450,29646,29822,29637,29902
"89","81","            Poultry","DPOURX0",39000,39531,39909,40562,39880,40545,40240,40999,40691,40718,40048,39850,39791,39951,39892,40303,40999,40994,41655,41365,41606,41279,41119,41800,42240,43109,43100,43010,43596,44074,44260,44932,44729,43486,43264,43741,43455,44442,44081,43113,42751,42851,43494,43958,44316,43959,44097,44932,46248,47251,47500,47000,46434,46620,46398,45895,45753,45277,45038
"90","82","          Fish and seafood","DFISRX0",10515,10612,10730,10826,10675,10732,10854,11002,10986,11098,11342,11458,11608,11460,11557,11746,11811,11673,11839,11914,12128,12292,12323,12363,12416,12485,12439,12185,11987,11797,11611,11773,11644,11443,11543,11560,11548,11605,11431,11179,11037,11056,11025,11233,11288,11168,11163,11270,11353,11468,11473,11439,11489,11580,11668,11707,11811,11602,11570
"91","83","          Milk, dairy products, and eggs","DMDERX0",51421,53445,53854,53883,53872,54762,54803,55432,54992,55056,54427,54644,54873,54928,55402,56300,57754,58412,58877,57939,59482,58167,59266,61927,62563,63256,63682,64184,64920,66356,67601,69069,69302,68620,65187,65052,65502,66718,65433,64801,66612,68221,68869,69088,68458,68429,68254,69157,70068,68708,67156,66756,67255,68074,68386,67888,68544,68320,68770
"92","84","            Fresh milk","DMILRX0",15103,16385,16442,15687,16243,16467,16410,16684,16370,16366,16223,16319,16621,16732,16981,17079,17643,18041,18281,17701,18571,17156,17300,18208,18146,18390,18594,18604,18809,19607,20140,20511,20697,20266,18768,19073,19620,20350,19834,19913,21041,21950,22041,21773,21284,21331,21132,21556,21690,21088,20797,20844,20976,21364,21439,20979,21133,21355,21459
"93","85","            Processed dairy products","DDAIRX0",29203,29624,29898,30163,30013,30690,30893,31411,31334,31313,30695,30725,30820,30952,31179,31648,32366,32862,33339,33396,34117,33562,33488,34309,34625,34917,35309,35704,35847,36563,36987,38182,38785,38839,37678,37387,37536,37935,36830,35808,36066,36698,36963,37465,37578,37436,37440,37652,38444,37980,36934,36509,36609,37273,37674,37482,37800,37913,38084
"94","86","            Eggs","DGGSRX0",7178,7465,7548,8219,7682,7654,7534,7333,7290,7387,7554,7663,7452,7230,7216,7573,7733,7456,7187,6789,6742,7404,8479,9484,9969,10151,9936,10053,10484,10319,10605,10479,9898,9624,8943,8753,8494,8555,8837,9098,9501,9574,9867,9852,9607,9670,9694,9954,9948,9671,9440,9406,9667,9441,9293,9449,9632,9096,9262
"95","87","          Fats and oils","DFATRX0",12802,13049,13091,13369,13195,13378,13217,13211,12871,12808,12455,12413,12321,12320,12438,12663,12913,13175,13567,13486,13515,13185,13253,13656,14075,14483,14725,15102,15283,15784,16104,16388,16638,16751,16858,16878,16555,15938,15418,14954,15190,15483,15574,15700,15771,15532,15395,15439,15179,14925,14613,14332,14173,14267,14397,14344,14629,14666,14846
"96","88","          Fresh fruits and vegetables","DFAVRX0",52964,53731,54358,56337,56782,58360,58078,57661,58430,59238,60151,61354,58663,59777,60559,61491,61391,60030,59383,59769,60810,60865,61668,57968,62962,61543,62078,62131,60917,61829,60036,61387,60393,60957,62908,61908,61948,62585,60773,61870,63928,64671,65372,66573,66226,65707,67795,67792,64961,65875,66095,68937,72539,73676,73836,73637,72433,72651,71113
"97","89","            Fruit (fresh)","DFRURX0",19112,18827,19486,20428,20269,21989,21736,21544,22196,21851,22211,22516,22383,22589,22751,22784,22931,22801,22892,23407,23787,23483,24386,23609,24781,25532,25269,25186,24857,25323,24773,25498,25210,25500,26254,25949,25854,25920,25597,26411,27402,27697,27786,28284,28285,28739,29725,29183,28688,29326,28585,29980,30969,31036,31343,30943,30980,30921,30934
"98","90","            Vegetables (fresh)","DVEGRX0",33976,35137,35019,36023,36672,36406,36387,36168,36274,37465,38020,38927,36336,37243,37867,38779,38528,37282,36537,36402,37062,37431,37311,34386,38218,36040,36832,36971,36085,36530,35284,35906,35196,35467,36665,35964,36102,36681,35177,35457,36526,36974,37587,38288,37940,36980,38085,38608,36298,36590,37512,38965,41569,42643,42494,42699,41453,41729,40189
"99","91","          Processed fruits and vegetables","DPFVRX0",23451,23390,23391,23524,23161,23351,23275,23230,22909,22858,22474,22002,21496,21173,21047,21217,21959,22074,22608,22789,23022,23282,23505,23981,24251,24336,24604,24912,24979,25395,25689,26052,26280,26391,26390,26673,26508,26186,25553,24422,24196,24019,24237,24559,24757,24609,24625,25229,25163,25276,25037,24614,24787,24922,25323,25356,25445,25249,25369
"100","92","          Sugar and sweets","DSWERX0",38488,38439,38634,39043,38473,39323,39274,39604,39520,39858,39709,39598,39244,38804,38628,38892,38272,38496,39296,39901,39360,39020,39755,40349,40696,39874,39429,40603,40432,40019,39557,39681,39841,39647,39531,39756,38978,38857,38639,36468,35081,35264,35668,35301,35508,35558,35848,35979,35878,36213,35769,36517,36849,36769,36795,37780,38384,38947,40417
"101","93","          Food products, not elsewhere classified","DOFDRX0",92703,93236,94035,95641,93939,95286,95321,96630,96245,97084,96891,96587,96935,96966,97562,98005,99357,100597,102928,103732,104842,104875,106594,108756,110026,109797,110699,113029,114251,115869,116495,118884,120259,120128,121144,122343,122071,121427,120444,116163,114147,115180,115587,115701,117175,116548,117016,118863,119642,119646,119003,118696,118717,118497,118919,119348,120739,120283,122485
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",69044,69032,69514,70462,68634,69748,69676,70666,70372,71182,70895,71021,71128,71132,71311,71388,72818,73210,76086,76688,77073,77792,78165,79976,80959,80848,81604,82804,83572,84253,85083,85317,85081,84695,84762,85382,84515,85407,84913,81541,80551,80238,80162,80803,81772,81612,81736,83359,83306,83250,82878,82467,83056,83191,83602,83228,84130,84032,85267
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",8214,8256,8298,8386,8159,8268,8315,8425,8407,8530,8487,8479,8458,8428,8398,8445,8591,8624,8862,8870,8956,9057,9083,9174,9116,8997,9059,9168,9253,9390,9489,9517,9492,9436,9462,9576,9635,9710,9747,9657,9675,9807,9729,9748,9781,9675,9593,9671,9634,9359,9217,9200,9329,9459,9599,9692,9810,9908,10085
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",60838,60779,61219,62081,60480,61486,61365,62246,61969,62657,62413,62547,62675,62709,62918,62948,64232,64591,67229,67824,68123,68741,69088,70809,71853,71863,72559,73651,74333,74876,75607,75813,75602,75272,75313,75818,74887,75705,75172,71884,70875,70432,70432,71055,71991,71938,72146,73694,73679,73916,73694,73298,73753,73749,74012,73538,74320,74119,75175
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",84887,86412,87303,89646,90388,92074,93791,95263,95570,96771,96182,96202,96986,97983,97750,98227,97934,96737,98101,98348,98813,99477,99799,100162,100571,101231,102165,104054,105616,106305,106906,108245,108690,108907,108427,108058,107266,108321,108883,106620,105753,105449,105593,107756,111096,111793,112015,113589,114612,115414,117097,117299,118449,119621,119502,121210,121807,122459,124116
"106","98","        Spirits","DLIQRX0",16247,16540,16576,16883,16998,17334,17714,17892,17945,17886,17843,18117,18240,18202,18078,18112,18341,18534,19152,19419,19637,19994,20145,20391,20559,20891,21251,21785,22317,22646,22994,23439,23882,24274,24384,24259,24105,24325,24578,24339,24101,23884,23983,24343,25077,25318,25359,25842,25966,26083,26504,26654,27073,27488,27431,27967,28037,28369,28889
"107","99","        Wine","DWINRX0",18122,18618,18924,19690,20108,20933,21682,22214,22823,23418,24049,24895,25522,25913,25966,26017,25982,25801,26314,26809,27009,27414,27764,27947,28220,28410,28599,29307,29763,29934,30152,30534,30716,31013,30943,30712,30687,30940,31049,30546,30337,30390,30533,31288,32382,32639,32862,33384,33735,34304,35076,35300,35717,35983,35917,36579,36855,37023,37509
"108","100","        Beer","DMLTRX0",51120,51845,52395,53658,53844,54326,54880,55636,55227,55896,54647,53464,53475,54135,53973,54373,53857,52606,52808,52265,52305,52194,52010,51934,51897,52026,52404,53041,53606,53787,53809,54315,54117,53630,53105,53095,52477,53061,53261,51735,51315,51175,51077,52126,53639,53839,53803,54376,54923,55051,55558,55399,55726,56220,56220,56749,57004,57164,57824
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",456,450,425,399,391,371,371,355,335,304,294,323,326,353,356,348,321,301,286,277,321,317,334,336,349,357,384,376,418,465,456,462,380,348,339,358,395,381,355,379,394,401,410,373,375,360,344,319,257,258,275,319,384,420,421,385,330,306,276
"110","102","    Clothing and footwear","DCLORX0",240668,242744,244358,244989,248981,254374,257151,259325,255164,256830,256528,260953,263899,263976,262420,270618,269692,276913,283003,283664,290795,287376,290329,296149,300171,306489,305668,314753,316629,314417,317703,321032,323087,322893,325434,324191,321616,331113,324243,312274,308498,302726,305931,308840,315859,321042,321801,331955,333983,337980,332162,335674,339651,336259,340543,339033,340514,345451,342241
"111","103","      Garments","DGARRX0",192234,193575,194653,194786,198019,203001,204836,207020,203644,204518,204804,208747,210766,211466,210151,217147,216346,221776,226243,226621,232322,229555,232121,237321,240537,245353,245063,251342,253008,250661,252180,254773,256279,255372,257787,257031,255336,262963,257466,248560,245577,241183,243848,246791,252306,256887,257306,265874,267425,270130,264237,266289,268894,267218,271109,270044,271564,275875,272866
"112","104","        Women's and girls' clothing (10)","DWGCRX0",109864,110715,111485,111724,114596,118264,119434,119898,117439,118981,119754,122904,123998,123881,122825,126983,126745,129881,132646,133803,137386,135469,137298,139942,142658,146191,145734,149428,150855,148456,149829,151026,151128,151166,154378,153998,152744,158025,152989,148074,147380,144426,144886,146588,149803,153802,154128,159049,159372,161319,157623,159543,161837,160508,163665,162502,163389,168534,164434
"113","105","        Men's and boys' clothing (11)","DMBCRX0",72946,73271,73712,73486,73943,74953,75321,76630,75868,75176,74567,75182,75793,76583,76333,79014,78172,79830,81097,79960,81569,80622,81281,83487,83410,84396,84097,85908,86085,85987,86055,86923,87918,86709,85263,85090,84626,86726,86264,82983,81007,79913,82016,82950,84790,85488,85606,88682,89297,89748,88193,88357,88900,88490,89021,88977,89451,88353,89064
"114","106","        Children's and infants' clothing (12)","DCICRX0",9462,9633,9498,9618,9537,9854,10153,10558,10406,10425,10547,10733,11041,11065,11054,11221,11490,12120,12549,12891,13398,13496,13573,13929,14497,14796,15260,16035,16091,16252,16319,16850,17285,17522,18124,17927,17960,18215,18217,17502,17196,16840,16944,17252,17715,17596,17574,18144,18761,19069,18422,18387,18155,18217,18428,18567,18726,19058,19411
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",48408,49188,49755,50312,51063,51371,52372,52292,51514,52371,51712,52143,53109,52409,52177,53329,53214,55040,56703,57000,58428,57779,58145,58716,59526,61047,60501,63351,63557,63715,65533,66269,66822,67571,67678,67182,66291,68159,66786,63714,62921,61542,62082,62053,63556,64167,64501,66095,66567,67847,67911,69379,70763,69034,69425,68983,68946,69578,69369
"116","108","        Clothing materials","DCSMRX0",3431,3461,3556,3622,3749,3912,3817,3782,3874,3896,3976,4212,4266,4288,4350,4557,4336,4410,4414,4265,4423,4281,4338,4259,4246,4187,4184,4216,4249,4032,4061,3879,3948,4040,3776,3760,3687,3851,3748,3793,3716,3626,3506,3651,3652,3606,3685,3667,3569,3677,3653,3584,3643,3699,3628,3905,4087,4091,4189
"117","109","        Standard clothing issued to military personnel","DMICRX0",295,293,295,300,314,324,331,338,343,348,351,355,354,371,401,438,485,493,487,473,411,353,311,294,327,355,375,391,388,391,405,430,437,433,434,440,431,422,425,439,452,457,453,440,424,408,395,383,371,358,347,339,331,329,334,342,358,372,378
"118","110","        Shoes and other footwear","DSHURX0",44652,45407,45872,46355,46959,47083,48185,48136,47249,48082,47329,47498,48412,47667,47336,48231,48309,50058,51733,52209,53537,53100,53449,54128,54922,56484,55919,58727,58905,59284,61061,61964,62439,63097,63467,62982,62172,63885,62613,59482,58753,57458,58124,57961,59480,60154,60422,62048,62635,63818,63918,65470,66804,65015,65476,64734,64495,65109,64793
"119","111","    Gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280419,273845,273574,273046,269920,274726,272466,268760,271725,271130,270605
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",267143,272367,269674,271938,263042,266561,267776,265785,265636,262102,267125,267800,265789,266858,267987,267718,267035,265619,266768,269249,270296,271506,269681,272000,277015,270918,268361,275710,274365,270329,271942,279281,276892,273782,272010,269958,268782,265784,256216,258857,266650,260205,258995,255065,256326,260633,261805,260646,259096,254753,254176,253668,253073,256852,253761,251227,253702,254433,254767
"121","113","        Gasoline and other motor fuel","DGASRX0",259888,265403,262889,264931,255967,259195,260344,258462,258491,255257,260340,261181,259165,260237,261281,260842,259941,258346,259338,261778,262854,264030,262109,264106,268676,262417,259742,266941,265649,261755,263361,270693,268245,265113,263392,261611,260684,257875,248775,251626,260174,254380,253284,249139,250006,253786,254508,252960,251056,246568,245867,245373,244883,248619,245687,243271,245670,246355,246683
"122","114","        Lubricants and fluids","DLUBRX0",7403,7076,6859,7096,7230,7582,7654,7523,7287,6923,6817,6637,6652,6652,6742,6934,7201,7423,7601,7634,7588,7625,7780,8225,8825,9135,9364,9482,9424,9264,9247,9168,9261,9340,9313,8964,8643,8380,7698,7303,6519,5855,5676,5888,6326,6895,7379,7832,8301,8544,8714,8698,8562,8586,8404,8272,8350,8402,8407
"123","115","      Fuel oil and other fuels (29)","DFULRX0",33956,35171,33284,31476,28560,30256,29575,29183,30187,29314,28935,28417,28808,30426,30397,31198,28435,29059,31632,32804,30307,29444,29385,27134,27558,26151,24136,23012,21872,23858,24328,24156,24914,24010,23567,22721,21454,20150,19839,22985,25133,24530,23306,24116,23010,21911,22369,22146,21285,19085,19387,19362,16818,17837,18690,17475,17968,16645,15774
"124","116","        Fuel oil","DOILRX0",30446,31341,29551,27507,24041,26538,26554,25931,27184,25901,25463,25505,26156,27276,26638,27886,25312,25961,28160,28890,27042,26018,25677,23892,23090,22469,21662,20586,19366,20836,21034,21020,22091,21295,20518,19824,18602,16922,16692,19907,22547,21987,20861,21145,20232,19339,19819,19435,18378,16362,16794,16581,14172,15050,15704,14706,15225,14266,13370
"125","117","        Other fuels","DLPFRX0",3594,3880,3773,3972,4515,3720,3039,3288,3053,3418,3473,2955,2739,3195,3736,3342,3153,3134,3499,3901,3282,3429,3709,3257,4555,3741,2435,2396,2490,3031,3328,3153,2805,2694,3063,2895,2865,3417,3299,3111,2600,2537,2429,2979,2788,2579,2552,2726,2977,2821,2642,2884,2814,2964,3200,2959,2888,2441,2517
"126","118","    Other nondurable goods","DONGRX0",596017,599230,601932,626123,618857,634054,640738,650819,646455,651524,658886,667322,673774,671748,674635,682835,693778,700677,716141,727595,728404,737655,746132,750186,756258,762684,766780,777918,793810,799046,802717,817797,820779,825101,827531,827194,823730,833296,834300,821943,818972,809401,811931,816373,821028,828417,836621,845831,852780,859232,864294,869969,878170,880871,886086,895164,901786,910017,922537
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",186777,189807,189128,204563,194747,210191,215117,222791,219842,223541,233530,239251,242577,239899,242269,245839,253515,255065,261782,267705,263920,270628,273737,275083,275158,275765,276587,279288,285245,294342,298012,305449,308873,311611,310105,308267,310858,314064,316741,318340,319612,320564,322528,320762,318739,321190,325037,324743,327819,327092,329863,333226,334220,333284,333194,337305,341635,347640,355796
"128","120","        Pharmaceutical products","DPNPRX0",185046,188029,187324,202650,192792,208204,213060,220688,217739,221418,231431,237093,240418,237656,240000,243558,251185,252645,259234,265061,261217,267819,270844,272135,272130,272715,273453,276009,281873,290930,294518,301842,305164,307772,306200,304396,306982,310109,312808,314524,315832,316796,318777,316953,314835,317151,320887,320581,323658,322878,325537,328910,329819,328821,328671,332753,337088,342995,351043
"129","121","          Prescription drugs","DRXDRX0",159871,162873,162629,177432,168047,182988,187490,194438,192268,196085,205961,210918,212987,209836,212598,216017,222965,223709,229246,234173,230386,236482,238694,239136,238014,238251,238331,240159,245569,254254,257192,263738,266372,268720,266622,264613,266791,269174,271785,274383,276188,277321,278995,276728,273988,276164,278726,277581,279975,278925,280676,283787,284181,283079,282751,286410,290087,295895,303062
"130","122","          Nonprescription drugs","DNRDRX0",24503,24577,24205,25023,24398,25155,25554,26280,25582,25548,25866,26563,27688,27976,27643,27816,28524,29182,30206,31088,30990,31526,32302,33100,34149,34481,35114,35830,36299,36693,37342,38124,38804,39065,39572,39771,40180,40922,41013,40141,39647,39475,39778,40225,40864,40998,42201,43097,43804,44110,45079,45319,45883,46019,46224,46630,47299,47306,48162
"131","123","        Other medical products","DOMPRX0",1776,1819,1838,1958,1968,2028,2095,2148,2141,2166,2163,2222,2227,2295,2320,2336,2389,2471,2595,2687,2736,2840,2919,2972,3045,3065,3146,3284,3375,3419,3500,3612,3712,3838,3900,3867,3874,3952,3931,3816,3780,3769,3750,3808,3907,4045,4160,4173,4170,4229,4348,4334,4426,4495,4562,4588,4577,4678,4786
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",75243,76157,78430,82357,83358,82722,84772,86257,86655,87429,87487,89046,90619,92337,93830,95718,95487,97211,99643,101343,101370,102246,104774,106922,109929,113243,114184,117115,120333,119839,120028,122459,124917,126408,128012,128751,127871,129393,129153,124571,123505,122902,122677,126247,128297,130893,132639,136149,136538,137978,139732,142921,146414,148641,152862,154689,156408,156414,157560
"133","125","        Games, toys, and hobbies","DDOLRX0",20280,20659,21252,22165,22786,23542,24169,24396,24871,25081,25471,26610,26607,27660,28808,30259,29597,30480,31486,32216,32700,32551,33689,34930,36188,37418,37841,38518,39948,40503,40754,41114,42321,43347,44900,45982,46416,48322,48885,48813,49083,49000,50192,52712,54101,54818,56728,58796,59255,60567,61990,64844,65966,67728,70061,72158,73000,74183,77034
"134","126","        Pets and related products","DPRPRX0",31514,31938,32461,35243,34963,34611,34626,35235,35524,36137,36609,36872,37765,37933,37956,38292,38701,40105,40906,41283,41722,41601,42586,43517,44234,45101,45652,46654,47493,46820,47206,48831,49513,50739,50561,50834,50308,50426,49075,47311,46963,46182,45523,46599,47376,47851,48330,49281,49341,50358,50326,50540,51737,52292,53332,53441,54455,54123,54512
