"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"22","13","Services","DSERRX0",4146211,4162135,4168889,4179185,4195863,4214990,4215054,4236220,4228492,4233799,4253519,4264109,4274127,4293233,4308908,4313815,4319803,4328287,4336770,4343049,4351373,4354214,4366369,4387253,4404555,4407831,4402085,4425868,4438388,4439886,4473253,4488333,4500749,4528035,4517976,4553364,4555000,4587003,4608622,4612564,4633455,4672281,4676756,4692503,4718165,4717213,4724755,4743557,4758937,4761850,4784588,4811828,4818240,4836997,4862099,4880003,4898714,4917981,4939292,4962994,4983149,5016207,5045099,5050527,5072145,5096615,5103426,5117812,5139125,5145505,5163341,5186315,5190138,5181572,5196305,5202509,5215153,5216447,5223937,5240397,5211868,5240582,5238832,5266502,5274231,5285557,5288174,5302837,5312919,5315852,5332158,5324350,5331029,5348439,5345759,5356105,5375862,5369049,5370491,5387630,5402194,5406233,5427074,5438044,5441894,5453073,5463757,5485567,5511850,5525940,5517066,5539674,5551603,5563693,5574945,5583195,5610661,5632013,5648861,5671495,5668807,5682649,5707724,5713676,5726376,5743555,5755243,5769133,5777024,5776317,5801730,5818742,5811785,5844459,5866766,5869182,5891670,5891615,5909395,5911513,5921967,5949210,5957655,5971405,6000618,6018346,6016148,6040064,6028119,6040484,6044173,6069634,6052585,6050317,6062794,6066030,6084338,6091854,6085073,6098987,6087727,6090787,6081324,6060102,6075631,6080618,6083612,6076964,6078334,6074921,6074892,6080265,6074266,6081944,6082783,6091268,6097669,6101684,6093827,6122227,6125052,6149601,6152646
"23","14","  Household consumption expenditures (for services)","DHCERX0",4006287,4025285,4032640,4040427,4057187,4075571,4075836,4097391,4087861,4092412,4111242,4120635,4129190,4144806,4160638,4166136,4171470,4177257,4186031,4192668,4202011,4205530,4219626,4243753,4263932,4271070,4264976,4288967,4301447,4302321,4338379,4350874,4362219,4391221,4379098,4412290,4413278,4443656,4463129,4466235,4485365,4522080,4524662,4538871,4562546,4559666,4565115,4582856,4598593,4601661,4623811,4651025,4656537,4674721,4699608,4717039,4735786,4754878,4774113,4796966,4813830,4845847,4874011,4880307,4901118,4925252,4927477,4940134,4959881,4963362,4979910,5002627,5007100,4997795,5010918,5015091,5026984,5027707,5034164,5049155,5018462,5045798,5043316,5069587,5075879,5086515,5087156,5100350,5108159,5109774,5122147,5111021,5115905,5132429,5126767,5136070,5156477,5151865,5153831,5168658,5180733,5184757,5205334,5218028,5223463,5232789,5244247,5267710,5291960,5306072,5296781,5320608,5333648,5346557,5358279,5366020,5393648,5413626,5429966,5454407,5454772,5468861,5495218,5500954,5512836,5528817,5541846,5556355,5564913,5562036,5584761,5600701,5591603,5621971,5641102,5641472,5659162,5655701,5668402,5668075,5677590,5706160,5713912,5728038,5758083,5777481,5776775,5803410,5791847,5802218,5801445,5823713,5804153,5796341,5806875,5811069,5826988,5831429,5823499,5837633,5826453,5829398,5817698,5792928,5804888,5805279,5808116,5806482,5814718,5818245,5818617,5827624,5822604,5829928,5829076,5833701,5840131,5843244,5833871,5861192,5863044,5884984,5885537
"24","15","    Housing and utilities","DHUTRX0",1214511,1223452,1214213,1228236,1233420,1234570,1243535,1250620,1238835,1236959,1249961,1250136,1253259,1261478,1260316,1259364,1262691,1260337,1253515,1262899,1258100,1266776,1271751,1269781,1277035,1274712,1269314,1287537,1285804,1281415,1291692,1289894,1296788,1315051,1301292,1314302,1299941,1314763,1322194,1316928,1329515,1339227,1335608,1339015,1343271,1336627,1335417,1344586,1353453,1348016,1361237,1363953,1366064,1374572,1381586,1382301,1383831,1384807,1376529,1384951,1389502,1390487,1384414,1397197,1406711,1414911,1411230,1420184,1424450,1424839,1438388,1461787,1443096,1448075,1457267,1444875,1450019,1450134,1454643,1454009,1455008,1461543,1445802,1453524,1451424,1452027,1457715,1457466,1464018,1458624,1463231,1461651,1463036,1474787,1471121,1468917,1478327,1479513,1468670,1484953,1481349,1469006,1477240,1478737,1479518,1483230,1487674,1494188,1498555,1504232,1486463,1501641,1505077,1506762,1508781,1507941,1521377,1528438,1536900,1547006,1549196,1548806,1571797,1566647,1579210,1587315,1591883,1594284,1596611,1596182,1599775,1612390,1576610,1605809,1614392,1609951,1623469,1620095,1636637,1624648,1621374,1633084,1620950,1613608,1631580,1637156,1619284,1642020,1621081,1627345,1626946,1643135,1633642,1624850,1638163,1636414,1640337,1647341,1643799,1646864,1645364,1649665,1646140,1636100,1642452,1649467,1658919,1660461,1661420,1654034,1655121,1655133,1649699,1650450,1647843,1654671,1659340,1666559,1653409,1673105,1673337,1679609,1670732
"25","16","    Health care","DHLCRX0",935554,940195,945064,941742,946302,945809,947322,951939,951645,954416,953284,956657,957466,948932,959238,963685,962693,967457,965501,967506,971575,976447,978202,986333,985532,985830,985446,987798,991207,993775,998777,1001589,1003254,1007243,1010702,1014188,1020438,1023945,1025606,1026632,1028300,1029658,1031429,1033110,1034186,1034265,1033374,1033106,1034213,1036043,1037160,1038546,1039556,1041643,1045256,1048323,1051475,1055514,1058848,1060468,1060732,1063850,1068763,1073641,1078281,1083603,1082238,1085872,1089429,1092486,1097381,1102023,1108927,1112711,1117730,1120926,1125483,1130804,1137350,1142778,1146890,1152863,1160101,1168788,1177028,1184169,1189190,1195095,1199839,1206024,1206801,1209981,1211989,1215928,1215700,1216094,1218705,1221333,1224691,1224641,1223855,1226031,1228559,1232494,1235643,1235078,1238273,1243717,1244334,1248049,1249877,1254883,1260509,1267277,1273002,1277291,1282499,1284974,1287784,1293269,1300100,1304844,1308404,1309397,1311191,1312665,1318630,1321235,1324095,1322412,1326248,1332199,1335550,1337619,1338783,1339575,1338875,1339281,1336003,1335362,1335962,1341377,1347472,1354219,1360869,1365100,1369349,1370371,1371895,1372891,1374060,1377761,1380861,1381717,1386017,1394922,1404454,1409118,1413433,1417751,1418643,1418199,1415906,1415992,1416531,1418369,1422332,1426443,1431254,1434923,1436705,1443873,1448907,1451688,1449749,1446439,1449711,1453061,1456890,1459415,1463210,1464332,1466278
"26","17","    Transportation services","DTRSRX0",208819,208413,208829,209915,210928,212222,213087,216128,217307,218584,220328,221520,223243,226540,227076,228186,230413,228876,231469,232907,234638,236097,234811,242121,243117,244223,245987,246267,247291,248691,250658,250621,252283,250962,251406,254307,254038,254702,254801,256793,257161,259020,260210,259710,261835,262230,263307,266277,267132,268319,267405,270102,270082,272383,275100,275961,277576,278354,279790,279662,280242,283399,285073,283650,286588,287465,286639,287225,289051,287295,290205,287853,289845,288418,287336,287791,286967,286584,286419,288653,270140,276514,277711,276665,278216,277842,277139,275681,275783,274574,274904,276210,274046,275125,272544,278041,277284,275776,274440,274037,274799,274687,276666,277458,279028,279084,276593,280963,279259,282160,281124,283376,282299,283838,283838,283721,283431,284361,286301,285016,285080,284481,286036,284904,286159,287273,287183,287013,287423,284873,285316,285056,283915,282403,283181,284528,284606,285008,284596,283349,285659,286296,287213,289082,288939,288326,289822,288803,290596,288931,288635,289006,288011,288294,287022,283689,282562,281193,278349,276902,275409,274685,274346,272144,269953,268377,264385,267199,263737,261254,260594,262070,262022,263491,265559,264468,265099,265675,264719,266151,266540,263896,266211
"27","18","    Recreation services","DRCARX0",235284,237308,240716,240187,244489,247251,245905,248665,248484,249676,252726,252340,250794,251719,254264,253447,254150,257163,261722,257360,257393,258236,259062,260756,259661,263531,262417,263459,264607,263117,264400,265466,264511,266990,267040,268525,272197,269964,270266,270965,270635,271550,273688,275194,274393,276453,276621,277532,277238,279130,281607,283788,282893,284764,286974,289264,293751,292883,294238,292929,290434,293294,295850,296484,295779,295088,298726,295369,294744,295468,296768,294680,300390,296652,297017,295031,295726,294182,295406,296181,288589,291220,293702,294620,295487,295159,294843,297170,296482,293241,294819,296119,298322,298835,298619,301786,299824,297598,299738,300717,303868,304891,306233,307643,309071,310959,311433,313723,314119,317016,320701,320373,320041,321254,320660,322528,323403,322793,323309,322330,322928,326372,328744,325340,327735,325451,325736,327471,326340,328832,329798,326689,333543,331658,332029,334508,334173,333447,336263,338687,339401,342129,347309,346278,346164,346915,350024,348474,349809,348759,353107,351037,350546,352777,348946,353069,350813,351044,351401,352597,350354,354261,353420,348262,347139,346163,346156,346093,349216,347597,346309,348615,346158,344057,343241,343592,343995,343209,344369,342843,343499,345585,349384
"28","19","    Food services and accommodations","DFSARX0",418851,412472,414964,416956,416491,414920,415712,417367,417005,415650,415521,416498,413608,415113,419178,417745,418730,417674,418653,417998,419312,420874,423792,422664,426880,426879,426096,426659,425680,427128,430149,432111,430805,428034,425765,430319,431924,432723,433795,436545,437537,440399,438247,438908,442311,444552,444728,448640,442531,446306,444585,447039,447185,447272,447069,447389,452452,458347,460297,459916,462903,465647,472483,470688,470750,471927,472017,470027,476314,474657,473329,465810,478667,473822,471854,468847,470828,470837,470078,474400,458426,463038,464204,473664,473477,475768,472195,478769,475823,477903,477928,478555,478734,476426,479444,481722,482981,480251,484654,483533,492324,493893,497077,503229,497257,503582,504634,499334,505072,505083,508061,505449,506350,506690,509777,506154,511035,513062,511733,516543,514581,520162,514793,525833,522210,525367,525125,526398,530083,529940,535768,533438,548566,541439,543979,540511,539480,536091,534316,539200,542463,542167,542839,548158,545310,542081,548543,544259,546660,548463,548297,547817,547923,552124,549092,551241,549545,546560,546402,551012,551854,549958,548540,547539,545710,541101,536275,530329,532060,537712,531334,531439,530715,529478,530356,527780,525482,524800,526702,528321,527151,541285,543266
"29","20","    Financial services and insurance","DIFSRX0",480468,481802,483877,485600,488303,489033,491582,490568,494904,492278,495004,499644,500151,502878,508616,506019,510147,509728,505187,504625,509839,509315,512494,514119,516987,517583,516886,514728,520827,519266,527622,533428,532919,537660,530336,534469,534892,541434,544662,549367,548898,560829,557371,563150,573088,572157,577423,580339,584118,580653,583816,595402,598175,600262,605139,611300,614871,617551,633973,642213,650608,663904,672672,667869,659066,665628,664419,666794,668291,669053,664155,672112,664760,655337,657301,659424,658710,658446,653191,655768,660696,665595,669138,670417,663884,663308,659778,657056,656780,659846,667799,657414,652892,655964,655727,649560,648471,646773,648373,646708,653418,659439,659044,657951,665549,664922,668787,674104,681558,682850,685006,688502,686515,685106,687966,690048,693902,700758,706583,712516,702789,703145,703656,709540,709345,713368,714635,718730,718219,716858,718958,722190,723958,726209,727936,728877,732734,732323,731343,735905,739638,743891,748304,754116,755755,763564,769118,773302,777173,779482,779346,784829,773132,771327,772470,767821,769491,764283,764658,764354,763989,762975,762522,754744,758191,756166,747165,748597,746946,752317,754982,753790,756199,758380,759126,762111,764042,758503,755569,756441,754930,755234,756074
"30","21","    Other services","DOTSRX0",515293,524494,527686,520583,520109,534717,521563,524792,522037,527091,526778,526046,532821,540297,533924,539570,534339,537878,551724,551082,552598,539114,541040,548928,555698,559250,559541,563685,566989,569751,575789,578309,582271,586314,593744,597264,600820,607175,612969,609660,614253,622069,628883,630502,633791,633568,634170,632067,639752,642945,648047,651830,652203,653417,658007,661948,661060,666577,669211,675752,678254,683720,692929,689381,702805,705580,711199,713842,716639,718843,718742,717875,720452,721867,721583,737898,738932,736362,736518,736651,739648,735633,733366,732446,736668,738555,736527,739202,739528,739903,737161,731202,736880,735371,733657,739689,750594,750359,753168,753763,750944,756862,760466,760394,757364,755848,756846,761675,769186,766741,765587,766434,772895,775656,774270,778358,778001,779234,777355,777705,780094,781015,781852,779267,777015,777403,778664,781217,782135,782923,788908,788692,789724,796903,800823,803564,805813,809442,809068,810912,813149,817236,820030,822944,829699,834617,831190,836534,835266,836910,831597,830531,830502,825753,825547,824385,830277,832393,825998,828711,821400,820226,817405,818744,825510,826214,833376,827929,830729,831251,834565,833709,830028,833516,834285,835824,833714,832516,833238,835876,835307,835946,834486
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142503,139457,138881,141386,141321,142079,141878,141506,143303,144065,144967,146176,147649,151185,151023,150428,151085,153810,153518,153158,152131,151446,149488,146225,143331,139462,139811,139614,139664,140304,137634,140235,141332,139673,141705,143921,144575,146218,148344,149169,150906,153009,154830,156334,158282,160119,162132,163178,162853,162703,163303,163380,164249,164831,165089,165579,165598,165822,167820,168684,171824,172893,173659,172880,173699,174100,178326,179971,181482,184159,185399,185719,185148,185785,187296,189156,189880,190398,191356,192744,194586,195945,196607,197976,199311,199975,201785,203178,205291,206513,210180,213236,214940,215831,218649,219693,219157,217084,216611,218859,221300,221336,221635,219980,218455,220284,219530,217912,219923,219895,220317,219090,217980,217163,216694,217204,217039,218425,218937,217099,214027,213780,212490,212709,213534,214743,213391,212782,212141,214289,216972,218049,220185,222492,225676,227733,232561,236009,241154,243647,244603,243230,243938,243544,242666,240941,239414,236591,236212,238254,242852,246118,248739,254519,256544,255532,257996,261217,262445,262183,262126,262237,264619,268437,272189,277074,277243,271907,264509,257009,256570,252589,251545,251903,253743,257923,257866,258840,260532,261602,262660,265433,268192
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",632756,631350,633760,632742,635656,635955,634815,637808,638211,640471,640229,643500,643924,641149,647621,649572,649461,655506,653576,655387,657650,660899,661373,664884,660808,656295,656363,657530,659650,661716,662576,666369,667571,668080,671935,676676,681343,685367,688107,689271,691699,694865,698515,701390,704321,706614,708729,710473,711383,713292,715328,715859,717015,718681,720853,722952,724581,727523,731153,732978,734609,736610,739620,741210,744108,747141,749705,752761,755356,759039,762861,764872,768208,770312,774215,776740,779099,781594,786303,790256,792844,797030,800756,806273,811451,815300,819115,824006,827729,832200,835114,839391,840654,842053,843150,843156,842852,841088,841660,842650,843389,843965,844825,844393,844082,844957,846086,848230,850240,851835,852430,854042,856080,858923,861292,863965,867070,869631,870627,871109,870635,872380,871832,871399,872168,872970,874496,874407,874467,874436,880269,886129,888581,891429,894411,896010,899274,901774,903123,903821,904279,905992,910063,913413,917493,919174,921791,920089,919713,919622,921008,924131,926565,931793,934855,938519,945219,950311,953089,955243,955297,954507,954350,957156,960024,965004,966157,963991,960903,956431,956119,956883,958228,959369,957100,956387,957506,958433,960776,962120,964239,966360,969165
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",493158,494946,498026,494341,497377,496885,495936,499374,497891,499387,498198,500251,499142,492675,499385,501980,501180,504474,502820,505029,508389,512394,514915,521882,520774,520263,519969,521366,523473,524911,528617,529731,529808,532118,533877,536348,540437,542784,543281,543580,544164,545096,546835,548126,548975,549294,549232,549861,551145,553266,554689,555147,555367,556430,558377,559992,561654,564451,565941,566852,564996,565861,568108,570649,572719,575412,573229,574526,575493,576251,578793,580512,584643,586090,588395,588865,590474,592465,596248,598746,599309,602090,605189,609334,613163,616384,618267,621743,623193,626436,625307,626305,625724,626189,624242,623147,623457,623920,625033,623639,621826,622388,622969,624276,625570,624567,626486,630311,630276,631903,632083,634933,638093,641766,644611,646777,650049,651232,651722,654025,656607,658598,659335,658685,658633,658240,661102,661627,662344,660143,663291,668075,668387,668929,668742,668298,666786,665890,662196,660465,659997,663038,666397,670108,675011,678354,682430,683470,683463,681411,678361,678318,678216,677878,678996,683564,687835,689816,691396,693765,693873,692991,690592,689773,689081,689418,690403,693237,697021,699505,699595,703939,706191,706980,703112,698662,699799,699832,700599,700953,702067,701669,701963
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  Energy goods and services","DNRGRX0",415234,428288,411060,425739,431179,431453,437231,442912,424915,418563,437722,434895,438276,443521,448553,440329,442621,441709,429341,439022,426040,437029,440485,433833,436945,435997,428263,445690,439052,434568,444195,434323,439918,457615,443335,453864,432008,446992,457244,448055,460098,470338,461140,463422,464827,449804,443482,452602,459076,448355,461491,463477,463966,473124,478272,468668,465379,469779,446004,465673,454945,451172,440075,456756,468991,469354,462385,472146,471221,464093,471334,504707,473578,472553,479077,462015,460974,450478,468647,458715,461665,468875,453050,459706,454904,461978,467488,466077,479799,474688,476295,477351,475661,485652,484295,481335,487482,487998,473330,492349,487285,473045,477241,488384,484141,487835,493322,495915,500967,499993,481229,493075,496677,490156,484571,482704,488849,492887,494392,495465,501610,487225,501660,490505,501439,498865,501803,500663,484565,488463,488041,497441,458893,481152,481979,479956,489116,482355,502510,484237,483999,496008,479561,472759,491574,502183,478864,505365,480243,485377,486650,495579,492656,476743,485410,486248,480359,472836,486332,479005,473427,473144,458855,458248,453464,471091,479288,473096,480674,476107,478148,472002,470147,470563,462182,473689,473086,479720,467294,481240,484252,489797,480479
"36","26","  Personal consumption expenditures excluding food and energy \4\","DPCCRX0",5055389,5040633,5080859,5063665,5097366,5144462,5125533,5150412,5176657,5159321,5194154,5227975,5199695,5243441,5269020,5297266,5305143,5312912,5334226,5349444,5367199,5377137,5390554,5417176,5442256,5455010,5472491,5461967,5473305,5506720,5555310,5602663,5598086,5617172,5651219,5683253,5693042,5723311,5744018,5782596,5820707,5854644,5864753,5895962,5944383,5981675,6003499,6046231,6033157,6070997,6095640,6133054,6164379,6192119,6201890,6244081,6275329,6289192,6336924,6392653,6405451,6472047,6515374,6491566,6519403,6528139,6542947,6573755,6631050,6629895,6631000,6642388,6664509,6679103,6668383,6682209,6715241,6730603,6733969,6785180,6703484,6884963,6860821,6839898,6876027,6902268,6893329,6936665,6891875,6933737,6974700,6985567,6948161,6959174,6974635,7026949,7029953,6994534,7036825,7061750,7093045,7142994,7171767,7229665,7209169,7213887,7255430,7264859,7289047,7300098,7343692,7333700,7383383,7349895,7403609,7418205,7471489,7485784,7498305,7553572,7538085,7578410,7580833,7653688,7606235,7681951,7731519,7696155,7671636,7683307,7726835,7756872,7832906,7827082,7853346,7866084,7858864,7879146,7900232,7898504,7944143,7967510,7994645,8046243,8060569,8060451,8103760,8087840,8119857,8112285,8123883,8154054,8161311,8178030,8184583,8168817,8173539,8162334,8158163,8177981,8172179,8162386,8131488,8129275,8099535,8053076,8052516,8010535,8049990,8058760,8034361,8021255,8022406,8040793,8062475,8135826,8060623,8079435,8117154,8127215,8133646,8170025,8225572
"37",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","27","      Personal consumption expenditures","DPCERX0",6003120,5989866,6019890,6009071,6051745,6099766,6083030,6112711,6127163,6103854,6154561,6193319,6164992,6212237,6243336,6268379,6277444,6285370,6297644,6318978,6327308,6347084,6363702,6387419,6416894,6429085,6444567,6443329,6446982,6478432,6539338,6579168,6579524,6611661,6637570,6674192,6668665,6711720,6741198,6775512,6823787,6868366,6873392,6906149,6959698,6986997,7007327,7062855,7053208,7088356,7123420,7166264,7200321,7233010,7248888,7288162,7322134,7334873,7369749,7462931,7438945,7510842,7553975,7543160,7578220,7593951,7600283,7638719,7698629,7695895,7702068,7742654,7740626,7750035,7742226,7749618,7784143,7786860,7803763,7848397,7771005,7958351,7921555,7910072,7937266,7969135,7965578,8004123,7974549,8014614,8059435,8068869,8027642,8050499,8069990,8121161,8135121,8100480,8131264,8169116,8190289,8233994,8273777,8343806,8318824,8323076,8371584,8379374,8421817,8428783,8462320,8460056,8515120,8474473,8523766,8538747,8605001,8624953,8640183,8697554,8692333,8724143,8740485,8802196,8763839,8842807,8896195,8867812,8832733,8852828,8887234,8925382,8961445,8987486,9010943,9027212,9033921,9044008,9089600,9070431,9112103,9159110,9166667,9219075,9254446,9261948,9279011,9288330,9294267,9291901,9309759,9344801,9352189,9353197,9373141,9364327,9357276,9337370,9354051,9362989,9349629,9340297,9283969,9281183,9237974,9210349,9218403,9157110,9210591,9218940,9198109,9180817,9185051,9201258,9216821,9304402,9236537,9262537,9293418,9312439,9324468,9374509,9419034
"39","28","Household consumption expenditures \5\","DPHCRX0",5862512,5852073,5882593,5869489,5912156,5959405,5942880,5972855,5985633,5961667,6011460,6049043,6019420,6063364,6094548,6120089,6128535,6133958,6146476,6168101,6177357,6197725,6216108,6242781,6274869,6290621,6305762,6304713,6308322,6339143,6402468,6439824,6439173,6472859,6496825,6531321,6525191,6566651,6594063,6627573,6674141,6716645,6719873,6751141,6802758,6828232,6846559,6901041,6891701,6926987,6961448,7004215,7037406,7069515,7085136,7123930,7157905,7170432,7203297,7295669,7268480,7339339,7381728,7371716,7405974,7421313,7423262,7460038,7518446,7512918,7517802,7558108,7556680,7565427,7555997,7561422,7595230,7597399,7613308,7656540,7577036,7763259,7725701,7712744,7738560,7769776,7764278,7801410,7769530,7808369,7849366,7855592,7812531,7834504,7851098,7901267,7915827,7883323,7914644,7950218,7968920,8012625,8052140,8123895,8100463,8102867,8152149,8161569,8201985,8208970,8242079,8241032,8297190,8257361,8307119,8321592,8388001,8406583,8421309,8480466,8478295,8510352,8527978,8589469,8550303,8628066,8682801,8655041,8620614,8638551,8670265,8707341,8741266,8764998,8785272,8799486,8801382,8808045,8848531,8826910,8867627,8915979,8922834,8975616,9011847,9021055,9039621,9051715,9058018,9053643,9066965,9098778,9103587,9098952,9116928,9109095,9099661,9076672,9092152,9101330,9088039,9078608,9020070,9013642,8966893,8934623,8942492,8886396,8946902,8962380,8941981,8928488,8933708,8949554,8963352,9046855,8979154,9004199,9033442,9051431,9062450,9109817,9151701
"40","29","  Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,703418,699959,699001,695000,697098,696421,701204,696419,699926,702506,705806,711379,706613,706819,710655,709299,708547,708900,701940,702044,694791,690652,690478,678032,684498,688190,689618,691214,695892,693479,695732,698542,705936,706207,712557,706718,709066,716770,716475
"41","30","  Clothing, footwear, and related services","DCAFRX0",214861,210994,214110,213261,215351,217934,219986,215697,221945,215695,220790,221768,217538,222927,221698,225255,225113,227407,227005,231007,230886,232141,230061,231385,230302,232162,232435,228509,228664,232719,235376,239118,237685,239209,241003,240880,242408,246527,246871,251045,248360,248242,250022,245604,247111,251739,252858,254692,258801,261770,264903,262442,264427,265288,264405,266477,266532,265921,266216,267480,266073,270513,275515,274972,277874,275843,275691,278765,282544,280245,281863,281101,281401,277511,270828,279215,278744,276275,278660,282517,271656,279904,281861,284278,285450,284805,284588,285857,282271,286701,285004,283277,281084,292198,289052,292465,291748,287335,294553,294475,299728,301493,304105,305980,306221,302577,305280,308263,310130,312287,316144,308377,311624,307746,311090,312836,315658,318301,317034,322395,321719,328390,320841,330144,328144,334310,330982,333048,329899,341844,340549,341797,346221,347274,344236,345946,342024,342920,346648,344665,353424,353967,350448,358036,360918,355840,365004,357046,362128,360972,363138,363504,365025,365489,367919,363258,361891,362619,366982,369995,369665,368523,364121,360426,352667,349875,355437,348129,349339,353361,346186,344415,344104,338948,338688,342286,345311,347384,349138,347192,348761,355966,362983
