"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"45","37","    Tobacco products (7)","BTOBRA",49.2,44.64,45.02,39.97,42.03,45.09,47.77,51.47,54.65,55.08,56.45,58.1,63.08,68.82,72.39,70.66,73.65,83.29,86.45,89.12,89.39,90.73,93.88,97.32,96.33,92.71,93.89,96.68,100.45,103.67,109.11,110.7,114.14,114.5,115.42,113.72,116.7,116.7,117.75,116.92,115.37,117.31,118.24,120.57,127.4,129.36,129.05,137.92,133.1,135.8,134.71,136.1,138.12,132.47,125.67,125.52,125.08,122.32,122.92,113.54,112.01,107.96,100.17,104.57,94.5,99.56,99.87,100,98.76,95.76,90.01,88.84,87.25
"46","38","    Toilet articles and preparations (21)","BTLGRA",6.39,5.67,5.75,4.9,3.74,4.83,4.86,5.13,5.46,5.63,6.23,6.57,7.61,8.37,9.88,10.72,11.55,10.99,10.28,10.33,10.72,11.89,11.76,12.99,13.87,14.36,15.78,17.22,18.36,19.23,19.55,21.63,23.99,26.25,27.82,29.93,32.74,36.65,38.74,40.84,41.69,43.24,43.65,45.65,49.89,50.04,48.71,50.52,53.4,56.54,58.92,59.18,59.16,57.6,60.31,65.03,68.31,71.63,76,78.06,80.26,82.31,81.69,81.99,85.27,89.41,94.04,100,105.23,107.81,111.2,112.61,111.55
"47","39","    Semidurable house furnishings (33)","BSDHRA",11.01,9.56,10.16,9.3,9.14,9.32,9.93,12.41,12.99,12.77,16.11,17.14,18.17,17.02,17.54,17.27,16.72,20.73,17.29,18.44,21.1,23.7,23.26,23.68,23.55,22.74,24.31,24.93,24.86,24.14,25.41,25.83,27.02,29.49,30.55,33.6,35.84,38.9,39.81,41.34,40.19,39.29,38.87,40.61,44.13,41.67,40.84,42.55,44.35,46.14,47.62,47.95,49.77,48.04,50,54.1,56.22,61.42,62.9,65.78,68.49,70.36,72.92,79.47,83.39,88.41,93.74,100,109.1,116.29,125.73,134.48,138.85
"48","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","BCLPRA",6.22,6.07,5.97,5.22,5.39,6.28,6.59,7.36,7.91,7.88,8.37,9.04,9.84,10.51,10.91,10.71,9.76,11.62,14.72,15.01,16.43,18.27,18.22,18.44,20.22,20.9,22.68,23.99,25.38,26.13,28.83,30.93,34.71,38.14,40.49,44.05,47.58,51.82,53.2,55.67,58.19,59.77,58.67,61.68,67.5,64.61,56.92,56.74,56.59,61.47,66.72,68.58,69.31,69.88,71.76,75.97,77.37,79.52,80.16,83.1,83.58,85.09,84.48,87.18,91.54,96.31,97.34,100,102.24,104.58,109.25,109.14,109.54
"49","41","    Drug preparations and sundries (45)","BDRGRA",2.93,2.77,2.56,2.32,2.32,2.65,2.76,2.96,3.22,3.31,3.52,3.66,4.13,4.71,5.6,5.88,6.19,6.78,6.48,6.83,7.13,7.79,8.65,8.94,9.22,9.26,10.02,11.04,12,12.44,13.46,14.84,16.6,18.4,19.62,20.38,21.25,22.22,23.74,26.22,28.41,32.03,33.54,36.39,39.17,41.42,41.69,43.01,43.83,47.27,51.72,54.3,55.96,56.24,58.94,61.88,63.79,66.39,69.32,72.4,76.08,79.99,81.4,81.94,84.46,88.13,93.79,100,108.62,117.28,128.96,140.18,151.85
"50","42","    Nondurable toys and sport supplies (89)","BTOYRA",2.63,2.22,2.25,1.91,1.68,1.76,1.88,2.04,2.18,2.2,2.43,2.51,2.98,2.87,2.75,2.68,3.02,4.59,4.8,5.24,5.64,6.76,7.54,7.76,7.66,7.45,8.22,8.56,8.86,9.04,10.11,10.43,11.06,11.83,12.59,13.56,14.58,16.48,17.15,18.44,19.23,19.75,20.48,22.77,25.57,26.96,27.85,30.22,32.48,35.44,37.62,37.28,38.46,39.59,42.08,46.64,49.02,51.99,56.39,59.08,63.44,66.55,69.59,72.57,78.04,85.23,93.7,100,106.11,117.97,134.06,147.25,163.2
"51","43","    Stationery and writing supplies (35)","BSTYRA",6.13,5.85,5.31,3.81,4.3,5.24,6.29,6.87,7.09,6.9,7.99,8.4,9.99,10.29,12.37,13.9,16.57,16.93,15.63,15.29,16.32,16.08,15.82,17,18.59,19.51,20.07,20.1,20.84,22.17,24.72,25.58,25.07,26.74,28.46,30.18,31.27,36.03,35,37.47,42.37,41.7,37.9,41.51,43.43,38.65,37.82,38.85,41.16,47.76,50.4,52.17,54.08,54.19,55.92,60.95,63.57,66.55,72.77,78.77,84.94,87.43,89.15,90.72,93.7,97.45,98.36,100,102.18,105.75,113.07,118.93,119.66
"52","44","    Net foreign remittances (111 less 113)"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","    Magazines, newspapers, and sheet music (88)","BMAGRA",28.05,27.01,25.47,23.12,23.19,24.3,25.03,26.68,28.09,27.01,28.77,30.36,32.66,35.16,38.36,38.97,41.37,45.39,47.68,48.2,47.77,48.42,49.89,50.66,51.17,51.95,52.26,51.98,50.96,50.04,50.33,50.74,46.72,52.42,53.71,52.52,54.56,62.24,61.85,61.24,62.45,65.08,65.32,68.27,73.63,75.04,70.49,72.34,74.33,82.25,91.82,91.83,90.53,87.99,86.92,91.14,87.44,87.2,90.28,95.39,95.8,98.72,95.23,91.27,93.19,97.42,98.81,100,104.63,109.07,111.79,115.35,116.5
"54","46","    Flowers, seeds, and potted plants (95)","BFLORA",8.61,7.56,6.64,6.86,6.44,5.77,5.43,7.46,6.23,8.11,10.71,10.29,12.19,9.5,8.62,9.03,10.22,10.9,10.1,8.63,9.76,10.35,11.16,10.59,12.07,13,11.94,13.68,13.96,13.08,14.59,16.08,15.84,18.21,21,22.17,26.03,28.74,29,30.66,31.26,30.8,31.48,34.23,35.41,37.2,35.78,37.86,35.35,41.66,44.99,45.03,46.58,47.57,49.57,53.79,55.9,61.33,70.23,72.96,77.1,76.9,74.46,78.22,83.49,88.47,89.79,100,105.93,108.78,116.61,117.23,119.95
"55","47","Services","B005RA",10.04,9.8,9.49,8.88,8.6,8.92,9.2,9.67,10,9.89,10.2,10.56,11.09,11.57,12.16,12.57,13,14.23,14.94,15.52,15.91,16.71,17.5,18.28,19.08,19.86,20.88,21.95,22.79,23.66,24.9,25.99,27.04,28.38,29.67,31.47,33.15,34.83,36.54,38.42,40.24,41.87,43.46,45.86,48.02,49.07,50.73,53.13,55.48,58.12,59.99,60.99,61.9,62.96,66.06,68.84,72.44,74.86,78.09,81.3,83.56,85.86,87.03,89.59,91.98,94.72,97.26,100,103.28,107.43,111.43,115.67,117.98
"56","48","  Housing","B174RA",9.06,8.94,8.84,8.67,8.5,8.96,9.04,9.2,9.36,9.51,9.74,10.04,10.61,11.12,11.56,12,12.27,13.31,14.47,15.27,16.24,17.37,18.66,19.89,20.97,22,23.13,24.28,25.53,26.73,28.16,29.62,31.03,32.77,34.27,35.89,37.85,39.56,41.33,43.34,45.65,47.44,49.49,52.08,54.67,57.5,59.16,60.93,62.43,65.47,68.09,70.09,71.65,71.89,73.39,76.22,78.97,81.03,83.47,85.87,88.01,90.12,91.87,93.11,94.25,96.97,98.86,100,101.9,104.68,108.08,110.19,112.09
"57","49","    Owner-occupied nonfarm dwellings--space rent (24)","BOWNRA",5.92,5.76,5.59,5.39,5.44,5.51,5.53,5.57,5.59,5.63,5.73,5.88,6.32,6.81,7.33,7.93,8.47,9.53,10.62,11.46,12.37,13.51,14.76,16.01,17.08,18.2,19.48,20.76,21.97,23.21,24.68,26.17,27.51,29.18,30.53,32.01,33.82,35.44,37.1,38.88,41.13,42.74,44.89,47.47,49.99,53.35,55.1,56.83,58.47,62.28,65.62,68.28,69.71,69.7,71.04,73.76,75.67,77.49,80.2,83.22,85.96,87.92,90.31,91.63,93.76,96.45,98.32,100,102.45,105.91,109.94,112.93,115.86
"58","50","    Tenant-occupied nonfarm dwellings--rent (25)","BTENRA",13.95,14.06,14.27,14.32,13.58,15.11,15.32,15.72,16.21,16.69,17.23,17.85,18.7,19.31,19.31,19.18,18.53,19.39,20.21,21.12,22.33,23.41,24.68,25.74,26.73,27.39,27.94,28.58,29.77,30.98,32.39,33.82,35.58,37.54,39.41,41.48,43.76,45.72,47.63,50.54,53.12,55.05,57.59,60.34,63.25,64.83,66.14,67.7,68.92,70.13,70.87,72.03,74.88,76.6,78.46,81.96,87.83,91.14,92.84,93.32,93.89,96.63,96.81,97.21,95.45,98.44,100.52,100,100.2,101.26,102.81,101.8,101.94
"59","51","    Rental value of farm dwellings (26)","BFARRA",153.35,153.05,151.68,148.85,146.18,143.5,141.47,141.6,142.86,143.96,145.63,148.12,148.85,148.12,146.04,144.14,141.65,142.63,148.16,153.44,159.38,164.94,169.83,175.06,179.58,183.35,186.55,187.99,189.73,191.44,189.88,188.34,186.64,185.21,183.03,180.85,177.82,176.88,175.99,173.88,171.95,183.13,177.15,171,168.04,165.46,163.67,160.21,156.65,153.62,148.67,142.86,136.28,125.97,124,124.63,121.97,118.58,115.33,115.18,112.57,111.85,112.18,109.19,105.69,103,101.99,100,97.04,97.05,98.2,97.29,94.62
"60","52","    Other (27)","BOHORA",11.93,11.5,10.9,9.84,9.66,11.06,11.93,12.96,13.58,13.49,13.88,14.76,15.74,15.4,17.64,19.11,20.96,22.66,28.24,25.49,24.14,24.27,25.18,26,26.82,27.63,28.62,30.06,31.9,31.27,31.79,32.99,33.5,35.4,37.87,40.22,44.2,46.82,50.98,52.42,55.16,57.03,55.16,59.65,63.49,65.36,68.99,74.51,76.6,77.97,80.55,77.02,74.74,73.07,76.22,77.3,77.61,77.44,80.36,83.77,85.38,86.71,86.57,92.2,93.7,96.55,98.15,100,102.92,103.97,107.42,112.7,107.55
"61","53","  Household operation","B186RA",9.41,9.43,9.1,8.4,8.03,8.59,8.98,9.58,10.11,9.99,10.57,11.16,11.49,12.2,12.1,12.49,13.04,13.45,14.43,15.13,15.71,17.09,18.18,18.72,19.61,20.36,22.37,23.93,24.86,25.73,26.8,28.09,29.09,30.51,31.81,33.37,35.05,36.92,38.77,40.39,42.48,43.99,44.76,47.13,49.51,50.02,52.45,54.76,57.8,60.8,62.49,63.94,63.37,63.82,65.86,67.47,70.19,71.66,75.01,78.24,81.08,81.87,82.86,84.33,88.99,92.34,95.81,100,103.21,108.28,113.07,119.08,120.6
"62","54","    Electricity (37)","BELCRA",2.32,2.57,2.72,2.76,2.72,2.91,3.12,3.35,3.61,3.88,4.13,4.48,4.78,5.07,5.22,5.63,6,6.95,7.8,8.76,9.77,11.11,12.33,13.53,14.77,16.1,17.3,18.77,20.12,21.25,22.57,23.87,25.04,26.68,28.07,29.79,31.39,33.46,35.51,38.14,40.71,43.45,45.36,48.41,51.37,52.63,56.15,58.78,64.15,67.25,68.5,71.54,71.07,71.58,76.03,76.65,79.26,80.04,83.77,87.32,88.55,89.18,91.76,90.17,95.74,97.16,99.16,100,100.17,107.01,108.3,111.91,108.46
"63","55","    Gas (38)","BNGSRA",11.64,12.28,12.42,12.28,11.53,11.59,11.83,12.2,12.62,12.32,12.55,13.46,13.67,14.84,15.6,16.11,17.25,18.78,21.35,22.97,23.73,26.99,30.79,32.96,34.62,38.49,41.64,45.65,47.84,50.44,53.15,55.82,58.89,63.26,65.92,68.73,71.4,74.21,77.81,80.23,84.1,85.23,85.95,89.53,86.7,85.5,88.28,89.38,86.4,89.38,87.97,87.63,84.31,86.3,83.77,83.96,85.06,80.41,81.01,86.78,90.18,83.28,86.49,88.88,92.62,90.69,92.49,100,96.26,88.54,89.16,92.86,93.8
"64","56","    Water and other sanitary services (39)","BWATRA",12.68,13.48,13.48,13.06,13.85,15.27,15.04,15.75,15.99,15.8,16.76,17.12,17.75,18.3,18.63,18.95,19.11,20.37,21.05,21.77,22.61,23.18,24,24.45,25.04,25.4,25.47,26.47,26.23,25.22,27.44,30.13,31.55,33.61,36.78,38.39,40.05,40.48,40.73,42.21,45.14,47.95,48.78,53.01,55.66,58.17,58.85,58.2,58.32,59.01,62.93,65.8,65.44,65,67.4,71.96,77.05,81.83,85.34,87.47,90.73,91.09,89.77,88.09,91.75,95.01,97.7,100,102.13,102.43,105.63,107.88,109.02
"65","57","    Telephone and telegraph (41)","BTELRA",1.76,1.77,1.7,1.47,1.34,1.38,1.48,1.61,1.73,1.73,1.84,1.96,2.21,2.48,2.84,3.05,3.31,3.59,3.78,4.1,4.33,4.52,4.94,5.32,5.69,6.01,6.67,7.19,7.7,7.98,8.39,8.91,9.49,10.05,10.86,11.68,12.92,14.27,15.41,16.75,18.4,19.77,20.63,22,24.4,25.71,28.42,30.68,32.99,36.12,39.07,41.17,42.06,43.39,44.98,45.29,48.49,50.39,54.37,57.66,61.63,64.48,67.41,74.65,78.46,85.13,90.71,100,107.88,117.67,130.95,145.34,155.79
"66","58","    Domestic service (42)","BDMSRA",223.56,208.57,185.41,158.98,150.99,171.06,178.97,190.51,201.24,183.49,196.81,206.48,195.03,198.69,164.8,157.28,155.5,143.37,153.35,150.74,150.3,163.67,161.04,148.07,145.38,137.11,162.4,169.83,166.45,170.35,166.26,167.38,162.62,161.45,159.34,157.66,152.54,146.41,146.97,139.79,132.29,123.86,118.3,114.61,111.5,96.88,90.89,94.26,97.14,98.16,87.08,77.13,71.41,71.6,71.18,80.34,77.8,81.49,80.27,84.66,89.76,93.01,86.45,93.1,95.29,97.44,100.67,100,99.5,111.5,101,104.01,91.44
"67","59","    Other (43)","BOPORA",13.24,13.37,13.34,11.84,10.94,11.31,11.86,13.03,13.73,14.5,15.07,15.25,16.42,18.02,20.02,22.57,24.72,24.93,24.82,25.52,24.98,26.5,27.7,28.35,29.97,30.27,32.04,33.71,34.85,35.61,37.52,39.03,39.74,41.05,40.89,43.65,46.45,50.63,53.25,53.71,55.68,55.89,54.76,57.9,61.41,61,60.74,63.17,68.85,71.99,76.06,75.95,75.25,71.03,74.26,80.28,83.38,89.35,93.74,93.03,94.5,97.09,90.46,83.49,91.06,96.15,100.15,100,107.99,112.13,115.74,115.47,115.41
"68","60","  Transportation","B177RA",12.12,10.76,9.57,8.47,8.43,8.92,9.11,10.23,10.81,10.28,11.05,11.84,13.25,14.11,17.25,18.74,20.24,24.15,23.96,23.99,23.02,22.8,23.87,24.11,24.88,24.62,25.35,26.72,27.19,26.62,27.67,28.58,28.86,29.96,31.19,32.86,34.33,36.51,38.76,41.14,43.45,44.76,46.37,49.28,50.52,50.8,51.7,53.88,57.64,59.35,61.3,58.22,56.38,55.57,59.27,65.13,71.24,74.02,76.86,80.69,81.52,80.98,76.89,79.88,82.48,88.26,93.86,100,105.69,109.6,114.96,118.14,117.24
"69","61","    User-operated transportation","B487RA",5.12,4.46,3.99,3.56,3.93,4.23,4.21,4.82,5.09,4.84,5.49,6.02,6.89,4.93,4.57,5.47,7.24,12.11,13.16,13.98,14.71,15.68,17.24,17.64,18.92,19.47,20.62,22.34,23.12,23.19,24.41,25.55,26.21,27.52,28.97,30.64,31.89,34.01,35.96,37.83,39.45,41.34,43.06,45.48,46.08,45.15,46.83,48.27,51.87,53.63,55.28,53.6,53.75,52.46,56.05,62.27,69.61,71.19,74.27,78.71,80.01,79.27,74.6,78.63,81.61,87.57,93.49,100,106.42,109.42,114.61,117.97,118.11
"70","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRA",5.07,4.21,3.66,3.18,3.63,3.99,3.96,4.5,4.68,4.46,5.16,5.62,6.42,4.54,4.22,5.18,7.08,12.22,12.98,13.76,14.52,15.02,16.04,16.58,17.83,17.81,19.12,19.97,20.83,21.32,22.59,23.68,24.4,25.63,27.07,28.57,29.87,31.56,32.88,34.42,36.13,38.12,39.99,41.62,41.45,40.31,41.74,43.49,47.02,48.29,49.71,47.63,47.74,45.98,50.06,57.01,64.96,66.18,69.26,74.21,75.8,75.1,69.83,74.7,78.35,85.74,92.83,100,107.5,110.73,116.76,120.8,120.92
"71","63","      Other user-operated transportation (76+77)","B2631A",5.41,6.05,6.21,6.07,6.03,6.05,6.12,7.14,7.89,7.44,7.94,8.92,10.28,7.62,7.02,7.67,8.96,13,15.69,16.79,17.48,20.57,24.63,24.5,26.1,28.74,29.48,35.13,35.56,33.81,35.02,36.52,37.07,38.91,40.55,43.12,44.39,48.43,53.12,56.65,57.97,59.53,60.9,66.66,70.54,70.58,73.64,72.73,76.64,80.87,83.72,84.39,84.83,86.86,86.59,86.88,88.58,92.23,94.99,96.25,95.85,94.99,93.39,93.89,94.23,94.58,96.04,100,102.5,104.69,106.9,107.58,107.82
"72","64","    Purchased local transportation","B477RA",179.8,167.8,153.85,137.84,127.72,130.22,133.3,141.3,142.3,137.24,140.65,148.01,158.98,206.1,256.92,277.97,274.99,288.31,272.65,260.41,226.1,205.09,190.28,182.33,174.52,158.54,150.14,147.46,143.37,133.56,132.87,132.59,125.26,122.31,119.92,116.2,114.85,112.96,111.53,114.76,119.55,117.08,118.81,119.56,119.19,122.7,123.95,125.68,127.77,122.47,116.34,99.1,87.62,84.91,89.39,93.88,96.93,94.52,89.54,90.36,90.72,96.36,95.49,94.21,95.91,100.69,101.68,100,100.85,108.94,111.14,112.01,112.96
"73","65","      Mass transit systems (79)","BSTRRA",225.93,208.94,189.85,167.13,153.95,160.33,165.36,177.63,179.7,172.79,178.61,185.01,196.76,249.75,313.36,328.64,334.52,330.58,316.07,299.42,267.06,238.37,214.86,202.2,190.33,169.63,159.13,152.82,145.21,134.1,133.99,133.31,127.89,125.03,122.27,119.72,117.73,114.97,111.73,107.85,106.83,97.38,93.75,90.34,91.79,99.44,96.46,93.51,95.51,100.77,104.92,94.89,87.1,89.57,88.92,86.8,86.87,86.06,84.7,90.58,91.6,96.65,98,97.9,98.51,103.58,101.62,100,100.26,107.06,112.71,117.34,118.77
"74","66","      Taxicab (80)","BTAXRA",86.2,83.48,79.69,78.72,75.75,67.8,66.48,65.38,64.28,62.92,61.85,70.26,79.06,112.07,136.32,165.25,147.24,186.24,171.03,167.08,133.65,127.4,128.55,129.65,130.08,124.64,121.07,125.75,128.93,122.52,120.65,121.25,110.39,107.47,106.01,100.16,100.23,100.23,102.59,120.19,136.82,150.27,164.36,174.65,170.2,164.82,174.25,185.08,187.3,162.11,137.25,107.1,88.67,75.24,90.83,110.05,119.88,113.74,100.33,89.82,88.73,95.69,89.93,86.09,90.19,94.34,101.8,100,102.12,112.95,107.74,100.52,100.45
"75","67","    Purchased intercity transportation","B480RA",7.76,6.36,5.16,4.35,4.36,4.97,5.3,6.73,8,7.35,7.96,8.43,9.85,13.47,20.51,20.83,21.4,19.45,17.32,16.33,14.55,13.43,15.01,15.91,16.05,15.48,16.09,16.68,16.77,15.64,16.23,16.33,16.57,17.51,18.52,21.22,24,27.19,31.42,35.58,40.02,39.93,41.01,46.5,50.84,55.25,53.02,58.16,62.82,65.87,70.9,65.63,59.07,60.26,64.15,69.2,71.78,80.5,84.53,86.65,85.78,84.4,81.84,81.39,82.53,87.81,93.21,100,103.64,110.8,118.05,121.02,114.26
"76","68","      Railway (82)","BIRRRA",489.06,397.75,313.12,242.75,250.99,294.41,299.98,388.84,440.51,374.14,394.41,411.33,447.86,624.24,1115.52,1103.49,1097.03,880.79,753.4,689.04,558.09,463,516.23,538.05,510.66,465.45,452.53,446.07,406.66,358.11,328.32,312.63,288.54,278.82,266.97,282.33,285.8,299.1,270.57,235.14,211.46,182.81,145.34,172.38,187.4,213.23,176.71,170.15,151.11,126.76,132.63,120.12,112.27,95.15,108.14,115.42,123.35,125.58,131.26,138.54,136.78,133.55,126.9,115.99,112.96,105.33,102.01,100,106.59,108.39,109.79,119.86,123.35
"77","69","      Bus (83)","BIBURA",19.99,20.93,19.99,18.85,20.93,20.93,26.58,33.62,50.72,57.07,65.42,69.76,93.89,145.74,177.79,187.79,188.92,192.12,174.15,171.7,163.21,154.85,161.14,163.9,159.19,143.04,140.53,139.33,135.06,118.91,111.38,104.11,104.65,106.44,101.83,116.4,127.19,141.61,147.95,146.67,141.11,142.48,137.56,132.48,136.73,144.68,125.89,122.73,116.81,119.25,138.24,149.81,150.11,143.26,120.8,105.78,91.75,70.82,85.69,105.59,89.95,76.22,85.55,86.24,88.03,84.81,93.12,100,103.83,102.1,104.43,74.81,72.5
"78","70","      Airline (84)","BIAIRA",0.03,0.03,0.03,0.05,0.05,0.08,0.12,0.16,0.16,0.18,0.25,0.4,0.5,0.46,0.46,0.6,1.07,1.71,1.74,1.69,1.91,2.36,3.12,3.71,4.37,4.97,5.9,6.67,7.53,7.59,8.98,9.63,10.16,11.22,12.67,14.89,17.5,20.13,24.7,29.83,35.27,35.36,37.22,43.1,47.31,51.45,50.23,56.11,61.61,65.01,69.15,62.85,55.8,57.54,62.75,69.42,72.18,84.12,87.22,86.32,85.38,83.95,80.82,79.35,81.75,87.38,92.93,100,104.33,112.68,120.97,127.74,120.85
"79","71","      Other (85)","BTRORA",11.1,7.45,6.07,6.61,4.95,5.69,5.6,6.34,6.34,5.6,5.69,5.39,5.88,4.27,4.95,4.76,5.69,5.22,5.39,4.95,4.68,4.27,4.27,4.27,4.68,4.49,4.68,4.95,4.95,4.95,5.23,5.12,5.58,6.1,6.06,6.54,7.21,9.37,13.18,15.08,17.3,18.55,19.57,22.82,26.76,29.27,29.18,32.58,37.16,40.67,46.89,44.27,40.06,41.73,44.86,45.3,53.35,54.36,59.04,72.74,79.35,84.12,80.64,87.85,81.1,89.19,93.66,100,99.24,103.67,107.71,101.37,92.21
"80","72","  Medical care","B494RA",5.99,5.85,5.76,5.43,5.02,5.15,5.19,5.52,5.67,5.58,5.9,6.08,6.35,6.65,6.72,7.22,7.41,8.6,9.62,10.53,10.93,11.56,12.19,12.83,13.51,14.34,14.85,15.8,16.68,17.79,19.09,19.69,20.42,22.09,23.43,26,27.19,28.49,29.5,31.84,34.19,36.14,38.68,41.3,44.27,46.06,48.52,50.83,53.31,55.54,57.8,59.87,62.85,63.68,66.23,68.17,70.84,73.65,77.47,81.03,83.31,87.29,90.17,93.98,95.21,96.16,97.95,100,102.58,105.31,107.51,110.52,115.21
"81","73","    Physicians (47)","BPHYRA",10.02,9.44,9.03,8.47,7.87,8.38,8.5,9.34,9.57,9.01,9.44,9.61,9.88,10.25,9.81,11.15,11.28,14.2,15.8,17.5,17.57,18.23,19,19.63,20.42,21.99,21.83,22.95,24.08,26.08,27.23,27.71,27.9,29.78,31.02,35.56,35.99,35.98,37.29,38.42,40.64,42.69,43.8,46.08,49.49,50.05,51.56,50.86,53.45,54.12,56.12,59,62.68,62.71,65.87,68.92,72.61,75,81.49,86.79,88.36,92.08,94.13,97.47,95.5,95.15,97.32,100,103.46,106.99,109.85,114.54,121.59
"82","74","    Dentists (48)","BDENRA",17.22,16.09,15.33,13.92,12.42,12.93,12.34,13.31,13.6,13.28,14.55,15.19,16.46,16.98,16.95,16.69,17.32,20.35,19.3,21.26,20.87,21.59,21.94,23.51,24.98,27.37,28.77,30.13,31.65,32.75,32.83,33.48,34.73,36.26,35.85,40.62,41.74,42.6,45.77,47.66,51.76,55.21,54.71,57.75,65.31,66.89,68.62,72.49,74.97,77.34,77.31,77.23,82.78,82.79,84.28,85.11,87.7,89.16,92.28,91.8,92.33,92.65,90.71,93.95,94.72,97.3,100.63,100,102.49,104.37,105.67,108.64,112.44
"83","75","    Other professional services (49)","BOPSRA",3.34,3.05,2.85,2.52,2.26,2.28,2.25,2.4,2.41,2.24,2.34,2.34,2.35,2.46,2.36,2.63,2.8,3.41,3.74,4.12,4.12,4.26,4.37,4.41,4.55,4.79,4.75,5,5.34,5.85,7.92,8.96,10.03,11.94,13.7,15.83,17.57,17.93,14.39,15.14,14.39,14.33,14.2,15.28,17.71,18.58,20.11,22.13,23.4,24.43,25.86,26.21,28.95,28.66,33.12,37.16,40.28,43.79,47.84,52.65,56.83,65.86,71.66,79.04,85.54,89.8,95.99,100,101.19,103.68,105.69,107.36,111.9
"84","76","    Hospitals and nursing homes (50)","BPHORA",4.14,4.58,4.84,4.83,4.6,4.5,4.62,4.68,4.83,5.07,5.25,5.43,5.5,5.86,6.2,6.36,6.44,6.86,6.89,7.32,7.81,8.33,8.51,9.16,9.68,10.32,11.01,11.86,12.6,13.69,14.95,15.36,16.07,17.46,18.84,20.19,21.36,23.69,26.24,29.52,32.73,34.91,39.63,42.73,44.98,47.44,50.54,53.93,56.63,60.02,62.49,64.93,67.69,69.77,71.85,72.5,74.16,77.03,79.19,81.8,84.01,87.14,90.21,93.25,95.04,96.12,97.64,100,102.63,104.97,106.99,109.37,113.59
"85","77","    Health insurance (56)","BHINRA",3.03,3.05,3.23,2.95,2.59,2.59,2.73,2.83,3.08,3.31,3.75,4.04,4.82,5.15,5.94,6.89,7.35,7.73,14.69,16.56,19.15,21.83,27.53,28.66,31.01,30.63,32.98,35.88,37.8,36.78,37.94,38.99,40.22,42.52,44.39,47.54,50.1,51.38,50.46,55,58.44,62.64,64.19,68.24,71.57,75.49,79.76,84.42,87.77,89.85,96.18,98.83,96.82,93.52,91.98,95.12,100.86,103.69,110.39,114.17,115.83,116.8,117.86,120.71,117.21,112.86,104.15,100,102.15,106.16,108.45,112.85,114.01
"86","78","  Recreation","B490RA",8.78,8.72,8.51,6.96,6.65,7.18,7.61,8.35,8.9,8.43,8.68,9.37,9.88,10.7,11.43,11.27,11.95,13.82,13.11,12.75,12.54,12.53,12.64,12.85,12.99,13.27,13.87,14.53,14.13,14.07,14.96,15.81,16.59,17.45,18.21,18.89,19.4,20.33,20.86,22.17,23.42,24.37,25.26,26.57,28.75,30.78,32.46,34.76,36.93,38.48,40.05,41.69,45.07,47.77,51.55,54.36,58.23,60.5,62.89,68.41,72.84,75.88,75.64,80.86,85.29,88.59,95.12,100,104.66,109.36,114.3,118.56,122.07
"87","79","    Admissions to specified spectator amusements (96)","B481RA",52.56,51.88,51.82,40.32,39.73,43.7,46.34,51.38,53.73,52.29,53.37,57.52,60.56,69.8,78.18,72.64,75.92,88.7,82.24,78.22,74.82,71.37,69.15,67.29,64,64.44,65.98,67.78,56.6,50.56,50.06,49.7,48.52,48.55,48.41,47.88,49.76,51.18,50.12,52.9,53.39,53.44,53.8,52.74,50.3,53.89,54.42,53.84,58.71,65.23,65.9,64.99,66.85,70.86,72.8,76.62,73.11,76.32,75.23,78.99,82.4,86.7,86.12,88.17,94.8,95.41,97.2,100,103.57,107.4,108.95,111.24,115.17
"88","80","    Other (94+100+101+102+103)","B491RA",4.78,4.78,4.54,3.93,3.63,3.85,4.08,4.42,4.8,4.42,4.59,4.97,5.25,5.26,5.27,5.65,6.11,6.98,6.8,6.77,6.84,7.13,7.42,7.79,8.2,8.45,8.94,9.48,9.98,10.41,11.37,12.28,13.19,14.09,14.9,15.67,16.04,16.9,17.59,18.73,20.05,21.09,22.04,23.61,26.3,28.15,29.96,32.58,34.45,35.43,37.1,39.03,42.56,45.12,49.09,51.77,56.48,58.65,61.43,67.15,71.7,74.58,74.39,79.99,84.16,87.77,94.87,100,104.8,109.6,114.95,119.46,122.92
