"","Table 2#6# Personal Consumption Expenditures by Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"46","39","    Semidurable house furnishings (33)","BSDHRC",0.7,0.6,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1.1,1.3,1.5,1.5,2,2.1,2.4,2.3,2.6,2.8,2.6,2.6,2.4,2.6,2.7,2.7,2.6,2.7,2.8,2.9,3.2,3.3,3.7,3.9,4.3,4.6,4.9,4.9,4.9,5,5.3,5.9,6.3,6.6,7.2,7.9,8.7,9.7,10.6,11.8,12.4,13.7,15.4,16.4,18.3,19.3,20.8,21.7,22.5,23.3,25.6,26.8,28.5,29.7,31,33.1,34.5,36.8,38.3,38.7
"47","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","ACLPRC",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.9,1.5,1.6,1.6,1.8,2,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.5,3.7,4.2,4.6,4.9,5.3,5.7,6.3,6.7,7.1,7.6,8.2,8.4,8.9,10,11.4,12.5,13.5,14.6,16.8,19.4,21.9,24,25.7,27.1,29.2,30.6,32,33.1,35.1,37.1,38.9,39.7,41.1,43.1,45.4,47.3,49.8,51.4,53.5,56.9,59.3,61.7
"48","41","    Drug preparations and sundries (45)","BDRGRC",0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,2,2.1,2.2,2.2,2.4,2.7,3,3.2,3.5,3.9,4.3,4.6,4.8,5,5.2,5.4,5.8,6.4,7,8.1,8.6,9.3,10.1,11,12,13.1,14.2,16.3,19.1,21.8,24.9,27.6,31.4,35.2,38.7,42.7,47,51.8,58,65.4,71.4,75.9,80.5,85.8,92.1,100.3,110.6,122.1,139.2,156.3,176.4
"49","42","    Nondurable toys and sport supplies (89)","BTOYRC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.9,1.1,1.2,1.4,1.7,1.7,1.7,1.6,1.8,2,2,2.1,2.4,2.5,2.7,2.9,3.1,3.4,3.6,4,4.3,4.8,5.2,5.5,5.8,6.6,7.4,8.2,9,10,10.8,12.3,13.6,14.6,16,17.1,18.4,20.5,21.4,22.9,25.3,27.7,30.7,32.8,34.6,36.5,39.5,43.4,47.2,50.6,53.2,56.5,60.4,62.7,66.7
"50","43","    Stationery and writing supplies (35)","BSTYRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.3,2.2,2.4,2.7,2.9,3.1,3.3,3.7,4.5,5,5.5,6.2,6.6,7.1,8,8.5,9,10,11.1,12.4,13.2,13.9,14.9,15.7,16.7,17.7,18.8,20,21.3,22.6,23.4,23.5
"51","44","    Net foreign remittances (111 less 113)","A485RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.1,-0.1,-0.2,0,0.2,0.2,0.5,0.7,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,0.8,0.8,0.7,0.6,1.3,1.5,1.3,1.3,1.4
"52","45","    Magazines, newspapers, and sheet music (88)","BMAGRC",0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1,2.2,2,2.3,2.5,2.5,2.7,3.2,3.3,3.4,3.7,4.1,4.4,4.8,5.3,5.9,6.4,7,7.7,9.1,10.9,12,13,13.8,14.6,15.7,15.9,16.5,17.6,19.2,20.1,21.6,22.1,22,23.1,24.9,26.2,27.6,29.1,31,32.5,34.2,35.2
"53","46","    Flowers, seeds, and potted plants (95)","BFLORC",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.2,2.3,2.6,2.7,2.9,2.9,3.6,4.2,4.7,5.3,5.7,6,6.5,6.9,7.7,9.2,9.7,10.5,10.9,11,12,12.5,13.2,13.8,14.9,15.3,15.9,16.7,17.5,18.5
"54","47","Services","B005RC",30.5,29,26.3,22.4,20.2,20.5,21.5,23,24.7,24.6,25.4,26.4,28.5,31.3,34.6,37.4,40,45.8,51,55.9,58.9,63.7,69.6,75.6,82.9,88.9,95.4,102.9,109.9,117.4,127,136.1,144.3,154.1,163.4,176.4,189.5,204.7,221.2,242.3,266.4,292,320,352.3,385.9,425.5,476.1,532.6,600,678.4,757.4,852.7,954,1051.5,1174,1286.9,1420.6,1535.4,1670.3,1823.5,1963.5,2117.8,2249.4,2415.9,2566.1,2717.6,2882,3047,3245.2,3454.3,3660.5,3906.9,4109.9
"55","48","  Housing","A174RC",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.7,86.8,94,102.7,112.1,122.7,134.1,147,161.5,179.5,201.7,226.5,255.1,287.7,313,338.7,370.3,406.8,442,476.4,511.9,546.4,585.6,616,641.3,666.5,704.7,740.8,772.5,810.5,859.7,912.6,960,1014.5
"56","49","    Owner-occupied nonfarm dwellings--space rent (24)","AOWNRC",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,200.9,217.9,235.6,257.2,279.3,303.1,328.2,356.1,383.1,410.7,434.1,452.3,475.2,502.6,529.3,555.4,585.5,625,666.4,704.9,751
"57","50","    Tenant-occupied nonfarm dwellings--rent (25)","ATENRC",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.4,107.8,118.9,126.5,132.4,138.5,148.7,154.5,159.3,160.3,169.3,177,180.6,186.1,194,202.8,207.8,217.1
"58","51","    Rental value of farm dwellings (26)","BFARRC",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,3.9,4,4.1,4.3,4.6,4.9,5.1,5.2,5,5.1,5.1,5,4.9,4.9,4.8,5,5.1,5.2,5.3,5.6,5.9,6,6.2,6.4,6.7,7.2,7.6,8
"59","52","    Other (27)","AOHORC",0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.5,3.9,4.3,4.7,5.3,6.2,6.8,7.8,9.1,9.8,10.6,11.4,12.5,13.6,14.6,15.2,16.8,18.5,19.8,21,22.1,24.3,25.5,27,28.5,30.2,32.5,34,36.1,39.6,38.5
"60","53","  Household operation","A186RC",4,3.9,3.5,3.1,2.8,3,3.2,3.4,3.7,3.6,3.8,4,4.3,4.8,5.2,5.9,6.4,6.8,7.5,8.1,8.6,9.5,10.4,11.2,12.1,12.7,14.2,15.4,16.4,17.5,18.7,20.3,21.2,22.4,23.6,25,26.5,28.2,30.2,32.4,35.2,37.9,41.3,45.7,50.2,56,64.3,73.1,82.7,92.1,101,114.2,127.3,143,157.6,169.8,182.2,188.9,196.9,208.4,221.3,227.6,238.6,248.3,268.9,284,298.1,317.3,333,345.6,360.4,386.2,406.3
"61","54","    Electricity (37)","BELCRC",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.9,9.8,10.9,12.2,13.7,16.6,20,22.4,26,29,31.8,38.4,43.9,48.6,53.3,57.2,61.2,62.6,65.4,69.1,72,74.2,79.2,79.3,85.9,87.2,91,93.3,93.8,96.3,96.7,101.5,105.3
"62","55","    Gas (38)","BNGSRC",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.6,1.8,2,2.3,2.4,2.7,2.9,3.3,3.5,3.8,3.9,4.1,4.3,4.5,4.7,4.9,5.2,5.6,6,6.6,6.7,7.4,9.1,10.8,12.4,14,16,19.1,20.9,25.6,29.1,29.3,29.5,26.6,25.5,27.2,29,26.8,28.2,29.5,32.7,32.6,31.5,35.5,36.6,32.5,33.3,40.8,49.1
"63","56","    Water and other sanitary services (39)","BWATRC",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.3,36.2,38.4,40.7,42.6,44.2,46.6,48.8,50.7
"64","57","    Telephone and telegraph (41)","BTELRC",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,5.9,6.5,7,7.7,8.3,9.3,10.1,11,12.4,14.1,15.5,17.7,19.8,21.5,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58,60.5,63.7,70.7,74.6,82.7,87.8,97.1,105,112.9,122.3,130.6,136.5
"65","58","    Domestic service (42)","BDMSRC",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.3,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.7,5.5,6.1,6.6,6.4,6.1,6.2,6.5,6.6,7.7,7.7,8.2,8.2,9,9.8,10.4,10.2,11.4,11.9,12.4,13.3,13.6,13.9,16,14.9,16,14.6
"66","59","    Other (43)","AOPORC",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.3,2.4,2.6,2.8,3.1,3.5,3.9,4.2,4.6,4.8,5.2,5.8,6.4,7,7.3,8.7,10,11.1,12.7,13.6,15,15.5,16.8,18.9,20.8,23.1,24.8,25.9,27.1,28.4,28.4,27.1,30.5,32.9,36.1,37.1,41.2,43.7,46.6,48.5,50
"67","60","  Transportation","A177RC",2.6,2.2,1.9,1.6,1.5,1.6,1.7,1.9,2,1.9,2,2.1,2.4,2.7,3.4,3.7,4,5,5.3,5.8,5.9,6.2,6.8,7.3,8,8.2,8.5,8.9,9.4,9.7,10.5,11.2,11.7,12.2,12.7,13.4,14.5,15.9,17.3,18.9,20.9,23.7,27.1,29.8,31.2,33.3,35.7,41.3,49.2,53.5,59.1,64.7,68.7,70.9,79.4,90,100,107.3,118.2,129.9,136.6,141.8,142.8,155,166.2,180.9,197.7,214.2,234.4,246.3,259.4,267.8,271.4
"68","61","    User-operated transportation","A487RC",0.9,0.7,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,0.8,0.7,0.9,1.2,2,2.4,2.8,3,3.4,3.8,4.2,4.9,5.2,5.5,5.9,6.2,6.6,7.3,7.9,8.3,8.7,9.2,9.6,10.4,11.5,12.4,13.3,14.5,16.7,19.4,21.2,21.8,22.7,24.4,28.3,34.5,37.8,41.7,44.6,47.3,49,55.4,63.1,72,78.5,87.3,96.4,101.6,105.3,107.2,118.9,127.7,141,155.3,169.7,186.6,195.6,206.3,210.8,218.6
"69","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRC",0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.6,0.6,0.7,1,1.7,2,2.2,2.4,2.5,2.9,3.1,3.5,3.6,3.9,4.3,4.6,4.8,5.2,5.5,5.8,6.2,6.6,7.1,7.6,8.1,8.8,9.7,10.9,12.3,13.9,15.1,15.8,17,19.8,22.1,25.7,28.5,32.2,34,37.2,38.5,43.7,51.6,60.5,64,69.8,77.7,82.5,84.9,81.9,90.3,97.6,110,122.2,134.2,146.3,153.6,165.1,175.5,181.6
"70","63","      Other user-operated transportation (76+77)","A2631C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.9,1,1.1,1.5,1.7,1.5,1.6,1.6,1.9,2.1,2.3,2.5,2.5,2.5,2.5,2.8,3.3,3.5,3.6,3.6,4.4,5.6,6.2,6,5.8,4.6,6.1,8.7,9.3,9.5,10.5,10.1,10.5,11.7,11.5,11.5,14.5,17.5,18.7,19.1,20.5,25.2,28.6,30.1,31,33.1,35.5,40.3,42,41.2,35.3,36.9
"71","64","    Purchased local transportation","A477RC",1.1,1.1,0.9,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1,1.3,1.6,1.7,1.7,1.9,1.9,2,2,1.9,2,2,2,1.9,1.9,2,2,1.9,2,2,2,2,2,2,2.1,2.1,2.2,2.4,2.7,3,3.3,3.4,3.5,3.7,4,4.4,4.8,4.8,4.8,4.8,5,5.4,5.8,6.4,6.8,7.1,6.9,7.3,7.5,8.4,8.8,9,9.5,10,10.4,11.2,11.6,12.3,12.4,12.7,13.2
"72","65","      Mass transit systems (79)","BSTRRC",0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.1,2.2,2.4,2.5,2.8,2.9,3.3,3.8,4,4.1,4.2,4.5,4.6,5,5.2,5.8,6.1,6.5,6.7,7.1,7.1,7.7,7.8,8.3,8.6,9.1,9.5
"73","66","      Taxicab (80)","BTAXRC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.2,1.4,1.6,1.6,1.7,2,2.2,2.4,2.2,2,1.9,1.7,1.5,1.9,2.3,2.6,2.5,2.4,2.3,2.3,2.6,2.6,2.6,2.8,3,3.2,3.5,3.7,4.1,3.8,3.6,3.7
"74","67","    Purchased intercity transportation","A480RC",0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.7,1,1.1,1.1,1,1,1,0.9,0.9,1,1.1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.3,1.4,1.5,1.5,1.7,2,2.3,2.7,3.1,3.7,4,4.4,5.2,5.9,6.9,7.3,8.6,9.9,10.9,12.6,15.4,16.3,16.6,18.1,20.5,21.1,21.8,23.9,26.2,27.5,28.1,26.9,27.1,29.1,29.8,32.1,33.3,36.2,38.4,40.7,44.3,39.7
"75","68","      Railway (82)","BIRRRC",0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9
"76","69","      Bus (83)","BIBURC",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.4,1.6,1.7,1.5,1.5,1.3,1.1,1.4,1.7,1.5,1.3,1.6,1.6,1.6,1.5,1.6,1.8,1.8,1.9,2,1.5,1.5
"77","70","      Airline (84)","BIAIRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,14.9,17.2,17.6,18.3,19.9,21.3,22.4,22.7,21.4,21.3,23.3,23.7,25.5,26.2,29,30.8,32.7,36.7,32.4
"78","71","      Other (85)","BTRORC",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,1,1.2,1.3,1.4,1.7,1.8,2.1,2.6,2.9,3.3,3.3,3.6,3.6,4,4.3,4.7,4.7,4.9,5.3,5.2,4.8
"79","72","  Medical care","A494RC",2.4,2.3,2.1,1.7,1.6,1.7,1.8,2,2.1,2.1,2.2,2.3,2.5,2.8,3,3.5,3.7,4.7,5.7,6.6,6.7,7.2,7.7,8.6,9.6,10.6,11.3,12.2,13.4,14.8,16.4,17.6,18.7,20.8,22.6,25.8,27.9,30.7,33.9,39.2,44.8,50.4,56.9,63.9,71.5,80.4,93.4,106.5,122.6,140,158.1,181.2,213,239.3,267.9,294.6,322.5,346.8,381.8,429.9,479.2,540.6,591,652.6,700.6,737.3,780.7,814.4,854.6,899,937.2,991.8,1072.2
"80","73","    Physicians (47)","BPHYRC",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.7,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,6.9,8.2,8.5,9.1,10,10.9,12.4,14,15.3,16.6,18.4,20.3,23.5,25.8,29.6,32.5,36.8,42.8,50.4,55.2,62.5,69.9,78,86.4,100.8,115,125.7,140.4,152,167.3,173,181,192.4,199.1,208.8,220.5,230.3,244.3,266.7
"81","74","    Dentists (48)","BDENRC",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.9,42.9,46.5,48.4,51.9,55.1,58.3,62.7,67.5
"82","75","    Other professional services (49)","BOPSRC",0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.3,1.5,1.7,2.1,2.4,2.9,3.3,3.6,3.1,3.4,3.4,3.7,3.9,4.3,5.2,5.9,7.2,8.9,10.3,11.5,13,14.7,17.8,18.7,23,26.9,31.2,35.8,40.4,46.9,53.3,65,74.3,85.2,95.1,103.6,112.9,119.7,125.9,132.1,137,142.8,153.5
"83","76","    Hospitals and nursing homes (50)","BPHORC",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.4,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.7,5.4,6,6.5,7,7.8,8.7,9.7,10.6,12.1,14.3,17.2,20.4,23.5,27.7,31.3,34.9,40.5,47.8,55.6,63.1,72.8,83.6,97.2,114.1,130.2,144.3,154.7,166.5,180,194.9,215.7,238.5,265,292.9,319.2,339.2,353.9,370.9,390.8,408.9,427.8,445.8,471.5,509.6
"84","77","    Health insurance (56)","AHINRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.8,0.8,0.8,0.9,0.9,1.1,1.3,1.4,1.4,1.4,1.6,1.5,1.7,1.8,2,2.2,2.2,2.4,2.7,3,3.1,4,4.2,4.4,4.9,6,6.4,6.4,6.6,7,9.4,11.9,12.4,12.8,14.6,17.9,19.2,22.4,24.3,20.3,18.9,23.9,31.4,37.7,37.8,43.3,53.5,55.8,58,56.6,59.3,63.6,65.7,70.6,75
"85","78","  Recreation","A490RC",1.7,1.7,1.6,1.2,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.7,1.9,2.1,2.4,2.7,3,3.7,3.8,3.8,3.8,3.9,4,4.3,4.5,4.8,5.2,5.6,5.6,5.8,6.4,6.9,7.5,8,8.5,9.1,9.6,10.4,11.1,12.5,13.8,15.1,16.3,17.6,19.7,22.5,25.4,28.4,31.4,34.5,38.3,42.8,49.3,54.9,61.7,67.9,75.6,81.5,87.7,99,110.1,120.8,126.4,139.1,151.2,160,176,191.1,206.2,221,237.6,255.5,271.9
"86","79","    Admissions to specified spectator amusements (96)","A481RC",0.9,0.9,0.9,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.1,2,1.9,1.9,1.8,1.8,1.7,1.7,1.8,2,2.1,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.2,2.4,2.5,2.9,3.1,3.3,3.5,3.5,3.5,4,4.3,4.4,5,5.9,6.4,6.6,7.1,8,8.7,9.7,9.7,10.5,10.8,11.9,13.3,14.8,15.6,16.1,17.5,18.2,19.2,20.7,22.1,23.4,25,27.1,29.4
"87","80","    Other (94+100+101+102+103)","A491RC",0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1,1.1,1.3,1.6,1.8,1.9,2,2.1,2.3,2.5,2.8,3,3.2,3.5,3.9,4.2,4.7,5.2,5.7,6.1,6.6,7.1,7.4,8,8.6,9.6,10.7,11.8,12.8,14.1,16.3,18.5,21.1,23.9,26.4,28.6,31.9,36.1,42.2,46.9,53,58.2,65.8,71,76.8,87.1,96.8,105.9,110.9,123,133.7,141.8,156.8,170.3,184.1,197.6,212.6,228.5,242.5
"88","81","  Other","A178RC",8.2,7.7,6.7,5.6,5.2,5.2,5.6,6.1,6.6,6.4,6.4,6.5,7.1,7.6,8.7,9.4,10,11.4,12.7,13.8,14.2,15.2,16.3,17.3,18.8,20.3,22,24.1,25.8,27.6,29.9,32,34,35.9,37.9,41.6,45.5,50,54.7,59.6,64.9,70.9,75.7,83.3,90.5,99.1,110.3,121.7,134.6,156.7,174.5,194.6,208,230.4,268.9,294.4,333.6,368.9,409.3,444.4,469.9,501.5,534.5,579.5,612.6,650.7,688.7,737.5,806.5,882.6,953.4,1045.5,1073.6
"89","82","    Personal care","A488RC",1.8,1.7,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.7,2,2.4,2.7,2.9,3.3,3.6,3.8,3.8,3.8,4.1,4.3,4.6,4.8,5.1,5.4,5.7,5.8,6.2,6.4,6.7,7.1,7.2,7.7,8.2,8.9,9.5,10.1,10.3,10.6,10.4,10.8,11.4,11.8,12.5,13.4,15,16.5,17.5,18.6,19.4,19.6,23.3,24.5,27,29.6,32.8,37.8,41.5,45,42.9,47.5,48.9,51,53.8,58,60.6,65.4,70.6,76.3,79
"90","83","      Cleaning, storage, and repair of clothing and shoes (17)","A478RC",1.1,1,0.9,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.2,2.4,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3,3.1,3.2,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.8,4,4.1,4.3,4.5,4.5,4.3,4.5,4.4,4.4,4.5,4.7,4.9,5.3,5.5,5.7,5.9,5.8,6.3,6.9,7.3,7.7,8.4,9.6,10.7,11.5,11.2,11.4,11.4,11.6,12.2,12.7,13.2,13.8,14.6,15.5,15.6
