"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"68","61","    Transit and railroad","G16061",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.4,1.1,1.3,1.8,1.9,2.3,2.8,2.4,2.5,3.2,2.6,2.1,1.5,2.3,1.7,1.5,1.3,1.4,1.8,1.8,2,1.8,1.6,1.8,1.2,0.9,0.9,0.7
"69","62","  Postal service","G16062",0.9,0.7,0.4,0.6,0.7,0.6,0.8,0.5,0.7,0.8,0.9,0.7,0.8,0.8,1.1,1.2,0.9,1.1,2.1,2.3,1.8,2.4,2.5,4.4,2.9,3.7,3.2,3.5,5.1,4.3,4.2,4.9,5.4,4.8,4.5,5.8,4.7,4.5,6.1,5.6,5.3,5.4,5.9,1.8,4.1,4.3,4.4,4.9,5.4,7.1
"70","63","  Space","G16063",0,0,0,0,0,0,0,0.2,0.4,0.6,1.2,2.4,3.3,4.2,4.6,3.9,3.9,3.5,3.6,3.6,3.5,3.2,3.7,4.1,4,4.1,4.3,4.6,5.4,5.9,6,6.5,6.7,7,6.8,7.5,8.6,10.2,11.8,12.3,12.5,12.7,12.5,12.6,13.1,13.5,13,12.6,12.8,13.4
"71","64","  Other","G16064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","65","Housing and community services","G16065",0,0,-0.1,-0.3,0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.9,0.7,0.7,0.9,0.9,1.1,2.2,3,4.1,4.3,4.4,4.7,5.8,6.3,6.8,8.5,10,11.1,12,12.6,13.8,16.2,16,16.2,16.7,17.3,17.6,19.1,20.8,23.2,25.6,29.5,30,30.3,31,31.5,30.1,31.8
"73","66","Health","G16066",2,1.9,1.7,1.7,1.8,1.9,2.1,2.3,2.5,2.9,2.9,3.3,3.5,3.6,6.2,10.7,11.7,13.5,16.7,18.3,22.4,24.4,30.1,35.7,41,46,51.4,58.4,68.7,80.8,89.4,98.9,107.8,119.1,128.3,138.8,150,167.6,189,216.9,245.9,272,293.3,319.4,340.2,357.3,365.1,376.8,399.7,447
"74","67","Recreation and culture","G16067",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,1,1,1.3,1.3,1.5,1.5,1.7,1.9,1.6,1.4,2.1,1.6,1.7,1.7,1.8,1.8,2,2.2,2.3,2.3,2.5,2.5,2.5,2.9,2.8,3,3.4,3.4
"75","68","Education","G16068",1.2,0.9,1,1.1,1.1,1.2,1.2,1.1,1,0.9,0.9,1,1.2,1.4,3.7,4.4,4.8,5.1,6.5,7.3,8.5,8.6,10.2,13.2,11.9,12.3,12.9,14.4,16.1,17.2,15.9,16.1,17.1,17.8,18,17.7,19.7,22.6,22.9,24.9,27.6,30.5,31.5,32.2,34.1,36.9,38.2,41.2,42.1,48.3
"76","69","  Elementary and secondary","G16069",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,1.8,1.9,2,1.9,2.2,2.4,3.1,2.7,3.5,4.1,3.2,4,4.4,5.3,5.7,5.7,5.6,4.7,6.5,6.5,6.5,6.1,7.3,8.3,8.5,9.9,11,11.8,12.3,11.8,13.1,13,14,16.8,17.7,19.6
"77","70","  Higher","G16070",0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.4,0.5,0.7,1.1,1,1,1.2,1.3,1.3,1.2,1.3,1.9,2.5,3,3.3,4.2,5.5,6.7,5.8,7,6.5,7.1,6.9,7,7.7,9.7,9.4,9.6,10.5,11.9,11.3,12.1,11.8,14.4,14,14.8,14,16.3
"78","71","  Other","G16071",1,0.7,0.7,0.8,0.9,0.9,0.8,0.7,0.5,0.4,0.4,0.4,0.4,0.5,1.1,1.4,1.8,2.3,3,3.6,4.2,4.7,5.4,7.3,6.2,5.3,5.1,5,4.8,4.8,4.6,4.4,4.1,4.2,4.6,4.6,4.6,4.6,4.9,5.3,6.1,6.8,8,8.4,9.2,9.5,10.2,9.6,10.4,12.4
"79","72","Income security","G16072",7.7,8.9,11,11.8,13.1,15.6,19.5,20.2,21.7,25.4,26.5,27.7,28.5,31.2,32.4,35.3,39.6,43.2,52.8,63.8,71.2,79.8,95.3,122.9,132.9,140.9,149.5,165.7,199.3,222.6,247.8,263.5,264.4,275.8,289.7,296.6,313.1,334.5,363.3,402.8,448,467.7,481,501.5,521.2,536.2,552.1,570.1,597.7,643.6
"80","73","  Disability","G16073",2.4,2.6,2.7,2.9,2.9,3.2,3.6,4,4.2,4.8,5,5.4,5.5,6,6.2,6.8,7.3,8,9.1,10.6,11.9,13.9,15.8,18,20.4,22.7,24.3,27.2,29.9,32.8,34,34.8,35.2,36.5,37.5,38.3,39.7,41.4,43.8,46.7,50.5,54.9,58.2,62.1,66,68.4,71.9,75.9,80.6,86.5
"81","74","  Retirement \5\","G16074",2.6,3.5,4.2,5.5,6.3,8,9.1,10.7,11.6,12.9,14.6,15.4,16.1,18,19.5,20.9,24.2,25.9,30.6,35.4,39.4,48.3,54.4,61.8,69.1,76.8,84.2,94.6,109.4,128.5,143.9,154.6,163,172.4,182,189,200.9,213.4,228.5,246.1,260.8,273.6,284.8,297.5,308.4,321.9,332.6,339.4,358,377.4
"82","75","  Welfare and social services","G16075",1.3,1.5,1.6,1.5,1.9,2.1,2.2,2.3,2.2,2.6,3,3.2,3.3,3.9,3.6,4.2,5,5.9,7.8,10.6,12.5,11.3,16.3,21.6,23.8,24.7,27.2,29.6,36,38.6,38.7,41.7,44.2,45.3,47.2,48.2,51.3,55.1,62.1,71.7,81.2,86.2,91.9,95.5,95.2,94.1,93.8,96.8,100.2,107.3
"83","76","  Unemployment","G16076",1.3,1.2,2.4,1.7,1.8,2.2,4.5,3.1,3.4,4.8,3.6,3.4,3.1,2.8,2.4,2.8,2.7,2.8,4.7,6.6,6.6,5.2,7.7,18.9,17.3,14.4,11.6,11.7,20.4,18.8,27.5,28.7,18.3,18.3,19.1,17.2,16,17.1,21,29.9,42.7,37.9,27,25,25.7,23.4,23.1,24,24.1,35.8
"84","77","  Other","G16077",0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.7,0.4,0.5,0.7,0.6,0.7,1.1,1.1,2.7,2.3,2.4,2.3,2.5,3.7,3.9,3.7,3.6,3.7,3.4,3.9,3.9,5.3,7.5,7.9,8.4,12.8,15.1,19.1,21.4,25.9,28.5,30.6,34,34.9,36.5
"85","78","      State and local","A990RC",20,21.2,22.7,24.7,26.7,29.5,32.8,35.1,38.1,41.6,44.5,47.7,52,56.8,63.8,71.9,82.1,92.8,107.5,122.9,136.7,150.9,169.2,197.2,217.2,236.4,255.6,277.8,307.8,336.9,362.5,387.3,412.6,447,487.2,523.8,558.1,599.6,660.8,723.8,777.2,821.7,865.2,902.5,939,980.3,1033.7,1105.8,1196.2,1292.6
"86","79","General public service","G16079",2.1,2,2.3,2.6,2.6,3.2,3.6,3.9,4.2,4.8,5,5.2,5.6,6,6.6,7.2,8.3,9,10.3,12.2,14.7,15.6,17.1,20.8,24.5,27.1,26.6,26.3,26.3,26.5,29.2,34.4,36.1,39.3,46.2,51.5,53.6,55.1,59.4,67.3,75.8,81.7,84.9,83.6,86,93.6,100.3,107.6,117.1,124.3
"87","80","  Executive and legislative","G16080",0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.6,1.8,2,2.4,2.9,3.2,3.4,3.8,3.5,3.9,4.4,5,5.6,5.8,6,6.5,7.1,7.7,8.3,8.9,9.9,10.5,10.8,11.2,11.8,12.4,13.1,13.7,15,16.2,17.7,18.9
"88","81","  Tax collection and financial management","G16081",0.8,0.9,1,1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,2,2.2,2.4,2.7,3.1,3.5,3.7,3.9,4.3,4.9,5.4,5.7,6.5,7.6,8.3,8.9,9.3,10.5,11.5,12.5,14.6,16.4,17.4,18.2,19.1,20.1,21.8,22.9,23.8,25.6,26.5,26.9,29,29.2,31.6,34.9,34.6
"89","82","  Net interest paid \2\","G16082",0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.1,1.2,1.2,1.1,1,1,1,0.8,0.9,1.7,2.3,1.3,0.2,1.2,3.1,3,0.8,-2.3,-5.5,-7.6,-7.5,-5.3,-6.9,-8,-5.6,-3.2,-4,-6.7,-6.4,-2.3,2.6,5.4,4.2,0.2,0.6,-1.2,0,-1.1,-3.2,-2.5
"90","83","  Other \7\","G16083",0.5,0.3,0.5,0.6,0.5,0.7,0.9,1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.5,2.7,3.3,3.7,4.3,5,6.5,7.6,9.1,10.9,12.2,13.8,14.8,16.4,18.5,19.8,20.5,22.5,24.5,26.3,28.4,29.7,31.1,33.9,35.9,37.4,39.5,41.3,43.3,44.4,45.5,52,56.1,60.9,67.8,73.4
"91","84","Public order and safety","G16084",2.2,2.4,2.6,2.8,3,3.3,3.6,3.8,4.2,4.5,4.7,5,5.4,5.8,6.3,7.1,8.2,9,10.3,11.7,13,14.6,16.6,19,20.9,22.9,26.1,29,32.4,36.6,41.1,44.7,48.4,53.7,58.7,64,69.3,76.2,84.5,91.4,98.6,104.3,111.5,118.9,127.3,134.9,144.1,154.7,168.7,181.8
"92","85","  Police","G16085",1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.1,2.2,2.4,2.5,2.7,3,3.4,4.1,4.4,5,5.7,6.3,7.1,8,9.1,9.9,10.9,11.9,13.1,14.4,16.1,17.9,19.1,20.3,22.3,24,25.6,27.3,29.4,32.2,34.8,37.3,39.2,41.6,44.5,48.2,51.2,55.1,59.2,65.1,71.5
"93","86","  Fire","G16086",0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,4.9,5.4,5.9,6.7,7.4,8,8.5,9.3,10.2,11,11.4,12.3,13.4,14.1,15.4,16.1,16.8,17.3,18,18.8,20.5,21.5,23.2,24.8
"94","87","  Law courts","G16087",0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,2.1,2.3,2.6,2.9,3.1,4.3,5,5.7,6.4,7.1,7.8,8.4,9.2,9.9,10.7,12.1,13.4,14.9,16.2,17.4,18.3,19.4,20.6,21.8,23.3,25.2,27.2,29.5,31.2
"95","88","  Prisons","G16088",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.9,2.1,2.5,3,3.4,3.9,4.4,4.9,5.6,6.4,7.4,8.7,9.9,11.2,13,14.6,16.6,18.5,21.1,24.1,26.4,28.5,30.7,33.7,36.5,39.3,41.6,43.3,46.7,51,54.3
"96","89","Economic affairs","G16089",3.6,3.5,3.5,3.8,4,4.6,4.9,5.1,5.3,5.6,6,6.3,6.8,7.3,8.1,8.9,9.7,11,12.3,13.8,14.8,16.4,20.4,23.7,24.7,25.9,29.4,32.3,36.9,41.6,44.5,45.4,45.5,47.7,51,52.3,53.2,54.6,58.5,62.2,65,66.5,69.5,72.1,74,77.9,81.1,87.1,95,107.8
"97","90","  General economic and labor affairs","G16090",0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,3,3.8,4.4,4.8,6.2,6.4,7.1,7.2,7.1,6.9,6.9,7.4,7.9,8.3,8.7,9.5,10.1,10.5,11.2,11.6,11.8,12,12.1,13.6,13.8,14.5,15.5,16.2
"98","91","  Agriculture","G16091",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.8,3,3.2,3.2,3.4,3.7,3.9,4,4,4.1,4.1,4.2,4.4,4.4,5,5.7,5.6
"99","92","  Energy","G16092",-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.7,-0.8,-0.9,-0.9,-1,-1.1,-1.2,-1.3,-1.3,-1.2,-1.5,-1.8,-2.2,-3,-3.2,-3.4,-4.1,-4.8,-5.1,-5.4,-5.7,-5.9,-6.1,-6.2,-6.6,-7.1,-6.9,-7.3,-8,-8.7,-2.1
"100","93","  Natural resources","G16093",0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.3,1.5,1.8,1.9,1.9,2.2,2.4,2.8,3.2,3.4,3.6,3.8,4.2,4.5,4.9,5.3,5.6,5.9,6.4,6.8,7.1,7.8,8.3,8.5,8.5,8.6,9.1,9.9,10.7
"101","94","  Transportation","G16094",3,2.9,2.9,3.1,3.3,3.7,3.9,4.3,4.5,4.7,5,5.3,5.6,6,6.5,7.1,7.8,8.7,9.7,10.8,11.6,13,16.3,18.5,19,19.9,21.8,24.2,27.7,32.1,35.5,37.2,38.5,40.9,43.9,45.7,47.5,48.9,52.2,55.4,57.9,59.7,63,66.1,69,71.6,74.9,80,86.4,91.7
"102","95","    Highways","G16095",2.9,2.9,2.9,3.2,3.3,3.7,3.9,4.3,4.5,4.7,5,5.3,5.5,5.9,6.4,7,7.6,8.5,9.4,10.3,10.9,12.2,14.9,16.7,17.3,18.1,19.8,21.7,24.7,27.8,30.5,31.5,32.5,34.7,37,38.3,39.8,41,43.5,45.6,47.6,49.5,51.7,54.6,57.2,59.6,62.1,66.1,71.8,76.1
"103","96","    Air","G16096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.5,-0.6,-0.7,-0.9,-0.9,-1.1,-1.3,-1.3,-1.2,-1.6,-1.6,-1.7,-1.8,-2.1,-2.2,-2.4,-2.5,-2.3
"104","97","    Water","G16097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.3
"105","98","    Transit and railroad","G16098",0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1,1.5,1.8,1.8,2,2.3,2.8,3.3,4.5,5.1,6,6.5,6.8,7.7,8.2,8.7,9,10,11.1,11.6,11.9,12.9,13.3,13.8,14.3,15.3,16.4,17.4,18.2
"106","99","  Other \4\","G16099",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.4,-0.6,-0.6,-0.7,-0.7,-0.8,-1,-1.2,-1.4,-1.5,-1.9,-2.6,-3.3,-4.3,-5,-5.5,-6.7,-7.7,-8.1,-8.3,-9,-9.9,-11,-11.8,-12.7,-13.2,-13.3,-13.5,-13.8,-14.2
"107","100","Housing and community services","G16100",0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.8,1.1,1.3,1.7,2.2,2.5,2.9,3.3,4,4.6,4,3,2.7,2.3,3,3.8,4,4.1,4.4,4.2,4.2,3.9,4.3,3.7,2.8,3.5,6,6,7.8,7.5
"108","101","  Water","G16101",-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.5,-0.4,-0.5,-0.5,-0.5,-0.4,-0.3,-0.4,-0.8,-1.4,-1.9,-2.1,-2.4,-2.7,-2.7,-2.4,-2.4,-2.5,-3,-3.1,-3.6,-4,-4.4,-4.8,-5.4,-5.5,-5.6
"109","102","  Sewerage","G16102",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1.1,1.3,1.5,1.6,1.8,2.1,2.2,2,1.7,1.5,1.4,1.2,0.9,0.7,0.4,0.1,0.1,0.1,-0.3,-0.7,-1,-1.1,-1.1,-1.2,-1.2,-1.4
"110","103","  Sanitation","G16103",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2,2.1,2.4,2.6,2.6,2.6,2.6,2.8,3,3.1,3.6,4,4.5,5,5.1,5,5.2,5.3,5.5,5.8,6,6.4,7,7
"111","104","  Other","G16104",-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,-0.1,0,-0.2,-0.2,-0.1,-0.1,-0.1,0.1,0.3,0.3,-0.4,-0.8,-0.3,-0.1,0.8,1.9,2.2,2.1,1.9,1.5,1.4,1.7,2.5,2.7,2.3,3.1,6,6.2,7.5,7.4
"112","105","Health","G16105",1.8,2,2.1,2.2,2.4,2.7,2.8,3.1,3.3,3.8,4,4.4,4.8,5.3,6,7.1,8.9,10.2,12.1,14.1,15.9,18.1,21.2,25.1,26.9,29.8,33,36.2,41.2,46.5,49.9,53.2,57.1,62.3,67.5,73.9,81.1,90.5,106.2,130.4,149,160.9,170.5,179.6,188.4,190.8,196.7,215.6,236.5,268
"113","106","Recreation and culture","G16106",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.4,3.7,4.1,4.5,4.9,5.3,5.7,6.5,7,7.3,7.8,8.6,9.4,10.1,10.7,10.9,11.7,12.2,12.7,13,13.9,14.7,16.1,16.8
"114","107","Education","G16107",6.9,7.8,8.6,9.6,10.6,11.4,13.1,14,15.7,17.3,18.9,20.7,22.9,25.3,28.9,32.6,36.4,41.3,47.7,53.7,59.2,65.1,72.7,83.7,92.3,100.1,107.8,118.5,129.8,140.8,151.1,159.8,172.9,187.7,202.9,217.1,231.6,248.6,269.1,282.1,292.1,308.1,323.7,341.6,358.1,376.7,398,421,449.5,474.8
"115","108","  Elementary and secondary","G16108",5.8,6.7,7.5,8.5,9.3,9.9,11.3,11.7,13.1,14.5,15.7,17.1,18.9,20.8,23.5,26,28.7,32.5,37.2,41.5,45.6,50.2,55.4,63,69.3,75,80.7,88.9,97,104.6,112.1,119.5,130,140.5,152.6,164.5,175.3,187.9,203.5,214.5,224,235.1,246.2,261.2,275.4,291.3,307.2,325.3,347.3,366.3
"116","109","  Higher","G16109",0.7,0.7,0.7,0.8,0.9,1.1,1.3,1.7,2,2.1,2.4,2.7,3,3.4,4,4.8,5.6,6.4,7.6,8.7,9.7,10.8,12.6,15.2,17,18.6,20.1,22.2,24.7,27.6,29.9,31,32.9,36.1,38.4,39.8,42.7,45.8,49.5,50.8,50.5,54.2,57.1,58.1,59.4,61.5,65.3,68.4,72.6,77
"117","110","  Libraries","G16110",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.1,2.3,2.5,2.8,3,3.2,3.4,3.7,4,4.1,4.2,4.5,4.7,5.1,5.5,5.8,6.2,6.6,6.9
"118","111","  Other","G16111",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,1,1.3,1.6,1.9,2.3,2.7,3.1,3.3,3.8,4.4,4.9,5.2,5.6,6,6.5,6.9,7.2,7.2,7.7,8.6,9.2,9.8,10.4,11.4,12.5,12.9,13.4,14.5,15.9,17.6,18.2,18.5,19.7,21.1,22.9,24.6
"119","112","Income security","G16112",2.9,3,3.2,3.3,3.4,3.7,4.1,4.4,4.5,4.8,5,5.3,5.7,6.1,6.7,7.6,8.8,10.3,12.7,15,16.7,18,17.8,20.7,22.9,25,26.5,28.6,33,35.9,37.8,41.5,44.2,47.4,50.8,53.8,57.5,61.8,69.1,76,81.8,85.5,89.2,90.8,89.6,90,93.6,99.1,105.5,111.6
"120","113","  Disability","G16113",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.8,13,13,12.8,13,13.3,13.3,13.4,13.5,13.9,14.3
"121","114","  Welfare and social services","G16114",2.7,2.8,2.9,3,3.1,3.3,3.7,3.9,4,4.2,4.4,4.6,5,5.4,5.9,6.8,7.9,9.3,11.6,13.9,15.4,16.6,16.3,19.1,21,22.9,24.1,25.8,29.9,32.3,33.7,37.1,39.3,42,44.8,46.8,49.6,52.9,58.7,64.2,68.8,72.4,76.4,77.8,76.3,76.7,80.2,85.6,91.6,97.2
"122","115","  Other","G16115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124"," 1. Equals Federal Government current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","expenditures less grants-in-aid to State and local governments plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","State and local government current expenditures. Federal grants-in-aid to State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","and local governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128"," 2. Includes dividends received by government shown separately in tables 3.1 and 8.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","for total government and in table 3.3 for State and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130"," 3. Equals unallocable State and local government expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","less ``wage accruals less disbursements'' shown in table 3.1; includes Federal revenue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","sharing grants to State and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133"," 4. Consists of State and local government publicly owned liquor store systems,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","government-administered lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135"," 5. Consists of social insurance funds, including old age and survivors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
