"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"56","38","      Fuel oil and other fuels (29)","DFULRC1","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","16,682.0","17,868.0","19,989.0","20,581.0","21,792.0","25,943.0","20,624.0","22,261.0","24,516.0"
"57","39","    Other nondurable goods","DONGRC1","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","452,345.0","499,161.0","536,230.0","566,501.0","594,850.0","624,961.0","658,168.0","691,077.0","733,010.0","764,094.0","785,056.0","806,140.0","840,797.0","890,726.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1","6,294.0","7,282.0","7,720.0","8,413.0","9,095.0","9,868.0","10,680.0","11,652.0","12,371.0","14,218.0","16,509.0","18,740.0","21,286.0","23,496.0","26,872.0","30,318.0","33,510.0","37,207.0","41,265.0","45,903.0","51,906.0","59,118.0","65,101.0","69,561.0","73,991.0","79,060.0","85,109.0","93,241.0","103,671.0","119,792.0","140,041.0","159,000.0","181,006.0","200,165.0","221,620.0","240,386.0","254,723.0","276,213.0","291,705.0","302,501.0","315,388.0","328,455.0","348,135.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1","7,616.0","8,195.0","8,746.0","9,618.0","10,898.0","12,211.0","13,142.0","14,699.0","15,732.0","17,673.0","19,899.0","21,977.0","24,800.0","26,639.0","28,852.0","31,499.0","33,762.0","35,443.0","39,136.0","42,606.0","47,175.0","50,928.0","53,584.0","57,273.0","60,712.0","65,212.0","68,896.0","72,833.0","76,347.0","81,411.0","87,788.0","93,743.0","97,349.0","101,782.0","104,819.0","110,521.0","119,085.0","127,558.0","135,802.0","138,723.0","134,546.0","138,790.0","147,190.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURC1","11,024.0","11,496.0","11,651.0","12,386.0","13,849.0","15,443.0","16,793.0","18,132.0","19,715.0","22,472.0","25,921.0","29,124.0","32,216.0","34,329.0","36,760.0","39,971.0","42,051.0","44,665.0","46,404.0","49,369.0","51,937.0","54,231.0","55,592.0","58,536.0","62,079.0","66,776.0","70,402.0","74,372.0","77,865.0","79,684.0","83,906.0","86,701.0","88,954.0","90,767.0","93,761.0","97,162.0","102,156.0","107,381.0","110,039.0","112,031.0","109,826.0","112,809.0","117,976.0"
"61","43","      Personal care products (part of 118)","DOPCRC1","6,717.0","7,140.0","7,477.0","8,044.0","8,968.0","10,028.0","11,080.0","12,205.0","13,829.0","15,399.0","17,137.0","18,704.0","20,457.0","21,555.0","23,720.0","26,256.0","28,251.0","30,363.0","32,644.0","34,602.0","36,925.0","39,250.0","40,244.0","41,370.0","43,945.0","47,112.0","50,173.0","53,449.0","56,406.0","59,913.0","64,449.0","68,508.0","71,042.0","73,159.0","75,399.0","78,369.0","81,494.0","85,385.0","88,653.0","90,753.0","92,239.0","96,685.0","103,111.0"
"62","44","      Tobacco (127)","DTOBRC1","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,705.0","70,142.0","69,708.0","70,448.0","71,055.0","72,281.0","73,702.0","75,715.0","87,920.0","94,492.0","96,050.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1","6,426.0","6,896.0","7,053.0","7,661.0","8,424.0","9,195.0","9,895.0","10,787.0","11,893.0","14,055.0","16,404.0","18,136.0","19,832.0","21,038.0","22,390.0","24,513.0","25,368.0","26,569.0","28,798.0","31,662.0","33,997.0","36,492.0","37,791.0","38,773.0","40,863.0","43,785.0","46,058.0","48,192.0","50,205.0","51,888.0","54,312.0","56,567.0","55,042.0","54,801.0","54,871.0","56,239.0","57,541.0","58,910.0","58,137.0","58,875.0","58,439.0","63,049.0","70,190.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,783.0","5,043.0","5,023.0","5,282.0","6,056.0","6,458.0","7,782.0","6,517.0","8,074.0"
"65","47","Services","DSERRC1","300,447.0","329,507.0","359,497.0","396,415.0","435,377.0","481,393.0","542,454.0","604,949.0","677,440.0","764,054.0","853,229.0","956,034.0","1,070,133.0","1,176,203.0","1,314,796.0","1,437,383.0","1,580,002.0","1,701,117.0","1,840,664.0","2,012,748.0","2,170,687.0","2,344,151.0","2,482,638.0","2,673,622.0","2,841,247.0","3,004,252.0","3,171,748.0","3,355,935.0","3,563,862.0","3,808,467.0","4,052,790.0","4,371,239.0","4,614,801.0","4,829,234.0","5,076,075.0","5,378,457.0","5,726,798.0","6,076,266.0","6,408,325.0","6,653,847.0","6,651,535.0","6,850,855.0","7,104,223.0"
"66","48","  Household consumption expenditures (for services)","DHCERC1","290,365.0","318,418.0","347,168.0","382,800.0","420,748.0","464,960.0","524,404.0","584,880.0","655,649.0","739,581.0","825,430.0","924,146.0","1,033,869.0","1,136,113.0","1,271,888.0","1,389,792.0","1,529,656.0","1,645,750.0","1,782,132.0","1,945,987.0","2,098,971.0","2,264,537.0","2,398,393.0","2,581,279.0","2,746,625.0","2,901,883.0","3,064,578.0","3,240,220.0","3,451,614.0","3,677,472.0","3,907,383.0","4,205,871.0","4,428,597.0","4,624,229.0","4,864,814.0","5,169,082.0","5,515,091.0","5,836,289.0","6,154,409.0","6,369,261.0","6,372,027.0","6,571,199.0","6,812,280.0"
"67","49","    Housing and utilities","DHUTRC1","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","311,818.0","351,952.0","386,968.0","421,162.0","458,269.0","500,668.0","535,685.0","571,808.0","614,452.0","655,601.0","696,356.0","735,540.0","771,188.0","814,503.0","866,466.0","913,779.0","961,246.0","1,009,908.0","1,065,238.0","1,125,044.0","1,198,555.0","1,287,742.0","1,334,765.0","1,393,886.0","1,462,379.0","1,582,577.0","1,686,178.0","1,756,151.0","1,831,039.0","1,871,555.0","1,891,932.0","1,929,947.0"
"68","50","      Housing","DHSGRC1","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","245,916.0","277,830.0","302,480.0","327,163.0","358,441.0","394,682.0","429,228.0","461,750.0","497,345.0","531,470.0","570,438.0","601,788.0","634,533.0","665,948.0","712,583.0","756,172.0","794,234.0","839,282.0","893,933.0","950,490.0","1,010,486.0","1,085,759.0","1,134,517.0","1,176,116.0","1,233,890.0","1,328,897.0","1,416,275.0","1,472,855.0","1,529,912.0","1,576,174.0","1,586,593.0","1,623,289.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","61,835.0","70,950.0","78,614.0","85,536.0","94,646.0","108,307.0","119,301.0","126,824.0","133,753.0","140,127.0","150,669.0","157,633.0","163,882.0","168,752.0","176,679.0","186,233.0","191,213.0","199,384.0","208,990.0","218,730.0","227,926.0","241,929.0","249,150.0","247,106.0","253,681.0","264,687.0","283,410.0","311,112.0","330,281.0","353,137.0","360,192.0","377,566.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,385.0","201,023.0","218,189.0","235,996.0","258,101.0","280,785.0","304,497.0","329,438.0","357,613.0","384,868.0","412,788.0","436,687.0","462,819.0","488,461.0","526,209.0","559,814.0","592,467.0","629,459.0","674,050.0","720,267.0","768,886.0","829,759.0","870,850.0","913,823.0","962,526.0","1,044,497.0","1,111,028.0","1,141,254.0","1,179,132.0","1,202,309.0","1,205,145.0","1,222,811.0"
"71","53","        Rental value of farm dwellings (22)","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","20,917.0","19,496.0","19,456.0","19,643.0","20,152.0","21,716.0"
"72","54","        Group housing (23)","DGRHRC1","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","901.0","890.0","884.0","920.0","993.0","1,043.0","1,085.0","1,104.0","1,196.0"
"73","55","      Household utilities","DUTLRC1","16,775.0","18,381.0","20,256.0","22,455.0","24,496.0","28,534.0","34,107.0","38,629.0","44,453.0","49,784.0","55,377.0","65,902.0","74,122.0","84,488.0","93,999.0","99,828.0","105,986.0","106,457.0","110,058.0","117,107.0","124,131.0","125,918.0","133,752.0","136,655.0","148,555.0","153,883.0","157,607.0","167,012.0","170,626.0","171,305.0","174,554.0","188,069.0","201,983.0","200,248.0","217,770.0","228,489.0","253,680.0","269,903.0","283,296.0","301,127.0","295,381.0","305,339.0","306,658.0"
"74","56","        Water supply and sanitation (25)","DWRSRC1","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","57,375.0","60,333.0","63,724.0","69,047.0","72,919.0","77,415.0","80,018.0","83,661.0","87,220.0"
"75","57","        Electricity and gas","DELGRC1","14,017.0","15,219.0","16,697.0","18,444.0","20,058.0","23,614.0","28,647.0","32,624.0","37,784.0","42,253.0","46,968.0","56,504.0","63,646.0","72,831.0","80,892.0","84,890.0","89,008.0","87,379.0","88,984.0","94,226.0","98,871.0","98,769.0","104,933.0","106,361.0","115,057.0","117,150.0","118,270.0","124,943.0","126,568.0","125,091.0","125,814.0","137,629.0","149,604.0","145,639.0","160,395.0","168,156.0","189,956.0","200,856.0","210,377.0","223,712.0","215,363.0","221,678.0","219,438.0"
"76","58","          Electricity (27)","DELCRC1","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,532.0","115,871.0","128,720.0","140,940.0","148,673.0","155,829.0","157,408.0","167,207.0","168,358.0"
"77","59","          Natural gas (28)","DGHERC1","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,863.0","52,285.0","61,236.0","59,916.0","61,704.0","67,883.0","57,955.0","54,471.0","51,080.0"
"78","60","    Health care","DHLCRC1","42,059.0","47,663.0","53,725.0","59,842.0","67,175.0","76,083.0","89,000.0","101,849.0","115,691.0","131,202.0","148,840.0","171,661.0","201,914.0","225,182.0","253,125.0","276,478.0","302,195.0","330,160.0","366,011.0","410,051.0","451,209.0","506,202.0","555,759.0","612,785.0","648,809.0","680,461.0","719,886.0","752,067.0","790,949.0","832,046.0","863,590.0","918,425.0","996,565.0","1,082,873.0","1,148,152.0","1,228,489.0","1,308,890.0","1,373,655.0","1,457,692.0","1,532,617.0","1,601,588.0","1,663,026.0","1,751,620.0"
"79","61","      Outpatient services","DOUTRC1","19,946.0","22,305.0","24,093.0","26,305.0","29,855.0","33,157.0","38,494.0","43,353.0","49,497.0","54,731.0","61,534.0","70,635.0","83,585.0","90,693.0","103,303.0","115,770.0","129,444.0","143,356.0","164,431.0","186,187.0","204,641.0","232,126.0","253,768.0","282,638.0","297,450.0","314,563.0","336,597.0","351,312.0","369,147.0","390,430.0","407,136.0","436,625.0","475,797.0","514,722.0","549,636.0","590,057.0","625,938.0","652,908.0","690,328.0","728,518.0","747,369.0","770,843.0","806,413.0"
"80","62","        Physician services (44)","DPHYRC1","12,431.0","14,012.0","15,344.0","16,657.0","18,452.0","20,398.0","23,571.0","25,893.0","29,728.0","32,714.0","37,171.0","43,271.0","50,993.0","55,822.0","62,858.0","69,928.0","77,489.0","85,370.0","99,137.0","112,466.0","121,895.0","134,774.0","144,894.0","158,661.0","162,051.0","168,259.0","177,849.0","183,405.0","190,873.0","202,021.0","212,102.0","229,244.0","249,300.0","269,306.0","290,448.0","312,092.0","330,549.0","343,712.0","360,218.0","377,928.0","386,893.0","396,907.0","412,594.0"
"81","63","        Dental services (45)","DDENRC1","4,326.0","4,872.0","5,139.0","5,644.0","6,592.0","7,253.0","8,218.0","9,250.0","10,274.0","11,335.0","12,281.0","13,730.0","16,121.0","17,370.0","18,868.0","20,601.0","22,569.0","24,217.0","26,767.0","28,414.0","30,328.0","32,421.0","34,082.0","37,636.0","39,573.0","42,224.0","45,389.0","47,800.0","50,931.0","54,627.0","58,491.0","63,573.0","69,324.0","75,568.0","78,187.0","84,073.0","89,138.0","93,269.0","99,340.0","104,436.0","104,558.0","106,981.0","113,940.0"
"82","64","        Paramedical services (46)","DPMSRC1","3,189.0","3,421.0","3,610.0","4,004.0","4,811.0","5,506.0","6,705.0","8,210.0","9,495.0","10,682.0","12,082.0","13,634.0","16,471.0","17,501.0","21,577.0","25,241.0","29,386.0","33,769.0","38,527.0","45,307.0","52,418.0","64,931.0","74,792.0","86,341.0","95,826.0","104,080.0","113,359.0","120,107.0","127,343.0","133,782.0","136,543.0","143,808.0","157,173.0","169,848.0","181,001.0","193,892.0","206,251.0","215,927.0","230,770.0","246,154.0","255,918.0","266,955.0","279,879.0"
"83","65","      Hospital and nursing home services","DHPNRC1","22,113.0","25,358.0","29,632.0","33,537.0","37,320.0","42,926.0","50,506.0","58,496.0","66,194.0","76,471.0","87,306.0","101,026.0","118,329.0","134,489.0","149,822.0","160,708.0","172,751.0","186,804.0","201,580.0","223,864.0","246,568.0","274,076.0","301,991.0","330,147.0","351,359.0","365,898.0","383,289.0","400,755.0","421,802.0","441,616.0","456,454.0","481,800.0","520,768.0","568,151.0","598,516.0","638,432.0","682,952.0","720,747.0","767,364.0","804,099.0","854,219.0","892,183.0","945,207.0"
"84","66","        Hospitals (51)","DHSPRC1","18,303.0","20,901.0","24,314.0","27,580.0","30,628.0","35,260.0","41,685.0","48,625.0","55,141.0","63,623.0","72,948.0","84,662.0","100,035.0","115,176.0","127,394.0","135,803.0","145,777.0","157,413.0","170,922.0","188,785.0","207,699.0","228,784.0","253,293.0","277,619.0","295,473.0","307,246.0","318,444.0","330,073.0","345,494.0","360,080.0","373,236.0","393,892.0","427,107.0","469,536.0","494,139.0","529,257.0","567,924.0","601,942.0","640,231.0","670,208.0","715,250.0","747,263.0","793,518.0"
"85","67","        Nursing homes (52)","DNRSRC1","3,810.0","4,457.0","5,318.0","5,957.0","6,692.0","7,666.0","8,821.0","9,871.0","11,053.0","12,848.0","14,358.0","16,364.0","18,294.0","19,313.0","22,428.0","24,905.0","26,974.0","29,391.0","30,658.0","35,079.0","38,869.0","45,292.0","48,698.0","52,528.0","55,886.0","58,652.0","64,845.0","70,682.0","76,308.0","81,536.0","83,218.0","87,908.0","93,661.0","98,615.0","104,377.0","109,175.0","115,028.0","118,805.0","127,133.0","133,891.0","138,969.0","144,920.0","151,689.0"
"86","68","    Transportation services","DTRSRC1","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,160.0","243,284.0","262,252.0","262,724.0","256,730.0","263,207.0","273,708.0","285,961.0","297,494.0","307,022.0","305,911.0","284,482.0","287,631.0","302,022.0"
"87","69","      Motor vehicle services","DMVSRC1","11,487.0","12,981.0","14,565.0","15,831.0","16,645.0","17,745.0","20,624.0","23,000.0","26,637.0","29,487.0","33,200.0","35,126.0","38,409.0","39,809.0","45,019.0","52,972.0","62,038.0","65,799.0","71,804.0","79,521.0","84,778.0","87,203.0","84,378.0","93,132.0","102,619.0","115,903.0","129,137.0","142,756.0","157,235.0","165,235.0","177,651.0","189,290.0","194,784.0","191,783.0","194,209.0","199,943.0","209,616.0","217,260.0","224,339.0","221,918.0","206,476.0","207,520.0","217,219.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRC1","10,110.0","11,449.0","12,862.0","13,975.0","14,685.0","15,710.0","18,327.0","20,468.0","23,785.0","26,438.0","29,818.0","31,190.0","33,861.0","35,109.0","39,861.0","45,869.0","53,365.0","56,247.0","61,515.0","68,261.0","72,452.0","73,905.0","69,368.0","73,722.0","78,866.0","86,470.0","93,475.0","100,134.0","106,305.0","112,771.0","119,890.0","127,418.0","133,841.0","136,837.0","143,452.0","148,449.0","155,128.0","157,148.0","162,630.0","159,213.0","149,966.0","152,407.0","160,766.0"
"89","71","        Other motor vehicle services (61)","DOVSRC1","1,377.0","1,532.0","1,703.0","1,856.0","1,960.0","2,035.0","2,297.0","2,532.0","2,852.0","3,049.0","3,382.0","3,936.0","4,548.0","4,700.0","5,158.0","7,103.0","8,673.0","9,552.0","10,289.0","11,260.0","12,326.0","13,298.0","15,010.0","19,410.0","23,753.0","29,433.0","35,662.0","42,622.0","50,930.0","52,464.0","57,761.0","61,872.0","60,943.0","54,946.0","50,757.0","51,494.0","54,488.0","60,112.0","61,709.0","62,705.0","56,510.0","55,113.0","56,453.0"
"90","72","      Public transportation","DPUBRC1","6,490.0","7,062.0","7,794.0","8,713.0","9,433.0","10,727.0","11,421.0","13,155.0","14,758.0","15,713.0","17,505.0","20,240.0","21,381.0","21,920.0","23,880.0","27,044.0","28,107.0","29,210.0","31,294.0","34,629.0","37,070.0","39,169.0","39,296.0","40,490.0","43,480.0","45,993.0","48,809.0","52,199.0","57,073.0","61,925.0","65,633.0","72,962.0","67,940.0","64,947.0","68,998.0","73,765.0","76,345.0","80,234.0","82,683.0","83,993.0","78,006.0","80,111.0","84,803.0"
"91","73","        Ground transportation (63)","DGRDRC1","3,639.0","3,982.0","4,308.0","4,578.0","4,712.0","5,173.0","5,519.0","6,013.0","6,450.0","6,598.0","7,098.0","7,445.0","7,973.0","8,405.0","8,743.0","9,349.0","9,777.0","9,874.0","9,969.0","11,191.0","11,796.0","12,938.0","14,015.0","14,764.0","15,435.0","16,135.0","16,679.0","17,436.0","18,050.0","19,655.0","20,507.0","21,578.0","22,766.0","23,133.0","23,298.0","25,125.0","26,195.0","28,293.0","28,408.0","29,682.0","29,743.0","30,490.0","32,131.0"
"92","74","        Air transportation (64)","DAITRC1","2,846.0","3,075.0","3,480.0","4,128.0","4,712.0","5,543.0","5,890.0","7,128.0","8,291.0","9,096.0","10,384.0","12,768.0","13,377.0","13,480.0","15,066.0","17,552.0","18,088.0","18,987.0","20,935.0","22,987.0","24,840.0","25,891.0","25,069.0","25,581.0","27,742.0","29,226.0","31,072.0","33,269.0","37,216.0","40,269.0","43,042.0","49,166.0","42,873.0","39,515.0","43,348.0","46,163.0","47,654.0","49,368.0","51,596.0","51,603.0","45,811.0","46,970.0","49,823.0"
"93","75","        Water transportation (65)","DWATRC1","5.0","5.0","6.0","7.0","9.0","11.0","12.0","14.0","17.0","19.0","23.0","27.0","31.0","35.0","71.0","143.0","242.0","349.0","390.0","451.0","434.0","340.0","212.0","145.0","303.0","632.0","1,058.0","1,494.0","1,807.0","2,001.0","2,084.0","2,218.0","2,301.0","2,299.0","2,352.0","2,477.0","2,496.0","2,573.0","2,679.0","2,708.0","2,452.0","2,651.0","2,849.0"
"94","76","    Recreation services","DRCARC1","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,587.0","238,788.0","255,475.0","263,552.0","272,833.0","290,088.0","313,293.0","328,233.0","351,447.0","375,350.0","381,909.0","370,684.0","378,506.0","394,534.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1","6,926.0","7,575.0","8,091.0","8,628.0","9,364.0","10,775.0","12,106.0","13,211.0","14,961.0","16,623.0","18,282.0","20,149.0","22,611.0","24,641.0","27,214.0","29,383.0","31,994.0","33,921.0","35,799.0","40,016.0","45,305.0","49,733.0","52,106.0","57,425.0","61,233.0","64,206.0","69,535.0","74,607.0","78,995.0","83,320.0","87,287.0","91,929.0","94,315.0","97,513.0","102,723.0","108,552.0","115,186.0","123,139.0","131,780.0","135,045.0","131,563.0","135,143.0","141,051.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1","3,538.0","3,800.0","4,116.0","4,300.0","4,981.0","5,689.0","6,464.0","7,497.0","8,051.0","8,622.0","9,653.0","10,733.0","12,350.0","14,012.0","16,608.0","18,967.0","21,928.0","24,482.0","27,161.0","31,144.0","34,656.0","37,875.0","39,388.0","42,597.0","45,979.0","46,500.0","49,994.0","52,772.0","55,540.0","60,012.0","65,508.0","70,138.0","72,652.0","73,441.0","77,165.0","83,732.0","85,449.0","89,703.0","96,277.0","99,947.0","100,516.0","102,048.0","106,904.0"
"97","79","      Gambling (91)","DGAMRC1","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","80,667.0","89,046.0","92,933.0","101,052.0","105,702.0","103,833.0","97,810.0","98,078.0","101,516.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1","943.0","959.0","1,042.0","1,224.0","1,349.0","1,447.0","1,636.0","1,897.0","2,139.0","2,423.0","2,925.0","3,253.0","3,737.0","4,142.0","4,555.0","5,203.0","5,783.0","6,450.0","7,378.0","8,387.0","9,449.0","10,498.0","11,023.0","11,697.0","12,886.0","14,347.0","16,145.0","17,913.0","19,270.0","21,374.0","23,652.0","25,852.0","26,595.0","27,822.0","29,533.0","31,963.0","34,665.0","37,553.0","41,591.0","43,084.0","40,795.0","43,237.0","45,063.0"
"99","81","    Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","464,167.0","499,079.0","533,906.0","570,198.0","600,498.0","618,252.0","607,244.0","631,013.0","670,948.0"
"100","82","      Food services","DFSERC1","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,909.0","273,766.0","280,167.0","287,501.0","299,665.0","315,707.0","331,596.0","354,878.0","368,702.0","384,332.0","406,353.0","434,371.0","461,256.0","490,433.0","514,828.0","529,187.0","523,768.0","541,047.0","573,433.0"
"101","83","        Purchased meals and beverages (102)","DPMBRC1","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,599.0","266,247.0","272,388.0","279,515.0","291,454.0","307,284.0","322,891.0","345,950.0","359,567.0","374,863.0","396,233.0","423,716.0","449,470.0","477,001.0","500,749.0","514,855.0","508,867.0","526,458.0","557,616.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,469.0","10,120.0","10,655.0","11,786.0","13,432.0","14,079.0","14,332.0","14,901.0","14,589.0","15,817.0"
"103","85","      Accommodations (104)","DACCRC1","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,302.0","49,984.0","55,248.0","52,526.0","53,851.0","57,814.0","64,708.0","72,650.0","79,765.0","85,670.0","89,065.0","83,476.0","89,966.0","97,515.0"
