"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"55","36","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \4\","W875RX1","3,166,562.0","3,227,360.0","3,302,760.0","3,505,948.0","3,710,365.0","3,668,429.0","3,620,010.0","3,802,271.0","3,978,125.0","4,205,668.0","4,331,098.0","4,335,245.0","4,460,725.0","4,503,080.0","4,597,315.0","4,947,717.0","5,129,737.0","5,290,197.0","5,433,610.0","5,645,847.0","5,816,545.0","5,890,574.0","5,837,268.0","5,976,823.0","6,071,990.0","6,286,794.0","6,484,032.0","6,757,968.0","7,083,382.0","7,591,609.0","7,861,209.0","8,323,967.0","8,407,284.0","8,383,403.0","8,489,818.0","8,774,334.0","8,977,304.0","9,406,923.0","9,662,460.0","9,712,347.0","8,923,403.0","9,035,798.0","9,340,040.0","9,548,433.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","    Total, millions of chained (2005) dollars \4\","A067RX1","2,979,927.0","3,107,347.0","3,247,658.0","3,405,165.0","3,636,606.0","3,608,647.0","3,689,530.0","3,836,639.0","3,968,978.0","4,154,596.0","4,251,908.0","4,293,686.0","4,407,927.0","4,504,428.0","4,653,548.0","4,986,903.0","5,142,360.0","5,312,611.0","5,399,899.0","5,633,029.0","5,782,509.0","5,893,620.0","5,943,222.0","6,152,478.0","6,255,310.0","6,456,019.0","6,648,570.0","6,867,813.0","7,110,357.0","7,535,363.0","7,763,142.0","8,157,801.0","8,356,233.0","8,633,166.0","8,850,482.0","9,152,929.0","9,277,293.0","9,652,828.0","9,880,284.0","10,119,516.0","9,836,730.0","10,016,520.0","10,149,659.0","10,321,158.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","38","      Current dollars","A229RC0","3,324","3,586","3,859","4,140","4,615","5,010","5,497","5,972","6,514","7,220","7,956","8,794","9,726","10,390","11,095","12,232","12,911","13,540","14,146","15,206","16,134","17,004","17,532","18,436","18,909","19,678","20,470","21,355","22,255","23,534","24,356","25,946","26,816","27,816","28,827","30,312","31,343","33,183","34,550","36,200","34,899","35,920","37,013","38,026"
"60","39","      Chained (2005) dollars","A229RX0","14,699","15,151","15,637","16,221","17,159","16,871","17,083","17,592","18,017","18,662","18,888","18,855","19,164","19,397","19,859","21,096","21,561","22,073","22,236","22,986","23,374","23,557","23,442","23,947","24,033","24,505","24,939","25,463","26,049","27,287","27,792","28,888","29,297","29,981","30,453","31,211","31,343","32,303","32,749","33,229","32,016","32,335","32,527","32,841"
"61","40","  Population (midperiod, thousands)","B230RC0","202,736","205,089","207,692","209,924","211,939","213,898","215,981","218,086","220,289","222,629","225,106","227,726","230,008","232,218","234,333","236,394","238,506","240,683","242,843","245,061","247,387","250,181","253,530","256,922","260,282","263,455","266,588","269,714","272,958","276,154","279,328","282,398","285,225","287,955","290,626","293,262","295,993","298,818","301,696","304,543","307,240","309,776","312,036","314,278"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Disposable personal income, current dollars","A067RP1","7.9","9.2","9.0","8.4","12.6","9.6","10.8","9.7","10.2","12.0","11.4","11.8","11.7","7.8","7.8","11.2","6.5","5.8","5.4","8.5","7.1","6.6","4.5","6.6","3.9","5.3","5.3","5.5","5.5","7.0","4.7","7.7","4.4","4.7","4.6","6.1","4.4","6.9","5.1","5.8","-2.7","3.8","3.8","3.5"
"64","42","    Disposable personal income, chained (2005) dollars","A067RL1","3.2","4.3","4.5","4.8","6.8","-0.8","2.2","4.0","3.4","4.7","2.3","1.0","2.7","2.2","3.3","7.2","3.1","3.3","1.6","4.3","2.7","1.9","0.8","3.5","1.7","3.2","3.0","3.3","3.5","6.0","3.0","5.1","2.4","3.3","2.5","3.4","1.4","4.0","2.4","2.4","-2.8","1.8","1.3","1.7"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. The current-dollar measure is deflated by the implicit price deflator for personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
