"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"76","64","    Nonmerchant wholesale industries","I42N0",1812,1592,1212,716,1884,544,1088,1528,808,164,-920,-1132,-3744,52,-1724,-664,-712,-48,1028,1676,2928,424,-2192,-6144,-1620,-852,888,-4080,-4864,-6392,-3480,-2164,-6320,-4308,-1944,-1864,-5824,-6460,-6992,-5664,-1660,-152,28,-2860,-1772,-9116,-6764,8204,4708,1940,148
"77","65","      Durable goods industries","I42ND0",1344,1280,1276,812,1052,92,728,1080,612,536,-264,-204,-1940,924,-664,556,-152,60,184,380,1628,564,324,-1392,504,676,1348,-2308,-3072,-3484,-1124,88,-2604,-1216,720,600,-2252,-2828,-2828,-1652,-1420,-712,-72,-304,668,-4784,-3444,3492,2196,1744,-296
"78","66","      Nondurable goods industries","I42NN0",468,312,-64,-96,832,452,360,448,196,-372,-656,-928,-1804,-872,-1060,-1220,-560,-108,844,1296,1300,-140,-2516,-4752,-2124,-1528,-460,-1772,-1792,-2908,-2356,-2252,-3716,-3092,-2664,-2464,-3572,-3632,-4164,-4012,-240,560,100,-2556,-2440,-4332,-3320,4712,2512,196,444
"79","67","Retail trade industries","I440",6776,3530,4206,996,1994,596,3849,3115,3459,1556,-6688,-10337,1936,-2966,-1288,-6084,-26,-239,2728,5874,3778,1246,-588,2219,-899,3293,-1548,-447,3444,-6685,-7065,-13374,-9830,-4683,-7152,-431,-7987,-8125,-864,-1103,-5077,-5820,-3016,-11564,-20906,-15037,-7568,16818,4984,136,-3804
"80","68","  Motor vehicle and parts dealers","I4410",-271,493,2271,1103,2041,883,-323,-1229,1217,-230,-1969,-3130,18,-1436,-794,-2052,-980,-708,1377,2143,1642,2008,1036,482,184,110,2750,3891,2266,-2032,-2298,-3844,-2687,-1039,-2049,1479,-254,-3488,-1137,-213,1654,718,-2502,-1926,-2496,-1285,-783,2821,2620,1064,-2152
"81","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1438,965,1688,1445,1456,602,1546,809,1012,746,-41,-17,131,298,460,751,2044,1017,752,-101,-603,35,1174,2178,2226,930,-366,-334,2147,1076,-150,-1477,1569,861,390,-948,-581,-494,937,1719,-113,126,567,876,-4235,-1166,649,3468,72,116,-4
"82","70","  Building material and garden equipment and supplies dealers","I4440",482,-248,-411,-143,-160,185,402,-263,764,-5,-905,-362,-574,-1446,420,1124,19,225,-267,-89,-658,-363,-467,-145,501,42,-953,-1338,-198,-2528,-2701,-2520,-1878,-841,162,-2631,-5639,-2849,196,1431,-162,-746,-476,-2324,-3549,-2962,-3118,-356,1888,2576,1220
"83","71","  Food and beverage stores","I4450",339,208,-135,93,-700,-292,155,771,-87,536,-694,-1094,381,-430,362,-508,-1616,-699,-318,-193,1023,988,-200,-219,-1824,-1317,-550,115,-447,-1222,7,-813,-174,-435,77,-1425,-105,-340,-435,480,-674,478,492,-1008,-97,-712,-1572,-508,656,-52,168
"84","72","  Clothing and clothing accessories stores","I4480",566,-375,-452,-667,171,-573,85,976,-760,333,729,-36,2095,-257,-116,-1181,-393,-517,-270,888,1860,550,-661,-1021,-1375,-367,-242,109,-320,-194,-222,-403,-1946,-729,-176,1522,254,18,-1044,-1720,-1951,-1706,-1013,-873,-586,-975,-1305,-1157,-592,-184,0
"85","73","  General merchandise stores","I4520",2425,241,91,-2533,-1809,-282,205,1162,1050,1440,-451,-1547,607,820,161,-4,-1075,118,1103,514,1578,-835,-812,253,831,909,-169,-1454,355,-439,60,-76,-1498,-608,80,1290,1289,649,-897,-2477,-2335,-1279,-111,933,-3582,-2078,-389,1705,312,-64,0
"86","74","    Department stores","I45210",1768,472,344,-2236,-1656,54,474,1339,854,896,-144,-558,615,962,188,12,147,51,158,188,1451,-886,-736,343,-253,-15,-14,382,79,50,83,-1,-759,-332,59,624,1157,430,-613,-1378,-1262,-616,184,1121,-2571,-1112,736,1668,-100,-44,-20
"87","75","    Other general merchandise stores","I45290",656,-231,-253,-296,-154,-336,-269,-177,196,544,-307,-989,-8,-142,-27,-16,-1221,67,945,325,128,50,-76,-90,1084,924,-156,-1836,277,-490,-23,-75,-739,-276,21,666,131,219,-284,-1099,-1073,-664,-295,-188,-1011,-965,-1125,37,412,-20,20
"88","76","  Other retail stores","I44X0",1798,2246,1153,1699,996,73,1778,889,263,-1264,-3357,-4149,-721,-516,-1780,-4215,1976,325,352,2711,-1065,-1137,-656,690,-1442,2985,-2017,-1435,-359,-1345,-1760,-4241,-3217,-1893,-5636,282,-2951,-1621,1515,-323,-1495,-3411,28,-7242,-6361,-5859,-1050,10844,28,-3320,-3036
"89","77","Other industries","IOTH0",638,1194,277,-351,1414,787,408,273,813,-841,-1274,-737,-4095,-1234,642,873,-1277,-1010,1101,2745,1199,60,493,128,-1130,569,-613,432,-127,-257,-563,-2286,-2301,-1695,-4385,-200,-2064,-3836,-1944,-901,-3090,-2967,-2743,-4967,-6032,-6060,-4242,4351,3048,-396,-1156
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
