"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"44","35","    Capital consumption adjustment","A059RC1",-0.3,-0.1,0.2,0.3,0.3,0.1,0,0,-0.3,-0.4,-0.3,-0.4,-0.4,-0.2,0.2,0.8,0.8,-1.8,-2.4,-2.6,-2.4,-2.3,-2.4,-1.9,-1,-0.2,1.4,0.8,0.8,0.8,2.2,2.3,3,6.2,6.8,7.9,8.6,8.6,9.3,10,9.9,9.2,9.7,10.9,10.2,6.2,-0.2,-2.3,-2.3,-5.8,-8.5,-10.2,7,18.6,37.8,54,72.9,66.5,67.5,68.7,59.2,41.2,23.3,21.1,28.8,35.7,40.7,50.1,56.2,63.1,74.5,58.6,48.1,120.1,98.7,78.1,-155.5
"45",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","    Profits before tax (without IVA and CCAdj)","A464RC1",8.7,3.4,-0.2,-2.1,0.9,2.5,3.5,5.9,6.3,3.2,6.3,9.1,16.7,20.3,23.7,22.3,17.9,22.1,29,31.9,25.2,38.7,39.3,33.9,35,32.3,42.2,42,40,34,43.4,40.1,39.9,44.6,49.7,55.9,66.1,71.4,67.6,74,71.2,58.5,67.4,79.2,99.4,110.1,110.7,138.2,159.4,183.7,197,184,185,139.9,163.3,197.6,173.4,149.7,209.8,260.4,238.7,239,222.4,258.2,303.3,380.1,419.3,458.5,494.2,449.4,457.9,423.9,310.6,336.3,425.4,623.8,932.6
"47","37","    Profits after tax (without IVA and CCAdj)","A466RC1",7.6,2.7,-0.7,-2.5,0.4,1.8,2.6,4.7,5,2.3,5,6.4,9.4,9.2,10,9.7,7.7,13.5,18.2,20.2,15.9,21.9,18.2,16.3,16.7,16.7,22.1,22,21,17.9,22.7,20.9,20.5,24,26.9,32,39,41.9,39.8,40.5,37.8,31.2,37.4,45.4,59,67.3,68.8,84.7,98.8,116.2,126.3,115.8,119,91.2,101.6,121.7,102.4,73.5,115.6,156.5,137.5,140.5,133.8,163.8,195.3,247.2,278.2,305.4,332.3,290.8,286.7,253.7,198.9,239.2,289.7,438.6,681.3
"48","38","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,20.2,1,-14.1,11.3,-2.2,-13.6,-39.8,-32.6
"49","39","    Capital consumption adjustment","B470RC1",-0.3,-0.1,0.2,0.3,0.3,0.1,0.1,0,-0.3,-0.4,-0.3,-0.4,-0.3,-0.1,0.2,0.9,0.9,-1.7,-2.2,-2.4,-2.3,-2.1,-2.2,-1.8,-0.8,0,1.5,0.9,0.9,0.9,2.3,2.3,3,6.1,6.8,7.7,8.4,8.5,9.1,9.7,9.6,8.9,9.3,10.5,9.5,5.6,-0.5,-2.4,-2.2,-5.9,-8.1,-8.7,7.4,19.5,37.1,54.3,72.8,65.3,66.2,68,60.6,48.2,34.2,33.8,39.9,48.3,51.5,61.6,65,68.7,78.7,66.6,35.2,95.3,80.3,68.6,-135.8
"50",NA,"  Value added, in billions of chained (2000) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","40","    Gross value added of nonfinancial corporate business \2\","B455RX1",304.2,283.4,256.3,217.6,212.2,241.9,262.2,299.9,325.4,301.4,337.3,380.7,457.5,519.2,577.7,588.1,542.9,521.5,557.9,602.6,598.1,675.3,714,738.8,792.6,783,878,907.2,919.1,882.5,980.4,1012,1033.6,1120.7,1186.7,1270.3,1375.1,1472.6,1508.9,1604.8,1667.6,1649.9,1716.6,1846.4,1957.7,1925.4,1898.8,2050,2200,2344.1,2418.7,2394.6,2491.5,2430.6,2545.1,2772.8,2896.3,2963.3,3119.6,3300.7,3361.8,3404,3376.2,3479.5,3575.5,3797.9,3977.4,4196.4,4469.3,4725.4,5011,5272.2,5224.5,5269.7,5387.5,5630,5852.9
"52","41","      Consumption of fixed capital \3\","N456RX1",35.1,35.7,35.3,34,32.5,31.6,31.1,31.2,32,32.3,32.3,32.9,34,34.2,33.6,33.4,34.3,36.5,39.5,42.3,44.4,46.2,48.1,49.8,52.1,54.4,56.6,58.9,61.5,64.1,63.2,67.2,69.3,71.3,75.3,78.3,83.6,91.2,96.6,102.1,110.6,116.6,120.6,130,139.6,148.8,154.3,160,169.6,181.8,192.8,200.5,207.4,216.3,223.6,236.8,251.4,255.2,264.8,271.7,284.5,295.2,310.5,322.8,356.6,382.1,401.3,424.4,456.6,488.8,525,567.8,615.8,618.2,630.5,650.9,681.6
"53","42","      Net value added \4\","A457RX1",269.1,247.6,221,183.6,179.6,210.4,231.2,268.7,293.4,269.1,305,347.8,423.5,485,544.2,554.6,508.5,485,518.4,560.2,553.6,629.1,665.8,689,740.5,728.7,821.4,848.3,857.6,818.4,917.2,944.8,964.3,1049.4,1111.3,1192,1291.5,1381.5,1412.3,1502.7,1556.9,1533.2,1596,1716.5,1818.1,1776.6,1744.4,1890,2030.4,2162.4,2225.9,2194.1,2284.1,2214.3,2321.4,2536.1,2644.9,2708.1,2854.8,3029.1,3077.3,3108.8,3065.8,3156.7,3218.9,3415.9,3576,3772,4012.8,4236.6,4486,4704.3,4608.7,4651.5,4757.1,4979.2,5171.2
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","the 2000 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
