"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"39","30","    Current receipts","W021RC1",55.4,54.8,54.4,57,57.9,56.7,56.2,56.2,55.2,53.5,53.3,52.3,57.9,62.5,69.5,74.4,83.3,80.3,79.9,84.1,84.7,85.2,86.1,89.8,91.9,92.5,92,86.8,84.5,84.9,85.9,88.4,93.1,95.5,97.9,100.2,101.6,103.6,104,107.4,110.4,110.3,110.6,107.9,104.8,105.1,109.1,113.6,119.3,123.5,123,124.4,134.5,134,134,133.1,133.9,136.7,139.5,144,146.3,148.5,151.8,153.6,157.4,160.6,163,165.4,165.4,162.8,166.8,169.1,176.3,179.4,179,183.8,194.6,200.6,204.6,208.5,210.6,212.7,218.9,225.5,237.6,244.4,258,264.8,277.1,282.6,283.4,287.1
"40","31","    Capital transfer receipts","W067RC1",1,0.9,1,1,1.1,1.2,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1,1.1,1.1,1,1.2,1.1,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.1,1.2,1.4,1.5,1.7,1.6,1.6,1.7,1.9,1.9,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.9,1.9,2,2.2,2.1,2.6,2.6,2.4,2.6,2.5,2.4,2.7,2.6,2.8,2.8,2.9,3,2.8,3,3.3,3.4,3.5,3.6,3.4,3.6,3.8,3.9,4,3.8,3.8,4,3.9,4.2,3.9,3.7,4,4.2,4.4,4.6,4.8,4.5,4.6
"41","32","  Total expenditures","W068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.1,147.3,150.4,153.7,157.2,160.7,162.6,166.2,170.6,172.7,175.1,177.7,178.9,179.9,184.4,186.3,189.6,192.5,192.8,192.4,195.7,199.5,208.4,213.7,220.6,226.9,235.1,243.2,254.7,256.1,263.3,267.5,276.2,285.8,291.3,298,299.5,306,312.7,316.9
"42","33","    Current expenditures","W022RC1",52.5,52.5,55,51.8,53.3,54.2,57.3,58.4,60.7,62.2,62.2,61.5,69.5,63.4,59.2,63.6,68.9,73.8,79.1,81.8,81.7,86.4,88.7,90,91.7,93,92.3,93.6,91.9,91.2,91.7,92.8,94.3,94,96.1,95.7,96.4,99.8,99.7,103.1,106.6,109,109.7,113.7,114,119.3,120.7,122.3,122.5,123.4,124.6,126.5,127.1,130.2,131.9,135.5,136.5,141.2,141.9,144.3,148.7,151,152.8,155.4,157.4,158.1,160.6,163.9,166.4,168.7,169.1,170,173.4,177.3,184.3,189.2,193.5,200.9,207.1,214.1,224.6,228.5,233.5,240.2,250.2,258,264,270.5,271.2,280.2,287.4,295.3
"43","34","    Gross government investment","A782RC1",5,5.1,6.1,6.6,7.5,8.3,8.8,9.4,10.2,11.3,11.9,11.8,10.7,11.1,11.7,12.3,14.9,18.2,21.1,24.1,24.1,24.3,24.8,25.3,26.5,27.1,27,25.9,26.4,25.9,24.7,24.5,24.1,24.8,24.3,24.3,25.6,26.6,27.7,28.6,29.8,29.7,30.6,30.8,31.3,32,32.9,34.3,36.2,36.1,36.1,34.9,35.1,35.2,36.8,36.9,39.6,38.5,39.9,41.6,42,41.9,43.1,43.5,43.3,43.6,45.8,45.1,45.8,46.5,46.6,46.7,46.2,46.9,48.9,49.5,51.9,51.9,54.2,56.2,57.9,56.6,57.9,58.3,58.4,59.5,59.5,59.5,61.5,59.7,59.9,57
"44","35","    Capital transfer payments","W069RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"45","36","    Net purchases of nonproduced assets","AD07RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.4,1.4,1.4,1.3,1.5,1.6,1.4,1.6,1.8,1.6,1.6,1.5,1.8,1.9,1.5,2,2.2,2.2,1.1,1.9,1.4,1.8,1.9,2.4,1.9,2.1,1.7,1.4,0.8,2.3,0,-0.6,0.6,0.5,1.5,1.1,1.2,1.1,1
"46","37","    Less: Consumption of fixed capital","A264RC1",11.5,11.5,11.6,11.4,10.9,10.6,10.5,10.3,10.2,9.9,9.5,9.3,9.1,8.9,9,9.4,9.7,9.9,10.1,10.4,10.6,10.9,11.3,11.5,11.8,12.1,12.2,12.4,12.6,12.9,13.1,13.4,13.5,13.7,14,14.4,14.8,15.1,15.5,15.8,16.2,16.5,16.8,17.1,17,17.3,17.7,18,18.3,18.5,18.7,19,19.3,19.5,19.8,20.1,20.4,20.7,21,21.3,21.7,22,22.5,23,23.3,23.7,24,24.3,24.7,25,25.3,25.5,25.9,26.2,26.6,27,27.3,27.9,28.4,28.9,29.3,29.8,30.5,31.1,31.8,32.4,33,33.7,34.4,35.1,35.7,36.5
"47","38","  Net lending or net borrowing (-)","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.6,-11,-14.2,-18.1,-20.7,-21.6,-20.6,-19.7,-21.9,-21.5,-20.7,-21.3,-18.7,-16.4,-18.3,-18.1,-21.3,-26.3,-22.5,-19.9,-15.7,-16.7,-25.8,-26.1,-22,-22.3,-26.6,-30.8,-40.1,-39.5,-40.3,-38,-35,-37.3,-29.1,-28.7,-17.9,-18.6,-24.8,-25.3
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","of interest receipts. Interest payments to persons and business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","includes interest accrued on the actuarial liabilities of defined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","benefit pension plans for government employees. Miscellaneous receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","on line 9 includes rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
