"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"72",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","    Corporate profits with IVA and CCAdj","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1345.4,1441.2,1590.5
"74","65","      Profits before tax (without IVA and CCAdj)","E561RC1",90.1,79.2,91.4,106.4,131.2,144.1,140.1,179.7,209.4,247.5,266.5,247.3,246.9,199.7,228.8,261.7,251.6,226.7,282.8,331.4,322.3,328,352.8,389.5,429,523.7,592.3,636.8,689.3,625.3,644.1,600.9,520.2,630.2,802.8,1049.6,1414.2,1595.3,1395,975.7,1115.4,1439.7,1410.8,1771.1
"75","66","      Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-56,-10
"76","67","      Capital consumption adjustment","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,86.4,-170.5
"77",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","68","    Proprietors' income with IVA and CCAdj","A1645C1",76.6,77.4,83.4,94.5,111.9,111.7,117.7,130.4,143.9,165.3,178.8,171,179.1,170.5,185.3,227,240,255.5,284.8,324,340,352.9,354.2,400.5,428.6,457.1,482,545,585.2,642.2,699,756.4,835.4,869.8,898.9,959.8,976.6,1050.8,975.7,1022.2,968.3,1027.8,1149.9,1219.1
"79","69","      Farm proprietors' income with IVA and CCAdj","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,72.6,75.4
"80","70","        Proprietors' income with IVA","A043RC1",13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.7,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.8,32.5,40.4,36.8,40.1,27.4,42.6,37.4,33.2,32.9,36.1,36.7,24.4,42.6,55.3,51.8,41.8,44.2,53.5,41.8,51.8,78.5,81.3
"81","71","        Capital consumption adjustment","B044RC1",-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.8,-4.5,-5.6,-6.6,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.7,-5.7,-5.7,-5.6,-5.5,-5.4,-5.4,-5.3,-5,-4.8,-4.7,-4.7,-4.6,-4.5,-4.5,-4.8,-5.5,-5.9,-6.1,-6.5,-6.4,-5.8,-5.9,-5.9
"82","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1",63.7,64.5,70,77.5,82.8,88.2,95.7,113.2,127.9,145.4,156.6,159.3,160.1,157.2,179.1,206.1,219.1,232.7,255.9,297.2,307,320.8,327.4,365.7,397.2,422.4,460,507.7,552.9,613.8,670.9,724.9,803.3,849.9,860.8,909.3,930.2,1014.8,937.6,975.2,932.9,981.8,1077.4,1143.8
"83","73","        Proprietor's income (without IVA and CCAdj)","A1647C1",64.5,65.4,71.3,78.3,84.8,92.1,98.1,115.4,129.7,147.3,158,160.6,156,153,166.2,183.4,187.5,196.4,225.9,267.9,277.7,301.5,310.6,347.2,378.7,408.6,446.4,487.5,522.7,576.9,625.7,672.1,728.4,761.2,767.1,813.2,867.9,944.1,861.1,833.3,791.3,837.1,886.1,998.2
"84","74","        Inventory valuation adjustment","B179RC1",-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.3,-0.9,-1.7,1,0.4,-1.3,-4.6,-4,-3.6,-6.5,-4.6,1.4,-6.3,-8.8,-1.6
"85","75","        Capital consumption adjustment","A2205C1",-0.3,-0.4,-0.7,-0.1,-0.1,-0.5,-1.3,-1.1,-0.7,0,1.2,1.6,5.3,4.6,13.4,23,31.7,36.4,30.9,30.5,30.7,20.3,16.9,19.1,18.9,14.5,15.1,20.7,29.2,35.6,46.1,54.6,74,88.3,95,100.7,66.3,74.3,82.9,146.5,140.3,151,200.1,147.2
"86",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","76","    Proprietors' income with IVA and CCAdj","A1654C1",0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.7,1,1.3,1,1,1.6,1.8,1.9,1.5,1.8,1.9,1.9,2.4,2.5,2.3,2.6,2,1.4,1.3,1.4,1.2,1.2,2.3,2.4,2.9,3.5,4.2,4.7,4.9,5.2,5.8
"88","77","      Proprietors' income with IVA","B1207C1",0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.6,1.9,1.6,1.6,2.2,2.5,2.6,2.2,2.5,2.6,2.6,3.1,3.2,3,3.3,2.6,2,1.9,2,1.8,1.8,2.9,3.1,3.7,4.4,5.2,5.6,5.8,6.2,6.8
"89","78","      Capital consumption adjustment","B1411C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1
"90","79","    Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.4,8.6,8.4,8.5,8.5,9,9.6,10.6,13.8,19.1,23.2,25.3,28.1,32.6,30.2,28.9,27.6,26.6,30.2,34.9,42.9,49.3,53.2,58,61.3,63.9,64.9,64.1,63.1,68.5,66.3,68,70.4,75.5,78.2,87.4,108.7,109.6,126.7,147.6,163.5
"91","80","      Rental income of persons (without CCAdj)","W488RC1",6.9,7.3,7.5,8.7,10.3,10.4,11,11.2,12.2,13.5,15.2,19.1,25,29.5,31.6,34.6,39.1,37.1,36.2,35.1,34.4,38.1,42.8,50.7,57.4,61.7,66.9,70.3,73.1,74.4,74.1,73.8,80,78.1,80.5,84.4,91.3,95.3,104.6,125,124.2,140.7,161.6,177.6
"92","81","      Capital consumption adjustment","B050RC1",-1,-1,-1.2,-1.4,-1.7,-2.1,-2.4,-2.7,-3.2,-3.9,-4.6,-5.3,-5.9,-6.3,-6.3,-6.5,-6.6,-6.9,-7.3,-7.5,-7.8,-7.9,-7.8,-7.8,-8.2,-8.5,-8.8,-9,-9.2,-9.5,-10,-10.7,-11.5,-11.8,-12.6,-14,-15.7,-17.2,-17.2,-16.3,-14.6,-14.1,-14,-14.1
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","separately, but is included in line 17, taxes on production and imports less subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","plus business current transfer payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
