"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"55","47","State and local consumption expenditures \1\","A991RX1",1313.4,1322.6,1332.7,1341.8,1344.9,1351.5,1358.5,1367.1,1380.6,1394.5,1409.2,1420.9,1431.9,1439.8,1443.8,1442.6,1435.8,1431.7,1427.7,1426.1,1428.3,1431.5,1432,1435.1,1436.5,1437.5,1442.5,1443.3,1441.5,1445.1,1452.4,1463.9,1470.1,1474.3,1474.4,1477.7,1473.7,1471.7,1478.6,1485.4,1499.3,1509.6,1511,1513.6,1489.6,1477.2,1462.4,1449.6,1437.5,1428,1421.6,1420.1,1424,1425.2,1429.9,1429.5,1429.9,1431.3,1432.8,1434.3
"56","48","      Gross output of general government","W138RX1",1647.4,1659.1,1671.7,1685.3,1693.8,1704.1,1716.1,1729.7,1750.2,1769.4,1786.9,1801.6,1814,1822.9,1827.8,1827.2,1819.8,1816.1,1813.3,1812.4,1815.7,1820.1,1820.8,1824,1826.6,1828.6,1833.8,1835.5,1840.2,1845.7,1854.1,1863.7,1871.4,1877.7,1879.2,1881.1,1875.3,1873,1880,1887.2,1901.9,1914.4,1917.7,1921.6,1898.3,1888.2,1875.5,1864.7,1855,1848.1,1844.3,1844.4,1849.2,1851.8,1857.2,1856.6,1858.8,1862.6,1866.2,1870.2
"57","49","        Value added","W139RX1",1147.5,1152.1,1159,1166.6,1172.9,1178.3,1183.3,1188.2,1195.6,1204.8,1213.9,1221.2,1225.9,1231.7,1235.9,1236.8,1239.9,1240.7,1240.5,1240.7,1241.7,1244.2,1245.1,1248.1,1250.8,1252.3,1256,1255.4,1257.6,1260.3,1266.2,1272.1,1274.8,1279.7,1282.5,1290.4,1294.8,1296.6,1302.1,1302.1,1303.7,1305.5,1302.9,1303.9,1299.7,1298.4,1292.9,1289.8,1286,1282.6,1279.4,1278.8,1280.4,1280.2,1284.1,1283,1283.3,1284.9,1286.8,1288.4
"58","50","          Compensation of general government employees","B251RX1",1031.8,1034.8,1040.3,1046.4,1051.3,1055.3,1058.8,1062.3,1068.3,1076.2,1083.9,1090,1093.4,1098,1101,1100.8,1103.2,1103.1,1101.9,1101.1,1101.2,1102.7,1102.7,1104.8,1106.6,1107.2,1110,1108.4,1109.7,1111.5,1116.3,1121.2,1122.7,1126.5,1128.2,1135,1138.2,1138.9,1143.2,1142.2,1142.8,1143.7,1140.3,1140.8,1135.7,1133.6,1127.5,1123.7,1119.4,1115.5,1111.7,1110.6,1111.7,1110.9,1114.3,1112.7,1112.6,1113.6,1115.1,1116.2
"59","51","          Consumption of general government fixed capital \2\","B986RX1",115.7,117.1,118.5,119.9,121.3,122.7,124.1,125.5,126.9,128.2,129.5,130.8,132,133.2,134.4,135.5,136.2,137.2,138.2,139.2,140.2,141.2,142.2,143.1,144,145,145.9,146.9,147.8,148.8,149.8,150.9,152,153.2,154.3,155.5,156.6,157.7,158.8,159.9,160.9,161.8,162.6,163.1,164,164.8,165.5,166.2,166.7,167.3,167.9,168.4,169,169.5,170,170.5,171,171.5,171.9,172.4
"60","52","        Intermediate goods and services purchased \3\","W140RX1",500.8,508,513.5,519.5,521.6,526.5,533.4,541.9,554.8,564.7,573.1,580.4,588.2,591.3,592,590.4,579.9,575.4,572.8,571.6,573.9,575.9,575.6,575.9,575.7,576.3,577.7,580.1,582.5,585.2,587.8,591.4,596.4,597.8,596.6,590.8,581,577.1,578.7,585.5,598.4,608.9,614.8,617.6,598.6,589.8,582.7,575,569.3,565.9,565.3,566,569,571.8,573.2,573.7,575.6,577.7,579.4,581.6
"61","53","          Durable goods","B989RX1",18.6,18.9,19.3,19.7,20,20.3,20.7,21,21.5,22,22.2,22.4,22.5,22.4,22.3,22.2,21.9,21.9,22,22.1,22.3,22.4,22.5,22.6,22.7,22.8,22.9,23.1,23.2,23.4,23.6,23.8,24.1,24.3,24.4,24.3,24.1,24,24.1,24.4,24.9,25.1,25.2,25.1,24.5,24.3,24,23.7,23.5,23.4,23.3,23.3,23.3,23.5,23.5,23.3,23.4,23.4,23.5,23.5
"62","54","          Nondurable goods","B337RX1",166.5,169,171,173,173.8,175.4,177.8,180.5,184.6,187.9,190.7,193,195.4,196.3,196.5,195.9,192.3,191.3,191.3,191.8,193.1,194.6,194.8,194.7,194.9,195.3,196.3,197.3,198.1,199.3,200.5,202.5,205.1,206.1,205.8,204.3,200.8,199.6,200.2,203.4,208.2,211.7,213.7,214.6,207.3,204,201.1,198.6,196.6,195.4,195.2,195.7,196.8,197.8,198.4,198.6,199.3,200,200.8,201.5
"63","55","          Services","A988RX1",316.2,320.5,323.8,327.2,328.1,331.1,335.1,340.7,348.9,355,360.4,365.3,370.7,373,373.7,372.7,366.1,362.5,359.9,358.1,359,359.2,358.8,359,358.6,358.6,358.9,360.1,361.6,362.9,364.1,365.3,367.4,367.7,366.6,362.3,356.2,353.6,354.4,357.6,365.2,372.1,375.9,377.9,366.8,361.6,357.6,352.8,349.4,347.1,347,347,349,350.5,351.3,351.7,352.9,354.3,355,356.5
"64","56","      Less: Own-account investment \4\","W144RX1",27,27,27,28,28.8,28.3,29.1,29.1,30.2,31.5,31.2,31.5,31.9,31.8,31.8,31.8,31.5,31.4,31.9,31.8,31.6,32.1,32,32,32.2,32.8,33,33.5,33.6,34.4,34.4,34.5,34.9,35.2,35.3,35.6,35.7,36.1,36.2,36.4,36.7,36.7,36.2,35.1,34.4,34.9,34.9,34.2,33.5,33.3,33.4,33.6,33.2,33.4,33.2,32.9,32.8,33,33.5,33.5
"65","57","      Less: Sales to other sectors","W145RX1",307.3,309.8,312.4,315.8,320.3,324.6,328.7,333.8,339.6,343.6,346.6,349.3,350.3,351.5,352.4,353,352.7,353.3,354,354.7,356,356.7,357,357.1,358.2,358.4,358.5,358.8,365.3,366.5,367.5,365.5,366.6,368.4,369.6,367.9,365.9,365.2,365.2,365.4,366,368.2,370.6,372.8,374.3,376.1,378.2,380.9,384.1,386.9,389.4,390.7,392,393.2,394,394.2,396.1,398.2,399.9,402.2
"66","58","        Tuition and related educational charges","B1065X1",76.2,76.7,77.4,78.2,79,79.4,80.2,80.5,80.4,80.4,80.2,79.9,80,80.1,80.4,80.8,81,81,79.9,79.2,78.3,78,77.5,77.2,77.5,77.5,77.8,78.3,78.5,78.6,78.7,78.5,78.6,78.5,78.4,78.3,78.1,78,78.4,78.6,79.1,79.3,79.1,79.1,80.2,80.5,81.1,82,82.6,83.3,83.7,84.2,84.7,85.1,85.4,85.4,85.7,86.2,86.6,87.1
"67","59","        Health and hospital charges","B1066X1",135.3,136.1,137.1,138.3,139.9,142.2,144.2,147.2,152,154.9,156.8,158,157.3,156.8,155.8,154.7,153.5,152.9,153.3,153.8,154.3,154.5,154,153.1,151,150.1,149.9,150.5,152.4,153.9,155.3,156.5,157.6,158.4,159,159.3,160.3,161.3,162.7,164.3,165.6,166.8,167.6,167.8,169,170,171,172.3,174.2,175.4,176.8,177.7,178.6,179,179.3,179.7,180.4,181.3,182.2,183.3
"68","60","        Other sales \5\","W146RX1",98.3,99.5,100.4,101.7,103.7,105.1,106.6,108,108.9,109.9,111,112.5,114.1,115.6,117.1,118.4,119,120.2,121.3,122.1,123.6,124.3,125.5,126.9,129.7,130.8,130.8,130,134.4,133.9,133.5,130.4,130.4,131.4,132.2,130.1,127.5,125.9,124.2,122.5,121.2,122.1,123.8,125.9,125.1,125.7,126,126.5,127.2,128.1,128.8,128.7,128.7,129.1,129.3,129,129.9,130.7,131,131.7
"69","61","Residual","W100RX1",-6.2,-4.9,-4.4,-2.9,-5.4,-4.8,-4,-4.7,-3.9,-4,-3.4,-4,-3.6,-3.6,-3.3,-2.6,-3.5,-1.1,-0.9,-0.3,-1.4,-0.7,-1,-0.9,-0.8,-1.1,-0.3,-1.1,-0.2,-0.3,-0.1,0.2,-0.1,-0.1,0.4,-0.4,-0.3,-0.3,-0.6,-0.2,0.1,0.2,-0.1,0.1,0,0.2,-0.8,-0.5,-0.4,-0.8,-0.8,-0.3,-0.4,-0.7,-1.1,-0.4,-0.8,-1.6,-1.5,-2.1
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
