"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"69","60","        Imputations (187-189+194-195+197-198)","Y519RC1",-10.5,-11.5,-12.8,-13.1,-11.4,-13,-19.4,-19.5,-23.4,-21.6,-23.9,-27.6,-29,-30,-34.6,-86.3,-82.4,-80.9,-92.3,-102.3,-104.8,-113.8,-105.8,-103.8,-93.9,-95.3,-89.3,-78.7,-78.7,-62.7,-49.1,-35.6,-29.9,-28.2,-16.6,-7.2,-3.7,16.7,-3.5,-36.2,-5.2,3.8,12.1,33.2
"70","61","        Excluding imputations (59-60)","Y520RC1",62.4,55.9,67.4,78.5,79.9,68.5,92,112,135.6,152.4,148.2,128.5,162.5,160.8,198.7,290,299.4,256.1,279.9,318.6,305.8,309.5,342.1,357.3,368,446.1,481.6,531.3,591.5,515.7,498.5,405.5,410.2,584.2,662.5,779.4,830,900.2,733.5,605.5,775.6,971,1054.9,1122.5
"71","62","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.9,442.5,545.1,613.6
"72","63","          Imputations (196)","Y615RC1",2,2.3,2.7,2.9,3.4,4.2,4.6,5.2,6.6,8.2,9.8,10.8,12.8,15.2,17.1,14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,51.4,51.3,54.1
"73","64","          Excluding imputations (62-63)","Y676RC1",18.4,18,17.7,19,19.7,19.3,21.8,24.8,27.1,31.4,31.6,36.5,45.5,46.2,54.2,64.4,69.7,71.6,78,79.8,106.1,121.9,131.7,135,156.9,168.3,194.6,228.2,255.2,277.8,269.5,319.2,294.7,318,366,458.6,269.3,591.2,616,566.9,403.4,391.1,493.9,559.4
"74","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",31.4,24,34.3,43.4,45.4,32,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92,89.3,153,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.5,532.3,521.8,542.2
"75","66","          Imputations (187-189+194-195-196+197-198)","Y677RC1",-12.5,-13.8,-15.5,-16.1,-14.8,-17.2,-24,-24.7,-30,-29.8,-33.7,-38.4,-41.8,-45.2,-51.7,-100.4,-98.4,-97.7,-110,-120.6,-125,-136.1,-130.3,-130.3,-121.8,-124.8,-120.9,-113.6,-115.8,-99.8,-85.9,-71.8,-65.1,-62.4,-52.5,-50.3,-54,-40.2,-66,-97.4,-58.7,-47.6,-39.2,-20.9
"76","67","          Excluding imputations (65-66)","Y678RC1",44,37.9,49.8,59.5,60.2,49.2,70.2,87.1,108.5,121,116.6,92,117,114.7,144.5,225.7,229.7,184.6,201.9,238.8,199.7,187.6,210.4,222.3,211.1,277.8,287,303,336.4,237.9,229,86.3,115.6,266.2,296.6,320.8,560.6,309,117.6,38.6,372.2,579.8,561,563.1
"77","68","    Current surplus of government enterprises","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-23.8,-27.7
"78","69","      Imputations (-191)","Y514RC1",-0.9,-1.1,-1.4,-1.5,-1.6,-1.6,-1,-0.8,-0.4,-0.4,-0.1,0.3,0.7,0.9,1.2,0.9,1.1,1.5,2.4,2.8,2.2,2.1,2.7,2.2,2.7,2.9,3.1,3.2,3.4,3,2.3,1.8,1.2,0.9,-2.4,-2.4,-2.4,-1.8,-1.9,-2,-1.2,-3.7,-3,-2.6
"79","70","      Excluding imputations (68-69)","Y679RC1",0.9,-0.1,-0.3,0.4,-0.6,-1.1,-3.4,-2,-2.9,-2.4,-3.1,-5.4,-5.9,-4.7,-3.5,-2.3,0.2,0.5,-0.3,2.2,4.5,1.1,5.2,7.7,8.1,9,12.5,13.7,14.1,13.3,13.9,9,3.9,6.1,6.3,0.6,-4,-7.5,-14.5,-19.2,-19.4,-19.2,-20.8,-25.1
"80","71","  Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2452.6,2542.9
"81","72","    Imputations (164+167+212)","A2092C1",48,52,56.1,60,65.7,75,83.7,90.5,99.8,111.7,125.8,142.9,160,174.2,184.5,197.6,211.5,228.1,246.5,265.9,285,302.4,317.9,329.5,345.6,361.5,378.8,390.4,404,420.7,444.9,474.7,501.8,524.4,557.4,604.3,663.3,718,760.2,785.2,788.7,799.5,819.3,839.3
"82","73","    Excluding imputations (71-72)","A2093C1",76.8,84.7,92.7,100.9,112.4,131.2,153.9,168.7,188.6,213.4,245.3,283.1,325.1,360.1,376.1,396.7,425.2,454.1,481.4,516.5,551.1,584.4,613.3,630.3,658,694,744,785.6,836,889.6,955.9,1039.6,1102.2,1137.7,1169.8,1227.4,1318.6,1418,1504.1,1578.2,1579.7,1582.1,1633.3,1703.6
"83",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","74","Personal income","A065RC1",800.3,864.6,932.1,1023.6,1138.5,1249.3,1366.9,1498.1,1654.2,1859.5,2077.9,2316.8,2595.9,2778.8,2969.7,3281.3,3515.9,3725.1,3955.3,4275.3,4618.2,4904.5,5071.1,5410.8,5646.8,5934.7,6276.5,6661.9,7075,7587.7,7983.8,8632.8,8987.1,9149.5,9487.6,10049.2,10610.3,11389.8,11995.7,12430.6,12082.1,12435.2,13191.3,13743.8
"85","75","  Imputations (163-158+170+181+188+195+196-197+198+199+203+204+205+206+211)","A2106C1",74.1,84.3,93.6,101.3,103.2,113.3,132.2,134.5,145.2,164,174.4,185.1,198.6,217.9,259,304.4,331.4,338.6,359.1,397.3,432,463.7,488.5,558.1,602.5,647,655.8,663.1,680.8,708.8,745.9,785,838.9,895.6,976.5,1050.4,1075.7,1046.7,1045.6,1144.6,1233.5,1306.9,1377.8,1426.9
"86","76","  Excluding imputations (74-75)","A2107C1",726.2,780.2,838.5,922.3,1035.3,1136.1,1234.7,1363.6,1509,1695.5,1903.6,2131.7,2397.3,2561,2710.7,2976.9,3184.4,3386.5,3596.3,3878,4186.2,4440.8,4582.6,4852.6,5044.3,5287.7,5620.7,5998.8,6394.2,6878.9,7237.9,7847.8,8148.2,8254,8511.1,8998.8,9534.6,10343.1,10950.1,11286,10848.5,11128.2,11813.5,12316.9
"87","77","  Compensation of employees","W209RC1",586,625.1,667,733.6,815,890.3,950.2,1051.2,1169,1320.2,1481,1626.2,1795.3,1894.3,2013.9,2217.4,2389,2543.8,2724.3,2950,3142.6,3342.7,3452,3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6365.4,6740.5,7087.8,7503.2,7899.1,8079.2,7787.8,7967.3,8278.5,8611.6
"88","78","    Imputations (188+202)","Y506RC1",23.6,25.5,27.4,30.3,27.8,27.8,34.3,32.3,35.8,40.1,45.5,50.9,59.4,70,82.8,85.3,100.9,117.6,129,153.2,185.5,210.1,223.1,263.9,278.5,286.4,283.8,298,313.7,341.3,382.2,422.6,450,443.3,447.4,519.7,555.8,569.3,596.6,569.8,565.8,572.9,577.7,571.2
"89","79","    Excluding imputations (77-78)","W519RC1",562.4,599.6,639.7,703.3,787.2,862.6,915.9,1018.9,1133.2,1280.1,1435.5,1575.3,1735.9,1824.3,1931.1,2132.1,2288.1,2426.2,2595.3,2796.9,2957,3132.6,3228.9,3407.2,3542.2,3723.7,3918.9,4124.1,4401,4736.5,5028.1,5434,5596.5,5698.6,5918,6220.8,6531.9,6933.8,7302.6,7509.4,7222,7394.4,7700.8,8040.5
"90","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1155.1,1224.9
"91","81","    Imputations (199+211)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.7,2.3,0.7,0.2,0.8,0.8,0.9
"92","82","    Excluding imputations (80-81)","A2102C1",76.3,77,83,94.1,111.2,110.8,116.8,128.8,141.7,162.9,176.2,169.2,177.6,169.3,183.4,225.3,238,252.9,283.2,322.7,339.1,351.5,353.6,399.1,427.5,456.1,481.7,544.4,584.8,641.3,697.2,755,834,868,897,958.3,974.7,1050,976.9,1025.8,972.8,1031.9,1154.3,1224
"93","83","  Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,484.4,541.2
"94","84","    Imputations (163)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327.4,367.3
"95","85","    Excluding imputations (83-84)","A2103C1",6,6.2,6.4,7.5,8.7,8.5,8.6,8.6,9.1,9.8,10.8,14.1,19.6,24,26.2,29.1,33.7,31.4,30.1,28.7,27.8,31.4,36.2,44.5,51,55.3,60.7,64.2,67.1,68.6,67.9,66.9,72.8,71,72.7,75.2,80.4,83.2,93,114.9,116.9,134.7,157,173.8
"96","86","  Personal income receipts on assets","W210RC1",98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278,318.3,386,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1811.8,1739.6,1884.6,1958.5
"97","87","    Imputations (170+181+195+196)","Y507RC1",28.7,36.4,41,45.6,49.4,57,70,72.7,81,95.2,104.4,115.4,129,155,194,194.3,221.4,239,254,264.6,276.6,286,294.5,314,324.4,342.4,355.3,357.3,370.5,371.2,373.7,380.9,391.3,419,442.3,461.7,477.9,484.9,506.3,549.4,570.6,575.6,586.5,602
"98","88","    Excluding imputations (86-87)","Y508RC1",70,76.2,81.4,87.7,101.3,118.4,125.2,139.9,162.4,182.8,214,270.6,343.9,386.2,390.3,470.7,491.4,516.4,525.9,574.8,675.4,705.2,691,668.2,664.2,687,758.8,819.2,887.9,971.4,955.9,1072.6,1050,971.4,978.2,1042.1,1188.5,1453.5,1660.4,1617.7,1241.2,1164.1,1298.1,1356.5
"99","89","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1280.3,1342.9,1416.7,1512,1609.6,1722.8,1884,2140.2,2276.9,2306.9,2358.3
"100","90","    Imputations (-158-197+198)","A2111C1",7,7.8,9.8,9.9,10.9,13.2,13.9,16.8,19.9,19.7,16.8,12.3,4,-9.7,-20.2,24.7,12.2,-10,-15.1,-17.5,-27,-32.3,-33.9,-38.7,-41.8,-43.9,-51.5,-74.8,-88.6,-105,-125.5,-138.9,-136.6,-112.3,-77.1,-109.7,-114.8,-129.2,-149.4,-115.6,-111.6,-101.3,-105.3,-105.3
"101","91","    Excluding imputations (89-90)","A2112C1",55.3,66.9,78.3,88,101.7,120.1,156.1,167.2,174.3,189.9,218.5,267.2,314.4,364.5,403.9,375.4,412.7,461,482.7,513.9,569.6,627.2,699.8,784.4,832.6,870.2,930.4,998.9,1037.8,1082.9,1147.1,1222,1324.7,1392.6,1419.9,1526.4,1626.8,1738.8,1872.2,1999.5,2251.8,2378.2,2412.2,2463.6
"102","92","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,918.2,950.7
"103","93","    Imputations (207)","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.6,5.1,5.6,6.3,6.5,7,8.1,9.1,9.3,9.2
"104","94","    Excluding imputations (92-93)","W531RC1",43.7,45.8,50.3,58.3,74.7,84.3,88,99.8,111.7,130.1,151.4,164.7,194.1,207.4,224.2,255.7,279.5,301.4,320.9,359,382.6,407.1,426.8,450.8,473.3,504.7,529.7,552.1,584.4,621.8,658.3,702.7,729.7,747.7,774.7,824.1,867.7,916.3,954.9,981.2,956.3,975,908.9,941.5
"105","95","Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.3,1000.9,1046,1208.5,1352.1,1487.9,1435.2,1144.9,1191.5,1404,1498
"106","96","  Imputations (-157)","A2115C1",-12.7,-14.4,-15.8,-17.1,-18.5,-19.8,-21.8,-24.1,-26.6,-27.2,-28.1,-30.6,-33.9,-37,-39.4,-42.3,-44.9,-47.5,-51.8,-55.2,-59.8,-63.5,-68.2,-70.5,-70.3,-73.7,-73.8,-76.2,-78.9,-80.2,-83,-85.7,-90.5,-97.4,-103.1,-109.4,-117.5,-125.1,-134.4,-137.6,-144.7,-144.6,-145.2,-146.9
"107","97","  Excluding imputations (95-96)","A2116C1",117.2,117.5,117.5,140.7,150.9,170.8,169.4,196.4,224.1,256.6,296.7,329.4,379,391.1,391.7,419.7,462.2,484.7,540.8,560.1,625.9,656.2,654.8,681,716.9,764.2,817.7,908.1,1005,1106.7,1190.5,1317.9,1325.3,1147.7,1104,1155.4,1326.1,1477.2,1622.3,1572.8,1289.6,1336,1549.2,1644.9
"108","98","Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.3,5000.2,5244.2,5532.6,5829.9,6148.9,6561.3,6876.3,7400.5,7752.3,8099.2,8486.7,9003.2,9401.8,10037.7,10507.9,10995.4,10937.2,11243.7,11787.4,12245.8
"109","99","  Imputations (75-96)","A2117C1",86.8,98.8,109.5,118.4,121.7,133,154,158.5,171.8,191.2,202.4,215.6,232.5,254.8,298.4,346.7,376.3,386.1,410.9,452.5,491.8,527.2,556.7,628.6,672.8,720.8,729.6,739.3,759.7,789,828.9,870.6,929.4,992.9,1079.6,1159.8,1193.3,1171.8,1180,1282.2,1378.2,1451.5,1523.1,1573.7
"110","100","  Excluding imputations (98-99)","A2118C1",609,662.8,721,781.5,884.5,965.2,1065.3,1167.2,1284.9,1438.8,1606.8,1802.3,2018.2,2169.9,2319,2557.1,2722.2,2901.8,3055.4,3317.9,3560.4,3784.5,3927.8,4171.6,4327.4,4523.4,4802.9,5090.6,5389.2,5772.3,6047.4,6529.9,6822.9,7106.3,7407.1,7843.4,8208.5,8865.9,9327.8,9713.2,9559,9792.2,10264.3,10672.1
"111","101","Personal outlays","A068RC1",620.7,665.5,720.3,790.7,874.3,956.6,1060.3,1178.5,1308.5,1463.5,1631.7,1804.8,1998.3,2147,2370.4,2591.8,2833.4,3018.5,3214.2,3475.7,3735.6,3976.3,4118.6,4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6583.3,7102.6,7421.1,7695.3,8075.9,8590,9159.1,9700.8,10190.6,10444,10266.5,10609.5,11119.1,11558.4
"112","102","  Imputations (5-162+227)","A2119C1",28.9,37.1,33.1,29,29.4,46.2,61.5,52.5,39.4,42.7,53.7,85,104.1,133.4,132,119.4,151.8,141.5,146,169.9,198,239.5,282,308.9,347.7,366.8,390.1,389.9,392.7,403.1,434.2,482.2,489.9,508.4,524.2,514.4,487.4,519.5,670.6,906.3,1082.4,1165.3,1261,1287.5
"113","103","  Excluding imputations (101-102)","A2120C1",591.8,628.4,687.2,761.8,844.9,910.4,998.8,1126,1269.1,1420.8,1578,1719.7,1894.1,2013.7,2238.4,2472.4,2681.6,2877,3068.2,3305.7,3537.7,3736.9,3836.6,4065.3,4284.9,4546,4789.6,5094.8,5403.9,5752.8,6149.1,6620.4,6931.1,7186.9,7551.7,8075.6,8671.7,9181.4,9520,9537.7,9184.1,9444.2,9858.2,10270.9
"114","104","Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,293,297.9,331.2,403.9,410.8,413.2,242.7,336.9,317.2,551.3,670.7,634.2,668.2,687.4
"115","105","  Imputations (198+208-164-167)","A2121C1",57.9,61.7,76.3,89.5,92.2,86.8,92.5,106,132.4,148.5,148.7,130.6,128.4,121.4,166.4,227.3,224.5,244.6,264.8,282.6,293.8,287.8,274.7,319.7,325.1,354,339.6,349.4,366.9,385.9,394.7,388.5,439.4,484.5,555.4,645.4,705.8,652.4,509.4,375.9,295.8,286.2,262.1,286.2
"116","106","  Excluding imputations (104-105)","A2122C1",17.1,34.4,33.8,19.7,39.6,54.9,66.5,41.3,15.8,18.1,28.8,82.6,124.1,156.3,80.6,84.8,40.6,24.8,-12.8,12.2,22.7,47.7,91.2,106.3,42.5,-22.6,13.4,-4.2,-14.7,19.5,-101.7,-90.5,-108.2,-80.6,-144.6,-232.2,-463.2,-315.5,-192.2,175.5,374.9,348,406.1,401.2
"117",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","107","Government current receipts","W021RC1",282.5,285.7,302.1,345.4,388.5,430,440.9,505,566.7,645.4,728.6,798.7,918,939.9,1001.1,1113.9,1216,1291.7,1405.5,1505.5,1629.8,1710.9,1761,1846,1950.1,2094,2218.2,2382.3,2559.3,2731.7,2903.4,3133.1,3118.2,2967,3042.8,3265.1,3663.5,4001.8,4202.4,4043.8,3691.2,3885,4074.1,4259.2
"119","108","  Imputations (171+182+207-191)","W568RC1",0.9,1.4,1.8,1.8,1.5,1.8,3.6,3.8,4.2,3.4,3.1,3.1,3.2,4.8,6.3,5.4,8.5,9.5,9.2,9.6,9,8.9,10.3,10.4,10.9,10.7,10.9,10.9,11.2,10.8,11,10.9,9.4,9.7,7.5,8.1,8.9,10.5,10.6,10.5,11.5,10.5,11.1,11.8
"120","109","  Excluding imputations (107-108)","W514RC1",281.6,284.3,300.4,343.6,387.1,428.2,437.3,501.2,562.4,642,725.5,795.5,914.9,935.1,994.9,1108.5,1207.5,1282.2,1396.3,1495.9,1620.7,1702,1750.7,1835.6,1939.2,2083.3,2207.4,2371.3,2548.2,2720.9,2892.4,3122.3,3108.8,2957.3,3035.3,3257,3654.6,3991.3,4191.9,4033.3,3679.7,3874.5,4063,4247.4
"121","110","Government current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.1,630.1,691.8,764.9,879.5,999.7,1109.6,1204.9,1285.4,1391.4,1483.9,1556.6,1645.9,1779,1918.3,2032.3,2216.1,2299.1,2374.6,2490.6,2573.2,2648.8,2713.6,2827.6,2967.3,3169.5,3358.9,3567.8,3773.2,4035.6,4269.3,4541.8,4844,5213,5451.8,5535.4,5621.6
"122","111","  Imputations (171+182+190+194+207+212-213)","A2047C1",-2.1,5.7,13.5,16.6,14.6,11,10,5.6,7.2,5.6,-2.3,-10.2,-10.5,-8.2,-13.1,-35.1,-51.2,-59.1,-68.5,-58.2,-47,-55.9,-42.2,-20.8,-9.3,-4.7,-3.4,-20.8,-25.2,-35.7,-52,-64,-61.2,-65.6,-48.7,-44.6,-52.6,-68.6,-109.1,-134.1,-72.5,-52.1,-32,4.4
"123","112","  Excluding imputations (110-111)","A2114C1",285.6,311.8,338.8,369.2,402,457.3,533.4,576.4,622.9,686.2,767.2,889.7,1010.2,1117.9,1218,1320.4,1442.6,1543,1625.2,1704.1,1826,1974.2,2074.5,2237,2308.4,2379.3,2494.1,2594.1,2674.1,2749.3,2879.6,3031.3,3230.7,3424.5,3616.5,3817.8,4088.1,4338,4650.9,4978.1,5285.5,5504,5567.4,5617.2
"124","113","Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.8,165.8,-51.3,-391.9,-524.9,-508.1,-372,-267.5,-339.4,-800.2,-1521.7,-1566.8,-1461.3,-1362.3
"125","114","  Imputations (213-190-191-194-212)","A2010C1",3,-4.3,-11.8,-14.8,-13.1,-9.2,-6.4,-1.8,-3,-2.2,5.4,13.3,13.7,13.1,19.4,40.5,59.7,68.6,77.8,67.8,56,64.9,52.5,31.2,20.2,15.4,14.3,31.8,36.4,46.6,63,74.9,70.6,75.4,56.3,52.7,61.5,79.1,119.7,144.6,84,62.6,43.1,7.5
"126","115","  Excluding imputations (113-114)","A2011C1",-4,-27.5,-38.5,-25.6,-14.9,-29.1,-96.1,-75.2,-60.5,-44.2,-41.7,-94.2,-95.3,-182.8,-223.1,-211.9,-235.1,-260.8,-228.8,-208.2,-205.2,-272.2,-323.8,-401.4,-369.2,-296,-286.7,-222.7,-125.9,-28.5,12.8,90.9,-121.9,-467.2,-581.2,-560.9,-433.5,-346.6,-459.1,-944.7,-1605.8,-1629.4,-1504.4,-1369.8
"127",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","116","Current receipts from the rest of the world","A120RC1",63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682,740.7,763.3,785.1,810.4,905.5,1042.6,1114,1233.8,1239.7,1310.6,1477,1354.1,1320.5,1399.5,1634.6,1886.1,2202.7,2541.3,2699.9,2227.5,2563.5,2904,3014.5
"129","117","  Imputations (173+185+186)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,6.4,5.9,5.9,6,5.5,5.6,6.7,8.2,9.7,9.6,8.7,8.7,9,8.7,9.7,9.8,10.7,11.6,13.1,10.3,14.2,15,18.2,18.2,16.4,16.4,16.2
"130","118","  Excluding imputations (116-117)","W523RC1",63.3,72.1,76.5,86.6,118.2,155.5,165.1,180.7,195.3,232,297.5,359.1,396.8,382.7,375.4,421.1,409.9,425.9,481.3,590.8,676,735.2,757.7,778.4,802.2,895.8,1033,1105.2,1225.1,1230.8,1301.8,1467.3,1344.3,1309.8,1387.9,1621.4,1875.8,2188.5,2526.3,2681.7,2209.3,2547.1,2887.5,2998.3
"131","119","  Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633,654.8,720.9,812.8,867.6,953.8,952.9,989.2,1094.3,1028.8,1004.7,1043.4,1183.1,1310.4,1478.5,1665.7,1843.1,1583.8,1843.5,2101.2,2195.9
"132","120","    Imputations (173+179+185)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,6,5.3,5.3,5.2,4.6,4.5,5.6,6.9,8.2,8.1,7.5,7.5,7.1,6.7,7.2,6.1,6.2,6.6,7.2,7.1,8.3,8.3,9.6,9.4,9.3,10.3,10.7
"133","121","    Excluding imputations (119-120)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,982.5,1087.2,1022.7,998.5,1036.7,1176,1303.3,1470.2,1657.4,1833.6,1574.4,1834.2,2090.9,2185.2
"134","122","  Income receipts from the rest of the world","B645RC1",11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,321.4,382.7,325.3,315.8,356.1,451.4,575.8,724.2,875.5,856.8,643.7,720,802.8,818.6
"135","123","    Imputations (-179+186)","W526RC1",-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.3,0.5,0.7,0.6,0.8,0.9,1,1.1,1.3,1.5,1.5,1.3,1.3,1.8,2,2.5,3.7,4.4,5,6,3.3,5.9,6.7,8.6,8.8,7.1,6.1,5.5
