"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"29","21","    Other services","DOTSRA3",34.471,34.762,35.022,35.487,35.964,36.035,36.274,35.968,36.038,36.131,36.076,36.584,37.19,37.394,37.91,38.636,38.872,39.069,38.887,38.58,38.027,37.853,37.179,37.358,37.433,37.706,38.011,38.498,38.958,38.861,39.308,40.304,40.653,40.897,41.367,42.238,43.087,43.479,43.803,43.529,43.612,43.55,44.015,44.264,43.783,43.449,43.232,43.992,43.687,43.484,43.241,43.176,43.4,44.018,44.417,45.364,45.993,47.068,47.355,48.354,48.679,48.801,49.894,50.872,51.706,52.848,53.771,53.658,53.325,53.062,53.695,54.229,56.331,57.085,57.685,58.259,59.298,59.07,59.874,60.336,60.72,61.338,61.861,62.078,62.598,63.074,63.13,61.464,60.575,60.298,60.193,60.193,61.355,62.335,63.368,63.722,63.213,63.526,64.437,65.09,65.865,66.131,67.024,67.251,67.676,68.052,67.764,68.286,69.482,69.695,71.585,70.412,72.341,73.414,74.863,76.47,78.186,79.066,80.936,81.115,82.211,83.312,84.267,85.459,87.257,88.965,90.731,91.164,91.269,93.198,93.115,92.668,92.744,92.887,92.393,92.548,94.429,94.565,95.267,95.152,96.355,96.68,97.293,97.476,97.941,97.474,97.702,98.416,99.257,100.298,100.669,101.71,102.901,103.223,102.403,102.238,102.811,102.215,101.839,101.88,100.675,99.407,99.644,100.273,100.327,100.67,101.281,101.679,102.282,102.286,102.393,102.914,104.122,103.964,104.35,104.397,103.65,103.551,103.81,104.267
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.154,5.183,5.259,5.364,5.453,5.529,5.679,5.613,5.682,5.795,5.938,6.157,6.094,6.155,6.093,6.442,6.295,6.371,6.145,6.182,6.185,6.172,6.1,6.141,6.061,6.114,6.205,6.354,6.531,6.55,6.562,6.593,6.573,6.575,6.635,6.908,6.911,6.977,6.951,7.102,7.337,7.32,7.005,7.218,7.337,7.375,7.728,7.941,7.98,7.933,8.267,8.725,9.128,9.462,9.807,10.205,10.679,10.829,11.331,11.967,12.241,12.751,13.255,13.912,13.753,14.052,14.239,14.257,15.031,16.019,16.326,16.551,16.784,17.024,17.453,17.745,18.713,19.45,20.267,20.905,21.127,22.229,23.392,24.495,25.143,27.001,29.031,29.887,30.475,30.963,32.12,33.299,35.577,37.584,39.248,40.797,40.643,40.79,41.898,42.439,43.525,44.651,45.821,46.297,46.55,47.002,47.219,48.128,49.715,50.266,50.572,49.13,46.199,45.738,45.613,46.253,47.825,49.426,51.342,53.231,53.647,54.099,54.529,55.246,57.132,57.43,59.656,61.483,61.85,63.207,64.348,65.754,67.009,68.981,71.79,73.605,73.711,74.817,75.166,75.3,76.53,76.26,76.033,75.971,73.421,75.319,75.763,79.747,82.927,85.838,87.353,86.77,87.126,86.024,87.363,91.508,94.032,97.636,100.637,104.189,101.055,98.862,98.99,101.092,101.167,102.064,100.505,99.549,99.073,99.653,103.82,101.631,102.528,106.281,107.182,109.528,104.186,103.168,104.354,103.764
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",22.655,22.975,23.198,23.565,23.909,23.996,24.463,24.736,25.173,25.784,26.307,26.756,27.105,27.395,27.506,27.95,28.186,28.515,28.038,28.369,28.359,28.731,28.646,28.842,29.209,29.666,29.574,30.52,31.07,31.125,31.458,31.712,32.044,32.528,32.488,33.113,33.637,34.403,34.498,34.77,35.053,35.38,35.111,35.642,35.823,35.693,36.722,37.2,37.342,37.758,37.99,38.358,38.689,39.35,39.691,40.254,40.607,40.876,41.013,41.485,41.806,42.204,42.559,43.122,43.235,43.517,44.137,44.689,45.393,46.066,46.227,46.565,47.055,47.645,48.305,48.696,49.545,50.166,51.007,51.326,51.526,51.998,52.555,53.288,54.013,55.166,56.278,56.464,56.555,57.112,57.774,58.668,59.546,60.364,61.14,61.493,61.734,61.899,62.414,62.506,62.78,63.245,63.757,64.113,63.94,64.159,64.378,64.808,65.062,65.781,66.165,66.841,66.355,66.505,67.072,67.719,68.973,69.646,70.583,71.298,71.765,72.146,72.686,73.451,74.078,74.786,75.617,76.576,77.426,78.248,79.316,80.462,81.861,83.232,84.321,84.754,84.87,85.105,85.396,85.651,86.297,86.925,87.936,88.798,88.342,89.151,90.155,90.993,91.996,92.866,93.614,94.119,94.797,94.837,95.356,96.226,97.28,97.935,98.768,99.543,99.666,99.876,100.206,100.252,99.999,101.067,101.678,102.275,102.073,102.433,102.412,103.301,104.677,105.002,106.107,106.415,105.61,106.491,107.041,108.557
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",35.306,35.92,36.2,36.717,37.225,37.214,37.83,38.584,39.344,40.364,41.117,41.513,42.428,42.891,43.287,43.345,44.227,44.736,44.297,44.912,44.881,45.719,45.727,46.042,47.044,47.891,47.454,49.1,49.824,49.896,50.577,51.038,51.799,52.825,52.59,53.235,54.346,55.814,56.078,56.282,56.302,57.036,57.247,57.845,57.937,57.566,58.883,59.382,59.585,60.56,60.287,60.059,59.915,60.596,60.626,61.016,60.888,61.16,60.613,60.532,60.73,60.736,60.688,60.835,61.271,61.403,62.297,63.281,63.57,63.568,63.49,63.836,64.449,65.228,65.922,66.289,66.738,67.049,67.675,67.595,67.726,67.521,67.442,67.744,68.414,68.871,69.192,68.911,68.688,69.259,69.571,70.236,70.259,70.393,70.68,70.431,70.877,71.06,71.296,71.179,71.071,71.228,71.437,71.739,71.38,71.498,71.718,71.94,71.619,72.409,72.825,74.414,74.989,75.408,76.28,76.934,78.046,78.294,78.772,78.939,79.42,79.763,80.348,81.127,81.157,82.052,82.21,82.745,83.816,84.365,85.381,86.385,87.831,88.899,89.177,88.981,89.112,88.973,89.244,89.555,89.962,90.957,92.468,93.697,94.075,94.444,95.67,95.261,95.412,95.49,95.944,96.866,97.667,98.14,98.344,97.983,98.485,98.046,98.082,97.852,99.16,100.226,100.634,99.981,99.615,100.739,102.071,103.183,103.071,103.356,101.959,103.848,105.378,104.604,105.774,105.438,106.058,107.539,107.884,110.074
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",24.407,24.627,24.756,24.915,25.017,25.171,25.381,25.241,25.799,26.09,26.419,26.938,27.407,27.856,28.346,29.032,29.801,29.905,30.008,30.023,29.953,30.033,30.007,29.472,29.836,30.238,30.767,31.313,31.893,32.1,32.438,32.798,33.315,33.66,33.981,34.536,34.763,35.8,36.002,36.297,36.435,36.534,37.01,37.077,36.982,36.042,36.65,37.318,37.654,37.491,37.734,37.281,37.532,37.729,38.132,38.921,39.391,40.26,40.955,41.712,42.287,42.818,43.242,43.905,44.687,45.258,46.194,46.224,46.679,47.27,48.321,48.596,48.69,49.386,50.127,50.232,51.115,51.472,51.949,52.619,52.857,53.245,53.817,53.863,54.672,54.678,54.889,54.529,54.351,54.713,55.03,55.161,56.365,56.743,57.465,58.161,58.421,59.038,59.642,60.24,60.958,61.411,62.017,62.804,62.98,63.569,64.198,64.732,65.285,66.095,66.661,67.195,68,68.339,69.653,70.501,71.401,72.678,73.698,75.003,75.753,76.94,77.9,79.123,80.688,81.288,82.172,82.822,83.236,83.618,83.915,85.336,85.669,86.071,86.71,86.981,87.46,88.6,89.972,90.67,91.636,92.268,93.276,94.228,94.915,96.062,96.812,97.12,98.543,98.948,99.527,100.551,101.138,101.615,102.085,102.384,102.14,102.411,101.9,100.51,100.039,99.54,100.242,100.179,100.654,101.648,102.329,103.407,104.103,104.647,105.241,106.106,107.092,107.347,107.82,108.544,108.896,109.512,110.19,111.094
"35","26","  Energy goods and services \5\","DNRGRA3",60.49,60.55,61.421,62.6,63.474,63.141,64.224,63.997,65.194,66.106,65.638,66.013,66.981,68.136,69.066,72.318,72.099,72.161,73.17,71.951,65.658,68.352,69.729,71.59,70.288,72.139,71.792,70.598,72.277,73.105,74.767,77.996,76.765,75.091,77.513,77.533,79.007,79.233,78.425,78.505,80.867,77.768,76.033,75.718,74.959,73.465,73.302,73.762,71.98,73.336,72.781,73.093,74.429,73.636,72.444,72.294,72.834,74.159,76.185,76.79,75.133,77.049,76.345,76.786,78.976,76.688,77.831,78.72,77.973,79.419,80.166,81.317,80.22,83.065,81.807,82.275,84.349,84.641,85.447,85.732,86.324,85.103,85.404,89.572,83.392,85.608,86.678,84.563,83.854,87.317,86.948,85.324,85.315,87.671,87.691,89.196,89.364,89.181,92.14,91.873,92.613,93.211,91.71,90.249,90.996,93.447,94.657,93.65,96.491,96.079,93.884,95.114,94.378,95.691,95.627,98.265,96.765,99.638,100.277,97.017,98.619,100.827,101.598,99.243,96.598,100.011,100.657,103.049,101.857,98.009,98.982,98.313,98.402,100.816,101.336,103.037,101.955,101.751,101.226,102.853,103.14,103.29,101.901,103.113,104.155,103.391,103.456,103.623,100.341,102.126,103.563,103.104,104.292,103.591,103.359,100.83,101.436,100.23,96.286,99.394,101.241,100.137,99.368,99.253,100.083,100.164,101.469,101.788,100.125,98.224,98.945,97.103,94.743,98.493,98.623,95.462,99.617,99.284,97.478,98.201
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.135,53.891,54.568,54.679,55.586,56.025,56.49,57.161,57.353,57.575,58.121,58.354,58.808,58.923,59.072,58.577,58.149,58.622,58.864,58.783,59.821,60.13,60.729,61.399,61.568,62.086,62.697,63.198,63.866,64.383,64.912,65.656,65.723,66.309,67.029,67.509,68.048,68.867,69.168,69.968,70.634,70.909,72.155,72.991,73.618,74.907,75.787,76.91,77.745,78.918,79.839,80.962,82.003,82.818,83.542,84.336,84.718,84.833,85.203,86.577,86.848,87.354,88.027,88.327,88.675,89.821,91.163,91.881,92.749,93.274,94.164,95.148,95.92,96.972,97.751,97.953,98.931,99.449,100.073,101.092,101.693,102.026,102.49,102.629,102.322,102.533,101.587,100.114,99.873,99.582,100.281,100.264,100.796,101.538,102.252,103.436,103.982,104.412,104.871,105.59,106.346,106.937,107.482,108.008,108.731,109.224,109.696,110.65
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.774,50.509,51.347,51.452,52.28,52.678,53.157,53.879,54.038,54.399,54.959,54.952,55.77,55.673,55.785,55.371,54.932,55.268,55.547,55.624,56.785,57.049,57.729,58.37,58.562,59.153,59.669,60.214,60.87,61.345,62.004,62.859,62.914,63.503,64.264,64.821,65.269,66.183,66.644,67.472,68.212,68.503,69.879,70.708,71.492,72.761,73.673,75.022,75.802,76.954,77.893,79.149,80.547,81.183,81.963,82.659,83.183,83.457,83.853,85.437,85.772,86.218,86.924,87.105,87.486,88.823,90.252,91.008,91.903,92.493,93.529,94.498,95.185,96.417,97.238,97.346,98.686,99.066,99.668,100.753,101.354,101.846,102.399,102.715,102.348,102.654,102.023,100.272,99.886,99.537,100.343,100.234,100.71,101.651,102.352,103.565,104.304,104.928,105.437,106.457,107.476,107.805,108.395,109.259,109.715,110.359,110.989,111.975
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
