"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11645,11716,11796,11836,11912,12121,12150,12126,12100,12665,12792,12806,12955,12740,12822,12938,12908,13016,12923,13087,12983,13046,13160,13088,12784,13495,13047,12842,12642,12292,12266,12193,12023,12056,12231,12430,12644,12481,12347,12466,12554,12224,12418,12290,12459,12415,12501,12546,12777,13203,13145,13234,13305,13312,12898,12783,12801,12940,12661,12517,12768,12609,12407,12046,12089,12376,12517,12733,13085,12663,12554,12738,12669,12484,12675,12706,12500,12681,12575,12293,12008,11635,11820,11760,11498,11549,11570,11420,11529,11182,11300,11559,11800,11947,12452,11812,12101,12088,12150,12386,12368,12387,12276,12331,12341,12565,12625,12431,12296,12628,12780,12826,12924,12989,13210,13302,13433,13442,13523,13789,13880,13725,13606,13240,13495,13677,13816,13974,13791,13850,13871,13892,14120,14170,14565,14235,14037,14153,14086,13906,14396,14446,14467,14623,14593,14616,14094,13797,13572,13317,13077,12793,12591,12167,12073,11568,11730,11776,11748,11824
"53","45","    Grocery and related products wholesalers","KS42240",19172,19071,19057,18826,19091,19305,19305,19206,19167,19821,20008,20089,20164,20291,19711,20283,20571,20216,20219,20173,20002,19873,20058,19865,19924,20216,20277,20666,20463,19776,20329,20378,20557,20951,21437,21224,21040,21085,20919,20915,20794,20591,20736,20724,21044,21273,21745,21123,20926,20693,20482,20391,20047,20201,19772,19883,19523,18946,19163,19326,19382,19220,19605,19898,20527,21173,21300,21458,20819,21166,20682,20763,21161,21006,20677,20197,19717,19690,19857,19706,19869,19244,18946,19461,19155,19305,19466,19439,19381,19343,19645,19463,19038,19632,19698,19204,19578,19625,19575,19747,19800,19581,19665,20033,20229,20392,20572,20780,20773,21067,21041,21132,21006,21522,21714,21952,21956,21908,22625,22555,22620,22989,23226,23207,23653,23868,23807,23399,23272,23190,23212,23365,23422,23040,23158,23450,23515,23529,23626,23976,23935,24032,23611,23774,23666,23633,23210,23302,23198,22978,22647,22119,22406,22143,22129,21926,21827,22193,22009,21983
"54","46","    Farm product raw material wholesalers","KS42250",10866,11087,10970,11062,10930,11164,11584,11382,11310,12074,12536,11825,11876,11985,12035,11692,11787,12459,12551,12836,13514,13650,13529,13081,12958,12987,13235,13664,13539,13532,13650,14403,14550,14794,14357,14170,14459,14206,14454,14533,14633,14407,14213,14312,14397,14634,14596,14575,14400,14524,14356,14475,14806,14721,14879,14826,14633,14510,14763,14729,14632,14533,14456,13974,13709,13591,14169,13435,13128,12539,13264,13536,13388,13020,12884,12949,13084,13321,13451,13622,14038,16569,16121,15270,15594,15710,15748,15676,15156,14863,14299,14172,13813,13811,13699,13771,14229,14891,15900,16371,16170,16246,16608,16481,16228,16028,15593,15908,16135,16592,16514,16571,17210,17168,17406,17324,16531,18395,19220,17850,16868,15912,15993,15868,15935,16460,17624,18610,20034,20273,20420,19977,19759,19572,18118,17883,17461,17971,17116,16900,16187,15626,15419,14978,15352,15176,16057,16145,17131,15550,15028,15079,14476,15710,18716,17896,17345,17384,17068,16595
"55","47","    Chemical and allied products wholesalers","KS42260",6082,6228,6306,6169,6037,6434,6461,6455,6267,6267,6460,6413,6491,6428,6457,6664,6930,6609,6913,6819,6845,6776,7008,7077,7224,7368,7343,7402,7466,7388,7605,7387,7291,7225,7237,7419,7278,7339,7424,7345,7301,7293,7310,7190,6948,6879,6929,7044,6878,6781,7024,7267,7241,7265,7361,7228,7308,7349,7339,7470,7437,7600,7658,7610,7784,7704,7607,7754,7762,7730,7853,7917,7956,7795,7601,7457,7533,7517,7598,7314,7293,7206,7124,7514,6993,7217,7189,7258,7418,7434,7616,7485,7423,7429,7373,7318,7328,7450,7403,7556,7421,7421,7332,7345,7263,7278,7305,7315,7329,7208,7242,7236,7193,7249,7100,7136,7048,6869,6890,6908,7218,7270,7285,7262,7148,7226,7372,7133,7160,6909,7066,7247,7099,7056,7046,7067,6887,6703,6992,7033,6898,6818,6706,6936,6772,6917,6553,6502,6250,6341,6211,6076,6081,5929,5990,5878,5871,5959,5875,5893
"56","48","    Petroleum and petroleum products wholesalers","KS42270",11511,11609,11593,11744,12050,11735,11635,11412,11586,11613,11541,11729,11710,11575,12171,12759,13379,13244,13341,13582,14623,13987,13645,13586,14012,13961,13329,12451,11666,11753,11638,11068,11307,11284,11370,10799,10808,10528,10469,10549,10367,10519,10261,10609,10181,10171,10585,10109,10083,10575,10802,10977,11473,11592,11958,11826,11671,12146,13054,13324,13868,13802,13461,13243,12819,12274,12408,12025,12239,11644,11548,12220,11656,10796,10676,11217,11766,11908,11278,11732,11942,11985,11822,11540,11199,11447,11302,11203,11224,11391,12919,12973,12360,12424,12107,12839,12755,12480,13027,12727,12742,12177,12819,12990,12833,12277,12548,12801,13826,13625,13088,12594,13106,12699,12884,12513,13010,12990,13110,12104,11724,12112,12450,13156,12960,12813,12672,12418,12329,12153,11820,12336,11606,11584,10676,11420,11240,11815,12156,12460,12488,11334,11775,12125,13528,14012,15562,15305,15091,14621,14012,13946,13416,13506,13836,13865,14124,14494,15282,16609
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5742,5554,5390,5626,5451,5772,5727,5810,5964,5785,5802,6160,5972,6086,6444,5989,5969,6190,6060,6205,6255,6350,6620,6361,6462,6684,7071,6759,6977,6755,6877,6825,6661,6649,6611,6683,6769,6796,6732,6783,6828,6612,6617,6657,6667,6721,6756,6821,6771,6751,6661,6662,6628,6789,6660,6651,6728,6667,6505,6546,6660,6625,6819,6880,6844,6736,6759,6560,6824,6946,6999,7009,7015,6920,6992,6858,6930,6929,6995,6756,7014,7011,7240,7156,7104,7054,7024,7151,7210,7327,7311,7258,7098,7114,7242,7451,7492,7523,7457,7504,7464,7492,7359,7732,7745,7894,7926,7847,7741,7678,7989,8046,8235,8072,8047,8207,8307,8285,8422,8511,8738,8831,8791,8957,8786,8899,9164,8889,9131,9144,9136,9203,9383,9376,9399,9319,9517,9561,9652,9667,9688,9722,9829,9987,9786,9808,9921,9694,9596,9728,9452,9604,9121,9215,9343,9176,9426,9354,9226,9057
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",18894,18475,18355,18574,18558,18429,18243,18879,19412,19069,19018,19352,19037,19671,19883,19512,19679,19964,20015,19881,20012,19730,20301,20249,20244,19860,19999,20159,19200,19470,19725,20056,20144,19865,19880,19896,19981,19941,19751,19566,19626,19651,19546,19665,19566,19797,19499,19527,19245,19488,19233,19408,19594,19751,19610,19666,19140,18923,18708,18249,17965,17909,17896,17774,17911,17569,17822,17643,17362,17369,17203,17336,17168,16986,17242,16956,16540,16529,16615,16770,17308,17253,17340,17189,17708,17376,16802,16970,17152,17512,18109,17835,17877,18420,18900,19039,19105,19254,18918,19480,19353,19649,19327,19322,19535,19205,19143,19549,19539,19346,19508,19545,19420,19187,19068,19353,19272,19150,18918,19013,18861,19351,19819,20099,19173,18996,19188,19163,19169,19487,19732,19639,20231,20288,20620,20296,20187,19970,19595,19363,19461,19413,19470,19311,19491,19760,19613,19626,19192,19047,19094,18842,18586,18567,18403,18302,18734,18638,18932,18839
"59","51","Retail trade industries","KS440",335397,338649,336607,340817,342559,342365,345143,344039,346473,347980,349349,349502,350420,352910,357009,360764,358405,357422,358182,357522,359543,360615,363815,364658,368991,371190,374718,375894,376524,378200,378925,379032,380151,383000,386071,390491,389635,390479,392469,394800,398879,401771,403787,406742,407218,409866,411170,411140,410016,406560,405298,406454,407638,407268,408109,410030,410280,400470,395795,400491,404051,405208,405408,406003,409240,411757,412909,412047,415990,417970,422723,424208,425978,427791,430515,432263,431484,432558,434349,431701,436862,438110,441400,441525,442889,445273,449457,454424,455498,456848,457409,459779,459937,462272,464213,465196,466749,469254,468880,467692,467420,466088,458667,461002,464715,467111,468324,469814,470345,468143,472738,469625,473242,474794,474262,476784,478275,475619,476344,480574,478765,481107,479727,481731,481520,481918,485295,487402,486850,489045,487424,486435,486094,485816,482121,481693,479450,478635,484237,479614,480023,480739,477578,474645,467568,464589,462839,461420,455072,449990,447055,441153,445654,447382,446605,448978,451053,451374,453922,454472
"60","52","  Motor vehicle and parts dealers","KS4410",98549,99689,98891,101293,101345,100642,102254,102277,102039,103492,104648,103938,104101,105103,106563,109198,108612,104931,104288,102786,103784,104726,106193,105879,108442,110066,112226,112052,112022,112163,112725,112158,112630,114817,116237,118215,118458,117689,118598,120731,122239,124564,126739,127657,128531,129447,129822,129949,128574,125081,123406,124540,125730,125965,127448,127576,128341,118449,115987,121029,123669,125075,125921,126318,128248,130520,129955,129031,131119,133954,138042,138202,139934,140794,142450,143794,144398,145400,145935,144217,147308,147897,150565,151123,152449,153311,154845,157994,157950,158261,158431,158999,158750,160192,159836,158750,158663,160634,159564,158353,157253,154818,148605,149471,152945,156027,155995,155962,155557,154414,156267,153785,155945,156324,155504,155558,156595,153078,152687,155595,153628,154162,153803,156406,154575,154727,158788,160685,160632,161301,161678,158561,158710,159847,158959,157255,157456,157564,162419,159219,159001,159466,159340,158077,152627,150711,149173,149585,145134,140985,139637,135067,142169,145014,145909,147704,150735,152223,152390,151784
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",15526,15563,15382,15153,15520,15482,15648,15470,15598,15771,15768,15769,15755,15960,16230,16336,16224,16204,16347,16448,16528,16675,16846,16841,17024,17256,17101,17353,17346,17581,17779,17836,17913,18013,18057,18332,18170,18427,18829,18814,18969,19432,19386,19678,19326,19678,20304,20075,20131,19932,20216,20256,20016,19708,19579,19600,19504,19654,19795,19758,20228,20353,20359,20320,20651,20468,20827,20843,21275,21376,21454,21519,21672,21953,21867,22056,22070,22519,22537,22569,22830,23299,23367,23341,23325,23686,24345,24681,25054,25036,25258,25730,25684,25454,25797,26605,26452,26503,26709,26934,27481,27781,27638,27716,27530,27334,27498,27863,28024,28254,28493,28528,28701,28727,28689,28683,28692,28619,28729,28949,29283,29621,29554,29449,29355,29539,29662,29683,29997,30741,30600,30519,30096,29555,29186,29444,29023,29156,29612,29638,29882,30102,28171,28150,27852,27434,27294,27280,27160,27078,26784,26770,26775,27127,26798,26901,26899,26630,27063,27189
"62","54","  Building material and garden equipment and supplies dealers","KS4440",36455,36523,36694,36825,36964,37197,37167,37312,37722,37552,37531,37890,38036,38519,38500,38563,38067,38679,38974,39524,39529,39510,39917,40080,40344,40517,40757,40893,40942,41151,41365,41415,41407,41714,41861,42284,42325,42508,42412,42773,42816,42977,43200,43497,43566,43543,43875,43576,43749,43651,43618,43697,43927,43761,43434,43752,43749,43854,43661,43593,43825,43802,44225,44464,44302,44287,44237,44267,44633,45288,44996,45236,44704,45435,45623,45344,45261,45463,45436,45611,46436,46171,46205,46357,46243,46638,46942,47342,47710,47770,47970,47940,47707,48207,48276,48770,49731,49417,49149,48693,49116,49265,49283,49419,49990,50082,50614,51028,51281,50206,50975,50784,50661,50869,51363,51901,51438,51167,51198,51002,50775,51149,50818,51739,51667,51727,51486,51273,50758,51086,50947,51065,51313,50958,50788,50807,50253,49997,50078,50280,50418,50109,50037,49279,49117,49358,50034,49422,48905,48251,47889,47695,47651,47321,46672,47270,47239,47335,47686,47683
"63","55","  Food and beverage stores","KS4450",32215,32250,32361,32300,32485,32492,32427,32769,32892,32727,32888,32672,32873,32743,32958,33234,33198,33479,33648,33558,33440,33441,33788,33774,34116,34166,34304,34202,34562,34745,34899,35113,35335,35365,35396,35536,35475,35502,35514,35483,35610,34977,34872,34897,35085,35058,34749,34898,35005,35125,35136,35196,35193,35299,35266,35268,35303,35477,35498,35351,35233,35307,35311,35298,35314,35316,35193,35354,35756,35027,35149,35524,35242,35226,35294,35004,34744,34499,34670,34628,34864,34398,34247,34245,34326,34244,34347,34393,34570,34584,34689,34653,34676,34629,34764,34651,34884,34845,34734,34761,34723,34784,34657,34752,34304,34564,34627,34547,34735,34889,34979,35086,35236,35277,35327,35339,35444,35447,35427,35457,35314,35150,35258,34929,35300,35580,35685,36010,36104,36302,36247,36317,36039,36215,36334,36617,36637,36654,36613,36581,36727,36855,36705,36561,36921,37002,37149,37145,37234,37062,37160,37040,37147,37028,37015,36454,36833,36753,36860,36674
"64","56","  Clothing and clothing accessories stores","KS4480",27178,27491,26861,27642,27760,27648,27749,27577,27985,27963,27910,28164,28319,28250,28691,28841,28711,29045,29129,29216,29579,29458,29489,29508,29833,30101,29907,30033,30173,30431,30168,30114,29887,30126,30421,30991,30438,31092,31554,31840,32426,32240,32666,33136,33145,33748,33786,34054,33760,33913,33696,33524,33306,33428,33210,33209,33484,33877,33041,32901,33102,32786,32560,33051,33123,33534,34062,34050,34320,34299,34308,34750,35122,35096,35187,34970,34937,34834,35034,35101,35010,34914,35311,35252,35297,35460,35512,36133,36433,36473,36502,36914,37054,37335,37645,37694,38128,38436,38603,38540,38403,38923,38907,38998,39091,39300,39114,39164,39002,39366,40121,40440,40808,40975,40851,40922,41125,41241,41728,42485,42623,43054,42449,42075,42263,41999,41741,41704,41692,41456,41411,41588,41669,41348,41006,41087,40583,40511,40650,40453,40419,40411,40154,39801,39375,39201,38580,38031,37814,37591,37169,36843,36200,36017,35845,35760,35628,35299,35276,35235
"65","57","  General merchandise stores","KS4520",61222,61767,61489,62130,62133,62331,62251,61771,62015,61593,61439,61742,61796,61719,61695,61723,60758,61652,61984,61967,62302,62322,62227,62123,62127,62315,62913,63390,63480,63475,63634,63898,63996,63664,64623,64935,65209,65475,65034,65089,65393,65704,65338,65437,65485,65962,65878,66013,66322,66387,67344,66983,67458,67530,66935,67871,67491,67489,66766,66175,66011,66270,65712,65531,66075,65624,66524,66681,66606,66577,67449,67641,67568,67333,67786,68738,68068,68036,68326,67794,68506,69145,68477,68652,68926,69392,70187,70245,70399,70976,70778,71230,71325,71576,72542,73177,73230,73371,74617,74510,74659,74603,74224,75091,75169,74824,74922,75387,74903,74379,74827,73620,74374,74496,75367,76007,76093,76789,77058,77026,77022,77291,77151,77107,77276,77207,76672,76623,76541,77015,76118,76698,76566,76716,75180,75672,75282,74957,74917,74095,74576,74681,74106,73580,72642,72266,72686,72112,71755,72030,71659,71267,70965,70916,70612,71024,70250,69791,70777,71174
"66","58","    Department stores","KS45210",43164,43544,43490,43877,43854,44043,43882,43553,43731,43554,43419,43618,43500,43318,43216,43111,42314,42940,43237,43104,43144,42929,42751,42627,42779,42592,42970,43155,43092,43003,42992,42975,42855,42504,43207,43277,43318,43446,42983,42952,43108,43110,42601,42583,42425,42846,42716,42633,42788,42680,43076,42859,42914,42767,42055,42555,42463,41904,41226,40709,40186,40295,39818,39396,39273,39153,39394,39270,39016,38680,39168,39181,38935,38468,38663,39267,38579,38390,38148,37751,38005,38225,37599,37520,37643,37654,37908,37964,38028,38010,37965,38091,37788,38016,38164,38237,38189,38232,39224,38353,38190,38242,38320,38363,38296,38074,37948,38286,37714,37300,37384,37214,37219,36877,37193,37446,37577,37776,38066,38104,38102,38067,37760,37918,37773,37965,37822,37697,37804,38190,37419,37659,37481,37393,36613,36340,36291,35854,35627,35197,35511,35582,34760,34374,33768,33783,33996,33644,33274,33465,33181,33076,32923,32734,32336,32335,32442,32259,32147,32204
"67","59","    Other general merchandise stores","KS45290",17737,17899,17667,17923,17950,17955,18043,17893,17958,17708,17691,17795,17976,18090,18172,18313,18157,18419,18449,18572,18875,19123,19211,19234,19080,19470,19688,19984,20142,20231,20406,20695,20921,20946,21197,21443,21681,21820,21850,21938,22087,22402,22555,22675,22887,22939,22988,23210,23365,23543,24108,23965,24390,24615,24743,25180,24889,25459,25421,25353,25724,25875,25798,26049,26727,26392,27058,27345,27529,27846,28229,28410,28588,28829,29087,29432,29458,29619,30159,30026,30485,30905,30866,31122,31274,31731,32274,32276,32367,32961,32809,33135,33534,33557,34377,34941,35041,35139,35393,36157,36470,36362,35905,36728,36874,36750,36974,37102,37189,37079,37442,36403,37153,37617,38173,38560,38513,39010,38988,38918,38916,39219,39383,39184,39493,39236,38846,38920,38735,38826,38691,39031,39073,39308,38551,39297,38962,39062,39239,38847,39019,39055,39273,39127,38788,38406,38613,38389,38393,38480,38389,38106,37957,38089,38170,38574,37718,37445,38512,38844
"68","60","  Other retail stores","KS44X0",65651,66826,66534,67182,67947,68283,69264,68552,70042,70553,70826,71045,71312,72366,74111,74509,74500,75444,75882,76195,76481,76487,77371,78610,79165,78644,79422,79856,79929,80596,80222,80423,80923,81139,81251,81892,81244,81471,82100,81539,82873,83075,82675,83485,83159,83410,83605,83443,83428,83655,83086,83419,83148,82720,83320,83880,83489,83245,82690,83082,83209,82728,82407,82092,82482,82898,82978,82727,83121,82109,81790,81828,82118,82344,82672,82631,82234,81971,82586,81993,82078,82406,83355,82665,82407,82611,83324,83665,83391,83759,83790,84305,84742,84879,85352,85539,85653,86034,85479,85878,85757,85890,85347,85543,85665,84976,85544,85853,86819,86626,87061,87336,87495,88091,87126,88304,88837,89164,89376,89956,89986,90541,90572,89994,90944,91012,91291,91514,91252,91337,90659,91737,91727,91240,90693,90739,90185,89809,90265,89508,89161,89317,89141,89285,88815,88253,87432,87469,86472,86197,85917,85428,84186,83637,83503,83737,83508,83466,83991,84820
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2005 equals the current-dollar change in inventories for 2005 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2005 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
