"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \3\","W875RX1",797.2,744.6,699.9,607.1,590.1,649.6,712.8,793.5,842.2,788.6,848.9,906.7,1052.4,1210.1,1373.4,1413.5,1385.4,1311.4,1275.4,1337,1322.5,1434.5,1540.6,1612.9,1687.2,1677.9,1792.5,1887.9,1925.2,1916.7,2012.1,2073.2,2125.5,2240.9,2325.7,2463.8,2623.2,2779.1,2883.4,3032.1,3168.1,3228.9,3304.2,3507.5,3712,3670,3621.7,3804,3979.9,4207.6,4333.1,4337.2,4462.8,4505.2,4599.5,4949.9,5132.1,5292.6,5436.1,5648.4,5819.2,5893.3,5839.9,5979.5,6074.8,6289.7,6487,6761,7086.5,7595,7864.8,8327.8,8411.1,8387.2,8493.1,8776.4,8977.3,9404.8,9645.4,9504.6
"44",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","    Total, billions of chained (2005) dollars \3\","A067RX1",792,741.1,714.9,619.9,601.6,660.3,723.9,815.1,842.8,795.1,861.4,918.6,1056.3,1187.8,1242.6,1287.2,1270.2,1259.4,1211.9,1277,1285.2,1401.5,1442.9,1489.6,1561.9,1583,1690,1772.2,1815.3,1833.1,1913.5,1963.9,2030.8,2129.6,2209.5,2368.7,2514.7,2647.3,2763.5,2889.2,2981.4,3108.8,3249.1,3406.6,3638.2,3610.2,3691.3,3838.3,3970.7,4156.5,4253.8,4295.6,4410,4506.5,4655.7,4989.1,5144.8,5315,5402.4,5635.6,5785.1,5896.3,5945.9,6155.3,6258.2,6459,6651.6,6870.9,7113.5,7538.8,7766.7,8161.5,8360.1,8637.1,8853.9,9155.1,9277.3,9650.7,9860.6,9911.3
"46",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","      Current dollars","A229RC0",683,605,517,393,366,417,465,525,559,512,545,581,703,879,990,1072,1088,1142,1187,1299,1275,1384,1496,1550,1620,1627,1713,1800,1866,1897,1976,2020,2077,2170,2245,2408,2562,2733,2894,3112,3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25945,26809,27806,28816,30303,31338,33183,34478,35486
"48","38","      Chained (2005) dollars","A229RX0",6498,6016,5759,4961,4786,5220,5684,6359,6535,6118,6574,6953,7918,8808,9087,9301,9078,8907,8409,8709,8615,9240,9352,9491,9788,9748,10225,10535,10599,10526,10803,10865,11052,11413,11672,12342,12939,13465,13904,14392,14706,15158,15644,16228,17166,16878,17091,17600,18025,18670,18897,18863,19173,19406,19868,21105,21571,22083,22246,22997,23385,23568,23453,23958,24044,24517,24951,25475,26061,27299,27805,28899,29303,29984,30454,31209,31338,32296,32679,32546
"49","39","  Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282413,285294,288055,290729,293348,296036,298820,301737,304529
"50",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","40","    Disposable personal income, current dollars","A067RP1",NA,-10.4,-13.9,-23.5,-6.4,14.7,12.3,13.6,7.2,-7.8,7.3,7.5,22.1,26.4,14.2,9.5,2.6,6.1,6,11.3,-0.1,10.4,10,5.4,6.3,2.2,7.2,7,5.5,3.4,6,4.3,4.5,6.1,5,8.8,7.7,7.9,7,8.6,7.9,9.2,9,8.4,12.6,9.6,10.8,9.7,10.2,12,11.4,11.8,11.7,7.8,7.8,11.2,6.5,5.8,5.4,8.5,7.1,6.6,4.5,6.6,3.9,5.3,5.3,5.5,5.5,7,4.7,7.7,4.4,4.7,4.6,6.1,4.4,6.9,4.9,3.9
"52","41","    Disposable personal income, chained (2005) dollars","A067RL1",NA,-6.4,-3.5,-13.3,-3,9.8,9.6,12.6,3.4,-5.7,8.3,6.6,15,12.4,4.6,3.6,-1.3,-0.9,-3.8,5.4,0.6,9,3,3.2,4.9,1.3,6.8,4.9,2.4,1,4.4,2.6,3.4,4.9,3.8,7.2,6.2,5.3,4.4,4.5,3.2,4.3,4.5,4.8,6.8,-0.8,2.2,4,3.4,4.7,2.3,1,2.7,2.2,3.3,7.2,3.1,3.3,1.6,4.3,2.7,1.9,0.8,3.5,1.7,3.2,3,3.3,3.5,6,3,5.1,2.4,3.3,2.5,3.4,1.3,4,2.2,0.5
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
