"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","    Tools and equipment for house and garden","DTOORG3",25.366,24.309,21.438,19.162,19.066,21.092,21.156,21.392,23.264,22.931,22.636,23.147,25.174,28.624,31.047,34.022,35.623,37.574,41.558,43.403,42.272,43.088,47.283,46.463,47.108,47.627,48.783,50.783,52.845,54.013,55.545,55.925,57.53,58.499,58.777,58.364,57.322,56.254,56.143,58.441,60.766,60.42,59.871,59.799,59.93,63.669,69.577,72.048,73.562,75.156,79.293,84.731,90.622,97.366,99.684,99.769,102.988,101.228,101.485,101.565,97.985,98.833,99.918,99.793,99.806,101.576,101.602,103.295,104.777,102.185,100.057,100.023,99.476,98.308,96.109,97.162,100,101.114,101.331,100.443
"43","36","    Other household goods and services \8\","DOGSRG3",7.147,6.733,5.928,5.142,4.857,4.947,5.025,5.173,5.562,5.344,5.417,5.51,5.842,6.664,8.017,9.369,10.367,11.105,12.447,12.918,12.449,12.393,13.356,13.624,14.059,14.411,14.492,14.754,15.318,15.773,16.352,16.921,16.972,17.159,17.368,17.597,17.97,18.539,19.093,20.088,20.893,22.15,23.248,23.934,24.906,28.68,33.95,37.073,40.136,42.763,46.173,50.446,54.85,58.121,59.804,61.145,63.114,64.344,65.884,67.597,70.441,72.509,75.314,76.249,76.938,77.567,80.104,82.182,83.493,85.273,87.14,91.032,94.537,96.123,96.113,97.254,100,103.923,105.956,110.484
"44","37","  Health","DHLTRG3",4.109,4.111,3.874,3.482,3.401,3.466,3.596,3.651,3.731,3.792,3.772,3.86,3.941,4.142,4.386,4.626,4.782,5.099,5.599,5.912,6.003,6.116,6.385,6.639,6.882,7.072,7.283,7.518,7.815,8.102,8.309,8.748,8.869,9,9.173,9.418,9.655,10.015,10.538,11.095,11.776,12.568,13.15,13.634,14.193,15.418,17.079,18.64,20.146,21.807,23.846,26.635,29.826,33.129,36.115,38.782,41.151,43.588,46.346,49.819,54.024,58.517,62.972,67.263,70.654,73.363,75.806,77.574,79.082,80.626,82.585,85.003,87.991,90.471,93.689,96.986,100,103.176,106.562,109.332
"45","38","    Medical products, appliances, and equipment","DMPARG3",15.43,15.339,15.098,14.485,13.753,13.339,13.075,13.069,13.161,13.239,13.226,13.241,13.376,13.648,13.824,13.984,14.103,14.395,15.406,16.248,16.573,16.763,17.412,17.636,17.692,17.778,17.981,18.36,18.956,19.514,19.799,19.822,19.473,19.023,18.757,18.704,18.693,18.798,18.795,18.857,19.141,19.618,19.988,20.097,20.214,20.947,22.588,23.926,25.422,27.168,28.949,31.494,34.74,38.116,41.158,43.901,46.717,49.41,52.185,55.038,58.405,62.427,66.713,70.28,72.346,73.981,74.869,76.51,77.714,79.533,82.474,85.341,88.997,92.342,94.64,97.229,100,103.799,105.313,107.547
"46","39","      Pharmaceutical and other medical products \9\","DPHMRG3",15.035,14.954,14.682,14.125,13.378,12.86,12.522,12.53,12.625,12.717,12.657,12.643,12.794,13.107,13.182,13.283,13.378,13.65,14.757,15.631,15.883,16.079,16.659,16.875,17.006,17.164,17.338,17.729,18.271,18.894,19.178,19.136,18.665,18.122,17.808,17.719,17.655,17.693,17.565,17.545,17.741,18.104,18.335,18.349,18.369,18.94,20.405,21.603,22.965,24.61,26.286,28.609,31.749,35.089,38.183,41.027,43.942,46.712,49.44,52.331,55.866,60.139,64.768,68.466,70.499,72.153,72.691,74.395,75.594,77.485,80.83,83.871,87.838,91.689,94.305,97.049,100,104.027,105.52,107.956
"47","40","        Pharmaceutical products","DPNPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.055,19.012,18.535,17.986,17.67,17.581,17.516,17.554,17.426,17.404,17.599,17.958,18.185,18.198,18.217,18.78,20.229,21.416,22.765,24.402,26.07,28.38,31.507,34.83,37.921,40.77,43.691,46.46,49.195,52.1,55.636,59.925,64.581,68.295,70.317,71.973,72.479,74.187,75.387,77.285,80.655,83.72,87.728,91.622,94.261,97.024,100,104.054,105.552,108.013
"48","41","        Other medical products","DOMPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.395,29.446,29.083,28.647,28.358,28.287,28.213,28.288,28.181,28.235,28.522,29.188,29.668,29.737,29.837,30.898,33.464,35.486,37.795,40.165,42.577,45.97,50.199,54.945,58.368,61.068,63.732,66.834,69.34,71.599,75.462,79.109,82.608,85.693,88.562,90.232,93.166,94.627,95.723,96.965,97.847,98.621,98.662,98.288,98.639,99.522,100,101.45,102.469,102.781
"49","42","      Therapeutic appliances and equipment","DTAERG3",17.371,17.242,17.104,16.261,15.567,15.516,15.486,15.434,15.523,15.558,15.702,15.813,15.906,16.064,16.567,16.921,17.121,17.495,18.262,19.05,19.625,19.801,20.713,20.971,20.782,20.636,20.944,21.294,22.11,22.421,22.716,23.041,23.32,23.359,23.357,23.491,23.749,24.18,24.831,25.363,26.123,27.224,28.39,29.078,29.778,31.445,34.02,36.096,38.282,40.509,42.793,46.491,50.138,53.521,56.141,58.283,60.614,63.001,66.068,68.888,71.713,74.912,77.935,81.043,83.338,84.94,87.507,88.887,90.146,91.645,92.523,94.473,96.314,96.524,96.813,98.395,100,102.321,103.969,104.94
"50","43","    Outpatient services","DOUTRG3",4.317,4.422,4.092,3.505,3.506,3.617,3.849,3.927,4.008,4.165,4.122,4.274,4.351,4.603,4.986,5.332,5.485,5.761,6.102,6.367,6.439,6.482,6.647,6.974,7.345,7.656,7.954,8.275,8.579,8.867,9.161,9.377,9.56,9.84,10.074,10.34,10.677,11.283,12.008,12.677,13.589,14.539,15.503,16.024,16.546,18.011,20.145,22.22,24.187,26.083,28.33,31.439,34.697,37.659,40.395,43.072,45.724,48.713,51.76,55.251,58.926,62.801,66.475,70.215,73.535,76.93,79.565,80.819,82.96,85.015,86.969,89.065,91.855,93.179,95.134,97.562,100,101.862,105.621,108.002
"51","44","      Physician services \10\","DPHYRG3",4.118,4.211,3.9,3.357,3.372,3.48,3.699,3.776,3.839,3.978,3.947,4.087,4.164,4.397,4.786,5.097,5.222,5.469,5.764,5.998,6.029,6.06,6.215,6.557,6.899,7.179,7.504,7.832,8.158,8.437,8.717,8.929,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122,14.08,15.027,15.507,15.994,17.483,19.61,21.839,23.855,25.81,28.205,31.189,34.599,37.849,40.812,43.648,46.184,49.541,53.189,56.997,61.177,65.578,69.442,73.804,77.913,81.817,85.035,85.631,86.782,88.641,90.609,92.181,94.804,94.797,96.273,98.238,100,100.954,105.098,106.21
"52","45","      Dental services","DDENRG3",3.869,3.977,3.679,3.099,3.072,3.153,3.383,3.438,3.557,3.705,3.666,3.813,3.854,4.111,4.395,4.745,4.948,5.242,5.623,5.917,6.093,6.159,6.319,6.525,6.899,7.211,7.36,7.588,7.777,8.005,8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551,12.196,12.982,13.508,13.95,14.987,16.552,17.637,18.94,20.255,21.956,24.571,26.915,28.999,30.942,33.453,35.568,37.541,40.089,42.778,45.399,48.361,51.927,55.369,58.222,60.953,63.89,66.839,69.935,72.911,76.319,79.798,83.032,86.737,90.289,94.737,100,105.208,110.624,116.313
"53","46","      Paramedical services","DPMSRG3",4.939,5.05,4.66,4.05,4.051,4.217,4.439,4.551,4.607,4.829,4.718,4.885,5.049,5.272,5.772,6.16,6.27,6.547,6.936,7.213,7.27,7.325,7.493,7.88,8.267,8.658,9.045,9.433,9.768,10.156,10.641,10.915,11.18,11.523,11.796,12.057,12.467,13.242,14.133,14.958,15.957,17.184,18.305,18.872,19.564,21.338,24.009,26.706,29.189,31.439,33.582,37.368,40.877,43.602,46.256,48.331,51.698,54.492,56.189,59.407,62.581,65.871,69.199,71.939,74.162,77.083,78.68,80.048,83.139,85.026,86.25,88.449,91.266,93.495,95.455,97.711,100,101.904,104.419,107.442
"54","47","        Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.137,60.42,63.709,67.105,70.351,73.191,75.498,78.525,79.92,81.354,85.44,87.753,88.497,91.803,94.211,96.342,96.693,98.971,100,100.65,102.474,104.162
"55","48","        Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.417,62.841,66.214,69.7,73.141,76.068,78.457,81.619,86.151,87.276,87.948,88.201,87.749,89.599,92.887,94.434,95.823,96.433,100,100.302,103.001,103.215
"56","49","        Other professional medical services \11\","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.304,58.463,61.56,64.776,68.126,70.792,72.949,75.782,77.097,78.459,81.279,83.177,84.956,86.667,89.585,91.998,94.791,97.381,100,102.858,105.681,109.997
"57","50","    Hospital and nursing home services","DHPNRG3",1.859,1.756,1.652,1.549,1.48,1.549,1.618,1.652,1.721,1.687,1.687,1.721,1.79,1.928,2.065,2.238,2.41,2.788,3.374,3.649,3.718,3.89,4.2,4.406,4.578,4.682,4.819,4.957,5.198,5.439,5.56,6.282,6.448,6.58,6.803,7.1,7.308,7.527,8.002,8.566,9.158,9.897,10.284,10.794,11.431,12.575,13.932,15.205,16.415,17.872,19.759,22.31,25.329,28.665,31.661,34.224,36.276,38.271,40.787,44.323,49.022,54.025,59.068,63.932,67.687,70.119,72.812,75.027,76.107,77.149,78.771,81.278,84.17,87.282,91.967,96.348,100,104.15,107.989,111.357
"58","51","      Hospitals \12\","DHSPRG3",1.738,1.641,1.545,1.448,1.384,1.448,1.512,1.545,1.609,1.577,1.577,1.609,1.673,1.802,1.931,2.092,2.253,2.606,3.154,3.411,3.475,3.636,3.926,4.119,4.28,4.376,4.505,4.634,4.859,5.084,5.198,5.905,6.062,6.188,6.39,6.672,6.869,7.073,7.519,8.043,8.607,9.298,9.652,10.138,10.746,11.796,13.095,14.348,15.535,16.91,18.728,21.252,24.277,27.717,30.841,33.511,35.651,37.775,40.411,44.174,49.245,54.613,60.149,65.627,69.776,72.308,74.867,76.674,77.31,77.879,79.227,81.327,83.737,86.806,91.854,96.338,100,104.377,108.023,111.233
"59","52","      Nursing homes","DNRSRG3",2.859,2.7,2.542,2.383,2.277,2.383,2.488,2.541,2.647,2.594,2.594,2.647,2.753,2.965,3.177,3.442,3.706,4.289,5.189,5.612,5.718,5.983,6.46,6.777,7.042,7.201,7.413,7.624,7.995,8.366,8.552,8.963,9.178,9.349,9.744,10.141,10.424,10.761,11.442,12.289,13.081,14.159,14.783,15.467,16.313,18.118,19.884,21.298,22.66,24.7,27.073,29.794,32.741,35.236,37.282,39.145,40.676,41.923,43.768,46.048,48.821,52.075,54.84,56.913,58.921,60.93,64.209,68.127,71.051,74.071,76.868,81.172,86.276,89.598,92.519,96.395,100,102.988,107.836,112.038
"60","53","  Transportation","DTRNRG3",11.572,11.231,10.236,9.894,9.492,9.861,9.884,9.991,10.151,10.21,9.97,9.869,10.408,11.477,11.737,11.822,11.916,12.805,14.036,15.262,15.881,16.077,16.855,17.44,17.678,17.626,17.868,18.561,19.515,19.928,20.606,20.693,20.826,21.128,21.217,21.329,21.529,21.669,22.196,22.894,23.651,24.495,25.536,25.893,26.843,30.722,33.535,35.731,37.909,40.235,46.317,55.475,61.109,61.778,62.402,63.495,64.639,61.9,64.575,66.035,69.167,72.239,73.483,74.645,76.568,78.585,80.854,82.991,83.733,81.555,83.382,88.617,88.406,87.209,89.448,93.114,100,105.018,108.239,115.467
"61","54","    Motor vehicles","DMTRRG3",6.968,6.777,6.509,6.156,5.573,5.87,5.747,5.773,5.887,6.214,6.053,6.149,6.794,9.464,10.149,10.942,11.394,18.067,20.29,22.138,23.049,23.041,23.986,25.135,24.64,23.751,24.051,25.233,27.001,28.162,29.811,29.306,29.636,30.186,30.387,30.668,30.227,29.909,30.269,31.302,31.871,32.728,34.389,34.447,34.812,36.91,40.632,43.789,46.271,49.684,53.206,56.672,61.468,64.756,67.718,70.603,72.528,74.871,78.713,79.952,82.414,82.676,85.27,87.058,91.292,96.302,100.68,103.052,103.589,102.424,102.842,103.224,103.366,102.549,99.308,98.487,100,99.591,98.368,96.445
"62","55","      New motor vehicles","DNMVRG3",18.129,17.608,16.802,15.761,14.24,15.077,14.838,14.957,15.239,15.999,15.597,15.637,16.805,19.998,21.255,23.89,18.637,21.844,24.75,27.065,29.647,29.845,31.118,33.977,34.261,34.813,31.477,33.147,35.055,36.325,37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.313,96.842
"63","56","      Net purchases of used motor vehicles","DNPVRG3",0.429,0.447,0.552,0.658,0.627,0.567,0.458,0.394,0.418,0.535,0.51,0.773,1.499,2.725,2.935,3.121,3.4,6.932,7.443,8.023,6.456,6.156,6.345,5.273,4.106,1.433,7.607,7.795,8.908,9.555,10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,98.501,95.731
"64","57","    Motor vehicle operation","DMVORG3",10.907,10.399,9.016,8.89,8.685,9.063,9.141,9.348,9.569,9.364,9.05,8.873,9.224,9.849,9.962,10.121,10.103,10.382,11.346,12.321,12.563,12.693,13.335,13.607,14.134,14.42,14.599,15.03,15.59,15.592,15.811,16.09,16.048,16.167,16.231,16.228,16.746,17.083,17.658,18.145,18.879,19.491,20.078,20.492,21.744,26.606,28.888,30.465,32.404,34.167,41.871,53.02,58.288,57.655,56.955,56.735,57.507,51.603,53.428,54.584,57.945,62.619,63.197,63.881,64.223,65.117,66.324,68.591,68.988,65.9,68.725,76.966,77.148,76.289,82.196,89.267,100,108.433,114.831,127.561
"65","58","      Motor vehicle parts and accessories","DMVPRG3",37.451,34.846,29.788,27.435,27.994,28.814,29.052,29.191,30.719,30.114,29.719,28.146,28.552,32.718,33.682,36.044,36.099,36.947,38.283,39.043,38.949,40.026,45.222,45.14,44.523,43.56,43.671,44.223,44.606,44.735,44.446,43.091,41.831,41.922,42.603,42.631,44.249,45.169,46.275,47.973,49.526,51.892,53.801,54.159,52.756,56.32,61.423,65.78,70.215,73.483,80.648,89.637,94.182,96.482,93.747,90.135,90.088,89.819,90.544,91.953,93.906,94.234,95.081,95.704,94.143,93.61,93.935,93.779,93.277,92.494,92.046,92.371,94.641,96.287,97.225,97.716,100,104.051,107.587,113.224
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRG3",8.308,7.934,6.709,6.978,6.918,7.262,7.277,7.515,7.694,7.485,7.142,7.022,7.336,7.68,7.755,7.77,7.71,7.904,8.86,9.936,10.145,10.16,10.369,10.579,11.027,11.266,11.385,11.729,12.237,12.117,12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354,14.482,14.588,14.777,16.19,21.871,23.339,24.331,25.74,26.858,35.993,49.955,55.584,52.772,51.047,50.283,50.689,39.81,41.34,41.691,45.539,51.843,51.162,50.963,50.446,50.685,51.491,54.645,54.634,47.555,51.788,66.17,63.776,59.915,69.782,82.086,100,112.842,122.411,142.242
"67","60","      Motor vehicle maintenance and repair","DVMRRG3",8.881,8.587,8.062,7.011,6.26,6.467,6.698,6.701,6.72,6.72,6.7,6.678,6.972,7.584,7.665,7.772,7.833,8.086,8.757,9.241,9.471,9.68,10.396,10.669,11.235,11.635,11.888,12.348,12.789,12.999,13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447,18.741,20.092,20.974,22.145,24.378,27.493,29.488,31.706,34.28,37.595,41.443,45.217,48.526,50.564,52.168,53.535,55.155,57.191,59.482,61.861,64.262,66.968,69.417,71.442,73.334,75.013,76.938,78.919,80.844,83.066,85.705,88.685,91.933,94.53,96.733,100,104.211,107.749,112.995
"68","61","      Other motor vehicle services","DOVSRG3",15.733,15.428,14.847,13.633,12.715,13.024,13.116,13.044,12.997,12.946,13.041,13.045,13.529,14.375,13.92,13.932,13.994,14.875,15.837,17.17,18.217,18.295,19.321,20.785,22.288,22.7,22.825,23.007,23.877,24.981,25.78,25.911,26.03,26.115,26.11,26.178,26.306,26.406,26.591,26.793,27.114,27.513,27.938,28.231,29.225,30.859,33.022,34.596,36.277,37.993,41.825,46.345,50.766,55.009,58.034,61.166,63.915,69.216,73.89,76.324,79.721,82.672,84.504,85.161,88.164,91.659,94.625,95.01,93.933,94.676,95.268,97.188,100.015,100.375,99.517,98.38,100,101.633,102.666,106.406
"69","62","    Public transportation","DPUBRG3",9.277,9.308,8.872,8.369,8.055,8.169,8.309,8.243,8.165,8.254,8.308,8.096,8.133,8.542,8.773,8.688,8.814,9.105,9.743,10.556,11.637,12.422,13.303,13.87,14.384,14.873,15.312,15.812,16.426,17.122,17.819,18.415,19.136,19.893,19.732,20.076,20.369,20.878,21.609,22.489,24.024,26.336,28.428,29.415,30.238,32.33,35.322,38.26,40.717,42.572,45.707,58.199,68.484,69.985,71.929,75.463,75.554,71.88,75.108,79.963,84.09,87.241,87.511,89.516,93.528,90.8,92.032,91.529,95.633,96.941,96.921,100.351,95.723,90.302,93.137,94.598,100,106.13,107.384,115.786
"70","63","      Ground transportation \13\","DGRDRG3",5.543,5.565,5.304,5.003,4.815,4.887,4.97,4.929,4.883,4.941,4.97,4.846,4.867,5.109,5.246,5.192,5.274,5.462,5.841,6.317,6.986,7.487,8.048,8.409,8.75,9.092,9.411,9.763,10.203,10.588,11.019,11.293,11.657,12.075,12.251,12.566,12.803,13.263,13.975,14.717,15.636,17.383,18.835,19.662,19.966,21.072,23.101,24.989,26.731,28.163,30.262,35.03,41.047,45.151,47.354,50.233,52.13,55.795,57.368,59.606,61.413,64.382,67.485,70.226,71.109,71.761,72.565,77.961,79.211,79.863,79.862,81.862,84.416,86.596,91.57,95.997,100,104.699,106.315,111.373
"71","64","      Air transportation","DAITRG3",34.337,23.826,23.748,20.97,20.918,17.767,18.718,18.734,18.751,16.531,17.805,16.747,16.93,18.529,19.347,20.406,19.047,17.863,19.424,22.219,22.593,22.219,22.43,22.697,22.672,22.335,22.023,22.005,22.008,23.525,24.493,26.209,27.917,29.356,27.238,27.115,27.235,27.3,27.335,27.917,30.046,32.348,34.755,35.591,37.06,40.121,43.693,47.385,50.218,52.2,56.014,75.778,89.413,87.36,88.693,92.489,90.802,81.016,85.364,92.04,97.771,100.91,98.856,100.133,106.512,101.125,102.578,97.795,103.714,105.227,105.359,110.346,101.631,91.409,93.59,93.606,100,107.334,108.489,119.566
"72","65","      Water transportation","DWATRG3",25.064,24.509,24.639,24.496,24.32,24.829,24.45,24.892,24.892,23.709,24.099,23.896,24.731,25.276,25.997,27.037,27.02,27.028,26.979,28.513,27.508,27.22,27.22,27.22,26.621,26.825,26.621,26.835,26.835,26.835,27.786,28.894,29.525,29.94,30.698,31.043,32.009,33.26,34.287,35.861,38.274,41.373,43.574,45.519,47.518,51.444,56.24,60.579,65.029,69.949,73.495,78.644,82.807,86.253,89.251,91.99,95.343,100.206,102.748,104.245,108.251,113.109,117.718,121.444,124.831,127.591,131.494,134.908,138.513,145.453,140.867,125.979,114.001,109.477,100.4,98.818,100,99.627,99.109,97.477
"73","66","  Communication","DCMCRG3",28.683,28.671,28.508,28.463,28.448,28.294,28.288,28.087,27.985,27.832,27.748,27.888,28.298,29.915,31.109,32.232,32.826,33.057,34.113,35.944,37.388,39.913,41.019,42.693,44.14,43.783,43.502,44.106,44.979,46.312,47.531,48.394,48.597,48.65,49.581,49.861,49.311,48.43,49.161,50.009,50.783,51.349,54.638,57.753,59.147,62.417,64.422,68.21,69.026,70.348,70.6,71.756,79.245,87.527,92.522,98.54,102.178,105.395,103.393,103.555,103.946,103.914,106.172,106.511,107.061,109.055,109.613,110.064,110.823,109.893,107.41,104.109,102.805,103.307,102.918,101.048,100,99.684,97.17,98.602
"74","67","    Telephone and facsimile equipment","DTCERG3",12.088,11.411,9.947,8.491,8.728,9.914,9.978,10.356,11.477,11.307,11.576,11.885,13.31,15.552,18.23,21.63,24.045,23.771,23.599,23.565,22.782,23.332,25.672,25.365,25.676,25.262,25.303,26.377,27.026,27.643,28.215,28.38,28.363,27.785,27.751,27.76,29.131,30.553,31.562,33.182,35.02,36.321,38.797,41.366,42.685,44.219,47.101,50.276,53.324,57.989,61.563,66.671,74.709,84.312,92.764,100.309,108.739,117.656,126.565,135.48,144.207,155.903,164.016,173.034,179.109,185.579,192.749,203.667,213.545,207.334,183.743,165.966,148.96,135.743,120.94,108.562,100,90.991,84.373,80.873
"75","68","    Postal and delivery services","DPSSRG3",4.694,4.505,4.254,4.176,4.275,4.45,4.583,4.509,4.717,4.567,4.513,4.608,4.901,5.223,5.633,6.018,6.17,6.426,7.162,7.64,7.854,8.035,8.553,9.085,9.337,9.677,9.874,10.085,10.311,10.612,11.092,11.472,11.58,11.687,13.412,13.847,13.956,14.068,14.448,16.385,16.875,16.997,19.868,21.094,21.389,24.725,25.471,32.14,32.651,35.338,37.295,37.412,43.86,49.109,49.232,49.37,53.651,54.521,54.695,59.882,61.896,62.171,70.498,71.599,71.91,72.201,78.81,79.089,79.33,79.858,82.505,83.269,87.017,91.728,96.587,98.649,100,105.902,109.44,115.871
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.656,12.057,12.17,12.281,14.113,14.572,14.685,14.798,15.198,17.255,17.766,17.882,20.969,22.279,22.569,26.167,26.905,34.16,34.641,37.505,39.565,39.611,46.509,52.108,52.17,52.231,56.88,57.698,57.726,63.459,65.53,65.53,75.187,76.117,76.117,76.117,83.979,83.979,83.979,83.979,86.494,86.499,89.847,95.001,100,100,100,105.359,107.966,111.581
"77","70","      Other delivery services (by non-USPS facilities)","DODSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.994,12.221,12.355,12.593,12.81,13.087,13.373,13.783,14.162,14.877,15.526,16.1,16.931,17.587,18.333,19.545,21.173,22.607,24.2,25.915,27.725,29.974,32.564,34.872,37.387,39.198,40.89,42.746,44.436,46.437,48.46,50.515,52.538,54.491,56.179,57.744,59.279,60.707,61.973,64.702,67.903,71.531,76.763,79.835,84.184,93.66,100,107.851,114.717,131.547
"78","71","    Telecommunication services","DTCSRG3",36.84,37.104,37.242,37.311,37.131,36.606,36.39,36.189,35.701,35.7,35.652,35.719,35.901,37.878,39.098,40.241,40.911,40.909,41.541,43.667,45.54,49.008,50.032,51.893,53.711,52.871,52.288,52.945,53.968,55.573,56.872,57.77,57.967,57.962,57.979,58.058,57.236,55.976,56.716,56.719,57.467,58.137,60.991,64.425,66.073,68.864,71.089,73.617,74.454,75.291,75.034,76.301,83.573,92.074,97.879,105.009,108.095,111.573,108.883,107.589,107.414,107.083,107.948,108.016,108.541,110.801,110.361,110.555,111.084,109.735,107.213,103.892,102.171,102.715,102.258,100.703,100,100.634,102.431,104.14
"79","72","    Internet access","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.155,160.259,151.609,144.439,133.543,123.17,112.228,98.457,93.707,96.432,100.196,107.213,103.926,100.656,102.532,103.407,104.282,101.717,100,95.632,76.535,77.244
"80","73","  Recreation","DRRLRG3",27.451,25.474,22.745,20.587,19.625,20.339,20.634,20.714,21.741,21.573,21.136,21.5,21.936,24.145,25.706,28.309,29.346,30.615,33.8,35.94,36.718,36.812,38.17,38.684,39.139,39.099,39.435,40.144,41.66,42.98,42.817,43.682,44.24,44.689,45.42,46.226,46.531,47.025,48.082,49.967,51.74,53.273,55.538,56.658,58.028,61.976,66.636,69.304,71.933,75.133,79.368,85.33,90.793,94.875,96.874,98.44,99.955,100.649,102.321,104.434,107.302,110.061,112.96,114.067,114.518,115.211,115.236,114.516,112.698,110.27,107.667,106.539,105.147,103.522,101.917,101.135,100,99.131,97.818,97.763
"81","74","    Video and audio equipment, computers, and related services","DVPIRG3",425.924,329.741,237.724,179.38,164.73,176.557,174.521,173.317,177.482,172.353,166.032,167.621,173.006,204.044,207.56,222.244,223.561,227.124,275.75,290.683,304.912,305.578,307.001,290.951,287.256,278.894,269.928,272.908,283.278,290.923,276.609,277.793,274.562,268.21,265.357,262.472,255.329,246.452,244.54,245.288,245.351,244.911,247.477,248.901,249.514,254.475,262.579,266.517,269.136,274.584,283.05,290.955,299.008,300.803,292.079,285.426,277.577,266.074,261.942,257.766,256.245,253.483,251.052,242.999,235.63,226.842,214.304,196.731,179.122,162.253,147.174,137.578,127.112,118.908,111.294,106.048,100,93.915,87.67,82.852
"82","75","      Video and audio equipment","DVAARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.107,302.089,296.269,286.313,281.542,277.191,267.86,256.277,252.42,251.578,251.151,251.349,252.698,253.384,252.393,256.447,263.661,266.171,266.171,268.89,274.918,279.604,284.457,283.437,275.411,263.742,248.442,236.193,228.513,219.683,214.076,208.544,203.699,199.444,195.145,189.552,183.116,175.524,168.329,160.347,149.869,140.5,132.256,123.653,115.402,107.837,100,91.117,81.119,73.989
